26620434	2021-11-01T23:56:41.000Z	1455322939268767747	After 0 weeks, I finally made it to my office. @ California State University, Los Angeles 	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.168395, 34.06769829]}}
899546347048648704	2021-11-01T00:04:32.000Z	1454962525263450114	My mom is encouraging me to go out tonight LMFAOO	{'place_id': '3b77caf94bfc81fe'}
1445149023120199681	2021-11-02T23:22:29.000Z	1455676716672696327	 Thank you I respect you too much to go out like that Princess ❤💙	{'place_id': '3b77caf94bfc81fe'}
1901054311	2021-11-02T22:09:25.000Z	1455658332048400388	Happy Bday to MY QB Jimmy G!!! For all the shit you take on this app on a daily basis you still go out there and compete every week!!! Let's build on that performance from last week big dawg!!! 	{'place_id': '3b77caf94bfc81fe'}
1232388281603514368	2021-11-02T20:18:27.000Z	1455630406393339906	Atlanta go out and make a difference in the community and vote 🗳 for Antonio Brown for Mayor. Cast your ballots ⬆️   Block One Records 🔥 	{'place_id': '27f5da73dd83395c'}
19688237	2021-11-02T20:17:43.000Z	1455630220090695681	  Bruh that shit go out the window when you have a family to provide for. Kids can’t eat art. Can’t buy a house with art	{'place_id': 'b0b79caecef59fb5'}
20161019	2021-11-02T20:17:08.000Z	1455630073466265600	 A malicious (and incorrect) reading would be to say you get worse teammates to make up for this (you could set up the mm algo that way but you'd have to go out of your way to get there; more likely you actually get better teammates and better enemies)	{'place_id': '3b77caf94bfc81fe'}
309995093	2021-11-02T18:41:31.000Z	1455606012539404289	Smh. That poor family of the deceased. I’ll never understand the cats with hella bread, not ordering a driver anytime they wanna go out. 	{'place_id': '1927193c57f35d51'}
1348476612119957504	2021-11-02T18:16:14.000Z	1455599649495011330	     In fact all people that stay in the hospital for many months, with massive doses of pain killers, when they go out finally cured, and came back to their families and friends, they start heroin addiction... so true... lool	{'place_id': '3b77caf94bfc81fe'}
2364964627	2021-11-02T17:48:40.000Z	1455592709364666370	Just stopped going to work and quit my job , call it self care 🤝😎	{'place_id': '3b77caf94bfc81fe'}
4721613151	2021-11-02T17:45:13.000Z	1455591841860968454	 i’m finna go to work 🤣😩	{'place_id': '97e336e1e3ed9e1e'}
1216624471206846464	2021-11-02T17:09:12.000Z	1455582776594350081	Look at the KING go to work 👏🏽👏🏽 	{'place_id': '0fc6568d145d84ac'}
1393542794	2021-11-02T17:03:55.000Z	1455581449919209472	 Think we learned a hard lesson from that one and ain’t gonna make the same mistake twice, at least we hope so. Nothing is given you gotta go out there and earn that W.	{'place_id': '3b77caf94bfc81fe'}
302330001	2021-11-02T16:42:04.000Z	1455575950968508417	 As a part of the coup I am going to go out on a limb and say Boebert is raising four future INSURRECTIONISTS.	{'place_id': '3b77caf94bfc81fe'}
795467461843746816	2021-11-02T16:07:31.000Z	1455567256927096832	I told y’all the Last Dance was a Michael Jordan propaganda piece. The story itself is already incredible enough. You don’t have to go out the way to big yourself up.-Pavy	{'place_id': '3b77caf94bfc81fe'}
2249090317	2021-11-02T15:19:15.000Z	1455555110109548553	"  Sigh...go back to school, yo. ""Oldest country on earth?"" 🤣"	{'place_id': '9e42709040fafdb7'}
630811996	2021-11-02T13:37:58.000Z	1455529621378592768	It is way too cold to be going to work this early	{'place_id': '3b77caf94bfc81fe'}
1294749498711842816	2021-11-02T13:32:42.000Z	1455528294246350849	"Can you imagine going to work and having to tell people ""Leave me alone so I can work."" I actually have a seperate social life."	{'place_id': '3b77caf94bfc81fe'}
1075397339173384193	2021-11-02T11:55:32.000Z	1455503841370144775	 . DST is your personal Super Bowl … love it 😂. My wife loves nothing more than sleeping in on the weekends. In her defense she’s up @ 0 to go to work at the airport. She will love your quote  🏈	{'place_id': '0fc6568d145d84ac'}
615733461	2021-11-02T08:47:25.000Z	1455456502681006081	i need friends that are willing to take pictures of me when we go out cause now i have to repeat these outfits until i get at least one 🙄	{'place_id': '67571a7baaa5906b'}
319258128	2021-11-02T07:08:55.000Z	1455431711508996101	 Thats true. Although i love and appreciate yall, i need irl friends here in LA. Like yall cant go out to the clubs with me in LA when you’re 0 miles away	{'place_id': '3b77caf94bfc81fe'}
217649627	2021-11-02T07:02:24.000Z	1455430074035888132	My boss really tried to have me go to the plt event tonight lol & my edges weren’t done and i had faded sweats on.. enjoy luv i can’t go out like that 😂	{'place_id': '10de09f288b1665c'}
886208154563825664	2021-11-02T06:32:25.000Z	1455422528696950786	Wondaween with my sister When I go out I go all out Lmaoo  	{'place_id': '3b77caf94bfc81fe'}
3229948004	2021-11-02T03:28:37.000Z	1455376271479693314	this is me just after going out for a couple of hours 	{'place_id': '3b77caf94bfc81fe'}
188601653	2021-11-02T03:03:37.000Z	1455369980745183243	am i the only one that still has to ask for permission to go out? haha	{'place_id': '3b77caf94bfc81fe'}
1017523252988559360	2021-11-02T02:19:35.000Z	1455358898957733888	Bro all I do is go to work and then sleep like I really have no hoes bro :(	{'place_id': '70707114a9202b98'}
45233675	2021-11-02T01:57:00.000Z	1455353216191791112	   AD is currently afloat thanks to school loan so some taxpayer funds at play there	{'place_id': '97e336e1e3ed9e1e'}
1295597749086257153	2021-11-02T01:50:55.000Z	1455351684893265920	the good thing about not having a boyfriend in November is not having to worry about him going out in gray sweats 👀	{'place_id': 'fa424f169eef946e'}
839680093	2021-11-02T00:47:59.000Z	1455335845540466691	no bc ill fr never forget the night of the 0 election & having to go to school the next day😭😭😭	{'place_id': '3b77caf94bfc81fe'}
365696379	2021-11-03T23:50:28.000Z	1456046150146936838	Wtf is Kim K going through that she’s been going out with Pete Davidson?? 🤮🤮🤮🤢	{'place_id': '3b77caf94bfc81fe'}
232296852	2021-11-03T23:43:51.000Z	1456044483972251654	 I may still have a couple of more rounds with my agent until we go out on sub. But y’all will be the first to know!	{'place_id': '3b77caf94bfc81fe'}
1294749498711842816	2021-11-03T22:48:54.000Z	1456030656421564418	I go to work to work. Understand that. I'm a very serious person. I don't play around.	{'place_id': '3b77caf94bfc81fe'}
1042148465403297792	2021-11-03T21:56:19.000Z	1456017422851338242	  While supplies last. Which, for  is never, since we will always find a cup for you, even if  has to go out and roast the beans himself.	{'place_id': '3b77caf94bfc81fe'}
279162955	2021-11-03T21:45:26.000Z	1456014682049765382	What? At least he's going out after a great year. Respect. 	{'place_id': '0c2e6999105f8070'}
868152886450020352	2021-11-03T20:47:17.000Z	1456000048228028417	Happy Cakeday wishes go out to one of the best people you’ll ever come across in Twitterland,  🎂 Hope you are enjoying your day, buddy!	{'place_id': '3b77caf94bfc81fe'}
763051200	2021-11-03T20:43:26.000Z	1455999079490621440	bro I’ve been getting hounded by these men……… a bitch really can’t even just go to work unbothered	{'place_id': '3b77caf94bfc81fe'}
1106032834697814016	2021-11-03T19:59:18.000Z	1455987973325950976	Going to work today...Expectation: Should be a slow news day for the NFL,since it's after the trade deadline & mid week.Reality: Aaron Rodgers gets COVID, Henry Ruggs was 0X the legal limit & driving 0mph in a deadly crash with a loaded gun, trending 0 of the top 0 on Twitter	{'place_id': '97e336e1e3ed9e1e'}
1925532498	2021-11-03T19:45:44.000Z	1455984559367995392	Not going out until NYE	{'place_id': '714789cf3b7a50d0'}
2302767183	2021-11-03T19:41:04.000Z	1455983383134162958	I’m going out tonight !!!!	{'place_id': '3b77caf94bfc81fe'}
1727481176	2021-11-03T19:01:39.000Z	1455973466990006276	Going out next Monday! 	{'place_id': 'b2fda7385aa963dd'}
833891340928765953	2021-11-03T18:47:13.000Z	1455969831589580800	If I hand u my money in your hand ima need that back in return. Wasup with these mad ass shoulda went to college ass cashiers	{'place_id': '81923aaf1207edc1'}
2579719423	2021-11-03T18:45:39.000Z	1455969438654599171	 why do u think i literally go out once every 0 months LOLLLLL waking up hungover is a thing of the past!!! (except denver omg i died)	{'place_id': '3b77caf94bfc81fe'}
352477369	2021-11-03T18:27:40.000Z	1455964914195918849	Went to school with this weasel!! 	{'place_id': 'f227fd9a20f20e9d'}
1154439609289326598	2021-11-03T17:28:53.000Z	1455950121145831424	Got so emotional leaving my baby to go to work but they end sending me back home 🥲 so I’m happy but also mad about that lol	{'place_id': 'fcd177d5a0545c9c'}
181419468	2021-11-03T17:24:49.000Z	1455949095000965125	Fun fact Laura gave me a tour of USC when I was a senior. We went to Pinkberry and I was sold / ready to go to college 😂	{'place_id': '3b77caf94bfc81fe'}
75720951	2021-11-03T16:56:39.000Z	1455942006635577345	Most parents bringing their kids to school in  today tell me they’re happy that the  is now available for kids 0-0 here in  One mom though says she’s going to hold off.  She doesn’t think the youngest kids need the shots.  	{'place_id': '07d9d29ce8083003'}
1319082998	2021-11-03T15:38:11.000Z	1455922263274844162	Ex-con sentenced to life without parole in slaying of beloved former Redondo football player ( … RIP Guy Alford, who was a 0 0st team All-League linebacker for the Sea Hawks … our thoughts and prayers go out to his family.   	{'place_id': '3b77caf94bfc81fe'}
323526280	2021-11-03T15:03:56.000Z	1455913641463541766	Me when my kids come to school with no jacket. 	{'place_id': '01c060cf466c6ce3'}
14278608	2021-11-03T14:25:35.000Z	1455903992278499338	It increasingly feels like the only way to keep America from sliding into oblivion is getting more white people to go to college. 	{'place_id': '714789cf3b7a50d0'}
2332686691	2021-11-03T06:41:36.000Z	1455787225602400258	Everytime i go out, i find a new biweekly boyfriend 💖 	{'place_id': '3b77caf94bfc81fe'}
3302157286	2021-11-03T06:35:39.000Z	1455785726507827202	Since when did women need $ to go out? 	{'place_id': '3b77caf94bfc81fe'}
1217903664678895617	2021-11-03T06:24:59.000Z	1455783043680010241	Istg I hate how I can’t do shit, can’t go to school, can’t go to a fucking concert BECAUSE MY DISABLED ASS CANT TAKE A FUCKING VACCINE ?	{'place_id': 'e9b2c8beb5442ec5'}
438252452	2021-11-03T05:59:25.000Z	1455776611337342979	 you’re going out of your way to continue this	{'place_id': '3134f9d2892d2685'}
254270637	2021-11-03T04:06:51.000Z	1455748279598153735	Go out for happy hour. End up doing karaoke to shania Twain with Jess who I just met 0 mins before the song	{'place_id': '3b77caf94bfc81fe'}
350745799	2021-11-03T03:14:51.000Z	1455735195722608641	  I’m not going out anymore	{'place_id': '3b77caf94bfc81fe'}
1216224085014745088	2021-11-03T03:08:50.000Z	1455733680433872896	The fact that my friend told me to get ready to go out and not to get fancy makes me believe she thinks I overdress. I just want to be cute, we outside dawg lmao	{'place_id': '3b77caf94bfc81fe'}
22086087	2021-11-03T03:04:15.000Z	1455732525855174665	yo  i saw that video  dad posted. what’s your problem yo?! you literally go out your way to not throw the ball to Odell. it’s on film…0 minutes worth. explain yourself. you need glasses b?	{'place_id': '3b77caf94bfc81fe'}
1393542794	2021-11-03T03:01:11.000Z	1455731755470651395	 Condolences on your loss, Lisa. 💔 Prayers go out you and your family. 🙏🏽	{'place_id': '3b77caf94bfc81fe'}
22333828	2021-11-03T02:07:16.000Z	1455718187329212421	 Literally omfg!! I was literally like “I can’t believe THIS OF ALL THINGS is how I go out 😭” 😅 And lol thank you, glad you are too!!	{'place_id': '3b77caf94bfc81fe'}
860523174236114944	2021-11-03T01:32:05.000Z	1455709331937128450	Lmaooooo just know imma go out with a bang like i do every time. I can not wait mfs gone be sick 😂 	{'place_id': '3b77caf94bfc81fe'}
350745799	2021-11-03T00:19:54.000Z	1455691166662361091	Enough going out I’m tryna travel with my future wife	{'place_id': '3b77caf94bfc81fe'}
338990762	2021-11-04T22:05:43.000Z	1456382174421139488	 Lmaoooo my boy was spitting in mouths and choking. AyyyyyyyUnfortunately that’s what happens when you make forbes list off of going to college every weekend 🤣	{'place_id': '3b77caf94bfc81fe'}
919942305917706241	2021-11-04T21:47:42.000Z	1456377639103451136	bro called me in the middle of my drive to school just to flex on me 	{'place_id': '0b93bc6a33455615'}
65907213	2021-11-04T21:45:15.000Z	1456377024784834569	I remember when I was sick last month. No family, no friends, no significant other around. It was just me & it wasn't easy. Still had to cook and go out to buy stuff. I even had to go to the market one time. It wasn't fun. It's good to have people that care about you around.	{'place_id': '3b77caf94bfc81fe'}
90508698	2021-11-04T21:16:09.000Z	1456369702763065347	   Ruggs is big but they're grown men that get paid. They have an opportunity to do something special this season and that should be the mindset because the rest of the NFL don't care.... Go out and show you're not going to laid down because of the circumstances.	{'place_id': 'c1e1a49e92ce1ba0'}
202287691	2021-11-04T20:09:04.000Z	1456352817715703819	 I also went to school for method acting. The best one in the country. Better than yours. So I know all about it too.	{'place_id': '3b77caf94bfc81fe'}
1437098718163996672	2021-11-04T19:58:50.000Z	1456350243809751056	                               and Metallica came out They were booed mercilessly cus the Fans weren't doneand it's Your show not Ours The Fans pay Us.James stomps off stage throwing a tantrum leaving Cliff alone on stage the rest of the band said They weren't going out	{'place_id': '3b77caf94bfc81fe'}
476278327	2021-11-04T18:53:06.000Z	1456333701478903810	Imagine you go to the apartment garage to go to work in the morning and see a car a few spots down from your car on fire	{'place_id': '3b77caf94bfc81fe'}
2332686691	2021-11-04T18:51:43.000Z	1456333353112637443	I dropped out of college for like 0 years and my wish on my 0st bday was “i hope i go back to college” LMFAOO 🥺🤣	{'place_id': '3b77caf94bfc81fe'}
20632207	2021-11-04T18:24:30.000Z	1456326503654854657	 It’s my birthday weekend so I’m just gonna ask people to buy shit and support my Bandcamp so I can go out and buy shit 😬	{'place_id': '3b77caf94bfc81fe'}
2236868300	2021-11-04T17:27:37.000Z	1456312187815796739	I finally feel like I’m living the LA city life. Look at me ubering to my office in DTLA. Going out to happy hour with my coworkers after work. One year ago me would be so proud & happy😊	{'place_id': '3b77caf94bfc81fe'}
101938270	2021-11-04T17:25:00.000Z	1456311531503853572	Bruh they literally told us go to college and you will get a good job …  and have a great life and we fell for it…. All i can do is laugh cuz it’s dark humor…. They got us girl 🤣😭🤣😭🤣😭🤣😭🤣😭🤣😭🤣😭🤣  	{'place_id': 'e1e35d357ceefa52'}
2886745891	2021-11-04T17:04:00.000Z	1456306246831652868	Believing that everything is going to work out in my favor &gt;&gt;	{'place_id': 'f227fd9a20f20e9d'}
1276390323342606336	2021-11-04T16:11:08.000Z	1456292943459807233	  you know I never go out 🤣 duh	{'place_id': '2c1b78093786a74a'}
841725652688502784	2021-11-04T15:47:02.000Z	1456286875354730505	    Fuck no. Try going out and it taking an extra hour or two to get home just because your waiting in a station for your train to come.	{'place_id': '3b77caf94bfc81fe'}
464144637	2021-11-04T14:58:08.000Z	1456274570680233992	 at Holmes Ave School with in the Pueblo Del Río community.  rock and deserve to get to school safely.        	{'place_id': '07d9dc8377c85001'}
864155113107202049	2021-11-04T14:56:10.000Z	1456274074452180995	 IS GOING OUT 	{'place_id': '7a615ec218d177f6'}
733101934127644672	2021-11-04T14:14:27.000Z	1456263578848169987	  Going out today	{'place_id': '01c060cf466c6ce3'}
786582020000321537	2021-11-04T13:52:05.000Z	1456257949932785671	No fr… I work full time & i dont know how I’m going to still be able to go to school 🥺 	{'place_id': '01c060cf466c6ce3'}
56030686	2021-11-04T13:04:43.000Z	1456246026617049095	Woke up at 0, went to the gym for 0, now I’m about to go to work for 0.. let’s see how this goes, they say working out before work gives you energy.. im pretty sure im crashing already	{'place_id': '3b77caf94bfc81fe'}
27258103	2021-11-04T12:57:43.000Z	1456244267823689732	The one day I have to go to work this week 😭	{'place_id': 'e04653ebc39b100c'}
1059563376051961856	2021-11-04T10:24:44.000Z	1456205765031587851	Damn am I about to go out like kaneki’s mom?	{'place_id': '2feb76248fd9c581'}
3302157286	2021-11-04T06:05:38.000Z	1456140562755510272	I’m proud of Melo. So happy he going out like this 	{'place_id': '3b77caf94bfc81fe'}
198420647	2021-11-04T05:35:51.000Z	1456133069191061518	I want to get dressed up and go out	{'place_id': '3b77caf94bfc81fe'}
1355634216	2021-11-04T05:19:32.000Z	1456128962464137216	 Ughhh bro I’m going to school to be a dental hygienist 😭	{'place_id': '3b77caf94bfc81fe'}
1711284042	2021-11-04T02:41:06.000Z	1456089090701418498	So apparently my package has been available to pick up since this morning and  just didn't feel like letting me know. And now the package that I needed by tomorrow because I am going out of town is going to be sent back to the shipper because I won't have time to pick it up! 	{'place_id': '3b77caf94bfc81fe'}
1447311989777207296	2021-11-04T02:28:11.000Z	1456085840954679297	   I think it’s a waste of time to continue this! I’m going to work on not dwelling on the hate and negativity on social media! Whatever racist Raoul thinks of the Armenian race is his problem not mine! He’s irrational! Leave it at that!	{'place_id': '3b77caf94bfc81fe'}
246374599	2021-11-04T02:21:33.000Z	1456084171781120004	 i’m gonna go out on a limb and say they learned it	{'place_id': '3b77caf94bfc81fe'}
846768346271924225	2021-11-04T01:28:39.000Z	1456070855599869958	can’t trust no bitch if she can’t go out and get her own shit	{'place_id': '97e336e1e3ed9e1e'}
93733389	2021-11-04T01:14:44.000Z	1456067356619247621	 The sustain. You could go out and have a bite and he’d still be going	{'place_id': '3b77caf94bfc81fe'}
3989588292	2021-11-04T00:40:23.000Z	1456058709168189444	They’re gonna discharge the money I owe for school cause of Covid… now I can go back to school 😂😂😮‍💨😮‍💨😮‍💨	{'place_id': 'efdc0bd6b3e2a8fb'}
5946522	2021-11-04T00:19:12.000Z	1456053378824355842	 it’s wild but i totally agree. after the Drake verse, you can feel the energy go out of the song	{'place_id': '59612bd882018c51'}
45038024	2021-11-05T23:31:53.000Z	1456766246926659595	Got my hair cut and then took Jade to my office, but we stopped and smelt the flowers first. @ Du-Par's Original at Farmer's Market 	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.243, 34.0522]}}
1323364038873554944	2021-11-05T22:59:55.000Z	1456758204466008065	daily post of me not wanting to go to work  	{'place_id': '5e68ca240e32025a'}
1426760203370864645	2021-11-05T22:59:15.000Z	1456758036710584325	 Nooooo, just going to work part time there 😭	{'place_id': '3b77caf94bfc81fe'}
1073040361	2021-11-05T21:12:26.000Z	1456731153746911233	Not me &  going out solo tonight 👀😈🥳	{'place_id': 'aa755c5c1b8e341b'}
704752074	2021-11-05T20:11:51.000Z	1456715908995452933	Ever go out and treat yourself to an awesome old fashion? 	{'place_id': '07d9f73812085000'}
2881260575	2021-11-05T19:42:24.000Z	1456708497689563136	  Dear Sudhir,  Completely agree- shocking and so sad.  My prayers go out to his family and all his professional colleagues.	{'place_id': '3b77caf94bfc81fe'}
162325109	2021-11-05T19:33:23.000Z	1456706225735753730	We should go out and hold hand Lovers hold hand	{'place_id': '3b77caf94bfc81fe'}
570202211	2021-11-05T18:46:15.000Z	1456694364281839616	The irony in this tweet. “Go to work and take care of ya fam.”Well when one of the best athletes on the planet is spewing dangerous information about a pandemic, makes that just a bit harder.Getting the vaccine helps people not have to say bye to family members in ICU wards. 	{'place_id': '3b77caf94bfc81fe'}
