1087266986	2020-06-15T23:03:44.000Z	1272666128125497346	Unexpected drive to college station 😔	{'place_id': '54614bf2dabf5a43'}
755063170998251522	2020-06-15T18:29:14.000Z	1272597047842156544	My wife came to my office and took over my meeting room and made it into her office for the day. Me the remainder of the day. 😍😍	{'place_id': '1c69a67ad480e1b1'}
503906745	2020-06-15T17:40:19.000Z	1272584736351936514	I rather go out with my man or my friend before I go out alone	{'place_id': '1c69a67ad480e1b1'}
775097963311865857	2020-06-15T17:39:42.000Z	1272584581657563137	Texas wild in general, this covid is still here. Better wait another month or 0 to go out	{'place_id': '1c69a67ad480e1b1'}
1220011943257350145	2020-06-15T17:39:37.000Z	1272584561738878976	Texas wild in general, this covid is still here. Better wait another month or 0 to go out	{'place_id': '1c69a67ad480e1b1'}
496759004	2020-06-15T17:17:30.000Z	1272578994626592769	 No one actually knows if they have it. Mine started off with a stuffy nose that was it, plus if you have covid your body is consistently aching. If people are still going out then I’m shocked because this thing drains your energy	{'place_id': '1c69a67ad480e1b1'}
21027675	2020-06-15T17:16:05.000Z	1272578639926906889	  Interesting. What part of Georgia? I went to school in the same district as skull and my experience is the same as theirs.	{'place_id': '1c69a67ad480e1b1'}
920098910290395136	2020-06-15T17:13:43.000Z	1272578043006124034	Who tryna pay me for my day since I ain’t go to work ? Lmaoooo	{'place_id': '1c69a67ad480e1b1'}
2906315945	2020-06-15T17:11:53.000Z	1272577579954901001	🏀 What a way to go out. MJ was the first sports superstar I grew up with & WE WERE ALL OBSESSED with him as an icon.  	{'place_id': '1c69a67ad480e1b1'}
995296902	2020-06-15T16:31:34.000Z	1272567434860429318	How is this going to work between us?! I told my bf I don’t support Startbucks for obvious reasons, he said “what that gotta do with you?”	{'place_id': '1c69a67ad480e1b1'}
363448399	2020-06-15T16:18:14.000Z	1272564081174679560	I wanna go out to lunch tomorrow 😭	{'place_id': '1c69a67ad480e1b1'}
69020461	2020-06-15T15:26:12.000Z	1272550986360524804	I don’t understand how some men get on here and openly admit they don’t see a point in protests, all this shit is negative, and they would never go out of their way to protect black women. Like honestly, you could have just kept that shit in the drafts. Y’all some hoes. 	{'place_id': '1c69a67ad480e1b1'}
726883122	2020-06-15T15:08:35.000Z	1272546551097892867	Juneteenth gonna be my last time going out until my birthday. 0 going to be a movie	{'place_id': '1c69a67ad480e1b1'}
1212966655376019456	2020-06-15T14:57:17.000Z	1272543706630041600	Girls be like when we going out? 😒 if you don’t shut yo hungry ass up.	{'place_id': '1c69a67ad480e1b1'}
23277463	2020-06-15T14:54:06.000Z	1272542908575604738	I’m tired of people saying/tweeting they know people who tested positive & are still going out like call them out then you pussies let EVERYONE know how much they don’t give no fucks about other people’s lives	{'place_id': '1c69a67ad480e1b1'}
1151166460389134336	2020-06-15T14:47:00.000Z	1272541121437208578	Happy Birthday Flowers Going Out Today... 💚💐 @ Spring, Texas 	{'place_id': '343ecdd7da8dfae0', 'coordinates': {'type': 'Point', 'coordinates': [-95.387, 30.0541]}}
1186234547668750336	2020-06-15T14:02:39.000Z	1272529959219802112	Let's go to work 💪      🏀💪 	{'place_id': '1c69a67ad480e1b1'}
3508382419	2020-06-15T13:43:37.000Z	1272525168271818757	ioun even go out like dat ima lowkey one	{'place_id': '343ecdd7da8dfae0'}
1137826395801948160	2020-06-15T12:43:22.000Z	1272510008413106176	I guess Ill go to work..	{'place_id': '1c69a67ad480e1b1'}
3016997600	2020-06-15T11:02:35.000Z	1272484642323664896	Slavery really used to be legal. You could go out and BUY a black person...	{'place_id': '1c69a67ad480e1b1'}
120350023	2020-06-15T05:52:34.000Z	1272406627581296641	It’s time to go home now I have to go to work early 😩😩	{'place_id': '1c69a67ad480e1b1'}
46305981	2020-06-15T05:45:02.000Z	1272404731273633795	I been turnt all weekend ain't going out for 0 weeks	{'place_id': '1c69a67ad480e1b1'}
97097838	2020-06-15T05:06:48.000Z	1272395109745807361	Insecure has a very consistent theme of Lawrence going out sad	{'place_id': 'bcb210d6cf34438a'}
62589754	2020-06-15T02:44:39.000Z	1272359334110990338	This nigga really said “ and what ?! I be busy bro I go to work and then I get drunk”	{'place_id': '7a41192a2879ee24'}
913548516034699264	2020-06-15T02:40:29.000Z	1272358288244555776	 This is the type of analysis kids and parents need before going to college.	{'place_id': '1c69a67ad480e1b1'}
2376344665	2020-06-15T01:56:34.000Z	1272347235263619073	Should I call in or go to work 🤔	{'place_id': '1c69a67ad480e1b1'}
302968159	2020-06-15T01:11:44.000Z	1272335952317382656	 can’t go out sad like that 😭	{'place_id': '1c69a67ad480e1b1'}
25927905	2020-06-15T01:11:08.000Z	1272335801922314244	a person who didn’t study law but making legal conclusions &lt; somebody who actively went to school for it and passed the bar .. 🌚🌚 cool 	{'place_id': '1c69a67ad480e1b1'}
936108343898378242	2020-06-15T00:53:48.000Z	1272331439548313600	 You look fabulous! Go out and rock your day!-Random Internet Guy	{'place_id': 'cf3b45e29c2c319b'}
20347457	2020-06-15T00:51:54.000Z	1272330959258619908	Imagine being so incredibly stupid that you go out of your way to prove how much of a racist you are....in CANADA 	{'place_id': '1c69a67ad480e1b1'}
1208051409637269505	2020-06-15T00:39:53.000Z	1272327935152631809	I’m sorry, but the USPS is a totally worthless government agency/organization.  The soon they go out of business the better we will all be.  Senator Harris, I like you but I cannot and will not support your efforts on the USPS. 	{'place_id': '1c69a67ad480e1b1'}
198420647	2020-06-15T00:23:40.000Z	1272323857559564288	If any of you are protesting in LA this weekend I have some spare masks for you. Please don’t go out unprotected.	{'place_id': '1c69a67ad480e1b1'}
3379745170	2020-06-16T23:52:19.000Z	1273040742643044353	When girls would wear crop tops it was always zip up your jacket some guys came to school in crop tops  there was no issue ?!?!? 	{'place_id': '7a41192a2879ee24'}
4076031373	2020-06-16T23:48:50.000Z	1273039865710620674	I go back to school tomorrow and I’m scared lol	{'place_id': 'eabe7b6fd4504fff'}
399006128	2020-06-16T23:43:20.000Z	1273038481833541633	Imagine not having to ask him and still going out with your girls. I just go out and come back either faded, drunk, or high and he just be sitting on the couch mad 	{'place_id': '1c69a67ad480e1b1'}
64188345	2020-06-16T23:31:01.000Z	1273035383211806720	don’t go out. wear a mask. socially distance if you can. 	{'place_id': '1c69a67ad480e1b1'}
33327047	2020-06-16T23:11:09.000Z	1273030383161008128	It seems like being a conservative politician is all about trying to take away rights from human beings. Like. How do y’all do that? How do y’all go to work every day and thrive off of taking away from people? How can that even be enjoyable??	{'place_id': '1c69a67ad480e1b1'}
3267354559	2020-06-16T23:00:37.000Z	1273027730452471809	Texas is teaching 0K cases soon. Keep going out to unnecessary shit 😇	{'place_id': '1c69a67ad480e1b1'}
178927586	2020-06-16T22:56:58.000Z	1273026813564981249	i mean, he’s not entirely wrong. seemed like most of the young adults were the idiots wanting to go out and about everywherenonetheless, he shouldn’t have opened the state back up so early two things can be true 	{'place_id': '1c69a67ad480e1b1'}
474456461	2020-06-16T22:52:51.000Z	1273025775776776197	Y’all going out sad	{'place_id': '1c69a67ad480e1b1'}
1890289236	2020-06-16T22:15:51.000Z	1273016465407438848	Orders going out..Ask what opportunities are available in your city today‼️✅ @ The Vend Doctor, LLC 	{'coordinates': {'type': 'Point', 'coordinates': [-95.36388, 29.66394]}, 'place_id': '1c69a67ad480e1b1'}
908548995932340224	2020-06-16T21:32:11.000Z	1273005475550957568	I'm in TX & that nitwit Abbott couldn't pour piss outta boot even with the directions written on the heel. 0st he wanted all the old folks to go out & keep the economy going. Now he's gonna blame the young folks for his ignorance.  	{'place_id': '01e986b204ff5847'}
746871446790504448	2020-06-16T20:48:46.000Z	1272994550454370309	I hate when I go out to eat the waiter gives me my plate and says enjoy and my dumb ass almost always says “ you too “ then I get all embarrassed like fuck 😂😂😂😂😂	{'place_id': '1c69a67ad480e1b1'}
712716627331010560	2020-06-16T20:38:32.000Z	1272991973092331520	Me to myself : Do I really wanna go to work today???	{'place_id': '1c69a67ad480e1b1'}
318852092	2020-06-16T20:34:58.000Z	1272991075708346371	Be so loud on socials when they go out and get real quiet when they get exposed and gotta quarantine for 0 days 🥴 	{'place_id': '1c69a67ad480e1b1'}
350940396	2020-06-16T20:09:52.000Z	1272984760617492480	🎒✏️📚 Dropped off child safety tips and swag for this year’s Mayor ’s Back to School Fair! 0,0+ students will be starting the year off right!Special thanks to our awesome volunteer Brandon Hollek for lending a hand this morning!  	{'place_id': '07d9d59f80c81003'}
1098716634859094023	2020-06-16T19:19:52.000Z	1272972178179440641	 And we supposed to go back to school with numbers rising like this?	{'place_id': '00f2b6161655c5cc'}
94610121	2020-06-16T19:07:48.000Z	1272969141301981192	Bruh I used to have rehearsals in the mornings, teach my group classes, teach private lessons, then still have the energy to go out with friends at night. Now I’m tired from teaching an hour of students on a random Wednesday LOL my stamina is not where it used to be 	{'place_id': '1c69a67ad480e1b1'}
3311540760	2020-06-16T19:02:26.000Z	1272967789356240898	I think I’m done going out to restaurants lmao TOO many people are popping up with corona 🙃	{'place_id': '1c69a67ad480e1b1'}
1188813701173956609	2020-06-16T18:45:08.000Z	1272963438822776833	Teaching my man Spanish is so much fun & makes me so happy! He can order his food perfectly fine when we go out to Mexican taco trucks & restaurants!! Also... he says the loteria cards too! How sweet! 👏🏻💖	{'place_id': '1c69a67ad480e1b1'}
14634371	2020-06-16T18:41:22.000Z	1272962488049467394	 I am. Several of my friends are newly diagnosed so still going out only when necessary. Always wearing a mask	{'place_id': '1c69a67ad480e1b1'}
757695067	2020-06-16T18:36:45.000Z	1272961326009155584	  wait a min . You are asking people to stay home if we don't have to go out, but yet again you are opening the whole state ? THIS MAKES NO SENSE.  Also what measurements are businesses taking ? Businesses are closing again due to positive cases employees & clients	{'place_id': '1c69a67ad480e1b1'}
1020119996402368514	2020-06-16T18:34:55.000Z	1272960867345354756	   So let me get straight kyrie is popular but not powerful the guys who voted 0-0 are powerful this what kendrick said. Earlier in the convo kendrick states kyrie was one of the guys who voted 0-0 to bring basketball back 🤦🏾‍♂️ kendrick maybe you should have gone to college.	{'place_id': '1c69a67ad480e1b1'}
896501863478157312	2020-06-16T17:54:45.000Z	1272950757277544449	I’m not going out anymore lmfao I’ve been hearing too many people catching that second wave 😷	{'place_id': '1c69a67ad480e1b1'}
920098910290395136	2020-06-16T17:49:58.000Z	1272949551696093185	 You right we just finna hand the bby to my momma and go out to be toxic 🙈🙈 nvm omg omg omg ima be a tia 🥰🥰🥺	{'place_id': '1c69a67ad480e1b1'}
168547336	2020-06-16T17:35:07.000Z	1272945814961258498	Y’all I be seeing my friends taking shots and going out & honestly ... I be like fck this shit. I’m still young 😭	{'place_id': '1c69a67ad480e1b1'}
2757986529	2020-06-16T17:33:23.000Z	1272945381463265280	ion wanna go to work tonight but imma go 🥺	{'place_id': '1c69a67ad480e1b1'}
920098910290395136	2020-06-16T16:57:48.000Z	1272936425420468230	I left and came back quick last night and my mom was like “that was fast” I said “lady I told you I didn’t go out to smoke LMAO”	{'place_id': '1c69a67ad480e1b1'}
2736170996	2020-06-16T16:41:56.000Z	1272932431541272583	A yr ago today leo and I went on our first date and let me tell y'all I was nervous AF! We've been friends going on three yrs and I've talked to him only in group settings so going out with him alone and having to face him made me so nervous I could not even look at him 😂	{'place_id': '1c69a67ad480e1b1'}
2991868897	2020-06-16T15:06:03.000Z	1272908302834372609	When your full of greed you think with money not your brain so they will always go out sad, the brain has so much potential but we’re taught not to use it, and use the one they give us. See the world from an alienated perspective and it would make since why it don’t make sense	{'place_id': '1c69a67ad480e1b1'}
14581136	2020-06-16T10:41:57.000Z	1272841840115568642	  Prayers going out to you!	{'place_id': '1c69a67ad480e1b1'}
2602661179	2020-06-16T10:13:09.000Z	1272834592601509890	Idk bout y’all but something ain’t sitting right with me that niggas I go to school with is thinking they can get away with rape because nothing is being done .....	{'place_id': '798522f39f66d411'}
308887776	2020-06-16T07:34:45.000Z	1272794731093860352	But I still go to work tho 😏💯🤘🏽🤪 and feel drunk for 0 minutes then get to it 🤣😂🤷🏽‍♂️ and sober at 0 mins so fuck it 	{'place_id': '00f2b6161655c5cc'}
323057457	2020-06-16T07:09:23.000Z	1272788343961595904	This is what they do and yall think protest are going to work  	{'place_id': '1c69a67ad480e1b1'}
54798211	2020-06-16T05:19:18.000Z	1272760642290757637	Mannnnnn it’s gone be a wrap for America everybody going out that day. 	{'place_id': '1c69a67ad480e1b1'}
1159893493034160128	2020-06-16T04:41:20.000Z	1272751087934717952	if i was going to college in tx i’d only go to UT. although their r*pe culture is..... worrying	{'place_id': '01e74c422dab6107'}
3260097914	2020-06-16T04:40:06.000Z	1272750775744319488	    We also have to be careful abt asking people to go out right now w the rising & very real threat COVID poses for our people. If you've emailed we will be in touch as soon as we can. Our responses are delayed right now.	{'place_id': '1c69a67ad480e1b1'}
41298575	2020-06-16T03:26:10.000Z	1272732169442594817	I so don’t wanna go to work in the morning 🤦🏽‍♀️	{'place_id': '1c69a67ad480e1b1'}
2797037137	2020-06-16T03:23:41.000Z	1272731547691614209	 Don’t let it get to you!!! I keep telling myself that everything is going to work out for the greater good. It’s easier said than done, trust me, I KNOW. But we got smiling babies to look forward to 🥰	{'place_id': '1c69a67ad480e1b1'}
569519330	2020-06-16T02:27:05.000Z	1272717303847833602	 That’s so sad. My go out to his family.	{'place_id': '6ef928bfe164fa3c'}
2210160758	2020-06-16T02:11:27.000Z	1272713368680509441	".JUST RANTING THE BLUES IS...""Going out for awhile..."".***0PM POSTINGS***.“I post things at particular times because that's what websites have told me to do..But to be honest, I haven't really seen much of a… "	{'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}, 'place_id': '1c69a67ad480e1b1'}
770313786	2020-06-16T01:57:35.000Z	1272709879975862274	Y’all don’t know how bad I wanna go out and cut up 😭 	{'place_id': '1c69a67ad480e1b1'}
766511582998388736	2020-06-16T01:39:35.000Z	1272705348886036481	Wise words from Hayden Rae “Don’t go to work, it’s too hard.”	{'place_id': '1c69a67ad480e1b1'}
702090499616714753	2020-06-16T01:39:19.000Z	1272705281609199617	This M I TThis the moneyI needToGoBack toSchoolMy motherLeftMe millionsThat you worldCould getReleasedFrom the GordonTrustSoI.canGoBack.And getA degreeAnd makeMore than 0… 	{'coordinates': {'type': 'Point', 'coordinates': [-95.61974287, 29.72399001]}, 'place_id': '1c69a67ad480e1b1'}
711796288296062976	2020-06-16T01:13:12.000Z	1272698708568784896	Going to college station just to buy a straw cowboy hat&gt;&gt;&gt; love it here	{'place_id': '1c69a67ad480e1b1'}
34828355	2020-06-16T00:40:53.000Z	1272690575641399298	I think i wanna boyfriend. I gotta go out ASAP. Meet somebody new.	{'place_id': '1c69a67ad480e1b1'}
600667276	2020-06-16T00:20:18.000Z	1272685395340378112	idk why i wanna go out and do some lol	{'place_id': '1c69a67ad480e1b1'}
496759004	2020-06-16T00:10:42.000Z	1272682980302032897	 Yeah I seen about two people that have it and are still going out even though they have the main symptom of it. It shocks me because these body aches are no jokes, I can’t even get up and stand up for to long without getting out of breath.	{'place_id': '1c69a67ad480e1b1'}
1051164909332037632	2020-06-17T23:39:25.000Z	1273399884473749505	Is your child's district quiet right now? We're supposed to send our children back to school in a few weeks during a pandemic and civil unrest.These same people upholding white supremacy will be in classrooms with children acting on their biases.	{'place_id': '7543692056063d2f'}
1060976756	2020-06-17T23:25:08.000Z	1273396288453857286	Some of the people tweeting about Covid-0 being a serious thing and staying home are the main ones going out. Make that make sense!	{'place_id': '1c69a67ad480e1b1'}
1622019427	2020-06-17T23:20:35.000Z	1273395145271119872	 LMFAO this was me w my jaw doc like how don’t you know 😭 you dead went to school for this shit 😐	{'place_id': '1c69a67ad480e1b1'}
68088682	2020-06-17T22:22:48.000Z	1273380603816284161	Girls going out sad. 	{'place_id': '1c69a67ad480e1b1'}
1134868668209385472	2020-06-17T22:19:02.000Z	1273379656226541568	Stupid asses who go out to bars and clubs during a pandemic , yea I said it. YOU SELFISH for thinking a shot/drink at a bar is doing you any good	{'place_id': '1c69a67ad480e1b1'}
176253527	2020-06-17T21:30:31.000Z	1273367446238396416	SWIPE———-&gt;SMP will be supplying 0 children with supplies to go back to school this year ('0-'0), Saturday, August 0, 0 0:0 am - 0:0 pm CST.School supplies are needed to help with the success of student's… 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}}
3419356272	2020-06-17T21:21:52.000Z	1273365269679951872	Boy this happens to my sister when we were in middle school and boyyyy my momma knew she had to follow me up to school the next day cause maaaannnnnn bro was finna get punished 	{'place_id': '1c69a67ad480e1b1'}
437784566	2020-06-17T20:58:01.000Z	1273359264262881282	If you’re gonna go out places, PLEASE WEAR A MASK. There’s a 0% chance you can catch COVID while wearing a mask, then it goes up to 0% if you aren’t wearing a mask but keeping 0ft distancing. Imagine the people who aren’t doing either...	{'place_id': '38d0e797745f4c5d'}
264560818	2020-06-17T20:43:08.000Z	1273355519613419520	That’s what Cole was addressing. This assumption that because you went to college you have something worthwhile to say. Because you have information you are the divine light. But you look down on your own people because they don’t.	{'place_id': '1c69a67ad480e1b1'}
788550433396535296	2020-06-17T20:25:14.000Z	1273351017644638208	GUYS STAY HOME. Don’t go out, don’t go to the gyms, don’t go to the clubs. Be safe because this virus will get to you no matter the precautions you take. I’m going to start deleting those people who don’t care.	{'place_id': '1c69a67ad480e1b1'}
36143442	2020-06-17T20:10:50.000Z	1273347390267891713	 I’m going out the country	{'place_id': '1c69a67ad480e1b1'}
896924409927225345	2020-06-17T19:50:10.000Z	1273342192740859905	  By the way, Police dont walk around killing people.  Most Officers go to work each day without knowing it they'll be going home. It's not anymore right to lable them as all bad just as it's not right to do that with any group.. of people.	{'place_id': '1c69a67ad480e1b1'}
2466927558	2020-06-17T19:34:03.000Z	1273338134810341377	IF YALL HAVE COVID-0 STAY FUCKING HOME. YALL FUCKING DISGUSTING AND A PIECE IF SHIT GOING OUT KNOWING YOU HAVE IT.	{'place_id': '1c69a67ad480e1b1'}
822524382	2020-06-17T19:23:40.000Z	1273335521947811841	Y’all do realize y’all started going out bc y’all wanted to right? Just bc he opened Texas didn’t mean you HAD to go out 	{'place_id': '1c69a67ad480e1b1'}
399837789	2020-06-17T18:46:06.000Z	1273326065914699776	Adults blaming the young about going out to parties and bars with no mask, yet I see y’all asses go to the damn store with no mask on touching everything and standing close to people?! 🤦🏼‍♂️	{'place_id': '1c69a67ad480e1b1'}
474554569	2020-06-17T18:06:05.000Z	1273315998481907712	People who go out and don’t wear a mask are the definition of selfish. If you can’t do this one thing to protect others then you don’t deserve to go out.	{'place_id': '1c69a67ad480e1b1'}
489120299	2020-06-17T18:05:37.000Z	1273315881913856001	    so quit your job? if it’s that bad then quit. blue lives don’t matter because they don’t exist. nobody is born a cop. it’s a job and if you’re too scared to go to work then stop going it’s simple	{'place_id': '6dd590c61801b09c'}
135706705	2020-06-17T17:30:48.000Z	1273307119375323144	I’m mad af I gotta type these tracking numbers manually because they didn’t set my shit up right to automatically go out!	{'place_id': '1c69a67ad480e1b1'}
3882822854	2020-06-17T17:29:47.000Z	1273306863929622530	Lmfao what the fuck did America expect when shit opened back up? For people to not go out?	{'place_id': '1c69a67ad480e1b1'}
985730946	2020-06-17T17:26:29.000Z	1273306030198456320	I’m Really thinking of going back to school, even if it’s online classes. I just want to continue to learn and grow	{'place_id': '1c69a67ad480e1b1'}
532796573	2020-06-17T16:48:05.000Z	1273296367511834631	Mf risking their life’s to go out and party 🤬	{'place_id': '1c69a67ad480e1b1'}
2163697039	2020-06-17T16:00:07.000Z	1273284295877066753	There’s nothing in this world that I hate more than a liar. A simple lie is what starts shit. You go out of your way to lie to me when I’m so understanding, you’re getting cut off. No mercy.	{'place_id': '1c69a67ad480e1b1'}
16963242	2020-06-17T15:59:29.000Z	1273284138125209601	the worst part about going out was when the bar would start playing fall out boy or patd and ppl turn to me bc they know it's about to get real caucasian for the ex emo girl	{'place_id': '1c69a67ad480e1b1'}
711284918848860162	2020-06-17T15:19:41.000Z	1273274123456831491	Bro... the audacity people have to go out of there way to be racist. 	{'place_id': '1c69a67ad480e1b1'}
884977989368152064	2020-06-17T15:12:17.000Z	1273272258400858114	Continue, this brings me to college coaches and The NBA, You’re contributing to this madness by not telling kids the truth...the days of going overseas is coming to an end. Think Covid 0...Get a career when you have the energy. Not enough qualified athletes in corporate America	{'place_id': 'bcb210d6cf34438a'}
900829552934629376	2020-06-17T14:21:08.000Z	1273259387684040704	 Going to be sad to see yet another great show go off the air. What a cast! I guess if you got to go, go out with a boom. I'm ready! 	{'place_id': '1c69a67ad480e1b1'}
3274998847	2020-06-17T13:45:57.000Z	1273250533919293440	OFCOURSE the only day I planned a day trip to Austin with my man they tell me we coming back to school !!! 😒	{'place_id': '3e82edc94d5c5ce1'}
1032875904	2020-06-17T13:24:29.000Z	1273245131911593986	Financial aid came in and I’m going to school!	{'place_id': '1c69a67ad480e1b1'}
1170626245	2020-06-17T13:23:20.000Z	1273244842265583619	Did I really stay up all night researching my options for going back to school after I said I’d never do that shit again. Yuuuup. Someone tell me no.	{'place_id': '1c69a67ad480e1b1'}
1172551483058872320	2020-06-17T12:54:17.000Z	1273237529559474179	On life, going to college doesn’t mean your smart AT ALL. 	{'place_id': '1c69a67ad480e1b1'}
400489689	2020-06-17T12:21:29.000Z	1273229277643841538	I’m done going out 0 people I know have corona not surprised but just disappointed	{'place_id': '1c69a67ad480e1b1'}
2274688304	2020-06-17T10:52:03.000Z	1273206770555592704	The statewide reopening hasn't been easy on bars and restaurants. Now, Gov. Greg Abbott is stepping in to make sure they're following proper social distancing rules. Will you be going out for a drink anytime soon?     	{'place_id': '1c69a67ad480e1b1'}
3281936245	2020-06-17T09:32:41.000Z	1273186794738274304	i'm going to college soon and all i can think about is all these girls getting assaulted/raped in colleges	{'place_id': '1c69a67ad480e1b1'}
2848039440	2020-06-17T06:58:06.000Z	1273147894309228544	Lowkey thinking bout going back to college	{'place_id': '1c69a67ad480e1b1'}
719204710234722304	2020-06-17T06:28:14.000Z	1273140375927115777	Going out sad	{'place_id': '0e40313cfe54c000'}
420590626	2020-06-17T06:24:32.000Z	1273139444850229251	My husbands been working on our house for months now. I’ve seen him go to work from 0am come home at 0pm and not go to bed till 0am. I admire his dedication. ❣️ thankful for everything he does for us. 👨‍👩‍👧	{'place_id': '1c69a67ad480e1b1'}
135706705	2020-06-17T05:10:52.000Z	1273120905783320576	SOLD OUT ✂️ I been giving the post office hell this week so I’m redoing this deal. Tracking Confirmations go out in the morning and I’m taking 0 Custom Wig Orders tomorrow for the month of June! 🦋🧪💕 	{'place_id': '1c69a67ad480e1b1'}
496759004	2020-06-17T04:40:21.000Z	1273113228269273090	Let people go out and let them deal with the consequences just like me. People aren’t fucking perfect. What do you get out of talking shit?	{'place_id': '1c69a67ad480e1b1'}
1051164909332037632	2020-06-17T04:15:07.000Z	1273106878453727232	 thank you for always being a proponent of equity and human rights.Many educators would love to return to school equipped with anti-racist resources and ready to change the world, but we also fear retaliation and silencing.	{'place_id': '7543692056063d2f'}
3461203092	2020-06-17T03:57:37.000Z	1273102475239792643	Should I go out?	{'place_id': '1c69a67ad480e1b1'}
124937897	2020-06-17T03:24:11.000Z	1273094057888186371	Just because everything is open doesn’t mean go out and do shit just stay inside people stay safe.  ￼￼	{'place_id': '1c69a67ad480e1b1'}
1385773292	2020-06-17T03:13:03.000Z	1273091256445517824	 Did we open too soon? Yes. To those saying stay home, let’s hypothecally say it’s 0% 0%, who will run the restaurants and retail stores for those that decide to go out. It’s not like that 0% would be given the chance to stay home bc the other 0% would complain to companies.	{'place_id': '1c69a67ad480e1b1'}
760587092967559168	2020-06-17T03:12:28.000Z	1273091110865436678	I joined SSP bc I want to be able to gain the knowledge that my advisors can give me about college. I want to be able to have an upper hand when it comes to applying to college, and also bc James was really hoping I get into this program. - Evelyn  	{'place_id': '1c69a67ad480e1b1'}
2298431012	2020-06-17T02:59:03.000Z	1273087736782749707	I wanna go out & about n take cute pics 😭 summer ‘0 sucks.	{'place_id': '798522f39f66d411'}
12640502	2020-06-17T02:55:44.000Z	1273086899708551168	“You’re not going to go out and get Jiggy with some boy”    The parenting advice I needed when I found out I was having girls. 😂 😂 😂 @ Buffalo Bayou Brewing Company 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.37971488, 29.77265404]}}
611305033	2020-06-17T02:49:00.000Z	1273085206560419847	 I need to go out there when all this shit goes back to normal	{'place_id': '1c69a67ad480e1b1'}
2342626484	2020-06-17T02:42:53.000Z	1273083665971580928	Today I started serving again, and will be going back to school in August! A career change but for something I’m excited to do.  	{'place_id': '1c69a67ad480e1b1'}
1855174494	2020-06-17T02:42:16.000Z	1273083510027366400	When my boss message me, “can you come to my office please” 	{'place_id': '1c69a67ad480e1b1'}
616936517	2020-06-17T02:20:59.000Z	1273078156572975105	Y’all are really surprised that covid numbers have gone up when we watched people go out for memorial weekend?	{'place_id': '1c69a67ad480e1b1'}
250212643	2020-06-17T01:32:52.000Z	1273066047244042242	If you have COVID please tell people who you’ve been around. ALSO if you are getting tested because you believe you have it, quarantine yourself. Do not go out just hoping you’re not positive. 😒😒	{'place_id': '1c69a67ad480e1b1'}
37230936	2020-06-17T01:31:18.000Z	1273065651188400128	 I hope she’s ok but I’d be down (went to college in FL)	{'place_id': '1c69a67ad480e1b1'}
