1282016987355414534	2021-08-23T23:56:01.000Z	1429955620170616840	Back to school with the bestie! Yay! First day down! 💜     	{'place_id': '7a41192a2879ee24'}
2996175338	2021-08-23T14:42:18.000Z	1429816271273701379	like I went to school to be a therapist for a bit but I ain’t graduate I am not a professional please do not treat me like I’m one just bc I make MFM porn on the internet and I *seem* confident 😭	{'place_id': '1c69a67ad480e1b1'}
28601277	2021-08-23T14:28:57.000Z	1429812913058029579	First grader went to school. Now I have a weeks worth of email and also somehow so much physical mail ?! to distract myself with 🥴	{'place_id': '1c69a67ad480e1b1'}
600667276	2021-08-23T14:23:03.000Z	1429811425665601537	i wanna go back to school	{'place_id': '1c69a67ad480e1b1'}
905877988377583616	2021-08-23T14:20:37.000Z	1429810813783662600	Today is my first day back to school….and hbs from my class finding me on insta 😳	{'place_id': '01e986b204ff5847'}
456806800	2021-08-23T14:17:17.000Z	1429809976025960454	babygirl: can i take my taser and pepper spray to school                               me: leave that shit on my dresser 🥴😑🤣🤦🏽‍♀️	{'place_id': '1c69a67ad480e1b1'}
1543792147	2021-08-23T13:49:27.000Z	1429802970540122119	I know it’s a crazy time of year but published this old blog post with  as a reminder to school administrators & leaders the importance of making spaces for appreciation and positivity. A little ❤️ goes a long way! 	{'place_id': '1c69a67ad480e1b1'}
995727188	2021-08-23T13:45:01.000Z	1429801854280552453	I have co workers with kids as young as my kids and they don’t want to get vaccinated, but will send their kids to school and say, “oh they’ll be fine,”now one of my coworkers kids which is 0 is in the ICU fighting. This is why I got the vax to protect my family.	{'place_id': '1c69a67ad480e1b1'}
33645633	2021-08-23T13:44:08.000Z	1429801635161722883	I completely adore my friends, it don’t feel like a obligation or a requirement to be their friend, or not go out when i don’t want to. Without it being shade or someone upset. I really love it here !	{'place_id': '1c69a67ad480e1b1'}
128768726	2021-08-23T13:36:59.000Z	1429799832210841608	I’ve spent a year and half keeping my babies safe from covid. I just hope sending them to school won’t fuck it up.	{'place_id': '1c69a67ad480e1b1'}
1282998737074368513	2021-08-23T13:35:19.000Z	1429799415712190464	Welcome back to school everyone. Dylan's 0st day of his last year! Wow time flies. Sami's 0st day of her last year in MS! Maria's 0th year school counseling.❤. 	{'place_id': '1c69a67ad480e1b1'}
619792406	2021-08-23T13:26:04.000Z	1429797087491903492	If you are an educated folk on this street, please do not stop reading. If you are that fellow that didn’t have the opportunity to go to school, please discover yourself and then launch yourself to the world. You can even hire the so called educated one day. 	{'place_id': '1c69a67ad480e1b1'}
322035862	2021-08-23T13:17:26.000Z	1429794915060535309	Wife’s unvaxxed coworker showed up to school today feeling sick and is getting a rapid test done on site 	{'place_id': '1c69a67ad480e1b1'}
406656516	2021-08-23T13:14:55.000Z	1429794281183760386	Omg this back to school traffic is ridiculous. Good thing I go against it for work 😂😂😂😂	{'place_id': '1c69a67ad480e1b1'}
1004909069096947712	2021-08-23T13:09:58.000Z	1429793036763115532	Monday AND Back to school 🏫 means Fresh Baked Cinnamon Rolls! 🎉🥮 Grab one (or 0) for an after school treat for your little ones! And….who are we kidding…. we’re devouring one for breakfast with our Cappuccino right now 🤤😉 	{'place_id': '1c69a67ad480e1b1'}
952032685018505216	2021-08-23T12:56:05.000Z	1429789540856762369	I hope the babies and staff going back to school have a great day and a happy, healthy year ❤️	{'place_id': '1c69a67ad480e1b1'}
615472512	2021-08-23T12:51:09.000Z	1429788299934248963	Mathews gang Back to school,stay safe world! 💎🌎💯  @ Katy, Texas 	{'place_id': 'c484d6c5cd72beb0', 'coordinates': {'type': 'Point', 'coordinates': [-95.82333, 29.78773]}}
984406551715868672	2021-08-23T12:46:23.000Z	1429787102137434117	I just sent a covid-negative child to school. I expect him to stay that way,   I'll do my part, you do yours.  	{'place_id': '1c69a67ad480e1b1'}
573217931	2021-08-23T12:30:15.000Z	1429783038033080321	Sending my best wishes for a fantastic school year to all my friends in education going back to school today (and those who already started) !! ❤️ 	{'place_id': '1c69a67ad480e1b1'}
1667047518	2021-08-23T12:05:21.000Z	1429776773030588425	I… REALLY… don’t feel like getting up and going to work	{'place_id': '1c69a67ad480e1b1'}
3289239570	2021-08-23T11:36:21.000Z	1429769476518645770	ppl really going out and getting crates just to bust they ass lmaoo	{'place_id': '1c69a67ad480e1b1'}
1389097806087008257	2021-08-23T11:28:23.000Z	1429767471125475330	Goin to school with out my beads done	{'place_id': '1c69a67ad480e1b1'}
3289239570	2021-08-23T11:25:32.000Z	1429766754029473792	ppl up going to school and work and i’m just now about to gts	{'place_id': '1c69a67ad480e1b1'}
33901675	2021-08-23T10:22:16.000Z	1429750831973240837	BACK TO SCHOOL! Today is the big day for HISD. Thanks to the wonderful volunteers who helped put together the goodies bags with snacks and supplies for Marshall Middle School Students!  	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.3670068, 29.7782603]}}
1096585301642874880	2021-08-23T07:10:18.000Z	1429702521438810115	Most definitely should because when I say that I’m usually dealing with a lot and I’m doing the same thing so go out and be great 💁🏽‍♀️ 	{'place_id': '1c69a67ad480e1b1'}
174109598	2021-08-23T06:30:52.000Z	1429692598701133827	I’m even accepting male friends in this season, lol. I miss going out and shaking a tail feather.	{'place_id': '1c69a67ad480e1b1'}
174109598	2021-08-23T06:28:24.000Z	1429691979202498560	Looking for a buddy to go out with to clubs, lounges, bars, karaoke, etc… Someone who loves to dance, vibe, smoke, drink yet is still mature & optimistic under mentioned influences. Oh and you have to be pretty, pardon my shallow.	{'place_id': '1c69a67ad480e1b1'}
1629565759	2021-08-23T05:48:03.000Z	1429681824696000514	I need to stop going out with an empty stomach 🥴	{'place_id': '1c69a67ad480e1b1'}
2546023020	2021-08-23T05:45:28.000Z	1429681171940663296	I have no motivation to go to work tonight… come see me tho 🤪	{'place_id': '1c69a67ad480e1b1'}
174109598	2021-08-23T05:04:38.000Z	1429670898857021443	I would like friends to go out with. Well, gotta find places that ain’t got metal detectors, and learn to go out just me and my Taurus .0	{'place_id': '1c69a67ad480e1b1'}
1216932542	2021-08-23T04:58:11.000Z	1429669273673289731	Fuck having to go to work tomorrow	{'place_id': '1c69a67ad480e1b1'}
1100215877880954880	2021-08-23T04:47:47.000Z	1429666657354539011	I miss going to school. ☹️	{'place_id': '1c69a67ad480e1b1'}
456806800	2021-08-23T04:39:53.000Z	1429664670323970050	back to school for the kiddos in the A.M. i’m so ready	{'place_id': '1c69a67ad480e1b1'}
713424308	2021-08-23T03:53:22.000Z	1429652962306150407	You look at shit different when you dropping someone else’s kids to school	{'place_id': '1c69a67ad480e1b1'}
834531678072795141	2021-08-23T02:59:16.000Z	1429639345795960832	WE’RE BACK ON THE YARD WITH THE HOTTEST BACK TO SCHOOL PARTY,  IS OFFICIALLY 0 DAYS AWAY, FIND YOUR FAVORITE  MEMBER AND GET YOUR PRESALES‼️🗣 	{'place_id': '1c69a67ad480e1b1'}
1259569220209254406	2021-08-23T02:40:50.000Z	1429634709445881860	Sigh really gotta go back to school tomorrow lmaaaooo	{'place_id': 'bc39561011b12bc6'}
283844578	2021-08-23T02:04:44.000Z	1429625625585885184	I am not going out until my birthday 	{'place_id': '1c69a67ad480e1b1'}
1395250847366488073	2021-08-23T01:57:19.000Z	1429623759263215620	This my last night going out.	{'place_id': '1c69a67ad480e1b1'}
1268583919668137985	2021-08-23T01:41:28.000Z	1429619767950860292	Sending my daughter back to school has my anxiety at an all time high. She has asthma which makes her at risk. I really hope my talks about wearing her mask and washing her hands consistently help keep her Covid negative. Neither one of us have had a positive Covid test yet.	{'place_id': '1c69a67ad480e1b1'}
118289772	2021-08-23T01:38:56.000Z	1429619129200398336	 I wouldn't send an unvaccinated child to school.	{'place_id': '1c69a67ad480e1b1'}
1629565759	2021-08-23T01:17:30.000Z	1429613736399081479	Who let me go out today?????	{'place_id': '1c69a67ad480e1b1'}
382186450	2021-08-23T00:47:20.000Z	1429606143907794950	My cousin changed her mind and But I want one of these taco’s restaurants 😤 I need to learn how to go out to eat alone 🤦‍♂️	{'place_id': '1c69a67ad480e1b1'}
1616004078	2021-08-24T23:22:11.000Z	1430309490633711620	With the help of my friends at theUNIVERSITY OF HOUSTON,TEXAS SOUTHERN,& PRAIRIE VIEW A&M... 🌟I present to you  the livest back to school party of the year! 🔥September 0rd— Labor Day WeekendIf you know you know, if you don’t you need to find out. Don’t miss it 	{'place_id': '1c69a67ad480e1b1'}
21783051	2021-08-24T23:17:06.000Z	1430308213661048835	Great advice from  CEO of  when it comes to    	{'place_id': '1c69a67ad480e1b1'}
509588494	2021-08-24T23:01:12.000Z	1430304212781518848	 I need to go back to school then	{'place_id': '1c69a67ad480e1b1'}
43244780	2021-08-24T21:39:06.000Z	1430283551044513795	The DME providers that are in network for   are completely inept. Over $0k annually for family plan and have to go out of network for someone who can actually help me.	{'place_id': '1c69a67ad480e1b1'}
322035862	2021-08-24T20:49:15.000Z	1430271003419103235	  It is a choice. You can choose to not go to school. Seems like you may have already done that.	{'place_id': 'cf3b45e29c2c319b'}
1341539599005454349	2021-08-24T20:04:23.000Z	1430259712583405576	 I love going out alone ☠️ it’s pretty relaxing	{'place_id': '1c69a67ad480e1b1'}
1271037075425579009	2021-08-24T20:02:33.000Z	1430259251839213570	MOM'S WALKED ME TO THE BUS STOP IN 0RD WARD FIRST TIME I RODE  TO SCHOOL IN ELEMENTARY.Next day (by myself) I came back home after an hour.I told mom my bus driver never came.You see I thought it had to be the same driver as day 0, so I waved several drivers by.	{'place_id': '1c69a67ad480e1b1'}
258018566	2021-08-24T19:36:38.000Z	1430252729461624832	….it JUST hit me…. This man made plans to go out with me Saturday, but even though I got sick and couldn’t go… he wasn’t even in town to meet me! AND DIDNT ANSWER THE PHONE WHEN I CALLED HIM!!I WAS ABOUT TO GET STOOD TF UP A FEW DAYS AGO!!!!yeeea im done. 	{'place_id': 'bcb210d6cf34438a'}
1014333930470821889	2021-08-24T19:27:50.000Z	1430250516374818817	Happy Mars Day aka Tuesday 💥 Mars day is a good day to take action, build and begin new habits, and get sh*t done 👏🏼 Perfect day for me to start going back to school! 🌛 @ Houston, Texas 	{'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}, 'place_id': '1c69a67ad480e1b1'}
1220410968695627781	2021-08-24T18:57:21.000Z	1430242844401414156	 Go to work nephew 💯💯🐐	{'place_id': '1c69a67ad480e1b1'}
415279499	2021-08-24T18:45:49.000Z	1430239942232399872	Back to school back to school🎶 	{'place_id': '3e82edc94d5c5ce1'}
280712716	2021-08-24T18:43:23.000Z	1430239328391806979	bitch. i really gotta go to work 🙄	{'place_id': '1c69a67ad480e1b1'}
401785265	2021-08-24T17:35:12.000Z	1430222170710548480	🙌🏽 Went  and I visited a  0th Grade ELA teacher and what did I see…A READ ALOUD.. AND it was ONE of my favorite back to school books! This made my day! Literacy is happening  you’ll be so proud!   	{'place_id': '07d9ddb2d5c80003'}
1382980107493535745	2021-08-24T16:51:15.000Z	1430211112717389829	It’s the way that I’ll go out of my way not to go to the Walmart in Deer Park	{'place_id': '01e986b204ff5847'}
1341539599005454349	2021-08-24T16:44:52.000Z	1430209503329505290	I wanna go back to school but just thinking about the added stress is stressing me out LOL	{'place_id': '1c69a67ad480e1b1'}
594136396	2021-08-24T16:37:02.000Z	1430207532056842250	I really got my baby girl a first and second day back to school gifts 🥲💕 I’m so blessed I’m able to give my baby girl the life my mom struggled so hard to give us 😭 	{'place_id': '9f01afcf2620212f'}
819946138526777346	2021-08-24T16:16:37.000Z	1430202395519291396	Praying for the health and safety of all of our students, staff, & faculty as  is back to school. Please get vaccinated and mask up to reduce the risk to you and those around you! Special thanks to  and  for all you're doing for our kids! 💙 	{'place_id': '1c69a67ad480e1b1'}
210294484	2021-08-24T15:51:33.000Z	1430196085000134657	Y’all kids look so adorable going back to school 🥺 give me 0 years tho lmfaooo, i might be ready to have one	{'place_id': '1c69a67ad480e1b1'}
856161012134936577	2021-08-24T15:49:44.000Z	1430195629402243073	Cara was complimented every day/night in Nashville in every outfit. She will now be exclusively going out in a baggy hoodie.	{'place_id': '1c69a67ad480e1b1'}
846542233855819776	2021-08-24T15:31:17.000Z	1430190984894337029	I do not wanna go to work	{'place_id': '1c69a67ad480e1b1'}
235759154	2021-08-24T15:26:35.000Z	1430189801769144320	If you could go back to college and do something differently, what would you do?	{'place_id': '1c69a67ad480e1b1'}
977943770959437829	2021-08-24T15:11:47.000Z	1430186079894839299	I really go to school today for ONE class. 	{'place_id': 'cf3b45e29c2c319b'}
1195336952985346055	2021-08-24T14:27:22.000Z	1430174901332324370	No longer going out of my way for ungrateful people	{'place_id': '1c69a67ad480e1b1'}
313734070	2021-08-24T14:05:04.000Z	1430169287801675778	Okay my baby riding her bike to school. (Across the stress) 	{'place_id': '1c69a67ad480e1b1'}
451104706	2021-08-24T13:57:47.000Z	1430167454945325073	HPD Look Good Feel Good Back To School Drive…0-0  @ Houston Police Credit Union 	{'coordinates': {'type': 'Point', 'coordinates': [-95.37438, 29.76443]}, 'place_id': '1c69a67ad480e1b1'}
309404684	2021-08-24T13:56:17.000Z	1430167076942065672	Lord please bless the youth as they return to school	{'place_id': '1c69a67ad480e1b1'}
1396743223314370565	2021-08-24T13:40:35.000Z	1430163126918553608	0 H&M Outfits For Back To School  via 	{'place_id': '1c69a67ad480e1b1'}
18499012	2021-08-24T13:32:56.000Z	1430161203960156163	I’ve been on  disaster responses and I know how hard they are working to bring food, shelter and comfort to those in need. Prayers going out to them, and the emergency responders, with gratitude for their service.     	{'place_id': '1c69a67ad480e1b1'}
33645633	2021-08-24T13:29:00.000Z	1430160213252972545	Nic Besti went to school today and she looks Soo stinking cute 🥰 she	{'place_id': '1c69a67ad480e1b1'}
827356702932606976	2021-08-24T12:58:50.000Z	1430152622611308552	Okay here’s my back to school pic!  	{'place_id': '1c69a67ad480e1b1'}
54027200	2021-08-24T12:58:35.000Z	1430152558304235526	This back to school traffic ain’t it	{'place_id': '1c69a67ad480e1b1'}
1096585301642874880	2021-08-24T11:26:36.000Z	1430129410166898688	My gawd 0 kids and I’m down to my last one going off to her first day of 0th grade today and then she is off to college I didn’t even imagine this when I gave birth to them all I’m so proud 🥺🥺🥺🥺 but sad and filled with pre empty nest anxiety 😫	{'place_id': '1c69a67ad480e1b1'}
1012431804865925120	2021-08-24T11:12:48.000Z	1430125938042413062	All this talk about back to school has me thinking about those SQUARE cafeteria pizzas. Yeah, THOSE ONES! 😂 I was always looking forward to Friday lunch 🍕 	{'place_id': '010edcb7655caac2'}
456806800	2021-08-24T09:54:00.000Z	1430106105405976595	i’m ready to get off take my daughters to school and go to bed…thank god they have practice tomorrow	{'place_id': '1c69a67ad480e1b1'}
611374368	2021-08-24T09:23:51.000Z	1430098518321074176	When I was a kid, my Dad who worked graveyard shift told me to go to college so I didn’t have to work nights. Now I’m a 0th year PhD student & here with my  labmates at midnight to pull off a big experiment. Even in higher education, I couldn’t escape being a  	{'place_id': '0ff4f66421141000'}
2424211668	2021-08-24T08:52:28.000Z	1430090621620998172	Everybody was sending their adorable babies off to school today meanwhile I’m at Buy Buy Baby buying Halloween onesies 🥺😂	{'place_id': '1c69a67ad480e1b1'}
904536024	2021-08-24T03:54:37.000Z	1430015663515574274	 Awesome! The first one went super well, so I'm going to work on a good lesson plan and announce another one soon-ish. Lemme know if there's anything in particular you're interested in learning!	{'place_id': '1c69a67ad480e1b1'}
175735226	2021-08-24T03:36:40.000Z	1430011146698956804	. gets it. In  he articulates the experience of a subset of parents. A subset. The others are blissfully sending their lightly masked kids to school and then having a  happy hour with the other class parents.  	{'place_id': '1c69a67ad480e1b1'}
71000486	2021-08-24T02:24:42.000Z	1429993034658234368	 Dusty needs a walker and oxygen to get off his ass and go out on the field for a second time in as many half innings.	{'place_id': '3e82edc94d5c5ce1'}
845902645	2021-08-24T01:52:10.000Z	1429984848689651713	And then let the player return to school. Hello Manziel to his Junior SZN instead of the fucking Browns. 	{'place_id': '1c69a67ad480e1b1'}
82029635	2021-08-24T01:50:22.000Z	1429984395457347585	Texting with one of my students who’s going through it right now, and apparently students are showing up to school knowing they have COVID. This…. is not great.	{'place_id': '1c69a67ad480e1b1'}
845902645	2021-08-24T01:50:19.000Z	1429984384711602181	  Would be even better if said player could then return to school as well. Bc fuck NFL, ya know	{'place_id': '1c69a67ad480e1b1'}
262451603	2021-08-24T01:21:25.000Z	1429977110408540161	I really gotta go to work tomorrow 😩	{'place_id': '1c69a67ad480e1b1'}
42542579	2021-08-24T00:16:36.000Z	1429960800131854336	Follow your hearts and go to college. The stories from the yards are priceless. Meet your wives and focus on overall development and growth. The next level will be there…	{'place_id': '1c69a67ad480e1b1'}
3018058866	2021-08-25T22:41:29.000Z	1430661638588354566	 I’m tired as hell, I go out to get something from my car and I’m sweating before I even get to that mf 😭😭😭😭	{'place_id': '1c69a67ad480e1b1'}
567834502	2021-08-25T22:23:02.000Z	1430656993119854597	 The fact that you are comparing not wearing a mask/not getting a vaccination to jerking off in public..... like damn dog not wanting to be forced into something isn't the same as going out of your way to be an enemy of the public. Your logical thinking broke broke	{'place_id': '1c69a67ad480e1b1'}
102454296	2021-08-25T20:46:27.000Z	1430632689154015247	  How long are you going to work on this? 	{'place_id': '1c69a67ad480e1b1'}
1511712019	2021-08-25T20:37:25.000Z	1430630416722141190	Ok officially not going out no where unless there’s AC , I’m too pregnant for this heat! 😩	{'place_id': '1c69a67ad480e1b1'}
167201790	2021-08-25T20:22:44.000Z	1430626720772771845	I just refuse to go out sad because of a woman.	{'place_id': '1c69a67ad480e1b1'}
2610431871	2021-08-25T20:13:43.000Z	1430624451918508035	I’m really bouta go to school. I’m excited as hell. 😂😭	{'place_id': '1c69a67ad480e1b1'}
31252851	2021-08-25T19:33:35.000Z	1430614351661215745	Highkey ima be sad when I go back to work. I was digging this stay at home mom shit but momma gotta go out & GEETTTT IITTTTT 🗣😂	{'place_id': '1c69a67ad480e1b1'}
238236942	2021-08-25T18:17:21.000Z	1430595165681602567	Can’t be out here going out sad just to be in no relationship. Not I said the cat	{'place_id': '1c69a67ad480e1b1'}
24327133	2021-08-25T16:43:18.000Z	1430571497459011589	Ight y’all gon get one of these posts from me like every 0 years but lol s/o to all the females wit normal jobs 💯That shit ain’t easy going to work everyday and not comparing your lives to the hoes. S/o to the hoes for streaming my music tho but yall know what I mean 🤣	{'place_id': '343ecdd7da8dfae0'}
2531727464	2021-08-25T15:53:19.000Z	1430558918338564099	They first day going back to school in person    my big boys 	{'place_id': '1c69a67ad480e1b1'}
1319119701285404673	2021-08-25T15:43:29.000Z	1430556443116285968	It’s hitting me that half the campus has never really been to college	{'place_id': '1c69a67ad480e1b1'}
247145113	2021-08-25T15:16:02.000Z	1430549537249271816	If your child was home sick with COVID then clears to go back to school,  he/she should wear a mask!!	{'place_id': '6dd590c61801b09c'}
15742406	2021-08-25T15:02:13.000Z	1430546057696579585	 I do this a lot—get stressed or sad, then go out on the porch to see my plants. I talk to them, tell them how good they’re doing. It’s a nice break and usually makes me feel better.	{'place_id': '1c69a67ad480e1b1'}
937090222738890752	2021-08-25T14:46:01.000Z	1430541981017681931	The only thing that’s been on my mind is going back to school & finishing my Health Administration degree 🤞🏽	{'place_id': '1c69a67ad480e1b1'}
1169446685279424512	2021-08-25T14:09:53.000Z	1430532890153164805	some kids dream of riding to school in a car... those with billionaires for family members dream of riding a school bus lmfao 	{'place_id': '6dd590c61801b09c'}
15276921	2021-08-25T14:09:09.000Z	1430532703338774532	Definitely put in some strenuous physical labor yesterday preparing Math curriculum materials to go out to schools, but also definitely and thankfully made some new friends in the Curriculum & Instruction Department!      	{'place_id': '07d9dcc346481001'}
3057337510	2021-08-25T12:55:04.000Z	1430514061658165248	Making Kamarion listen to Views on the way to school. He has to understand classics	{'place_id': '1c69a67ad480e1b1'}
253354960	2021-08-25T12:05:07.000Z	1430501492461613056	 😆😆 He grew up 😭😭 How are your babies and where are they going to school?	{'place_id': '004b5a825b5fa14b'}
1211724175800291337	2021-08-25T11:36:25.000Z	1430494269006045184	me going to school in my markiplier comfort hoodie 🥺🥺🥺🥺🥺🥺 	{'place_id': '38d0e797745f4c5d'}
1285119056174030848	2021-08-25T07:55:16.000Z	1430438615696429057	I’d study art or social studies if I ever go back to school …	{'place_id': '1c69a67ad480e1b1'}
482322378	2021-08-25T06:51:55.000Z	1430422673079914499	    No I don't agree that it crumbs.I know many families that have benefited from the monthly payments for kids. Especially during back to school uniform and school supply buying days.	{'place_id': '1c69a67ad480e1b1'}
3794661619	2021-08-25T05:27:53.000Z	1430401522341404674	It is more likely for me to meet my dreams going to bed than going to school and that’s why sometimes sleeping through a class IS productive	{'place_id': '00f2b6161655c5cc'}
117928516	2021-08-25T04:43:26.000Z	1430390339647557636	And you're going to do talkin about soon you let me know when you want to go out again	{'place_id': '1c69a67ad480e1b1'}
1616004078	2021-08-25T03:59:54.000Z	1430379380329664514	I don’t know if it’s people too scared to network, or they think that they don’t have to..But start going out & networking	{'place_id': '1c69a67ad480e1b1'}
1096585301642874880	2021-08-25T03:27:53.000Z	1430371323528761348	All these kids going back to school and y’all playing with the damn milk crates dawg i am over it 😭🤣	{'place_id': '1c69a67ad480e1b1'}
29460574	2021-08-25T03:06:19.000Z	1430365895533244424	not having going out friends in houston saves me mad money and energy… but i be sad asf lol	{'place_id': '1c69a67ad480e1b1'}
1494130428	2021-08-25T01:48:56.000Z	1430346424684883971	For all my back to school people that need furniture, I’m selling these couches and area rug so hmu if interested: 	{'place_id': '1c69a67ad480e1b1'}
1279722780267773952	2021-08-25T01:45:54.000Z	1430345661862526977	i don’t really likes clubs n going out…i’d rather roll up & head home 😂	{'place_id': '1c69a67ad480e1b1'}
1418029351682072579	2021-08-25T01:27:19.000Z	1430340982462205952	Bad Bitch Good head went to college ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥 	{'place_id': '1c69a67ad480e1b1'}
2515846224	2021-08-25T01:16:10.000Z	1430338176716099585	  - Yesterday, we got to join  and  at the  while they gave out free backpacks and prizes to kids before they head back to school. Thank you guys for having us! ....   	{'place_id': '1c69a67ad480e1b1'}
820772189716750336	2021-08-26T23:26:32.000Z	1431035361698910212	Really taking my time going to work	{'place_id': '1c69a67ad480e1b1'}
1412839105898090498	2021-08-26T22:13:50.000Z	1431017067654918145	I’m almost thereeee!! Last few classes before I have to apply for nursing school 🥺🥺 it’s been a long journey from school to school and I’ve had soooo many setbacks but I’m still going strong! S/o gang the mob for pushing me through it❤️‍🩹	{'place_id': '1c69a67ad480e1b1'}
1700902250	2021-08-26T22:11:20.000Z	1431016438345707525	The getting ready part is what makes me think twice about going out	{'place_id': '1c69a67ad480e1b1'}
1101667462402199552	2021-08-26T21:15:48.000Z	1431002464518615051	 Our hearts are heavy today for the losses sustained in Kabul today and go out to the Dept of Defense, the military, the families and all US citizens grieving the loss of these brave American lives.	{'place_id': 'cf3b45e29c2c319b'}
30064561	2021-08-26T20:19:17.000Z	1430988239997898754	 I was in a bad San Jac ad filmed in 0.   I screamed “So where ya gonna go?”, im a very 0’s fashion to the camera.  I went away to school and moved back in 0.  Ad was still on.  Thankfully the only place it still lives is my YouTube.	{'place_id': '1c69a67ad480e1b1'}
963727284	2021-08-26T19:26:19.000Z	1430974912014032900	 Venmo handle: fernyfries My study buddy: nathan-sanmiguelHelp us with our back to school expenses!! 📚🎓  	{'place_id': '1c69a67ad480e1b1'}
1096585301642874880	2021-08-26T18:08:39.000Z	1430955364040810502	 Another thing when u go out with people it only takes one’s attitude or something to ruin a whole night I hate that peoples emotions and attitudes will have me ready to go quick	{'place_id': '1c69a67ad480e1b1'}
3880993215	2021-08-26T18:07:24.000Z	1430955048671010816	“Scheduled to go out shortly, thanks!” is my middle name 	{'place_id': '1c69a67ad480e1b1'}
502208982	2021-08-26T17:21:49.000Z	1430943579111841804	My ass ready to go to work lol	{'place_id': '1c69a67ad480e1b1'}
1076861248673849346	2021-08-26T16:26:13.000Z	1430929587458826243	three people just cashed they check in front of me I think I need to go to work today😂😂😂😂😂😂	{'place_id': '1c69a67ad480e1b1'}
893617428	2021-08-26T16:08:24.000Z	1430925103366295558	Everybody keep asking me “why are you going back to school” 😂😂🤦🏽‍♀️🤦🏽‍♀️ Say man, I gotta set myself up right in the long run. Even though I’m set in my career, you can never get too comfortable & I want to secure a future for me outside of work.	{'place_id': 'c7b527911412a784'}
66241032	2021-08-26T15:39:22.000Z	1430917798235099143	idk who needta hear this but if you had any plans before like wanting to go back to school, going after a certain job, open up a business, or anything DO THAT SHIT TODAY! stop waiting, stop procrastinating and stop being comfortable in your situation	{'place_id': '1c69a67ad480e1b1'}
