1155677277478359041	2020-10-06T23:23:10.000Z	1313620847232520193	Having a blast on our first day back to school 😀  	{'place_id': '0fc34d5c5994f000'}
962874965669433344	2020-10-06T13:07:34.000Z	1313465926298238976	Who told me go out and get dronk last night 😒 IM AT WORK DEHYDRATED AS FUCKKKK also my heads throbbing and I’m queezy	{'place_id': 'e589c1ec3b0b9d2e'}
1002264974801108992	2020-10-06T12:36:14.000Z	1313458042386685952	God this brought me back to college xD 	{'place_id': '1c69a67ad480e1b1'}
275123678	2020-10-06T12:16:22.000Z	1313453041320898560	Returning to school for work for the first time since the outbreak. Not convinced my school has my best interest in mind.	{'place_id': '1c69a67ad480e1b1'}
299336041	2020-10-06T07:39:16.000Z	1313383306801623041	I be dry up like I don’t be having to go to work	{'place_id': '1c69a67ad480e1b1'}
51894769	2020-10-06T06:15:52.000Z	1313362316638007296	I wanna go out to eat some seafood tomorrow 🤔	{'place_id': '1c69a67ad480e1b1'}
3408956298	2020-10-06T05:58:00.000Z	1313357820897775616	Thoughts and prayers go out to friends family and fans of the late great wrestling legend   @ Atascocita, Texas 	{'coordinates': {'type': 'Point', 'coordinates': [-95.1819, 29.9933]}, 'place_id': '38d0e797745f4c5d'}
4808943896	2020-10-06T05:42:28.000Z	1313353914717216768	I ain’t going out like no sucker	{'place_id': '1c69a67ad480e1b1'}
2570736600	2020-10-06T05:34:30.000Z	1313351906505490433	Yall went to highschool, I went to school high	{'place_id': '1c69a67ad480e1b1'}
3242492050	2020-10-06T04:53:57.000Z	1313341703047262208	My kind of videos! This is why I’m going to school for this. It’s so damn cool! 	{'place_id': '1c69a67ad480e1b1'}
386403973	2020-10-06T04:09:27.000Z	1313330504402456577	I honestly don’t see how some of y’all can go out EVERY SINGLE DAY! My liver would be dead	{'place_id': 'e589c1ec3b0b9d2e'}
1219799687353577474	2020-10-06T03:08:56.000Z	1313315277082374144	Last night I remembered that it was Sunday and that I would have to go back to school the next day and I started crying. So that’s how I’m doing	{'place_id': '1c69a67ad480e1b1'}
112245226	2020-10-06T02:40:24.000Z	1313308094504591361	  Feb 0. Biden camp. Agrees warm weather should taper it down and we are most likely over reactingFeb 0. Biden’s Ron Klain said everyone should go down to Chinatown and have dinner and stop being worriedFeb 0. Biden camp says going out and getting a mask isn’t going to help	{'place_id': '1c69a67ad480e1b1'}
995206037270654977	2020-10-06T02:38:15.000Z	1313307554739482626	You know, back in the day, Gator would mow down the opposition for seven innings, then Goose would mow them down for two, then we’d all go out and get drunk.	{'place_id': '01e74c422dab6107'}
582122745	2020-10-06T01:52:43.000Z	1313296095527698432	I also think he intentionally had Cam go out and catch Covid, so they can run the real game plan in the playoffs	{'place_id': '1c69a67ad480e1b1'}
44392015	2020-10-06T01:14:31.000Z	1313286482334027777	"""Go out there and die for the economy"" "	{'place_id': '1c69a67ad480e1b1'}
2603680604	2020-10-06T01:07:17.000Z	1313284660928147457	Did he literally just give himself props for catching Covid?! He led by being a total fucking idiot science denier? And then he is telling people to go out and ignore dangers because doctors can cure you no problem?! Go about your business? 	{'place_id': '1c69a67ad480e1b1'}
1042779801172488192	2020-10-06T00:21:33.000Z	1313273150273187840	It's crazy how some people think things will be the same when they start going out again 🙉	{'place_id': '1c69a67ad480e1b1'}
819034117257961472	2020-10-07T23:43:03.000Z	1313988239590674434	 This is why I only go out and get groceries!	{'place_id': '1c69a67ad480e1b1'}
1038567737746960386	2020-10-07T23:28:33.000Z	1313984591540162560	Since when did the phrase “going out” equal “in a romantic relationship” that’s odd.	{'place_id': '1c69a67ad480e1b1'}
1008207870448558081	2020-10-07T23:26:27.000Z	1313984061065629702	How do I explain to my family that I’d rather swallow a jean jacket than go back to college?	{'place_id': '1c69a67ad480e1b1'}
79867883	2020-10-07T22:51:23.000Z	1313975237432705025	    Lmao I’m sorry this weird vibes if you wanna do all that just call one of ya homeboys up cuz calling up a woman for this is pointless we can both pick up the tab alone on our own time and chill after we eat idc if a man ask me to go out to eat he pays cuz otherwise he’d go alone	{'place_id': '1c69a67ad480e1b1'}
3180695184	2020-10-07T22:49:29.000Z	1313974757763805187	wow a call actually going out way	{'place_id': '1c69a67ad480e1b1'}
104329318	2020-10-07T22:00:40.000Z	1313962474635493376	Not sure how to feel about Josh James going out there for a 0nd inning.	{'place_id': '54614bf2dabf5a43'}
767414259969953792	2020-10-07T21:40:44.000Z	1313957456448548864	 let’s go out this weekend 😫😫😫😫	{'place_id': '1c69a67ad480e1b1'}
1026609705215516672	2020-10-07T21:29:52.000Z	1313954723595268097	I wanna go out to eat	{'place_id': '1c69a67ad480e1b1'}
3240500095	2020-10-07T21:15:32.000Z	1313951113880760320	Im pursuing my business , Im going to school , and I work while being a full time mom , I love it here I need to be busy like this 🥰	{'place_id': '1c69a67ad480e1b1'}
701628588005535744	2020-10-07T21:09:29.000Z	1313949591050616832	Going to Work straight out of Work.	{'place_id': '1c69a67ad480e1b1'}
1150156000315527168	2020-10-07T21:00:57.000Z	1313947443248197635	If you aren’t using this BEAUTIFUL weather to go out and have a vibe-y picnic outside what are you doing??? 	{'place_id': '1c69a67ad480e1b1'}
1249096387289104385	2020-10-07T21:00:01.000Z	1313947210468524033	Finally got our placard from our state run sophomore year! Ready to go out, get another one just like this and graduate on the field just like these girls!💛  	{'place_id': '1c69a67ad480e1b1'}
433647220	2020-10-07T19:01:52.000Z	1313917476355346432	 Nope...never did...didn’t ask anyone, just kept going to work	{'place_id': '1c69a67ad480e1b1'}
789189605237010432	2020-10-07T18:54:49.000Z	1313915704157122561	I always say this to myself Everytime I think I wanna go out 😭😂 this is sad 	{'place_id': '1c69a67ad480e1b1'}
1945686102	2020-10-07T18:29:10.000Z	1313909247399342086	  Oh ya niggas wanna go out sad ?????	{'place_id': '1c69a67ad480e1b1'}
823375740309766144	2020-10-07T18:08:57.000Z	1313904159918297088	I hope I actually go out tonight it’s been time for me to move on	{'place_id': '010edcb7655caac2'}
1278455869	2020-10-07T18:03:45.000Z	1313902850095943682	    So just stay at home, run out of food because I can’t go to the store, don’t go to work and get fired, and just go fuck myself right? People can’t “just stay home”. Quit being a dickless asshat. You might as well have someone with COVID cough down your throat if you’re not scared	{'place_id': 'cf3b45e29c2c319b'}
3240500095	2020-10-07T17:49:55.000Z	1313899370035712000	i go back to school next week🥰	{'place_id': '1c69a67ad480e1b1'}
955105125202309120	2020-10-07T17:24:23.000Z	1313892945754554371	Like you filthy men who take pride in immature behavior of asking girls to go out to eat without securing the bill, you’re very smelly. Go wash yourself down	{'place_id': '1c69a67ad480e1b1'}
1674893138	2020-10-07T17:12:37.000Z	1313889985058267143	been in houston for 0 days and i already got paid to go out with someone lmao	{'place_id': '1c69a67ad480e1b1'}
2286185430	2020-10-07T17:06:26.000Z	1313888424919695361	 at least 0 times and week & I wear my MH mask everytime I go out 🤝	{'place_id': '1c69a67ad480e1b1'}
293195277	2020-10-07T16:53:16.000Z	1313885111755116546	Adults going out to eat and NOT spending at least $0 on themselves???	{'place_id': '1c69a67ad480e1b1'}
379556175	2020-10-07T15:50:06.000Z	1313869218945929217	I want to go back to school. 😩	{'place_id': '1c69a67ad480e1b1'}
1268190638945775616	2020-10-07T14:29:48.000Z	1313849006926303232	I don’t need to be worshipped or even liked but why do some people need to go out of their way to say condescending or jabby things?	{'place_id': '1c69a67ad480e1b1'}
3228443606	2020-10-07T14:10:08.000Z	1313844060411617280	 Go to work and help our President get checks out the door!!  Stop sitting on your thumb waiting for Nancy to help you. She hates Trump and does not care who it hurts. Shame on all of you!!  Go to WORK!! 	{'place_id': 'bcb210d6cf34438a'}
3228443606	2020-10-07T14:04:14.000Z	1313842574080323592	  Go to work and help our President get checks out the door!!  Stop sitting on your thumb waiting for Nancy to help you. She hates Trump and does not care who it hurts. Shame on all of you!!  Go to WORK!! 	{'place_id': 'bcb210d6cf34438a'}
3228443606	2020-10-07T14:03:12.000Z	1313842314662629376	 Go to work and help our President get checks out the door!!  Americans need help. Stop sitting on your thumb waiting for Nancy to help you. She hates Trump and does not care who it hurts. Shame on all of you!!  Go to WORK!! 	{'place_id': 'bcb210d6cf34438a'}
3228443606	2020-10-07T14:01:03.000Z	1313841773366652928	 Then go to work and help our President get it done!!  Stop sitting on your thumb waiting for Nancy to help you. She hates Trump and does not care who it hurts. Shame on all of you!!  Go to WORK!! 	{'place_id': 'bcb210d6cf34438a'}
3228443606	2020-10-07T13:57:30.000Z	1313840882320388100	 Why don’t you go to work and help our President get checks out the door to help struggling Americans. Stop sitting on your thumb and waiting for Nancy to bless you. It ain’t gonna happen because she hates Trump and does not give a rats hinny about helping others 	{'place_id': 'bcb210d6cf34438a'}
1266839258188439560	2020-10-07T12:33:11.000Z	1313819660463280172	Mr.  you couldn't do this in 0+ decades? Especially when you and  ruled for 0years? Well, you still blame  for the CA fires and hurricanes.. Wish you paid attention when you went to school when your teachers taught you about natural disasters. 	{'place_id': '3e82edc94d5c5ce1'}
920117855923957760	2020-10-07T08:04:11.000Z	1313751965294374913	I’m going out w my brothers gf tmw and he’s 0 hrs away in college but he asked me to get her flowers in his behalf.. long story short el que queire, puede don’t settle for anything less	{'place_id': '3e82edc94d5c5ce1'}
371317115	2020-10-07T04:14:48.000Z	1313694237419020288	ok so one time at the gamma phi house someone tagged some cars, I was included, (I never figured who it was but that’s neither here nor there). Anyway I was so mad because I had to go to work so I went out in my towel and purple chanclas to clean my car lmao	{'place_id': '1c69a67ad480e1b1'}
62118848	2020-10-07T03:23:36.000Z	1313681354110963718	I didn’t think the NBA bubble was going to work (primarily because Florida). But I should never second guess the ability of an organization run by Adam Silver to pull off something like this.	{'place_id': '1c69a67ad480e1b1'}
2915050160	2020-10-07T03:21:34.000Z	1313680842787614724	ppl who go out every single night are weird lmao. I luvvvv my alone time at home with my family	{'place_id': 'cc480e2388809012'}
1425709105	2020-10-07T02:55:20.000Z	1313674239413813248	Y'all be partying every weekend but was scared to send your children back to school 🤔	{'place_id': '1c69a67ad480e1b1'}
3387548418	2020-10-07T02:54:09.000Z	1313673943958671361	Hey  can we get a frog if we aren’t going to work tomorrow? Lol	{'place_id': '1c69a67ad480e1b1'}
764101725858828288	2020-10-07T02:52:16.000Z	1313673468165206016	   Do Your Research Before Trying To School Someone.	{'place_id': '1c69a67ad480e1b1'}
1959843518	2020-10-07T02:43:33.000Z	1313671275840237568	Hmm, so the idea is to go back to college next semester. Can I do it? We’ll just see	{'place_id': '01e986b204ff5847'}
379892972	2020-10-07T02:28:01.000Z	1313667368208478208	The problem is that there’s work out there and people want to take advantage of the government because “they’re scared to go to work” YET GO SPEND MONEY THEY DONT HAVE AT THE SALON.	{'place_id': '1c69a67ad480e1b1'}
3190004064	2020-10-07T02:01:55.000Z	1313660799165108227	me going out is just something to do just to dress up. i really be at home drunk mmmaaaannnn	{'place_id': '1c69a67ad480e1b1'}
1118304860062003200	2020-10-07T01:33:55.000Z	1313653750184251392	Honestly this fucking disgust me woman shouldn’t have to watch what she wears when going out in public because of what men can do in this fucked up world🤬 	{'place_id': '343ecdd7da8dfae0'}
767414259969953792	2020-10-07T01:27:39.000Z	1313652174510067713	I was dress up and go out with the girls 😔	{'place_id': '1c69a67ad480e1b1'}
1137513325905027072	2020-10-07T01:23:29.000Z	1313651124319199233	I bet notttt go out like that EVER again 	{'place_id': '1c69a67ad480e1b1'}
151587763	2020-10-07T01:13:36.000Z	1313648639001145344	 Girllllll if I don’t have to go out, I will not be putting one on!!	{'place_id': '1c69a67ad480e1b1'}
1138735574	2020-10-07T00:26:43.000Z	1313636839329329152	I just wanna go out somewhere and have fun, but ig shit aint ever gon happen..	{'place_id': '1c69a67ad480e1b1'}
1111857504726761472	2020-10-07T00:26:17.000Z	1313636730810044417	i’m going out and my mom asked if i was going out with what i’m wearing LMFAO FUCK😭 (i didn’t change tho &lt;0)	{'place_id': '54614bf2dabf5a43'}
431267630	2020-10-07T00:22:11.000Z	1313635697606172673	i rmbr 0 years ago around this time, i’d go out to eat or some shit w a specific friend & the nice workers would ask if i need anything & every time i would whisper “i need l*ve & affectionnnn” as a inside joke & then boom	{'place_id': '7a41192a2879ee24'}
2236882964	2020-10-08T23:56:43.000Z	1314354064289869827	My uncle just called me asking me where I go to school... this my 0rd year nigga how you don't know 🙃	{'place_id': '1c69a67ad480e1b1'}
61868299	2020-10-08T22:09:16.000Z	1314327023419097088	My man  is going to make me go out and buy his jersey!  	{'place_id': '1c69a67ad480e1b1'}
503906745	2020-10-08T21:59:47.000Z	1314324637854175232	This guy I had went to school with since 0rd grade has leukemia and I can’t imagine him not being goofy and smiling. Pray for Matt Madill y’all ❤️	{'place_id': '1c69a67ad480e1b1'}
1062398999402082309	2020-10-08T21:27:23.000Z	1314316485834215425	I don’t think I wanna be committed to anyone rn I just wanna live life and have fun...where are the folks that like to go out and do things  ? 🙂	{'place_id': '1c69a67ad480e1b1'}
74079856	2020-10-08T21:16:25.000Z	1314313723981557761	Stop throwing the curve Greinke! It’s gonna go out automatically lol	{'place_id': 'bcb210d6cf34438a'}
869001486	2020-10-08T20:51:49.000Z	1314307535030177792	I want to go out and look cute	{'place_id': '38d0e797745f4c5d'}
32270247	2020-10-08T20:37:59.000Z	1314304054529536000	Y’all be grown as fuck trying to attach yourself to people that’s “popular”. Laughing at EVERYTHING they post when the shit don’t be funny. Taking up for them like they can’t speak for themselves. I mean just going out sad 	{'place_id': '1c69a67ad480e1b1'}
3483635052	2020-10-08T20:06:52.000Z	1314296222128185357	I stay out the way and life seems to go out of its way to mess my days up	{'place_id': '1c69a67ad480e1b1'}
334362612	2020-10-08T19:24:14.000Z	1314285493908111360	i go out of town next weeek, idk if I should leave these locs in and just redo the front or pick a new style. helpppp	{'place_id': '1c69a67ad480e1b1'}
420800389	2020-10-08T19:19:58.000Z	1314284419830738944	i can’t even watch the movie cs i gotta go to work	{'place_id': '1c69a67ad480e1b1'}
598680006	2020-10-08T18:22:05.000Z	1314269853906329600	This is the time of year where all the kids start coming to school with coughs and runny noses, and this year is a bonus year because we get to play the fun guessing game of “is it just a cold or is it coronavirus?”  😷	{'place_id': '798522f39f66d411'}
2756701469	2020-10-08T17:28:11.000Z	1314256286859567112	Why is it that younger dudes flock to me? I ain’t going out like dat!	{'place_id': '1c69a67ad480e1b1'}
1608958620	2020-10-08T17:21:36.000Z	1314254633355956225	 Also they love coming for us when they did not have to: go to school during a pandemic, had normal undergrads with spring breaks with their friends, again didn’t do school in a pandemic	{'place_id': '38d0e797745f4c5d'}
767414259969953792	2020-10-08T17:00:11.000Z	1314249241435541512	 Going out to Ghost Saturday .. was gonna see if you wanted to go!	{'place_id': '1c69a67ad480e1b1'}
1375703335	2020-10-08T16:47:12.000Z	1314245973976195074	Made it back home in time to go out for the game 	{'place_id': '1c69a67ad480e1b1'}
1178011715407110147	2020-10-08T16:42:53.000Z	1314244887181656065	 My 🧠 like: capitalize off painput  a stick to you’re brainspeak on the gang you go out with a bang I want the money fuck the fame on my mama I ain’t worried bouta thangcomin give a fuck how you came. hella water yea I drip like the rain ☔️	{'place_id': '3e82edc94d5c5ce1'}
2921135336	2020-10-08T15:43:01.000Z	1314229823246602240	When you’re reminded that you came to school with a crowbar one day 🥴🙄... hoes use to have me fuxed up	{'place_id': '3e82edc94d5c5ce1'}
333609349	2020-10-08T15:37:57.000Z	1314228546034896896	Bear ain been to school all week. My mama told him he going today and he gone cough and say I’m sick. Now if that school call me to come get him I’m beat his ass. Cause why you lying 😑	{'place_id': 'bcb210d6cf34438a'}
981651008756637696	2020-10-08T15:33:13.000Z	1314227355838222338	It’s clear now....people send their children to school so they can get a break. 🥴	{'place_id': '1c69a67ad480e1b1'}
284230003	2020-10-08T15:32:46.000Z	1314227240842952706	People got being “hood” confused with being “cool”. So now, niggas go out of their way to be something that are not because society has idolized being a “gangster” if that makes sense. 	{'place_id': '1c69a67ad480e1b1'}
718743584	2020-10-08T15:32:06.000Z	1314227074748604418	Should I go out on a Thursday? 	{'place_id': '1c69a67ad480e1b1'}
283153790	2020-10-08T15:09:05.000Z	1314221284654489604	 quit stopping people from earning a living, open the county up stop making this political, you have already lost the next election at least go out on a high note by doing what’s right...	{'place_id': '1c69a67ad480e1b1'}
894960712996532224	2020-10-08T14:53:55.000Z	1314217464113192963	Laying in bed rn asking myself , do I really gotta go to work ?🤔😭😂	{'place_id': '38d0e797745f4c5d'}
1105730371	2020-10-08T14:51:15.000Z	1314216796619145217	      I think I see the confusion. You're asking for specific policies. Again, it doesn't work that way. One or two policies can't affect an entire economic model. You have to take the whole thing into account. There's a reason why people go to school for this. It's massive.	{'place_id': '1c69a67ad480e1b1'}
303303437	2020-10-08T14:25:25.000Z	1314210295389143040	I start vacation tomorrow and wanna go out all weekend 🥺	{'place_id': '1c69a67ad480e1b1'}
409597177	2020-10-08T13:59:50.000Z	1314203856759189506	 Monty I’m praying for you buddy. The Lord bless you today no matter what the outcome. You have come a long way and battled through a lot to get here. Go out there and leave it all on the field.	{'place_id': '1c69a67ad480e1b1'}
183353937	2020-10-08T13:43:04.000Z	1314199635292905473	Lil one off to school . Let’s head to work	{'place_id': '343ecdd7da8dfae0'}
65439452	2020-10-08T13:05:41.000Z	1314190228102492166	 Mandating all electric cars is going to work out great for them.	{'place_id': '1c69a67ad480e1b1'}
288457395	2020-10-08T12:51:13.000Z	1314186587757043719	MY 0 YEAR OLD NIECE, ANDREYA, STARTED HER BUSINESS!! She wanted to do something to help kids stay safe & clean when returning to school/other activities. Crayon PPE provides kid friendly PPE products for everyday exposure. PLEASE RT, HER NEXT CUSTOMER COULD BE ON YOUR TL 🖍😷 	{'place_id': '1c69a67ad480e1b1'}
1079821927	2020-10-08T12:18:22.000Z	1314178320372826114	ima smoke this joint and go to work 😓	{'place_id': '1c69a67ad480e1b1'}
2348725897	2020-10-08T11:59:09.000Z	1314173485434929153	I’m picking up my brother to take him to school and I see this pregnant ass lady (looks like she’s about to pop) walking outside at almost 0 am. Like you go girl but that could never be me lol	{'place_id': '25f6d96ba3246224'}
1100215877880954880	2020-10-08T08:06:05.000Z	1314114831276965888	  Wow. You’re pretty. I’m from The Valley and live in Houston, too. Let’s go out 🤠	{'place_id': '1c69a67ad480e1b1'}
3044989142	2020-10-08T07:12:03.000Z	1314101233838415873	 We are a representative government, that is the essence of democracy, where government exists only by the consent of the governed. Not the divine right of a sovereign. Get your diseased self back to school!	{'place_id': '1c69a67ad480e1b1'}
1178681511035523072	2020-10-08T06:40:33.000Z	1314093306582794240	     Cardi went To College , that’s what she wanted to do . She loves anything about the Government! It was always her favorite subject,...All She said Was She want peace! She’s not CHOOSING SIDES, She just wants everyone to get along ! And she has the right to say it!	{'place_id': '1c69a67ad480e1b1'}
1242492742288191491	2020-10-08T04:48:32.000Z	1314065116674093057	I won the black history bowl in elementary school but there weren’t any black kids competing despite the fact that I went to school in inner city Houston. How tf did no one see anything wrong with that	{'place_id': '1c69a67ad480e1b1'}
3228566089	2020-10-08T04:22:57.000Z	1314058677113024513	Whoever did ojo on Adi and me okaaaay we get it we need to stay tf home and not go out too much 😭😭Pero ya camateee pofavoooo 🥺😂	{'place_id': '1c69a67ad480e1b1'}
1209639931154501635	2020-10-08T04:10:14.000Z	1314055475865018369	I just hope a real nigga ain’t going out like this 🤦🏾‍♀️ I’ve been wylin wylin	{'place_id': '1c69a67ad480e1b1'}
25927905	2020-10-08T03:59:22.000Z	1314052742818803715	i’m finna go out	{'place_id': '1c69a67ad480e1b1'}
24684105	2020-10-08T03:36:12.000Z	1314046912853671936	Stimulus checks have to go out regardless when this election is over with.	{'place_id': '1c69a67ad480e1b1'}
901323048753680384	2020-10-08T03:33:55.000Z	1314046338355597312	Nope. I’m going back to school, it’s never too late. 	{'place_id': '1c69a67ad480e1b1'}
1112858361110904833	2020-10-08T03:08:58.000Z	1314040060870832128	This girl stopped me and asked me how to get out the gate . I told her and she goin to say “you look familiar, look like somebody I went to school wit!” Lmao for one it’s dark af out here 😂😂😂😂	{'place_id': '1c69a67ad480e1b1'}
196420254	2020-10-08T02:44:57.000Z	1314034016086093830	 We have to go out in masses and vote BLUE that way no doubts we won.	{'place_id': '1c69a67ad480e1b1'}
1004453252979666944	2020-10-08T02:28:56.000Z	1314029986752409601	He looking even more sick , he is turning red and his voice is going out. Right before our eye's.. 	{'place_id': '1c69a67ad480e1b1'}
719144738	2020-10-08T01:36:39.000Z	1314016828298088448	I want to go to  for “free” PLEASE! 🙋🏾‍♂️  for 	{'place_id': '1c69a67ad480e1b1'}
913636573	2020-10-08T01:32:02.000Z	1314015666945560576	Cool beans. I’m quitting my job so my kid can go to college for free!	{'place_id': '1c69a67ad480e1b1'}
46535389	2020-10-09T23:50:27.000Z	1314714876246458368	so..  just because he doesn’t want go to work on Zoom, it’s canceled? boy the government is truly showing their ass huh. or are we the asses?! 	{'place_id': '7a41192a2879ee24'}
3015182950	2020-10-09T23:29:15.000Z	1314709542832308224	more and more of my friends are testing positive for covid 🥺 y’all i can’t stress this enough, please be careful, WEAR A MASK and don’t go out if you don’t need to.	{'place_id': '1c69a67ad480e1b1'}
1409336798	2020-10-09T22:51:05.000Z	1314699937020547072	If I don’t eat this perc Might go out in 0 minutes	{'place_id': '1c69a67ad480e1b1'}
303303437	2020-10-09T22:50:06.000Z	1314699689615384578	Anybody wanna go out	{'place_id': '1c69a67ad480e1b1'}
91664842	2020-10-09T22:19:06.000Z	1314691886787985415	Ironing my going out clothes in my office. I love HOUSTON lol	{'place_id': '1c69a67ad480e1b1'}
2607885613	2020-10-09T21:53:51.000Z	1314685531452772352	I remember my Dekaney bus driver in 0? would play music from her son that we went to school with and read us paragraphs from her book 🤣🤣🤣	{'place_id': '1c69a67ad480e1b1'}
23716167	2020-10-09T21:48:26.000Z	1314684170875080706	And who also didnt go to college like i did and major in entertaintment law/marketing.....but i get passed over for A&R work. 	{'place_id': '1c69a67ad480e1b1'}
283720897	2020-10-09T21:32:17.000Z	1314680104203812864	Next time I go out of town I’m definitely getting the day off 🥵	{'place_id': '1c69a67ad480e1b1'}
70867821	2020-10-09T21:08:28.000Z	1314674111164055552	Why do I always get extra tired... Right before I gotta go to work	{'place_id': '1c69a67ad480e1b1'}
97007963	2020-10-09T21:05:13.000Z	1314673293786583040	 It’s 0 & she still riding around in a 0 Camry with donuts & engine about to go out for the second time	{'place_id': '1c69a67ad480e1b1'}
939952933390622720	2020-10-09T20:42:35.000Z	1314667596881502208	I need sum sex before i go out lol	{'place_id': '1c69a67ad480e1b1'}
1310690262247788550	2020-10-09T19:42:35.000Z	1314652500746801152	  Watch my group home ouner buy every body Berger's except for people that don't have the bread to go out to eat like me✓ ( I will keep you up dated)	{'place_id': '1c69a67ad480e1b1'}
62118848	2020-10-09T19:04:28.000Z	1314642907291242496	 So am I. I try to follow all the protocols, wear a mask, social distance, go out only if necessary. Stay safe.	{'place_id': '1c69a67ad480e1b1'}
632066060	2020-10-09T19:01:05.000Z	1314642054786543618	How do you feel about your significant other going out to places like the address without you . Should they be upset?	{'place_id': '1c69a67ad480e1b1'}
4841951071	2020-10-09T18:45:53.000Z	1314638228926980104	purr she bout to school them kids!! 	{'place_id': '38d0e797745f4c5d'}
1623421963	2020-10-09T18:43:21.000Z	1314637590549716994	y did my power go out, it ain’t even raining here bro	{'place_id': '1c69a67ad480e1b1'}
74740076	2020-10-09T18:31:11.000Z	1314634530683265026	Send these kids back to school mayne!!!!	{'place_id': '1c69a67ad480e1b1'}
781713768463990784	2020-10-09T18:23:56.000Z	1314632705158635520	It’s crazy to me now that we really used to go out in public w out masks on..	{'place_id': '7543692056063d2f'}
230818249	2020-10-09T17:59:14.000Z	1314626489686675459	Idk why i have the urge to go out & be ratchet this weekend. 🤣	{'place_id': '1c69a67ad480e1b1'}
1159893493034160128	2020-10-09T17:56:42.000Z	1314625851590348800	like pls. i love cute, classy lifestyles where all we do is go to school, gist, eat, shop, travel & discuss socio-political issues and our personal solutions/contributions. dassit	{'place_id': '01e74c422dab6107'}
403170265	2020-10-09T17:11:25.000Z	1314614457474199552	How some of y’all going out EVERY. SINGLE. DAY. OF. THE. WEEK?!!	{'place_id': '1c69a67ad480e1b1'}
3061548708	2020-10-09T17:09:01.000Z	1314613851598598147	Niggas Teaming Up & Going Out Sad	{'place_id': '1c69a67ad480e1b1'}
171289435	2020-10-09T16:56:45.000Z	1314610764729253888	Lost another 0 lbs in 0 months.. imma dress up, and go out ,and buy me something nice today🥺💕 .. bc nobody else will.  	{'place_id': '1c69a67ad480e1b1'}
556423828	2020-10-09T16:23:14.000Z	1314602329472147458	Damn i go to work the rest of the week	{'place_id': '1c69a67ad480e1b1'}
1051164909332037632	2020-10-09T15:42:47.000Z	1314592152261996545	 I ask because I'm interested in how they feel about the return to school, how the district is handling covid cases, the name change situation, and addressing racism.	{'place_id': '7543692056063d2f'}
630182948	2020-10-09T14:34:54.000Z	1314575069104963586	I do not wanna go to work . I repeat I do not wanna go . Can I just stay sitting in my tub for the rest of the day?	{'place_id': '1c69a67ad480e1b1'}
843217533503229952	2020-10-09T13:56:30.000Z	1314565402589048833	 I refuse to believe this is real. Tell me we not going out sad like this for real fellas	{'place_id': 'c484d6c5cd72beb0'}
107161389	2020-10-09T13:23:49.000Z	1314557178192244736	Nigeria lawmakers are lame ducks, can’t they go to work for the electorates?, demand your Reps, Senators to act..	{'place_id': '1c69a67ad480e1b1'}
96432098	2020-10-09T06:43:47.000Z	1314456508910972928	Going out w/  i always say just a few drinks 😩😩😩 but we three fish bowls in.	{'place_id': '1c69a67ad480e1b1'}
