269110631	2020-08-03T23:02:08.000Z	1290422731498954752	Flower girls!          @ Stan Mansion 	{'coordinates': {'type': 'Point', 'coordinates': [-87.70789, 41.92514]}, 'place_id': '1d9a5370a355ab0c'}
147399021	2020-08-04T19:04:28.000Z	1290725306538643456	I ordered my groceries for pick up and it gave me an estimated time of 0-0 so I went to the gym, across the street from the store, walked in the door and got the notification that my groceries are ready to be picked up	{'place_id': '9fdc3d1edf51a0a0'}
354585307	2020-08-04T18:42:21.000Z	1290719743054434304	 rap in my wedding in 0 before you become Pro Basketball Player 😰😭 	{'place_id': 'c567a00616152df6'}
268047599	2020-08-04T17:32:25.000Z	1290702142194487306	I went dutch on a date once i was 0 and broke... whats wrong with you dudes lol..	{'place_id': '1d9a5370a355ab0c'}
312439567	2020-08-04T17:15:23.000Z	1290697857926930434	If $0 putting a dent in your pocket...taking someone on a date should not be a priority g. 	{'place_id': '1d9a5370a355ab0c'}
619488141	2020-08-04T17:14:36.000Z	1290697660475879425	Damn, at the rate this country is handling this pandemic I’ll never be able to get a haircut. 🤣🤣🤣(For legal reasons this is a joke - wearing a friggin mask y’all)	{'place_id': '1d9a5370a355ab0c'}
32814873	2020-08-04T16:55:39.000Z	1290692890092539904	I know places being closed is good right now, but I really miss going to the museum 😢	{'place_id': '1d9a5370a355ab0c'}
503520640	2020-08-04T16:07:27.000Z	1290680761805406213	I don’t even know what I would have done. This is fucking awful. 	{'place_id': '1d9a5370a355ab0c'}
23141199	2020-08-04T15:47:04.000Z	1290675628774248449	This nigga said he old school and dont know what going Dutch on a date mean... LOL MAN MY MOMMA TOLD MENTHAT WHEN I WAS LIKE 0! 	{'place_id': '1d9a5370a355ab0c'}
108159542	2020-08-04T15:03:38.000Z	1290664698665414658	Light pink and Gold ruffle wedding cake with Gold edible glitter risersModeling chcolate,  fondant and cream rufflesServings 0 All Red Velvet For a quote - E mail your guest count to lovecake… 	{'place_id': '4f798ddf05f97f68', 'coordinates': {'type': 'Point', 'coordinates': [-87.77884834, 41.6989893]}}
108159542	2020-08-04T14:58:45.000Z	1290663469835059204	Light pink and Gold ruffle wedding cake with Gold edible glitter risersModeling chcolate,  fondant and cream rufflesServings 0 All Red Velvet For a quote - E mail your guest count to… 	{'place_id': '4f798ddf05f97f68', 'coordinates': {'type': 'Point', 'coordinates': [-87.77884834, 41.6989893]}}
108159542	2020-08-04T14:57:31.000Z	1290663159427215365	Light pink and Gold ruffle wedding cake with Gold edible glitter risersModeling chcolate,  fondant and cream rufflesServings 0 All Red Velvet For a quote - E mail your guest count to… 	{'place_id': '4f798ddf05f97f68', 'coordinates': {'type': 'Point', 'coordinates': [-87.77884834, 41.6989893]}}
14673926	2020-08-04T14:39:32.000Z	1290658635102683136	 I would loan out Foyth to a club where he’s guaranteed of playing most of the season. He has a high ceiling & it would make sense that Jose would want to see how he performs for an entire season before selling off a prospect like Foyth.	{'place_id': '653aabd8c2d3e4d2'}
108159542	2020-08-04T14:39:02.000Z	1290658509655351302	Light pink and Gold ruffle wedding cake with Gold edible glitter risersModeling chcolate,  fondant and cream rufflesServings 0 All Red Velvet For a quote - E mail your guest count to lovecake… 	{'place_id': '4f798ddf05f97f68', 'coordinates': {'type': 'Point', 'coordinates': [-87.77884834, 41.6989893]}}
30757786	2020-08-04T14:31:09.000Z	1290656526126985220	 Honestly tho, u think if u invite rihanna to ur wedding, and its still YOUR day??	{'place_id': '1d9a5370a355ab0c'}
108159542	2020-08-04T14:29:38.000Z	1290656141744189444	Light pink and Gold ruffle wedding cake with Gold edible glitter risersModeling chcolate,  fondant and cream rufflesServings 0 All Red Velvet For a quote - E mail your guest count to lovecake… 	{'place_id': '4f798ddf05f97f68', 'coordinates': {'type': 'Point', 'coordinates': [-87.77884834, 41.6989893]}}
360188566	2020-08-05T23:51:43.000Z	1291159982596075520	 My man! I love it. You and your kids are impressive with the walking.I pretty much got the green light to head back to the gym. It's about time to get bizzy again!	{'place_id': '1d9a5370a355ab0c'}
1350403032	2020-08-05T23:36:08.000Z	1291156062071140355	She was super excited to find out that we have exactly what she was looking for 😉😉😉😉 ah hah ...  ..Gooooooo ⚾️⚾️⚾️CUBS⚾️⚾️⚾️.. ..She told us ..  was also her wedding theme 😱😱😱 .. DIE HARD FANS RIGHT… 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}}
1968094422	2020-08-05T23:28:22.000Z	1291154108594950153	This is simultaneously why I love and hate these 0 they actually went to the gym like this. Never stop being y'all  and  	{'place_id': '6b745382f2cdbb67'}
15909700	2020-08-05T23:17:44.000Z	1291151430087303168	  Rey is in Munich to see Oktoberfest for the first time. Ben is a tour guide who is jaded, bored of teaching visitors the history of the fest. When they both enter a mysterious beer tent on the same night they’re swept back in time to the original Oktoberfest wedding celebration.	{'place_id': '1d9a5370a355ab0c'}
106010466	2020-08-05T23:14:34.000Z	1291150633614090240	Hey   why  don't  you go to church  or come to Chicago  find me we can talk! I am single! I know  how to treat  women!  Give  me q chance! I heard  you bashing men ! Come  talk to me! I challenge  you! Not threat  just a talk!	{'place_id': '1d9a5370a355ab0c'}
263457439	2020-08-05T23:02:09.000Z	1291147511206469633	If I go shopping and you with me we both leaving with bags.	{'place_id': '1d9a5370a355ab0c'}
3301158974	2020-08-05T22:06:11.000Z	1291133424888164354	  can y'all go on a date 	{'place_id': '1d9a5370a355ab0c'}
265090480	2020-08-05T21:59:15.000Z	1291131682637189120	I’m about to go to the gym. Can anybody send me a back and/or leg workout real quick	{'place_id': '5cba3a162965b0e2'}
757779872	2020-08-05T21:54:23.000Z	1291130455824113664	Lazy and all still came to the gym and had a good workout . Feeling much better 💪🏼	{'place_id': '1d9a5370a355ab0c'}
97613792	2020-08-05T21:22:45.000Z	1291122494435360776	shootin with yo eyes closed fuck you doin meditating? boy if you scared go to church, read revelation	{'place_id': '1d9a5370a355ab0c'}
29591774	2020-08-05T20:24:21.000Z	1291107799687143426	See this is frustrating. More concerned about the wedding vs the actual marriage. 	{'place_id': '08695e38fe9e7edf'}
713876515985891328	2020-08-05T20:07:24.000Z	1291103533132120065	 Look I get people want to go back to the movies but we ain't cause certain people won't wear a damn mask 😷	{'place_id': '1d9a5370a355ab0c'}
1270235849981136897	2020-08-05T19:26:12.000Z	1291093163931840515	I planned my entire wedding out like 0 years ago 🤣🤣🤣 	{'place_id': '1d9a5370a355ab0c'}
904335885570904064	2020-08-05T19:19:28.000Z	1291091468296302593	Yall quick to judge us who live abroad for years when our accents change to adapt to people around us. But your accent changes in the 0minutes you get a haircut from your Pakistan barber? STFU.	{'place_id': 'ed888f00de07aa3a'}
29370160	2020-08-05T19:04:48.000Z	1291087777610817536	Me: I’m not eating out this week. Uber Eats: “hey we miss you! Here’s $0 to eat at your favorite restaurants. Thanks for being a diamond member.”Me: 	{'place_id': '1d9a5370a355ab0c'}
15715669	2020-08-05T18:34:36.000Z	1291080178689613826	 you were at my racist wedding, denise	{'place_id': '1d9a5370a355ab0c'}
475030447	2020-08-05T18:29:21.000Z	1291078857559285765	Planning a wedding? We can help! Check us out on Zola!      	{'place_id': '1d9a5370a355ab0c'}
2827211946	2020-08-05T17:33:53.000Z	1291064898437423104	Seeing all these “how much would you spend on a wedding?” I don’t want to put a dollar amount but max would be 0K. Although I rather spend that on property or traveling. But if it means a lot to her it means a lot to me.	{'place_id': 'bbd7331f334b0e04'}
2197995696	2020-08-05T17:28:13.000Z	1291063474081144832	let me shoot your wedding 😭 	{'place_id': '4b3758bc32868265'}
232473289	2020-08-05T17:17:20.000Z	1291060734198272001	Putting so much into one day and telling him that the rest of his live with you hangs in the balance over something outside of anyone’s control is foul. If you can be parient then tell him to also be patient until the day you can have the dream wedding 	{'place_id': '1d9a5370a355ab0c'}
36898630	2020-08-05T15:35:59.000Z	1291035227398311936	 Why is he wearing a wedding band on his right hand?	{'place_id': 'bbd7331f334b0e04'}
546989203	2020-08-05T10:02:15.000Z	1290951244098478080	You can live on it. You can't afford the luxuries of eating out & travel vacations. Oh, and children. 	{'place_id': '1d9a5370a355ab0c'}
236373858	2020-08-05T06:34:21.000Z	1290898921116622854	Just FYI I’m goin to a Puerto Rican wedding on Friday so expect drunk videos with me and my friends lol and possibly a nude or two 😬😬😬 lol.	{'place_id': '9fdc3d1edf51a0a0'}
1104690835	2020-08-05T04:20:09.000Z	1290865148438048770	  Went on a date with another girl then lied about it. And she ends up going back to him in the end. Psshhh🥴	{'place_id': '1d9a5370a355ab0c'}
4563709514	2020-08-05T02:30:52.000Z	1290837648144310273	Someone asked me today if I knew how to make holy water and I’m like not really haven’t been to church ⛪️ in a while and this guy tells me its easy just boil the HELL out of it lmao 😂	{'place_id': '1d9a5370a355ab0c'}
24019281	2020-08-05T01:13:29.000Z	1290818172971560961	Going to the movies is a thing of the past- 	{'place_id': '1d9a5370a355ab0c'}
62951951	2020-08-06T23:36:40.000Z	1291518586645880832	Love the old studio. Really enjoyed my time taking to  and  there. Excited for what is next. Let’s kick  ‘s butt so we can have a party when it opens   	{'place_id': '47fe07f1c6b38dbd'}
2394779432	2020-08-06T23:29:47.000Z	1291516853311897602	Remember that Bride’s bouquet you liked so much? Here’s the cake that went with it. We often put fresh flowers on wedding cakes, but these exquisite blooms are made from SUGAR!! I am not kidding. Go ahead and zoom… 	{'place_id': '57ac88aefcd20988', 'coordinates': {'type': 'Point', 'coordinates': [-88.108, 41.86635]}}
18657798	2020-08-06T22:24:17.000Z	1291500368564715520	I damn near feel like I’m asking this girl on a date 😅🤦🏾‍♀️	{'place_id': '1d9a5370a355ab0c'}
1410895550	2020-08-06T21:39:50.000Z	1291489180804173830	I’m in a wedding this fall and best believe I’m wearing a mask	{'place_id': '1d9a5370a355ab0c'}
420105430	2020-08-06T20:58:17.000Z	1291478725230551043	My parents really leaving my ass with Crack for 0 days. I don’t eat out as much anymore so if anyone wanna give me a plate a food pls do so 🥺 lmaooo	{'place_id': '1d9a5370a355ab0c'}
934838120	2020-08-06T20:50:11.000Z	1291476688325554176	 The wedding was 0/0	{'place_id': 'f16f37294392e394'}
238381560	2020-08-06T20:19:46.000Z	1291469032428834822	I wanna go to the movies so bad😩	{'place_id': '92e012db736d72c5'}
185377068	2020-08-06T20:06:03.000Z	1291465581628203009	I was gone to take you out on a date. 💔 	{'place_id': '08695e38fe9e7edf'}
197811616	2020-08-06T18:10:23.000Z	1291436471799472129	  is a true on camera professional even though she knocked her camera over on today’s  show she kept on telling her story about taking her niece to the movies without missing a beat.	{'place_id': '1d9a5370a355ab0c'}
707718597481734144	2020-08-06T17:11:31.000Z	1291421660390858757	Going to the gym to drown out my psychological pain with physical pain 😌	{'place_id': '1d9a5370a355ab0c'}
370430691	2020-08-06T16:52:52.000Z	1291416966012506112	0 will be looped at my wedding	{'place_id': '1d9a5370a355ab0c'}
30993644	2020-08-06T14:49:30.000Z	1291385917236580354	Need to start going to the gym	{'place_id': '0da8a6c990f02eed'}
3038271893	2020-08-06T14:39:36.000Z	1291383428915646465	" Met Paul Ben Victor at a wedding rehearsal. He took our group to a bar after. After a while, group at table next to us gets up to leave & he says bye to ""guy he was in a movie with""...Billy Zane."	{'place_id': '1d9a5370a355ab0c'}
97613792	2020-08-06T14:14:16.000Z	1291377052529164288	what do yall gain from marriage when your poor? if you gotta take out a loan for the wedding or engagement ring you shouldnt getting married	{'place_id': '1d9a5370a355ab0c'}
395515096	2020-08-06T10:44:30.000Z	1291324263648165888	  I can’t tell how many patients have told me about my wedding announcement.	{'place_id': '1d9a5370a355ab0c'}
53277844	2020-08-06T04:03:18.000Z	1291223295321399296	can’t believe i’m looking at wedding dresses FOR MYSELF this weekend!!!!!!??????🥺🥺🥺	{'place_id': '1d9a5370a355ab0c'}
222415940	2020-08-06T03:13:48.000Z	1291210838863380480	Ugh only if I went To The gym faithfully lol 	{'place_id': '1d9a5370a355ab0c'}
16538981	2020-08-06T01:47:25.000Z	1291189099043446785	Vintage Wedding Charm Bracelet  via 	{'place_id': 'ecbe21c16e88f161'}
16018446	2020-08-06T00:20:31.000Z	1291167231276126209	Sorry I am late to the party!  Tony Schlorff, Director of Technology  in Arlington Heights Illinois.  	{'place_id': '3009292baa8dda23'}
265090480	2020-08-06T00:17:27.000Z	1291166462217015296	I always come to the gym after a long break thinking I’m about to be lifting the same amount I left off 😂 I’m weak as hell right now.	{'place_id': '9fdc3d1edf51a0a0'}
