2020-09-14T23:16:59.000Z	1305646759134277633	get a haircut u hippie	{'place_id': '8b351eeb91372dc7'}
2020-09-14T04:08:45.000Z	1305357796129603584	  We gotta go shopping before the price goes up!	{'place_id': '1d9a5370a355ab0c'}
2020-09-14T04:00:50.000Z	1305355802044231680	Angela wears a nude colored bra literally every scene we see her in EXCEPT on her wedding day 🤣 	{'place_id': '1d9a5370a355ab0c'}
2020-09-14T02:55:00.000Z	1305339234237251592	 Feels like yesterday and a lifetime ago at the same time! Everyone’s first compliment about our wedding is always the music 🙏	{'place_id': '1d9a5370a355ab0c'}
2020-09-14T02:49:43.000Z	1305337905490137089	Charlie is why you can’t serve alcohol at a wedding. And Elizabeth’s dumb dad just standing there instead of grabbing the mike back. He wanted him to say what he said. 	{'place_id': '1d9a5370a355ab0c'}
2020-09-14T01:21:11.000Z	1305315626731417607	Watching  Angela & Michael’s wedding. I think the women in Michael’s family are gorgeous, including (and especially) his mother. The bone structure in her face is perfect.	{'place_id': '1d9a5370a355ab0c'}
2020-09-14T00:41:51.000Z	1305305726974341121	Patti pulled out a fan when Gladys started singing because take us to church 	{'place_id': '1d9a5370a355ab0c'}
2020-09-14T00:14:40.000Z	1305298887666794501	  LOL! I don't sit at home. I have a job, and friends and go to the gym and restaurants.  And I have never had the flu, so I am not very concerned about that. You should ask some experts though about Covid.  You seems to be misinformed	{'place_id': '1d9a5370a355ab0c'}
2020-09-15T23:49:19.000Z	1306017284734038019	I get to the gym n they at max capacity 😒	{'place_id': '1d9a5370a355ab0c'}
2020-09-15T23:21:35.000Z	1306010302253850624	     Read the book.	{'place_id': '1d9a5370a355ab0c'}
2020-09-15T22:58:39.000Z	1306004532082741249	 Just got one yesterday since I was at a wedding. Not bad at all	{'place_id': 'a2e9665d39e55b17'}
2020-09-15T22:44:13.000Z	1306000901040209922	Double booked for our first venue showing...great start to wedding planning.	{'place_id': '1d9a5370a355ab0c'}
2020-09-15T22:06:40.000Z	1305991451508191233	If  won’t let me put my own requests on her wedding registry what is the POINT of being maid of honor	{'place_id': '1d9a5370a355ab0c'}
2020-09-15T20:04:22.000Z	1305960671243382784	Lately all i can think about is my wedding. 😌☺️🥰	{'place_id': '1d9a5370a355ab0c'}
2020-09-15T19:50:37.000Z	1305957210263089164	Not being able to go to the gym gives me anxiety. Started with quarantine, and now this bug that I have has stopped me. And after experiencing it, I’m not sure how people live day-to-day with it.	{'place_id': '6b029ca925395e1b'}
2020-09-15T19:09:05.000Z	1305946760238575620	Quick stop back at home , then imma head to the gym in a lil min	{'place_id': '1d9a5370a355ab0c'}
2020-09-15T18:42:37.000Z	1305940100233261056	 Greetings from Chicago, Shah Rukh Khan!  I hope your week is off to a great start.  Here is a simple edit I've created, of your parents' wedding photo and yours.  Love you always, Shah Rukh Khan! 	{'place_id': '1d9a5370a355ab0c'}
2020-09-15T18:21:04.000Z	1305934676318728192	  No re! No chappals stolen. Maybe in punjabi wedding	{'place_id': '1d9a5370a355ab0c'}
2020-09-15T17:52:53.000Z	1305927584597848064	should i go to the gym or run on the lake, QUICK	{'place_id': '1d9a5370a355ab0c'}
2020-09-15T17:47:51.000Z	1305926317653852163	I Hate People Who Come To The Gym For 0 Mins. 	{'place_id': '1d9a5370a355ab0c'}
2020-09-15T17:38:11.000Z	1305923882134769674	 We get it bro you go to the gym 🙄	{'place_id': '0da8a6c990f02eed'}
2020-09-15T16:06:14.000Z	1305900744709681152	"So! We hear Sunday is ""Back to Church Sunday""📢We wanted to invite you to COME BACK TO CHURCH @  where we're blown away at how God is doing a NEW thing with His church!!Been out for a while? COME BACK! We - the church - are BETTER TOGETHER!  "	{'place_id': 'f1dfa58974449052'}
2020-09-15T14:04:55.000Z	1305870213548834816	Rule: I don’t touch pants until Oct 0 unless it’s a wedding or funeral 	{'place_id': 'bbd7331f334b0e04'}
2020-09-15T04:46:21.000Z	1305729647523618816	If anyone can tell me what the E and A stand for in EA Sports,💢AND WITHOUT GOOGLING IT💢You can come to the party... 	{'place_id': '1d9a5370a355ab0c'}
2020-09-15T03:15:48.000Z	1305706858884345856	The way Joan was a problem at Toni and Maya’s wedding says a lot and I’m tired of her and Ellis.	{'place_id': '1d9a5370a355ab0c'}
2020-09-15T02:07:44.000Z	1305689730479271936	fan theory: the entire avatar series has just been bolin’s wedding speech	{'place_id': '1d9a5370a355ab0c'}
2020-09-15T02:01:18.000Z	1305688108403503105	Did Codi Whore get a haircut?	{'place_id': '1d9a5370a355ab0c'}
2020-09-15T00:50:59.000Z	1305670412660084736	@ Rick Renteria, all I want for my wedding gift is Nomar Mazara out of the starting line up 🙏🏼🙏🏼🙏🏼🙏🏼	{'place_id': '1d9a5370a355ab0c'}
2020-09-15T00:21:21.000Z	1305662954931712002	 Chris  needs to start doing shows again. Also I used to live down the street from the Let’s Go Bowling guys in Fresno, CA.	{'place_id': '1d9a5370a355ab0c'}
2020-09-18T02:27:25.000Z	1306781847297421313	I think she got piss thrown at her at The Gathering too. 😳😅 	{'place_id': '1d9a5370a355ab0c'}
2020-09-19T08:21:27.000Z	1307233329738067970	Jesus Christ people are still blaming Susan Sarandon for Clinton losing the election. Stop scapegoating whoever and face facts: we’re surrounded by Diet Nazis™️ who are gathering ingredients to change their recipe from aspartame to cane sugar.	{'place_id': '1d9a5370a355ab0c'}
