2021-11-09T23:56:05.000Z	1458221889415942152	That poms/cheer squad is NOT messing around! Bringing the energy to the gym! 	{'place_id': '5ededd7234419286'}
2021-11-11T21:06:34.000Z	1458904004767924235	Want a packed dance floor at your wedding or event? We have the experience and skills to understand your music style and taste, read your crowd, and mix it up on the fly to create the perfect vibe for your big event! 	{'place_id': 'b8fcb766f3f544fe', 'coordinates': {'type': 'Point', 'coordinates': [-87.94147202, 42.03390484]}}
2021-11-11T20:47:00.000Z	1458899082479554564	Congratulations 🎉🎈🍾🎊   0 winners! I’m going to send you the 0 codes! Found some more packs today! Thanks for participating! Will send later, going out to the movies 🍿🎥 with the family to watch Clifford the Big Red Dog! 🙌🏽 	{'place_id': '5cba3a162965b0e2'}
2021-11-11T16:55:59.000Z	1458840941465419778	trying to convince chris to extend our vacation after  wedding so we can go to siesta key 👀	{'place_id': '1d9a5370a355ab0c'}
2021-11-11T15:12:11.000Z	1458814821621714953	  I guess late to the party is better than not getting there at all.	{'place_id': '07c0b6b4c3ac42c4'}
2021-11-11T14:25:22.000Z	1458803041327538178	As  said days ago to us, welcome to the party. You were the Slow Street that never got off the ground during the pandemic. Another failure to add to ’s list of failures  	{'place_id': '1d9a5370a355ab0c'}
2021-11-11T04:36:16.000Z	1458654787646464000	I Returned to the theater for the first time in over a year, he described this perfectly. 	{'place_id': '1d9a5370a355ab0c'}
2021-11-11T04:14:29.000Z	1458649305879883782	If this isn’t my wedding, I don’t even want it 	{'place_id': '1d9a5370a355ab0c'}
2021-11-11T03:02:27.000Z	1458631178324426752	 this is my favorite game to play lolwould not recommend trying to go to the gym and beating the clock tho.. turns out working out makes it hit faster 🥴	{'place_id': '1d9a5370a355ab0c'}
2021-11-11T02:47:03.000Z	1458627303240613896	Went on a date with a guy who gave me a Google Voice number and then disappeared for weeks to celebrate “veterans day holiday.” Love wins!	{'place_id': '1d9a5370a355ab0c'}
2021-11-11T01:30:43.000Z	1458608092351025152	Accident, left lane blocked in  on Eisenhower (I-0) Outbound before Lk St (Exit 0 - OB), solid traffic back to Church Rd  	{'place_id': '92e012db736d72c5', 'coordinates': {'type': 'Point', 'coordinates': [-88.01686, 41.95496]}}
2021-11-12T23:42:58.000Z	1459305751013437444	Pretty spot for a wedding. @ Chicago Athletic Association Hotel 	{'coordinates': {'type': 'Point', 'coordinates': [-87.62522, 41.88183]}, 'place_id': '1d9a5370a355ab0c'}
2021-11-12T23:24:01.000Z	1459300981389340685	Taking my girl on a date tomorrow. She told me to plan it out, so I made reservations & going to an indoor mini-golf course after. Can’t wait to surprise her with the restaurant	{'place_id': '1d9a5370a355ab0c'}
2021-11-12T23:16:32.000Z	1459299100004868101	Wedding rehearsal in T-minus 0 minutes.	{'place_id': '9f3d755fe1a081a4'}
2021-11-12T22:35:38.000Z	1459288807656808448	I kinda wanna go out for a drink. If any of y’all in Chicago HMU 🤙🏿	{'place_id': '1d9a5370a355ab0c'}
2021-11-12T22:32:38.000Z	1459288053286064132	Inside our reception hall ready for a party! So many color schemes to choose from with stage lighting to match.Become a part of our tradition. Chapel in the Pines is a destination wedding venue. We have been hosting weddings for the last 0 years    	{'place_id': '8b351eeb91372dc7'}
2021-11-12T21:21:37.000Z	1459270180979286017	Every time I go to a restaurant opening, I’m disappointed - like trust me babes, just wait a coupla weeks until the kinks are ironed out	{'place_id': '1d9a5370a355ab0c'}
2021-11-12T19:04:53.000Z	1459235771832057857	The man I went on a date with laughs just like Seth Rogan and it was so funny I couldn’t believe what I was hearing lol	{'place_id': '1d9a5370a355ab0c'}
2021-11-12T17:38:38.000Z	1459214065079922691	I want grupo firme to perform at my wedding 😩🥲	{'place_id': '3043553c157634be'}
2021-11-12T17:25:00.000Z	1459210632612433923	Her name is Angel Grace. As a kitten she was obviously adorable. As a senior cat, she gave her humans a present of not dying on their wedding day. @ Chicago, Illinois 	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
2021-11-12T14:01:14.000Z	1459159353093767173	 Seems like the radio industry and the beer industry should go on a date.	{'place_id': '1d9a5370a355ab0c'}
2021-11-12T11:47:34.000Z	1459125715689951234	Happy Friday! On my way to the gym today for work. Get your asses to the gym today and make those gains. Hope to see y’all!	{'place_id': '1d9a5370a355ab0c'}
2021-11-12T05:47:11.000Z	1459035023949062158	If  had been invited to my wedding, he would have said no just to watch Taylor live on SNL.	{'place_id': '9f3d755fe1a081a4'}
2021-11-12T03:52:53.000Z	1459006258518896670	  I got to the theater in Lombard just before 0. By the time I got my refund I would have missed the interview and part of the movie	{'place_id': '6af99a29bfae42a2'}
2021-11-12T03:23:40.000Z	1458998903068635141	 “It’s like rain on your wedding day/It’s like Al Roker at your Klan parade…”	{'place_id': '07c0b6b4c3ac42c4'}
2021-11-12T01:48:51.000Z	1458975043984236546	Plsss my sister wants us to wear cute satin dresses for her wedding but I have no asssss. I need an ass in less than a year, I’m committed	{'place_id': '1d9a5370a355ab0c'}
2021-11-12T01:09:10.000Z	1458965056817872903	I need tyler to sing this at my wedding 	{'place_id': '1d9a5370a355ab0c'}
2021-11-12T01:08:07.000Z	1458964790718648321	still can’t believe this was the only photo I took on my parents wedding 	{'place_id': '1d9a5370a355ab0c'}
2021-11-12T00:06:07.000Z	1458949187966578689	💭 Morning:  gym today 💭 Afternoon:  gym in a hour 💭 Hour later:  stop home first, grab gym clothes, and go to the gym Outcome: eating chips, watching hot ones, and going to the gym tomorrow	{'place_id': '1d9a5370a355ab0c'}
2021-11-13T23:55:36.000Z	1459671319331618821	Going to a wedding and y’all think these docs would go with this blazer (also are these wedding appropriate?) 	{'place_id': '1d9a5370a355ab0c'}
2021-11-13T23:49:31.000Z	1459669786539999240	At a wedding a couple weeks ago and we all got talked into hammering SMU against Houston. I’m not exaggerating when I say this that I have not won a single bet since Georgia -0 on October 0th.	{'place_id': '2eb3293957fd451a'}
2021-11-13T23:09:45.000Z	1459659778444210180	Would you wear this dress to a wedding?  	{'place_id': '1d9a5370a355ab0c'}
2021-11-13T23:00:51.000Z	1459657542695632897	Wedding Pairs looked absolutely Gorgeous👰‍♀️ Congratulations 	{'place_id': '1d9a5370a355ab0c'}
2021-11-13T22:50:54.000Z	1459655036880011265	Think I’m going to church tomorrow now 	{'place_id': '97ae6559498bd23d'}
2021-11-13T22:08:18.000Z	1459644314137542657	Me 0 drinks in at a wedding seeing the Bama score last weekend 	{'place_id': '5cba3a162965b0e2'}
2021-11-13T22:04:59.000Z	1459643479424999425	got our photo booth pictures from the wedding back today 🥰 	{'place_id': '5e4243758a966b81'}
2021-11-13T21:36:30.000Z	1459636312508702720	Did I ever tell y’all when I was doing my speech at my sisters wedding in NY someone was trying to talk shit and I was drunk af on the mic like “hey who said that? I’m from Chicago we don’t play that shit” 🤣🤣🤣 why I get ratchet whenever I’m not home lmao.	{'place_id': '1d9a5370a355ab0c'}
2021-11-13T19:48:22.000Z	1459609099679809547	Ross...   Rocked my daughter Justine's wedding.... Thanks 0 makin it a night 0 remember....ROCK ON BROTHER...!!!👰🤵 	{'place_id': 'd64afac908bf795d'}
2021-11-13T18:51:01.000Z	1459594668983951379	Put your hands in the air 🙌 ...it’s the weekend! Stop in for a drink or two 🍻               	{'place_id': '1d9a5370a355ab0c'}
2021-11-13T15:59:55.000Z	1459551608665223169	Here befor Paul’s and Mariynn’s wedding pictures getting ready! (@ Renaissance Chicago Downtown Hotel -  in Chicago, IL) 	{'coordinates': {'type': 'Point', 'coordinates': [-87.62832105, 41.88622055]}, 'place_id': '1d9a5370a355ab0c'}
2021-11-13T15:51:19.000Z	1459549445843038210	Since we don’t have a DJ for our wedding we’re requiring people to submit songs when they RSVP... Let’s just say sh*t will be eclectic	{'place_id': '1d9a5370a355ab0c'}
2021-11-13T15:40:03.000Z	1459546608576741389	Peering through our trees during the orange glow of sunset. So many uniquely framed scenes in our garden. If you are planning a garden ceremony or chapel wedding schedule a tour at Chapel in the Pines.Become a part of our tradition.      	{'place_id': '1d9a5370a355ab0c'}
2021-11-13T15:19:15.000Z	1459541376937476107	Michael Stryker fresh from his clinic at South, doing great work with jazz 0 who started out rehearsal burning!!! Looking forward to the concert! 	{'place_id': '5cba3a162965b0e2'}
2021-11-13T12:55:11.000Z	1459505118148186113	Let me take my a** to the gym.	{'place_id': '1d9a5370a355ab0c'}
2021-11-13T12:21:43.000Z	1459496696711454725	Page Six: See Paris Hilton's stunning wedding dress — and three reception looks.via 	{'place_id': '1d9a5370a355ab0c'}
2021-11-13T09:27:46.000Z	1459452919733006336	Like it kills me when people come to me to help them & rescue them from there problems, but it sucks when I’m trying to get that same energy back for my wedding planning ugh	{'place_id': '1d9a5370a355ab0c'}
2021-11-13T06:40:51.000Z	1459410917037387779	I have my save the dates 💕🤞🏻. I’m crushing this wedding stuff🙋‍♀️	{'place_id': '50f296a1bd4198b6'}
2021-11-13T04:59:43.000Z	1459385463677018115	i fucking loovveeee salad i literally dream of eating salad and look forward to my next salad i eat out of my big stainless steel bowl ugh i cant even think of anything besides salad lately my top salads right now are ceasar and this thing called a dill pickle salad	{'place_id': '1d9a5370a355ab0c'}
2021-11-13T04:09:58.000Z	1459372942744301574	Love me some tiktok. On there i can go to church everyday if i want to.	{'place_id': 'd6eacc5955ffad4b'}
2021-11-13T01:21:31.000Z	1459330552692199429	 Went to a bar down the street to mingle with the locals 😂	{'place_id': '1d9a5370a355ab0c'}
2021-11-13T00:37:59.000Z	1459319598042558468	Here’s the story behind our “W” flag save the date! ⚾️❤️FULL 🎥:    	{'place_id': '1d9a5370a355ab0c'}
2021-11-13T00:33:11.000Z	1459318387537031169	From Twitter fiends to real-life meetup.And maybe we’re distant cousins? (I mean, good hair and both writers 😂 😎).Great convo over beers w/ —and we’re looking to do a Chicago “marketing” meetup soon. 	{'place_id': '1d9a5370a355ab0c'}
2021-11-13T00:25:56.000Z	1459316562960211968	Me and alex seeing things we like at wedding we attend 	{'place_id': '1d9a5370a355ab0c'}
2021-11-08T16:07:11.000Z	1457741498154373125	 The same could be said of gathering all the Evangelical ones. How is it done then?	{'place_id': '1d9a5370a355ab0c'}
2021-11-09T18:09:00.000Z	1458134543576313861	. nurses are gathering at UIHealth demanding better safety protocols and staffing solutions.  	{'place_id': '1d9a5370a355ab0c'}
2021-11-09T17:47:02.000Z	1458129014145667073	Can’t wait to see Nebraska in the CFP Top 0 after gathering more quality losses than any other team this year	{'place_id': '1d9a5370a355ab0c'}
2021-11-09T03:34:16.000Z	1457914407816732672	 If you were playing Magic: The Gathering, you would need a card to back up that talk. Likely one from their new DnD expansion	{'place_id': '1d9a5370a355ab0c'}
2021-11-11T23:51:24.000Z	1458945485306314757	A co-worker found out I would be by myself for Thanksgiving. Invited me to his wife's family gathering. I had a fun time trying to tactfully say I'd rather be alone than in a house full of people I don't know. Introversion is fun!	{'place_id': '918c943e88cc3e5d'}
2021-11-11T22:23:34.000Z	1458923383836577797	Our holiday hats collection just dropped. 😍🎄Beanies and Snapbacks, perfect for any holiday gathering:  	{'place_id': '1d9a5370a355ab0c'}
2021-11-13T22:53:48.000Z	1459655765216661511	 I'm pretty sure you OBLITERATED that quota at my gathering last month.	{'place_id': '99700cd6fc455c13'}
2021-11-13T17:12:36.000Z	1459569902629502978	Shri  ji about to address the gathering. Swagatam ji! 	{'place_id': '227d358f6ed8d29e'}
