335410704	2021-09-29T23:44:48.000Z	1443361146166198272	Ideas and snapshots from  wedding!     	{'place_id': '6db05c8d8e092528'}
748590682651111424	2021-10-03T21:58:02.000Z	1444783828736819203	Went to a party last night where there was a penis piñata and smashing that damn thing was incredibly therapeutic. ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥	{'place_id': '1d9a5370a355ab0c'}
2762094583	2021-10-03T20:37:50.000Z	1444763646593228807	I’m sorry but this is just so dumb. It’s not “discrimination” for an event centered around 0 adults to be adults only. People can do whatever they want and if they don’t want to deal with OTHER PEOPLE’S CHILDREN at THEIR wedding, there is legitimately not a thing wrong with that.	{'place_id': '1d9a5370a355ab0c'}
2762094583	2021-10-03T20:36:26.000Z	1444763296368824324	… this is not at all comparable to the things you listed. I was at a wedding with kids last night, they had to pay for an entirely separate menu to accommodate the kids. Also some people want adults only events because it’s less stressful for the people planning it & that’s FINE 	{'place_id': '1d9a5370a355ab0c'}
32814873	2021-10-03T18:59:53.000Z	1444738997172019211	 American weddings are weird and boring. You want a Greek wedding 😈	{'place_id': '1d9a5370a355ab0c'}
2243652343	2021-10-03T18:58:19.000Z	1444738604010545154	  OMFG!!! 🤩🤩🤩 Congratulations! 🎉🎉I’m so happy for the both of you!!! That’s AMAZING! I hope you all have the most amazing engagement, wedding, & marriage for the rest of your lives!! ❤️❤️❤️	{'place_id': '9fdc3d1edf51a0a0'}
270542450	2021-10-03T18:44:41.000Z	1444735171119525889	 botprompt: Gordon Freeman and GLaDOS at their wedding ceremony in Aperture Science's laboratory	{'place_id': '1d9a5370a355ab0c'}
29531588	2021-10-03T18:38:51.000Z	1444733702064558084	I’m always late to the party too it seems  	{'place_id': '07d9e4038bc88000'}
1180983282839801858	2021-10-03T18:06:56.000Z	1444725672065347587	I’m kinda late to the party but❣️ just watched   and I LOOOOOOOOOED IT❣️❣️❣️ 	{'place_id': '1d9a5370a355ab0c'}
722862884703735808	2021-10-03T17:55:34.000Z	1444722811575099401	 No. These days couples are marrying later, often having lived together first. They have had time to save for the wedding they desire.If a parent wants to and is able to afford to, they can make a monetary gift or pay for a specific item.	{'place_id': '2180fafeb49b5684'}
61366106	2021-10-03T16:10:42.000Z	1444696422406893576	 It's like they don't respect us out here on the road. No matter what everything throughout everywhere is brought in through trucks (semis) so people don't realize that and be doing the most in traffic. It's a headache on Fridays. Everybody trying to get home from work or to a bar	{'place_id': 'fb0971608411ae20'}
327481034	2021-10-03T15:52:35.000Z	1444691860543447044	Might have to slide to a concert 😅 	{'place_id': '1d9a5370a355ab0c'}
34509966	2021-10-03T15:41:15.000Z	1444689008643166210	Papa johns was definitely a hit after the wedding lastnight mfs was cooked	{'place_id': '1d9a5370a355ab0c'}
2481540306	2021-10-03T14:37:56.000Z	1444673076201938947	Made it to the gym	{'place_id': '1d9a5370a355ab0c'}
43643203	2021-10-03T12:39:50.000Z	1444643355305123843	Y'all, I am crying tears of joy. I haven't been here since before the pandemic began. This place, these people, mean everything to me! Praise God!   is about to take us to church on 0st Sunday! 	{'place_id': '11db9b3d1c141002'}
84200107	2021-10-03T12:35:30.000Z	1444642265197076486	Thinking about how Debi Mazar’s wedding was officiated by Ellen Burstyn	{'place_id': '1d9a5370a355ab0c'}
703013105807151104	2021-10-03T11:39:07.000Z	1444628076319711232	Who knew there were Romanovs still alive. Banished in the 0 Russian Revolution as pure evil, they are back in St  Petersburg in a big wedding. Vanity Fair: Romanov Wedding Is a Royal Russian Flashback.via 	{'place_id': '1d9a5370a355ab0c'}
220813859	2021-10-03T11:07:30.000Z	1444620117560774662	Hope My Future Husband Know My Wedding Gone Be Ganged Out 😂❤️🖤✔️	{'place_id': '1d9a5370a355ab0c'}
48793045	2021-10-03T09:17:04.000Z	1444592327620661251	 You are next in line for the miracle [A wedding] What you make happen for people, will happen for you.I have spoken.	{'place_id': '1d9a5370a355ab0c'}
75849804	2021-10-03T05:47:58.000Z	1444539705002012673	Wedding  of the week is in the books.  This chick rocks. I'm exhausted. 	{'place_id': '04c0488a01ad05ce'}
238241159	2021-10-03T04:14:01.000Z	1444516061861318658	Party over. Got back on the shuttle with the wedding party to go back to the hotel and have a few more drinks before hitting the casino.	{'place_id': 'eaaf978cf85d1347'}
963575297793822721	2021-10-03T02:49:26.000Z	1444494774174638080	The fact everybody at the wedding was telling us we were next	{'place_id': '1d9a5370a355ab0c'}
498097810	2021-10-03T02:21:23.000Z	1444487715177869313	 Wait, was DDR always an option for wedding receptions? Because if I ever get married, IT'S ON	{'place_id': '7ca9cc3e813b1534'}
44828230	2021-10-03T01:23:18.000Z	1444473099089588225	    I would expect nothing less from James! Dirt and a white wedding dress, what could go wrong?	{'place_id': '1d9a5370a355ab0c'}
