2021-07-19T22:58:31.000Z	1417257572575457281	My kid (a.k.a. Thing 0) on finding her wedding dress (no, you can't see it). 	{'place_id': '227d358f6ed8d29e'}
2021-07-20T20:47:08.000Z	1417586895647805443	  All good, we've been wanting to do a housewarming/wedding feast/now baby feast for a minute but have been too busy lol. I'll keep y'all posted	{'place_id': '1d9a5370a355ab0c'}
2021-07-20T18:45:37.000Z	1417556315119915010	i’m going to the mall to look for some white ones, pray for me.	{'place_id': '9458deb79984da4e'}
2021-07-20T17:48:51.000Z	1417542029538627591	I have a wedding to go to this weekend and it’s gonna be one big high school reunion. 	{'place_id': '1d9a5370a355ab0c'}
2021-07-20T16:04:18.000Z	1417515719491825671	We are excited to host the  Meetup group for the first time at imnotArt Chicago!Who will be joining us today to talk about all things ETH?! 	{'place_id': '1d9a5370a355ab0c'}
2021-07-20T14:55:50.000Z	1417498491685851146	FINALLY...one of my LBs is getting married!I haven't been to a wedding in like 0 years. 😂	{'place_id': '1d9a5370a355ab0c'}
2021-07-20T13:24:31.000Z	1417475510041550853	Good Morning! All of the drinking and partying negatively impacted my workout today!  I'm grateful that I made it to the gym though! How y'all feeling today?	{'place_id': '1d9a5370a355ab0c'}
2021-07-20T12:30:07.000Z	1417461819363536901	Been a while since I've been to an art show, I'd love to go on a date! 	{'place_id': 'cdf74b55fc0d4600'}
2021-07-20T06:44:48.000Z	1417374915762794530	I think about my bridesmaids all the time. And the less these hoes reach out the less I want and need them in my wedding tbh	{'place_id': '1d9a5370a355ab0c'}
2021-07-20T06:19:29.000Z	1417368546829553667	  Yup. Lots of those floating around in the day. In the 0th century, Catherine of Sienna even received a baby Jesus foreskin to wear as a wedding ring to show her devotion/marriage to Jesus.And Mother Mary gave it to her herself.Look it up ;) 	{'place_id': '1d9a5370a355ab0c'}
2021-07-20T03:58:43.000Z	1417333122400759822	feels so good going to the gym at night but I already know my legs are going to regret it in the morning 😅	{'place_id': '109342af5712414e'}
2021-07-20T03:14:28.000Z	1417321986905321485	My wedding date 	{'place_id': '1d9a5370a355ab0c'}
2021-07-20T02:39:33.000Z	1417313196898234380	Nobody : Men when I’m tending bar : My TiP iS gO oN a DatE wiTh mE🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢	{'place_id': '1d9a5370a355ab0c'}
2021-07-20T02:14:17.000Z	1417306837825822721	Goal this week is make it to the gym three times.	{'place_id': '9fdc3d1edf51a0a0'}
2021-07-20T01:50:08.000Z	1417300761051111425	0.0k steps. And 0 calories burnt. Bruh. I need to go to the gym after work or else ima just be skin and bones 😭	{'place_id': '1d9a5370a355ab0c'}
2021-07-20T00:20:15.000Z	1417278143841329152	 Just don't let the  episode be about the story of your wedding, including the cop extras that are around the perimeter setting up a crime scene...	{'place_id': '1d9a5370a355ab0c'}
2021-07-21T21:30:14.000Z	1417960132076609537	Ay who tryna go bowling	{'place_id': '1d9a5370a355ab0c'}
2021-07-21T19:38:15.000Z	1417931949876912135	My Venmo requests consist of  upset for not visiting, my friend Jake blackmailing me about my expired plates, and a guy I went on a date with upset I left it super early. Tough to be me. 	{'place_id': '1d9a5370a355ab0c'}
2021-07-21T19:00:58.000Z	1417922569135603716	Omg. Just now seeing that one of the guys I went on a date with literally requested me to pay him for leaving the date early Friday 💀 	{'place_id': '1d9a5370a355ab0c'}
2021-07-21T18:08:39.000Z	1417909402313662473	 Go bowling with funny ass ppl shit be different	{'place_id': '1d9a5370a355ab0c'}
2021-07-21T17:24:56.000Z	1417898399920181252	Claire should have slapped back, her hitting Ciara with the wedding flowers was pretty funny. 	{'place_id': '1d9a5370a355ab0c'}
2021-07-21T15:58:44.000Z	1417876708850556938	 i would straight up just tell her because i made this mistake (the wedding was at lake winni so kinda had to stay) but spent wayyyyy too much money to be traveling alone and spending so much on a hotel	{'place_id': '1d9a5370a355ab0c'}
2021-07-21T15:44:39.000Z	1417873164420489216	Sister’s wedding this weekend. Shave the mullet or ride it out? 😮‍💨	{'place_id': '1d9a5370a355ab0c'}
2021-07-21T14:41:09.000Z	1417857181832056834	Girl you better go bowling with that man 😂	{'place_id': '1d9a5370a355ab0c'}
2021-07-21T13:58:37.000Z	1417846480824676357	Who doesn’t love a little chic gown foe their wedding?  @ Glen Ellyn, Illinois 	{'coordinates': {'type': 'Point', 'coordinates': [-88.06305556, 41.87111111]}, 'place_id': 'd77ed7c9521c898d'}
2021-07-21T04:00:15.000Z	1417695894607220737	Let’s go bowling 	{'place_id': 'da64cd6b4a6e157c'}
2021-07-21T02:11:38.000Z	1417668558536986632	Anyway I need a date to a wedding. Anybody wanna come with me👀	{'place_id': '003cc2276dfcaca4'}
2021-07-21T00:15:12.000Z	1417639257208991747	Wedding planning is better with beer  - Drinking an Esoteric Vision by  @ Wrestle Cave  — 	{'coordinates': {'type': 'Point', 'coordinates': [-87.535347, 41.6519318]}, 'place_id': '1d9a5370a355ab0c'}
2021-07-22T22:12:34.000Z	1418333174845763585	Forever in Love!...               	{'coordinates': {'type': 'Point', 'coordinates': [-87.7080378, 41.9250382]}, 'place_id': '1d9a5370a355ab0c'}
2021-07-22T21:40:05.000Z	1418325000185077769	I keep thinking today is Friday. I think that’s a sign i need to go for a drink😌.	{'place_id': '653aabd8c2d3e4d2'}
2021-07-22T19:41:09.000Z	1418295068306382849	Congratulations Jonielle & Sean and the kids! 0/0/0Become a part of our tradition. Chapel in the pines is a destination wedding venue. We have been hosting weddings for the last 0 years!        	{'place_id': '8b351eeb91372dc7'}
2021-07-22T18:38:01.000Z	1418279180865785861	If  opened a store in Chicago,  would actually want to go shopping. 🤣 	{'place_id': '1d9a5370a355ab0c'}
2021-07-22T17:49:12.000Z	1418266894507913218	 And that’s certainly fair . . . I just recall one or more of the outbreaks began at clubs because a guy went out to a club or something . . . and IMO there should have a been consequences such as this. But I’m also a fake hardass. Lol!	{'place_id': '1d9a5370a355ab0c'}
2021-07-22T17:20:12.000Z	1418259597069013000	A Garden Inspired & Candle Lit Wedding at City Winery!  	{'coordinates': {'type': 'Point', 'coordinates': [-87.6571115, 41.8845863]}, 'place_id': '1d9a5370a355ab0c'}
2021-07-22T14:36:20.000Z	1418218360219717645	Today is my parents’ 0th wedding anniversary. Can you imagine? 	{'place_id': '1d9a5370a355ab0c'}
2021-07-22T13:59:04.000Z	1418208978173980675	I don’t think my wedding ring is gonna fit for a while LOL 	{'place_id': '1d9a5370a355ab0c'}
2021-07-22T12:01:35.000Z	1418179413259259910	 Person at wedding: WTF?? Cash bar? In this economy?????Jesus: Say less. I got you.	{'place_id': '1d9a5370a355ab0c'}
2021-07-22T11:03:53.000Z	1418164895518969858	The shop Koozie program is alive and well. Every month a new Koozie gets made and given out to shop customers. Want one ? Gotta come get a haircut.  …. 	{'place_id': '1d9a5370a355ab0c'}
2021-07-22T08:42:09.000Z	1418129225635319810	I’m really excited to be a husband high key! Once this wedding is over, and the honeymoon is in the books, it’s money moves too Spring ‘0	{'place_id': '1d9a5370a355ab0c'}
2021-07-22T03:46:09.000Z	1418054735182110721	 Wow what a wedding gift for Rone	{'place_id': '1d9a5370a355ab0c'}
2021-07-22T03:02:41.000Z	1418043795170545668	 someone’s late to the party 🙄🙄🙄🙄🙄🙄🙄🙄 	{'place_id': '1d9a5370a355ab0c'}
2021-07-22T02:29:45.000Z	1418035505875333123	Saw The African Queen for the first time and found my dream wedding 🥰 	{'place_id': '1d9a5370a355ab0c'}
2021-07-22T02:14:16.000Z	1418031610331598851	I realized I don’t have dark blue/navy socks for this wedding in Pittsburgh this weekend. Wearing a Dark blue suit w/ brown shoes. Gotta have them. So I ordered them on Amazon and sent them to Pittsburgh for a tomorrow delivery. And this is why  got to go to space. 🚀	{'place_id': '1d9a5370a355ab0c'}
2021-07-22T00:23:47.000Z	1418003806319693825	Destination wedding dress ! 	{'place_id': '1d9a5370a355ab0c'}
2021-07-22T00:04:21.000Z	1417998918609219584	I’ve reached the Run-to-Michael’s-on-my-lunch-break phase of wedding planning… T-minus 0 days… 😎🤞🏻🥴	{'place_id': '1d9a5370a355ab0c'}
2021-07-19T21:05:52.000Z	1417229224025497607	  Well have to do one for the big group gathering in a week.	{'place_id': '1d9a5370a355ab0c'}
2021-07-19T12:30:05.000Z	1417099421498675200	I am so looking forward to attending  and will be gathering everything I can for my educational leadership toolbox!  Our students are counting on us! 	{'place_id': '8b351eeb91372dc7'}
2021-07-19T03:03:40.000Z	1416956878072987652	"""La Ronda Parakata"", gathering place in the Burnham Wildlife Corridor by artists Hector Duarte and Piloto Nieves. "	{'place_id': '1d9a5370a355ab0c'}
2021-07-19T02:50:24.000Z	1416953540266889218	"""La Ronda Parakata"", gathering place in the Burnham Wildlife Corridor by artists Hector Duarte and Piloto Nieves. "	{'place_id': '1d9a5370a355ab0c'}
2021-07-19T01:56:26.000Z	1416939961274798085	Who wants to massage my feet after this weekend? Foot fetish join my O.F.🦶  	{'place_id': 'f48e110211eee6ef'}
2021-07-23T17:33:31.000Z	1418625337177608201	 It’s actually my preferred name change of all the options we had. The Guardians of traffic are literally next to the stadium so it had identity. G Logo also fucks. 	{'place_id': '1d9a5370a355ab0c'}
2021-07-23T15:08:50.000Z	1418588923425693699	My church is hosting a  b-ball tournament, etc., after our 0 a.m. Gathering. I’m excited about choosing my outfit & being a cheerleader for my spiritual fam 📣 Join us? Here’s a screen recording of their insta promo: 	{'place_id': '1d9a5370a355ab0c'}
2021-07-23T00:39:43.000Z	1418370205944791042	There needs to be a migration...a gathering of the unvaxxed tribe.Together as one, its THE force to be reckoned with. 	{'place_id': '1d9a5370a355ab0c'}
2021-07-24T22:03:30.000Z	1419055665348325388	  Or go swimming	{'place_id': '1d9a5370a355ab0c'}
2021-07-24T21:01:59.000Z	1419040184566525957	Ight who inviting me to go swimming in they pool	{'place_id': '1d9a5370a355ab0c'}
2021-07-24T12:13:47.000Z	1418907260525371401	Thank you to my Cincinnati, OH     buyer.    	{'place_id': '20c885d40cb26f0f'}
2021-07-24T05:00:44.000Z	1418798279232524291	 does it count if a dude fingered me at a magic the gathering tournament	{'place_id': '1d9a5370a355ab0c'}
2021-07-25T02:20:10.000Z	1419120258472939524	Went to see a play in a theater with live actors tonight and wept more than a few times holy cats I forgot how to audience	{'place_id': '1d9a5370a355ab0c'}
