2021-12-06T21:36:48.000Z	1467971309703413761	  Looking forward to the concert  You do such an amazing job running  😁	{'place_id': '001dfcdd3eb26fdb'}
2021-12-08T15:03:35.000Z	1468597127437860865	"0 hard minutes with more strokes than  on a ""date night"". Assist by  One of my favorite albums ever.   "	{'place_id': '1d9a5370a355ab0c'}
2021-12-08T14:04:23.000Z	1468582229878231040	Let me get up and go to the gym. Even when I don’t feel like it. 😢🤟🏽	{'place_id': '1d9a5370a355ab0c'}
2021-12-08T13:32:52.000Z	1468574300336803842	Too early for a drink? Nope. Ready for some AZ sun. 	{'place_id': '0fc7e0a406d55000'}
2021-12-08T12:50:41.000Z	1468563683760553995	going to pick up my mom from the airport. it’s officially my gay wedding (long & thick) weekend! i’m getting married!!! 👰🏼🎅🏻	{'place_id': '1d9a5370a355ab0c'}
2021-12-08T06:50:42.000Z	1468473092628488193	If you don’t want us as a unit to come to your event with the same numbers then who is gonna pay the 0.0 that shouldn’t come out of my own pocket! If the price of alcohol went up I’m sure they would charge more for a drink so I think a 0$ increase is unreasonable!	{'place_id': '1d9a5370a355ab0c'}
2021-12-08T04:41:30.000Z	1468440577607929861	The only thing iHate about watching shows based in NYC is they make it seem like everyone got money, dresses nice, eat out everyday, and can’t find love lol.	{'place_id': '1d9a5370a355ab0c'}
2021-12-08T03:15:20.000Z	1468418892322201602	No wedding gown needed ,Yuto. just a registration form we can go to the city hall LOL 	{'place_id': '1d9a5370a355ab0c'}
2021-12-08T02:08:28.000Z	1468402064544137216	It’s too cold outside to go to the gym	{'place_id': '1cf51d4fa867b58a'}
2021-12-08T00:21:33.000Z	1468375157731475466	The meetup I had earlier was amazing. 💦	{'place_id': '1d9a5370a355ab0c'}
2021-12-09T23:49:21.000Z	1469091832537694211	 can’t wait to use  for my next rossis meetup 	{'place_id': '1d9a5370a355ab0c'}
2021-12-09T22:21:54.000Z	1469069825267875850	So much fun and excitement at Chapel in the Pines this year! Thank you to everyone who could visit us in 0 and we are so excited to meet those of you visiting in 0!Become a part of our tradition. Chapel in the pines is a destination wedding venue.   	{'place_id': '8b351eeb91372dc7'}
2021-12-09T22:11:01.000Z	1469067082729988101	 I'm late to the party on HAIM, but I dig them..	{'place_id': '1d9a5370a355ab0c'}
2021-12-09T17:54:12.000Z	1469002452762517507	 My father, Captain Raymond Burke, was commissioned shortly after his wedding 0/0/0. He served mainly in the Midwest. Sadly, he did not live to see his grandchildren. Like him, they have red hair!  	{'place_id': '1d9a5370a355ab0c'}
2021-12-09T16:08:21.000Z	1468975817640353792	Omw to the gym 	{'place_id': '1aa7803ca6707875'}
2021-12-10T23:48:00.000Z	1469453880815759360	Wedding cheers! - Drinking a Freedom of Speach by  at   — 	{'coordinates': {'type': 'Point', 'coordinates': [-88.1075745, 41.8649368]}, 'place_id': '57ac88aefcd20988'}
2021-12-10T23:07:15.000Z	1469443621745274887	Congratulations! Steven and Nichapa 0/0/0.Become a part of our tradition. Chapel in the pines is a destination wedding venue. We have been hosting weddings for the last 0 years! Follow us and stay inspired for your wedding    	{'place_id': '8b351eeb91372dc7'}
2021-12-10T23:01:41.000Z	1469442224190820352	Wedding szn 🥂 	{'place_id': '57ac88aefcd20988'}
2021-12-10T22:38:31.000Z	1469436393663389700	Why am I being bullied into going to the gym on my rest day 😭	{'place_id': '1d9a5370a355ab0c'}
2021-12-10T21:47:52.000Z	1469423644539510784	 Check you email for a wedding invite from Kendall!!	{'place_id': '1d9a5370a355ab0c'}
2021-12-10T21:37:41.000Z	1469421083086499846	 Her team gave me 0 free nights and then the guy I was dating gave me two nights of tickets and then I bought 0 nights. I literally went to the concert 0 times in 0 days	{'place_id': '1d9a5370a355ab0c'}
2021-12-10T19:27:43.000Z	1469388377392881671	You doing the most for clout. Karma is a bitch. Real shit. Only thing you getting for Christmas is a fake wedding ring 	{'place_id': '1d9a5370a355ab0c'}
2021-12-10T16:35:06.000Z	1469344934385889283	  they’re coming to the wedding	{'place_id': '1d9a5370a355ab0c'}
2021-12-10T15:37:57.000Z	1469330553233199107	I can't wait to get back to the movies and find out how a pizza gets rich, and why you lick it.	{'place_id': '1d9a5370a355ab0c'}
2021-12-10T15:27:38.000Z	1469327958984867840	One of my favorite images from the  Chicago meetup is of upcoming model and entrepreneur Tiffany ( ).She’s such a natural in front of the camera. @ Chicago, Illinois 	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
2021-12-10T14:59:57.000Z	1469320991784509443	I would love to go on a date but I ain’t ready 😔…..	{'place_id': '1d9a5370a355ab0c'}
2021-12-10T12:57:14.000Z	1469290105957494786	On my way to Minnesota rn and realized I have no winter boots! I am too used to going to warmer climates. To the mall of America!! 	{'place_id': '1d9a5370a355ab0c'}
2021-12-10T06:07:11.000Z	1469186914351820802	Late to the party but I just finished  season 0 and 🤯	{'place_id': '1d9a5370a355ab0c'}
2021-12-10T05:47:11.000Z	1469181880742596609	Twitter is hard to parse tonight. I don’t think they kissed, but I think he asked her on a date? While his youngest son was getting a psych eval? Sounds right tbh 	{'place_id': '1d9a5370a355ab0c'}
2021-12-10T05:15:58.000Z	1469174025503055875	Watching  makes me want to have a wedding 🥰🙌🏼	{'place_id': '1d9a5370a355ab0c'}
2021-12-10T04:11:17.000Z	1469157749573537792	  The previous 0 episodes were live by the time I go to the gym at 0:0, can’t wait to do the same tomorrow!	{'place_id': '222efb7ee8b98c58'}
2021-12-10T02:31:42.000Z	1469132689227890692	 I got rid of mine a few years ago. Sold it along with my wedding ring and paid off my  student loans! 😱😱😱😳😳🤘🤘	{'place_id': '8b351eeb91372dc7'}
2021-12-10T01:24:29.000Z	1469115773327183878	Going on a date Saturday wish me luck🤞🏼	{'place_id': '1d9a5370a355ab0c'}
2021-12-10T00:48:35.000Z	1469106737085132816	 On my way to church. By the time I got home, I had an email from my job saying don't come to work unless you don't have a computer at home. 😂😂😂 	{'place_id': '1d9a5370a355ab0c'}
2021-12-11T22:28:15.000Z	1469796198957690880	Tuned into the Illinois vs. Arizona game and those jerseys Illinois has on look 🔥!!! I hardly watch any college ball forgive me if I’m late to the party 😂	{'place_id': '1d9a5370a355ab0c'}
2021-12-11T22:19:13.000Z	1469793925615521795	We fancy! Wedding time!!!  	{'place_id': '1d9a5370a355ab0c'}
2021-12-11T22:15:37.000Z	1469793018370740232	I wan to go on a date, but y’all like corny shit. I want to go eat ice cream;  then play rock band on Shrooms, then eat wings on parking lot roof top across from the sky line. 🤦	{'place_id': '1d9a5370a355ab0c'}
2021-12-11T21:42:27.000Z	1469784670112002057	 That’s a lie go to the mall & look at the people faces who can’t get them.	{'place_id': '1d9a5370a355ab0c'}
2021-12-11T20:55:19.000Z	1469772809509515267	Go to the gym?	{'place_id': '1d9a5370a355ab0c'}
2021-12-11T17:42:37.000Z	1469724314471653380	Need to find the energy to make it to the gym 🙂	{'place_id': '1d9a5370a355ab0c'}
2021-12-11T15:29:06.000Z	1469690714250481670	Congratulations to  on her well-deserved  win for best  We are discussing her sunning memoir - please join us!     	{'place_id': '1d9a5370a355ab0c'}
2021-12-11T15:25:14.000Z	1469689739812999168	 I haven't sold a single share since beginning of January. I'm proud of the that. It hasn't always been easy. I'm middle class and some days are better than others financially. My husband and I are paying off a wedding and we manage to cut corners when we can. We are confident.	{'place_id': '1d9a5370a355ab0c'}
2021-12-11T14:29:04.000Z	1469675608196239361	 Egggg-zactly! Going half on a date is just ghetto	{'place_id': '1d9a5370a355ab0c'}
2021-12-11T04:45:11.000Z	1469528669135773702	I knew her putting on the wedding shoes had an ominous feel	{'place_id': '1d9a5370a355ab0c'}
2021-12-11T04:40:07.000Z	1469527394394464257	My girl didn’t get jilted at her wedding and back with him to lose him years later😭😭😭😭😭I loved her and big	{'place_id': '1d9a5370a355ab0c'}
2021-12-11T04:14:20.000Z	1469520905827233795	Steven Spielberg is a genius and  he just brought the art of pure movie storytelling and magic back to the movies! A breath of fresh, wondrous air!	{'place_id': '1d9a5370a355ab0c'}
2021-12-11T04:04:53.000Z	1469518526012604419	Spent most of today dissociating after being assaulted on the way to a gig. Never made it to the gig. Had a panic attack instead. ✌🏻 Today has been a roller coaster. (But I’m fine). Finally snapping out of it.	{'place_id': '1d9a5370a355ab0c'}
2021-12-07T03:11:30.000Z	1468055539926155271	 The booster works. BAt a gathering with ALL people vaxed,three contracted COVID.  All who had been boosted were negative. People should get boosted ASAP	{'place_id': 'ed888f00de07aa3a'}
2021-12-07T01:08:18.000Z	1468024536545349633	We’ve arrived in Chicago!  This is our 0rd and final stop of Chinatowns across America. Tuesday we begin gathering more “Spirit of China” stories for our coverage of the Beijing Winter Olympics in Feb 0.   	{'place_id': '07d9e3d8c4888001'}
2021-12-08T22:59:23.000Z	1468716869095936004	🎶 We're gathering now, getting ready to start singing for the  at Millennium Park, Chicago.🎄 In the Loop? Come join us!  	{'place_id': '13d2131f19961001'}
2021-12-08T04:07:13.000Z	1468431950239223814	Good night from frigid and beautiful Navy Pier. We’re back in Chicago’s Chinatown Wednesday to continue gathering “Spirit of China” stories for our coverage of the Beijing Winter Olympics in February.   	{'place_id': '07d9db032c485003'}
2021-12-09T21:23:31.000Z	1469055129064198147	Our final day gathering “Spirit of China” stories in Chicago includes a last trip though Chinatown Square and my first Bubble Tea. We’ve got interesting stories to share during our coverage of the Beijing Winter Olympics in February. I’ll be back on the news Friday!  	{'place_id': '11dbf3607fd4d001'}
2021-12-09T18:02:40.000Z	1469004583276007431	BUT if we become REALLY close friends (movies, mutual friends, group gathering, helping out, being there when needed without questions, etc.) Then having sex becomes complicated for me…	{'place_id': '1d9a5370a355ab0c'}
2021-12-09T02:39:14.000Z	1468772195593859073	  If you want to educate yourself instead of just speaking visit  I’ve spent time gathering my own evidence to make an EDUCATED statement. Maybe you should too.	{'place_id': 'f04813ea26f51186'}
2021-12-10T22:26:37.000Z	1469433397189783553	At least 0 Detectives worked this case involving  and put in almost 0 hours of work. They conducted interviews, gathering evidence, and corroborating information into what was purported to be a hate crime.[0/0]	{'place_id': '07d9e4f7f4087000'}
2021-12-10T17:10:58.000Z	1469353960096022530	Nigerians,As you are celebrating Christmas, Holidays, and New Year ….Don’t forget to discuss during the Breakfast, Lunch, Dinner, and at every gathering the poor leadership and poor management by all politicians in the helms of affairs in your local govt, State and Federal.	{'place_id': '4b3758bc32868265'}
2021-12-10T16:14:02.000Z	1469339632580141063	Our Almost Famous butter cookies make a great stocking stuffer, corporate gift, or bring-along to a gathering. And, we will ship them anywhere! 	{'place_id': '8b351eeb91372dc7'}
2021-12-10T00:49:32.000Z	1469106977695580167	 That was a thrilling finish, three greats taking it to the line. Also inspired changes to the stadium layout, improving the finish set up.	{'place_id': '1d9a5370a355ab0c'}
2021-12-11T19:47:38.000Z	1469755775664930821	  A book. The imparting of information, knowledge, etc. is,done by many medium. Some non-electronic. Attempt to lead them to something that may give them a completely different experience in gathering the enjoyment of getting lost in a great story.	{'place_id': 'cdf74b55fc0d4600'}
2021-12-11T04:29:44.000Z	1469524777421447170	A most excellent gathering, I learned a lot from this discourse. 	{'place_id': '8b351eeb91372dc7'}
2021-12-11T02:53:06.000Z	1469500459887038467	Actor Danny Glover addresses the gathering.  This about building concensus and pushing dialog to the next stage. 	{'place_id': '8b351eeb91372dc7'}
