252270990	2021-02-10T21:46:12.000Z	1359619705250729987	Its looking like another solo mission to the gym with me.	{'place_id': '08695e38fe9e7edf'}
3081071273	2021-02-12T03:45:21.000Z	1360072475028168706	Whenever dioceses choose to lift dispensations, like with other difficult pandemic-related decisions, individual believers will have to decide for themselves when they feel safe going back to church. 	{'place_id': '1d9a5370a355ab0c'}
61537047	2021-02-12T03:35:36.000Z	1360070019326050307	you guys im going on a date ice skating and to the Monet exhibit at Art Institute I cannot wait... might even get mochi after or something	{'place_id': '1d9a5370a355ab0c'}
339154395	2021-02-12T03:31:17.000Z	1360068934041542657	0 wedding dresses donated to a good cause.    @ Glen Ellyn, Illinois 	{'place_id': 'd77ed7c9521c898d', 'coordinates': {'type': 'Point', 'coordinates': [-88.06305556, 41.87111111]}}
19852011	2021-02-12T02:40:35.000Z	1360056175413362690	 Can we add “want to be friends first and see where it goes” as a red flag?I’m not showing up on the first date in a wedding dress with a preacher.	{'place_id': '1d9a5370a355ab0c'}
355534517	2021-02-12T02:24:57.000Z	1360052240879353860	So sweet everyone watching Carl’s moms wedding!  👰🏻 ❤️	{'place_id': '1d9a5370a355ab0c'}
123148934	2021-02-12T01:40:44.000Z	1360041115211214848	On a date. Kinda nervous. 	{'place_id': '0f4a3aa3d014e000'}
97613792	2021-02-12T00:32:16.000Z	1360023885001986049	i be tired as hell at work then i get to the gym and have the energy of a 0 year old	{'place_id': '1d9a5370a355ab0c'}
265751770	2021-02-13T23:39:10.000Z	1360735296674025477	 Back to the gym!	{'place_id': '1d9a5370a355ab0c'}
1050910728574525440	2021-02-13T23:00:01.000Z	1360725442886565890	Went on a date with an ex to see this movie, who is now one of my best friends. 😅🙃😱 	{'place_id': '1d9a5370a355ab0c'}
36268625	2021-02-13T21:24:40.000Z	1360701450184241158	When COVID hits the breaks on your wedding, you treat yourself to a new set of wheels ••       @ Mount Prospect, Illinois 	{'coordinates': {'type': 'Point', 'coordinates': [-87.9368, 42.0663]}, 'place_id': 'b8fcb766f3f544fe'}
61461297	2021-02-13T20:28:51.000Z	1360687402000465924	 Seriously. He’d be a nightmare to sit next to at family wedding with an open bar....	{'place_id': '1d9a5370a355ab0c'}
21277783	2021-02-13T19:58:47.000Z	1360679836738584576	 How can there be too much dessert? Wtf? And who complains at a wedding?! Omg you're eating free food and are probably there over people who would actually appreciate to be there! Lol	{'place_id': '1d9a5370a355ab0c'}
1286413582587047938	2021-02-13T19:44:26.000Z	1360676224994000898	PSA:You can build wealth without a high income, but you can’t build wealth without a high savings rateA couple tricks to save more:0️⃣ Automate your savings so you don’t have to think about it0️⃣ Have multiple accounts named after your saving goal: ie wedding, vacation	{'place_id': '1d9a5370a355ab0c'}
1101620228209950720	2021-02-13T15:56:49.000Z	1360618941987631108	Colorful blue skies on a wintery cold day at Chapel in the Pines. Chack out  who shared these great shots with us.Become a part of our tradition. Chapel in the pines is a destination wedding venue. 	{'place_id': '8b351eeb91372dc7'}
28382258	2021-02-13T15:11:29.000Z	1360607535414341632	Ciara & Russell Wilson The Wedding ‘0 ❤️ 	{'place_id': '1d9a5370a355ab0c'}
19715734	2021-02-13T13:20:50.000Z	1360579688805134340	Here I am planning to go to the gym... and it’s still snowing! I’m over it	{'place_id': '1d9a5370a355ab0c'}
584206382	2021-02-13T06:04:21.000Z	1360469843389087746	Love that one of the detectives is called “Griff.” Wanna believe it’s a nod to the movies of Sam Fuller.      	{'place_id': '1d9a5370a355ab0c'}
36563719	2021-02-13T03:47:03.000Z	1360435288682737668	“I told you on the day we wedI was gonna love you 'til I's deadMade you wait 'til our wedding nightThat's the first and the last time I wear white”Cool cool  	{'place_id': '1d9a5370a355ab0c'}
31853596	2021-02-13T02:57:52.000Z	1360422913883668484	Filling in behind the stick with Tweed! Drop in for a drink until 0 AM! (@ Rock Island Public House -  in Blue Island, IL)  	{'coordinates': {'type': 'Point', 'coordinates': [-87.68128684, 41.65068368]}, 'place_id': 'fb0971608411ae20'}
241812268	2021-02-13T00:42:54.000Z	1360388948908998665	Yo! My Aunt had me in here screaming 😂 she said she couldn’t be a Muslim or have a arranged wedding 👰 because she needs to test the Dick out because she doesn’t want a dead 💀 Dick 🤣🤣🤣😩😩😩 	{'place_id': '1d9a5370a355ab0c'}
108446258	2021-02-13T00:16:13.000Z	1360382233455063041	I’m purposely spending  alone this year, and I’m taking myself to the spa. Men give you wrinkles, hydrafacials do not! 	{'place_id': '1d9a5370a355ab0c'}
2389582021	2021-02-14T23:03:36.000Z	1361088733911670784	Leave it to Saneit to get me out to a party when it’s 0 degrees	{'place_id': '1d9a5370a355ab0c'}
2606393540	2021-02-14T22:06:43.000Z	1361074418013863937	 Still mad that Darcy didn't bother to come back from Kenya for her mom's wedding. And her mom never even mentions it	{'place_id': '1d9a5370a355ab0c'}
1050655603	2021-02-14T22:05:05.000Z	1361074009199304707	  Wait, he wasn’t on a date with Frank?	{'place_id': '140d2a3b6b338499'}
1231715548326703107	2021-02-14T21:48:17.000Z	1361069777398202371	I’m definitely a wife guy! Wedding is in August 🥰 	{'place_id': '1d9a5370a355ab0c'}
2303870268	2021-02-14T21:40:55.000Z	1361067925646565379	 yup. it’s like I’m going to send this text just incase I decide to I want to ask you on a date one day 😂	{'place_id': '1d9a5370a355ab0c'}
126793427	2021-02-14T20:47:16.000Z	1361054421883510784	See this, this is why I don’t go to the gym for a minute. 	{'place_id': 'cdf74b55fc0d4600'}
1081738599136141313	2021-02-14T19:35:56.000Z	1361036470652444674	Huh, honestly I think I haven’t watched a bad movie on a date (only cause I feel like they’ve been all MCU or Disney movies haha) 	{'place_id': '55c1f288b7e98c40'}
224773645	2021-02-14T17:42:02.000Z	1361007808817344523	made it to church 🙌🏾	{'place_id': '1d9a5370a355ab0c'}
1224944178892869637	2021-02-14T17:29:25.000Z	1361004632701628417	I need to go to the gym so I can go VIRAL knocking an anti-masker out 💀😂😈. Hard headed mfers I swear 	{'place_id': '1d9a5370a355ab0c'}
237061993	2021-02-14T17:01:03.000Z	1360997495623602181	 I love this poem and have read it at a wedding.	{'place_id': '1d9a5370a355ab0c'}
2859801	2021-02-14T15:10:46.000Z	1360969741477814272	  So when I was late to a wedding in Brooklyn for going to the wrong cross streets, it wasn't my fault! Great story, I needed to know this about 0 years ago.	{'place_id': '1d9a5370a355ab0c'}
2202621587	2021-02-14T06:10:28.000Z	1360833768781660160	If we can’t sing and dance to The Party’s just begun by the cheetah girls we can’t be friends 	{'place_id': '1d9a5370a355ab0c'}
2628486754	2021-02-14T02:10:11.000Z	1360773301308653575	"""OUR HAPPINESS & VALENTINE'S ARRIVAL IS LIKE OUR WEDDING; REMEMBER WHEN; HOW & WHY WE MET WIFEY!!!""  🖤💜❤"	{'place_id': '1d9a5370a355ab0c'}
47653371	2021-02-14T01:13:39.000Z	1360759075550691328	. let me take you on a date	{'place_id': '4c46121d44b7ce9e'}
