24252447	2020-02-24T23:21:25.000Z	1232083138601504769	Best decision I made today was not wearing underwear to the gym.	{'place_id': '5cba3a162965b0e2'}
3159888878	2020-02-25T00:26:49.000Z	1232099597113274378	i’ve literally said this on a date before 	{'place_id': '1d9a5370a355ab0c'}
108382114	2020-02-25T00:26:08.000Z	1232099422512852992	There were so many details that made the wedding dope. Especially how all the tables were marvel themed. My friends cold lol	{'place_id': '1d9a5370a355ab0c'}
53310693	2020-02-25T00:21:39.000Z	1232098295390048264	  ready to die (how I feel going to the gym)	{'place_id': '1d9a5370a355ab0c'}
707565936988037120	2020-02-25T00:15:52.000Z	1232096839614128129	Fuck a wedding ring, i bought some Alyx 🎶	{'place_id': '1d9a5370a355ab0c'}
17982331	2020-02-25T00:01:11.000Z	1232093146332483584	 I’m skipping this year, last weekend’s wedding was too much for me. My body needs a food and alcohol break.	{'place_id': '1d9a5370a355ab0c'}
1968094422	2020-02-26T23:34:44.000Z	1232811262431678464	Going to the gym every week has helped my mental health just as much as my physical. Best decision I ever made	{'place_id': '6b745382f2cdbb67'}
1776954001	2020-02-26T23:28:34.000Z	1232809710329397248	almost 0 years ago I went on a date with a woman who then ditched me on it! And then sent me this text and blocked me all across social. 😂 	{'place_id': '1d9a5370a355ab0c'}
67206551	2020-02-26T23:03:06.000Z	1232803305098743813	 GIRL. I was going to text you once it got closer! We have a wedding on Saturday but I’d love to get brunch or something one of the mornings! I want you to meet 	{'place_id': 'c8b021ffd0c94ffc'}
732630870876643328	2020-02-26T23:01:28.000Z	1232802892265988096	Late to the party, but the funniest part of my day was listening to  become Scooby Doo villains	{'place_id': '1d9a5370a355ab0c'}
193182630	2020-02-26T22:59:00.000Z	1232802269357318149	 can you guys put out a forehead  filter so we can take pics and send it to our parents so they think we went to church on  Not for me of course... 	{'place_id': '1d9a5370a355ab0c'}
1776954001	2020-02-26T21:59:19.000Z	1232787251748331520	This brings me back to an insane story that I have up on my blog of how I met Bondax and Karma Kid after their chop shop show & brought them to a party I was going to. Read it here  	{'place_id': '1d9a5370a355ab0c'}
71057620	2020-02-26T20:22:28.000Z	1232762877246873608	A wedding ring, the fidget spinner before fidget spinners were a thing.	{'place_id': '1d9a5370a355ab0c'}
248003899	2020-02-26T19:00:23.000Z	1232742220215832576	Ever since I started going back to church I’ve been so happy. Was in a dark place but I’m just so over joyed and blessed beyond measured.	{'place_id': '1d9a5370a355ab0c'}
434717685	2020-02-26T18:46:30.000Z	1232738726343794689	One year ago today, we packed up our bags and left sunny Los Angeles and moved to Chicago. Since then, we bought a house, adopted a second corgi (CARTMAN!), and found a wedding venue here. But in all honesty, I just can’t believe we survived an entire year in Chiberia! 🥶 	{'place_id': '1d9a5370a355ab0c'}
2400050113	2020-02-26T18:37:04.000Z	1232736352103522307	Pulling in to the gym parking lot, deciding against it, and driving away. This gives me a bigger rush of endorphins than any runners high ever could.	{'place_id': '1d9a5370a355ab0c'}
945871020	2020-02-26T17:31:28.000Z	1232719846737006592	 nailing that boho bride gorgeousness. We have the coolest couples!... _aliceflowers_  ranjanakhan ...     … 	{'place_id': '9a02ce6ca066fcdc', 'coordinates': {'type': 'Point', 'coordinates': [-87.8371521, 41.6566538]}}
374775423	2020-02-26T17:13:49.000Z	1232715402041491456	" ""don't eat too many roti (Indian flatbread), you're getting fat so go to the gym"" lolol"	{'place_id': '1d9a5370a355ab0c'}
305373413	2020-02-26T17:10:43.000Z	1232714624379817987	I wonder if I can go to the movies after my massage 🧐	{'place_id': '1d9a5370a355ab0c'}
41617888	2020-02-26T16:18:30.000Z	1232701481893142528	I’m getting addicted to the gym again	{'place_id': '1d9a5370a355ab0c'}
15067827	2020-02-26T14:02:57.000Z	1232667371879444480	A wedding Emcee’s worst nightmare. “Dick Pound” 👋🏻 hi I’m 0 	{'place_id': '1d9a5370a355ab0c'}
27514420	2020-02-26T12:52:07.000Z	1232649545898745856	maybe i’ll just stay up and go to the gym earlier than I wanted to 	{'place_id': '1d9a5370a355ab0c'}
1022778656140263424	2020-02-26T07:24:03.000Z	1232566982362456066	Said she wanna eat sushi, gave her enough to go shopping! 🖤 @ Classick Studios 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.70135, 41.8959199]}}
3058111143	2020-02-26T05:56:01.000Z	1232544828786958336	 What if it's my wedding....	{'place_id': '1d9a5370a355ab0c'}
392503645	2020-02-26T05:42:45.000Z	1232541492431982593	 your roommates: headed to the gym! us: hungover on the couch eating bagels	{'place_id': '1d9a5370a355ab0c'}
3090454826	2020-02-26T05:29:42.000Z	1232538205796339712	Man I’m seeing everyone working out and it has me lowkey considering going to the gym	{'place_id': '1d9a5370a355ab0c'}
4831802825	2020-02-26T05:03:07.000Z	1232531515550117888	She just asked me out on a date.. shorty got balls😭🥵😍	{'place_id': '1d9a5370a355ab0c'}
2996211384	2020-02-26T04:37:13.000Z	1232524998339964928	 Aww thank you 🥰 I hope it goes well for you two. You should take her to the concert next time	{'place_id': '1d9a5370a355ab0c'}
243458845	2020-02-26T03:50:49.000Z	1232513320953012228	 I know you’re very close with her attending her wedding in all... but speaking publicly racist comments on a reality tv show... is never a good look on someone. Happy that her actions have lead to severe consequences.	{'place_id': '1d9a5370a355ab0c'}
940981384994283521	2020-02-26T03:49:12.000Z	1232512914675978240	 That was the processional at our wedding played by the wonderful 	{'place_id': '1d9a5370a355ab0c'}
823006976225394688	2020-02-26T03:45:55.000Z	1232512087798231041	made the mistake of watching some of that debate.an actual shitshow, and I’m sorry why is Gayle King moderating?Joe Biden is fucking awful.none of these people inspire me at this point.going to church tomorrow to pray for this country.	{'place_id': '1d9a5370a355ab0c'}
237480609	2020-02-26T03:45:22.000Z	1232511947960180738	Maybe going to a cafe will make me feel better	{'place_id': '1d9a5370a355ab0c'}
3556573462	2020-02-26T03:18:32.000Z	1232505195390734336	Me to my partner (who is also from MN): “Can we invite Amy Klobuchar over for a drink after she drops out?”Anthony: *deep sigh* “I don’t know.”	{'place_id': '1d9a5370a355ab0c'}
216848235	2020-02-26T03:10:34.000Z	1232503190379286528	Girls in their instagram bio be like “0 ✰ Jeremiah 0:0 ✰ Chicago ✰” but honey you go to church just as often as you come into the city and that’s once a year during Christmas	{'place_id': '1d9a5370a355ab0c'}
14922433	2020-02-26T03:03:55.000Z	1232501517023948806	Update,  got me a  treat! Wedding is still on! 	{'place_id': '1d9a5370a355ab0c'}
917930508	2020-02-26T02:30:06.000Z	1232493010337726464	Game  in our Chicago RPG Meetup's week of shark games. Today we use  END OF THE WORLD system. Donate $0+ to Meetup leader  fundraiser for  and get entered in a drawing for cool prizes including 0 tix to   	{'place_id': '1d9a5370a355ab0c'}
167510425	2020-02-26T01:42:16.000Z	1232480972525862914	Y’all...I just ordered my wedding dress. 	{'place_id': '97d83d40844c1807'}
45671910	2020-02-26T01:32:18.000Z	1232478464604639233	 u r not bringing people to the party for sure.    	{'place_id': '0da8a6c990f02eed'}
128736668	2020-03-01T22:58:05.000Z	1234251591915593728	My new favorite video on the internet is watching  and  crash  ‘s wedding. Everyone’s reaction was priceless. I’ve watched it at least 0 times.	{'place_id': '1d9a5370a355ab0c'}
1021804408479395840	2020-03-01T22:46:24.000Z	1234248650072739845	Family outing to the Planetarium 	{'place_id': '07d9dafb86486001'}
412779125	2020-03-01T21:40:22.000Z	1234232035671236608	getting to the gym and realizing you forgot your wrist wraps at home 😭😭😭	{'place_id': '1d9a5370a355ab0c'}
133105813	2020-03-01T20:54:04.000Z	1234220382548189185	“I cast Hunter’s Mark.”....Thank you to all who made C0E0 such a lovely time! Especially  for putting together the greatest Critter meetup and  for letting me be a fool at the photoshoot.… 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}}
86104643	2020-03-01T20:33:34.000Z	1234215224896622594	Yes, not going to a family wedding in Nice, France, in mid-June. Will revisit other travel plans as time goes on. 	{'place_id': '0a1066f231fd366d'}
1726948620	2020-03-01T20:30:56.000Z	1234214562490200065	Whoever says staying in with your significant other over going to a bar or club is lying	{'place_id': '1d9a5370a355ab0c'}
912359681821200384	2020-03-01T20:03:53.000Z	1234207754895622144	At my wedding reception imma have the big ass wicker chair with the club backdrop.	{'place_id': '1d9a5370a355ab0c'}
471452176	2020-03-01T19:48:12.000Z	1234203806063300610	On my way to a gig. Get to the gig and realize I forgot my whole freakin cello. HOOOOOW?!	{'place_id': '1d9a5370a355ab0c'}
75618314	2020-03-01T19:13:19.000Z	1234195028861472770	"  I have a  tshirt with RC Sproul saying ""What's wrong with you people?"" I'd wear it to church on a casual day."	{'place_id': '1d9a5370a355ab0c'}
597812330	2020-03-01T18:31:04.000Z	1234184395139010560	Get at Me to  your next Party/Event/Wedding/Divorce Dm for Serious INQUIRIES!! Or Hit up felicemia   ✔  @ Chicago, Illinois 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}}
3304662541	2020-03-01T18:27:19.000Z	1234183453203161089	my sister picked her wedding dress im crying 🥺	{'place_id': '4b3758bc32868265'}
339504396	2020-03-01T18:13:19.000Z	1234179928289140736	Pray to god yu go to church  ⛪️ to find a better way, Pastor steady passing collection plates They selling Faith 🥴	{'place_id': '1d9a5370a355ab0c'}
597812330	2020-03-01T18:04:37.000Z	1234177738296242176	Dm Me For Serious INQUIRIES I'm Open for A Few Dates!!   Get At me for Your Next Party/Event/Wedding/Divorce   ✔ @ Chicago, Illinois 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}}
912359681821200384	2020-03-01T17:51:26.000Z	1234174420861755393	Ready to go home so I can go to the gym	{'place_id': '1d9a5370a355ab0c'}
758479837090705408	2020-03-01T17:34:14.000Z	1234170092235165696	no questions asked. baby i’m taking off work too. we are going to the spa, arcade, lunch, and playground 	{'place_id': '1d9a5370a355ab0c'}
818567847672692738	2020-03-01T17:22:55.000Z	1234167243929456641	Happy March 0st 🍀 Starting today we are closed Sunday-Tuesday unless we have a party reservation booked. We will however open on St Patty’s Day so please join us as we start our week early with great drinks and fun!… 	{'place_id': 'cdf74b55fc0d4600', 'coordinates': {'type': 'Point', 'coordinates': [-87.98473282, 42.08259888]}}
81265134	2020-03-01T16:17:08.000Z	1234150690538258435	My intentions were to go to church this morning ..epic fail 😫	{'place_id': '1d9a5370a355ab0c'}
45694150	2020-03-01T16:05:47.000Z	1234147832707203074	  I wad thinking that as well my peak conditioning was when we played quidditch! I don't have a wedding coming up anytime soon, but I'm down to scrimmage at iusb and avoid geese crap lol.	{'place_id': '1d9a5370a355ab0c'}
36475106	2020-03-01T15:55:27.000Z	1234145234973491203	 Hey! I go to the gym for community building. I know everyone at my gym, which gives me life and all the abrazos.	{'place_id': '1d9a5370a355ab0c'}
240691817	2020-03-01T15:23:54.000Z	1234137292022992897	Headed to church I got my offering ready	{'place_id': '99700cd6fc455c13'}
906428404844650496	2020-03-01T15:10:07.000Z	1234133823052447750	Bus to church! (@ CTA Bus Stop  in Chicago, IL) 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.688345, 41.961363]}}
906428404844650496	2020-03-01T14:19:55.000Z	1234121190685454338	Here for my morning breakfast, before going to church! (@ Jeri's Grill in Chicago, IL) 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.68853162, 41.9612259]}}
34751205	2020-03-01T14:07:28.000Z	1234118059050315777	I had a dream where  was with my @ my old church for my brothers HS basketball tournament & there was free booze there but they were also shooting an episode of  &  came & sat next to me & didn’t believe me when I said I used to go to church	{'place_id': '1d9a5370a355ab0c'}
3950721389	2020-03-01T13:56:30.000Z	1234115297013096448	I wish I could bring Milo to church with me😭😂	{'place_id': '1d9a5370a355ab0c'}
48115899	2020-03-01T11:34:29.000Z	1234079556857946119	 Maybe I'm late to the party 😂	{'place_id': '1d9a5370a355ab0c'}
