2021-12-20T21:55:14.000Z	1473049379590352897	I thought I was ready to go back to the gym. My body is not ready.	{'place_id': '5cba3a162965b0e2'}
2021-12-21T03:33:14.000Z	1473134439265968128	I truly just want to go to the gym at the moment and work out some pent up energy.	{'place_id': '1d9a5370a355ab0c'}
2021-12-21T03:29:32.000Z	1473133509946617857	  hey Taj congratulations on your new baby with Tykisha...do I hear wedding bells next?	{'place_id': '1d9a5370a355ab0c'}
2021-12-21T02:45:14.000Z	1473122360572227585	  You still have a choice, dude. Do the bare minimum required to show that you care about others and their safety, and you can go to the concert. Don’t and you can stay home and be a troll on Twitter.	{'place_id': '1d9a5370a355ab0c'}
2021-12-21T00:05:43.000Z	1473082217383481353	It’s normal to have a snack and a bit of wine before going to the gym, right?	{'place_id': '1d9a5370a355ab0c'}
2021-12-20T21:34:16.000Z	1473044101746638853	 No public transport to the stadium in a city with good public teams compared to most. Concourse is narrow as hell, food is very bad even in club level. I can’t wait for them to move to the suburbs where all the season tickets live anyway.	{'place_id': '1d9a5370a355ab0c'}
2021-12-20T15:57:24.000Z	1472959329061986307	The singularity. PS. I still read MTG as Magic The Gathering 	{'place_id': '1d9a5370a355ab0c'}
2021-12-20T01:06:59.000Z	1472735247301234691	Running on Instagram Live gathering thousands of followers to watch you verbally and viciously annihilate your opponent as you “clarify” your side of the story, seems very childish at this point.	{'place_id': '1d9a5370a355ab0c'}
2021-12-21T20:32:59.000Z	1473391066246172683	 It looks like a gathering place for racists; it may not be, but some places just give off that vibe, to me.	{'place_id': '1d9a5370a355ab0c'}
2021-12-21T18:52:00.000Z	1473365655579676676	does post malone even play fucking magic the gathering? come on, man.. we don’t want that.	{'place_id': '1d9a5370a355ab0c'}
2021-12-23T16:30:00.000Z	1474054694125412360	There is nothing better than gathering around a table with your loved ones during the holidays! @ Brassell Design Consultants, LLC 	{'coordinates': {'type': 'Point', 'coordinates': [-87.62864, 41.88951]}, 'place_id': '1d9a5370a355ab0c'}
2021-12-23T00:26:11.000Z	1473812143258718222	Thank you   and  for a wonderful  gathering @ Soul City Church 	{'coordinates': {'type': 'Point', 'coordinates': [-87.65676051, 41.8792752]}, 'place_id': '1d9a5370a355ab0c'}
2021-12-24T22:04:43.000Z	1474501315988541442	My personal rule at family gathering is to just walk away when anyone started to talk about covid and I’ve just been roaming around in a circle for more than an hour	{'place_id': '7ca9cc3e813b1534'}
2021-12-24T19:40:40.000Z	1474465065063661573	 I have a couple of friends who were feeling just fine, and then took a test because they needed to for a family gathering or something and presto! Covid positive.	{'place_id': '3009292baa8dda23'}
2021-12-24T19:33:44.000Z	1474463322300899333	Slight change of plans for Sunday. We are still gathering for worship, but we’ll relocate back to the sanctuary. Sadly no ☕️ or 🍩, but we will have a Merry Christmas nonetheless! Remember: we gather earlier this Sunday, at 0:0 AM! 	{'place_id': '1d9a5370a355ab0c'}
2021-12-25T01:52:37.000Z	1474558669819949058	We couldn’t be together because of covid but we had our little 0 min gathering 😢 till next week for New Years @ Jefferson Park 	{'coordinates': {'type': 'Point', 'coordinates': [-87.770813, 41.977895]}, 'place_id': '1d9a5370a355ab0c'}
