3128358304	2020-09-01T22:32:10.000Z	1300924438037360642	Who tf goes to a bar on a Tuesday at 0:0 to get black out drunk???? 🤭🙋🏼‍♀️	{'place_id': '6b745382f2cdbb67'}
1213856501124567040	2020-09-03T23:10:28.000Z	1301658850010058757	Ready to go to the gym	{'place_id': '5cba3a162965b0e2'}
132352072	2020-09-03T19:49:29.000Z	1301608272248672257	Had a productive day so far ..... went to the gym & did some shopping for the crib .... currently feeding my belly 	{'place_id': '1d9a5370a355ab0c'}
4917934037	2020-09-03T17:23:31.000Z	1301571539649859584	I had a dream I was getting married. I honestly can’t wait to have a wedding with him 💖	{'place_id': 'f73e32e0ec3fcc45'}
2200452385	2020-09-03T16:37:18.000Z	1301559906609307649	 Get Hard...Talladega Nights... People also forget that he was in Wedding Crashers	{'place_id': '1d9a5370a355ab0c'}
731303743451484160	2020-09-03T15:56:46.000Z	1301549705235705858	 I feel inspired. May take the long route to the gym today 😊	{'place_id': '1d9a5370a355ab0c'}
742807151400390657	2020-09-03T15:53:47.000Z	1301548955709452288	i had a dream some little boys was trying rob my house and pulled they gun out on me i talked him into putting the gun down i took it from him and how he go to church every sunday	{'place_id': '1d9a5370a355ab0c'}
2926397153	2020-09-03T14:35:14.000Z	1301529187413618693	 Me too, best friend dragged me to the movies. One of the best films I’ve ever seen.	{'place_id': '1d9a5370a355ab0c'}
2828256548	2020-09-03T14:20:07.000Z	1301525384178151425	Good morning. Up and out to the gym at 0AM. Grind mentality. The Andy Greene mentality, if you will. I love that guy	{'place_id': 'a3c3c2f3573eacf7'}
34012855	2020-09-03T14:12:28.000Z	1301523460808757248	I want to go shopping 😩	{'place_id': 'bcc6dcc930424146'}
1146555642	2020-09-03T14:09:58.000Z	1301522829742137346	 Ooooooooh maybe thats it. My appointment still isnt til the wedding so... 😬😬	{'place_id': '28b3b040d7b2ace7'}
486428420	2020-09-03T12:31:15.000Z	1301497985361235968	 I couldn’t take it anymore ... I still have not been to a club though	{'place_id': '1d9a5370a355ab0c'}
132352072	2020-09-03T11:34:01.000Z	1301483582482010113	Imma go to the gym early today , like 0ish , so I can go grocery shopping & then back home to fully enjoy my last off day .... ain’t tryna be out all day	{'place_id': '1d9a5370a355ab0c'}
63604982	2020-09-03T11:29:19.000Z	1301482399856046082	Yesterday I was suppose to treat myself but ended up getting to the mall late and was only able to hit one store..	{'place_id': '2180fafeb49b5684'}
1013987281	2020-09-03T06:42:08.000Z	1301410128802066433	every time i hear the song i picked for the first dance at my wedding i wanna explode!!!! next year can not come soon enough	{'place_id': 'eb7b63633846877b'}
257351607	2020-09-03T04:30:24.000Z	1301376977367183362	Who forgets their cousins wedding....me bitch that’s who 🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴 but we in that mf on Saturday jo!	{'place_id': '1d9a5370a355ab0c'}
21164472	2020-09-03T01:26:37.000Z	1301330726151913472	I’ve been to the movies almost every day this week... I’m getting that urge to film again	{'place_id': '1d9a5370a355ab0c'}
712105394	2020-09-03T01:19:07.000Z	1301328840023855104	Like your lil ass can’t hold 0 babies? At least in a stroller? Nah fuck that you don’t deserve to be parents. Cause another thing I don’t get from these dumbass generation of parents is why bring babies to a bar? A cocktail lounge for instance	{'place_id': '1d9a5370a355ab0c'}
27104864	2020-09-03T01:01:43.000Z	1301324462277767168	Switching to the Arcade controls for Diva has been a big adjustment, I'm still learning the technique and have to catch up with my skill level on controller (which is right between 0.0 and 0, arcade is about an 0 for the moment). I've been making rapid progress though! =D 	{'place_id': '1d9a5370a355ab0c'}
269110631	2020-09-03T00:43:13.000Z	1301319806369529857	Stepping in the right direction!We love this pictures taken by rudyvalentinophotography iweddings on the staircase of the bridal suite at     … 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.70789, 41.92514]}}
18682979	2020-09-03T00:22:50.000Z	1301314674290577409	 Brett does all this talking about saving but the real gag is, if it wasn’t for the show it doesn’t seem like he would’ve been able to afford a wedding, wife and certainly not children.	{'place_id': '1d9a5370a355ab0c'}
381549942	2020-09-04T23:17:28.000Z	1302022999537848320	   I wish Luke could do the makeup for Tinsley's wedding.	{'place_id': '97d83d40844c1807'}
66762147	2020-09-04T20:13:33.000Z	1301976717939093504	Idk why but Everytime I go to the mall I gotta get some for my momma	{'place_id': '1d9a5370a355ab0c'}
251685461	2020-09-04T20:03:13.000Z	1301974115839021057	I can’t remember if today would have been my parents 0th or 0th wedding anniversary...but then I realized it doesn’t matter. These two high school sweetheart’s love goes beyond years in life, it’s a forever kind… 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}}
1174782833791053827	2020-09-04T20:03:03.000Z	1301974073938006016	I love wedding invitations, they’re so cute 😍	{'place_id': '1d9a5370a355ab0c'}
2553481375	2020-09-04T19:14:02.000Z	1301961740356214784	Need ideas for the perfect Wedding Dance? You want to dance your favorite song on that's special day & need a routine? No dance experience and want to be able to dance socially on weddings? We can help with all… 	{'place_id': '0e0b9a037618a313', 'coordinates': {'type': 'Point', 'coordinates': [-87.91555, 41.75036]}}
238809461	2020-09-04T18:34:51.000Z	1301951877509242881	Idk why I always feel the need to smoke before going to the gym	{'place_id': '1d9a5370a355ab0c'}
269110631	2020-09-04T17:50:21.000Z	1301940678142971904	Creating magic at  with Phillip Brown from juliettanfloraldesign Stop by this weekend from 0am to 0pm and see the      … 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.70789, 41.92514]}}
4444065794	2020-09-04T16:25:36.000Z	1301919351403151360	Who wanna take me to get a haircut.	{'place_id': '1d9a5370a355ab0c'}
116830744	2020-09-04T16:08:26.000Z	1301915032465412097	My gramma had a pair of earrings waiting on the counter for me today and she said they were for the wedding I’m in next weekend and I said wow how did you think of that and she said I’m always thinking about you 🥺😭	{'place_id': '1d9a5370a355ab0c'}
243906038	2020-09-04T15:52:41.000Z	1301911069024292865	I’m a little late to the party but can’t want to hear more from  going forward.🤙 	{'place_id': '918c943e88cc3e5d'}
339154395	2020-09-04T15:48:27.000Z	1301910001292775424	How gorgeous is our bride Annie? We took lace from her mom’s wedding dress to make this beautiful veil. What a statement! ❤️❤️❤️ @ Chicago metropolitan area 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.6461792, 41.90023277]}}
68063747	2020-09-04T15:45:28.000Z	1301909252659912712	Me being upset about not being able to have the wedding I dreamt about my whole life right now Also me to me: 	{'place_id': '1d9a5370a355ab0c'}
26489168	2020-09-04T12:40:33.000Z	1301862714629816320	Was nervous at an outdoor socially distanced get-together (one of the few I’ve been to).But as the conversation turned to comedy, someone casually asked “Oh, is PFT in that?” Instantly I knew I was with people that could be trusted and could trust me. ‘Cc 	{'place_id': '1d9a5370a355ab0c'}
47653371	2020-09-04T11:56:49.000Z	1301851710806257664	 The row above me is blocked off and it’s really socially distanced from anybody else. A theater that can hold 0 to 0 is having only 0 people. It’s likely safer than when I go to the gym on weekend mornings	{'place_id': '4c46121d44b7ce9e'}
549679303	2020-09-04T11:12:57.000Z	1301840670122967043	Comes a Little tardy to the party	{'place_id': '24d27a430ae5569f'}
85044813	2020-09-04T10:28:21.000Z	1301829445322448903	 On way to the gig currently listening to this 	{'place_id': '67914dd141612c74'}
2437352346	2020-09-04T06:26:38.000Z	1301768618334707712	I want a BIG WEDDING A FIRE RECEPTION & A HUGE HONEYMOON🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🚨🚨 	{'place_id': '1d9a5370a355ab0c'}
473291314	2020-09-04T04:46:25.000Z	1301743396604829696	You know how I know Robert De Niro is a great actor? I’m watching this terrible ensemble movie called The Big Wedding and it’s fucking terrible. But damn is he giving his all. He’s a legend. 🎥 	{'place_id': '1d9a5370a355ab0c'}
263457439	2020-09-04T04:44:07.000Z	1301742816473747456	When was the last time you been to a wedding.	{'place_id': '1d9a5370a355ab0c'}
116830744	2020-09-04T04:11:42.000Z	1301734658011475969	“Cutler spotted on a date with Tomi Lahren” 🤮🤮🤮🤮 my reaction 	{'place_id': '1d9a5370a355ab0c'}
1174782833791053827	2020-09-04T02:50:03.000Z	1301714113207439364	Omg I have a wedding to go to on Saturday 🥺❤️ I love weddings	{'place_id': '1d9a5370a355ab0c'}
1134554023057641473	2020-09-04T00:30:14.000Z	1301678927157616641	When you were planning to go out for a drink but after your 0th night working in a row you just feel like bedbound...   🤣✅	{'place_id': '1d9a5370a355ab0c'}
327736079	2020-09-04T00:26:04.000Z	1301677875310080001	Everyday that I make it to the gym is a day where my vanity overcame my laziness.	{'place_id': '1d9a5370a355ab0c'}
1478262366	2020-09-04T00:10:11.000Z	1301673878406787073	I had the pleasure of capturing the most intimate wedding this past weekend! My very first wedding ever crashed by a rabbit! LOL Congratulations to Mr. & Mrs. Nixon!!!   … 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}}
33719221	2020-09-05T21:53:31.000Z	1302364260190879751	Went on a date with this man the other say and he said “you wanna get fucking hammered on our next date?” 	{'place_id': '1d9a5370a355ab0c'}
404565080	2020-09-05T21:51:56.000Z	1302363865112604673	FAXXX. I abused the absolute shit out of movie pass. If I was bored, I'd just go to the movies. I saw like 0 ish movies the year I had movie pass 	{'place_id': '1d9a5370a355ab0c'}
146657823	2020-09-05T21:44:06.000Z	1302361892296548354	Took my babies to the museum! 	{'place_id': '07d9d21334c88005'}
2915244595	2020-09-05T21:18:27.000Z	1302355438265143310	💡Diversity is inviting me to the party. Inclusion is inviting me to dance.	{'place_id': '1d9a5370a355ab0c'}
442866287	2020-09-05T20:55:15.000Z	1302349599634530306	We showing up to my wedding in Akatsuki cloaks. Fuck a suit and tie 	{'place_id': '1d9a5370a355ab0c'}
3158667679	2020-09-05T19:00:32.000Z	1302320731452252161	Coming to the mall is So fucking dangerous... and I’m not talking about the stores 🤪😉	{'place_id': '98a64980f963518d'}
4774045243	2020-09-05T18:54:02.000Z	1302319095665303552	FAMILY-SIZE ENTREES AND SIDES FOR YOUR get-together this Labor Day weekend.Homemade Proteins: tofu kebab, sprouted lentil chorizo, superfood hemp patties, cannellini bean sausage, coconut fajitas and… 	{'coordinates': {'type': 'Point', 'coordinates': [-87.8311, 42.1296]}, 'place_id': 'ecbe21c16e88f161'}
47148820	2020-09-05T18:08:17.000Z	1302307580136521728	Today a perfect ass day to bbq	{'place_id': '1d9a5370a355ab0c'}
188190529	2020-09-05T18:06:36.000Z	1302307156990078984	my family is pissed at me for skipping my cousins wedding. but he’s a loser cop that worked for ICE, so absolutely fuck him.the asian community is so damn disappointing sometimes.	{'place_id': '1d9a5370a355ab0c'}
1394938777	2020-09-05T16:22:36.000Z	1302280986261159937	The construction signage will be a nice added touch for people’s wedding photos. 	{'place_id': '107a9a8603975000'}
721354752	2020-09-05T16:14:09.000Z	1302278856087404545	Finally went back to the gym and man I lost all the gains I ain’t really had . . 	{'place_id': '1d9a5370a355ab0c'}
302434120	2020-09-05T16:01:39.000Z	1302275710183264263	I loveee when papa ask if I wanna go to the mall because of course I wanna go to the mall 🤣😭💙	{'place_id': '1d9a5370a355ab0c'}
7998632	2020-09-05T14:34:09.000Z	1302253691144212487	One time my friend Gabe did legitimately wake up half drunk on our floor on a Sunday morning and tell us he had to go to church. But that was just the one time	{'place_id': '1d9a5370a355ab0c'}
543355769	2020-09-05T14:13:34.000Z	1302248512533467140	My parents and my best friend's parents were close to my age at my wedding.	{'place_id': '1d9a5370a355ab0c'}
339154395	2020-09-05T13:51:50.000Z	1302243042187866114	Good Morning Beautiful! 🌞 What a beautiful day we have today. Perfect day to go wedding dress shopping. 🛍 To try this stunning sheath dress or others, call us at 0-0-0 to schedule your appointment. 🌸 @ Veiled… 	{'coordinates': {'type': 'Point', 'coordinates': [-88.06774, 41.87668]}, 'place_id': 'd77ed7c9521c898d'}
74191033	2020-09-05T13:38:48.000Z	1302239762590433281	0 funerals and a Wedding isn’t a fun Rom-Com. 	{'place_id': '1d9a5370a355ab0c'}
36475665	2020-09-05T04:28:03.000Z	1302101163362398209	 Thanks for coming to the party again! I always look forward to your tweets!	{'place_id': '1d9a5370a355ab0c'}
309463171	2020-09-05T04:19:58.000Z	1302099129397637121	 Wife was drunk, got up, went outside for smoke, tripped, fellBloodyFound her few mins later, called 0EMTs took her to hospitalAfter few days got transferred to nursing facilityI was visiting she took off wedding ring & gave to meDied next morning, I did CPR, didn't help	{'place_id': 'd73cbce54317ffaa'}
353929734	2020-09-05T02:22:23.000Z	1302069535424548864	All I’m trying to do rn is take myself on a date to watch Mulan and the damn Firestick is acting like it’s not Friday	{'place_id': '1d9a5370a355ab0c'}
