119512960	2020-05-18T23:59:23.000Z	1262533271155507200	And niggas be going out they way to date/marry white people LMAOOOOO 	{'place_id': '003cc2276dfcaca4'}
130930020	2020-05-18T10:12:09.000Z	1262325091792228353	so i may or may not have submitted a request to go back to school.	{'place_id': '1d9a5370a355ab0c'}
1592528023	2020-05-18T10:02:46.000Z	1262322731854553093	I can’t believe I went to school there. 	{'place_id': '1d9a5370a355ab0c'}
68320560	2020-05-18T07:05:33.000Z	1262278131903332353	Due to all the rain my backyard has become a lake and I’ve had to walk the dogs cause I be damned if they go out there and get all muddy and come in my house but the kicker.........my basement flooded 	{'place_id': '1d9a5370a355ab0c'}
1394938777	2020-05-18T06:56:21.000Z	1262275818262278145	Should I pay them to go to work for me also? Or to the doctor? 	{'place_id': '1d9a5370a355ab0c'}
755574265525788672	2020-05-18T05:07:17.000Z	1262248368262254593	Ngl if we don’t go back to school in August imma cry😭real life tears g😭😭	{'place_id': '1d9a5370a355ab0c'}
37334357	2020-05-18T04:36:29.000Z	1262240616882360320	Everytime my mom ask me when we go out to the store do we need toilet paper? 🧻 😏 Like always I smirk to her since January....-    ıd0 … 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}}
1896079111	2020-05-18T03:10:24.000Z	1262218954161958918	I wanna go back to school I’m bored	{'place_id': '08695e38fe9e7edf'}
20290584	2020-05-18T02:55:57.000Z	1262215320279941125	You can’t go out any better than Mike went out though	{'place_id': 'e363b61fbd793d7d'}
410453267	2020-05-18T02:53:48.000Z	1262214776677117954	why do people go out of their way to be mean to people on the internet	{'place_id': '1d9a5370a355ab0c'}
14551761	2020-05-18T02:43:01.000Z	1262212062459113474	 Holy carp! I have to go out there in the morning!!	{'place_id': '1d9a5370a355ab0c'}
872828706	2020-05-18T02:07:52.000Z	1262203216529326080	All this rain in Chicago is one way to keep people inside the house and not go out and be stupid	{'place_id': '1d9a5370a355ab0c'}
15104103	2020-05-18T02:02:19.000Z	1262201821923328002	 You aren’t kidding...and I’m due to go to work in 0 0/0 to 0 hours. My main route to/from is closed (Grand at Des Plaines River Road in River Grove)	{'place_id': '1d9a5370a355ab0c'}
26708318	2020-05-18T02:00:15.000Z	1262201301905158145	Dennis Rodman stayed going to work wit pajamas on	{'place_id': '1d9a5370a355ab0c'}
24738810	2020-05-18T02:00:03.000Z	1262201249191075840	Logan: *Rings his bell to go outside every 0 minutes*Dad: “Logan, let’s go out for last call!” (It’s raining.)Logan: 	{'place_id': '1d9a5370a355ab0c'}
325955841	2020-05-18T00:22:28.000Z	1262176693722271748	Been raining here in Chicago and my cable keeps going out. Waiting for Taylor tomorrow on Hulu since I have it on my phone. And it won't get interrupted.    	{'place_id': '1d9a5370a355ab0c'}
82778511	2020-05-18T00:18:12.000Z	1262175621632995329	"""Our parties are not things you join and support with dues. The real structure of the parties are basically shifting coalitions of candidate organizations. They’re little businesses. They go out to the rich people and say 'invest in us.'"" —  "	{'place_id': '1d9a5370a355ab0c'}
15771971	2020-05-19T22:37:32.000Z	1262875062190977026	First email blast of promos going out in 0...0....0....check your emails for my next release out on May 0nd 	{'place_id': '1d9a5370a355ab0c'}
130930020	2020-05-19T21:11:34.000Z	1262853428360945668	so, my school emailed me today... i took care of the holds on the account, and should be able to register for classes in a day or so! i’m SHOOK. i just said two days ago i was going to go back to school, and wasted no time doing so. 😭🎓	{'place_id': '1d9a5370a355ab0c'}
756903193901162496	2020-05-19T20:01:01.000Z	1262835671179264000	  If you go out,  where a mask.	{'place_id': '1d9a5370a355ab0c'}
758057371	2020-05-19T19:40:32.000Z	1262830517097029636	Working and Going to School Full-Time: Too Easy 😏🥳Ya boy is a straight A+ student! 💁🏾‍♂️📚 Senior year has arrived. 🕺🏾🎓 	{'place_id': '1d9a5370a355ab0c'}
46506853	2020-05-19T19:22:58.000Z	1262826096527134726	It's  and I'm really wishing I could go out for a rip in  . 😟 Waiting patiently for the wheels to get back from being refinished.      … 	{'coordinates': {'type': 'Point', 'coordinates': [-87.6886, 42.0469]}, 'place_id': '8b351eeb91372dc7'}
963528228433514498	2020-05-19T19:12:17.000Z	1262823407466446855	For all my admitted seniors getting ready for the fall, if you are in search for some back to school tech search here first!  	{'place_id': '1d9a5370a355ab0c'}
756903193901162496	2020-05-19T18:44:56.000Z	1262816525636911104	My buddy had the  A Team van as a kid as his pops went to school with Mr T. 	{'place_id': '1d9a5370a355ab0c'}
140591110	2020-05-19T18:03:07.000Z	1262806003000782850	Niggas from my generation and below are bitches. It’s sad to see a lot of men go out the way they are going out.	{'place_id': '1d9a5370a355ab0c'}
617623252	2020-05-19T17:50:40.000Z	1262802868622561282	Lotus Flower Bomb will never get old or go out of style. simple facts don’t even @ me	{'place_id': '88bddb0e2768943d'}
875049000315101184	2020-05-19T16:50:01.000Z	1262787606032646146	I appreciate what my dad does as a living but I hate going to work with him, mainly because he's like a fuse, ready to go off at anything small or annoying that passes him off	{'place_id': '1d9a5370a355ab0c'}
21058650	2020-05-19T15:36:36.000Z	1262769130924630016	My best friend and I went to school after like three hours of sleep after we saw this at midnight. It was my first midnight show, back when they were actually at midnight. A truly great day. 	{'place_id': '1d9a5370a355ab0c'}
136398904	2020-05-19T15:06:37.000Z	1262761585594052608	Lift that gut and go to work 	{'place_id': '1d9a5370a355ab0c'}
515810686	2020-05-19T14:21:53.000Z	1262750328870432770	Where I’m from, going to college isn’t the norm	{'place_id': '1d9a5370a355ab0c'}
2944280599	2020-05-19T14:20:43.000Z	1262750032651931649	     No hate on this side. I think people should know when not to comment on certain things. It was clearly a joke and he took it to another level! people of color are literally being harassed and killed for leaving their homes and white people still going out with no consequences.	{'place_id': '1d9a5370a355ab0c'}
281163837	2020-05-19T14:14:46.000Z	1262748537340583936	This one hurts. I loved  Massively underrated restaurant. A go to work lunch spot  	{'place_id': '1d9a5370a355ab0c'}
15490108	2020-05-19T08:03:55.000Z	1262655208246718465	With 0 inches of rain in 0 days, Chicago on pace for wettest May on recordIt's hard to convince Beaufort to go out and do his evening Thang. 	{'place_id': '1d9a5370a355ab0c'}
360210603	2020-05-19T01:46:27.000Z	1262560216840843264	  I miss standing at my doorway & greeting students in the morning (“welcome to school!” ☺️) and chatting with Cohill in the hall during passing periods!!	{'place_id': '1d9a5370a355ab0c'}
931186998362169345	2020-05-19T01:44:39.000Z	1262559761985409024	 If I had to go out that’s how I would go out with my son receiving in the dugout 😩	{'place_id': '1d9a5370a355ab0c'}
438968455	2020-05-21T23:49:14.000Z	1263617882585550850	I order Dunkin’ through the app before I go to work. Today my sister went and didn’t order through the app and they thought it was me and asked why I didn’t order through the app and I’m fuckin dead bc I’m def a regular at Dunkin’ now for them to say them hahahaha	{'place_id': 'ed888f00de07aa3a'}
790886306	2020-05-21T23:01:43.000Z	1263605925593694209	When Future drops or tweets idk who’s more annoying the bitches that get offended or the simps that go out of their way to agree with the bitches that got offended	{'place_id': '1d9a5370a355ab0c'}
749979180452970496	2020-05-21T22:43:58.000Z	1263601458177507335	Keef really said I call my choppa Ye cuz he half went to college 😭this man the goat 😭💯	{'place_id': '1d9a5370a355ab0c'}
4866870628	2020-05-21T22:10:54.000Z	1263593135298342913	future always going out sad 😭😭😭😭😭😭😭😭 that’s y’all king tho	{'place_id': '1d9a5370a355ab0c'}
434266760	2020-05-21T21:36:47.000Z	1263584551307104256	I’ve been home for two weeks and I’m ready to go back to school ASAP!	{'place_id': '1d9a5370a355ab0c'}
27318823	2020-05-22T23:54:51.000Z	1263981684833357824	Chris brown and young thug mixtape just makes me wanna go out so ima cut this shit off	{'place_id': '1d9a5370a355ab0c'}
39313993	2020-05-22T21:37:12.000Z	1263947042356973571	     I hear you, Cayne. :-/ Back to school right now is still so unknown, but something like this can definitely be helpful!	{'place_id': '1d9a5370a355ab0c'}
1711401102	2020-05-22T20:30:55.000Z	1263930360125173761	This weekend is about the soldiers that died for us and this country.  My kids are sending cards to the soldiers who fought for our freedoms...the right to go to school, have a favorite color and letting mommies go to work. ❤️ 	{'place_id': '1aa7803ca6707875'}
972544718637682690	2020-05-22T19:02:51.000Z	1263908200732151808	Who want some throat westside before I go to work  let's smoke 	{'place_id': '1d9a5370a355ab0c'}
186722916	2020-05-22T18:49:03.000Z	1263904725692567555	Debating if i wanna go out this weekend or not	{'place_id': '1d9a5370a355ab0c'}
524524080	2020-05-22T18:31:18.000Z	1263900259127750656	Dr. Robert R. RedfieldWearing a cloth face covering CORRECTLY can help prevent the spread of  to others. When you go out on essential trips, follow these “do’s”. If you have a child, remember… 	{'coordinates': {'type': 'Point', 'coordinates': [-87.4804, 41.5957]}, 'place_id': '99700cd6fc455c13'}
27887376	2020-05-22T16:53:48.000Z	1263875721317027840	 I wonder this every time I talk to a restaurant that's going out of business because they say they couldn't strike any deal with their landlord.	{'place_id': '1d9a5370a355ab0c'}
17729588	2020-05-22T16:14:33.000Z	1263865846218268679	 Like he is acting like Hillary acting like he has it in the bag and black voters and going to go out en masse to vote for him while offering absolutely nothing to those voters except being not Trump.	{'place_id': '1d9a5370a355ab0c'}
25201233	2020-05-22T15:31:36.000Z	1263855034506371072	GUILTY , I miss going to school. I miss interacting with my professors and creating friendships with my classmates..... I’m THAT lame. 	{'place_id': '1d9a5370a355ab0c'}
20548213	2020-05-22T15:15:30.000Z	1263850983093940225	 Omg yes. It's like they are going out of their way to do the most right now. I have now removed all pillows and boxes from their reach.	{'place_id': '1d9a5370a355ab0c'}
1090333398898483200	2020-05-22T15:08:44.000Z	1263849281053757441	i don’t think it’s a coincidence that the anti-vaxxers i went to school with are the same people that see wearing a mask as a human right violation it’s natural selection at this point 😌	{'place_id': '92e012db736d72c5'}
64530237	2020-05-22T14:55:14.000Z	1263845885231972352	I think it's going to get worse or will be worse and I am seeing people I know going out to eat, too the beach etc and I wonder if they will be next.	{'place_id': 'c5be6cc8c8fd4263'}
51006787	2020-05-22T14:09:30.000Z	1263834375273185280	   Seems like having a horde of city dwellers go out to the burbs to eat and drink will be an excellent way to spread the virus all over the region	{'place_id': '1d9a5370a355ab0c'}
2926397153	2020-05-22T13:13:56.000Z	1263820392201936898	 Naw that ain't going to work	{'place_id': '1d9a5370a355ab0c'}
265090480	2020-05-22T13:01:50.000Z	1263817346281545730	   I have to go to work 🥴	{'place_id': '4f798ddf05f97f68'}
627154403	2020-05-22T12:31:02.000Z	1263809595941752838	Apparently I work too much. Lol. Well guess what. I'm a single mom with a toddler, going to school full time and working fulltime. Can't back me up? Get off the train. Lol	{'place_id': 'eb7b63633846877b'}
59361787	2020-05-22T06:22:39.000Z	1263716886103154689	 i’m honestly pretty great for the first time in a long time! lucky enough to be healthy, and have a job i enjoy. going out of my comfort zone and making art i’ve always been too intimidated to make.stay safe and stay present, my friend. you’re wonderful!	{'place_id': '1d9a5370a355ab0c'}
157369157	2020-05-22T05:17:19.000Z	1263700445219950593	We can associate the chorus to the Pandemic that is happening in the world right now by not going out to drink, to sober up. “Id rather be dry but atleast Im alive”        	{'place_id': '1d9a5370a355ab0c'}
3106482077	2020-05-22T04:33:23.000Z	1263689390343311362	Go Stream this damm near everybody I went to school wit should be listening made it for us   All other Platforms.. 	{'place_id': '73e0840af6e39b35'}
1567165010	2020-05-22T03:54:55.000Z	1263679709667299329	I need like to go out and dance to this song... I can’t	{'place_id': '1d9a5370a355ab0c'}
2704572008	2020-05-22T00:54:13.000Z	1263634236893990913	Been feeling lots of love lately. Very blessed to have friends that go out of their way to visit our new home❤️	{'place_id': '1d9a5370a355ab0c'}
877951359471034369	2020-05-23T20:00:07.000Z	1264284997567098880	I really had the same route to school for 0 years. Wow😪	{'place_id': '1d9a5370a355ab0c'}
1134152518064320512	2020-05-23T19:19:06.000Z	1264274676777353216	; im tired of having a meat print 😹😹 i wanna go out & tuck soo bad . only my gay cunts will understand 😽😽😽	{'place_id': '1d9a5370a355ab0c'}
22191673	2020-05-23T18:53:55.000Z	1264268339473453058	 I have and used it everyday when going to work. I have a steamer too but it’s not that good. I want a new one but not sure what to get.	{'place_id': '1d9a5370a355ab0c'}
41268476	2020-05-23T18:52:05.000Z	1264267878758563840	Thanks to  I have some more style when I go out! They fit awesome and look great! Thank you! 	{'place_id': '1d9a5370a355ab0c'}
1574177412	2020-05-23T18:00:01.000Z	1264254774909849601	0.0 KISS FM hosts at 0am:TONIGHT DJ DOUCHEBAG LIVE AT CHASERSSS “So what’s the craziest sex position you’ve ever done with a one night stand?!”“I’m still hungover does butt stuff count?”Me on the way to school with my mom:👁👄👁	{'place_id': '1d9a5370a355ab0c'}
113558332	2020-05-23T17:43:29.000Z	1264250611920486400	Hey Fearless, you want to go out in the yard?       @ Chicago, Illinois 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}}
2649714043	2020-05-23T17:42:06.000Z	1264250264611164160	Bruh every morning going to school 	{'place_id': '6db05c8d8e092528'}
253270711	2020-05-23T16:53:06.000Z	1264237932921094144	 Yeah, it’s been weird. Very little motivation to shoot new stuff...mostly because We’re still not supposed to go out. And most client work PPD. Could probably work on business side, but, hardly motivated.!	{'place_id': '1d9a5370a355ab0c'}
822972382155567104	2020-05-23T15:55:28.000Z	1264223430062362628	    My dad fought at Iwo Jima & used the GI bill to go to law school.  He was the only one of his 0 brothers & sisters to go to college.  He represented some of his clients for free - too poor to hire a lawyer!  I miss my parents, but glad neither had to see our country today.	{'place_id': 'f16f37294392e394'}
626893548	2020-05-23T15:45:23.000Z	1264220892118351872	It’s going to be 0 degrees this weekend...I want to go out! 😩	{'place_id': '1d9a5370a355ab0c'}
337489586	2020-05-23T14:30:57.000Z	1264202158838177793	R.I.P my prayers and condolences go out to his family 🙏🏾 	{'place_id': '1d9a5370a355ab0c'}
1452668023	2020-05-23T07:30:33.000Z	1264096362230095872	Why not override Illinois, Michigan, Penn, Washington state governors to let people go back to work. If people are afraid to go out they can stay in.  	{'place_id': '1d9a5370a355ab0c'}
1462356805	2020-05-23T06:22:44.000Z	1264079295858839554	Going out to the funeral.  Theirs or their friend’s. 	{'place_id': '1d9a5370a355ab0c'}
1604749080	2020-05-23T02:37:30.000Z	1264022616802820096	I miss going out sm I’m finna drink a beer 🚶🏽‍♂️	{'place_id': '1d9a5370a355ab0c'}
524524080	2020-05-23T02:23:28.000Z	1264019083630084110	Elementary school parent donates kidney to school receptionist after transplant delay due to coronavirus pandemic… 	{'place_id': '99700cd6fc455c13', 'coordinates': {'type': 'Point', 'coordinates': [-87.4804, 41.5957]}}
24410692	2020-05-23T00:40:50.000Z	1263993256402128898	  Once you go out maybe five times or so you won’t be afraid anymore! Be defensive and offensive at the same time and you’ll be able to sense when drivers are being idiots.	{'place_id': '1d9a5370a355ab0c'}
1097690626001379328	2020-05-23T00:36:45.000Z	1263992226511757313	Continuing to put in work with my blast sensor, i’m seeing results going up and balls going out!!    	{'place_id': '4b3758bc32868265'}
385572863	2020-05-24T22:43:31.000Z	1264688507655684097	  We watched Back to School the other night and my teenage kids couldn’t believe it was him.	{'place_id': '9458deb79984da4e'}
39611080	2020-05-24T21:56:55.000Z	1264676778720792576	Just got out of the shower after a 0 mile bike ride. I’d kill to go out to dinner and have a jalapeño margarita right now and it’s really bumming me out that I can’t 😓	{'place_id': '3009292baa8dda23'}
18941031	2020-05-24T21:45:17.000Z	1264673853260943362	I never thought I'd miss going to work so much... 	{'place_id': '07d9ec85be888000'}
572072777	2020-05-24T21:25:10.000Z	1264668788731138049	if things were normal right now, we all would be day drinking and going out tonight . i hate this so much	{'place_id': '1d9a5370a355ab0c'}
226029161	2020-05-24T20:30:15.000Z	1264654969669652480	Fun fact I hated my skin complexion growing up but fell in love with it in 0 when I went to college	{'place_id': '1d9a5370a355ab0c'}
880735896	2020-05-24T19:32:37.000Z	1264640466504556545	We don’t want to own a house. We don’t want a yard, a garage, or a garden. We just want a very small place with a big sewing/crafting studio. The only reason to go out is to explore and enjoy nature miles away from home. Is it too much to ask? 🤔 	{'place_id': '9f3d755fe1a081a4'}
1219674812093796353	2020-05-24T18:23:00.000Z	1264622946997407744	Lord knows that I'm no fan Of the mental midget madman piss poor President But personal responsibilityHas to come into play if peopleDon't use common sense in regards toGoing out in public and ignoring CDCguidelines I will still avoid being inPacked areas and wear A mask 	{'place_id': '1d9a5370a355ab0c'}
1174450367083536386	2020-05-24T16:11:52.000Z	1264589946528161802	 I guarantee he will be outed by a female he went to school with until fifth grade. Then I hope he meets his new friends at stateville plus his words will come back to haunt him there.	{'place_id': 'f16f37294392e394'}
136788101	2020-05-24T15:28:32.000Z	1264579038380687361	  So much privilege tied to “just take a gap year!”. Many folx will find some kind of low wage position and may then find it really difficult to choose to go to college and lose a portion of the income they are relying on.	{'place_id': '1d9a5370a355ab0c'}
805777805183221760	2020-05-24T15:03:47.000Z	1264572810745253888	WE MAY NEED TO INVESTIGATE YOU AFTER YOU LOSE THE ELECTION FOR ALL THE MASS MURDERS YOU CAUSED OVERSEAS AND NOW ALL THE INCREASED DEATHS YOU CAUSED AND “WILL BE CAUSING” WITHIN THE NEXT FEW WEEKS WHEN ALL THE PEOPLE LISTENING TO YOU GET SICK FROM GOING OUT TOO SOON!  	{'place_id': '1d9a5370a355ab0c'}
1365849830	2020-05-24T03:56:01.000Z	1264404761123659777	Living in an apartment complex en La Villita was not going to work out 😓 These vecinos have been blasting their norteños toda la noche! Won’t be missing the city coming to pick up the trash at 0:0AM every Thursday&  Friday right outside my window 😩 como chinga esta gente	{'place_id': '1d9a5370a355ab0c'}
902242524	2020-05-24T03:32:01.000Z	1264398720734580737	Cause imma go out the same way i came in right by the pussy with nothin on my mind	{'place_id': 'ef28358de03cb92e'}
2453357959	2020-05-24T02:27:46.000Z	1264382554876121090	 Herb can’t go out like that they gotta get back on	{'place_id': '1d9a5370a355ab0c'}
3310822750	2020-05-24T02:05:01.000Z	1264376829156167682	I wanna go out to LA but y’all over there sound so fuckin bratty.	{'place_id': '1d9a5370a355ab0c'}
454152441	2020-05-24T00:25:33.000Z	1264351794668408833	When people go out their way to stay 0 ft from me I almost take it personal until I remember	{'place_id': '1d9a5370a355ab0c'}
984529812533334016	2020-05-24T00:15:59.000Z	1264349387918057475	 Thanks for sharing! Already over our $0,0 goal! This means the family themselves will not have to go out of their own pocket to continue awarding scholarships on behalf of Julie 🙂.  Always our goal.  Thanks again	{'place_id': '6af99a29bfae42a2'}
