2367377490	2021-11-29T23:28:26.000Z	1465462687043919873	crying screaming throwing up ripping my hair off my head I don’t wanna go back to school	{'place_id': '0fc7e0a406d55000'}
55722422	2021-12-01T10:22:46.000Z	1465989743683022852	      Because you you scared little bitches stayed home over a virus? Yes kiss that biden ass. Such a great dictator allow people to freely go to work. He didnt add anything. Zero new jobs were created and all the old jobs havent been filled. Twisting things doesnt make it legit	{'place_id': 'f2da3efc48696715'}
1291481045989298178	2021-12-01T09:45:31.000Z	1465980369782648833	Memo to self don’t go out with trin no more he opens a tab and it’s too dangerous 🥴🥴	{'place_id': '1d9a5370a355ab0c'}
2241384068	2021-12-01T07:07:39.000Z	1465940640332668929	I miss going out going out : 	{'place_id': '1d9a5370a355ab0c'}
2572785391	2021-12-01T05:16:49.000Z	1465912751394541573	I really like going out by myself. Perfect opportunity for a lengthy amount of solitude.	{'place_id': '1d9a5370a355ab0c'}
52427945	2021-12-01T01:12:52.000Z	1465851357974437893	Homemade chicken taquitos because i didn’t feel like going out 😌💪🏾😋 	{'place_id': '1d9a5370a355ab0c'}
489120487	2021-12-02T22:55:02.000Z	1466541445368750080	Go to work. Commute home thinking about which room I’ll be cleaning tonight. Clean/sleep. Repeat until death.	{'place_id': '1d9a5370a355ab0c'}
603163401	2021-12-02T14:36:11.000Z	1466415906792353792	Tomorrow let’s wear baseball jerseys to school to honor Jackson’s memory!  	{'place_id': 'f2da3efc48696715'}
860517702410141697	2021-12-02T13:56:36.000Z	1466405946113114118	I grew up 0 miles from here. My thoughts and prayers go out to my Oxford and Lake Orion friends and their families.  	{'place_id': 'd77ed7c9521c898d'}
245602305	2021-12-02T13:31:57.000Z	1466399740543836164	I accidentally ordered half caff coffee on Amazon…yeah, that’s not going to work for me dawg	{'place_id': 'cdf74b55fc0d4600'}
3317152200	2021-12-02T03:52:23.000Z	1466253889875947520	 Homeschooling can work very well in the right hands. These are tough trade-offs we are making today when we send our children to school.	{'place_id': 'ecbe21c16e88f161'}
467206453	2021-12-02T03:46:09.000Z	1466252321671860225	Slowly but surely getting locked in to college basketball	{'place_id': '1d9a5370a355ab0c'}
82796879	2021-12-02T02:58:13.000Z	1466240259327418372	Just got the call.... no more going out. Recording mode.	{'place_id': '1d9a5370a355ab0c'}
790886306	2021-12-02T02:37:21.000Z	1466235005374504964	Listen I love black forever a classic that will never go out of style but so glad the girlies are finally trying different color eyeliner , about damn time !	{'place_id': '1d9a5370a355ab0c'}
29369690	2021-12-02T01:59:25.000Z	1466225461508419586	  Come to my office (where I take care of kids with Covid every week) and try to tell that to my face, or go hide behind your childish Twitter handle.  I'm glad Indiana is my former home state with that kind of maturity.	{'place_id': 'ecbe21c16e88f161'}
26565981	2021-12-02T01:45:32.000Z	1466221964989800452	 Have that feeling with the Rams coach. We want to college together. Same year.	{'place_id': '1d9a5370a355ab0c'}
335694105	2021-12-02T00:17:45.000Z	1466199872776851458	I think Doja’s getting snubbed again, just based on politics that affiliation with Dr. Luke probably is not going to work in her favor. Hopefully I’m wrong.	{'place_id': '1d9a5370a355ab0c'}
938216002277466114	2021-12-03T23:02:05.000Z	1466905607542353928	  Have you been to college? If not get admission. It will broaden your knowledge.	{'place_id': '9f3d755fe1a081a4'}
253932685	2021-12-03T19:49:51.000Z	1466857233229225986	Rick Pitino to College Park confirmed 	{'place_id': '1d9a5370a355ab0c'}
32774606	2021-12-03T19:41:41.000Z	1466855174509678609	 why catalytic converter going out at 0,0 miles! Thank GOD you stopped making the Patriot	{'place_id': '1d9a5370a355ab0c'}
32774606	2021-12-03T19:32:52.000Z	1466852957455069184	 why is my catalytic converter going out on my patriot	{'place_id': '1d9a5370a355ab0c'}
1142602569090588675	2021-12-03T18:10:53.000Z	1466832324734115849	honestly the most unrealistic part of luca was that his parents let him go to school after blatantly disobeying them	{'place_id': '13d0994d4df436f8'}
797886046684008448	2021-12-03T16:09:17.000Z	1466801722874118147	  That kid is a true hero my heart and my prayers go out to his family.	{'place_id': '222efb7ee8b98c58'}
76199676	2021-12-03T16:02:04.000Z	1466799908422356999	i accepted a date in my dream that is supposed to be tonight but i gotta go to work lmao	{'place_id': '5e4243758a966b81'}
513694562	2021-12-03T15:56:10.000Z	1466798424079142912	Tuhhh I’m just gone suck it up and make a run to Core Juice Bar before I go to work cause I’m craving this Kale bowl 😭	{'place_id': '1d9a5370a355ab0c'}
2544903272	2021-12-03T12:22:32.000Z	1466744660894879745	Going out on a limb here to say “Good for her.” I enjoyed Jessica Henwick as Colleen Wing. But I’d hate for any performer to be hemmed up from taking other opportunities. Hoping  will be good and good for her career. 	{'place_id': '1d9a5370a355ab0c'}
1230398487218487296	2021-12-03T12:14:08.000Z	1466742545170538503	As a college freshman you either gone lose or gain 0 pounds and I lost 0… I was 0 when I went to school and now I’m back on break I’m 0. Ian gon flodge I’m loving the weight lost on me doe but now it’s got me thinking I need to lose another 0. What y’all think ?	{'place_id': '07d9d4fd8f085000'}
1163857754748018690	2021-12-03T08:23:34.000Z	1466684520552452097	Truly the best way to go out 	{'place_id': '98a64980f963518d'}
24764372	2021-12-03T03:09:48.000Z	1466605558434349056	 Nigga! I gotta go to work. I'm drinking Hennessey n shit	{'place_id': '1d9a5370a355ab0c'}
31129100	2021-12-03T02:46:36.000Z	1466599721422802946	 Yes we do and we go out of our way to let it be known we're gay so you don't feel threatened 😌	{'place_id': '1d9a5370a355ab0c'}
225719042	2021-12-03T01:55:33.000Z	1466586876584726528	Btw I made it through while going to school so with school out the way it should be even BETTER!!!	{'place_id': '003cc2276dfcaca4'}
1156669100850126852	2021-12-03T01:17:06.000Z	1466577198895091717	 Come to College Station 	{'place_id': '92e012db736d72c5'}
894279020	2021-12-03T00:30:21.000Z	1466565433012621312	It takes 0 effort to convince me to go out to eat. Especially for happy hour!!	{'place_id': '1d9a5370a355ab0c'}
759218918003240960	2021-12-04T22:22:05.000Z	1467257930303311874	going out suiting agaaainnnn	{'place_id': 'f48e110211eee6ef'}
337784420	2021-12-04T22:18:21.000Z	1467256992033124359	 I always say that if headshots are expensive, go out and steal a car; mugshots are free!	{'place_id': '1d9a5370a355ab0c'}
799859257	2021-12-04T22:17:23.000Z	1467256745374498828	 If they played Wake or Pitt they'd be legitimate. Cincinnati kicked ND's ass at ND and they're having to go out and prove themselves vs an 0-0 team.	{'place_id': '8b351eeb91372dc7'}
1422648498873409546	2021-12-04T22:04:37.000Z	1467253536035676163	 Do you mean the convents? Where they would give birth.. then return to school. Yes, it’s inappropriate to have a teen waddling around HS. Believe it or not, society was somewhat civilized .. You and your feels ..you don’t sound catholic to me🥳 🥂	{'place_id': '1d9a5370a355ab0c'}
21089995	2021-12-04T20:46:37.000Z	1467233903844986883	   and perhaps have even offered physical protection for them to go to school and to vote. I’m not defending or ignoring racism in the North, but the situation in the South had an urgency and physical danger that put it in a different category.	{'place_id': '1d9a5370a355ab0c'}
32814873	2021-12-04T20:18:41.000Z	1467226873503571972	Is it just me, or is it one of the worst feelings when you go out to eat so hungry that everything looks good? 😩 	{'place_id': '1d9a5370a355ab0c'}
125799259	2021-12-04T19:43:10.000Z	1467217935471153153	ATP I Just Be Throwing This Wig On & Going To Work 🤣 These People Ain’t Getting a Chance at All. 😂	{'place_id': '1d9a5370a355ab0c'}
789127398575005696	2021-12-04T17:29:23.000Z	1467184267763531778	When you dread going to work on certain days because certain people will be there, you know it’s time to go.	{'place_id': '1d9a5370a355ab0c'}
451190884	2021-12-04T17:21:55.000Z	1467182392242749443	Okay I’m not going to work but I work 0pm - 0 am. What’s a solid excuse?? Something I would know i couldn’t get to work by noon.	{'place_id': '1d9a5370a355ab0c'}
1928948112	2021-12-04T17:05:55.000Z	1467178364955992070	 Never going out in the middle of an amoxicillin regimen again 😔	{'place_id': '1d9a5370a355ab0c'}
775322096805306368	2021-12-04T14:03:09.000Z	1467132368142090252	 Not boring. Just a different stage in life. I’m my 0s I didn’t go out as much but that’s because I started having children so going out got harder to want to do. Now I’m in my 0s and I go out all the time, with my kids, with family and friends.	{'place_id': 'ecbe21c16e88f161'}
803991183999594497	2021-12-04T13:04:03.000Z	1467117495853137925	mornin. I gotta go to work so I'm not going to leave my normal sweet and inspirational tweet. Enjoy your day..I guess 	{'place_id': '1d9a5370a355ab0c'}
47148820	2021-12-04T12:45:41.000Z	1467112876242612227	I wanna go out for breakfast	{'place_id': '1d9a5370a355ab0c'}
763139736378552320	2021-12-04T12:31:56.000Z	1467109414423437322	 Internet going out. Smart board lightbulb burning out.	{'place_id': '0fb8d7b7e21d86a5'}
1422648498873409546	2021-12-04T12:03:04.000Z	1467102149301739522	  So .. who’s gonna pay your welfare and LINK.. my guess is you’ve never paid a tax in your life so ..all these WHITE people move? You fucked But my guess is you didn’t think that deep. 🥴 go back to school sweetheart. Learn how things work beyond your feels  🥂	{'place_id': '1d9a5370a355ab0c'}
2735372888	2021-12-04T05:14:31.000Z	1466999335170850819	Every kid everywhere should be able to 0% safely ride their bike to school. 	{'place_id': '1d9a5370a355ab0c'}
39878124	2021-12-04T05:13:32.000Z	1466999087329423364	I’m going to go out on a limb and say something very controversial and brave………….. I have lived in Chicago for 0 years now and I think deep dish pizza is absolutely disgusting	{'place_id': '1d9a5370a355ab0c'}
16450076	2021-12-04T04:04:48.000Z	1466981787733798924	  He’ll go to a bigger program than Cincinnati, and I say that as someone who went to school there. But everyone within the program is very high on Evan Prater taking the reins next season when Ridder departs. Ewers probably also wants to head back south.	{'place_id': '1d9a5370a355ab0c'}
2195172739	2021-12-04T03:00:17.000Z	1466965551394213888	Thats why I enjoy watching Rampage because AEW often treats main events like a big deal & give athletes time to go out their & have a banger of a match, also Mark Henry sells it each week with his line. WWE often does this time filler b.s for main events giving no reason to watch 	{'place_id': 'e1f02e2e606b0eea'}
1928948112	2021-12-04T01:09:49.000Z	1466937755087392773	 Yeah literally just going out a lot was how I met most of the people I know but it was also killing me soooo lol	{'place_id': '1d9a5370a355ab0c'}
29661403	2021-12-05T23:48:29.000Z	1467642062451396615	You’d be surprised how many go out with $0 😑 	{'place_id': '1d9a5370a355ab0c'}
1386739712405168132	2021-12-05T23:05:33.000Z	1467631255701311488	                                                  Y’all have been trying to stay this for generations. And yet, I’m not born a slave, there’s a 0 hour work week, my kids went to school instead of a sweat shop, I’m able to vote, my wife is able to vote, I can say what I want w/o government killing me, ACA, EPA, etc	{'place_id': '1d9a5370a355ab0c'}
870432848070582273	2021-12-05T22:55:50.000Z	1467628811336527880	If you’re not hearing about it I would say you’re going out of your way to not hear about it. 	{'place_id': '1d9a5370a355ab0c'}
2657273802	2021-12-05T20:42:26.000Z	1467595238298595333	I don’t know why I go out and drink knowing damn well it’s gonna take me out the whole next day 😵‍💫	{'place_id': '1d9a5370a355ab0c'}
2170304051	2021-12-05T19:28:34.000Z	1467576649025740810	Maintaining my desire to keep plans I’ve made is so hard. First of all, it can’t be a same-day invite because I need to mentally prepare myself. And they have to be late enough that I won’t mind waking up that early but early enough that I won’t lose the motivation to go out.	{'place_id': '1d9a5370a355ab0c'}
1253362356	2021-12-05T17:44:40.000Z	1467550501789122564	 me 😇 I also didn’t go out last night and slept like a rock. Like…are we just…better than everyone else?	{'place_id': '1d9a5370a355ab0c'}
1183175321958400000	2021-12-05T15:40:39.000Z	1467519293629898756	 It’s a adorable mask been wearing around when I go out too haha	{'place_id': 'f48e110211eee6ef'}
799859257	2021-12-05T15:38:33.000Z	1467518765952913419	   ?? They're in the playoff. Enjoy ND missing it because they sit at home like bums instead of going out their to prove the case like the 0 teams that made it. I hope the shit you're eating tastes great.	{'place_id': '8b351eeb91372dc7'}
1356256781182316551	2021-12-05T14:10:57.000Z	1467496718795223042	u will never get me to like u disrespecting me constantly, grow up and stop acting like yr in high school. i cant even see Vomit live bc u bug so much. u a richie. stop being lazy, bitching abt yr job & use that free pass to college yr parents can pay for tht u told me all abt	{'place_id': '1d9a5370a355ab0c'}
1314233644676976645	2021-12-05T06:23:39.000Z	1467379118157496324	Two Best Buddies going to work.  You are acting Crazy Again. 😂Don’t Let up. 	{'place_id': '1d9a5370a355ab0c'}
211706276	2021-12-05T05:19:33.000Z	1467362989032493057	going out for the first time since i’ve been sick taking it easy! 0 shots of tequila in 0 minutes: 👁👄👁	{'place_id': '1d9a5370a355ab0c'}
1378421239	2021-12-05T04:37:52.000Z	1467352498226802688	The day I want to drink and go out, no one down	{'place_id': '1d9a5370a355ab0c'}
1386739712405168132	2021-12-05T04:26:01.000Z	1467349517762797568	No need to “hope I provide”. My eldest is 0 going for his masters. The next works at Mercedes. The next is at another school you can’t afford as well, getting two bachelors, the next is going to school next fall, the next is still in HS & the youngest is asleep on the BR. 	{'place_id': '1d9a5370a355ab0c'}
4373238676	2021-12-05T01:27:53.000Z	1467304687783268356	 I need help!!! For a city known for steakhouses, the grocery stores leave much to be desired. I can throw down in the kitchen, so don’t always want to throw 💰⬇️ by going out. Where do I buy my meat?!? Fyi, I’m interested in bone-in ribeye-the only steak worthwhile.	{'place_id': '1d9a5370a355ab0c'}
922654637445881856	2021-12-05T01:23:31.000Z	1467303590477844486	Intern on a Sat in December I was going out with my co-residents spending $0 on like 0 cocktailsPGY0 on a Sat in December I am spending $0 on Chinese food for myselfSo if you’re out there asking does it get better? I mean lotsa kung pao chicken &gt;&gt;&gt; an overpriced mojito lol	{'place_id': '1d9a5370a355ab0c'}
19964982	2021-12-05T00:46:20.000Z	1467294231169540098	  If a teacher told the kids which books the district removed because they thought the books aren't good for them, kids will go out of their way to read them!	{'place_id': 'cdf74b55fc0d4600'}
