17124524	2020-04-06T23:59:23.000Z	1247312982171742208	Yeah I do not go out much @ Hermosa, Chicago 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.73, 41.92]}}
2241728198	2020-04-07T19:58:50.000Z	1247614833253629953	 The clothes will still be there when you can go out 😂😂	{'place_id': '1d9a5370a355ab0c'}
54103866	2020-04-07T19:46:45.000Z	1247611794434273286	Taking even a short jog in 0-degree temperature on city sidewalks with no water available quickly gets tough. Walking is not so bad. I'll go out again later in the afternoon.	{'place_id': '1d9a5370a355ab0c'}
361609302	2020-04-07T19:34:08.000Z	1247608617676804100	My 0 yr old niece: you know I can talk to pigs? And birds too, but I can’t understand what they’re saying but at least they understand me ... Me: ... these kids are losing it y’all, send them back to school pls	{'place_id': '1d9a5370a355ab0c'}
142072706	2020-04-07T19:33:25.000Z	1247608435505598464	  They updated the rule on that. He’s free to hire an agent (and should) and can still return to college if he opts out of the draft process by a certain date.	{'place_id': '1d9a5370a355ab0c'}
142072706	2020-04-07T19:33:02.000Z	1247608339628003329	  They updated the rule on that. He’s free to hire an agent (and should) and can still return to college if he opts out of the draft process by a certain date.	{'place_id': '1d9a5370a355ab0c'}
142072706	2020-04-07T19:32:41.000Z	1247608253485367299	   They updated the rule on that. He’s free to hire an agent (and should) and can still return to college if he opts out of the draft process by a certain date.	{'place_id': '1d9a5370a355ab0c'}
142072706	2020-04-07T19:16:16.000Z	1247604121693282305	 That doesn’t restrict players from changing their minds and returning to college anymore.	{'place_id': '1d9a5370a355ab0c'}
380637911	2020-04-07T19:03:12.000Z	1247600831488315393	When I went away to school I ain’t have a freshman 0, I had freshman 0 😭😭	{'place_id': '1d9a5370a355ab0c'}
1182773762753777667	2020-04-07T17:42:49.000Z	1247580602301386752	"It's a beautiful 0 degrees here in Chicago. I bet ya people in Chicago are being selfish and crowd gathering. Stay inside go to ""your"" patio, backyard or outside area. Please don't go out and keep this state in a hotspot crisis.   "	{'place_id': '1d9a5370a355ab0c'}
291524277	2020-04-07T16:28:27.000Z	1247561888621305859	The notion that grocery workers don’t deserve a living wage and should just “go to school and get a better job” is insane to me, a grocery store worker. Here’s why:	{'place_id': '1d9a5370a355ab0c'}
2587937208	2020-04-07T16:15:57.000Z	1247558741903409154	🙌🏽👏🏽 THIS.👇🏽Say it louder for the people in the back. 🗣 I’m tired of going out & seeing people with gloves and masks who don’t know how to properly use them. They probably don’t go home & sanitize their phones or wash their hands either after being outside.  	{'place_id': '1d9a5370a355ab0c'}
385047908	2020-04-07T14:41:03.000Z	1247534861155356672	Prayers going out for strength to both Mom & Child! 🙏🏾 	{'place_id': '1d9a5370a355ab0c'}
208322515	2020-04-07T14:31:29.000Z	1247532453113155589	Let’s go out there and have a good day today. 	{'place_id': '1d9a5370a355ab0c'}
343158314	2020-04-07T14:29:06.000Z	1247531852086136832	 lmaoooo fam i'm not tryna go out there 😭😭🤣	{'place_id': '1d9a5370a355ab0c'}
738404570020388864	2020-04-07T14:01:45.000Z	1247524969577250819	0.Universal basic income so black essential workers don’t have to go to work.  Let’s go off the current census data. Maybe that will encourage folks to fill it out. 🤷🏾‍♀️ hopefully the Feds will help and comply with data sharing.   	{'place_id': '1d9a5370a355ab0c'}
74013202	2020-04-07T13:18:32.000Z	1247514095009628160	Ah, what a perfect time to go out for a jog. Not too chilly, not too warm either.    	{'place_id': '1d9a5370a355ab0c'}
343158314	2020-04-07T13:09:51.000Z	1247511908732882946	quarantine szn gonna have me going out sad asl if i keep falling for these thirst traps 😔	{'place_id': '1d9a5370a355ab0c'}
844932007075500034	2020-04-07T11:53:21.000Z	1247492659247276033	If I go out running aroundHanging not alone about TownFauchi says noStay in my homeDont be a mope Wear a mask if I goWell you know it ain't easyBeing isolated U seeGoing about makes a maybeThat They will EULOGIZE ME 	{'place_id': '1d9a5370a355ab0c'}
70233663	2020-04-07T11:51:37.000Z	1247492222196617216	 So sorry sad to hear brother and sister or longer have mom and dad💔😢R.I.P*➕*Nono grandpa my heart and prayers go out to the family 🙏💛🙏🏾🧡	{'place_id': '1d9a5370a355ab0c'}
70233663	2020-04-07T11:45:41.000Z	1247490729548660737	 My heart and prayers go out to his family and yes Lord please not let his death be in vain please Chi town 🗣🏘😷🤒🥴  save your own lives and your families lives and look out for each other🙏🏽🧡🙏	{'place_id': '1d9a5370a355ab0c'}
4831802825	2020-04-07T11:31:53.000Z	1247487257243721728	Can this shit end already so I can go back to school😔	{'place_id': '1d9a5370a355ab0c'}
126196568	2020-04-07T05:11:37.000Z	1247391559747809280	 Either way you are trying to go out for shopping so my answer is “No Don’t”	{'place_id': '389e765d4de59bd2'}
555395944	2020-04-07T04:58:56.000Z	1247388365667868672	My mom went to school with the short guy and it’s mentioned frequently 	{'place_id': '1d9a5370a355ab0c'}
2793148998	2020-04-07T03:12:06.000Z	1247361481752092672	All these ladies I’m talking to really think we’re going out after quarantine. Baby, this is just jail talk.	{'place_id': '1d9a5370a355ab0c'}
727130959	2020-04-07T03:00:22.000Z	1247358528978911241	i miss going out and looking hot :/	{'place_id': '1d9a5370a355ab0c'}
2599242499	2020-04-07T02:59:28.000Z	1247358299646935042	I just wanna go out and do hoodrat shit with my hoodrat friends 	{'place_id': 'cdf74b55fc0d4600'}
803135966361878528	2020-04-07T02:58:15.000Z	1247357995270524934	 Dear Sir Nap---- love you  so very much ❣❣❣Let's all stay home as much as possible & wear our masks--- if we have to go out ❣Love to you so much♥️♥️♥️❣❣❣Gloves too♥️❣♥️Love, Issay ♥️❣💖♥️⚘❣💖⚘❣	{'place_id': 'ecbe21c16e88f161'}
14713155	2020-04-07T02:29:34.000Z	1247350774872576008	How do I get  to admonish my 0yr mom, Lois, who keeps going out to do errands despite my daily urging to  & let me do her errands? She raised me on Monty Python, she’d actually listen to him! 	{'place_id': '1d9a5370a355ab0c'}
24306974	2020-04-07T01:08:39.000Z	1247330415280562176	This a wrap for JT I gotta revisit his catalogue I know he ain’t going out like this 	{'place_id': '1d9a5370a355ab0c'}
2564572704	2020-04-07T00:41:52.000Z	1247323672886509568	I didn’t used to go out fr even before the Rona, but this is a throwback to when baby girl’s life was more fun 😩 	{'place_id': '1d9a5370a355ab0c'}
5743202	2020-04-07T00:37:32.000Z	1247322584552742913	Forgive me: it’s simply called GIRLS NIGHT. No need to go OUT. Very covid friendly! 	{'place_id': '1d9a5370a355ab0c'}
922654637445881856	2020-04-07T00:24:49.000Z	1247319381689991168	 I was so tempted to dye my hair purple but then I realized I still have to go to work lol. So I’ll live vicariously through you.	{'place_id': '1d9a5370a355ab0c'}
32667165	2020-04-08T23:40:53.000Z	1248033103957852160	I’m finna go out west and grab some 🌮 🌮🌮 Raymond’s	{'place_id': '1d9a5370a355ab0c'}
54037983	2020-04-08T22:13:49.000Z	1248011191525371904	 Prayer going out to you and yours young lady I’m truly saddened! 🙏🏽🙏🏽	{'place_id': '97ae6559498bd23d'}
386573370	2020-04-08T22:04:57.000Z	1248008960902197250	 Ours don’t go out at all. Too many cars. And they might run.	{'place_id': '1d9a5370a355ab0c'}
304813996	2020-04-08T22:01:06.000Z	1248007991535652864	This feels like a “back to school” kind of month. So thankful for all of the organizations and schools providing online content. 💻....     … 	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
18808504	2020-04-08T21:42:56.000Z	1248003420218261504	 Are you from PA?  Because I think I called them that when I went to college on Reading.	{'place_id': '1d9a5370a355ab0c'}
3616403715	2020-04-08T21:33:23.000Z	1248001016512925696	these are the people why we have to stay home till May they think they can still all go sit around a camp fire getting drunk with a shit ton of people. Then there are people that live by places that are very infected by the virus that aren’t going out because they know they	{'place_id': '24d27a430ae5569f'}
401652043	2020-04-08T21:21:28.000Z	1247998014905446405	  Even if he does keep things close. We would of heard something about going out and interviewing candidates.	{'place_id': '1d9a5370a355ab0c'}
24490183	2020-04-08T21:06:37.000Z	1247994277860462594	   It’s the people from the same parts of Chicago who go out to shoot people every night so I doubt this will do much.	{'place_id': '1d9a5370a355ab0c'}
2212831718	2020-04-08T21:05:17.000Z	1247993944430051328	  PUSH DA BUTTON ‼️ Family first even before money and business if u going to work RN u trippin and u still gotta move for essentials I WILL NOT CLOCK IN DURING THESE TIMES ALL YO MONEY GONE COME BACK WHEN U NEED IT	{'place_id': '1d9a5370a355ab0c'}
25370185	2020-04-08T20:26:13.000Z	1247984113677742080	 Not so much now but when I worked in a corporate environment I would stay up way too late every night because going to bed == going to work. So I get the basic concept.	{'place_id': '1d9a5370a355ab0c'}
2369658458	2020-04-08T20:22:40.000Z	1247983217577254912	People are really saying don’t vote trump....or Biden lmaoo weren’t y’all just preaching to go out and vote?	{'place_id': '1d9a5370a355ab0c'}
37323138	2020-04-08T19:32:46.000Z	1247970661798154241	Well this is a great time for the fridge to go out.	{'place_id': '1d9a5370a355ab0c'}
929932617469911041	2020-04-08T19:13:19.000Z	1247965765921394700	Why do I have a feeling, of all the people on Twitter upset that Bernie dropped out of the race, many didn't actually go out and vote for him in the primaries.  	{'place_id': '1d9a5370a355ab0c'}
9402882	2020-04-08T19:09:27.000Z	1247964791953674240	Stuck in your home office looking at this and all you want to do is go out and play.  	{'place_id': '5b0b1baf24cf0a6a'}
831287570965397504	2020-04-08T17:20:30.000Z	1247937376099450882	 I miss you little me! Im so proud of YOU, stay focused and keep going toward success. 💗💗💗0. We should go out to eat & hang once all this is over (we got at least 0 months) 0. We should do a photoshoot together!!!!!!!	{'place_id': '1d9a5370a355ab0c'}
62396081	2020-04-08T16:46:22.000Z	1247928784696770560	I hate making excuses and calling off work but I get so anxious sometimes in the morning and it’s getting a little harder around these times and home life is a bit high stress for me rn as well. I be feeling like a bum if I don’t go to work. I feel like an awful employee Ugh HELP	{'place_id': '1d9a5370a355ab0c'}
16753027	2020-04-08T16:43:49.000Z	1247928145715646464	  I think 0’s issues was that people thought Clinton had it in the bag and didn’t try to go out to vote. She also ran a campaign where her main thesis was “this guy is bad” and nothing about what she’d do.	{'place_id': '1d9a5370a355ab0c'}
87149255	2020-04-08T15:13:03.000Z	1247905303099736064	Dear  I did not go out to get my nails done, I did them myself at home! 🤣🥰✨           	{'place_id': '1d9a5370a355ab0c'}
31029603	2020-04-08T15:04:20.000Z	1247903105846358016	I know you're dying to go out!!!This Friday, they're a Rave party at your houseI'll be supplying to music.... No miley Or swiftor Top0 just beats and bangers!  🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 … 	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
12175162	2020-04-08T14:32:03.000Z	1247894982431608832	Today in dystopian crafts: face masks for the whole family! 😷 + 0 going to my parents in rural Tennessee who still have to go out more than I’d like. -I modified a pattern for two adult sizes and a children’s fit.… 	{'coordinates': {'type': 'Point', 'coordinates': [-87.6886, 42.0469]}, 'place_id': '8b351eeb91372dc7'}
22021266	2020-04-08T14:11:11.000Z	1247889734203920386	PSA: when you go out for a walk or run, share the sidewalk and be conscious of people around. You might have to briefly walk single file or run through dirt or speed up slightly, but it’s gonna be ok. It’s a common curtesy, that’s even more important in a pandemic.	{'place_id': '1d9a5370a355ab0c'}
31030245	2020-04-08T13:52:10.000Z	1247884945810309120	Don't pass up the opportunity to show out when you go out 💯💍😷 	{'place_id': '1d9a5370a355ab0c'}
821554861758119937	2020-04-08T13:08:55.000Z	1247874062065557504	 I’m someone who is still going to work bc our business is critical and all I can say is fuck u for supporting 	{'place_id': 'f16f37294392e394'}
408971830	2020-04-08T12:59:39.000Z	1247871731001327616	*overheard at Jewel* “I hope Blue Man Group doesn’t go out of business.”	{'place_id': '1d9a5370a355ab0c'}
12231652	2020-04-08T12:38:17.000Z	1247866351965921281	  ^ one of the reasons I don’t go out like I used to	{'place_id': '1d9a5370a355ab0c'}
1084888839427182592	2020-04-08T10:40:20.000Z	1247836668708687872	    $0,0/mo isn’t going to get people to quit their jobs. All evidence of UBI shows only people that work less is new parents & teens coming out of high school who go to school at higher rates under it. Entrepreneurship goes up, productivity decreases, stress levels goes down, etc	{'place_id': '918c943e88cc3e5d'}
2561379936	2020-04-08T09:42:08.000Z	1247822021901328384	I’ve been binge watching Bar Rescue because I miss going out.  is my new hero.	{'place_id': '72efa03540804278'}
824920081423540225	2020-04-08T08:52:18.000Z	1247809480768851968	   Biden's record will get us 0 more yrs of Trump just like Hillary's got us the first 0. Bernie's won't. Did you not learn a thing in 0?Running an establishment Democratic candidate is not going to work this time either.	{'place_id': '1d9a5370a355ab0c'}
124447983	2020-04-08T07:12:13.000Z	1247784294224818177	The same people who are bitching at people to stay in doors are the very same people who are still going out.	{'place_id': '1d9a5370a355ab0c'}
58404595	2020-04-08T03:53:36.000Z	1247734312553844736	If the next time I get to go out for a beer is in the fall, I’ll fucking lose it.	{'place_id': '1d9a5370a355ab0c'}
358790991	2020-04-08T03:17:09.000Z	1247725140479270912	 Untested people with COVID0 are sheltered in place at the moment. What happens when go out again without a vaccine?	{'place_id': '1d9a5370a355ab0c'}
15542613	2020-04-08T03:05:41.000Z	1247722254089302017	It is very sad that we lost a firefighter in this battle of Covid0. Prayers going out to his family. 	{'place_id': '68e2040481279657'}
1022711996	2020-04-08T02:18:19.000Z	1247710333315289094	It's raining outside and these lights are flickering... If they go out.. I won't be any good.	{'place_id': '1d9a5370a355ab0c'}
361319986	2020-04-08T01:56:24.000Z	1247704819663601664	“How the hell can a person ... go to work in the morning ... come home in the evening ... and have nothing to say.”Those lyrics *literally* changed my life. Heartbroken. 	{'place_id': '1d9a5370a355ab0c'}
15138335	2020-04-08T01:21:29.000Z	1247696029903880193	Decided I needed to go out. A nighttime walk was the right idea. Plenty of space @ Chicago, Illinois 	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
281830060	2020-04-08T00:58:54.000Z	1247690349457428484	Going to work every day, ya girl is BROKE 	{'place_id': '1d9a5370a355ab0c'}
304734580	2020-04-08T00:43:15.000Z	1247686408195780608	one of my friends got mad at me bc i didnt wanna go out rn like???? bitch you needa be staying in tf you doin. smh.	{'place_id': '1d9a5370a355ab0c'}
722772954	2020-04-08T00:17:50.000Z	1247680011571802112	I’ll rap old Nicki till my heart go out I won’t lie. She was so raw back then.	{'place_id': '1d9a5370a355ab0c'}
3058111143	2020-04-09T22:50:24.000Z	1248382783824596994	I get to finally go out into the world tomorrow. WHAT DO I EVEN WEAR?😳	{'place_id': '1d9a5370a355ab0c'}
26097464	2020-04-09T21:45:25.000Z	1248366429801512963	 I get that.  The issue is how will the person waiting on the bus know if they're gonna get picked up or passed by?  Bus lines like a northbound 0 fill up quickly.	{'place_id': '1d9a5370a355ab0c'}
2288519269	2020-04-09T21:19:53.000Z	1248360004320727040	I feel like i can become an essential worker since i currently don’t have to go to work or am i being greedy🤔	{'place_id': '1d9a5370a355ab0c'}
1319201438	2020-04-09T20:52:19.000Z	1248353068640600070	  I don’t think anyone would be forcing them. If they don’t want to play, they don’t have to. But if they’re in school, attending classes, going to work outs, I’d bet they’ll be just fine playing.	{'place_id': '1d9a5370a355ab0c'}
262734964	2020-04-09T20:50:03.000Z	1248352498064261120	  Lmfaoooooooo😭😭😭😭😭 nigga going out bad😭	{'place_id': '1d9a5370a355ab0c'}
805777805183221760	2020-04-09T20:41:18.000Z	1248350294213373957	  WARNING!! DO NOT LISTEN TO THIS FUCKING MORON! HIS ONLY CONCERN IS TO GET PEOPLE SICKER SO HE MAKES MORE MONEY ON THE “NON-APPROVED”. MALARIA DRUG. NO HONEST OR RESPECTABLE POTUS WOULD HARM US! NOW HE WANTS CREDIT FOR “US” DOING A GREAT JOB? HES PUSHING US TO GO OUT! “WE” DID IT!	{'place_id': '1d9a5370a355ab0c'}
549796174	2020-04-09T20:34:16.000Z	1248348527991885824	Though we are not observing together I'm sending a wishing a very blessed Maundy Thursday to my fellow Christians. This Maundy Thursday has special meaning to me this year. As I read the Gospel and heard Jesus's commandment to go out and serve each other.  Blessed be.	{'place_id': '1d9a5370a355ab0c'}
2833282007	2020-04-09T20:18:45.000Z	1248344620410511363	 He ain’t have to go out like that 😓 not Lee	{'place_id': '1d9a5370a355ab0c'}
89828927	2020-04-09T19:59:17.000Z	1248339721325068295	Did anyone else’s parents instead of driving you to school when you missed the bus they drove around the block looking for the bus to drop you off at a random stop?	{'place_id': '0da8a6c990f02eed'}
2320435849	2020-04-09T19:50:46.000Z	1248337580690739201	😭😭😭😭😭  back bogus for going out like dat ☹️ 	{'place_id': '1d9a5370a355ab0c'}
225956298	2020-04-09T19:50:08.000Z	1248337419432275969	In regards to the COVID situation in Illinois, we are only now starting to see the curve being to bend. This curve can stay at the peak or being rising again if y’all start being stupid and going out more as the weather gets nicer.	{'place_id': '1d9a5370a355ab0c'}
50157950	2020-04-09T19:27:47.000Z	1248331794077941765	 Celebrating life and Brunching with my monkeys! As much as we love going out we are adapting to staying in and staying healthy.         @… 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}}
1681505894	2020-04-09T18:59:43.000Z	1248324729984954369	 he’s suspending it like he’s literally not going out and campaigning but his name is still in primary ballots	{'place_id': '1d9a5370a355ab0c'}
26097464	2020-04-09T17:57:32.000Z	1248309083687530501	So does that mean that the CTA will be sending multiple busses on the same line?  Is that how this is going to work?  	{'place_id': '1d9a5370a355ab0c'}
14923129	2020-04-09T17:41:21.000Z	1248305010691235840	I miss going out. Thanks, bar of Brynmaer in Crystalis.  	{'place_id': '1d9a5370a355ab0c'}
90963373	2020-04-09T17:14:30.000Z	1248298252581167104	You nerds want me to write a song? Probably about missing your family but doing what is right by going to work on an oil rig because you can't go back to prison or some other folksy shit? Check these guys out!! 	{'place_id': '1d9a5370a355ab0c'}
734882598	2020-04-09T16:22:35.000Z	1248285189467516928	She goes “I’m worried they’ll go out of business” and then I go “no, they’re resilient”	{'place_id': 'da0f672ec4c16e58'}
151252041	2020-04-09T16:18:20.000Z	1248284116732297216	It’s kinda funny that the people i see complaining the most about the quarantine are the same people i also see are continuing to go out with their friends instead of staying home..js 😬😂😅	{'place_id': '1d9a5370a355ab0c'}
824920081423540225	2020-04-09T15:03:51.000Z	1248265375130759173	Well, it took me some time getting used to not going to work everyday. I'm starting to understand why some people would like to retire early. But honestly this sheltering at home is for the birds.	{'place_id': '1d9a5370a355ab0c'}
75852164	2020-04-09T14:24:42.000Z	1248255523146870786	      look @ the  They disenfranchised voters by forcing them 0 go out 0 vote during a deadly airborne novel viral pandemic. They don’t care about forcing people 0 risk their lives 0 vote; they’d rather them not vote @ all. They only win by cheating	{'place_id': '1d9a5370a355ab0c'}
218294727	2020-04-09T13:35:59.000Z	1248243260692127744	Let me get up and go to work lmao	{'place_id': '1d9a5370a355ab0c'}
824333085630222338	2020-04-09T13:09:45.000Z	1248236659155623938	Hope everyone is doing their part to flatten the curve!  We are going to get through this and emerge stronger in spirit and return to school ready to learn!  Miss you all!    	{'place_id': '72efa03540804278'}
734080478	2020-04-09T13:09:44.000Z	1248236656672587776	will either be with daddy, myself or both of us every weekend. Like we already looked up places we can all go out as a family including restaurants with live music for dancing. So we are not going to be antisocial but don’t expect me to still be the same gal when my baby arrives.	{'place_id': 'b98acb4e130f102d'}
734080478	2020-04-09T13:09:44.000Z	1248236655510765571	I waited this long to be a mom because I didn’t want to be like those young mom’s who struggle to provide for their kids or others who left their kids with grandma to go out every weekend. Like I’m doing TBOX for my first and possibly only 0 outing but other than that my child	{'place_id': 'b98acb4e130f102d'}
3078862592	2020-04-09T11:50:12.000Z	1248216640795422722	I regret going to college. To even utilize my major, I’ll have to go into hundreds of thousands of dollars more debt for graduate. It’s just not financially justifiable.	{'place_id': '1d9a5370a355ab0c'}
302182987	2020-04-09T08:57:17.000Z	1248173125847613440	 Well good thing you’re making totally sound, reasonably arguments that only red state voters can see. “Going out of my way.” Cool. Yes, please don’t “go out of your way.” Us with shit on the line wouldnt want you going out of your way.	{'place_id': '1d9a5370a355ab0c'}
1188417942	2020-04-09T07:33:52.000Z	1248152132286636032	Can’t wait till me and my rat clan are able to go out again	{'place_id': '1d9a5370a355ab0c'}
1287250525	2020-04-09T06:27:09.000Z	1248135340625399808	  The AG needs to go out it crowds more, preferably Thursday morning. Shakes some hands on the way...	{'place_id': '7ca9cc3e813b1534'}
49161297	2020-04-09T06:11:57.000Z	1248131515420155906	 U only buy stuff to go out though lol	{'place_id': '1d9a5370a355ab0c'}
