2975437630	2021-07-12T21:48:31.000Z	1414703241829421057	I hope everybody know I’m not going out in Houston. I will not be the turn up queen this trip	{'place_id': '0da8a6c990f02eed'}
600563091	2021-07-14T23:08:10.000Z	1415448063230029824	"A charter school changed the trajectory of my life and the lives of many Black inner city kids. However, Biden & many other liberals who say they support ""Black lives"" are opposed to school choice. Make it make sense? "	{'place_id': '1d9a5370a355ab0c'}
42431012	2021-07-14T22:45:20.000Z	1415442318128205831	  Wouldn't complete the route. I get so sick of this. It's bad enough suddenly there's 0, 0 route variations on all these buses. And the drivers just do whatever they want and end the route early. People are trying to f-N go to work. Sick of it.	{'place_id': '1d9a5370a355ab0c'}
794536920596541440	2021-07-14T20:08:45.000Z	1415402909702004747	 i saw a few people on here talking about it. essentially a cold + fever that gays got from going out to the club. like yes im vaccinated but after being inside for a year and a half my immune system is weak af. 	{'place_id': '1d9a5370a355ab0c'}
294853530	2021-07-14T18:48:18.000Z	1415382665910423552	    The ENTIRE CITY LOVES  🏀... Been a Chicagoan for all 0yrs of my life, and when it comes to College Hoops, we DGAF about any other school except for THE BELOVED💪🏾🔸️🔹️💉	{'place_id': '1d9a5370a355ab0c'}
97187811	2021-07-14T17:45:39.000Z	1415366897260957699	  I went to college in southern Illinois. You got the real experience.	{'place_id': '1d9a5370a355ab0c'}
32004023	2021-07-14T17:33:36.000Z	1415363866289180676	Tweeting this from a CTA bus downtown like I’m not back in the city and ready to go out tonight 🤫	{'place_id': '1d9a5370a355ab0c'}
541284940	2021-07-14T16:35:39.000Z	1415349283457540097	Early morning singing/wrestling or should say grappling lol...all they long until they go out ,play & feel tired 😂😂😂🙌🏻 next pics 	{'place_id': '088c56ad174b8e80'}
897304869010386944	2021-07-15T22:13:40.000Z	1415796737038602245	Cesar is going out with the boys today and he don’t know how to act lol that boy never gose out lol I’m on babysitting duty today 😆	{'place_id': '227d358f6ed8d29e'}
794536920596541440	2021-07-15T17:20:03.000Z	1415722845141884928	i just tested positive for covid-0 even after being vaccinated. the variants aren’t a joke. if you feel sick, stay home gopuff has rapid tests. i am the 0th person i know of to test positive after going out this weekend. why did bars stop asking for vaccination cards? 	{'place_id': '1d9a5370a355ab0c'}
261495952	2021-07-15T09:59:18.000Z	1415611927158525960	When you go out for a walk in your new neighborhood!  	{'place_id': '1d9a5370a355ab0c'}
922005789195333632	2021-07-15T04:25:07.000Z	1415527823859650567	 I'm going to go out on limb and say NBA ain't letting Book who at times more than not ain't the best player on his team or can't stop his counterpart from out playing him get a ring over 0 time NBA MVP and preferred next face of the league Giannis/Doncic Hope I'm wrong for CP0 🤔	{'place_id': '1d9a5370a355ab0c'}
30744173	2021-07-15T03:22:22.000Z	1415512034272333826	 This man needs help. He needs to be in love with going back to school and getting a education. That was so dumb to use all his money on something he knew nothing about.🤯🤯🤯🤯🤯	{'place_id': '1d9a5370a355ab0c'}
730797381030055936	2021-07-15T02:38:38.000Z	1415501030196924416	   First of all yall don't belong in the AAC go play some grade school teams to feel good about your bullshit football program usf is a God damn fuckin disgrace to college sports	{'place_id': '50f296a1bd4198b6'}
972521408264835072	2021-07-16T22:17:09.000Z	1416159997617131520	Our deepest condolences go out to the Cooper family. Sending you our love & light. Please let us know how or if you would like us to be apart of your healing process. RIP  💜🕊 	{'place_id': '1d9a5370a355ab0c'}
171051502	2021-07-16T21:36:55.000Z	1416149874790305792	"“In going out I found was really going in."" John Muir… today’s walk through the arboretum was good to clear the mind. Day 0 of summer, 0 days remain… going to make them count    "	{'coordinates': {'type': 'Point', 'coordinates': [-88.06898117, 41.81316275]}, 'place_id': '6af99a29bfae42a2'}
790886306	2021-07-16T19:30:35.000Z	1416118080401338368	These cramps are killing me and I don’t want to go to work 😩	{'place_id': '1d9a5370a355ab0c'}
21337016	2021-07-16T18:04:17.000Z	1416096364010823690	  Kids more at risk driving to school than of Covid. Why not advocate for tougher driving laws for teenagers?	{'place_id': '72efa03540804278'}
47731704	2021-07-16T17:13:20.000Z	1416083542476562438	Chicago if you around it’s Going down Tuna about to go to work this gone be fun tune in!!! If not PpV  available @ Chicago, Illinois 	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
963508806	2021-07-16T15:21:54.000Z	1416055498583982082	 Well NOTHING😭you can’t even go out for lunch but you wanna go out of town 	{'place_id': '1d9a5370a355ab0c'}
261514017	2021-07-16T15:06:34.000Z	1416051641174872070	I’ve tried to go out with men I’ve “forgive” or even engage in conversation and I truly don’t want to. If u didn’t take me into account then ima give u want u want. Bye bitch 😂	{'place_id': '1d9a5370a355ab0c'}
22175036	2021-07-16T13:32:32.000Z	1416027974789484544	"One of the best decisions I made was leaving the streets and going to college. It kept my ass out of prison and put her and I directly in each other's path. ""The Pub II"" Illinois State University  😊 "	{'place_id': '1d9a5370a355ab0c'}
3290582202	2021-07-16T12:49:28.000Z	1416017137504768000	Ugh I don’t feel like going to work	{'place_id': '1d9a5370a355ab0c'}
1072012242302971905	2021-07-16T05:00:36.000Z	1415899142807818248	Wow I turned down going out to drink alone at neighborhood pub. Yea I say pub you cheeky fucks	{'place_id': '1d9a5370a355ab0c'}
363478742	2021-07-16T03:40:39.000Z	1415879021393498115	Sopranos going out with a bang	{'place_id': '0fb8d7b7e21d86a5'}
898044855057657856	2021-07-16T02:07:18.000Z	1415855531999350788	Not everyone arguing about who’s going out	{'place_id': '1d9a5370a355ab0c'}
21530604	2021-07-16T01:29:04.000Z	1415845908206469134	"I keep meeting chicks that's wanna go out to eat but can't spell ""RESTAURANTS"" 🤣  "	{'place_id': '222efb7ee8b98c58'}
36898630	2021-07-16T00:49:41.000Z	1415835997779210241	The mortgage we could afford if we weren’t laying down $0K+ a month for my kids to sing nursery rhymes and eat snacks in another building so my wife and I can go to work would be incredible	{'place_id': 'bbd7331f334b0e04'}
294853530	2021-07-16T00:12:29.000Z	1415826634503041025	"    He doesn't... He was TRYING to ""school"" me on grammar, but his spelling was off because he forgot the apostrophe between the ""O"", and the ""S"" in (who's)... 🤦🏾‍♂️😂😂😂😂"	{'place_id': '1d9a5370a355ab0c'}
53122252	2021-07-17T23:31:50.000Z	1416541183711526912	Hey  when you head back to school, share Journalist’s Toolbox 🧰 with your classmates. Thousands of resources, training videos and more. It’s been housed at SPJ for nearly 0 years. All free: 	{'place_id': '1d9a5370a355ab0c'}
1269398430050390018	2021-07-17T22:51:07.000Z	1416530936120975366	I have to work, I have to go to school. Add mom life, relationship and future planning.	{'place_id': '1d9a5370a355ab0c'}
1412649180028358659	2021-07-17T20:19:53.000Z	1416492875706245122	Oh the things you see when you go out in nature. I’m pretty sure that’s an eagle. I’ve never seen one from so you close. Land of the free.  Joliet rd and Harlem canoe landing 	{'place_id': 'da31845899ddf47e'}
1043595566	2021-07-17T19:53:13.000Z	1416486164341592064	I just Ubered to pick up my friends passport so she could go out. I’m a great friend	{'place_id': '1d9a5370a355ab0c'}
610145929	2021-07-17T19:45:56.000Z	1416484334324879360	I don’t get people who go out every weekend, doesn’t that ruin your week?	{'place_id': '1d9a5370a355ab0c'}
4866870628	2021-07-17T19:18:11.000Z	1416477347356848130	do y’all iron your clothes everytime you go out?	{'place_id': '1d9a5370a355ab0c'}
274136314	2021-07-17T19:12:15.000Z	1416475854029344771	I feel like taking my shirt off. I might go out tonight.	{'place_id': '1d9a5370a355ab0c'}
1452668023	2021-07-17T18:18:49.000Z	1416462407300489220	Because they believe they will gain  Demkkrat drinkers--which they won't! Can't wait until they find out they've alienated their customers & end up going out of business! 	{'place_id': '1d9a5370a355ab0c'}
1406626643553263620	2021-07-17T17:51:37.000Z	1416455561793753097	These  haters are funny. For y'all to say y'all not LeBron fans, y'all sure going out and seeing his movie I see. Trying to be movie critics and shit. 🤣 Goofy ass people I tell you. 	{'place_id': '1d9a5370a355ab0c'}
248796301	2021-07-17T15:59:40.000Z	1416427389706543107	This is the first Saturday I haven’t worked in Months! Looks like the sun is coming out through the clouds. Should probably go out, but I think I’m gonna stay in a bit call my son, enjoy being in my bed and the fact that I don’t have to be anywhere or do any damn thing.	{'place_id': '1d9a5370a355ab0c'}
4333865267	2021-07-17T15:28:12.000Z	1416419473637232644	  You do realize Grease took place in the 0s. I doubt people from different race would be socializing together much less going to school together that era. However since it is a musical is not realistic anyway. So why not.	{'place_id': '4b3758bc32868265'}
86094261	2021-07-17T15:23:42.000Z	1416418339740659712	Curious how many people go out looking for “smooth” flavor olive oil 	{'place_id': '1d9a5370a355ab0c'}
14328397	2021-07-17T14:56:11.000Z	1416411414961565699	I’m relearning how to balance my nightlife with my Muggle life. I’m def out of practice, but tbh I’ve got too much going out to get dragged into the delightful undertow of partying too hard. (Remind me I said this on Monday.)	{'place_id': '1d9a5370a355ab0c'}
177080661	2021-07-17T14:30:56.000Z	1416405058262949888	My prayers go out to Chicago 🙌🏾    	{'place_id': '1d9a5370a355ab0c'}
204472798	2021-07-17T14:04:30.000Z	1416398408143839237	Do not ask me to go out or get drunk . Cause ima say yes and I’m tireddddddd	{'place_id': '1d9a5370a355ab0c'}
15160022	2021-07-17T13:25:37.000Z	1416388621498818571	That fight it’s that club last night 🥴🥴baby that’s why I’m cool on going out	{'place_id': '1d9a5370a355ab0c'}
612107969	2021-07-17T09:34:18.000Z	1416330411052052481	Weekends are not the same to me anymore 😩 I go out more during the week now.	{'place_id': '1d9a5370a355ab0c'}
40643795	2021-07-17T08:40:44.000Z	1416316928604491777	I have really never experienced people who go out their way to hurt someone else. Like TRASHHHHH	{'place_id': '1d9a5370a355ab0c'}
1376214128734396417	2021-07-17T03:11:15.000Z	1416234011492556802	 She's the best! Idk yet. Debating on to go out, not to go out. With a cocktail of course, though. 	{'place_id': '1d9a5370a355ab0c'}
921928718217564161	2021-07-17T02:21:12.000Z	1416221418325516289	My Condolences Go Out 0 The Fam/Friends of Biz Markey, Try 0 Stay 💪🏋 in This Very Trying Time. God Bless 🙏😇 & Stay Safe 😷 + RIH Biz 🙏😇💯	{'place_id': '6b029ca925395e1b'}
803991183999594497	2021-07-17T01:04:14.000Z	1416202046739525632	Seriously killing it tonight. Doing a new 0 piece puzzle but super easy. I should be done by the time my zquil kicks in. All 0 babies snoring. Remember getting so excited to go out? Fk that noise.  🤣🤣	{'place_id': '1d9a5370a355ab0c'}
78687872	2021-07-17T00:29:40.000Z	1416193347820064773	 I am not sure I have seen him in the past year but that might just be due to not really going out a lot from the whole covid thingy.	{'place_id': '1d9a5370a355ab0c'}
1237149610369523716	2021-07-18T23:06:33.000Z	1416897207802945539	There goes Credit Karma.  Just when I just started to like them.  I'm late to the party as I thought it would go out of business long time ago....until they offered FREE stuff.	{'place_id': '1d9a5370a355ab0c'}
1263264718002835457	2021-07-18T22:18:59.000Z	1416885236537991168	 I used to go to school with big boss because I have 0 days to live! Well Fuck me 	{'place_id': '1d9a5370a355ab0c'}
921928718217564161	2021-07-18T18:41:52.000Z	1416830595460702218	  Lil Bruh if don't 0 many Ppl don't have Faith in U I do. So Go Out & Prove The Naysayers Wrong & Do The D*MN THANG 💪🏋👹😷🙏😇🏈💯	{'place_id': '1d9a5370a355ab0c'}
1304129868	2021-07-18T17:36:10.000Z	1416814062558715905	   Nice! I need the  to go out and play AL West to knock out most of the rest of em!	{'place_id': '1d9a5370a355ab0c'}
848153670	2021-07-18T15:16:28.000Z	1416778905298653192	why did i agree to go out last night 🥴	{'place_id': 'b23478d3162b126e'}
1231715548326703107	2021-07-18T10:56:11.000Z	1416713406346842112	      His nails look ugly. He can like it all he wants and you can suck his dick for it. We don’t care, It’s still gonna be ugly and pointless to us, just like y’all comments defending a stranger for nothing. Go to work and get off Twitter.	{'place_id': '1d9a5370a355ab0c'}
1261155084	2021-07-18T07:47:13.000Z	1416665850036342784	Going out after work is fun and all til everywhere you go your back gotta get checked	{'place_id': '1d9a5370a355ab0c'}
29905725	2021-07-18T01:26:59.000Z	1416570160295682054	not me wanting to go out but my muscles are so sore i'm sunk into my couch	{'place_id': '1d9a5370a355ab0c'}
