74866680	2020-02-24T23:26:50.000Z	1232084501314052096	      The two maps have different meetup spots.	{'place_id': '610a668f55d64af2'}
1252049250	2020-02-24T00:36:22.000Z	1231739609589088256	I’m finna go to sonic for a drink, McDonald’s for some cookies, and checkers for my food	{'place_id': '1c69a67ad480e1b1'}
106672381	2020-02-24T00:32:59.000Z	1231738760326471683	probably at the mall, going to the movies, or getting ready for a function. 	{'place_id': '1c69a67ad480e1b1'}
1110733114291175424	2020-02-24T00:05:00.000Z	1231731718459154437	i cried so much at this wedding... how will i do at my own?	{'place_id': '017911cc6957fe54'}
731865039242559489	2020-02-25T23:11:23.000Z	1232443001705660416	So who wanna go on a Date? 	{'place_id': '1c69a67ad480e1b1'}
1137826395801948160	2020-02-25T22:53:54.000Z	1232438598143631360	Headed out for a drink. You know where to find me.	{'place_id': '1c69a67ad480e1b1'}
468125405	2020-02-25T22:47:37.000Z	1232437017943793666	Haven’t been to the gym in a weeks... my dumbass would forget my preworkout at home 😩😩	{'place_id': '1c69a67ad480e1b1'}
123740188	2020-02-25T22:31:46.000Z	1232433029177458688	To eat at home or eat out 🤔	{'place_id': '1c69a67ad480e1b1'}
74806653	2020-02-25T22:11:05.000Z	1232427823379423234	Hey . my wife and I will be visiting Hawaii next year for our 0 year wedding anniversary! Are we able to visit?	{'place_id': '1c69a67ad480e1b1'}
1421722604	2020-02-25T21:56:37.000Z	1232424185160437760	  This is a great episode I listened to that Cuk podcast you all spoke of and it was definitely a positive experience for the husband and wife on their wedding day!	{'place_id': '1c69a67ad480e1b1'}
3015898164	2020-02-25T21:51:56.000Z	1232423006481330176	Whattttt? Not only is  hosting their annual salsa workshop, but they’re also have a party after to show off what your learned!!! 	{'place_id': '07d9e38294c83000'}
831279725914050560	2020-02-25T21:41:15.000Z	1232420315587842048	Hosting a wedding reception in 0 I’m excited .	{'place_id': '1c69a67ad480e1b1'}
125442953	2020-02-25T21:27:25.000Z	1232416836211351554	 Unfortunately I had to deposit a money order and the mobile app didn’t allow me to do that. I waited for 0 minutes and was late to pick up my wedding dress. Thanks though.	{'place_id': '01e74c422dab6107'}
390122616	2020-02-25T21:05:28.000Z	1232411310098395138	I’m going to the movies 0 deep 😂 snoop say that’s some lonely ass shit	{'place_id': '1c69a67ad480e1b1'}
625121777	2020-02-25T20:51:09.000Z	1232407709942714368	i need to start going to the gym again 🥱	{'place_id': '1c69a67ad480e1b1'}
4678472900	2020-02-25T20:27:24.000Z	1232401732321370113	I wish I was motivated enough to consistently go to the gym 🥴	{'place_id': 'dd443cdeaaf05242'}
974121437492580352	2020-02-25T19:33:14.000Z	1232388102221594631	       It's true of 0.0% of politicians.I can think of only 0 that ran without the intention of bowing to the party James Polk, and George Washington.Most discover that once they are president they have more constraints than they thought to have.	{'place_id': '1c69a67ad480e1b1'}
409239986	2020-02-25T19:33:01.000Z	1232388047838248960	Idc if you go to church every Sunday, if you stop at yellow lights you’re going straight to hell	{'place_id': '1c69a67ad480e1b1'}
202432525	2020-02-25T16:35:52.000Z	1232343464467148801	So if you want to go to the concert and don’t wanna go by yourself, or just want to go with a group of people then just lmk	{'place_id': '3e82edc94d5c5ce1'}
234575527	2020-02-25T16:22:00.000Z	1232339974709809152	I called myself trying to go to the gym😂🥴	{'place_id': '1c69a67ad480e1b1'}
831279725914050560	2020-02-25T16:03:36.000Z	1232335342956662784	Let me go to the gym and run these titties off	{'place_id': '1c69a67ad480e1b1'}
18948916	2020-02-25T14:17:51.000Z	1232308731121147909	TONIGHT! The hottest Mardi Gras Party in Houston is back! ⚜️💛💜💚                … 	{'coordinates': {'type': 'Point', 'coordinates': [-95.4846735, 29.7326979]}, 'place_id': '1c69a67ad480e1b1'}
1173619915	2020-02-25T14:06:10.000Z	1232305789563539458	make sure to get ur ass to the gym too 😤	{'place_id': '1c69a67ad480e1b1'}
1079576652181585923	2020-02-25T13:41:53.000Z	1232299682048741377	So...Doing a bit of thinking about self care one of which involves going back to the gym. Reading horror tweets about being a man at a gym... I might reconsider the gym.	{'place_id': '1c69a67ad480e1b1'}
35222762	2020-02-25T13:12:08.000Z	1232292195505446917	I'm late to the party! Are you? If you are not following  you are missing out! LFG	{'place_id': '1c69a67ad480e1b1'}
516885343	2020-02-25T11:38:15.000Z	1232268568961703937	No lie guys when I go to the gym this is what my motivation looks like in my head🙂 	{'place_id': '1c69a67ad480e1b1'}
1003835928635494400	2020-02-25T09:24:07.000Z	1232234812087373824	Is it to early to go to the gym ??	{'place_id': '1c69a67ad480e1b1'}
576905741	2020-02-25T06:54:44.000Z	1232197219480109056	ok im going to start going to the gym frfr now	{'place_id': '1c69a67ad480e1b1'}
94018485	2020-02-25T05:14:49.000Z	1232172070903144449	I’m fairly certain that I lost my first wedding ring in a topless dancers vagina once.	{'place_id': '1c69a67ad480e1b1'}
886440180126580736	2020-02-25T04:38:50.000Z	1232163016625598464	my 0 y/o body coming in 🤣 it prolly would’ve been here by now if i wasnt allergic to the gym	{'place_id': '1c69a67ad480e1b1'}
77569012	2020-02-25T04:37:28.000Z	1232162673485283328	I wanted to gain weight and now I’m bouta be shaped like a washing machine. I’m going to the gym man	{'place_id': '1c69a67ad480e1b1'}
958141246178037760	2020-02-25T04:11:45.000Z	1232156202018201600	Fuck around buy her a wedding ring	{'place_id': '343ecdd7da8dfae0'}
1047674443093463042	2020-02-25T04:06:51.000Z	1232154968813166594	“Kid’s this is Downtown Pasadena Tx where Friday night’s you go to ojos locos,Saturday night you get shit wasted at the club and to end the weekend you go to church on Sunday “ 	{'place_id': '3e82edc94d5c5ce1'}
273802033	2020-02-25T04:05:48.000Z	1232154706102935553	It's finally safe to go back to the gym! Murdered the Monday workout. 0 Days until the Dalas Mini Series.I challenged myself last tournament to score 0 goals. Ive got a new challenge of 0 assist from tedwardio… 	{'coordinates': {'type': 'Point', 'coordinates': [-95.43382, 30.05573]}, 'place_id': '1c69a67ad480e1b1'}
570075990	2020-02-25T03:37:38.000Z	1232147616093425666	Didn’t make it to the gym today & I feel guilty Af	{'place_id': '1c69a67ad480e1b1'}
3287186250	2020-02-25T03:37:19.000Z	1232147534799364098	ugh ik im not like really dedicated to the gym cause i kinda barely go and i just hope that still does something LOL	{'place_id': 'bcb210d6cf34438a'}
379679968	2020-02-25T03:06:15.000Z	1232139716033642498	Me and Edén get so sleepy during his bath time. It’s bedtime for him but I gotta get to the gym 😪	{'place_id': '3e82edc94d5c5ce1'}
4551461822	2020-02-25T02:36:11.000Z	1232132151988178946	 Most people have given up on the church as an institution rather than set aside their faith. Even small churches have been known to become corrupt when it comes to collecting tithes and such. Does a Christian have to got to church to stay Christian?	{'place_id': '068b4c1c10716fd5'}
33803611	2020-02-25T02:32:38.000Z	1232131258999885824	To our wedding guest who plan on attending, please please please complete the form that was sent to your email ASAP. I have over 0 forms that need to be completed in the next 0 days. . and guess who has to look all that info over to make sure it’s all correct, me. 	{'place_id': 'bcb210d6cf34438a'}
412604315	2020-02-25T02:30:58.000Z	1232130839758196737	Me after suggesting  to have  cater his wedding 	{'place_id': '1c69a67ad480e1b1'}
2905504878	2020-02-25T02:10:53.000Z	1232125783474307072	I got money on me who wanna go on a date ?	{'place_id': '8935eb0e13a342db'}
29248225	2020-02-25T02:08:10.000Z	1232125101094600704	 congratulations to you and Mariana on your wedding.	{'place_id': '343ecdd7da8dfae0'}
489006445	2020-02-25T02:07:06.000Z	1232124833149878273	If my significant other isn’t down to have our first dance song at our wedding be when I look at you by Miley Cyrus than they aren’t the one	{'place_id': 'c484d6c5cd72beb0'}
762046361571176453	2020-02-25T01:56:25.000Z	1232122144831758336	Extraaa expensive 🥺 but my best friends wedding is a must some kinda way 🥰🤧🤞🏽 	{'place_id': '1c69a67ad480e1b1'}
1671901412	2020-02-25T01:49:27.000Z	1232120388672507904	The wedding ring is an emblem of love through time, a symbol of devotion and an agreement between two parties to love and cherish one another for the rest of their days. Wedding rings are, of course, circular in… 	{'coordinates': {'type': 'Point', 'coordinates': [-95.446, 29.8619]}, 'place_id': '1c69a67ad480e1b1'}
2217578568	2020-02-25T01:49:22.000Z	1232120369475194880	Of course Peter is flying on a date  	{'place_id': '1c69a67ad480e1b1'}
172902711	2020-02-25T01:33:42.000Z	1232116428356149249	I would’ve killed him..... bitch don’t tell me u bi 0 days before the wedding and say I’m tripping wtf?! 	{'place_id': '1c69a67ad480e1b1'}
734938894781710336	2020-02-25T01:28:06.000Z	1232115016519815169	really wanted to go to the gym but i can’t stop coughing 😷	{'place_id': '1c69a67ad480e1b1'}
573217931	2020-02-25T01:24:27.000Z	1232114100894867461	The last details going up in the hall leading to the gym  🧡🐾🐆🖤 	{'place_id': '0f515b405e577007'}
201801141	2020-02-25T00:40:43.000Z	1232103095250886656	This part made me smile because he was def thinking about her needing her own space to work—I am ready for this wedding!  	{'place_id': '1c69a67ad480e1b1'}
862398235	2020-02-25T00:19:56.000Z	1232097862009458688	I don’t have the energy to go to the gym later but I had already made plans w Krystian :(	{'place_id': '1c69a67ad480e1b1'}
1488927060	2020-02-25T00:17:56.000Z	1232097359137509376	Why do I always come to the gym when it’s packed 😅 I never learn	{'place_id': '1c69a67ad480e1b1'}
546298818	2020-02-26T23:59:11.000Z	1232817416847155202	Who selling food stamps since y’all gone be eating out with y’all taxes 🧐	{'place_id': '1c69a67ad480e1b1'}
3287246100	2020-02-26T23:28:46.000Z	1232809764263997443	My mom wants me to go to church w her and I can’t rlly say no but I’m tipc affff fml	{'place_id': '1c69a67ad480e1b1'}
308697111	2020-02-26T23:26:49.000Z	1232809272897163267	Finally headed to the gym.	{'place_id': '1c69a67ad480e1b1'}
1616004078	2020-02-26T23:10:25.000Z	1232805144527560704	All about having a good time.. any time I go to a party I try to have good time 🤦🏽‍♂️ ppl just be boring most the time 	{'place_id': '1c69a67ad480e1b1'}
212444821	2020-02-26T22:47:05.000Z	1232799272237752322	Working on inventory for spring market next month.          @ Southbelt - Ellington, Houston 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.21299523, 29.60987982]}}
1188813701173956609	2020-02-26T22:40:49.000Z	1232797694499807234	 LMFAOOO noe over here going extra hard at the gym to look good for Abel I died 😂😂😂 when u go shopping LMK! we can go together	{'place_id': '1c69a67ad480e1b1'}
1188813701173956609	2020-02-26T22:35:38.000Z	1232796390218031104	  Time to go shopping for a outfit lmao	{'place_id': '1c69a67ad480e1b1'}
339901727	2020-02-26T21:01:07.000Z	1232772604437594112	Been to the gym the last 0 days and today I’m regretting that decision. 	{'place_id': '1c69a67ad480e1b1'}
243048524	2020-02-26T21:00:03.000Z	1232772336769753090	every time I come to the gym I feel so intimidated 😔	{'place_id': '2a9e190efe38237e'}
220226814	2020-02-26T20:59:21.000Z	1232772159778500608	Wedding Cake😋 	{'place_id': '07d9ca4e91481000'}
1668970010	2020-02-26T20:53:29.000Z	1232770683492585472	i cant wait to go to the gym!!!!!!	{'place_id': '1c69a67ad480e1b1'}
120912840	2020-02-26T20:49:44.000Z	1232769739006652417	Went to the gym and actually ran on the treadmill	{'place_id': '1c69a67ad480e1b1'}
167265414	2020-02-26T20:07:42.000Z	1232759163782156288	😁Today is The Last Day To Secure Early Registration Tickets!!! ⁣ ⁣-😫Are you struggling with your current event/wedding planning business? ⁣⁣-🤔Or are you thinking of starting your own event/wedding planning… 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}}
3159903019	2020-02-26T19:19:17.000Z	1232746978255233024	let’s see if bree takes me on a date fr.	{'place_id': '1c69a67ad480e1b1'}
2263309443	2020-02-26T19:07:07.000Z	1232743915461046272	I brought Amachi to church but I don’t know what time it ends and she left her phone at the house 🥴	{'place_id': '1c69a67ad480e1b1'}
29115614	2020-02-26T19:02:16.000Z	1232742696315490313	Need this played my wedding. 	{'place_id': '1c69a67ad480e1b1'}
33803611	2020-02-26T18:52:14.000Z	1232740168911720448	I can’t wait to joke about these forms at the wedding. This admin work is a whole different stress level.	{'place_id': 'bcb210d6cf34438a'}
801212437	2020-02-26T18:49:14.000Z	1232739417439297539	Tyler and I are going on 0 days with no eating out. We’ve been staying home and cooking and it’s so nice. 🥺😭	{'place_id': '1c69a67ad480e1b1'}
74036019	2020-02-26T18:14:28.000Z	1232730665134776327	Guess who’s going back to the gym today 🤷‍♂️ yep this guy	{'place_id': '3e82edc94d5c5ce1'}
2575398414	2020-02-26T18:01:39.000Z	1232727440058986499	If I eat out this month beat my ass . Them taxes ain’t getting touched lmao	{'place_id': '343ecdd7da8dfae0'}
3016099462	2020-02-26T17:35:24.000Z	1232720832679550984	I really wanted to go to church today and i cant 😭	{'place_id': 'bcb210d6cf34438a'}
1127030695	2020-02-26T16:27:26.000Z	1232703732430917636	I need to stop being lazy and take my ass to the gym.	{'place_id': '1c69a67ad480e1b1'}
440549632	2020-02-26T16:04:32.000Z	1232697969121644547	Snorkeling in Cozumel for my birthday week and a wedding shoot 🌊📸 pics by  	{'place_id': '1c69a67ad480e1b1'}
560098179	2020-02-26T15:24:20.000Z	1232687849562103808	 please come to my wedding	{'place_id': '1c69a67ad480e1b1'}
1319600065	2020-02-26T13:46:21.000Z	1232663193086038016	damn kinda want to go to the mall today🥴	{'place_id': '1c69a67ad480e1b1'}
1085778454400905216	2020-02-26T10:13:03.000Z	1232609512890228736	I be planning a whole ass baby shower, wedding & kids bday parties on pintrest like if I have it coming up skskksk 💀💀	{'place_id': '1c69a67ad480e1b1'}
33803611	2020-02-26T07:12:35.000Z	1232564098103218177	Current mood for wedding admin: 	{'place_id': 'bcb210d6cf34438a'}
2452002690	2020-02-26T06:15:45.000Z	1232549796361183233	Sunday - cook Monday - leftoverTuesday - cook Wednesday- leftover Thursday - cook Friday & Saturday we eating out 😂	{'place_id': '1c69a67ad480e1b1'}
1090749594802245632	2020-02-26T04:48:34.000Z	1232527856162484224	Those are the ones that gotta be taken to church every Sunday before you end up in the front row seat of a car on the Highway to hell 😭  	{'place_id': '1c69a67ad480e1b1'}
1519697522	2020-02-26T04:36:00.000Z	1232524692910739456	This past Sunday, 0.0 our Sister Queens holimamma hosted their sold-out Doula Meetup, the first of the year, and it was magical. Doulas, Midwives, and Advocates gathered in the sacred space to exemplify… 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.374931, 29.724775]}}
466271076	2020-02-26T04:24:50.000Z	1232521881753915397	Going to the gym relieves so much of my stress	{'place_id': '1c69a67ad480e1b1'}
817357314839769088	2020-02-26T03:58:55.000Z	1232515359045046272	 I’m wearing sandals to the gym tomorrow in your honor 🤝	{'place_id': '709bd7926033f0c9'}
1057102235480547329	2020-02-26T03:39:39.000Z	1232510513428533250	Tomorrow bout to be a cold ass run to the gym but ima get through. Trouble don’t last always.	{'place_id': '1c69a67ad480e1b1'}
173903258	2020-02-26T03:26:29.000Z	1232507196157693953	Gonna add fasting cardio before work to the gym routine, wish me luck. 😭	{'place_id': '1c69a67ad480e1b1'}
21154615	2020-02-26T02:59:23.000Z	1232500376181575680	 These people are not your friends. Lala just trashed you along side Jax and disinvited your man to this wedding and replaced him with someone else! Fuck these people!!!! 🐍	{'place_id': '1c69a67ad480e1b1'}
27989444	2020-02-26T02:35:20.000Z	1232494327399505921	 Jax is really showing who he really is tonight and always has been , a homophobic SOB, doesn’t even want his own mother at his wedding because he’s trashy liar	{'place_id': '01e986b204ff5847'}
21154615	2020-02-26T02:26:39.000Z	1232492142213390336	Ran is in the wedding cause he is Rich 	{'place_id': '1c69a67ad480e1b1'}
21154615	2020-02-26T02:05:35.000Z	1232486837047808001	Omg! Who holds being in a wedding over someone.  	{'place_id': '1c69a67ad480e1b1'}
2975611397	2020-02-26T02:03:38.000Z	1232486348616945664	Debating if i should go to the gym 🤔	{'place_id': '1c69a67ad480e1b1'}
359458098	2020-02-26T01:44:24.000Z	1232481506783662081	Okay, I understand why y’all Stan Madison and all, but like she signed up to be on the Bachelor, knowing good and well the fantasy suite is a thing and knowing Peter would probably sleep w other girls on the show.. like??? Go to church and find you a man, not 	{'place_id': '1c69a67ad480e1b1'}
2278284780	2020-02-26T01:03:16.000Z	1232471156000641025	"  I'm on page # "" girl let me take you out on a date"" ;)"	{'place_id': '1c69a67ad480e1b1'}
3148937911	2020-02-26T00:59:02.000Z	1232470090802585600	Going to the gymLife: feeling meaningless	{'place_id': '1c69a67ad480e1b1'}
2636446515	2020-02-26T00:04:19.000Z	1232456322009841664	Can I just clock out and go to the gym?	{'place_id': '1c69a67ad480e1b1'}
24000572	2020-02-27T23:42:37.000Z	1233175634261749761	Jessica knew she wasn’t going to marry mark that’s why he didn’t meet her family and they didn’t come to the wedding.  	{'place_id': '1c69a67ad480e1b1'}
345031390	2020-02-27T23:09:56.000Z	1233167410653360128	I just got the sudden urge to go to the mall ....	{'place_id': '1c69a67ad480e1b1'}
706712534124900352	2020-02-27T23:00:43.000Z	1233165092176433152	I need to go shopping for some cute clothes	{'place_id': '00a488ec567255f3'}
741621269783683073	2020-02-27T22:05:18.000Z	1233151143188008961	Anybody wanna go to the mall	{'place_id': '1c69a67ad480e1b1'}
71064883	2020-02-27T21:47:28.000Z	1233146658566832129	Just finished  .... OKURR I’m so happy Lauren and Cameron made it! They are so cute and damn girl she looked fine asf in that wedding dress! I need me one like that 😛	{'place_id': '1c69a67ad480e1b1'}
1358117600	2020-02-27T21:10:33.000Z	1233137366589681664	 take me with you on a date 🥺	{'place_id': '1c69a67ad480e1b1'}
3186806779	2020-02-27T20:51:45.000Z	1233132637377777666	Downloaded bumble BFF, because all my friends are having kids or getting married. Plus in the future I can’t just have my 0 cousins and Bryan being in my wedding😂	{'place_id': '1c69a67ad480e1b1'}
483482530	2020-02-27T20:11:02.000Z	1233122388134498305	Here’s a life update just in case you were wondering: I’m addicted to carbs and coffee!! This is why I workout every day lol. Enjoy life, smile, have fun, eat something yummy and keep growing!  📸 at wedding for… 	{'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}, 'place_id': '1c69a67ad480e1b1'}
66241032	2020-02-27T19:44:50.000Z	1233115797318488065	i would like to go shopping with someone else’s money... that is all.	{'place_id': '1c69a67ad480e1b1'}
361239742	2020-02-27T18:55:15.000Z	1233103317313740803	Only person thought Jessica and Mark was getting married is Mark😭She didn’t even invite anyone to the wedding..	{'place_id': '1c69a67ad480e1b1'}
2384617562	2020-02-27T17:29:44.000Z	1233081795312259074	I don’t see how girls wanna go on a date to the butterfly museum 😭I’ll literally have a stroke from how scared I’d get	{'place_id': 'eabe7b6fd4504fff'}
760620457	2020-02-27T17:14:28.000Z	1233077954508447746	Everybody getting their hair done and eating out out, looking at cars 🤣 I’m jealous	{'place_id': '1c69a67ad480e1b1'}
165812831	2020-02-27T17:05:16.000Z	1233075640896806915	Guess who has a gift for you? Order from  and receive UP TO 0% off with my code CFBHSMTP.  The max amount is 0$ off. Guess what else, you can use my code every 0 days. Whooooohoooo thats a SUPER DEAL. Lets go shopping 🛍.  Download the  app today.	{'place_id': '1c69a67ad480e1b1'}
490042836	2020-02-27T17:04:00.000Z	1233075319814467584	Me to the gym: 	{'place_id': '3e82edc94d5c5ce1'}
71367216	2020-02-27T16:35:22.000Z	1233068116135096320	Some of y’all go to the gym, touch all this equipment and don’t even wash your hands! Wash Your HANDS You FILTHY ANIMALS!	{'place_id': '1c69a67ad480e1b1'}
