700474423	2020-08-31T23:20:32.000Z	1300574222641704964	 lol go to the gym, that’ll wake u up 😂	{'place_id': 'c81acc12d1ef4c58'}
1434258840	2020-08-31T18:48:51.000Z	1300505850331758592	I honestly wanna go on a date by myself	{'place_id': '1c69a67ad480e1b1'}
18131130	2020-08-31T16:30:12.000Z	1300470955643371525	Bike to work day.       @ Perfect Timing Wedding Planners 	{'coordinates': {'type': 'Point', 'coordinates': [-95.48297167, 29.67726834]}, 'place_id': '1c69a67ad480e1b1'}
1099939086457098242	2020-08-31T16:19:44.000Z	1300468324015501312	Y’all ever met someone that made you wanna write your wedding vows?! 😩😍🥰👏🏽	{'place_id': '1c69a67ad480e1b1'}
630356710	2020-08-31T15:02:11.000Z	1300448809223368710	 PLEASE RELEASE THIS NEW SONG EARLY I WANT TO DANCE TO IT AT MY WEDDING	{'place_id': '1c69a67ad480e1b1'}
22232222	2020-08-31T14:53:07.000Z	1300446527605952512	You answered your own question Shannon. White people go to church also. What kind if God do they worship?  You enslaved me. Jim crow me. Lynched me. And now have the nerves to dislike ME! Once again, we better check who they're praying to. It can't be Jesus father. 	{'place_id': '34a375175dbd3327'}
308697111	2020-08-31T13:20:21.000Z	1300423180016922625	I made it to the gym this morning 💪🏾	{'place_id': '1c69a67ad480e1b1'}
251889619	2020-08-31T13:12:13.000Z	1300421134387740673	I like to wear my workout gloves when I’m on my way to the gym so I can pretend I’m driving one of those old timey cars with driving gloves.  	{'place_id': '1c69a67ad480e1b1'}
3508382419	2020-08-31T11:36:28.000Z	1300397036693532683	Ine been to the gym lol really been playing	{'place_id': '1c69a67ad480e1b1'}
868263900848029697	2020-08-31T08:04:19.000Z	1300343647670599681	I wanna go on a date to see the Sun Rise 😩	{'place_id': '1c69a67ad480e1b1'}
756969628832632832	2020-08-31T07:12:16.000Z	1300330546942402561	I feel like the Adele thing isn’t that big of a deal cus she’s at a carnival not an average afternoon...Like if she wore some cultural attire at a Nigerian wedding or something, o make sense	{'place_id': '1c69a67ad480e1b1'}
397563457	2020-08-31T04:31:58.000Z	1300290210190757888	My goal this week is to not eat out	{'place_id': '1c69a67ad480e1b1'}
1103541274207010817	2020-08-31T04:00:49.000Z	1300282369782493184	 /  add music to wedding video m.	{'place_id': '1c69a67ad480e1b1'}
369091320	2020-08-31T03:59:50.000Z	1300282120473120768	ATP andrei deserves this wedding. I hope he keeps being a stay at home dad   	{'place_id': '1c69a67ad480e1b1'}
319289869	2020-08-31T03:48:02.000Z	1300279153661538306	I pulled up to the gym just to leave and get tacos 🥴	{'place_id': '1c69a67ad480e1b1'}
1005168130723852289	2020-08-31T03:09:30.000Z	1300269454333480960	wonder how beautiful you look at your wedding when im at my funeral	{'place_id': '1c69a67ad480e1b1'}
126463722	2020-08-31T03:01:05.000Z	1300267334913921025	I just left a wedding that had 0 bridesmaids	{'place_id': '1c69a67ad480e1b1'}
369091320	2020-08-31T02:56:43.000Z	1300266238661328898	Angela is being dramatic af like she can’t just have a backyard wedding in America when he gets there.  	{'place_id': '1c69a67ad480e1b1'}
19616207	2020-08-31T02:20:07.000Z	1300257026707054593	Our wedding was perfect. Even though it was small, we felt so much love from everyone virtually! And I think the rain was good luck! Our photograph annieluiphotography really captured the… 	{'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}, 'place_id': '1c69a67ad480e1b1'}
4076031373	2020-09-02T23:49:55.000Z	1301306391018307585	she makes me happy that I’m staring to go to the gym this week this is motivation !! 😭 	{'place_id': 'eabe7b6fd4504fff'}
959585610351697920	2020-09-02T23:25:01.000Z	1301300125810204674	haven’t been to the gym since last Friday 😖	{'place_id': '1c69a67ad480e1b1'}
1288598350514749442	2020-09-02T21:59:41.000Z	1301278652252991494	I have 0 months to lean out for my sister wedding LMAO	{'place_id': '1c69a67ad480e1b1'}
176114223	2020-09-02T21:36:52.000Z	1301272906874392576	  You need go shopping?	{'place_id': '1c69a67ad480e1b1'}
176114223	2020-09-02T21:34:55.000Z	1301272415658545152	  Wanna go shopping?	{'place_id': '1c69a67ad480e1b1'}
375308974	2020-09-02T21:04:34.000Z	1301264780985020416	I need this judge to grant our Motion for Continuance. Because I CANNOT go trial the day after my wedding 😅😬😳	{'place_id': '1c69a67ad480e1b1'}
64568345	2020-09-02T20:28:15.000Z	1301255640703266818	Like i really really really don’t wanna go back to the gym but i really really should 😪	{'place_id': '343ecdd7da8dfae0'}
187190819	2020-09-02T19:48:36.000Z	1301245662303080448	Went to the mall and hauled ass to get there only to forget the one thing i Went there to buy 🙄🙄🙄	{'place_id': '1c69a67ad480e1b1'}
123899326	2020-09-02T18:57:46.000Z	1301232867842949120	Update: still haven’t even looked for a dress and the wedding is next month 🥴	{'place_id': '1c69a67ad480e1b1'}
81367147	2020-09-02T18:47:18.000Z	1301230234474348546	Watching the wedding singer , she paid this man in meatballs 😂😭😭	{'place_id': '1c69a67ad480e1b1'}
835763629	2020-09-02T18:41:49.000Z	1301228853763997704	WEDDING WEDNESDAY!Celebrating love in these times can be tough, and we are with you for all of the couples that have had to change plans during this time. If yours have changed, we're here to help! Please contact… 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.35995313, 29.75251138]}}
308697111	2020-09-02T18:36:17.000Z	1301227463687757824	Gotta go back to the gym today for cardio!	{'place_id': '1c69a67ad480e1b1'}
36024495	2020-09-02T18:23:18.000Z	1301224196517879811	Bia Bia just came on via shuffle and i’m on my way to the gym turnt like i’m headed to a basement party my freshmen year in high school!	{'place_id': '1c69a67ad480e1b1'}
919869007	2020-09-02T17:46:55.000Z	1301215039395893249	i still eat out everyday. 	{'place_id': '1c69a67ad480e1b1'}
1212966655376019456	2020-09-02T17:13:20.000Z	1301206586187280384	Not going to church on Sunday thinking the fam finna be right bacc but mom took them to the Chinese restaurant and the water park after. 	{'place_id': '1c69a67ad480e1b1'}
30047943	2020-09-02T16:50:45.000Z	1301200904734019588	She was so gracious and beautiful even though she didn’t get the wedding she’d imagined. To quote her “...I just want to marry my Stephen” and so she did✨————————————————————————… 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}}
2841829585	2020-09-02T15:43:42.000Z	1301184030411493387	Hartman Pirates Students and Parents ‼️ Don’t forget about Meet the Teacher TODAY @ 0:0 pm! Scan or use link:  	{'place_id': '1c69a67ad480e1b1'}
1029496045175300098	2020-09-02T14:26:04.000Z	1301164493804838912	Running around taking these pictures last night alllmmooost felt like we were going to a concert. I'm fortunate enough to not depend on the industry to support my family, but many of my friends aren't as lucky. Hit… 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}}
327237124	2020-09-02T13:59:42.000Z	1301157860131450881	the first time i stopped going to church was cause my pastor was being a whore and fw the whole congregation and i just couldn’t let his ass sit up and lie to me no more. lmao	{'place_id': '1c69a67ad480e1b1'}
3451163352	2020-09-02T13:12:05.000Z	1301145874173755399	Whos down to go shopping today :(	{'place_id': '7543692056063d2f'}
55075943	2020-09-02T11:22:15.000Z	1301118234930937859	I’m a huge   fan bro I’m so mad I can’t go to a concert 😭😭😭	{'place_id': '1c69a67ad480e1b1'}
42470399	2020-09-02T10:40:51.000Z	1301107815151546368	 I was like that for weeks. And then I started going to the gym	{'place_id': '1c69a67ad480e1b1'}
1275225172040192005	2020-09-02T04:18:52.000Z	1301011688297291777	tried to take a girl out on a date bowling on a Tuesday where it’s gone be like 0 dollars for 0 but instead now I gotta wait till Saturday to take her and it’s gone be like 0 	{'place_id': '1c69a67ad480e1b1'}
392744360	2020-09-02T03:59:49.000Z	1301006894165786624	I’m working a 0 hour shift tomorrow and if I don’t get a lunch break to go to the gym I’m sleeping on the floor.	{'place_id': '1c69a67ad480e1b1'}
1062934335349817344	2020-09-02T03:46:35.000Z	1301003563628404737	I wanna get dressed up and go on a date lol	{'place_id': '3e82edc94d5c5ce1'}
2196387582	2020-09-02T01:44:03.000Z	1300972727826894849	Sometimes when I go to a party I’ll jump through the pong table in the first 0 minutes just to ruin that for everyone the rest of the night	{'place_id': 'bcb210d6cf34438a'}
1059279822868934657	2020-09-02T01:09:42.000Z	1300964083634712585	I came on a date with this guy who was my waiter. Ended up in a hotel with him and we are about to shower together and than to a reverse happy hour	{'place_id': '1c69a67ad480e1b1'}
630356710	2020-09-02T00:32:34.000Z	1300954734908579840	sitting on my kitchen floor crying bc my grandmas doctor told her traveling here (for my wedding) would probably kill her dude FUCK CANCER & FUCK COVID	{'place_id': '1c69a67ad480e1b1'}
753811850341384192	2020-09-02T00:18:12.000Z	1300951121075351553	I don’t get why people wear hats to the gym	{'place_id': 'cf3b45e29c2c319b'}
48067884	2020-09-03T23:38:29.000Z	1301665903751434240	What girl wants to go on a date with me? We can fuck Houston up exploring getting to know each other. And I LOVE to travel! East coast, west coast, the rest of the south, overseas.....where we at? 	{'place_id': '1c69a67ad480e1b1'}
636796484	2020-09-03T22:42:18.000Z	1301651764551266315	Exactly one month till our wedding day. 💍👰🏻🤵🏻	{'place_id': '0120bae54df50356'}
36319632	2020-09-03T22:28:36.000Z	1301648313788313603	My BF moved back to Houston & I’m just here to let him know that we cannot go on a date every damn day 🥴😂	{'place_id': '1c69a67ad480e1b1'}
468774572	2020-09-03T20:11:41.000Z	1301613859917180933	Pulled up to the gym but don’t wanna go inside anymore:/	{'place_id': '1c69a67ad480e1b1'}
1212966655376019456	2020-09-03T19:34:21.000Z	1301604463967375361	Most cringe thing I ever done 0-0I used to hook up with this girl named Sam and she had a boyfriend named Orlando my initial also begins with a O.So we went to the mall and I got her a shirt that said S n O 0 Eva 🤦🏿‍♂️ she literally wore it around her bf and me. Sheesh	{'place_id': '1c69a67ad480e1b1'}
48067884	2020-09-03T18:54:40.000Z	1301594478499766274	I would question everything while secretly looking for a wedding dress. 	{'place_id': '1c69a67ad480e1b1'}
344841250	2020-09-03T18:42:14.000Z	1301591349364428801	Omg September is every bodies birthday, wedding, baby shower I’m gunna go broke buying presents. Send me a save the date now or i’m showing up empty handed. 🔪🔪🔪🔪	{'place_id': '1c69a67ad480e1b1'}
1278479107630587904	2020-09-03T18:10:24.000Z	1301583337337876489	I’m going to the gym because I’m fat wtf	{'place_id': '1c69a67ad480e1b1'}
23777471	2020-09-03T17:41:18.000Z	1301576013239988224	My  wedding was the best. That is all. 	{'place_id': '1c69a67ad480e1b1'}
2756701469	2020-09-03T17:33:09.000Z	1301573963949256711	Def going to the gym today	{'place_id': '1c69a67ad480e1b1'}
892080719371137024	2020-09-03T17:15:45.000Z	1301569583044853761	Even though I haven’t been to church god still been with me 🤞🏽🛐	{'place_id': '1c69a67ad480e1b1'}
24754580	2020-09-03T17:09:11.000Z	1301567929469861890	My so called “Christian” extended family condemning to hell bc I don’t go to church 😂😂 I have to laugh bc I don’t even believe in hell! Nor do I believe in the Bible! 	{'place_id': '01e986b204ff5847'}
2220710176	2020-09-03T16:48:11.000Z	1301562647947743237	tell me why i came to the gym only to realize i didn’t bring my airpods.. mad rn	{'place_id': '1c69a67ad480e1b1'}
1954463184	2020-09-03T16:21:37.000Z	1301555962332012547	 Back when I went to church regularly, we had a PARTY for Martin Luther's birthday to celebrate him and how he created Protestantism. When I voiced my thoughts on his horrific anti-Semitism, I was told to stop being so negative.	{'place_id': '1c69a67ad480e1b1'}
3420346572	2020-09-03T16:11:19.000Z	1301553370893819906	 wake yo bitch ass up already. I’m trying to go to the gym 😤😤😤	{'place_id': 'bcb210d6cf34438a'}
3674214266	2020-09-03T15:15:30.000Z	1301539323041517571	I’m extremely introverted, how the hell am I going to deal with the reception at my wedding?	{'place_id': '1c69a67ad480e1b1'}
575846926	2020-09-03T11:05:28.000Z	1301476397786050560	 !!!! By the time I get off work and go to the gym, Im beat. I hate being an adult 😭	{'place_id': '1c69a67ad480e1b1'}
2248407720	2020-09-03T06:27:05.000Z	1301406340561108992	Jesus I need to go shopping tomorrow...that’s what I’ll do. Like for work clothes..	{'place_id': '1c69a67ad480e1b1'}
397563457	2020-09-03T06:01:10.000Z	1301399818963648512	I definitely said I wasn’t going to eat out but man I’m right next to a Waffle House.	{'place_id': '1c69a67ad480e1b1'}
3102840416	2020-09-03T05:31:54.000Z	1301392452750839808	I went to the gym today worked my ass off just to end up going to jack in the box.... why am I like this 😭	{'place_id': '1c69a67ad480e1b1'}
792820407082508288	2020-09-03T05:19:21.000Z	1301389295601758208	"Savannah - 0x0/0 ""Wedding Belle Blues"" (0)  via "	{'place_id': '1c69a67ad480e1b1'}
456806800	2020-09-03T04:52:31.000Z	1301382541270806528	He Gone Tell Me I Know Not To Take You Out On A Date When The Rockets Are Playing	{'place_id': '1c69a67ad480e1b1'}
898806457	2020-09-03T04:47:12.000Z	1301381203963138048	if i had gf i would tell her no if she asked to go eat out	{'place_id': '1c69a67ad480e1b1'}
2387714378	2020-09-03T04:17:59.000Z	1301373852363218944	Weddding Bangerz 🔥Here’s a few of my favorite wedding bops to get the dancefloor rocking 💃🏻  	{'place_id': '1c69a67ad480e1b1'}
967285143793782784	2020-09-03T03:07:16.000Z	1301356056145276931	Back to Louisiana tomorrow for my niece wedding next week I will miss  😭😭😭😭😭🤬  😘	{'place_id': '1c69a67ad480e1b1'}
100364014	2020-09-03T02:31:21.000Z	1301347016161845248	I ended up renting a venue for my wedding, I just know I’m getting FUCKED (up)	{'place_id': '1c69a67ad480e1b1'}
421275478	2020-09-03T02:02:07.000Z	1301339659440717824	I don't think i'll ever go to a restaurant and order a salad... i'm sorry 🥴	{'place_id': '1c69a67ad480e1b1'}
967285143793782784	2020-09-03T01:24:50.000Z	1301330280020676608	The wedding is a week and a few days away. I need shoes 👠 and a back up outfit 🤦🏽‍♀️	{'place_id': '1c69a67ad480e1b1'}
3293253494	2020-09-03T00:48:09.000Z	1301321044821774336	 I want a wedding invite	{'place_id': '1c69a67ad480e1b1'}
542396133	2020-09-04T23:57:32.000Z	1302033084716658689	Yesterday I watched the extra footage we got from our wedding, and it reminds me how much I loved this day, and how much I love this man 😭❤️ 	{'place_id': '01e986b204ff5847'}
2171431057	2020-09-04T23:24:57.000Z	1302024885603127297	I wanna go on a date	{'place_id': '2994c15b7793f63d'}
1091467157026803712	2020-09-04T23:05:50.000Z	1302020074035961856	It's always a good day when the lab coat gets some action! LOL We had fun exploring what happens when heat is added to a bar of soap! I will forever be the nerd that gets excited about hands on activities! Science is super cool & definitely my FAVE!!! 👩‍🔬🥼❤🔥🤓😎😍 	{'place_id': '0fc2f80659d5b000'}
25569545	2020-09-04T22:57:48.000Z	1302018051160920065	i’m so excited to see my friends next weekend 🥺 never taking another get-together for granted	{'place_id': '1c69a67ad480e1b1'}
52235965	2020-09-04T19:28:09.000Z	1301965293304987648	I think im treat me and my little cousin on a date today since I got paid	{'place_id': '1c69a67ad480e1b1'}
98749422	2020-09-04T18:59:47.000Z	1301958151080730631	i missed going to the movies so much ive seen tenet twice this week.	{'place_id': '1c69a67ad480e1b1'}
2756701469	2020-09-04T18:48:42.000Z	1301955364846546950	Finally got gloves so I could go to the gym	{'place_id': '1c69a67ad480e1b1'}
817601051046068224	2020-09-04T18:06:38.000Z	1301944777177534468	Going shopping today, hopefully it’ll relieve some stress. 👌🏽	{'place_id': '1c69a67ad480e1b1'}
1008908544	2020-09-04T17:21:33.000Z	1301933433560748032	Guess I’ll take my man on a date this weekend or something 🤷🏽‍♀️	{'place_id': '3e82edc94d5c5ce1'}
1226394540040491009	2020-09-04T17:19:08.000Z	1301932821372702720	I need to go to the gym.. and I don’t feel like it	{'place_id': '1c69a67ad480e1b1'}
44482012	2020-09-04T16:09:52.000Z	1301915390210174977	 Until the wedding sis!	{'place_id': '1c69a67ad480e1b1'}
160671341	2020-09-04T15:25:29.000Z	1301904222057836544	So my clothes I ordered might not be here before I leave... 😒😒😒😒smh guess I’ll go to the mall today.	{'place_id': '1c69a67ad480e1b1'}
241159106	2020-09-04T14:59:52.000Z	1301897775496466433	A massage and a trip to the mall is much needed	{'place_id': '1c69a67ad480e1b1'}
50010512	2020-09-04T13:27:19.000Z	1301874486560653313	Man. Listen. Everyone is invited to my wedding when I find the one. Cuz deeeeeeeeeeez Nakers are traaaaAaaaaAaaaaash. It’s gonna take the unicorn of men for me to let the peace I have go.	{'place_id': '1c69a67ad480e1b1'}
872113288049545216	2020-09-04T13:06:38.000Z	1301869278631800832	Finally a day off, no work, no school, no virtual learning, and I was still up early and I just want to hurry and head to the gym. 🙃	{'place_id': '38d0e797745f4c5d'}
1235432091178934273	2020-09-04T09:47:07.000Z	1301819068899643392	Headed to the gym 💪🏽	{'place_id': '1c69a67ad480e1b1'}
35759303	2020-09-04T06:11:33.000Z	1301764820937695232	“wedding chapel on wheels” 	{'place_id': '1c69a67ad480e1b1'}
448553712	2020-09-04T06:04:50.000Z	1301763130427490304	 got these mushroom chocolates out here and they’re perfect for microdosing . gonna try to pull up to yoga next time w em 🤔	{'place_id': '1c69a67ad480e1b1'}
702267356	2020-09-04T05:17:48.000Z	1301751293749460993	so who’s tryna go shopping for cute lil halloween decorations at target🥰	{'place_id': '1c69a67ad480e1b1'}
234537218	2020-09-04T04:51:40.000Z	1301744718028570624	Seeing RBD live in concert as a kid was a whole experience lmao that was the last time I ever went to a concert with both my parents. Good memory.	{'place_id': '1c69a67ad480e1b1'}
193806091	2020-09-04T04:27:16.000Z	1301738575931809794	Going on a date with a narcissist is actually the worst thing ever	{'place_id': '1c69a67ad480e1b1'}
363497113	2020-09-04T03:10:31.000Z	1301719262885810177	Not having to invite internally ugly people to my wedding? Priceless ✨	{'place_id': '1c69a67ad480e1b1'}
628838045	2020-09-04T02:54:42.000Z	1301715281224642560	 always late to the party but yo nun was tha same wutang forevr	{'place_id': '1c69a67ad480e1b1'}
611305033	2020-09-04T02:27:04.000Z	1301708327941005312	Can I take you on a date first ? 	{'place_id': '1c69a67ad480e1b1'}
946849340	2020-09-04T01:45:45.000Z	1301697928227098629	 I’ve been deprived of so many classics! I was either too young when they came out or just didn’t go to the movies to see them. 	{'place_id': '1c69a67ad480e1b1'}
4827109994	2020-09-04T01:41:05.000Z	1301696754715439104	I’m finna head to the gym	{'place_id': '1c69a67ad480e1b1'}
396723591	2020-09-04T01:30:21.000Z	1301694053277413377	Went to the gym instead of Cinnabon, i let them down lol	{'place_id': '1c69a67ad480e1b1'}
289671337	2020-09-04T01:26:57.000Z	1301693200466423808	Spending around 0k a month on eating out is a no go. That’s 0k+ a year g 😩 I’m tweaking	{'place_id': '1c69a67ad480e1b1'}
105293006	2020-09-04T01:16:26.000Z	1301690553340436481	Let us be your wedding planner. 0.0.0          … 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.71928, 29.7717]}}
417939589	2020-09-04T01:14:29.000Z	1301690060597846021	Destination wedding or venue in Houston?	{'place_id': '1c69a67ad480e1b1'}
272513031	2020-09-04T01:07:37.000Z	1301688332922093571	Mfers be going to the gym in crocs dawg...	{'place_id': 'cc480e2388809012'}
272513031	2020-09-04T00:47:15.000Z	1301683207381946373	I don’t wanna go to the gym today	{'place_id': 'cc480e2388809012'}
1133453956867383302	2020-09-04T00:36:44.000Z	1301680561392623617	going to the gym twice in one day &gt;&gt;	{'place_id': '1c69a67ad480e1b1'}
1473064543	2020-09-04T00:27:26.000Z	1301678218773237761	 Aye my bro’s a wedding DJ holla at him on ig 	{'place_id': '1c69a67ad480e1b1'}
705945731027202048	2020-09-06T23:57:57.000Z	1302757963271151619	I want to go on a date	{'place_id': '1c69a67ad480e1b1'}
33703271	2020-09-06T22:05:56.000Z	1302729775262334984	  Knowing she would have put somebody out of her wedding if they did that.	{'place_id': '1c69a67ad480e1b1'}
52235965	2020-09-06T21:36:06.000Z	1302722268343271424	Going shopping has showed me that I am bigger than what the fuck I thought, it may not look like it trust me I know I say I’m still the same size but my clothes and shoes are saying different	{'place_id': '1c69a67ad480e1b1'}
3368437659	2020-09-06T20:42:22.000Z	1302708746381033472	 not before the wedding, please 😫🥰	{'place_id': '1c69a67ad480e1b1'}
3368437659	2020-09-06T20:22:09.000Z	1302703656823926784	 so I was thinking a fall wedding?	{'place_id': '1c69a67ad480e1b1'}
25412184	2020-09-06T20:08:43.000Z	1302700277372510216	Hello Baby .... ...Model Tailors custom suits and shirts.                 … 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}}
25412184	2020-09-06T20:08:00.000Z	1302700094114983936	Keep in shape ..Model Tailors custom suits and shirts.                   … 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.379437, 29.754471]}}
2336951377	2020-09-06T19:40:17.000Z	1302693121768271872	The wife took the older kids to Church for the first time in a while since the COVID 0 pandemic.  Awesome 👌 picture 🥰      … 	{'place_id': 'c484d6c5cd72beb0', 'coordinates': {'type': 'Point', 'coordinates': [-95.82333, 29.78773]}}
