54112441	2020-09-30T23:58:42.000Z	1311455461355524097	lmaooooo the restaurant thought i got stood up on a date so they bought me a drink.	{'place_id': '11072b98f1150000'}
543064379	2020-10-02T16:49:12.000Z	1312072149373456392	I think I’m going to church on Sunday.... that molly spirit still in my body.... it gotta go on sunday!	{'place_id': '1c69a67ad480e1b1'}
172480667	2020-10-02T14:52:51.000Z	1312042868299780096	I just got asked out on a date lmao	{'place_id': '1c69a67ad480e1b1'}
125442953	2020-10-02T14:45:37.000Z	1312041048361914370	I don’t know how I ended up on “I left my hair elastic on my wrist my entire wedding by accident” tiktok but please stop 😭 I didn’t do this and I’m already married I don’t need to be reminded lmao	{'place_id': '1c69a67ad480e1b1'}
3092233730	2020-10-02T14:08:25.000Z	1312031689707843586	I’m gone say 0 guys out of all of them actually offer to take me on a date but one was rude leaving the date, another I’m sure got a girl and one we actually went on many dates, he brought me flowers and some but he became too attached and tried to rush me into a relationship.	{'place_id': '1c69a67ad480e1b1'}
3092233730	2020-10-02T14:08:25.000Z	1312031687652577281	I blocked 0 dudes at the beginning of 0 asking me to just chill when we rarely talk on the phone, barely know each other and never been on a date before. I don’t play. Come correct or don’t come at all. I chill with myself 0/0 and still spoil myself, I’m not settling.	{'place_id': '1c69a67ad480e1b1'}
389665149	2020-10-02T14:04:06.000Z	1312030602439335937	I don’t get it either. People are so dam condescending. Want wash a child in the sink but will eat out someone ass!!! I don’t get it!!! 	{'place_id': '1c69a67ad480e1b1'}
327237124	2020-10-02T13:26:07.000Z	1312021042039345156	if he die, i’ll go back to church one of these days. lmaooooo	{'place_id': '1c69a67ad480e1b1'}
35222762	2020-10-02T12:30:23.000Z	1312007018769788929	 I was the back up DH for the Astros last year. Took my bat and home plate to the party with me 🤣	{'place_id': '1c69a67ad480e1b1'}
2335874960	2020-10-02T11:51:13.000Z	1311997158703366144	Omm im going to the movies if he lives 😭 	{'place_id': '798522f39f66d411'}
75103647	2020-10-02T10:29:27.000Z	1311976584677597184	It’s like rain on your wedding dayIt’s a free ride when you’ve already paidIt’s the good advice that you just didn’t takeAnd who would’ve thought? It figures	{'place_id': '70651817971f9cb8'}
859201184	2020-10-02T10:00:51.000Z	1311969384781545472	i need to go shopping today.	{'place_id': '1c69a67ad480e1b1'}
577405694	2020-10-02T06:18:36.000Z	1311913456518524928	South side come at my wedding in March best believe it’s getting bodied fasho	{'place_id': '1c69a67ad480e1b1'}
489925312	2020-10-02T05:58:34.000Z	1311908413669019648	I’d rather go with a group of females to a party rather than a bunch of niggas. 😒 they gon have my back harder than ever ! 😂	{'place_id': '343ecdd7da8dfae0'}
1235742833451167745	2020-10-02T05:45:37.000Z	1311905152631214090	Why am I awake right now? I legit have to look like I’m going on a date at 0am 🙄😭	{'place_id': '35e409cdfaf2527a'}
282188191	2020-10-02T04:15:55.000Z	1311882579935625223	 welcome to the party	{'place_id': '70651817971f9cb8'}
2207180444	2020-10-02T03:38:10.000Z	1311873081800040450	There will be absolutely no kids at my wedding pewiod 💯💯	{'place_id': '1c69a67ad480e1b1'}
300475437	2020-10-02T03:25:01.000Z	1311869769587535872	My wedding gone have 0 people at it, on purpose	{'place_id': '822f7a173519a8dd'}
403170265	2020-10-02T01:40:57.000Z	1311843581691297792	   yoooo this is Sean at my wedding 0% it’s been decided	{'place_id': '1c69a67ad480e1b1'}
3301223839	2020-10-02T00:43:25.000Z	1311829103809617921	Going to a restaurant & not tipping the waiter cause she says she has a man is fucking pathetic....especially when the bill is $0...I can’t stand some of y’all.	{'place_id': '1c69a67ad480e1b1'}
165464451	2020-10-02T00:25:55.000Z	1311824699652005894	You on a date with someone and they pop up on America’s Most Wanted while on the date, what’s your next play 😂	{'place_id': '1c69a67ad480e1b1'}
594271376	2020-10-02T00:19:36.000Z	1311823108999983106	Just posted a photo @ The Gallery - Houston Wedding & Special Events Venue 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.49235615, 29.72998373]}}
379455882	2020-10-03T23:47:33.000Z	1312539818723889152	It’s weird that I want a black wedding dress ?	{'place_id': '1c69a67ad480e1b1'}
15814417	2020-10-03T23:42:19.000Z	1312538501951356928	I’m just curious, when you go shopping do you like to pay full price or do you look for bargains and discounts?    	{'place_id': '1c69a67ad480e1b1'}
54100437	2020-10-03T23:18:15.000Z	1312532445707689984	Am I the only one who goes to the mall..... finally find something and then wear something in my closet..... 🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️	{'place_id': '1c69a67ad480e1b1'}
477140831	2020-10-03T23:00:06.000Z	1312527878517530624	another wedding, another pantsuit 	{'place_id': 'c779f4b8a1a2bf1b'}
417939589	2020-10-03T21:05:31.000Z	1312499043675693056	Wedding planning time 	{'place_id': '38d0e797745f4c5d'}
1611306163	2020-10-03T21:02:55.000Z	1312498390186377218	some of yall bout to be real mad at me.. but it must be said.... going to church feels like im in a cult	{'place_id': 'bcb210d6cf34438a'}
291227562	2020-10-03T20:47:13.000Z	1312494435905593344	I swear I’m acting like I gotta be the finest nigga at this wedding	{'place_id': '1c69a67ad480e1b1'}
29055920	2020-10-03T20:46:10.000Z	1312494172234936321	Finalizing decor!!  Wedding Bells happy!!! @ Northgate Country Club 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.48323869, 30.01738339]}}
190385795	2020-10-03T20:41:59.000Z	1312493119858864128	Ahahahah looking for support today on my covid weight gain journey & my heartbreak of a wedding dress debacle & all anyone said was “wow your hair looks great”..”the wedding is still on?!” But both moms are the only ones that come in clutch.  	{'place_id': '1c69a67ad480e1b1'}
101573976	2020-10-03T20:32:34.000Z	1312490749997408256	Happy Wedding Day!Savannah Batista and Matthew CahillMichelle Poretsky and Justin LewisCamila Zaldivar and Michael Wiesinger   @ Katie & Co. 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.40694, 29.77027]}}
1266935601082896384	2020-10-03T19:17:30.000Z	1312471861091950593	My nigga getting married and another just asked me to be the best man in his wedding 🥳	{'place_id': 'bcb210d6cf34438a'}
935468167	2020-10-03T19:16:34.000Z	1312471622608056320	Pulled at all nighter and now going to my first social event to see people I don’t live with for the first time since March (a 0 person wedding w masks required at all times, personal pews, immediate family only please don’t drag me) on 0 hours of sleep love this for me🤡	{'place_id': 'bcb210d6cf34438a'}
1159893493034160128	2020-10-03T18:59:52.000Z	1312467423291797504	nigerians that hate wedding party. i fear u o	{'place_id': '01e74c422dab6107'}
276324190	2020-10-03T18:02:08.000Z	1312452894029803521	wedding cake at the funeral	{'place_id': '1c69a67ad480e1b1'}
228102055	2020-10-03T16:54:29.000Z	1312435867340939264	                           That’s partly why we cancelled our wedding altogether.	{'place_id': '1c69a67ad480e1b1'}
215344337	2020-10-03T16:32:01.000Z	1312430215088549894	   you look stellar in your wedding pics! Thanks for sharing. You can tell how happy you are by your lovely voice on the show. Congrats to you and Kyle. Keep up the great work on  love listening to ya👍🏻	{'place_id': '1c69a67ad480e1b1'}
62983845	2020-10-03T16:24:17.000Z	1312428269883584512	This was the initial plan for my wedding  	{'place_id': '1c69a67ad480e1b1'}
448553712	2020-10-03T16:14:32.000Z	1312425815347429376	AII BITCH LETS GO TO THE GYM	{'place_id': '1c69a67ad480e1b1'}
66557943	2020-10-03T15:58:38.000Z	1312421814048624643	my wedding band with my engagement ring is so fucking beautiful but I promised myself I’d wait to wear it til our wedding in church 😭	{'place_id': '1c69a67ad480e1b1'}
1279935220360200192	2020-10-03T14:08:47.000Z	1312394167092379648	Let the wedding planning begin!💗	{'place_id': '709bd7926033f0c9'}
2523711079	2020-10-03T03:41:44.000Z	1312236366575607808	So tonight My bf took me on a date to eat to Gtown & then to the water for a lil photo shoot  & to Bucees to get uss matching Halloween Glow in the Dark Tshirts, I’m in love🥺	{'place_id': '1c69a67ad480e1b1'}
2332757629	2020-10-03T03:25:40.000Z	1312232322419298304	I wanna go on a date ..	{'place_id': '1c69a67ad480e1b1'}
823429573975175169	2020-10-03T02:01:49.000Z	1312211222847078401	Think ima wake up and get my nails done buy me a dress and take myself on a date tomorrow	{'place_id': '1c69a67ad480e1b1'}
1236825983342317568	2020-10-03T01:31:30.000Z	1312203592263110656	I want some more outfits, im probably gonna go shopping tomorrow.. any suggestions/requests?? 	{'place_id': '1c69a67ad480e1b1'}
1929625416	2020-10-03T01:21:52.000Z	1312201166076342274	i went to the gym for the first time today since corona closed them down and i am so fucking happy bc i miss my toned arms 🥺 and my lil baby abs 🥺 and my nice calves 🥺 also i think i hurt some thigh muscles tonight .. but bitch i am back	{'place_id': 'bc39561011b12bc6'}
279750374	2020-10-04T23:49:55.000Z	1312902804734906370	I’m a have a whole bottom grill for my wedding 😭	{'place_id': '1c69a67ad480e1b1'}
820161775702339584	2020-10-04T23:45:55.000Z	1312901796164239361	Is it acceptable to wear crocs to the gym asking for me 👀	{'place_id': '1c69a67ad480e1b1'}
2526414116	2020-10-04T23:41:16.000Z	1312900625978535942	Usually I’d be out drinking around this time, but I feel like going to the gym	{'place_id': '1c69a67ad480e1b1'}
935468167	2020-10-04T23:08:37.000Z	1312892411056660481	 Lol for me to plan a wedding it would require a partner so I guess I have unlimited time!!!💀😩😭	{'place_id': 'bcb210d6cf34438a'}
935468167	2020-10-04T22:34:17.000Z	1312883767422394371	 Oh I’m not getting married 😩 not even close🤡🤧 my cousin is a dr & had her wedding yesterday & was obvi really strict about masks/distancing & my dad was like “it’s rude” & I was like “no they’re rude & if I had put specific instructions in my invite I would be mad too!”	{'place_id': 'bcb210d6cf34438a'}
935468167	2020-10-04T22:27:52.000Z	1312882154121179137	 Like sir you already had your wedding!! Leave me alone 😂😭	{'place_id': 'bcb210d6cf34438a'}
1055169843899588609	2020-10-04T21:50:05.000Z	1312872644803428352	I need 0 stop eating out	{'place_id': '1c69a67ad480e1b1'}
552018919	2020-10-04T21:28:34.000Z	1312867230259073026	Definitely taking myself on a date this week. 	{'place_id': '1c69a67ad480e1b1'}
3048045732	2020-10-04T19:49:58.000Z	1312842418681720837	sad that i’m probably gonna have to pay for my own wedding (:	{'place_id': '3e70c2559af5245b'}
52684311	2020-10-04T19:38:29.000Z	1312839529204768776	This man got an extra  job after he proposed to pay for the wedding after he took her back after she was on drugs prostituting just for her to wait to tell him their 0 year old may not be his 🥴 I’m hurt for him 	{'place_id': '1c69a67ad480e1b1'}
3151878625	2020-10-04T19:22:56.000Z	1312835613478055937	Do I need to go to church or sum ????? Idkkkkkk	{'place_id': '4c456186fb6d326e'}
440499415	2020-10-04T19:18:37.000Z	1312834527560175616	  0 & totally went to the concert. 🤣	{'place_id': '1c69a67ad480e1b1'}
935468167	2020-10-04T18:47:35.000Z	1312826716474224640	I told my dad I’m having no kids at my wedding and there’s literally going to be a bouncer at the door turning people with kids away and my dad was like “that’s rude” and I’m like “kids are rude, get a sitter”???? Idgaf, even my kids aren’t invited 💀😩	{'place_id': 'bcb210d6cf34438a'}
935468167	2020-10-04T18:46:32.000Z	1312826454648983560	 I don’t even him need him too because he’s gonna use that as an excuse to do what he wants 😭 so take your money I’ll have my small wedding w no kids 💀	{'place_id': 'bcb210d6cf34438a'}
935468167	2020-10-04T18:45:41.000Z	1312826239053377536	 It’s a theoretical wedding because I told him if I had to have a covid wedding and specifically asked people to wear masks, provided masks at the door, and you still didn’t wear one I would have you removed (my cousin did this) and my dad said it’s disrespectful and I disagreed🥴	{'place_id': 'bcb210d6cf34438a'}
935468167	2020-10-04T18:40:50.000Z	1312825018225700869	My dad is mad because I told him if I put specific instructions on a wedding invitation and people don’t follow them they’re getting kicked out/not being let it my wedding and he’s like “well then I’m not coming” okay then don’t come it’s my wedding 💀	{'place_id': 'bcb210d6cf34438a'}
1966901522	2020-10-04T18:00:34.000Z	1312814886439858178	just. wanna. go. shopping.	{'place_id': '1c69a67ad480e1b1'}
901145530100789250	2020-10-04T17:45:02.000Z	1312810975679180800	 Parents just a reminder tomorrow will be our Re-Opening Plan Meeting at 0PM: Attendee Link:  	{'place_id': '1c69a67ad480e1b1'}
32270247	2020-10-04T17:44:15.000Z	1312810782216814596	I get annoyed when I’m invited to a party & it’s BYOB but people bringing cheap shit. Oh but you better believe that the Henny, Ciroc, Dusse & Crown bottles will be emptied first. Naw, drink that Taaka & Amsterdam YOU brought. Broke asses	{'place_id': '1c69a67ad480e1b1'}
1192120029950681088	2020-10-04T17:27:54.000Z	1312806666614775809	We got a bunch of booty ass coaches in all of our history. Bet them fuckers laughing all the way to the bank together in that meetup before the game.	{'place_id': '1c69a67ad480e1b1'}
342497060	2020-10-04T17:17:36.000Z	1312804071485644801	not even 0 minutes in and it’s 0-0. turning it off and heading to a bar. :-)	{'place_id': '1c69a67ad480e1b1'}
174931129	2020-10-04T17:06:54.000Z	1312801380881530882	Back to the gym tomorrow ‼️	{'place_id': '1c69a67ad480e1b1'}
1950446852	2020-10-04T16:51:25.000Z	1312797482695483392	Yvonne really waited for the day of the wedding to stand up for herself and tell William how she felt... Chile... 	{'place_id': '1c69a67ad480e1b1'}
40010154	2020-10-04T16:28:53.000Z	1312791814768930819	  Which would normally be true, but last year when this happened they were both blacked out so my brother and I needed up going to a bar to watch the game...	{'place_id': '1c69a67ad480e1b1'}
30747819	2020-10-04T16:28:47.000Z	1312791787782787072	Get to church y'all.... protest that devil!!     @ Journey Church Texas 	{'place_id': '0120bae54df50356', 'coordinates': {'type': 'Point', 'coordinates': [-95.21526, 30.071]}}
1216932542	2020-10-04T16:12:54.000Z	1312787792502632456	Won’t get to see the game cuz the hoe ass texans play at the same time 🙄	{'place_id': '1c69a67ad480e1b1'}
19252684	2020-10-04T16:09:26.000Z	1312786919785365506	Chy... tell me why I tried to take someone out on a date today but they’re already going on a date today 🥴 Is no one single anymore lol 	{'place_id': '1c69a67ad480e1b1'}
540121927	2020-10-04T15:09:47.000Z	1312771907436118016	I legit left my ducking dress for the wedding back in Indiana 😭😭😭	{'place_id': 'e589c1ec3b0b9d2e'}
2235150902	2020-10-04T14:33:59.000Z	1312762899409100800	Karla is avoiding me cause I’m trying to drag her to the gym.... 😂	{'place_id': '1c69a67ad480e1b1'}
24243203	2020-10-04T14:04:17.000Z	1312755424505065472	Somebody invite me to an event so I can wear this blazer... I can’t wear this to the gym 🤦🏽‍♂️   🤘🏼😜 @ The Galleria 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.46447247, 29.73925126]}}
746263711128526848	2020-10-04T13:49:58.000Z	1312751820796764161	man y’all ain’t been to church frfr until u see this 😭😭😭😭 	{'place_id': '822f7a173519a8dd'}
1266935601082896384	2020-10-04T07:36:34.000Z	1312657850540400640	Pinky ring til I get a wedding ring	{'place_id': 'bcb210d6cf34438a'}
21114829	2020-10-04T06:33:56.000Z	1312642089864306688	 Late to the party! Houston, TX	{'place_id': '1c69a67ad480e1b1'}
383046136	2020-10-04T05:35:12.000Z	1312627309149597696	what a buzz kill came for a drink and they were closedddddd	{'place_id': '3e82edc94d5c5ce1'}
25127560	2020-10-04T05:29:54.000Z	1312625975352492032	Barack & Michelle Obama Celebrate 0th Wedding Anniversary |  	{'place_id': '1c69a67ad480e1b1'}
25127560	2020-10-04T05:29:27.000Z	1312625861489831936	Barack, Michelle Obama Celebrate 0th Wedding Anniversary |  	{'place_id': '1c69a67ad480e1b1'}
25127560	2020-10-04T05:29:20.000Z	1312625833287262208	Barack, Michelle Obama Celebrate 0th Wedding Anniversary |  	{'place_id': '1c69a67ad480e1b1'}
568750630	2020-10-04T03:52:39.000Z	1312601501693628417	 I’m booking you as my wedding planner 🤗🤗	{'place_id': '1c69a67ad480e1b1'}
928749764732182528	2020-10-04T03:22:20.000Z	1312593870534959104	Who trying to have a party on my porch ? I’m leaving at the end of the month , fuck these apartments 😂 I’m about to get lit haha	{'place_id': '00f2b6161655c5cc'}
968568256322789377	2020-10-04T03:06:34.000Z	1312589904509952001	Can’t wait for my wedding so I can look this beautiful  😍😍 	{'place_id': '1c69a67ad480e1b1'}
2495545764	2020-10-04T01:58:56.000Z	1312572883307311104	I wanna go to the movies	{'place_id': '1c69a67ad480e1b1'}
1029496893968199680	2020-10-04T01:30:57.000Z	1312565842547220480	The closer we get to the party. The more nervous I get. I want everything to be perfect. My brand will be all over it. 🥴	{'place_id': '1c69a67ad480e1b1'}
1107108914968100865	2020-10-04T01:29:49.000Z	1312565556160143360	i need to go shopping	{'place_id': '1c69a67ad480e1b1'}
408868058	2020-10-04T01:16:11.000Z	1312562125332766720	I need to go to a wedding (not my own tho).	{'place_id': '1c69a67ad480e1b1'}
