243048524	2020-10-19T23:55:42.000Z	1318340075453898752	went to the gym today and had a good work out I fr missed it :,)	{'place_id': 'cddb718d9306e2f9'}
28918679	2020-10-19T05:35:15.000Z	1318063139590754304	Ok I went on ahead and made a separate private wedding IG page. I already like the idea instead of close friends. Thanks to  for the unintended idea 😂...	{'place_id': '1c69a67ad480e1b1'}
2436044094	2020-10-19T05:16:57.000Z	1318058531912929283	i would love to have gf and go on picnics and museum and have adventures together and eat lots of food and cuddle and play video games and travel and like go shopping together and like do makeup together and like ugh. one day 🥺😔	{'place_id': '35e409cdfaf2527a'}
1154226636759416838	2020-10-19T05:11:29.000Z	1318057157716213761	I loved bar boheme but the fact that they fail to give us our deposit back for the wedding deposit we made back in January makes me never want to support that business again. We never knew a fucking pandemic would happen .	{'place_id': '1c69a67ad480e1b1'}
3092233730	2020-10-19T04:46:13.000Z	1318050801676406785	It’s no way I’m buying anything for a nignog I just met besides treating him on a date after he has initially courted and dated me for some time. And I’m damn sure not financing bad habits.	{'place_id': '343ecdd7da8dfae0'}
4754160817	2020-10-19T00:17:29.000Z	1317983169753305088	Going to the gym mad asf is something else	{'place_id': 'cc480e2388809012'}
308697111	2020-10-20T23:11:49.000Z	1318691419217928194	the fact that I close all three rings before I actually go to the gym is so powerful to me.	{'place_id': '1c69a67ad480e1b1'}
39566039	2020-10-20T23:04:08.000Z	1318689488273629184	Brought myself on a date 😌 I needed this.	{'place_id': '1c69a67ad480e1b1'}
156477195	2020-10-20T21:54:18.000Z	1318671915205230597	 As long as I am invited to the wedding I say nothing and just support	{'place_id': '343ecdd7da8dfae0'}
630857852	2020-10-20T21:47:35.000Z	1318670223667585029	idk how girls have huge wedding party's	{'place_id': '3e70c2559af5245b'}
1100215877880954880	2020-10-20T21:35:03.000Z	1318667069609619457	I already said my wedding is gonna be a blackout event, n I ain’t talking bout the attire 🤣 	{'place_id': '3e82edc94d5c5ce1'}
1239194668941881349	2020-10-20T20:18:12.000Z	1318647728876945409	One thing about BET, they gone stream every black celebrity wedding & funeral 💀	{'place_id': '38d0e797745f4c5d'}
966403552557043714	2020-10-20T20:11:59.000Z	1318646164531650567	My best friend just told me she doesn’t want me to pull a jackson Avery at anyone’s wedding bitch I’ll do wtf I wanna do	{'place_id': '1c69a67ad480e1b1'}
503589434	2020-10-20T19:49:13.000Z	1318640433464020993	I don’t want a wedding I just want to get married at the courthouse then throw a giant party afterwards	{'place_id': '7a41192a2879ee24'}
1162189888118304769	2020-10-20T17:44:57.000Z	1318609161706496000	Shidd rob him and we can go on a date with his money ....😈 	{'place_id': '343ecdd7da8dfae0'}
115558245	2020-10-20T17:22:21.000Z	1318603474515464193	I really said I wasn’t eating out this week but I really want the wings lol	{'place_id': 'c3bf7e4412fa281d'}
28918679	2020-10-20T16:41:47.000Z	1318593267307601923	Tbh I’ve toyed with the idea of having my own wedding in early 0 ... we were pushing for late fall/winter next year but I’m just not for the bs 	{'place_id': '1c69a67ad480e1b1'}
16676865	2020-10-20T15:52:49.000Z	1318580941443444738	All cleaned up and ready! Especially for my niece wedding this weekend... @ Rosenberg, Texas 	{'coordinates': {'type': 'Point', 'coordinates': [-95.8088, 29.5571]}, 'place_id': '00f2b6161655c5cc'}
1012091195017834496	2020-10-20T15:17:13.000Z	1318571984708653057	Yeo I hope your ex drunkenly crashes your wedding and shits on your wedding dress 🥴 	{'place_id': '1c69a67ad480e1b1'}
3317256373	2020-10-20T15:02:15.000Z	1318568216009072642	I wanna go on a date yo. This single life Shitt wake 😂😪	{'place_id': '38d0e797745f4c5d'}
3673292773	2020-10-20T14:40:04.000Z	1318562633407234048	Don’t forget to use some fun creativity in your wedding signs!! 	{'place_id': '1470167084d62696'}
703776061339795456	2020-10-20T14:33:52.000Z	1318561074187243521	I FOUND MY WEDDING DRESS!! My portraits are gonna be 🤩🤩🤩	{'place_id': '1c69a67ad480e1b1'}
55881709	2020-10-20T14:27:40.000Z	1318559513734238208	🗣 Bro what?! Don’t get me wrong  I’m old school so if i INVITE a woman on a date, I’m expecting to pay. But you lost me on tht last line my G 	{'place_id': '1c69a67ad480e1b1'}
24754580	2020-10-20T13:19:32.000Z	1318542369348866049	I’ve been talking a lot to my bffs sister bc wedding planning. And she told Liz “I want a friend like Vero” and Liz was like well she ain’t taking applications for new friends 😂😂😂	{'place_id': '01e986b204ff5847'}
1034616302521012225	2020-10-20T12:28:14.000Z	1318529457246883840	Woke up early to go to the gym with Maggles. Feels good	{'place_id': '1c69a67ad480e1b1'}
258408707	2020-10-20T06:29:57.000Z	1318439294638432256	 Sounds like you a little late to the party family 😆🤷🏾‍♂️	{'place_id': '2614e03cea364877'}
4679312364	2020-10-20T05:42:40.000Z	1318427394689073152	Me if somebody proposes at my wedding 	{'place_id': '1c69a67ad480e1b1'}
288509571	2020-10-20T03:55:17.000Z	1318400370394136576	 ain’t nobody got time 🗣🗣 take me on a date or BYE.	{'place_id': '1c69a67ad480e1b1'}
426984251	2020-10-20T03:11:09.000Z	1318389261998149634	Definitely gotta play Joe at my wedding fasho	{'place_id': '1c69a67ad480e1b1'}
174931129	2020-10-20T02:52:46.000Z	1318384635026509825	Really bout to start making this shyt a priority start going to the gym in th mornings like I use too frfr going after work be a drag ‼️ so the goal is be in bed by 0 every night night and to b sleep by 0 the latest ‼️	{'place_id': '1c69a67ad480e1b1'}
296052778	2020-10-20T01:49:41.000Z	1318368762823925765	i wanna go on a date to the color factory :(	{'place_id': '1c69a67ad480e1b1'}
24754580	2020-10-20T00:57:24.000Z	1318355602452713473	Lmaooo! I wear these to the gym 😫😫 It’s easier to breathe in them. Doing cardio in a mask is not easy!!! 	{'place_id': '1c69a67ad480e1b1'}
4596862338	2020-10-20T00:41:41.000Z	1318351649849675776	I was driving to the gym today when I suddenly started crying after I realized how proud and happy I am with myself and growth💛	{'place_id': '1c69a67ad480e1b1'}
385207360	2020-10-20T00:27:51.000Z	1318348166241144832	 I had forgot that the first movie I saw her in was Muriel's Wedding and see is soooooo Aussie in that. But, yeah, when you see her interviews, the (actually very real) accent totally seems like a sham.	{'place_id': '1c69a67ad480e1b1'}
1134652885118201859	2020-10-20T00:20:22.000Z	1318346282889580546	shout out to african black soap and shea butter. i’ve been breaking out under my cheeks bc i sweat a lot wearing my mask when i go to the gym. it’s been about 0 days and my acne is almost all gone	{'place_id': '1c69a67ad480e1b1'}
1657256167	2020-10-21T23:26:45.000Z	1319057567813914636	Red red wine will be played on my wedding fr fr ((,:	{'place_id': '1c69a67ad480e1b1'}
300014748	2020-10-21T22:25:02.000Z	1319042036562100226	I’m going to the mall this weekend.. I wanna spend sum money.	{'place_id': '343ecdd7da8dfae0'}
308697111	2020-10-21T22:08:57.000Z	1319037989557837827	Going to the gym right after work 😫	{'place_id': '1c69a67ad480e1b1'}
34828355	2020-10-21T21:52:30.000Z	1319033846717960192	I need Lynn and Brian to get married Atleast every year if that’s what the wedding gon be like. 😈	{'place_id': '1c69a67ad480e1b1'}
1663811660	2020-10-21T19:20:11.000Z	1318995514478764032	🚨 Going shopping soon but don’t know what to get?? 🚨 	{'place_id': '1c69a67ad480e1b1'}
4754160817	2020-10-21T19:07:53.000Z	1318992419875074051	0 days straight going to the gym. Who tf do I think I am?	{'place_id': 'cc480e2388809012'}
610340624	2020-10-21T18:49:36.000Z	1318987818996240384	I can’t wait until I turn up to Whop Bezzy at my wedding wit my wife 	{'place_id': '1c69a67ad480e1b1'}
3092233730	2020-10-21T17:50:10.000Z	1318972862695411719	I just might play a real ratchet song and do this with my husband at my wedding, if I have one. 😂 	{'place_id': '343ecdd7da8dfae0'}
3036813787	2020-10-21T17:24:00.000Z	1318966279563259905	 Not the wedding but the reception fashooo😂	{'place_id': '1c69a67ad480e1b1'}
718963356200120320	2020-10-21T17:11:43.000Z	1318963185135853568	We gotta smoke and chill before I take you on a date idc.	{'place_id': '1c69a67ad480e1b1'}
1304101925197996033	2020-10-21T16:56:48.000Z	1318959433293172737	its been 0 0/0 years since i’ve been on a date😳 like fr havent been on one since i went to NYC	{'place_id': '35e409cdfaf2527a'}
498284924	2020-10-21T16:49:17.000Z	1318957542387666945	I remember at my sisters wedding, her husband froze a pound cake my grandma made & served it at the reception. mind you, my grandma passed away 0 years before the wedding. goes to show its no limit a man won’t go when he love you. 	{'place_id': '010edcb7655caac2'}
19715268	2020-10-21T16:42:51.000Z	1318955923583520777	Thank you   and  for writing  which we lifted our wedding vows from 0 years ago on the steps of the clock tower at  on  Day! 	{'place_id': '1c69a67ad480e1b1'}
268392308	2020-10-21T15:39:22.000Z	1318939945025916933	Bout to make a playlist then Head to the gym	{'place_id': '1c69a67ad480e1b1'}
1268190638945775616	2020-10-21T14:56:27.000Z	1318929144336482305	You don’t go to the mall or a restaurant and say oh I won’t pay full price for this or you know what, remove the taxes. So why do people think it’s okay to call my phone to say that?	{'place_id': '1c69a67ad480e1b1'}
1268190638945775616	2020-10-21T14:52:47.000Z	1318928221451243520	Why do people call my phone to ask for discounts on my services AND complain about paying taxes? IF YOU CANT AFFORD $0-$0 IN TAXES THEN DONT HAVE A PARTY.	{'place_id': '1c69a67ad480e1b1'}
426177697	2020-10-21T14:25:43.000Z	1318921410346176514	Not to be a bitch but I’ve wasted nearly all of 0 getting to level 0,0 on Homescapes and I’m really disapointed they haven’t asked me to plan a wedding for Austin the butler and Katherine yet:(	{'place_id': '1c69a67ad480e1b1'}
490012739	2020-10-21T14:00:21.000Z	1318915027177451523	We don’t go to the mall, We don’t go out to eat eat eeeeeeeeeeaat!	{'place_id': '1c69a67ad480e1b1'}
2151366090	2020-10-21T13:48:56.000Z	1318912152862863361	I really got up at 0:0am w/the hubs to go to the gym and it was actually easier than I anticipated. I am NOT a morning person. Workout wasn’t too bad either. 🙌🏽💪🏽 yay I achieved a small goal! 😌	{'place_id': '01e986b204ff5847'}
709917020733595648	2020-10-21T13:40:57.000Z	1318910145557135367	 Take me on a date I’m hungry	{'place_id': '1c69a67ad480e1b1'}
4341929474	2020-10-21T13:12:50.000Z	1318903068671565826	What a beautiful wedding !  Andrew & Gloria      @ River Oaks Donuts 	{'coordinates': {'type': 'Point', 'coordinates': [-95.43465, 29.74114]}, 'place_id': '1c69a67ad480e1b1'}
3022823419	2020-10-21T12:36:04.000Z	1318893815017734145	Omw to the gym to get this cardio in.	{'place_id': '1c69a67ad480e1b1'}
613930077	2020-10-21T12:23:28.000Z	1318890646606958592	This is such a BR wedding 😭 	{'place_id': '1c69a67ad480e1b1'}
406184621	2020-10-21T11:58:40.000Z	1318884405679738883	0 Months Ain't Been To The Gym, Time To Get Back On It Again! Finna Do It Errday!💪🔥🤍 	{'place_id': '1c69a67ad480e1b1'}
1631949954	2020-10-21T05:11:20.000Z	1318781896294268928	Great hypothetical lol but in real life ain’t nobody just giving that type of money to JUST go on a date. But shit some of y’all gf worth the 0k to y’all 😂 	{'place_id': '7543692056063d2f'}
230818249	2020-10-21T05:05:24.000Z	1318780404200079360	Man , my wedding gone be so Louisiana dawg 😂😂😂😂 	{'place_id': '1c69a67ad480e1b1'}
1024271684	2020-10-21T04:19:20.000Z	1318768809663221760	My bitch can literally go on a date anywhere at anytime and ALL she has to do is bring me leftovers	{'place_id': '1c69a67ad480e1b1'}
1024271684	2020-10-21T03:49:02.000Z	1318761186654146561	She went to the gym at 0 and hasn’t texted back since. If she wait til tomorrow to text me I’m throwing the lob to the TL	{'place_id': '1c69a67ad480e1b1'}
3451163352	2020-10-21T03:49:00.000Z	1318761176088674305	I been wanting to get dressed up and go on a date lately	{'place_id': 'eabe7b6fd4504fff'}
629626991	2020-10-21T03:47:51.000Z	1318760884978831360	Only Stix can get me to go to Dallas or anywhere for a wedding.	{'place_id': '1c69a67ad480e1b1'}
1299396801422819331	2020-10-21T03:43:30.000Z	1318759791511162880	We are so great full for this!         	{'place_id': '7a41192a2879ee24'}
2223894860	2020-10-21T02:45:41.000Z	1318745243269931008	Managed to go to the gym and meal prep.. idk bout y’all but that’s a lot for me lol especially after getting home late after work	{'place_id': '1c69a67ad480e1b1'}
291227562	2020-10-21T02:33:10.000Z	1318742092374511622	I’m tryna go on a date...	{'place_id': '7a41192a2879ee24'}
3074342071	2020-10-21T01:56:25.000Z	1318732844647198729	 It’s good to look at venues early! Our wedding is May 0 and the weekend we wanted was the only date available! And that’s nearly 0 years away! Good luck! It was tough	{'place_id': '1c69a67ad480e1b1'}
2256116713	2020-10-21T01:47:45.000Z	1318730663722450945	Didn't want to go to the gym, but I went. Now I'm tired	{'place_id': '01e74c422dab6107'}
371317115	2020-10-21T01:45:58.000Z	1318730215418462209	 just do it girl!! I was shy at first and now that’s basically all I wear to the gym hehe	{'place_id': '1c69a67ad480e1b1'}
1317586572963962880	2020-10-22T23:20:13.000Z	1319418310434455552	Don’t forget the hospitality industry we need your help. I’m an Executive Chef that cares so much about our restaurants, country club, hotels, casinos, hospitals, convention center and any other business that caters to the American people as we all love to eat out.	{'place_id': '2a9e190efe38237e'}
2837050700	2020-10-22T23:19:15.000Z	1319418068226002944	Happy 0 West Coast! One more week until Halloween! I have a party to go to, I'm so excited. I'll be sitting outside by a fire, so it's fairly safe. Stay lifted, friends..    	{'place_id': '1c69a67ad480e1b1'}
730746097	2020-10-22T22:51:21.000Z	1319411044658405377	 can you do my wedding cake les 🥺😭	{'place_id': '1c69a67ad480e1b1'}
19185005	2020-10-22T22:26:32.000Z	1319404802460184576	Headed to the gym.  Had to get some steps in. @ Carl Lewis International Track & Field Complex 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.34699151, 29.72587841]}}
39126159	2020-10-22T22:16:17.000Z	1319402219335307264	Am I the only person who would never eat decades old wedding cake? 🤢	{'place_id': '1c69a67ad480e1b1'}
40735300	2020-10-22T21:58:55.000Z	1319397852507000841	Goodness me this was so good. Going to have to listen to it again. Let me delete a couple of unnecessary nodes from my tree real quick 😅 Colorist Meetup with Dave Hussey Company 0  via 	{'place_id': '1c69a67ad480e1b1'}
744008758783684609	2020-10-22T21:58:39.000Z	1319397783149907973	I have 0 qualms about saying that if you choose to eat out and don’t tip, that says a lot about you. Mostly that you suck as a person.	{'place_id': '1c69a67ad480e1b1'}
1094067374062485504	2020-10-22T21:57:48.000Z	1319397571727642624	Today’s my lucky day I haven’t left the house in days other than to go to the gym & I found a 0$ bill on the side of my car door coming out of Marshall’s after doing some damage shopping 🤩🍀	{'place_id': '3e82edc94d5c5ce1'}
2351839743	2020-10-22T21:25:26.000Z	1319389424745123841	My reception will be turnt, so I will kindly tell family if you not with that then this is your courtesy call. Thank you for attending the wedding 😂 	{'place_id': '343ecdd7da8dfae0'}
27199608	2020-10-22T21:01:29.000Z	1319383395860963329	it’s crazy how you have to eat right && go to the gym for a decent body. ...that’s ghetto	{'place_id': '1c69a67ad480e1b1'}
321887351	2020-10-22T16:52:52.000Z	1319320832347439108	I’m taking my niece on a date this weekend 😤	{'place_id': '1c69a67ad480e1b1'}
993801816	2020-10-22T16:50:23.000Z	1319320205630361612	Stop eating out when you know you got rice at home!!! Tune in our virtual tour for more sounds during our RICE AT HOME TOUR 🧙🏿‍♂️🛸👩🏿‍🚀 @ NASA's Johnson Space Center 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.09542465, 29.56151253]}}
2401214280	2020-10-22T16:06:31.000Z	1319309167786663936	Women go to church in outfits that be distracting the preacher. That's why he keep repeating shit over taking up individuals time.	{'place_id': '1c69a67ad480e1b1'}
2401214280	2020-10-22T16:05:09.000Z	1319308822188642306	When I use to go to church it seem as if i started thinking more Manish inside the church than i waas outside.	{'place_id': '1c69a67ad480e1b1'}
45948190	2020-10-22T15:13:14.000Z	1319295756461838337	The best part of waking up, is PJ's in my cup 🎶  is brewing Southern Wedding Cake today and it is ummm, ummm good!     @ PJ's Coffee 	{'place_id': 'bcb210d6cf34438a', 'coordinates': {'type': 'Point', 'coordinates': [-95.41560536, 29.55460757]}}
1546540885	2020-10-22T14:45:40.000Z	1319288818155962375	I want to go shopping	{'place_id': '1c69a67ad480e1b1'}
2436395108	2020-10-22T14:06:59.000Z	1319279086624145411	I never took anyone on a date before. Wonder who gon be the first	{'place_id': '1c69a67ad480e1b1'}
1184690863139475457	2020-10-22T14:01:36.000Z	1319277729418678272	 I actually went on a date with someone and he was the same height as me in heels I deadass took my heels off. What’s wrong with having a preference ?	{'place_id': '798522f39f66d411'}
46958611	2020-10-22T13:02:57.000Z	1319262969977503745	Woke up in a good mood and full of energy.. I’m going to the gym before work	{'place_id': '1c69a67ad480e1b1'}
1730477580	2020-10-22T12:51:58.000Z	1319260207579582482	need to learn how to say no when my friends want to go eat out cuss it’s EVERYDAY 🤣	{'place_id': '3e82edc94d5c5ce1'}
137226451	2020-10-22T12:23:01.000Z	1319252921062666240	  How am I so late to the party on him?!	{'place_id': '1c69a67ad480e1b1'}
154962125	2020-10-22T10:45:16.000Z	1319228319385243655	Well to the gym i go	{'place_id': '1c69a67ad480e1b1'}
319470471	2020-10-22T06:02:28.000Z	1319157151269609479	I rather attend a wedding than shoot it any day I love weddings them shits hella fun	{'place_id': '1c69a67ad480e1b1'}
1192120029950681088	2020-10-22T05:02:56.000Z	1319142168871751681	I miss going to the movies	{'place_id': '1c69a67ad480e1b1'}
382186450	2020-10-22T03:26:20.000Z	1319117860820512768	I told my friend I wanna be Prince Charming for Halloween and go to a party she said “ boy sit yo ass down somewhere it’s a pandemic” 🤣😂💀	{'place_id': '38d0e797745f4c5d'}
4845866214	2020-10-22T03:25:17.000Z	1319117596986380295	I miss going to church	{'place_id': '1c69a67ad480e1b1'}
1121908776309858309	2020-10-22T02:51:43.000Z	1319109149016338432	The acres home in me coming out at my wedding 😂 	{'place_id': 'c7b527911412a784'}
318620615	2020-10-22T02:46:15.000Z	1319107772546453505	I wanna go on a date to a drive in movie	{'place_id': '1c69a67ad480e1b1'}
16356498	2020-10-22T02:38:08.000Z	1319105730352467968	Made it to the gym today and I'm feeling so good!	{'place_id': '1c69a67ad480e1b1'}
120775881	2020-10-22T02:25:27.000Z	1319102538914893824	I wish it was cold 😭 I went to the mall earlier and saw so many cute winter clothes but if I bought everything I liked then I would prob never get to wear it lmao	{'place_id': '38d0e797745f4c5d'}
489212938	2020-10-22T02:24:42.000Z	1319102347465863168	Somebody lets go to the gym & get some work in	{'place_id': '1c69a67ad480e1b1'}
91664842	2020-10-22T02:10:03.000Z	1319098661226352641	Going to some these Meetup events to make friends outchea. Y’all pray for me lol	{'place_id': '1c69a67ad480e1b1'}
1070156120541417472	2020-10-22T01:56:56.000Z	1319095360770461697	Funny how depr*ssion works, I’ll have 0 desire to go to the gym, but after I force myself to, I feel every single last one of my oats the entire time 	{'place_id': '1c69a67ad480e1b1'}
515974995	2020-10-22T01:45:22.000Z	1319092450196131840	Would y’all rather have a wedding first and then get a house, or get a house and then get married? I’m trying to see sum 🤔	{'place_id': '1c69a67ad480e1b1'}
303303437	2020-10-22T01:21:38.000Z	1319086480174813185	I wanna ask a guy on a date but it feels weird to do it😂😂	{'place_id': '798522f39f66d411'}
245935576	2020-10-22T00:25:47.000Z	1319072421538824192	I gotta stop looking at engagement and wedding videos. I’m in shambles right now. I just love love. 🥺 	{'place_id': '343ecdd7da8dfae0'}
3461203092	2020-10-22T00:13:40.000Z	1319069374209286145	My mom invited me to her wedding 🥴	{'place_id': '1c69a67ad480e1b1'}
