706712534124900352	2020-07-27T23:52:47.000Z	1287898761130315778	Where should I go shopping for a birthday outfit	{'place_id': '00a488ec567255f3'}
39880501	2020-07-27T15:43:40.000Z	1287775673273274371	Struggling to go to the gym today.	{'place_id': '1c69a67ad480e1b1'}
1105936203071799296	2020-07-27T15:37:18.000Z	1287774069476265984	It’s my parents 0th Wedding Anniversary 💕 	{'place_id': '798522f39f66d411'}
159221189	2020-07-27T14:57:53.000Z	1287764150492561408	Something about men not wearing their wedding rings don’t sit right with me.	{'place_id': '1c69a67ad480e1b1'}
1147437265297317888	2020-07-27T14:36:44.000Z	1287758825320218626	If I knew there were this many black owned clothing stores and fashion designers I would’ve stop going to the mall along time ago	{'place_id': 'c484d6c5cd72beb0'}
463859177	2020-07-27T14:12:13.000Z	1287752657340379142	 I never been to Tower City like that unless it was to the movies. That was more for the people DTW and the Westside hangout to me	{'place_id': '1c69a67ad480e1b1'}
880788156706168832	2020-07-27T13:51:17.000Z	1287747389684580352	And go to church services 	{'place_id': '1c69a67ad480e1b1'}
16567488	2020-07-27T13:25:54.000Z	1287740999884836864	I'm at Harmony Wedding Chapel in Houston, TX 	{'coordinates': {'type': 'Point', 'coordinates': [-95.27376231, 29.68063501]}, 'place_id': '1c69a67ad480e1b1'}
2562908928	2020-07-27T06:53:11.000Z	1287642169466146816	Just the fact that bro lied about who he went to the concert w knowing how Elle felt about her. 	{'place_id': '3e82edc94d5c5ce1'}
769962928619581440	2020-07-27T05:15:40.000Z	1287617632137555968	I needa go to the gym 😭 this happy weight taking over	{'place_id': '1c69a67ad480e1b1'}
125185921	2020-07-27T04:25:54.000Z	1287605104066134016	 Not necessarily.  There's a difference between being a Republican and being a Trump supporter who approves of those racist agendas.Many Republicans oppose Trump and what he's done to the party.	{'place_id': '1c69a67ad480e1b1'}
42793509	2020-07-27T04:14:32.000Z	1287602246453166081	 Me when they actually have backline and you don’t have to bring your whole damn studio to the gig 😂😂 	{'place_id': '1c69a67ad480e1b1'}
1001952964255387648	2020-07-27T03:14:58.000Z	1287587257218748418	   My mother did to, when she hosted our wedding party. Her words: “You’re not my physical responsibility anymore, I expect your husband to treat you like your a queen” His mother simply asked if I don’t give him back. Lol	{'place_id': '1c69a67ad480e1b1'}
57331539	2020-07-27T02:20:51.000Z	1287573637256613888	Watching our wedding videoMartin: Let's make this a drinking game. Take a drink every time I cry ❤️	{'place_id': '1c69a67ad480e1b1'}
216398984	2020-07-28T23:33:48.000Z	1288256374510690305	Those allies tardy to the party, you’re here now! Privilege is for the greater good.✊🏾    	{'place_id': 'c484d6c5cd72beb0'}
856759629153480704	2020-07-28T23:29:06.000Z	1288255190680862725	i wanna get dressed up and go on a date.	{'place_id': '1c69a67ad480e1b1'}
718164349970477057	2020-07-28T23:18:07.000Z	1288252426882031616	I meditated THEN jogged to the gym... FEELING JAZZY lol	{'place_id': '07d9f114dcc88000'}
23777471	2020-07-28T23:04:47.000Z	1288249068779708418	Dear  just saying that if you wanted to crash our virtual wedding via zoom, you TOTALLY can. August 0th at 0pm. - Your Day 0 fan 😁	{'place_id': '1c69a67ad480e1b1'}
1066946651271634945	2020-07-28T22:18:45.000Z	1288237484749533185	What happens at a wedding if somebody speaks up & say they don’t want the two to get married?	{'place_id': '1c69a67ad480e1b1'}
1032786473324621825	2020-07-28T20:39:24.000Z	1288212484889944064	I’m about to cry. 😭😣 I think I lost my wedding ring!!!	{'place_id': '011f5b2126127c09'}
2204316505	2020-07-28T20:28:11.000Z	1288209660948951040	 😩 I can’t even be mad cause I told you we gotta get it together before the wedding lmao	{'place_id': '1c69a67ad480e1b1'}
371563699	2020-07-28T19:40:01.000Z	1288197537774669827	 Let’s go to the mall	{'place_id': '1c69a67ad480e1b1'}
552412169	2020-07-28T19:33:21.000Z	1288195860057264129	 Pretty sure she told him she wanted tht car so why she ain’t tell him she wanted to go on a date 👀 wasn’t no miscommunication on tht Car transaction	{'place_id': '1c69a67ad480e1b1'}
35158983	2020-07-28T19:26:49.000Z	1288194218284941312	What’s a down chick without a wedding ring? - Real Musiq	{'place_id': '1c69a67ad480e1b1'}
2169549603	2020-07-28T19:03:38.000Z	1288188381592248328	0 like and I’ll go to the gym.😩 	{'place_id': '0120bae54df50356'}
620565834	2020-07-28T18:04:03.000Z	1288173388163358721	Alright I got a wedding in November and one in February here in Houston which one of u ~local men~ is trynna cuff me by then so u can be my +0	{'place_id': '01e74c422dab6107'}
15813570	2020-07-28T17:54:48.000Z	1288171060450467843	  That first meetup after COVID is behind us... 🤣 	{'place_id': '1c69a67ad480e1b1'}
3271073678	2020-07-28T16:46:02.000Z	1288153754731241472	 Ooooooo I’m excited! Watch me wear the wedding dress all staff development haha	{'place_id': '1c69a67ad480e1b1'}
3720657612	2020-07-28T16:38:34.000Z	1288151877482360833	I waste so much money on eating out... I need too stop that shit	{'place_id': '1c69a67ad480e1b1'}
30047943	2020-07-28T16:15:52.000Z	1288146162449555459	📸 Capturing your LOVE from Couples Photos, Engagements, Bridals to Wedding Photography!———————————————————    … 	{'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}, 'place_id': '1c69a67ad480e1b1'}
114280746	2020-07-28T16:06:08.000Z	1288143713093464064	Never thought I’d see the day where I have to ask myself: “can I wear a white mask to a wedding?”	{'place_id': '1c69a67ad480e1b1'}
824269863011094528	2020-07-28T15:27:53.000Z	1288134086377308161	Ortiz Families 👨‍👩‍👧‍👦 please don’t forget to join us this evening @ 0:0 p.m. for an informational meeting using the following link:  We will be able to answer all of your questions for the upcoming 🏫 year.    	{'place_id': '1c69a67ad480e1b1'}
754050292249800704	2020-07-28T14:22:54.000Z	1288117733041664001	 They can go to the mall tear crap up cause riots caused trouble, none of them are wearing any kind of face mask. And you can see their faces kind of, But they’re too sick to go to school or go to work	{'place_id': '1c69a67ad480e1b1'}
154239392	2020-07-28T14:13:18.000Z	1288115319240679425	Last night I had a dream that  crashed my wedding by arriving drunk and belligerent, then he set fire to the gazebo that all of our guests were dining in, and while we were trying to put it out, he stole my shoes and ran away... 	{'place_id': '1c69a67ad480e1b1'}
2536561231	2020-07-28T08:22:52.000Z	1288027127049261056	need a hot indian boy to marry me so that I can make my social media personality our desi wedding pictures for the next 0 years	{'place_id': 'bc39561011b12bc6'}
905138029	2020-07-28T02:08:12.000Z	1287932838734635008	  Now that's a Texas wedding..	{'place_id': '1c69a67ad480e1b1'}
1161862334	2020-07-28T02:05:22.000Z	1287932125967192064	a hunnid chick-fil-a chicken sandies for me and the kids in attendance at our wedding 	{'place_id': '3e82edc94d5c5ce1'}
590430859	2020-07-28T01:40:25.000Z	1287925848427958280	 You’ll do my wedding bb ♥️	{'place_id': '0120bae54df50356'}
1072294022373359623	2020-07-28T01:13:53.000Z	1287919170911383553	I can honestly say after consistently going to the gym for the past two months I’m really starting to see a difference in my whole body💕 she has pecs now henny 🥺 they little but they there	{'place_id': '1c69a67ad480e1b1'}
200242095	2020-07-28T01:08:46.000Z	1287917882412871684	Is it possible to hold your cable provider liable if you catch Covid because they refuse to carry the station for  games and you're forced to go to a bar?	{'place_id': '1c69a67ad480e1b1'}
3037107638	2020-07-28T00:48:32.000Z	1287912791341506560	My wedding vows: 	{'place_id': '1c69a67ad480e1b1'}
484071637	2020-07-28T00:13:36.000Z	1287904002362015744	We had an absolutely perfect weekend celebrating Ryan & Maddie. Perfect accommodations & fabulous Bridal Luncheon  delicious Rehearsal Dinner  & a beautiful wedding at the Weinberg at Wixon Valley. We could not have asked for a more perfect weekend! 	{'place_id': '343ecdd7da8dfae0'}
2203578260	2020-07-29T23:08:07.000Z	1288612295954890754	I haven’t been on a date in a year or 0 😕	{'place_id': '1c69a67ad480e1b1'}
333234065	2020-07-29T22:51:06.000Z	1288608014413553664	Anybody been to the roof top cinema? Shorty and I going on a date this weekend and I heard it’s pretty dope.	{'place_id': 'bc39561011b12bc6'}
1226632138470121478	2020-07-29T22:38:19.000Z	1288604796316979203	i wanna go on a date 🥺	{'place_id': '3e82edc94d5c5ce1'}
1043561622755848194	2020-07-29T21:44:57.000Z	1288591368361836544	Haven’t been on a date in a while but it was awesome speed dating these scientists and provocateurs. Special thanks to the Natl. Acad. of Science,  and our energetic host, actor       	{'place_id': '1c69a67ad480e1b1'}
1190028451622903810	2020-07-29T21:44:22.000Z	1288591219250155521	Never in my 0 years of being this old, have I ever been on a date. & I'm 0 😭😩. I wanna go on one😕😩😌💕	{'place_id': '1c69a67ad480e1b1'}
962888306	2020-07-29T20:59:26.000Z	1288579914103480321	think I’m about to take myself on a date	{'place_id': '1c69a67ad480e1b1'}
533296320	2020-07-29T19:35:27.000Z	1288558778254798854	Get in all the laughs!  That’s a great start to wedding day IMO @ Katy, Texas 	{'coordinates': {'type': 'Point', 'coordinates': [-95.82333, 29.78773]}, 'place_id': 'c484d6c5cd72beb0'}
4382068214	2020-07-29T19:11:34.000Z	1288552765170515968	Me at my wedding crocs and all😂 	{'place_id': '1c69a67ad480e1b1'}
417482666	2020-07-29T18:58:14.000Z	1288549412906635264	Growing up with a spiritual mom has always been so cool. Most Latinxs grow up with their moms forcing them to go to church. Meanwhile, mine was forcing me to align my chakras & meditate. Buying me crystals & shit😭	{'place_id': '1c69a67ad480e1b1'}
280231862	2020-07-29T17:52:26.000Z	1288532852355870721	katt need to hurry so we can go to the mall i need to find a top	{'place_id': '1c69a67ad480e1b1'}
1266935601082896384	2020-07-29T17:43:07.000Z	1288530506217291779	Reverse happy hour with sushi always gon be the wave whether I’m with my bros, on a date, or by myself.	{'place_id': '1c69a67ad480e1b1'}
188367181	2020-07-29T17:40:46.000Z	1288529918121345025	This is sad. They made amazing and delicious works of art, including my brother and his wife's wedding cakes. 	{'place_id': '1c69a67ad480e1b1'}
1073306091537293313	2020-07-29T15:46:21.000Z	1288501124669071360	 Don't go after individual candidates in the state of Texas. The entire Republican party is betraying state of Texas tie the candidates to the party and attacked the party like a hammer attacks nail and be relentless like the Lincoln project and you will win Texas	{'place_id': '1c69a67ad480e1b1'}
313475569	2020-07-29T15:09:17.000Z	1288491793437384704	I can’t wait to go shopping for my baby.	{'place_id': '1c69a67ad480e1b1'}
496759004	2020-07-29T15:01:32.000Z	1288489845233528832	Who tryna go on a date to the drive in theater 😌. I remember going 0 years ago an hour and thirsty minutes away,  because there wasn’t even one near Houston	{'place_id': '1c69a67ad480e1b1'}
3074342071	2020-07-29T13:13:36.000Z	1288462680886521862	I want torchys and to go shopping but I literally have no friends lol oops	{'place_id': '1c69a67ad480e1b1'}
164026910	2020-07-29T13:05:17.000Z	1288460590613241856	  Let's see...RockyAliens0Zoolander Goodfellas Batman v Superman: Dawn Of Justice The Wedding Singer The Man Who Went Up A Hill And Came Down A Mountain	{'place_id': '1c69a67ad480e1b1'}
881320368	2020-07-29T11:55:10.000Z	1288442943020371968	I really gotta lose weight for the wedding	{'place_id': '2614e03cea364877'}
208721757	2020-07-29T07:48:10.000Z	1288380785309954048	I didn’t go to the gym today now I’m up all night 😩	{'place_id': '1c69a67ad480e1b1'}
1005238453	2020-07-29T06:55:19.000Z	1288367485260115969	I'm so glad I decided on a courthouse wedding from the beginning (before the pandemic).   October can't get here fast enough  ❤👰🤵 	{'place_id': '822f7a173519a8dd'}
870331838807425024	2020-07-29T06:20:00.000Z	1288358596921761792	I miss going to the movies	{'place_id': '1c69a67ad480e1b1'}
838395274196320256	2020-07-29T04:10:25.000Z	1288325986199703552	Calvin Klein was having a sale on undies and I got a four pack of the microfiber ones for $0.0Only thing is idk when I’ll wear them because I literally only go to the gym and back home. I wear compression shorts to the gym and nothing at home	{'place_id': '1c69a67ad480e1b1'}
57886169	2020-07-29T04:03:55.000Z	1288324351645888513	i just wanna go to church 🙏🏽	{'place_id': '1c69a67ad480e1b1'}
1281844835411013633	2020-07-29T02:09:36.000Z	1288295579194466309	I need a women who works out in my life I need someone to motivate me to go to the gym and eat healthy yo I'm tryin to live past 0 but ion need no drill sergeant 💯	{'place_id': '1c69a67ad480e1b1'}
29586086	2020-07-29T01:40:40.000Z	1288288299644260352	Morning walk plus an afternoon trip to the gym.      @ Dynamic Fitness - Katy / Barker Cypress 	{'coordinates': {'type': 'Point', 'coordinates': [-95.68762782, 29.78649505]}, 'place_id': '1c69a67ad480e1b1'}
208861597	2020-07-29T01:36:12.000Z	1288287176493539331	A skeleton walks into a barAnd asks for a drink and a bucket 	{'place_id': '1c69a67ad480e1b1'}
299198758	2020-07-29T00:53:18.000Z	1288276380145324033	Surprised hubby w/private movie for 0th wedding anniversary!  Watching  Pure Country!       Thank you George! 	{'place_id': '1c69a67ad480e1b1'}
3237214820	2020-08-02T22:28:17.000Z	1290051823437406209	 Let me make your wedding cake	{'place_id': '1c69a67ad480e1b1'}
553366717	2020-08-02T21:49:47.000Z	1290042134561558528	everybody keep talking about a damn wedding , can y’all let this nigga propose first 😂😂 fuck	{'place_id': '1c69a67ad480e1b1'}
158597296	2020-08-02T20:20:00.000Z	1290019541066473476	To all the new MS0s - Please don’t let yourself miss life events, yours or your loved ones’, to study. There will ALWAYS be more to learn & review. Go to the party, wedding, reunion, bbq! Anki won’t miss you, I promise.  	{'place_id': '1c69a67ad480e1b1'}
1000638568178552832	2020-08-02T19:24:53.000Z	1290005669035175938	I wanna go on a date 😔	{'place_id': '1c69a67ad480e1b1'}
1163136536956850176	2020-08-02T19:04:09.000Z	1290000451522318336	To the bros that put on the whole bottle of cologne on before heading to the gym..... stop pls. That ain’t it.	{'place_id': '1c69a67ad480e1b1'}
59943536	2020-08-02T18:37:26.000Z	1289993727738548225	I miss going to the movies	{'place_id': '1c69a67ad480e1b1'}
985592925538009088	2020-08-02T18:15:22.000Z	1289988175000109056	I used to want a big wedding but now I just want to fly to NYC and get married in the Bethesda terrace🤗🤗 and then come back home and get married at the church	{'place_id': '7543692056063d2f'}
160002539	2020-08-02T17:52:15.000Z	1289982359706640385	I should’ve went to church today 🙏🏾	{'place_id': '1c69a67ad480e1b1'}
1227295352858062849	2020-08-02T17:47:44.000Z	1289981219929640960	i wanna go to the mall so i can get my stepdaddy out of charm!	{'place_id': '610a668f55d64af2'}
281609283	2020-08-02T17:07:21.000Z	1289971060046049280	Damn I really have to go shopping today	{'place_id': '1c69a67ad480e1b1'}
927559318056161280	2020-08-02T17:00:09.000Z	1289969246059917314	 They have a ride everywhere but to the gym	{'place_id': '343ecdd7da8dfae0'}
39880501	2020-08-02T16:03:04.000Z	1289954882326167552	Is it bad I don't wanna go on a date today and just wanna spend today by myself?	{'place_id': '1c69a67ad480e1b1'}
1151698941517422594	2020-08-02T15:41:27.000Z	1289949442439696385	Rodriguez Wedding in Houston Texas       	{'place_id': '578f76e373a03bae'}
1268533067796414472	2020-08-02T15:01:53.000Z	1289939482666401794	 I’ll send invitations for the wedding and baby shower 😂😂	{'place_id': '1c69a67ad480e1b1'}
16318823	2020-08-02T14:38:14.000Z	1289933533805338625	I’d love for you to come to church with me today  ONLINEFacebook - West Lake ChurchYouTube - LakeKids - lakekids.westlakechurch IN PERSONKing’s Harbor | 0 W… 	{'place_id': '38d0e797745f4c5d', 'coordinates': {'type': 'Point', 'coordinates': [-95.20747662, 29.92646716]}}
2935535298	2020-08-02T14:26:41.000Z	1289930624057454592	How i dream my wedding looks 	{'place_id': '1c69a67ad480e1b1'}
3012125493	2020-08-02T13:54:25.000Z	1289922504165711873	Happy Sunday .... 😫 i wanna go to church man .	{'place_id': '8935eb0e13a342db'}
3012125493	2020-08-02T13:35:20.000Z	1289917703554129920	Seeing Jas and  wedding videos had me all emotional 🥺🤧. That shit is beautiful ♥️	{'place_id': '8935eb0e13a342db'}
