2309776601	2021-04-26T23:52:59.000Z	1386830699349504001	U wear wedges on a date wit me, you payin ! And it’s not negotiable	{'place_id': '741e9df4d2522275'}
21161356	2021-04-27T20:19:13.000Z	1387139292770627585	 Universal Life Church will make you a minister for free! I officiated  's wedding! It was great!	{'place_id': '3b77caf94bfc81fe'}
2312820906	2021-04-27T20:18:45.000Z	1387139175124594689	I wouldn’t be mad if  wants to sponsor our wedding… 😉 I mean we did have our first date at a Starbucks 	{'place_id': '6f24e28976abe656'}
28595093	2021-04-27T20:13:38.000Z	1387137887775313926	Hardest part about planning a wedding.....guest list  😩	{'place_id': '70707114a9202b98'}
2691159529	2021-04-27T19:15:28.000Z	1387123247951474690	Neato!Just got invited to a party for William Manspeaker from Green Jello!!!   @ The Best Little Horror House 	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.45699, 34.16556]}}
458924358	2021-04-27T19:00:29.000Z	1387119477163053059	Mortal Kombat tonight let’s goooooo 😏😏😏😏😏First time going to the movies in a year and a half. Can’t wait to eat whack hot dogs and nachos	{'place_id': '00b028b400039d97'}
1309547152343887872	2021-04-27T18:31:10.000Z	1387112099311063041	About last night😛😛                             	{'place_id': '3b77caf94bfc81fe'}
1439266028	2021-04-27T18:17:02.000Z	1387108543615029250	I wanna go shopping for spring clothes, all I have are jeans, long sleeves & gym clothes 🙃	{'place_id': '3b77caf94bfc81fe'}
981763519	2021-04-27T17:33:25.000Z	1387097567368867843	I hope my future wife knows this how our wedding finna be.... 	{'place_id': '01c060cf466c6ce3'}
3249251	2021-04-27T17:06:08.000Z	1387090701704335360	so weird how witnessing a pandemic wedding or engagement or some other party celebrating the union of two famous chefs on instagram with no masks on absolutely anyone was just kind of the tip of the iceberg	{'place_id': '3b77caf94bfc81fe'}
2752328284	2021-04-27T16:46:29.000Z	1387085755839700993	Not my gf’s family from GDL sending me engagement rings they think she would like😩😂 mf’s really want a wedding lmao	{'place_id': '97e336e1e3ed9e1e'}
70055859	2021-04-27T16:40:37.000Z	1387084280124215296	I knew this baby shower was going to be on the same day as this wedding, danggg! Church in the morning then baby shower, then drive right back out to church for the wedding, then turn around just to go home.	{'place_id': '3b77caf94bfc81fe'}
2627988949	2021-04-27T16:33:47.000Z	1387082558622470144	hearing people say they’re tired from working 0 hours a week and going to the gym 0 days a week makes me wanna slap the fuck out of them	{'place_id': 'd07feb9e5b1ce37c'}
170071222	2021-04-27T16:00:09.000Z	1387074093892050947	Went to the gym this morning after like a year 🤰🏻	{'place_id': '2008b1cea656f14b'}
186740398	2021-04-27T15:59:10.000Z	1387073847724105729	I wanna go to the concert of The Midnight in November but still iffy with the pandemic situation.	{'place_id': '56909099a1d44057'}
4825539525	2021-04-27T14:50:51.000Z	1387056657142743048	So I need some help. I’ve never been to the gym and I would like to see if anybody could help me get started, finally. Any tips or routines YALL would like to share?! Please DM me, I want to make a huge change this year for myself.	{'place_id': '01c060cf466c6ce3'}
23023788	2021-04-27T13:36:29.000Z	1387037938534424588	0 for 0 waking up getting to the gym by 0am. Really loving this new routine 👀	{'place_id': '206e932cc0e89fa2'}
1158220845451337728	2021-04-27T11:36:34.000Z	1387007761045590017	  Wow? I guess nobody right I’m going shopping without one c what happens.. I’ll keep u informed lol	{'place_id': '0b93bc6a33455615'}
3075451038	2021-04-27T11:31:22.000Z	1387006454477901826	  I used to get sick monthly from going to the gym. People think they can work it out whole spreading their illnesses	{'place_id': '3b77caf94bfc81fe'}
3287251292	2021-04-27T06:25:58.000Z	1386929595639730179	Sooo who wants to go to the gym w me rn ??	{'place_id': '0706a21788cadb8d'}
707746458271883264	2021-04-27T06:15:20.000Z	1386926919174672384	First night going to a bar again and I walked in on a bitch spraying Lysol under her armpits in the bathroom.	{'place_id': '3b77caf94bfc81fe'}
14861579	2021-04-27T05:30:17.000Z	1386915583329914882	 So... joking aside, I do tell my mom that her family was filled with colonizers. My dads family was hella poor. Other than his mom, my grandma, being Conversa (had a kosher kitchen), we know nothing else. They called my dad Black. My moms family didn’t even go to their wedding.	{'place_id': '3b77caf94bfc81fe'}
60487171	2021-04-27T05:19:13.000Z	1386912800442707970	Love that damn song and that damn album. Love love.I legit went to the concert by myself and enjoyed every second of it. 	{'place_id': '3b77caf94bfc81fe'}
124080512	2021-04-27T04:21:35.000Z	1386898296363360262	Back in LA after a legendary weekend celebrating ’s wedding 💒 Basically had a festival quality lineup & firework display.....the bar has been set very high	{'place_id': '3b77caf94bfc81fe'}
28696660	2021-04-27T04:12:12.000Z	1386895935624470529	So I drive his car to Atlanta while he drinks his air plane bottles and the original plan was for me to just get dropped off at my dads and he was gonna stay in an hotel... we wanted to go to the mall so we went & he bought me this bathing suit and some other stuff from target 😭	{'place_id': '01c060cf466c6ce3'}
1062046863933747200	2021-04-27T03:01:28.000Z	1386878133849133057	My bf brought me to the movies Nd it’s our first time going to the movies Bc we’re a B Covid relationship 😭😭❤️	{'place_id': '59612bd882018c51'}
757790351532756992	2021-04-27T02:37:11.000Z	1386872021707984897	On a date with myself 😌💆🏾 Bout to eat some BOMB Ahh Sushi	{'place_id': '3b77caf94bfc81fe'}
1123516540274364421	2021-04-27T02:31:48.000Z	1386870666738094081	Drove 0min to the gym, saw all the cars in the parking lot...drove back home. Neva was to work out in a crowded gym	{'place_id': 'b0b79caecef59fb5'}
18025821	2021-04-27T02:00:40.000Z	1386862830465421318	Wedding song🥺 	{'place_id': '3b77caf94bfc81fe'}
1005852371908349952	2021-04-27T01:58:47.000Z	1386862358534914049	Came to the mall for fucken pretzel LOL	{'place_id': '1193edda55d6fa3d'}
41812263	2021-04-27T01:22:15.000Z	1386853162967961601	Worked up the energy to get to the gym then get there & the line is out the door 😕	{'place_id': '3b77caf94bfc81fe'}
1277031374294102017	2021-04-27T01:17:38.000Z	1386852003519766534	 Let’s go out for a drink dude someday 😭 I miss you 🥺	{'place_id': '2da132a7bfebfc0c'}
747434339265187840	2021-04-27T00:19:19.000Z	1386837326035185664	 I think at this point, more than a month from my second dose and with everyone I know personally (in this country) vaccinated, I would be happy to go to a party assuming I trusted the people involved, knew all people present would be vaccinated.	{'place_id': '10de09f288b1665c'}
35590010	2021-04-28T23:55:50.000Z	1387556192432496640	 Welcome to the Party. NYC + Drill, a rapper with that 0-Cent juice. Gone too soon. Damn Pop was going to be EPIC!!!!	{'place_id': '3b77caf94bfc81fe'}
1481492780	2021-04-28T23:00:44.000Z	1387542325530791936	 Most of our wedding guest relinked a few months later to do a honeymoon with us. HOWEVER we stayed 0 extra days to just be with each other. Issa no for them siblings tho. They got too much dirt on me and I don’t wanna be embarrassed on my own honeymoon.	{'place_id': '3b77caf94bfc81fe'}
1233149479131369473	2021-04-28T22:21:25.000Z	1387532433092870145	I know I’m late to the party but Polo G so nice🔥🔥🔥	{'place_id': '3b77caf94bfc81fe'}
2602454966	2021-04-28T21:46:14.000Z	1387523577851703296	Pulled up to the mall to “shop” walked out with 0 Yeezy slides love that	{'place_id': '3b77caf94bfc81fe'}
193938397	2021-04-28T21:27:34.000Z	1387518881556664321	(After having led her erstwhile friend into an FBI ambush at the Pentagon City Mall food court—and then accompanying the group to a room at the attached Ritz Carlton hotel where agents begin questioning Lewinsky—Tripp returns to the mall for some retail therapy.)	{'place_id': '01c060cf466c6ce3'}
120031426	2021-04-28T20:40:52.000Z	1387507129452417025	I am so excited to hire exclusively fire and earth sign vendors for our wedding	{'place_id': '01c060cf466c6ce3'}
852322190095601664	2021-04-28T20:34:09.000Z	1387505436249628672	When you are spotted out in the wild 🍦                  	{'place_id': '3b77caf94bfc81fe'}
113985640	2021-04-28T20:28:08.000Z	1387503924295258115	I went to Game 0 of the 0 Western Conference Championship in Denver. Lakers won the series. For some reason I thought it would be a good idea to go to a bar in Denver after the game. I was wrong. 🥊🥊 	{'place_id': '3b77caf94bfc81fe'}
311270509	2021-04-28T20:07:56.000Z	1387498840668860417	🤔🤔🤔🤔..Only the Shadows Know...You will see....You never know what we will be bringing to the Party!!!🥳🥳🥳🥳💯Mt  	{'place_id': '3b77caf94bfc81fe'}
3028904879	2021-04-28T19:54:07.000Z	1387495363204960257	Its nice taking a bike to go shopping 	{'place_id': '3b77caf94bfc81fe'}
953557670103076864	2021-04-28T19:47:55.000Z	1387493803045519365	Going to the gym for the first time in over a year tomorrow 😳	{'place_id': '3b77caf94bfc81fe'}
3220793438	2021-04-28T19:13:31.000Z	1387485145507110912	I indeed took a nap instead of going to the gym LMFAO	{'place_id': '0c2e6999105f8070'}
69485236	2021-04-28T18:46:10.000Z	1387478264138985473	Want a harder workout? Go to the gym without headphones.	{'place_id': '0b93bc6a33455615'}
3249006684	2021-04-28T18:21:55.000Z	1387472161120477185	I went to a restaurant with my sister and their soda machine wasn’t working. The waitress saw how disappointed I looked and she went to go check again. When she came back, she told us it’s back working. Me and my sister acted a damn fool in the restaurant 😭😂 	{'place_id': '3b77caf94bfc81fe'}
505252335	2021-04-28T17:36:17.000Z	1387460676843491329	Actually,  she, her mother and her sister, stayed there overnight to avoid stress and hassle of traffic of trying  to get there the morning of the wedding and avoid the Paparazzi lying in wait. 	{'place_id': '01c060cf466c6ce3'}
225208152	2021-04-28T17:34:07.000Z	1387460128731848705	Paying bills before I get to go shopping.  Fun times!	{'place_id': '771f8196d3598fe8'}
37566853	2021-04-28T16:59:39.000Z	1387451454919643142	When you bring everything to the gym BUT your headphones.....🙃 	{'place_id': '01c060cf466c6ce3'}
956638730	2021-04-28T16:38:51.000Z	1387446224022740992	I’m literally layin in the bed trying to figure out if I wanna walk to the gym or the weed shop 😭	{'place_id': '3b77caf94bfc81fe'}
399779902	2021-04-28T16:14:21.000Z	1387440058148392965	I will still go to the mall for mall pizza & mall cookies & a mall icee 🖤 	{'place_id': '3b77caf94bfc81fe'}
1309547152343887872	2021-04-28T16:09:10.000Z	1387438753384321026	You cant handle this                            	{'place_id': '3b77caf94bfc81fe'}
19725102	2021-04-28T16:00:25.000Z	1387436549650878467	back to the movies 🎥 🍿 thanks to  for reserving a private AMC theater to watch one of the best movies of all time 🔪 👻 	{'place_id': '3b77caf94bfc81fe'}
417354391	2021-04-28T15:15:48.000Z	1387425321310322693	been to the gym so much lately & eating out 0% less. feels good to feel good!!!	{'place_id': '3b77caf94bfc81fe'}
958869685985992704	2021-04-28T14:24:39.000Z	1387412449825935363	 Ugh take me on a date already 🤪🥰	{'place_id': '00b028b400039d97'}
56939071	2021-04-28T13:51:01.000Z	1387403983900135426	Who’s dragging themselves to the gym this morning...🙋🏻‍♀️	{'place_id': '3b77caf94bfc81fe'}
2591727528	2021-04-28T12:52:03.000Z	1387389145018900481	Snapshots of the care and time our team takes to prepare for each day. From student strategies for problems to shared reading passages to yoga mats for socially distant conversation circles, I am always awed by their work. Thanks team!  	{'place_id': '07d9d29713880000'}
80136483	2021-04-28T07:35:36.000Z	1387309506745434114	 Yeea I haven’t been to the gym in almost a yr tbh	{'place_id': '2da132a7bfebfc0c'}
1007674789	2021-04-28T07:11:45.000Z	1387303504629223426	if i don’t go to the gym tmrw morning i grant all starbs baristas to deny my orders for a week bc im  😔✋🏻	{'place_id': '1193edda55d6fa3d'}
988234904621142016	2021-04-28T04:33:13.000Z	1387263612322947072	  Yessss AND  too! I want him to throw it down at my wedding too in 0 years from now 😂♥️	{'place_id': '0706a21788cadb8d'}
988234904621142016	2021-04-28T04:16:40.000Z	1387259447202828290	All I’m saying is that i expect my wedding pop off exactly how  wedding did! 😌🥳	{'place_id': '0706a21788cadb8d'}
38922229	2021-04-28T03:54:39.000Z	1387253904006520833	It’s annoying convincing a person to go to the gym with you, it be like nvm geeez	{'place_id': '56909099a1d44057'}
21892781	2021-04-28T03:48:48.000Z	1387252434548842497	It’s ok y’all cus I’m omw to the gym (i guess)	{'place_id': '3b77caf94bfc81fe'}
391027904	2021-04-28T03:09:53.000Z	1387242640693944320	Today is our 0th wedding anniversary!! Thanks for putting up with me for such a long time. I adore and cherish every moment of being with you. @ Milad's Kitchen 	{'coordinates': {'type': 'Point', 'coordinates': [-118.7930308, 34.1554938]}, 'place_id': 'f0592a72d560435a'}
113461843	2021-04-28T02:45:21.000Z	1387236466607104002	Wedding-Ready 	{'place_id': '3b77caf94bfc81fe'}
1206276425558319104	2021-04-28T02:35:56.000Z	1387234096103911425	I’m so lazy today I don’t wanna go to the gym 😭	{'place_id': '0c2e6999105f8070'}
2220269617	2021-04-28T02:11:44.000Z	1387228006414913536	It's interesting that society has a standard level of trust. Going to a restaurant is like getting net 0 hour terms on $0, with no credit check.	{'place_id': '3b77caf94bfc81fe'}
1073159002580606976	2021-04-28T02:00:30.000Z	1387225176421519362	I need to start giving mine to the gym.. and stop giving it to my bed 😭 	{'place_id': '0fc6568d145d84ac'}
148014784	2021-04-28T01:28:31.000Z	1387217129833832453	very late to the party but I’m obsessed with sturgill simpson	{'place_id': 'e1e35d357ceefa52'}
3254931721	2021-04-28T00:29:15.000Z	1387202214918197250	Grab your Early Bird Tickets now for SONA’s inaugural event honoring Paul Williams and MILCK.  Exciting surprise performances and appearances coming soon!  Support SONA and come to the party! Ticket Link:    	{'place_id': '3b77caf94bfc81fe'}
759466800765468673	2021-04-29T23:06:22.000Z	1387906133239599107	Can’t wait to go shopping splurging on MYSELF it’s needed I deserve it	{'place_id': '3b77caf94bfc81fe'}
935000576579866624	2021-04-29T22:54:26.000Z	1387903128536719360	Me n my mom didn’t speak for almost a month over sum petty ass shit because we are literally the same person same attitudes 😭 but she called me and said let’s go to the mall I’m like amonosss that’s my best fucken friend I am nothing without her	{'place_id': '01c060cf466c6ce3'}
205141839	2021-04-29T22:26:06.000Z	1387895996730859525	Took myself on a date 	{'place_id': '3b77caf94bfc81fe'}
931284656	2021-04-29T22:16:23.000Z	1387893554345746432	My brothers wedding was so fun !!	{'place_id': 'e9b2c8beb5442ec5'}
236623086	2021-04-29T21:43:27.000Z	1387885265092431872	 I would love to go to the concert alas I am an alum so I cannot. I just stick around for quality content.	{'place_id': '3b77caf94bfc81fe'}
231128917	2021-04-29T21:40:57.000Z	1387884634214567937	headed to the beach on my wedding day! you hoes could neva	{'place_id': '3b77caf94bfc81fe'}
1215148301093347328	2021-04-29T21:34:03.000Z	1387882900650041345	Where should I go to eat out here ?	{'place_id': '01c060cf466c6ce3'}
1264814736	2021-04-29T21:30:43.000Z	1387882058891120641	When you’re out on a date w/ your wife and see 0 Baptist pastor homies, you say, “Babe, gimme a second.” And then you creep up behind them and whisper, “Baptize yo’ babies!”  @ Smoke & Fire Social Eatery 	{'coordinates': {'type': 'Point', 'coordinates': [-118.15971315, 33.88938781]}, 'place_id': '7d2aec133a24b554'}
168389641	2021-04-29T21:21:19.000Z	1387879693752299520	Bring a friend to church tonight, we can’t wait to see you! 	{'place_id': '07d9d1cd7c881000'}
293714243	2021-04-29T21:09:47.000Z	1387876790526377985	I don’t know how foos be taking hats to the gym and sweating in em	{'place_id': '3b77caf94bfc81fe'}
852322190095601664	2021-04-29T21:07:39.000Z	1387876257598107650	RollerSkating + IceCream = FUN🍦                   	{'place_id': '3b77caf94bfc81fe'}
2581753482	2021-04-29T20:22:55.000Z	1387864998710374402	I need to go shopping in Frankies closet	{'place_id': 'e9b2c8beb5442ec5'}
1202065489775800320	2021-04-29T19:51:54.000Z	1387857193395834883	If I actually went to the gym sheeeeeeeeeeee	{'place_id': '3b77caf94bfc81fe'}
169136365	2021-04-29T19:43:23.000Z	1387855049485783040	Put a finger down if you were in London exactly ten years ago for the Royal wedding and then went back to the states and your parents house got broken into and they stole your camera with all your photos and the only proof you have that you were there is this lame plate. 	{'place_id': '3b77caf94bfc81fe'}
1227763970901041153	2021-04-29T19:22:17.000Z	1387849740239327232	  If you truly believed this, you wouldn't be comparing Kate to Meghan on her 0th wedding Anniversary. But I don't blame you. Kate is mediocrity personified. Meghan is coolness in human form.	{'place_id': '1193edda55d6fa3d'}
1173579710443343874	2021-04-29T18:53:43.000Z	1387842549943918592	  when old sis passing and her son Wedding dances  	{'place_id': '3b77caf94bfc81fe'}
231128917	2021-04-29T18:06:27.000Z	1387830654776139778	a plandemic wasn’t stopping my love & i wasn’t paying my full wedding budget for mfers to only attend bc they depressed during a pandemic. see y’all next year✌🏾	{'place_id': '3b77caf94bfc81fe'}
231128917	2021-04-29T18:05:06.000Z	1387830313947000839	next year i’m doing my big proposal & wedding ceremony🥰🥳🦋	{'place_id': '3b77caf94bfc81fe'}
634286779	2021-04-29T17:35:26.000Z	1387822849990135810	On a date, kinda nervous 	{'place_id': '0ffebf93a9950001'}
186740398	2021-04-29T17:07:18.000Z	1387815771032616962	Too lazy to go to the gym today. Why is it fucking hot outside?	{'place_id': '56909099a1d44057'}
32344697	2021-04-29T16:57:02.000Z	1387813185613225984	Mine was actually a “single by 0” pact. I pissed this guy off a few years ago so someone should probably tell him to unblock me. We have a wedding to plan 😅 	{'place_id': '3b77caf94bfc81fe'}
84445045	2021-04-29T16:07:34.000Z	1387800735761403906	ima come clean, i need a live band to perform a rendition of this at my wedding or 0th bday	{'place_id': '3b77caf94bfc81fe'}
36786316	2021-04-29T16:00:19.000Z	1387798912254107655	 Haven’t been to a bar, haven’t eaten indoors at a restaurant or have a professional haircut since 0/0/0	{'place_id': '3b77caf94bfc81fe'}
552775896	2021-04-29T15:59:40.000Z	1387798747329949697	Might fuck around and go to the gym to run 0 miles after work	{'place_id': '3b77caf94bfc81fe'}
1668071142	2021-04-29T15:47:53.000Z	1387795783240478722	The will to go to the gym has never been this low.	{'place_id': '01c060cf466c6ce3'}
182299947	2021-04-29T13:44:12.000Z	1387764656417042432	 I love you 🥺 kill it for the both of us cause I snoozed my alarm and didn't go to the gym this morning oooops	{'place_id': 'f2b1ac6c9d15503f'}
325980964	2021-04-29T13:38:33.000Z	1387763236011974656	Invite me to your Bunch O’ Lunch wedding. I will bring Red Rooster hot sauce for the fried chicken. 	{'place_id': '3b77caf94bfc81fe'}
1323681951165788160	2021-04-29T13:12:14.000Z	1387756611570212869	Waking up early to workout at home & waking up early to go to the gym are both very different lmao	{'place_id': 'f2b1ac6c9d15503f'}
3431717713	2021-04-29T07:22:10.000Z	1387668514836680704	If a vegan ever ask me to go eat out with them their type of food, I’m slapping the shit outta them 	{'place_id': '3b77caf94bfc81fe'}
344103637	2021-04-29T07:08:57.000Z	1387665187965079554	Who tf my cousin think he is taking some Jordan 0s to the gym 🧐	{'place_id': '3b77caf94bfc81fe'}
3233088073	2021-04-29T05:12:16.000Z	1387635823848288257	hate going to the gym alone 🙇‍♀️	{'place_id': 'cf2d9d01f16e9bd4'}
45058929	2021-04-29T04:34:36.000Z	1387626348038868992	Went to the gym AND went for a bike ride with the fam bam 😊😊	{'place_id': 'c2ad98c80a97adde'}
606714992	2021-04-29T04:29:56.000Z	1387625171121414146	 My gay husband and I went to a restaurant tonight! Mission accomplished.	{'place_id': '10de09f288b1665c'}
931284656	2021-04-29T04:23:25.000Z	1387623532738146311	My brothers wedding was so fun !!	{'place_id': 'e9b2c8beb5442ec5'}
95771429	2021-04-29T04:22:57.000Z	1387623412936314880	So .. going back to the gym tomorrow . It’s about time 🥲 I GOT FATTTTT lol	{'place_id': 'e9b2c8beb5442ec5'}
4923958417	2021-04-29T04:02:18.000Z	1387618217481277450	been eating too good since I have been back. Lol time go back to the gym 🤣	{'place_id': '3b77caf94bfc81fe'}
141005426	2021-04-29T03:21:53.000Z	1387608046675795968	Arts and crafts + wine time 😊 these flowers from the wedding are drying nicely! The bride is very excited to see what I create!	{'place_id': '3b77caf94bfc81fe'}
1176746125224636417	2021-04-29T03:18:48.000Z	1387607271551561731	I went to the gym & now I want a margarita 	{'place_id': '0c2e6999105f8070'}
413622252	2021-04-29T02:56:49.000Z	1387601736416722947	Thinking about going back to the gym these backyard workouts ain’t it no more	{'place_id': 'f2b1ac6c9d15503f'}
1066145431267098625	2021-04-29T02:16:47.000Z	1387591662931611653	" ""can't we just go to a bar and watch the game""?  She's an athlete, very smart, bit I swear before God I think an alien body snatcher must have gotten inside of her. ""NO, we can't just got to a bar and watch the SUPER BOWL!"". I didn't get the game on"	{'place_id': 'e1e35d357ceefa52'}
2357668980	2021-04-29T00:46:38.000Z	1387568977707077632	  Aww thank you! Would love to have a meetup at my house to watch a game🥰🥰	{'place_id': '3b77caf94bfc81fe'}
71979204	2021-04-29T00:43:55.000Z	1387568291867107328	Damn I really got no clothes that fit me for a wedding because i got fat through 0 lmao 	{'place_id': '3b77caf94bfc81fe'}
791160017114324992	2021-04-29T00:14:48.000Z	1387560966817259523	Damnn it's almost gunna be a week since I've gone to the gym 😭 its gunna hurt good today	{'place_id': 'e04653ebc39b100c'}
272226103	2021-04-29T00:11:12.000Z	1387560060935491584	Damn I’m gonna have like 0 people to invite to my wedding	{'place_id': '59612bd882018c51'}
2262256675	2021-04-30T23:37:38.000Z	1388276389275635713	 And that they’re Brits too! This is the first time I heard one be irreverent. I have a good number of American friends who don’t get it. I don’t get it. Some like the royal wedding, but it is worth them grifting of a country for? This is why I couldn’t get into The Crown	{'place_id': '3b77caf94bfc81fe'}
1859545712	2021-04-30T23:25:55.000Z	1388273439748726786	Alright, after a few hours of running around today doing errands, I’m ready for a drink now😌	{'place_id': 'd07feb9e5b1ce37c'}
225508363	2021-04-30T22:35:38.000Z	1388260784384348160	"  I have a pair of Van's Slip-ons that I got the last time I went to the mall back 0/0 and I have wearing them almost everyday since...they're my ""Pandemic Shoes"" and they'll be replaced the next time it's safe to visit a mall"	{'place_id': '5e68ca240e32025a'}
923653346	2021-04-30T22:09:23.000Z	1388254179664216064	Getting ready for the wedding ceremony that I’m officiating a week from tomorrow.  @ Pasadena Posh 0 Airbnb 	{'place_id': '10de09f288b1665c', 'coordinates': {'type': 'Point', 'coordinates': [-118.1118925, 34.14247595]}}
