2164225647	2020-11-02T23:57:44.000Z	1323414018384666626	It’s so dark when I leave work 😩I rather be going to work when it’s dark	{'place_id': '96af18411a813391'}
38457045	2020-11-02T10:12:54.000Z	1323206441218514944	    I think they need to go out of business and start all over again. They haven’t governed in quite sometime—they destroy government.	{'place_id': '002e24c6736f069d'}
20027787	2020-11-02T09:56:39.000Z	1323202352158048259	The tantrum is unnecessary but this argument is weird to me. I don’t feel entitled to no else’s things, but I grew up in a culture where the LAST thing you are selfish with is food. When we go out to a restaurant or order food, everyone offers/shares their plate. 	{'place_id': '00c39537733fa112'}
557546834	2020-11-02T06:49:56.000Z	1323155365060640769	Please go out and vote for Biden.Love America.Bangladeshis for Biden,, USA 	{'place_id': '00c39537733fa112'}
231208533	2020-11-02T05:45:06.000Z	1323139047963959296	I’m getting old . It takes me a whole week to recover from one night of going out .	{'place_id': 'b046074b1030a44d'}
405910862	2020-11-02T03:11:22.000Z	1323100358281961473	do I go out and drink tonight even tho I have physical therapy tomorrow	{'place_id': 'c735e25ad03113d5'}
1296576593993904133	2020-11-02T03:07:02.000Z	1323099268664709122	 *hugs* when I’m better can we please go out and have fun? I’m so tired of being home all the time🥺🖤	{'place_id': 'b046074b1030a44d'}
235011705	2020-11-02T03:04:14.000Z	1323098566651502597	It’s very important to go out and vote. Countless people have devoted their lives towards earning many of us the right to. But that is where the conversation should stop; or at least where mine does.  	{'place_id': '50eb4d67892e9d34'}
2781878789	2020-11-02T02:30:51.000Z	1323090163413766144	it’s that time of year again folks. don’t ask me to go out. christmas shopping is beginning early.	{'place_id': '51b45b88191c1a6e'}
4152636209	2020-11-02T02:12:42.000Z	1323085595653136388	Na today was mad weird... I didn’t even go out last night and I slept majority of the day😭	{'place_id': '00c39537733fa112'}
951375793984286720	2020-11-02T01:14:47.000Z	1323071020731932674	On this rainy day  members and      came together to rally to express the importance of this election to encourage voters to go out and vote 🗳 as of their life depends on it because it does! 	{'place_id': '01a9a39529b27f36'}
448436100	2020-11-02T00:57:56.000Z	1323066781381074944	Go out and    @ New York, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
1298458951437234178	2020-11-02T00:36:14.000Z	1323061320120487941	Wifey was going out to vote today, right before she left she asked if I wanted to be in a diaper 🥰 see the full video on Just For Fans  	{'place_id': '16ff60eaacd70320'}
2929650225	2020-11-02T00:04:34.000Z	1323053350900895746	  Julie, I am so sorry to hear this. Our hearts go out to you and the kids. Thinking of your family during this difficult time.	{'place_id': '011add077f4d2da3'}
750479971894845440	2020-11-03T23:34:54.000Z	1323770661664395265	I’ve go on my Instagram and see post pro trump of Latinos I went to school with wtf 🤦🏽‍♂️🤦🏽‍♂️ sad seeing the true colors man	{'place_id': '23a06e5cc6d83009'}
56846719	2020-11-03T23:12:14.000Z	1323764957473898496	I have 0 nice, going out jackets that I brought last season in size Xlarge that now barely fit this year 😢	{'place_id': '00c39537733fa112'}
4056209999	2020-11-03T22:43:29.000Z	1323757720273604609	 Going out with one last  That's COMMITMENT!!	{'place_id': '01a9a39529b27f36'}
974020755959767040	2020-11-03T22:18:35.000Z	1323751453979217920	Wishing I was down in  👀Go out support my bros  and  K I C K B A C K😈👅💦 	{'place_id': '011add077f4d2da3'}
974020755959767040	2020-11-03T22:08:18.000Z	1323748868538945540	Yall ready for President  🇺🇸 GO OUT AND VOTE TODAY!! 🗳   	{'place_id': '011add077f4d2da3'}
910580137741123585	2020-11-03T22:06:35.000Z	1323748434764058631	Another edition of the Rhodium Round-Up is going out soon—DM us your email or subscribe via the site to stay in the loop: new releases, news, and a round-up of interviews and reviews of music we love from other artists. Some beautiful music this month!	{'place_id': '011add077f4d2da3'}
713799110327820288	2020-11-03T21:46:29.000Z	1323743377016442882	Polls are still open! I’m begging you to go out and  ‼️ 	{'place_id': '01a9a39529b27f36'}
26594548	2020-11-03T21:39:42.000Z	1323741667237728257	Imagine going out tonight for drinks. Like casually	{'place_id': '01a9a39529b27f36'}
911047885478924288	2020-11-03T21:36:53.000Z	1323740961336414215	your parents, children, grandparents, grandchildren & all your future generations. Go Out & Vote Now. Much Luv from NYC💞🗽   	{'place_id': '01a9a39529b27f36'}
911047885478924288	2020-11-03T21:36:53.000Z	1323740958895255562	"Good Afternoon, Twitter Family & Friends. I'm posting Taylor Swift's ""Only The Young"" video so you can see what we're voting for. We're voting for our children's & grandchildren's futures along with ours. So, if you haven't voted as of yet, Go Out & Vote Now."	{'place_id': '01a9a39529b27f36'}
135153863	2020-11-03T21:31:30.000Z	1323739605804470280	 IF YOU'RE IN YOUR CAR (VOTE)IF YOU'RE IN YOUR BED (VOTE)IF YOU'RE GOING TO WORK (VOTE)VOTE VOTE VOTE	{'place_id': '011add077f4d2da3'}
541082759	2020-11-03T21:28:46.000Z	1323738916906766336	 The people are going out sad smh 🤦🏾‍♀️	{'place_id': 'fa3435044b52ecc7'}
2504256076	2020-11-03T21:23:06.000Z	1323737491527127042	  When is the confirmation/shipping email for the series x winners going out?	{'place_id': '011add077f4d2da3'}
936237594	2020-11-03T21:17:12.000Z	1323736007435571202	I don’t ever double post but here goes nothing. Enjoy the vibes! Go out n vote n lets make this world a better place! I love you all! Enjoy 💗 link in my bio!! 👩🏼‍🚀 @ Hell's Kitchen 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.994641, 40.763744]}}
969819204043116544	2020-11-03T21:13:03.000Z	1323734963003527168	Please go out and      	{'place_id': 'b046074b1030a44d'}
1546677751	2020-11-03T21:03:11.000Z	1323732478004264960	LMFAOOO OHH ITS OKAY TO GO OUT AND VOTE AND ALSO TO GO OUT AND PROTEST. BUT THE POOR BUSINESS OWNERS WHO ARE LOSING THEIR LIVELIHOODS B/C ONLY 0 PPL ARE ALLOWED IN THEIR RESTAURANTS ARE SUPPOSED TO ACCEPT IT? Give me a Fucking break. 	{'place_id': '01a9a39529b27f36'}
165333218	2020-11-03T20:49:31.000Z	1323729041325805568	People are going out sad & rightfully so. It’s okay to not know things. But it’s NOT okay, to not know things & then speak on them like you’re intelligent	{'place_id': '002e24c6736f069d'}
4861170652	2020-11-03T20:35:38.000Z	1323725545180377089	And I’m gonna teach my son that too. Once he gets to school his teachers are only allowed to call him Isidore and they better get it right!	{'place_id': 'fa3435044b52ecc7'}
1160474106	2020-11-03T20:27:23.000Z	1323723469801033732	Voted despite lack of welcome feel at Firehousemaybe shouldn't have worn RBG mask .....really hope trying to intimidate strangers who don't vote like you is going out of style	{'place_id': '36763957ba75d166'}
1247324030925000705	2020-11-03T20:12:39.000Z	1323719762103382016	Does the CDC even know what’s going on? I mean I voted in person bc I don’t have covid but what’s the point of people needing to  quarantine if they get covid, if the CDC says it’s safe to go out? Is anyone else confused? 	{'place_id': '01a9a39529b27f36'}
1849164720	2020-11-03T20:03:11.000Z	1323717381613588481	PSA: The best birthday gift you can give me is to go out and  🎁🗳 @ Manhattan, New York 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.9675, 40.7779]}}
2396910744	2020-11-03T19:54:12.000Z	1323715118962774022	just did a ✨magical ✨ thing (aka I voted). pls pls pls go out and vote, it’s free and open till 0 pm. let’s make this country blue as fuck.    	{'place_id': '01a9a39529b27f36'}
2881947940	2020-11-03T19:34:52.000Z	1323710252542578688	Make sure you go out and   today! 	{'place_id': '70f8f5f2ad7e0722'}
3065301110	2020-11-03T19:26:32.000Z	1323708158662086658	Follow the science, right? You can’t go to school, work, a restaurant or a concert, but sure, go vote. 	{'place_id': '54719aecdeecbbe8'}
1264687555020312577	2020-11-03T19:25:06.000Z	1323707795351494662	Go out and vote y’all! 	{'place_id': '011add077f4d2da3'}
44188505	2020-11-03T19:17:22.000Z	1323705850792448000	Go out a  something we all need to do.  @ New York, New York 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}}
245552796	2020-11-03T19:02:53.000Z	1323702203559874561	Scratch that, going out 0pm est today	{'place_id': '011add077f4d2da3'}
2256720965	2020-11-03T18:53:56.000Z	1323699950706921472	If you haven’t already please go out and vote!! Trust me when I say every vote counts and your voice matters. If you want change this the only way you will get it !!! 	{'place_id': '65e3a577f1940550'}
218375802	2020-11-03T18:39:53.000Z	1323696415181283328	My mom telling me she voted before going to work today...Me: “Just checking in, pls tell me you didn’t vote for that loco”Mom: “do you think I’m an idiot? Hell no. I could never. And then for the other people, if I wasn’t sure, I just chose all the Black and Hispanic people”	{'place_id': '011add077f4d2da3'}
2479208095	2020-11-03T18:37:35.000Z	1323695839148154880	This indo-Guyanese girl I went to school with is a trump supporter. That’s not the issue. Someone came on her post being disrespectful and her clapback was you’re black and on welfare. Other ways to cuss he skunt but you want to play the race card.	{'place_id': '00c39537733fa112'}
18935623	2020-11-03T18:26:19.000Z	1323693001512783873	Get up go out and vote ✊🏾  @ Apollo Theater 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.95013, 40.80991]}}
363083125	2020-11-03T18:26:16.000Z	1323692989710016514	Parents you knew what the fuck you signed up for when you sent your kids to school during a fucking pandemic 😭	{'place_id': '96ddfc4bf2f1a80c'}
475456801	2020-11-03T18:20:02.000Z	1323691422185381888	Go out and  today if you haven’t already done so! That’s it. That’s the tweet...  	{'place_id': '07d9e46e48087002'}
351560614	2020-11-03T18:14:23.000Z	1323690000517599234	  Hell yeah! And I wasn’t saying it like it bad haha when i commented there was 0 & 0 😂 like damn I came back to college 😂	{'place_id': '11cdb607ab2f17bb'}
1255398612	2020-11-03T18:02:53.000Z	1323687106699550723	I literally go out of my way for people and when it comes to me? NADA ZIP ZILCH	{'place_id': '011add077f4d2da3'}
1040860346	2020-11-03T17:43:48.000Z	1323682302556360705	It’s funny they say republicans are “uneducated” because the base didn’t go to college, but it certainly hasn’t looked like we’re the ones acting uneducated.	{'place_id': '4244555da048ffbf'}
1089656313146150913	2020-11-03T17:40:41.000Z	1323681517458042882	Y’all keep saying y’all not gonna vote because Biden and Trump are both trash like that makes it any better. Your vote MATTERS! Regardless if you dislike both Trump or Biden. Stop being a dumbass and go out there and just vote!	{'place_id': '11cdb607ab2f17bb'}
566626568	2020-11-03T17:38:13.000Z	1323680896646549504	Orders going out. Thanks for shopping with us 🌎  🌎 @ TopShelf Kicks 	{'place_id': '8739d0bab792509d', 'coordinates': {'type': 'Point', 'coordinates': [-74.2792552, 40.8425442]}}
975779572565336076	2020-11-03T17:21:02.000Z	1323676573585805314	 how do you think biden gets rid of virus. He is going to kill it with a bat?  If you think lock down is answer you are a rich person with no regard to those that can't work at home or kids need to go to school	{'place_id': 'f3d6bfeecd27dfce'}
409693411	2020-11-03T17:14:19.000Z	1323674882576732160	I’m having a hard time finishing up the second part of manuscript of poems to go out to my editor, just content it distracted more than usual, gonna go for a walk and try to settle down into writing when I return. 	{'place_id': '01a9a39529b27f36'}
970683032901480453	2020-11-03T17:13:50.000Z	1323674760719511552	Pleaseeee make sure y’all go out and vote!	{'place_id': '00c39537733fa112'}
73479737	2020-11-03T17:13:03.000Z	1323674563780202499	Go out and vote! 	{'place_id': '23a06e5cc6d83009'}
792162315445604352	2020-11-03T17:10:09.000Z	1323673832834666497	   Since march everyone knew how serious covid is and yet people still took it upon themselves to go out partying drinking working looting.. ur all grown people and should of took it upon urselves to take precaution and santize urselves daily .. dont blame Trump for that !	{'place_id': '7356b662670b2c31'}
20734655	2020-11-03T17:07:12.000Z	1323673093169184775	 Ours has steadfastly refused to go out with the kids in the mornings for the last 0 months waiting until I come home at 0 instead. I'm home this morning and he's 'desperate' to go out by 0am.	{'place_id': '01a9a39529b27f36'}
84656359	2020-11-03T17:05:34.000Z	1323672679170322432	Go out and Vote everyone. 	{'place_id': '002e24c6736f069d'}
2208159683	2020-11-03T16:59:16.000Z	1323671095761903617	Go out and VOTE if you haven’t yet!!!🙌🏼🙌🏼 	{'place_id': '00c39537733fa112'}
19498113	2020-11-03T16:57:15.000Z	1323670586900492291	Go out and vote	{'place_id': '00c39537733fa112'}
50757758	2020-11-03T16:47:14.000Z	1323668067927416832	These elections are very important. Go out there and     	{'place_id': '002e24c6736f069d'}
360755270	2020-11-03T16:42:46.000Z	1323666942109097985	If y’all don’t go out and fucking vote 	{'place_id': '01a9a39529b27f36'}
64705257	2020-11-03T16:35:56.000Z	1323665225095254019	I am feeling energized and ready to go out today.	{'place_id': '00c39537733fa112'}
1294126129893257218	2020-11-03T16:33:34.000Z	1323664627528589312	 “I’m just going to do this during lockdown to lose some weight and it’ll be FINE because I’m not able to go out and run anymore”	{'place_id': '011add077f4d2da3'}
614016025	2020-11-03T16:31:53.000Z	1323664205220843520	Do it for your futureDo it for your familyGo out and  0% OFF ALL PREMIER LEASES/EXCLUSIVESOFFER ENDS 0/0 @ New York, New York 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}}
555120853	2020-11-03T16:14:16.000Z	1323659769547264002	Grateful that I’ve already voted and that today I’m busy with school assignments and have to go to work later 🙏	{'place_id': '01a9a39529b27f36'}
2290803002	2020-11-03T15:58:13.000Z	1323655730252140546	Go out and Go vote. Our voice matters. A chance at a better future is in our hands.   @ New York, New York 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}}
922305961	2020-11-03T15:47:40.000Z	1323653078046937088	 Just checked my ballot earlier and it hasn't been received. Going out to vote soon. 	{'place_id': '002e24c6736f069d'}
1506002838	2020-11-03T15:41:27.000Z	1323651514381029376	Go out and vote! Vote! Vote! Vote! Vote for what’s in your best interest. While you’re out there voting be safe and remember this pandemic isn’t over so wear your face masks.	{'place_id': '011add077f4d2da3'}
44754769	2020-11-03T15:35:03.000Z	1323649902514196486	Took my wife to vote. Then to work. Now I’m going to go vote and then go to work.	{'place_id': '01a9a39529b27f36'}
57394103	2020-11-03T15:34:41.000Z	1323649809585242121	A short musical message. VOTE TO  TODAY !!!          If you know someone who suffered from COVID, or someone who is now unemployed or someone who  has to go to school online. If you've had enough of the Republican agenda, VOTE FOR CHANGE TODAY !!!   	{'place_id': 'a64b09ad02cb5c61'}
784482381562511364	2020-11-03T15:26:31.000Z	1323647754896351232	GOOD MORNING IF YOU HAVEN’T VOTED YET GO OUT THERE AND VOTE!!!!	{'place_id': '01a9a39529b27f36'}
41490669	2020-11-03T15:12:58.000Z	1323644346403610624	If you can please go out and vote. My experience legit took 0 minutes.  	{'place_id': '00c39537733fa112'}
113129593	2020-11-03T15:12:14.000Z	1323644158771372032	Spending the last 0 minutes going back and forth throwing out  conspiracy theories about the election with my Trump supporting cousin is what I needed today.  When we were done we laughed. Still not getting an AR but I support his right to.  Go out and vote  	{'place_id': '1e87657b94063b58'}
31935432	2020-11-03T15:11:28.000Z	1323643967444033536	I also want to encourage you to go out and  today if you haven't already. Think about the values that truly mean something to you, how we can make a difference in this world and which candidate do you think will lead us towards that in a better way. 	{'place_id': '011add077f4d2da3'}
3295759861	2020-11-03T15:10:14.000Z	1323643656344080392	If you live in the US and havent voted yet this is a reminder to go out and vote today! 	{'place_id': '01a9a39529b27f36'}
78972638	2020-11-03T15:08:38.000Z	1323643254718582784	Please go out and vote. Every vote counts. Your voice is your power.  	{'place_id': '01a9a39529b27f36'}
1103097415773683714	2020-11-03T14:54:39.000Z	1323639733264781313	Good morning. it’s a good day to go out there and exercise your right as an American. Let’s vote that impostor out of office 👏🏻	{'place_id': '011add077f4d2da3'}
791280369970577408	2020-11-03T14:52:59.000Z	1323639317428883458	They said, “he’s going to start wars in the Middle East, he’s never going to work with them.” THIS PRESIDENT GOT IT DONE! 🇺🇸  	{'place_id': '011add077f4d2da3'}
166031009	2020-11-03T14:50:47.000Z	1323638761947860993	Yes but this isn’t real time, it’s a prediction so still go out there and vote everyone 	{'place_id': '01a9a39529b27f36'}
3771750135	2020-11-03T14:41:45.000Z	1323636486634459136	Ass hole there is no cure stay in and lock your door because this what is going to happen why are old people afraid to go out we will at some time die any way from old age and not the virus 	{'place_id': 'cd252b18da6e948e'}
731195921539682304	2020-11-03T14:40:06.000Z	1323636072912400384	It’s Election Day! Go out there and exercise your right as a citizen who wants a better tomorrow! 	{'place_id': '002e24c6736f069d'}
67714825	2020-11-03T14:39:13.000Z	1323635851423789057	Honestly I’m going into hibernation. I’ve been going out way too much.	{'place_id': '01a9a39529b27f36'}
222921304	2020-11-03T14:37:17.000Z	1323635362430885888	I am dangerously low on wine so when I go out to the liquor store I am going to drive around and look at all the lines at the polling places to make myself feel better	{'place_id': '011add077f4d2da3'}
352580700	2020-11-03T14:32:12.000Z	1323634087094046720	Wait now..I refuse to go out looking like this.. 	{'place_id': '01a9a39529b27f36'}
