2020-01-06T23:47:26.000Z	1214332677668712448	Everyone is so happy that they’re going back to school then there’s me...  mad asl	{'place_id': '789a596e07b40baf'}
2020-01-06T19:16:32.000Z	1214264502541266945	No lie, I can really be my own lawyer. Shoulda went to school for this shit man	{'place_id': '01a9a39529b27f36'}
2020-01-06T19:12:37.000Z	1214263520549883904	If I meet Jay.. i’m going back to school four years paid & I would like an internship at Roc Nation. Please and thank you. 🙏🏾 	{'place_id': '00c39537733fa112'}
2020-01-06T18:54:11.000Z	1214258878684241922	 Oh how I know that feeling when my daughter used to go back to college the long goodbye the wave the kiss by the window I used to cry watching her leave with her luggage bag beyond her but I knew I would see her on her bday feb 0 th ❤️you be ok ❤️😘	{'place_id': '011add077f4d2da3'}
2020-01-06T18:47:08.000Z	1214257104342671360	Going out to eat by yourself most of the time is more relaxing and enjoyable than going with multiple people 	{'place_id': '00c55f041e27dc51'}
2020-01-06T18:22:19.000Z	1214250860525621248	 Waves form from the tide going out 😉	{'place_id': 'ea36c6003e42f3d0'}
2020-01-06T18:07:47.000Z	1214247203151192071	My boyfriend leaving me today to go back to school 😢😢 ima miss u sm iluuuu keep making us proud big dawgggg 😘 the real dadaaaa lmao ❤️	{'place_id': '011add077f4d2da3'}
2020-01-06T18:05:19.000Z	1214246583174385664	My baby sister is going to college y’all!	{'place_id': '01a9a39529b27f36'}
2020-01-06T17:32:51.000Z	1214238410317144071	 minimum 0 hour wait to fill a prescription ... Why?? Do you need more staff?? If I didn't get my scripts filled here EVERY TWO WEEKS .. I'd switch in a heart beat. 0 hours? Guess I'm not going to work today since I can't go without my medication. Thanks CVS.	{'place_id': '94542c3c348faf28'}
2020-01-06T17:32:15.000Z	1214238261083811841	Bird no. 0 for the year:  Northern Cardinal, chipping away in a tree on the way to school this morning.	{'place_id': '01a9a39529b27f36'}
2020-01-06T17:24:27.000Z	1214236297482649601	 some of us are going to WORK.	{'place_id': '00c39537733fa112'}
2020-01-06T17:07:49.000Z	1214232113077194760	i honestly can’t wait to go back to school to be an adult in my house upstate😭 i have a completely different life back in the city	{'place_id': '01a9a39529b27f36'}
2020-01-06T17:04:04.000Z	1214231167102312448	He clearly was talking about the actors who barely went to school & not insulting Greta. There y’all go gaslighting & being wrong & strong again. Leave us alone!	{'place_id': '01a9a39529b27f36'}
2020-01-06T16:46:37.000Z	1214226777830285312	With  I know how it's going to work.  makes sense.But by letting voters decide w/ like Brexit style, that delays solving the fundamental problem Sometimes you need to take the opportunity + not waste time like w/  +  	{'place_id': '01a9a39529b27f36'}
2020-01-06T16:44:05.000Z	1214226137854988289	How was your first day back?     	{'coordinates': {'type': 'Point', 'coordinates': [-74.0007613, 40.7207559]}, 'place_id': '01a9a39529b27f36'}
2020-01-06T16:00:23.000Z	1214215140536733697	This isn’t going to work there without a vibrant non-government delivery service too. Packages need to get to doorsteps, not pick up at post offices, that’s ridiculous. 	{'place_id': 'c4dab45ef7581417'}
2020-01-06T15:43:01.000Z	1214210770625552386	Back to school 😑 I want a longer winter break sigh....	{'place_id': '00c39537733fa112'}
2020-01-06T15:39:01.000Z	1214209763065634819	Goodnight loves, I’m gonna go to sleep tom first day back to school, so I need the most sleep I can get love u all and my girls   	{'place_id': '7ac0f9fcbc48d490'}
2020-01-06T15:36:16.000Z	1214209071647199234	Anyone wanna go out for a cup of coffee?	{'place_id': '3d3c56338b6a3b4a'}
2020-01-06T15:29:38.000Z	1214207402624593921	Since I go to work late I’ll be here to collect my Cartier package	{'place_id': '00c39537733fa112'}
2020-01-06T15:24:57.000Z	1214206224444645376	i probably carried a lunch box to school like twice in my life.	{'place_id': '01a9a39529b27f36'}
2020-01-06T14:32:13.000Z	1214192955420028928	I really have to go to work 	{'place_id': '27485069891a7938'}
2020-01-06T14:20:16.000Z	1214189945377587202	Happy Monday everyone!!! Keep the FAITH!!! It’s all going to work out! Love y’all! @ Newark, New Jersey 	{'coordinates': {'type': 'Point', 'coordinates': [-74.1849, 40.7352]}, 'place_id': 'fa3435044b52ecc7'}
2020-01-06T14:12:58.000Z	1214188107823747072	Don’t feel like going to work today. Day going by slowly like this 	{'place_id': '002e24c6736f069d'}
2020-01-06T14:12:52.000Z	1214188084499230721	The Art of Giving Flowers should never go out of style! Bring to a Hostess’ home, offer as a Seduction to a Lover and give to say I am thinking of you! This is my favorite color. 💃🏻...... 💃🏻… 	{'coordinates': {'type': 'Point', 'coordinates': [-73.986111, 40.737778]}, 'place_id': '01a9a39529b27f36'}
2020-01-06T14:06:03.000Z	1214186370471727104	Don’t feel like going to work at all	{'place_id': '01a9a39529b27f36'}
2020-01-06T13:59:56.000Z	1214184829169930245	I was definitely supposed to go to the mechanic today, but I really don’t want to go out now	{'place_id': '559cf1d51980ff42'}
2020-01-06T13:43:14.000Z	1214180628737998848	These clients ask for assistance making appointments , I go out my way to make them & the day of I send out a reminder text & they tell me they decided days ago they weren’t going like when you was gonna tell me sis?!	{'place_id': '00c39537733fa112'}
2020-01-06T13:41:25.000Z	1214180170711609345	I haven’t been to my office in so long I can’t remember what floor I work on	{'place_id': '01a9a39529b27f36'}
2020-01-06T13:33:57.000Z	1214178291193667585	My mom tried to tell me to pick the meat out of pasteles so I can eat them... bitch get away from me I’m going out to eat vegan w my friends	{'place_id': '002e24c6736f069d'}
2020-01-06T13:28:21.000Z	1214176881945251840	 Get up n go to work	{'place_id': '01a9a39529b27f36'}
2020-01-06T13:05:46.000Z	1214171199208591362	Good morning! While in my country Spain today enjoys the day of the Tres Reyes Magos. I here in NYC going to work.           	{'place_id': '01a9a39529b27f36'}
2020-01-06T13:04:34.000Z	1214170896568659970	I don’t wanna wake him up to tell him we have to go to work 🥺🥺 	{'place_id': '01a9a39529b27f36'}
2020-01-06T13:02:32.000Z	1214170384871940096	idk who this new mel is but she’s on time to school	{'place_id': 'bc905fa51092b4d9'}
2020-01-06T12:55:20.000Z	1214168570466361344	Ughhhhhhhhhh I hate going out on the weekends. I’m way too tired today	{'place_id': '011add077f4d2da3'}
2020-01-06T12:48:17.000Z	1214166798876258312	Lost the argument with my conscience and am going to work instead.	{'place_id': '01a9a39529b27f36'}
2020-01-06T12:42:18.000Z	1214165292772929536	Back to school he goes. 	{'place_id': '081f9b4c85d52000'}
2020-01-06T12:35:11.000Z	1214163502203592706	Going to start the year and this’s my attitude ,so here I come 🙏🏻💪🏻👊🏻 0 going to  and focused forward 👍🏻😉 Hola ! @ Astoria (Astoria, New York) 	{'coordinates': {'type': 'Point', 'coordinates': [-73.93409927, 40.76328995]}, 'place_id': '00c39537733fa112'}
2020-01-06T12:17:15.000Z	1214158990197895168	GET YO ASS UP N GO TO WORK 	{'place_id': '002e24c6736f069d'}
2020-01-06T12:03:40.000Z	1214155571919753216	Whose with me? Use the hashtag  Let’s start a revolution. Happy Monday, Now go out there and .     ...........… 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
2020-01-06T12:02:03.000Z	1214155162702503937	Sometimes, during my morning commute, I pray my train car will get sucked into Hell so I don’t have to go to work.	{'place_id': '011add077f4d2da3'}
2020-01-06T11:48:11.000Z	1214151675168071680	i got two questions ! 0. why is it that i get sick on the wknds but fine to go to work on Monday ? 0. how do i fight my own body ?	{'place_id': 'b046074b1030a44d'}
2020-01-06T10:11:58.000Z	1214127459999928320	this influenza really gon take me out... that’s a pussy ass way to go out	{'place_id': '01a9a39529b27f36'}
2020-01-06T07:56:44.000Z	1214093428918751237	im not allowing my kid to join the army idc!! go to college, do something else.	{'place_id': 'fa3435044b52ecc7'}
2020-01-06T07:29:33.000Z	1214086585710497793	i did a whole lot of treating myself over the past four days lmao if we’re friends just fucking strangle me if i ask you to go out to eat bc i cannot afford to	{'place_id': '00c39537733fa112'}
2020-01-06T07:25:14.000Z	1214085501973618688	 We going out for drinks in that attire. Dassit	{'place_id': '011add077f4d2da3'}
2020-01-06T06:54:36.000Z	1214077792888991744	I would definitely choose dave & busters over going out to eat EVERY time. 	{'place_id': '00c39537733fa112'}
2020-01-06T06:07:40.000Z	1214065979510198272	 majority of women in person “don’t shoot their shot” they stare at a man they find attractive or smiles him waiting for him to say something. It’s different if she works with the guy or goes to school with him tho	{'place_id': '002e24c6736f069d'}
2020-01-06T05:35:44.000Z	1214057942435205125	     I can never take another one. I was scared to fly back to school. We got high asf before our flight back to Maine	{'place_id': '858cec499f8adba6'}
2020-01-06T05:27:24.000Z	1214055847418048512	I’m dead not trying to go to school tmrw	{'place_id': '011add077f4d2da3'}
2020-01-06T05:12:29.000Z	1214052093654446080	 When did they go out 🤔	{'place_id': '00c39537733fa112'}
2020-01-06T05:10:42.000Z	1214051642448007174	Imagine having to financially depend on someone to be able to go out 🤢🤢🤮🤮	{'place_id': '011add077f4d2da3'}
2020-01-06T05:00:48.000Z	1214049152939823105	 Lol!! Sounds like me. Either falling asleep when you have plans to go out. Or falling asleep while watching a movie. I’m done!!	{'place_id': '002e24c6736f069d'}
2020-01-06T04:17:48.000Z	1214038330448453633	Me when I go out and have met my social capacity 😂 	{'place_id': '01a9a39529b27f36'}
2020-01-06T04:14:36.000Z	1214037524663996417	I should stop complaining about going to work tomorrow because I do have a really good job... but I just, want another day off to chill, relax and do nothing, lol.	{'place_id': '00c39537733fa112'}
2020-01-06T03:58:54.000Z	1214033575466733569	Also if you guys think I’m geeking out too much over this it’s cause I went to school for film and TV so this is like my Super Bowl DEAL WITH IT	{'place_id': '16ff60eaacd70320'}
2020-01-06T03:46:30.000Z	1214030455651127298	 i dont go to the movies no more no more... i dont even know what is playing. But I do wonder why and how it is eveyone in a movie role is smking cigs like they are going out of style!	{'place_id': '01a9a39529b27f36'}
2020-01-06T03:44:25.000Z	1214029930792718341	Should i go to work Tomorrow? Still feeling pretty crappy 😪	{'place_id': 'b046074b1030a44d'}
2020-01-06T03:29:46.000Z	1214026242497875968	0 years after we all went different ways to college and work we got back together for a little reunion with the boys. Brooklyn Italians 0/0s. Thank you to everyone who showed up 🏆🏆🏆… 	{'coordinates': {'type': 'Point', 'coordinates': [-74.02354, 40.65022]}, 'place_id': '011add077f4d2da3'}
2020-01-06T03:28:22.000Z	1214025892424486917	My biggest anxiety about going to work is ALWAYS about packing my bag - which i always put off until the very last second - and I always think it’s going to take three hours to put together - and it a l w a y s takes less than 0 minutes 🙃🙃🙃 	{'place_id': '00c39537733fa112'}
2020-01-06T03:26:20.000Z	1214025378127339525	Me thinking about going to work tomorrow 	{'place_id': '01a9a39529b27f36'}
2020-01-06T03:26:18.000Z	1214025371773014021	Michelle Williams just stole the “best acceptance speech award” 🙌🙌🙌👏👏👏 very nicely done... go out and vote #    	{'place_id': '011add077f4d2da3'}
2020-01-06T03:24:58.000Z	1214025033082900481	 Michelle Williams is correct,WOMEN need to assert their choices in life!We need to choose a GREAT economy that supports choices!We need to choose upward mobility & full employment for women.We need to choose secure borders& choice as to where children go to school!	{'place_id': '00c39537733fa112'}
2020-01-06T02:52:19.000Z	1214016817871642624	Anybody wanna go to work for me tonight? But you gotta give me the pay 😫😫 I’m too broke to pass both work and money up 😂	{'place_id': '002e24c6736f069d'}
2020-01-06T02:40:40.000Z	1214013885751148545	Idk why mfs be wanting to go back to school...ITS DEPRESSING WHY YALL LIKE IT SO MUCH!!! Fuck the ppl fuck the classes fuck it all!!!!	{'place_id': 'c735e25ad03113d5'}
2020-01-06T02:08:33.000Z	1214005802794655744	 At least go out for a little bit.	{'place_id': '00c39537733fa112'}
2020-01-06T02:05:42.000Z	1214005088710250496	 Lmao chilll I ain’t tryna go out like that	{'place_id': '011add077f4d2da3'}
2020-01-06T01:55:34.000Z	1214002536623099904	 regardless of what has transpired with the eagles at least we ain’t go out like that 0 times whewwww	{'place_id': 'b046074b1030a44d'}
2020-01-06T01:21:55.000Z	1213994068772040705	Twitter has become the same shit Ig sc Facebook all these women selling ass!! Jesus can ya go to school and learn something other then being a smut!!	{'place_id': '002e24c6736f069d'}
2020-01-06T01:14:22.000Z	1213992169935187968	I’m not going to war you can barely get me to go to work	{'place_id': '01a9a39529b27f36'}
2020-01-06T01:05:42.000Z	1213989988003721220	This is the bullshit that feeds into the narrative to start a f--king war. It was a eulogist who made the statement, not Iran. This f--k has no clue what he's talking about. On another note, he wants war so bad, he should go out there and fight in it too. 	{'place_id': '01a9a39529b27f36'}
2020-01-06T01:02:08.000Z	1213989088606478342	0 hours later and I’m only just now breaking through the writer’s block, jfc. Whatever we’re cookin now guess I’ll just stay up a little late and go to work tired.	{'place_id': '00c39537733fa112'}
2020-01-06T00:37:12.000Z	1213982816817561601	 I refuse to go out without a fight 	{'place_id': '01a9a39529b27f36'}
2020-01-06T00:36:46.000Z	1213982707304292353	On my couch under my weighted blanket with my candle lit, face mask on, book in hand thinking about how I worked out, did not drink, organized my life, cooked a few new recipes & got 0+ hours of sleep a night & how this sense of calm will all go out the window by 0 am tomorrow.	{'place_id': 'e9143a85705b4d40'}
2020-01-06T00:35:25.000Z	1213982365455912968	 on god, like I said I get hanging out with random niggas cause I’m sure a woman wouldn’t want her man chilling with random women but not going out to parties???? you gon get a “be safe and have fun. text/call me if you need anything” from me lmao	{'place_id': '00c39537733fa112'}
2020-01-06T00:31:29.000Z	1213981375981916160	 You have to go to work 🙄	{'place_id': '011add077f4d2da3'}
2020-01-06T00:09:23.000Z	1213975816935297025	Wow I can’t believe I have to go to work tomorrow.	{'place_id': '00c39537733fa112'}
2020-01-06T00:06:47.000Z	1213975160837083136	 I go to school here sis. I just want my bacon egg & cheese 😭	{'place_id': '858cec499f8adba6'}
2020-01-07T23:59:40.000Z	1214698143515860998	Last show of this trip, going out on a high note 	{'place_id': '0fc285a18dd4c000'}
2020-01-07T23:10:22.000Z	1214685736714297344	0/0 times I do not go out (whenever I do go out) with the mindset that I’m tryna bag women. I’m just going out to enjoy myself and my time with my people.	{'place_id': '00c39537733fa112'}
2020-01-07T21:16:24.000Z	1214657056239759361	    X0 started at 0:0, but SIM0 starts at 0:0. Some people have been forced to go out of their way to take a different bus because the 0 doesn’t run as early.	{'place_id': '00c55f041e27dc51'}
2020-01-07T21:11:31.000Z	1214655830013992964	going go out on a limb here and say even trump even shows up to the debates they will not matter because a debate with him is pointless so the absolute last thing i’ll look at with a candidate is my fantasy scenario beating trump with facts and logic because i’m not stupid	{'place_id': '00c39537733fa112'}
2020-01-07T20:58:56.000Z	1214652662353989632	if my guy need a shirt or don’t look the part if we going out, then my clothes are his clothes. idc what nobody says. 	{'place_id': '00c39537733fa112'}
2020-01-07T20:24:27.000Z	1214643983982436364	 ahh me please! i broke my leg really badly last month and i haven’t been able to go out and work; i pay for school and luckily they’re nice enough to put me on a leave. I would really appreciate anything 💖	{'place_id': 'bf83670d90b7f0bc'}
2020-01-07T20:23:08.000Z	1214643652678565893	  Nah you know how I know this year going to be different? New Years I ain’t even go out I was just with the fam went to sleep wild early	{'place_id': '002e24c6736f069d'}
2020-01-07T20:06:53.000Z	1214639563387408384	  I give you credit, at least you take the effort to go to work, and pay the bills. Many people desire more in life. Appreciation for mundane routine reality, shows positive perseverance. Those who endure to the end, receive rewards. You have your health and strength, that's life.	{'place_id': '858cec499f8adba6'}
2020-01-07T19:46:48.000Z	1214634508139581440	I can only go out with my homies or bad bitches cuz u niggas be dead broke and that shit is annoying. At least bad bitches be getting sponsored. Jeez, u niggas need a sponsorship too.	{'place_id': '01a9a39529b27f36'}
2020-01-07T19:42:18.000Z	1214633377615302658	This is an excellent resource applying SDAG goals to NYC school demographics. Thanks  for such great work. 	{'place_id': '01a9a39529b27f36'}
2020-01-07T19:00:21.000Z	1214622820975730688	Mine is when I fully stop taking requests or factoring in anyone else’s preferences and just play back-to-back Kim Petras and Ariana until we go out. 	{'place_id': '01a9a39529b27f36'}
2020-01-07T18:39:47.000Z	1214617643191287809	My 0 vision board is just a collage of photoshopped images of myself &  working together - I think this one is going to work! 	{'place_id': '01a9a39529b27f36'}
2020-01-07T17:15:31.000Z	1214596436874145793	TIME IS OF THE ESSENCE... 🕰 this morning I woke up under the weather, I could have just passed out after taking the girls to school but I didn’t. I made myself a vitamin C ginger shot and got back to work. 📖 I took a… 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}}
2020-01-07T17:15:08.000Z	1214596342976303112	 Definitely nothing wrong with that in my book, but I also don’t go out to clubs/lounges often so	{'place_id': '00c39537733fa112'}
2020-01-07T17:14:21.000Z	1214596145751703554	 lmfaooo not every nigga go out to catch a whine or a dub angie. Some niggas go out to chill with they guys	{'place_id': '00c39537733fa112'}
2020-01-07T17:12:20.000Z	1214595636043157505	 Welll speaking for myself, I like the rara shit cause I only go out to drink and listen to music. I don’t gotta dance, I don’t gotta do any of that. My intentions ain’t really to bag nobody or none of that lmfao so I could care less what’s being played as long as I’m chilling.	{'place_id': '00c39537733fa112'}
2020-01-07T16:58:33.000Z	1214592166300934145	 saying she’s going back to school to follow her calling, cannot wait!	{'place_id': '011add077f4d2da3'}
2020-01-07T16:58:13.000Z	1214592084969218048	  Cuz as a man you can pop but I ain’t gone let you go out fighting the she hulk we gone just have to jump that bitch	{'place_id': '6d4a758f41e684b0'}
2020-01-07T16:54:21.000Z	1214591111706087427	Look what showed up to my office today! Thanks   	{'place_id': '5d09360434c9b510', 'coordinates': {'type': 'Point', 'coordinates': [-74.22766375, 40.83291044]}}
2020-01-07T16:51:54.000Z	1214590495441203205	When did covering your mouth when you yawn go out of style? People kill me with that, especially on a crowded subway.	{'place_id': '01a9a39529b27f36'}
2020-01-07T16:49:37.000Z	1214589919408119808	  Thank you thank you. Still need you to school me with your marketing perspective	{'place_id': '01a9a39529b27f36'}
2020-01-07T16:46:27.000Z	1214589124109357057	 Fotos dulos, boyfriend of CT woman Jennifer dulos who went missing after dropping her kids off to school last may has been charged with murder and is under arrest - multiple sources report	{'place_id': '65e3a577f1940550'}
2020-01-07T16:40:52.000Z	1214587717192949761	 why is there an israeli flag flying at school? i’m going out on a limb and assuming they don’t have any other flags from the middle east?	{'place_id': '01a9a39529b27f36'}
2020-01-07T16:25:05.000Z	1214583747217174529	How our Latino parents dique got to school everyday shoeless 🤔🤔 	{'place_id': '002e24c6736f069d'}
2020-01-07T15:38:51.000Z	1214572108912758784	Back to school (@ Long Island Business Institute in Flushing, NY) 	{'place_id': '00c39537733fa112', 'coordinates': {'type': 'Point', 'coordinates': [-73.82917015, 40.76059041]}}
2020-01-07T15:25:58.000Z	1214568867382644741	 We not stopping I barely go out now so if I wanna treat myself so be it	{'place_id': '01a9a39529b27f36'}
2020-01-07T15:05:35.000Z	1214563740764364802	 When it comes to college football news. My first, second, and third thoughts are how does this affect fsu?	{'place_id': 'fa3435044b52ecc7'}
2020-01-07T14:47:58.000Z	1214559303735971840	Choices...we make them several times everyday. Some are easier than others yet some of us do go to work to make them harder than necessary. Change is part of life...how we respond is 0% our choice.	{'place_id': '011add077f4d2da3'}
2020-01-07T14:21:03.000Z	1214552530983755776	Thanking God that my family in Puerto Rico are safe after that earthquake🙏🏻. My prayers go out to those families that were affected. 	{'place_id': '002e24c6736f069d'}
2020-01-07T14:10:28.000Z	1214549867818823681	Lmao I had a dream last night that Walmart was going out of business and people bum rushed the place bc everything was dirt cheap and all the employees quit bc shit got crazy so it legit looked like a scene from the walking dead and I came in after the madness...	{'place_id': '7356b662670b2c31'}
2020-01-07T13:53:46.000Z	1214545665512095746	If my commute wasn’t so ass I really wouldn’t mind going to work everyday	{'place_id': '002e24c6736f069d'}
2020-01-07T13:35:33.000Z	1214541079753740288	"The nastiest, most dangerous people on the street? Parents walking their kids to school at the church. As I try to jog by, taking up a tiny slice of sidewalk (there is plenty of room) they walk right into me, shove me, shout insults & tell me ""get out of here! Go in the street!"""	{'place_id': '00c39537733fa112'}
2020-01-07T13:31:58.000Z	1214540179177951234	the way people on my 0 train bullied a sick passenger off the train cus they have to go to work lmfaoooooooooo	{'place_id': '002e24c6736f069d'}
2020-01-07T13:00:24.000Z	1214532233664618497	 “EARTH QUAKES... The house shakes... When the LIGHTS go OUT... The BLACKOUT, is this an extinction event we see?” “They arrive like an EARTHQUAKE, sweep through like a tornado. Sun and moon turn OUT their LIGHTS, stars BLACK OUT.” 0:0 MSG  	{'place_id': '01a9a39529b27f36'}
2020-01-07T12:50:40.000Z	1214529785277407235	Good morning 🌍!!! I hope all is well with everyone. I think my head cold gets a bit better than it gets a worse. Today, I am feeling good. ‘I will keep getting better!!’ Positive Thinking is going to work...with a bit of self-care. 😃	{'place_id': 'bceb8153865c4a49'}
2020-01-07T12:40:49.000Z	1214527306489835521	The hardest part of going to work is waking up on time	{'place_id': '002e24c6736f069d'}
2020-01-07T12:39:26.000Z	1214526959092404225	"I need to find a book called ""how to go back to school when you illegitimately dropped out halfway thru the semester (now regretting it)  and only have 0 credits left and 0k in debt..."""	{'place_id': '00c39537733fa112'}
2020-01-07T11:37:10.000Z	1214511286995836928	I ... wanna go to work?	{'place_id': '00c39537733fa112'}
2020-01-07T10:35:17.000Z	1214495715986198528	I will not being going out on Monday for a bit. What am I kidding I will! Just less drinking haha	{'place_id': '011add077f4d2da3'}
2020-01-07T10:21:33.000Z	1214492259971932161	I refuse to believe an otherwise stellar all-star lineup is going with Farrell as Cobblepot. Hollywood is full of slight, strange-looking men who deserved this shot. Specifically the two guys who went to school with Bruce Wayne,  one of whom has already farted with the Riddler. 	{'place_id': '011add077f4d2da3'}
2020-01-07T09:34:16.000Z	1214480361301987328	Don't sit back and let things happen to you. Go out and happen to things.	{'place_id': '7c09539af94ab80b'}
2020-01-07T09:05:48.000Z	1214473194771492864	Just happen to me this morning at 0 am go to work and hear f*** Jew I hate jewish community it’s completely no sense !!! 	{'place_id': '07d9ec7577880001'}
2020-01-07T08:07:57.000Z	1214458636581429248	Winter break feels so long til it’s january then boom you back on that bus back to school😂😂😭	{'place_id': '01a9a39529b27f36'}
2020-01-07T07:09:04.000Z	1214443821083348992	  Lmao nah sometimes you just wanna go out and not be on your crazy shit, but then that song comes on and you just like fuck	{'place_id': '23a06e5cc6d83009'}
2020-01-07T07:04:05.000Z	1214442566072111104	Currently regretting not going to college....	{'place_id': '011add077f4d2da3'}
2020-01-07T06:52:13.000Z	1214439580692369408	back to school for me today after a lovely Christmas holiday. Have a great week everyone           	{'place_id': '01a9a39529b27f36'}
2020-01-07T06:15:58.000Z	1214430456671850496	I’ve done it before it’s not that deep. I go out with a budget to spend for dinner. 	{'place_id': 'b8d145028b2571ac'}
2020-01-07T06:13:22.000Z	1214429802121355264	 He’s out of his mind. Anyone who thinks they could join the military and not follow orders is a moron. The same way if you got a job at a company and told them how you’re going to work. Remember the military is all volunteers.	{'place_id': '00c55f041e27dc51'}
2020-01-07T06:12:05.000Z	1214429479608766464	   Okay and.... you lost some players.. cry about it. The Knicks have been playing injured all year and have a mid major D0 roster going out there every night	{'place_id': 'b87b05856ab8dbd8'}
2020-01-07T05:55:53.000Z	1214425403797966848	I always go out to visit friends yet, no one wants to visit me 😿😿	{'place_id': '3d3c56338b6a3b4a'}
2020-01-07T04:52:10.000Z	1214409366880829440	if you are so over it why are you even going out your way to look at my Twitter if i am so called blocked ? you mind as well follow me .	{'place_id': '96ddfc4bf2f1a80c'}
2020-01-07T04:51:50.000Z	1214409283187675137	Y’all be telling your significant other when they can /can’t go out?	{'place_id': '011add077f4d2da3'}
2020-01-07T04:45:21.000Z	1214407652307955712	Everything is going to work out exactly  HOW and WHEN it should 🤷🏻‍♀️ There's no need to stress & worry 💫 😌 🙌🏼 💃  🧘🏻‍♀️ 💔 🌠… 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}}
2020-01-07T04:40:59.000Z	1214406552544829441	Ugghhhh I wanna go out rn	{'place_id': 'fa3435044b52ecc7'}
2020-01-07T04:25:41.000Z	1214402704111554560	I hope my housemates can take good pics for when we go out lmfao.	{'place_id': '926fea31818e07d2'}
2020-01-07T04:17:59.000Z	1214400763654541315	0. & we were cleaning ovens & cleaning out the peoples messes when they left & running the finances when i kept the books; growing up in that, sort of, middle class family,” / this dream of going to college you remember how important it is to get a great education like my parents 	{'place_id': '07d9e72175488002'}
2020-01-07T04:04:32.000Z	1214397380470198272	I got Zendaya, it's all going out as planned but don't watch it 	{'place_id': '002e24c6736f069d'}
2020-01-07T04:04:02.000Z	1214397255341531137	It would be a good idea to have a charged phone before you go out into a town you are unfamiliar with.	{'place_id': '01a9a39529b27f36'}
