2020-01-20T23:48:04.000Z	1219406266755354625	It's kinda weird not going back to school not gonna lie.	{'place_id': '48b5e9defad76941'}
2020-01-20T04:12:05.000Z	1219110322633609217	Wow not having to go to work tomorrow is the biggest *chefs kiss* of all time	{'place_id': '00504a961360c1a2'}
2020-01-20T03:26:19.000Z	1219098802919026693	I’m making chocolate covered strawberries when I get to school	{'place_id': 'de7b13455f6b23f3'}
2020-01-20T02:46:05.000Z	1219088681740521472	i love still that my dad went to school with laurie metcalf and she straight mentioned edwardsville on tv tonight	{'place_id': '011add077f4d2da3'}
2020-01-20T02:25:07.000Z	1219083403758374912	   Way to go out on a limb Greg. 😜	{'place_id': '011add077f4d2da3'}
2020-01-20T02:16:50.000Z	1219081317406707712	I actually wanna go out tonight. why? idk	{'place_id': 'b046074b1030a44d'}
2020-01-20T01:42:27.000Z	1219072666294013953	what going out with  and  is like .... im the poor friend in the corner 	{'place_id': 'b74cebcb62a1a686'}
2020-01-20T01:34:08.000Z	1219070574049333248	I JUST GOT IMPEACHED FOR THE FIRST TIME IN THE TOWN AND I DON’T THINK IT IS GOING TO WORK OUT. 	{'place_id': '64be9b322be0df48'}
2020-01-20T01:24:37.000Z	1219068177797218305	Antivaxers actually make my blood boil.. I should never have stumbled on that messy tweet. You first world country people are so entitled. My childhood friend died from measles. She came home from school with rashes and didn't get to go back to school..	{'place_id': '011add077f4d2da3'}
2020-01-20T00:59:54.000Z	1219061957384441856	0-0? That’s wild they going out sad	{'place_id': '01a9a39529b27f36'}
2020-01-20T00:43:49.000Z	1219057912208859138	fighting with myself if I wanna sleep or if I wanna wait for my man to get out at 0 and go out 🥴	{'place_id': '002e24c6736f069d'}
2020-01-20T00:40:35.000Z	1219057094810271750	Can’t go out like that Aaron 😖	{'place_id': '00c39537733fa112'}
2020-01-20T00:21:56.000Z	1219052402852159491	Whenever liam asks if we wanna go out to eat I ask if it’s gonna make me hate myself and the answer is always yes	{'place_id': '28f64c48dc40e28e'}
2020-01-20T00:17:55.000Z	1219051394457645057	Shout out to not having to go to work tomorrow 🙌🏾	{'place_id': '011add077f4d2da3'}
2020-01-20T00:14:19.000Z	1219050486751473665	I have slight cabin fever because I’ve been inside all day. But the thought of going out again just sounds like work.	{'place_id': '011add077f4d2da3'}
2020-01-21T23:49:40.000Z	1219769058159136769	 So make some more friends and go out with them	{'place_id': '01a9a39529b27f36'}
2020-01-21T23:41:06.000Z	1219766902681219072	Seems like 0 is the year everyone’s going back to school love to see it	{'place_id': '011add077f4d2da3'}
2020-01-21T23:14:47.000Z	1219760280785297413	The choice was stay in my hotel and fall asleep or go out. Ended up at   in HK and it’s  this could be dangerous!	{'place_id': '07d9cf377b081000'}
2020-01-21T23:13:09.000Z	1219759868573294592	  I still do, every time I go to workConcert hall, lol	{'place_id': '01a9a39529b27f36'}
2020-01-21T23:09:41.000Z	1219758996506271745	this show Numb0rs makes math interesting, about to go back to school to learn everything about math 🤔🧐😊	{'place_id': '002e24c6736f069d'}
2020-01-21T23:05:26.000Z	1219757926275059713	I know what you’re thinking—“Why don’t you just go out to the shops Mr. Auspex???” Well that would require me to leave the apartment, silly, and the world is far too scary a place for that sort of nonsense!	{'place_id': '011add077f4d2da3'}
2020-01-21T22:45:59.000Z	1219753034399567872	Also I heard  is starting a recycling program for packaging idk idk idk someone said an email is going out?!	{'place_id': '011add077f4d2da3'}
2020-01-21T22:42:54.000Z	1219752257140543488	going to see intense stressful movies like joker or uncut gems is the same thing as going out to eat when you have food in the fridge. sure I could have a breakdown at home but fuck it I'm gonna treat myself and pay to have an anxiety attack in public tonight instead	{'place_id': '011add077f4d2da3'}
2020-01-21T22:40:21.000Z	1219751616678637568	 I use it for myself/others as first in the family to go to college (undergrad), grad school, and become an academic.And I was today years old when I realized that the possibility exists that not everyone uses it in this way.....👀	{'place_id': '01a9a39529b27f36'}
2020-01-21T22:15:36.000Z	1219745386237177856	Lmao someone at my job came into the office to complain about a stench coming from her sink. We bring in the super and he says it might be a gas pipe that has a small crack in it. She goes on to say she went to school for this and that she thinks it’s mold.....	{'place_id': '8479859139338fb7'}
2020-01-21T21:57:11.000Z	1219740752919568385	hey  i just wanna say that ilysm and thank u for being one of the few reasons i get up and come to school every morning even though i hate it here. in sixth grade i was picked on a lot by a lot of people and especially because i started stanning u at the end of the year	{'place_id': '01a9a39529b27f36'}
2020-01-21T21:49:05.000Z	1219738712692707339	Everybody’s got that one famous person they “went to school with.” Who’s yours?	{'place_id': '011add077f4d2da3'}
2020-01-21T21:10:17.000Z	1219728950496284675	I had to re-read this tweet 0 times thinking it was satire but they really think this is an abomination lol.This is one of the most beautiful pieces of public art I’ve seen. Folks in power in this city really go out of their way to criminalize people. Damn. 	{'place_id': '01a9a39529b27f36'}
2020-01-21T20:57:05.000Z	1219725627802124290	Your an embarrassment to your family & friends, (if you have any left, which I doubt).SHAME ON YOU, GO BACK TO SCHOOL AND LEARN HOW TO BE TRUSTWORTHY TO THIS GREAT COUNTRY.You know what a pig & liar tRump is.How do you look in the mirror? 	{'place_id': '00c39537733fa112'}
2020-01-21T20:56:37.000Z	1219725507337629698	This is awesome. Megha is in the same First Tee chapter as Ant out in Newark NJ & has been a super big influence on his game, always going out of her way to help & do drills with him whenever she’s around. Rooting hard for her!!!! 🏌🏼‍♂️⛳️ 	{'place_id': '011add077f4d2da3'}
2020-01-21T20:41:19.000Z	1219721659755769864	Mustafi and Luis is never going to work	{'place_id': '01a9a39529b27f36'}
2020-01-21T20:34:52.000Z	1219720037331873792	   RIP to Hoss hate he had to go out like that smh	{'place_id': '00ca6959663f6d44'}
2020-01-21T19:38:07.000Z	1219705754447380480	if u dont kno shit about hair before going to school ur not really gonna kno how to style black hair when u graduate. u learn the basics of cut and color. mostly on white hair. the rest u gotta figure out on ur own. i didnt do not one relaxer on a real person in hair school. 😐	{'place_id': '011add077f4d2da3'}
2020-01-21T19:06:06.000Z	1219697696778412038	 How disrespectful of ABC!  What about people’s who have to go to work?	{'place_id': '00c55f041e27dc51'}
2020-01-21T18:54:32.000Z	1219694784287256576	it wasn’t even that deep !!! niggas could of easily fought and that’s that!! YA CAN KEEP THE GOING OUT 	{'place_id': '011add077f4d2da3'}
2020-01-21T18:29:21.000Z	1219688449663520769	I’m not trying to leave to go out in this cold 😩	{'place_id': '002e24c6736f069d'}
2020-01-21T18:19:30.000Z	1219685970519494656	ILL NEVER UNDERSTAND when people go out of their way to make ur life hell........	{'place_id': '00c39537733fa112'}
2020-01-21T18:05:06.000Z	1219682347790086145	 I know. Was joking entirely.Assumed you weren't going out like that, but needed a laugh.	{'place_id': '01a9a39529b27f36'}
2020-01-21T17:54:40.000Z	1219679718150168579	Seasoned organizers going out sad. We hate to see it.	{'place_id': '011add077f4d2da3'}
2020-01-21T17:42:26.000Z	1219676641816956929	   should not worry about paying 0 manager the team will have Cohen as owner very shortly by late February he should be approved at the owners meetings.  they should just go out and hire a proven winning manager with experience that's all there is.	{'place_id': '00c39537733fa112'}
2020-01-21T17:37:59.000Z	1219675520016834560	Kid go back to school and educate yourself, be a child have fun play games do sports 	{'place_id': 'fb3c12bc62543193'}
2020-01-21T17:33:32.000Z	1219674403769847810	When you want to go out and see shows and eat good food but you just had to reorder a WHOOOLE bunch of supplies 😭 	{'place_id': '011add077f4d2da3'}
2020-01-21T17:32:46.000Z	1219674208600580098	"""Nobody likes pizza. Everyone hates pizza. If someone brought pizza to my office for lunch, I would eat the box instead."" -Hillary Clinton"	{'place_id': '011add077f4d2da3'}
2020-01-21T17:32:35.000Z	1219674164153417728	Really have been blessed to work with this man, one of the most influential people in my life. He’s taught me how to kick effectively. He has got me connections to college coaches from all around. Thank you for all the work you do for me. The GOAT, Pat Sempier 🙌🏻 	{'place_id': 'feeedc712bc26185'}
2020-01-21T17:25:19.000Z	1219672335764066311	Smh. This is EXACTLY why I DONT like going out 	{'place_id': '011add077f4d2da3'}
2020-01-21T17:23:59.000Z	1219672000324685824	   Everyone please go out and do lots of drugs!!!	{'place_id': 'b046074b1030a44d'}
2020-01-21T17:18:53.000Z	1219670714485280769	 Usually the day after or before it depends on the person but it’s really supposed to be every four years 🤷🏿‍♂️ lmao I went to school with someone who is a leap year baby	{'place_id': '00ca6959663f6d44'}
2020-01-21T16:48:00.000Z	1219662940950925312	 u going out sad	{'place_id': '011add077f4d2da3'}
2020-01-21T16:47:53.000Z	1219662911762812928	 Harry to cont support of Disneyland,on his own nickel? Sorry Harry, U have to go out & find your own gig!As for Meghan, She has a platter full of OPPS to pursue from,The View to POTUS. Meghan&Harry are today's version of Schwarzenegger & Shriver!	{'place_id': '011add077f4d2da3'}
2020-01-21T16:44:04.000Z	1219661954739994626	One thing about me is I NEVER wanna go to work.... I hate it there	{'place_id': '002e24c6736f069d'}
2020-01-21T16:11:24.000Z	1219653732574617603	I forgot, where did Patrick Robinson go to school? 	{'place_id': '789a596e07b40baf'}
2020-01-21T16:06:10.000Z	1219652413885468672	holy fuck i cant wait to go back to school	{'place_id': 'cd13d7c07e4e78e7'}
2020-01-21T15:54:37.000Z	1219649508142911488	 Cool. You assume the artists have no agency?! Are manipulated? Weird - but go ahead and believe that. Lol. My basic facts come artists. But forget the basic facts and believe what you want.  I was only trying to school you.  Xoxoxo	{'place_id': '01a9a39529b27f36'}
2020-01-21T15:54:04.000Z	1219649370985041920	Some people are fine with going to work coming home watching TV and napping for the rest of their lives. If that's not you, that's aye okay.	{'place_id': '011add077f4d2da3'}
2020-01-21T15:44:09.000Z	1219646873063116801	The thought of having to travel to school makes me depressed 🥺	{'place_id': '01a9a39529b27f36'}
2020-01-21T15:30:47.000Z	1219643510174949376	A0. Innovative technologies are changing the nature of  requiring individuals to re-skill & evolve from single  to career experiences. They’re also redefining what it means to ‘go to work’ resulting in a more dispersed    	{'place_id': '011add077f4d2da3'}
2020-01-21T15:04:48.000Z	1219636971640905729	 I saved gravity. It was going out—people said everything was lighter, like they were floating off the ground. I saved it. Gravity is a law again.	{'place_id': '011add077f4d2da3'}
2020-01-21T14:58:09.000Z	1219635297945890816	 Could a been worse. You could have been getting dressed to go to work in a warehouse where you have to fight a ton of boxes on a belt.	{'place_id': 'fa3435044b52ecc7'}
2020-01-21T14:54:54.000Z	1219634482250162178	Back to school we go 🙃	{'place_id': '51b45b88191c1a6e'}
2020-01-21T14:28:50.000Z	1219627920647491587	The key to becoming a successful entrepreneur: Be educated. Have the ability to go out and learn new things. A growth mindset is real.  dropping wisdom bombs at ’s first-ever Female Tech Founders Breakfast  	{'place_id': '01a9a39529b27f36'}
2020-01-21T14:10:55.000Z	1219623411284094979	  Yet he tells me to get a life and go to work Lolol	{'place_id': '01a9a39529b27f36'}
2020-01-21T13:59:23.000Z	1219620509232652289	Forgot to bring my hydro flask to school how am I supposed to drink water	{'place_id': '11cdb607ab2f17bb'}
2020-01-21T13:45:43.000Z	1219617071295795209	Morning everyone! Go out there and be nice today! Let no one take your joy from you... let them have ur smiles..😊☺️😉😊 	{'place_id': '01a9a39529b27f36'}
2020-01-21T13:40:32.000Z	1219615764321382402	When the NYC subways work, it’s beautiful. When they don’t and I have a nanny stuck in queens, kid with pink eye, 0 kids that need to get to school and a 0:0 meeting....it’s a shit show. MTA should have an Uber subsidy.	{'place_id': '01a9a39529b27f36'}
2020-01-21T13:29:28.000Z	1219612981824303104	I really don't feel well but im going to work 🥴🥴	{'place_id': '926fea31818e07d2'}
2020-01-21T13:29:07.000Z	1219612892145881089	If the  win tonight, they go into the break in 0th place in the league. That's at least going out on a high note, with a chance to reset. This is the most important game of the season.	{'place_id': '011add077f4d2da3'}
2020-01-21T13:21:35.000Z	1219610994445602816	Started working out of  NYC recently —Knew this was going to work out when I saw the six types of hot sauce in the kitchen 🔥 	{'coordinates': {'type': 'Point', 'coordinates': [-73.99067563, 40.74382943]}, 'place_id': '01a9a39529b27f36'}
2020-01-21T13:16:40.000Z	1219609758455541765	Back to college 👨🏽‍💻	{'place_id': '01a9a39529b27f36'}
2020-01-21T13:16:34.000Z	1219609733650436096	I love when he says: “this is a real massage... I went to school for this”. LOL 	{'place_id': 'b46619b2722d9703'}
2020-01-21T13:14:39.000Z	1219609250462404610	 ..ah kelly ... KELLYANNE!  We know you can read Trump’$ wee tiny mind, but I’m gonna’ go out on a limb of a tree Donald Trump would HANG ME from & say, If Dr. King could return, he would be camped outside WH & all Trump’$ Tower$ of CRIME$ DEMANDING his IMPEACHMENT & REMOVAL!	{'place_id': '01a9a39529b27f36'}
2020-01-21T13:13:42.000Z	1219609013136035841	Yeah. I only go out during Pride these days because I grew to see the regular scene as vacuous. I stopped going out regularly about 0 years ago when I started studying for the GMAT. I was 0. Now that I’m done at 0, Pride just confirmed that I haven’t been missing out. 	{'place_id': '01a9a39529b27f36'}
2020-01-21T13:09:47.000Z	1219608028107984897	So I couldn’t go back to sleep until 0am, my eyes burn, & I have to go to work. Now I want to go find this girl & slap her for ruining my fucking sleep. 	{'place_id': '01a9a39529b27f36'}
2020-01-21T13:07:11.000Z	1219607370986291200	I know it’s supposedly the “healthy” way to live but I go to work for 0 hours, then work out for around two hours, then eat dinner and go to bed without drinking and GOD IT SUCKS	{'place_id': '01a9a39529b27f36'}
2020-01-21T12:55:35.000Z	1219604454233772033	Taking these kids to school than I’m home alone smoking	{'place_id': 'fa3435044b52ecc7'}
2020-01-21T12:30:44.000Z	1219598201713545216	 This is me this morning like I don’t wanna go to work . It’s a non stop cycle of needing money .	{'place_id': '858cec499f8adba6'}
2020-01-21T12:15:41.000Z	1219594411912417287	 +0. You need 0 days because you need 0 for going out and having fun, 0 for errands and boring stuff, and 0 for chilling out and relaxing.	{'place_id': '01a9a39529b27f36'}
2020-01-21T11:41:55.000Z	1219585915737268224	I need to plan a go out with friends	{'place_id': '011add077f4d2da3'}
2020-01-21T11:08:05.000Z	1219577398976503808	I really gotta go to work rn. What the fuck.	{'place_id': '011add077f4d2da3'}
2020-01-21T09:53:22.000Z	1219558596465319936	  No. She does not go to school. Se is being raised and surrounded by people who believe the world is going to end in 0 years so what’s the point? So, this is her full time job and her guardians are the moneybag holders.	{'place_id': '00c39537733fa112'}
2020-01-21T08:24:10.000Z	1219536147401056256	me: Im not going out nomore! NO ME INVITEN my friends: lets go out me: 	{'place_id': '002e24c6736f069d'}
2020-01-21T08:08:03.000Z	1219532091484004353	Everyone keeps asking if im going back to school this week like as if I can pull 0k outta my ass. Please stop asking im already annoyed as is	{'place_id': '002e24c6736f069d'}
2020-01-21T06:40:39.000Z	1219510097984004097	 I should have gone to college there 🙃	{'place_id': '00c55f041e27dc51'}
2020-01-21T06:18:24.000Z	1219504496902012929	I really don’t go out and I’m like so okay with that	{'place_id': '002e24c6736f069d'}
2020-01-21T06:14:18.000Z	1219503467250757633	I might have to go back to school for investigation because the way I be finding things amazes me!	{'place_id': '01a9a39529b27f36'}
2020-01-21T06:13:37.000Z	1219503294751682561	 🤣🤣🤣 Lmaoo go to school bro	{'place_id': '011add077f4d2da3'}
2020-01-21T06:01:52.000Z	1219500339046633473	Im tired i wanna go to sleep. But that anxiety about going to work always get me.	{'place_id': '00c39537733fa112'}
2020-01-21T05:33:59.000Z	1219493320390520833	I’ll probably regret posting that pic on the morning 🤣 but the bruising was no joke. Funny going to work afterwards and talking to my coworkers looking like I just got popped in the mouth, lol.	{'place_id': '00c39537733fa112'}
2020-01-21T04:45:23.000Z	1219481088650895361	I told key today I think being home is harder than going to work 😰	{'place_id': '23a06e5cc6d83009'}
2020-01-21T04:37:00.000Z	1219478980920778753	"Tyler's Weekly ""Best Ever"" Award going out to this fine hobbyist            "	{'place_id': '011add077f4d2da3'}
2020-01-21T04:25:08.000Z	1219475992433057792	Going out to Long Island Saturday night but don’t know if I should take the LIRR out or drive. I just hate the train so much but I don’t want to worry about driving/getting back home in the early hours of the morning 	{'place_id': '00c39537733fa112'}
2020-01-21T04:13:21.000Z	1219473026997194752	 im pussy i should just go out youre right	{'place_id': '01a9a39529b27f36'}
2020-01-21T03:49:50.000Z	1219467112965713920	How I feel on days I need to go to school 	{'place_id': '01a9a39529b27f36'}
2020-01-21T02:43:07.000Z	1219450321296072704	 I don’t go out either I know that person in question will be there so just match your tweets thats all lmaoooo but I’ve never beefed with anyone on the TL anyways cause I mind my own business regardless 🤷🏻‍♂️	{'place_id': '01a9a39529b27f36'}
2020-01-21T02:39:13.000Z	1219449338293866500	I HATE SAY I WENT TO SCHOOL THERE🤦🏾‍♂️ 	{'place_id': '51b45b88191c1a6e'}
2020-01-21T02:35:20.000Z	1219448363436867585	   Crazy but when I send my kid to school or my wife to church they not the ones I'm worried about shooting up the place..	{'place_id': '01a9a39529b27f36'}
