14392973	2020-09-07T23:07:56.000Z	1303107766001848320	 Same to you. Back to school— we’ll home school for now— tomorrow. Weird feeling!	{'place_id': 'c2800db81ba22abc'}
49087407	2020-09-07T02:46:30.000Z	1302800382779953152	Russ going out sad 😔	{'place_id': 'bceb8153865c4a49'}
3367182407	2020-09-07T02:46:12.000Z	1302800306812727296	 Until the price of college goes down so I can use that $0,0 to go back to school without having to be homeless and hungry at the same time	{'place_id': 'e4faa50d904ab815'}
49678831	2020-09-07T02:17:47.000Z	1302793152957427712	 Do you just keep going out there and make shit up?	{'place_id': '18723789f00c54fe'}
939021992	2020-09-07T02:03:02.000Z	1302789441761808385	Heading back to school in NYC this week like... cc    	{'place_id': '01a9a39529b27f36'}
4627559308	2020-09-07T01:37:03.000Z	1302782904771149830	OH MY GOD A GIRL ACTUALLY WANTS TO GO OUT WITH ME 	{'place_id': '011add077f4d2da3'}
2377492599	2020-09-07T01:33:48.000Z	1302782087746007041	I think I’m washed , I have no desire to go out on a work night anymore !!!😴🥱😪	{'place_id': 'd5140ca0d08eadc7'}
405561109	2020-09-07T01:08:37.000Z	1302775746633572353	situation for them and the community.I would not send a child of mine back to school until the virus is totally neutralized. As a teacher I would not step into any classroom either. Better safe than sorry.Do not trust trump, the CDC or the WHO. Trump only cares about re-	{'place_id': '812a6cfdd31b4a5f'}
28912790	2020-09-07T00:24:47.000Z	1302764715760812038	While she didn’t lie here. I hope y’all know you don’t gotta miss every event. Go out and have fun. I’m not living my life in fear. Take precautions yes certain shit is obviously a dub but live your life !!! 	{'place_id': '011add077f4d2da3'}
957463040	2020-09-07T00:19:03.000Z	1302763276049289216	Mississippi sent their children back to school at the beginning of August. Tom fell ill two weeks later and had a confirmed positive on August 0th. He was hospitalized on August 0th, put on a ventilator yesterday, and died today after his fever spiked over 0°.	{'place_id': '01a9a39529b27f36'}
814374499	2020-09-07T00:00:04.000Z	1302758495989772288	The  had a good draft this week.  on Monday and now  They got their base stealer now. They have some team up there. What a shame. Thoughts and prayers go out to the Brock family  	{'place_id': '10d2f6857b8ac152'}
252630501	2020-09-08T23:51:09.000Z	1303481028527484933	 thanks for the back to school update	{'place_id': '647be94a01a83f96'}
19103533	2020-09-08T23:42:28.000Z	1303478844586950656	 getting some tempo runs in before heading back to college. When the gyms were closed, training outside gave me the chance to watch her run over longer distances. @ Owl Hollow Soccer Fields at… 	{'place_id': '00c55f041e27dc51', 'coordinates': {'type': 'Point', 'coordinates': [-74.19731, 40.55973]}}
2831843677	2020-09-08T23:34:11.000Z	1303476760223387651	Another day as someone from NY-but-not-NYC living in the NYC area:Coworker: Where did you go to school?Me: I did my undergrad at Binghamton and my MBA at Syracuse.Them: Oh, cool. Is Binghamton also in Syracuse?Me: Um, no, it’s...in Binghamton.Them: ...where’s that	{'place_id': 'b046074b1030a44d'}
11736322	2020-09-08T23:24:58.000Z	1303474441733705728	Yup, bringing students back to college is going to have no problems at all.(At least, I think these are college students. They look younger every year…) 	{'place_id': '5426d7cf98cf4bd4'}
82793285	2020-09-08T23:00:55.000Z	1303468385985015815	        Congratulations and welcome back to school !	{'place_id': '011add077f4d2da3'}
49815728	2020-09-08T22:21:01.000Z	1303458346700279810	We grew up going to school to learn math never use it life. Now we’re adults who just always here about accountability and never actually see it in life	{'place_id': '00c39537733fa112'}
37557133	2020-09-08T20:53:03.000Z	1303436207167283201	 Glad you didn’t go out naked. 😝	{'place_id': '4788f93db732fe58'}
602687080	2020-09-08T20:52:33.000Z	1303436082277683200	bitch I ain’t going out like no sucka	{'place_id': 'b046074b1030a44d'}
37380551	2020-09-08T20:33:32.000Z	1303431298120404993	 All them kids went back to school	{'place_id': '4b6a1f748c5219fa'}
2293885094	2020-09-08T20:29:56.000Z	1303430390716211201	Slack down 0% after a beat and a raise? How is the poster child of work-from-home stocks performing like a company going out of business?	{'place_id': '01a9a39529b27f36'}
43771604	2020-09-08T20:17:05.000Z	1303427157163683848	Hope everyone had a great first day back to school! This post is for all my fellow book readers like  Make a book your friend and it will take you places 📚🚀💯 	{'place_id': '88c45dc6118d88a2'}
1268945078044762118	2020-09-08T20:02:40.000Z	1303423530944651266	on the bright side I’m really fulfilling my gay cousin stereotype by going to school in NYC for acting, becoming “a radicalized liberal”, and destroying my family’s “traditional” values, and finally by being the hottest one 	{'place_id': '01a9a39529b27f36'}
37380551	2020-09-08T19:44:48.000Z	1303419031312007178	Shoutout to kids going back to school. 0st time since July my store has been calm	{'place_id': '4b6a1f748c5219fa'}
18647372	2020-09-08T19:33:14.000Z	1303416123975782400	I know restaurants are operating at lower capacity and lots of safety measures. But, like, is it even any fun anymore? I used to LOVE going out to eat or going to bars, the whole thing just seems so stressful now. I'd just rather get takeout and not deal with it.	{'place_id': 'a227c629b631eea2'}
264415055	2020-09-08T19:23:17.000Z	1303413617866530818	A new school year and a new normal for students. We spoke to some heading back to school today in New Jersey. 	{'place_id': '01a9a39529b27f36'}
610512803	2020-09-08T18:45:39.000Z	1303404149166530560	Taking some classes via  and it’s actually fun 🙃I think I should go back to school 😅	{'place_id': '00c39537733fa112'}
811811441359679492	2020-09-08T18:34:30.000Z	1303401341134479360	If you wanna go out and have people serve you put your mask on and attitude away it ain’t hard	{'place_id': '01a9a39529b27f36'}
1618854282	2020-09-08T18:23:46.000Z	1303398641537896449	Join us on Zoom for our virtual webinar where we will be discussing Back-to-School During Covid (for parents. Covid has made this even more complicated. Dr. Coor will shed light on how we can move through this… 	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.93758, 40.68861]}}
4613659461	2020-09-08T18:00:04.000Z	1303392677719834626	 As a father of a 0 yo—-❤️Our kid goes back to school fully tomorrow.  What’s going on where you live?	{'place_id': '01a9a39529b27f36'}
62950152	2020-09-08T17:41:33.000Z	1303388015939727364	My friend is going to work (via Penn Station) and she sees this🤯  😷 	{'place_id': 'fa3435044b52ecc7'}
769919749	2020-09-08T17:14:48.000Z	1303381282416717824	Spent the last 0 mins cuddles up with my daughter 🥰🥰 wish my wife didn't have to go to work and she'll get cuddles too 	{'place_id': 'b2739f396d871412'}
990302802537828352	2020-09-08T16:31:14.000Z	1303370321605656576	Ok, I gotta be productive.This is as good as any to go out on.👇 	{'place_id': '01a19311427f5f07'}
1164240859438694400	2020-09-08T15:58:51.000Z	1303362169032114178	Happy Back to School! @ Wayne, New Jersey 	{'place_id': '5a700e3c73cbf9b9', 'coordinates': {'type': 'Point', 'coordinates': [-74.2505, 40.9421]}}
302824089	2020-09-08T15:47:58.000Z	1303359432995340293	Back to school! 📓✏️🍎  	{'place_id': '00c39537733fa112'}
81424606	2020-09-08T15:45:43.000Z	1303358863710666755	Back to school and back to work.. but, our end of summer sale is still going on.         … 	{'place_id': 'cb532703cd8de015', 'coordinates': {'type': 'Point', 'coordinates': [-74.03408, 40.36543]}}
585143324	2020-09-08T15:36:33.000Z	1303356558093545474	*Back to School* 🗣 Virtual Learning be like.... GOOGLE MEET is the NEW Zoom!! Help me Now 🤣🤣🤣 @ North Bergen, New Jersey 	{'place_id': '00ca6959663f6d44', 'coordinates': {'type': 'Point', 'coordinates': [-74.0125, 40.8042]}}
996384872	2020-09-08T15:32:51.000Z	1303355627750727682	It’s been 0 days that I don’t wear a hat 🧢 to go out. Damn I broke record lol 😂	{'place_id': 'b46619b2722d9703'}
1241759331055480835	2020-09-08T15:27:04.000Z	1303354173048709122	I love the fact I can pick up and leave whenever the fuck I want and don’t have to worry about anyone else besides my bf and he don’t care if I go out or what I do. To a certain extent of course	{'place_id': '23a06e5cc6d83009'}
954529987566108672	2020-09-08T15:15:57.000Z	1303351373560508422	Nyaulang from South Sudan wears😷“To protect from the coronavirus”&Lankien wears it “to the market, to church, when I go to the store, and to school.” w/ support of  &others distributed over 0,0😷 0vulnerable people in South Sudan.	{'place_id': '108026a997d45001'}
161540065	2020-09-08T15:03:13.000Z	1303348169300938752	First day of school post (well really night) and I’m so excited! I can officially announce I am “going back to school” online with  to get my certificate in  It has been such a weird year and… 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}}
1278528326114725888	2020-09-08T14:35:45.000Z	1303341258052718595	Kids back to school remotely for a couple of weeks yay 😀. Today is a good day for learning. @ Whas Cultural Art Center Inc 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.93261, 40.85636]}}
807328878272229376	2020-09-08T14:34:27.000Z	1303340931760844803	SOCIAL DISTANCE GREETINGS                      Returning to school after lockdown will be challenging and students will benefit from explicit instruction for interactions in a way that supports their social and… 	{'place_id': '00c39537733fa112', 'coordinates': {'type': 'Point', 'coordinates': [-73.914705, 40.771374]}}
236112262	2020-09-08T14:21:15.000Z	1303337610719494145	This is on a block and half of walking in  and this weekend, I made it point to go out every night to support local   - they ate worried b/c of the fall and winter coming. Act now! 	{'place_id': 'e9143a85705b4d40'}
236112262	2020-09-08T14:20:41.000Z	1303337467018457088	This is on a block and half of walking in  and this weekend, I made it point to go out every night to support local   - they ate worried b/c of the fall and winter coming. Act now! 	{'place_id': 'e9143a85705b4d40'}
97824834	2020-09-08T14:20:24.000Z	1303337394087886849	This Virtual school shit is some bull... like if a parent has work how are they going to work and attend school with kid cause clearly these little kids need help	{'place_id': '23a06e5cc6d83009'}
29902828	2020-09-08T14:11:25.000Z	1303335134050111488	* the kids in NYC are going back to school today.... 😔. why am i so afraid for the babies? i just think since  is still out here they need more time.	{'place_id': 'edd2aa964fa61ec9'}
125722515	2020-09-08T14:09:10.000Z	1303334567856746497	I should’ve went back to school this semester ...But def Next year 💪🏽	{'place_id': '7c09539af94ab80b'}
66858922	2020-09-08T13:56:45.000Z	1303331444601872386	My condolences go out to the family and loved ones of Sarah Pitts. The City must continue increasing protections for all cyclists and pedestrians. 	{'place_id': '01a9a39529b27f36'}
132332631	2020-09-08T13:55:27.000Z	1303331114694647809	wow I miss when I’d go to school or go to a dance class before or after school.... like I really just use to leave my house and be busy and putting in work in dance and school 😭😭 now I’m nothing :/	{'place_id': '002e24c6736f069d'}
55326358	2020-09-08T13:54:18.000Z	1303330825400848384	“The more that you read, the more things you will know. The more that you learn, the more places you’ll go!”-Dr. SeussBe safe and good luck to everyone as they make their way back to school! 🖍📝📓✏️ 📚 🤞🏻🙏🏻🚌 @… 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.00812, 40.71665]}}
552835110	2020-09-08T13:48:09.000Z	1303329279229521921	Welcome back to school!     	{'place_id': '00c39537733fa112'}
15298562	2020-09-08T13:30:23.000Z	1303324809250701315	Got some great advice from  on this year’s back to school season stress    	{'place_id': '000829b517fc66b2'}
271969167	2020-09-08T13:21:20.000Z	1303322531282259971	I went back to school this morning for the first time in six months to one of my all-time favorite centers of learning. No  this time.  @ Maplewood Memorial Park 	{'place_id': 'c8cc2f5f5fe306fa', 'coordinates': {'type': 'Point', 'coordinates': [-74.27495233, 40.73064196]}}
522577240	2020-09-08T13:06:15.000Z	1303318734858317824	Hope everyone has a safe return back to school!        @ Madison, New Jersey 	{'place_id': '65b4760a2b411e11', 'coordinates': {'type': 'Point', 'coordinates': [-74.4161, 40.7588]}}
597436607	2020-09-08T12:44:28.000Z	1303313254647771139	💥JUST LISTED!!💥Imagine meandering around the corner for your morning beverage, sipping, as you stroll the beach boardwalk, as the salty breeze intoxicates you. Imagine never needing your car to go out to dinner, a… 	{'place_id': '876ed0bcf9594134', 'coordinates': {'type': 'Point', 'coordinates': [-73.6582, 40.5886]}}
66370997	2020-09-08T12:43:02.000Z	1303312890296967168	Me going to work after labor day 😂🤣😝🔥 	{'place_id': 'a64b09ad02cb5c61'}
8915162	2020-09-08T12:39:04.000Z	1303311894179086336	Back to school! Good luck everyone!	{'place_id': 'fa9e955670752b3c'}
4359015017	2020-09-08T12:33:53.000Z	1303310587569549312	STOP self sabotaging! Get out of your head and way. It’s time to let go of the irrational thoughts and give yourself a chance to succeed. Know that it’s ok to go out there and fall or fail. It’ll be worst to wonder… 	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.95, 40.65]}}
2382964284	2020-09-08T12:32:29.000Z	1303310236686614528	It must be so weird for children going back to school virtually	{'place_id': '86fc60f26e1639cc'}
862379533	2020-09-08T12:27:03.000Z	1303308871570722817	😷 Back to school ! 	{'place_id': 'cd252b18da6e948e'}
15298562	2020-09-08T12:11:21.000Z	1303304918829338625	  Thanks   and  I am off to school	{'place_id': '000829b517fc66b2'}
1219822066876211206	2020-09-08T12:07:49.000Z	1303304028860841991	  Faggot. U probably have a underlying fetish😂😂 if not why go out of ur way to a transgender person🤭🥱	{'place_id': '002e24c6736f069d'}
874712749087084546	2020-09-08T12:01:40.000Z	1303302479858278401	❤❤ Grand Rising Loves! ❤❤⁣⁣Back to school can be stressful, however, I have made one more list of crystals and stones to help with overall wellness for you and your child during these stressful uncertain times.… 	{'place_id': '8279f00eacbd9f3b', 'coordinates': {'type': 'Point', 'coordinates': [-74.01909, 40.88786]}}
698734522112864257	2020-09-08T11:59:54.000Z	1303302036516200455	To everyone going back to school today, teachers students & support staff, please stay safe!	{'place_id': '15bb646d59ef405f'}
6018562	2020-09-08T11:30:06.000Z	1303294539596267521	Wife headed back to the office and kids back to school... today is the first day since March 0 that I won’t be spending the entire day with them. 	{'place_id': '01a9a39529b27f36'}
1231286933999017984	2020-09-08T11:26:32.000Z	1303293639804760064	This is A bus stop!!!! Do something.      not stopping at the stop signs and for the kids in this neighborhood going back to school is dangerous and illegal. 	{'place_id': 'edd2aa964fa61ec9'}
108632881	2020-09-08T10:46:58.000Z	1303283683588272131	Ten NYC schools closed due to ventilation issues on the day teachers report to school.  ⁦⁩ prez Michael Mulgrew to address issues at 0:0am.  ⁦⁩  	{'place_id': '01a9a39529b27f36'}
1212963569861451781	2020-09-08T04:43:01.000Z	1303192090478866434	This unlocked some memory in my mind that I thought I forgot about, when I used to bring my hamsters to school in the 0th grade 	{'place_id': '011add077f4d2da3'}
352580700	2020-09-08T03:36:31.000Z	1303175355033882625	I told y’all I don’t like going out..and when I do..I go ... OUT..so just know..if you trying to pop off..I am not..not in these shoes..not in this dress..not with this hair..now..let me change right quick.bc y’all not replacing my limited editions collectable shoes	{'place_id': '01a9a39529b27f36'}
499232806	2020-09-08T03:20:06.000Z	1303171226517544960	 Jeff, your going out on a limb with that prediction. They get a free pass tonight. They better be ready to go Wednesday.	{'place_id': '018c0eae14000f59'}
554894331	2020-09-08T03:09:57.000Z	1303168670982705156	I can figure out how to start this paper. All I can think of his why tf I got myself into this shit going back to school	{'place_id': '00c39537733fa112'}
1235312218604023810	2020-09-08T03:06:40.000Z	1303167845459808259	 Hopefully by the time your young'un is off to college, that shit will be free.	{'place_id': 'bceb8153865c4a49'}
1631539921	2020-09-08T02:30:08.000Z	1303158649213288449	 It is glorified friendlies, I get it. But I need it. Two kids at home virtual High School and my 0yr old nephew......while my wife actually is going to school to teach. I need those two hours tomorrow. 	{'place_id': '049dab98ad35cd07'}
111505259	2020-09-08T02:08:22.000Z	1303153172861652997	issa rae and her friends look like ppl i went to college with. just normal and black as hell. i like that for her. super chill. cute.	{'place_id': '01a9a39529b27f36'}
959353602	2020-09-08T01:43:11.000Z	1303146833720606720	I just want to dress up and go out to eat	{'place_id': '002e24c6736f069d'}
3100342950	2020-09-08T01:42:13.000Z	1303146591554088960	Does Ottavino know he needs 0 strikes to get an out? 0 strikes and then throwing balls is not going to work.   	{'place_id': '011add077f4d2da3'}
634237248	2020-09-08T01:26:40.000Z	1303142677324664833	I don’t think I should go out if I can’t move like this 	{'place_id': '00c39537733fa112'}
88453179	2020-09-08T01:22:45.000Z	1303141693185814528	Wishing all students heading back to school (in person, hybrid, virtual or home school) a fantastic year! Be safe! Havefun and learn a lot!! @ Jodi's Gifts 	{'place_id': '0d12de399d3f8b55', 'coordinates': {'type': 'Point', 'coordinates': [-73.65006, 40.78389]}}
1586620765	2020-09-08T01:08:57.000Z	1303138218561466368	Back to School. Return to Me. A League of Their Own. Love with the Proper Stranger. 	{'place_id': '00c39537733fa112'}
1405827127	2020-09-08T00:46:38.000Z	1303132605286699008	Eve of back-to-school & I’m wondering how/if I’m administering the  to potential ELLs,  most of whom are kindergarteners. How do you accurately do that in masks, six feet apart?  	{'place_id': '011add077f4d2da3'}
1213971980367454208	2020-09-08T00:38:03.000Z	1303130445983383554	I WANNA GO OUT FOR DRINKS WTF!	{'place_id': '5e79986586911926'}
1012196313461555200	2020-09-08T00:36:00.000Z	1303129926141435904	We are back to school ready - the walk is chalked 🙌🏻  Wishing all of our 0rd and 0th graders a great first day tomorrow! Thank you to all who came out and helped create these sweet messages and artwork!    	{'place_id': '2336e2b600b6c92b'}
