339794231	2021-12-06T23:50:26.000Z	1468004939502800903	 is seriously going out with a bang, wow.  	{'place_id': '7d2aec133a24b554'}
760509590547030018	2021-12-09T23:20:49.000Z	1469084650475716610	 But I tell you this: Going out of grad student status is such a relief. Suddenly everything seems a bit easier to do. Just a bit.	{'place_id': '1193edda55d6fa3d'}
443154625	2021-12-09T22:43:41.000Z	1469075306124222466	I just got a job and I had to write down when to go to work cause I will 0% forget that I have a job lmao	{'place_id': '3b77caf94bfc81fe'}
303538988	2021-12-09T22:19:30.000Z	1469069218800824323	It’s 0° out and I just pranced from my car to my office like it’s -0°. Who have I become?	{'place_id': '1c8e8d89b97b27d3'}
1540075676	2021-12-09T22:08:00.000Z	1469066323493732358	My passport just came in I ain’t gone hold y’all I might go out the country for New Years 😁	{'place_id': '01c060cf466c6ce3'}
755993304878059520	2021-12-09T21:47:19.000Z	1469061119306207234	 It’s wild that they go out of their way to make EVERYTHING more expensive than it has to be.	{'place_id': '3b77caf94bfc81fe'}
260085228	2021-12-09T20:23:22.000Z	1469039991581929476	 was just the beginning.All these years later, I still have people coming up to me, shaking my hand, and telling me that the show inspired them to go out and start their own business.THAT'S why I made it. If you can dream it — you can do it. GOOD LUCK!	{'place_id': '3b77caf94bfc81fe'}
3185731021	2021-12-09T20:14:10.000Z	1469037679459274752	The man in the tree is Juan Marquez who’s decorating his home & yard for Christmas. The off camera color commentary is coming from his son. I’m going to go out on a limb (!) and say this is a pretty extreme way to get into the spirit. 	{'place_id': '5ebb6d6c502a0864'}
945449755294830592	2021-12-09T19:48:37.000Z	1469031246239965185	Ready to go out for a walk on this beautiful rainy day 🌧 	{'place_id': '3b77caf94bfc81fe'}
262841011	2021-12-09T18:54:54.000Z	1469017730762240001	Once again spectrum randomly going out while I’m trying to do research :-)	{'place_id': '01c060cf466c6ce3'}
1453880435562348544	2021-12-09T17:28:47.000Z	1468996059829391360	I hear this all the time. People , I think the masses are still not awakened , awakened to not trusting the media as much as they actually do. Very very few people actually go out there and do their own research. Sometimes these people win big but mostly utility wins.  	{'place_id': '3b77caf94bfc81fe'}
48440446	2021-12-09T17:24:51.000Z	1468995066316292099	 Who can afford $0 an hour and a tasker who takes a two hour booking and stays in your house for 0? The first 0 minutes he chatted and I said I am here for you to work are you going to work???	{'place_id': '01c060cf466c6ce3'}
34556049	2021-12-09T17:18:07.000Z	1468993374115938305	   Only go out while in queue, never when you've actually gotten into the game. I know Wade's hair is great but it's not -that- great	{'place_id': '3b77caf94bfc81fe'}
728710039700013056	2021-12-09T16:42:20.000Z	1468984367561142273	Gaara ain’t deserve to go out like that 😩	{'place_id': 'b2fda7385aa963dd'}
1337448384555311116	2021-12-09T16:24:29.000Z	1468979877412061184	RIP 🪦 Slim0 prayers go out 0 his family 🙏🏾🙏🏾🙏🏾	{'place_id': '97e336e1e3ed9e1e'}
1213674486	2021-12-09T15:58:46.000Z	1468973403004497941	Be on the lookout for the latest edition…going out to the press later this afternoon! 	{'place_id': 'c84cc6061e2af8da'}
498393278	2021-12-09T15:15:05.000Z	1468962410438402049	Everyone go out there today and have a great day	{'place_id': '7df6f50f15138f28'}
318558053	2021-12-09T15:07:08.000Z	1468960411756089354	I really don’t wanna go to work today 😭	{'place_id': '3b77caf94bfc81fe'}
2723544737	2021-12-09T14:44:13.000Z	1468954641719173128	It’s crazy how Aika wears my shoes to school now.. & she really tries to press me for my Jordans .. NO GIRL you cannot be trusted	{'place_id': '3b77caf94bfc81fe'}
25775123	2021-12-09T14:16:28.000Z	1468947658710470657	 Lmao okay so maybe it is a stomach flu I’m just hoping I don’t go to work and crap myself lmao this fkn sucks ….Better load up on some tums and ibuprofen 😭	{'place_id': '9da8666a1bd226d8'}
1167372492	2021-12-09T11:58:59.000Z	1468913060693745665	 You can’t let your Star/best player go out like that	{'place_id': '3b77caf94bfc81fe'}
20688337	2021-12-09T08:11:30.000Z	1468855814525841408	 You’ll go out a hero.	{'place_id': '10de09f288b1665c'}
26218583	2021-12-09T07:50:06.000Z	1468850429354123264	Christine said Davina knew she’s was engaged but later scenes davina said she didn’t even know 😩🤣 Christine is straight lying for storylines now wishes going out sad   	{'place_id': '3b77caf94bfc81fe'}
350656041	2021-12-09T07:48:59.000Z	1468850146674823169	 Quit. Going out on your own terms means that you had the power.	{'place_id': '33ea9c2aad1edb4c'}
1071564495804227585	2021-12-09T07:27:17.000Z	1468844683614822400	   I’d be like girl go out some pants on what if we pass by some children	{'place_id': '3b77caf94bfc81fe'}
911427750	2021-12-09T05:50:26.000Z	1468820311139237888	  Sucks to go out like that especially after he survived that attack .	{'place_id': 'aa755c5c1b8e341b'}
1094030761156440065	2021-12-09T04:25:31.000Z	1468798943379144704	Proud to announce our partnership with The Athletic Academy! Together we will work to get even more kids to college than before!-Our online recruiting system will make it easier than ever for college coaches to find our player and get an accurate look at them.  	{'place_id': '0c2e6999105f8070'}
256236504	2021-12-09T03:45:30.000Z	1468788872343527426	Enrique told me he is done drinking beer even we go out to eat…. Ummm eww. Taking new drinking partner applications 😒	{'place_id': '01c060cf466c6ce3'}
2215274581	2021-12-09T01:31:45.000Z	1468755214500909058	More Prop 0 funds going out the door! Well done L.A.!!!  	{'place_id': '3b77caf94bfc81fe'}
108633043	2021-12-09T01:09:59.000Z	1468749735586451459	Need to get  in here to school these folks 	{'place_id': '01c060cf466c6ce3'}
1464824461971136514	2021-12-09T01:01:28.000Z	1468747591684820993	Maybe a lot of times, go out for a walk. 	{'place_id': '07d9ec4398080001'}
279042526	2021-12-09T00:59:36.000Z	1468747120731557888	Phil Knight is the boss. He's 0 & wants a Championship. He's going to go out & spend money on a top HC.	{'place_id': '575c6d4e1b73546d'}
1304101925197996033	2021-12-09T00:07:38.000Z	1468734044393279492	love being an AMC stubs member bc $0 tickets are $0 off on tuesdays… and with my schedule i can only go out on weekdays 😂	{'place_id': '1927193c57f35d51'}
720458998546358278	2021-12-10T23:38:25.000Z	1469451468415508481	I don’t want to go to work 😭😭	{'place_id': '3b77caf94bfc81fe'}
343849259	2021-12-10T22:43:42.000Z	1469437696686755841	A girl I once knew went to school with Jonah Hill and she said he was kinda a dick. This girl was a massive prick and would gaslight the fuck out of me. I always loved Jonah Hill because of her. 	{'place_id': '10de09f288b1665c'}
756218340	2021-12-10T22:30:15.000Z	1469434310822440972	This song go out to my baby mama and everybody that crossed a nigga in my past. We cool I just can’t fuck with you. @ Los Angeles, California 	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.2445, 34.0564]}}
73980055	2021-12-10T22:23:27.000Z	1469432602431942656	Just the thought that you have to go to work all of sudden every lil thing in life annoys tf outta you.	{'place_id': 'f227fd9a20f20e9d'}
18911248	2021-12-10T21:36:33.000Z	1469420797722705922	"This poor woman paid dearly for just doing her job. She's had to leave her home, lose her business, change her appearance. Cult 0 threatens to ""hunt"" + lynch her + her daughter. Her grandson failed his classes after constant threats via the phone he used to connect to school "	{'place_id': '3b77caf94bfc81fe'}
2614202305	2021-12-10T20:34:31.000Z	1469405189220143108	y’all last night i worked my second job right after my first and now here i am up and ready to go to work again… i say that to say a nigga some really grew up cuz i NEVA would have done that in the pass damn sure wouldn’t have two jobs 😭	{'place_id': '3b77caf94bfc81fe'}
350745799	2021-12-10T20:28:07.000Z	1469403575772061700	Ok let’s go out tonight 	{'place_id': '3b77caf94bfc81fe'}
935376658558730240	2021-12-10T20:26:41.000Z	1469403214969638915	Congratulations to our January Character Counts Awardees. That you for helping make Webster school a safe, kind and inclusive place to go to school! 	{'place_id': '07d9f741e4c88002'}
1389378836979085318	2021-12-10T19:56:50.000Z	1469395702186856448	 You know what imma start coming with this same energy lol if she not sending money then we not going out	{'place_id': 'b0b79caecef59fb5'}
1389378836979085318	2021-12-10T19:56:46.000Z	1469395686646960128	If she not sending money then we not going out. How else am I suppose to know she interested.	{'place_id': 'b0b79caecef59fb5'}
1138851351734169600	2021-12-10T19:48:23.000Z	1469393575976714242	Kids in the UK go to school inna full suit & tie with a knife in their waistband that’s insane	{'place_id': '3b77caf94bfc81fe'}
799789081	2021-12-10T19:22:46.000Z	1469387128974938114	 Lol that’s still going out ay nooo	{'place_id': '3b77caf94bfc81fe'}
36391532	2021-12-10T18:26:02.000Z	1469372853900484613	Happy Friday! Ready to go to work 🖤 @ South Los Angeles, California 	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.3294, 33.989]}}
392401761	2021-12-10T17:43:10.000Z	1469362066326650881	Made friends with a bee, but she left once she realized I was going to work 😭	{'place_id': '01c060cf466c6ce3'}
49516492	2021-12-10T17:35:33.000Z	1469360149793951746	When I was taking my kid (0) to school today she said that the salmon I made her last night was trash and she likes hers with “black stuff” (not pepper) and lemon, like she had when we went on “a caytion” to a restaurant with stairs and a girl on a swing (The Madonna Inn)	{'place_id': '3b77caf94bfc81fe'}
1373631061	2021-12-10T16:54:27.000Z	1469349804572430345	When it come down to it. I can only depend on me. Ion see nobody out here tryna help me pay this rent or putting me onto plays. I go out seeking these things alone.	{'place_id': '3b77caf94bfc81fe'}
164016376	2021-12-10T16:42:45.000Z	1469346863014838274	 Nah people like you are the problem. He was perfectly safe at home but decided to arm himself and go out to kill to then call it self defense. But here you are glorifying his act. Why doesn’t he sign up for the army and be True hero instead.	{'place_id': '3b77caf94bfc81fe'}
25226211	2021-12-10T16:20:22.000Z	1469341229267574787	0/0/0 Merry Christmas Ya'all!!! God Bless @ Going To Work Wating For The Bus 	{'place_id': '0706a21788cadb8d', 'coordinates': {'type': 'Point', 'coordinates': [-118.07246424, 33.91773881]}}
374304265	2021-12-10T16:12:13.000Z	1469339176029982727	the craziest thing abt being a kid is that u can go through the most traumatic night of ur life and you’ll just have to go to school the next day	{'place_id': '3b77caf94bfc81fe'}
3139871395	2021-12-10T16:08:01.000Z	1469338119841275909	 You know I love you Miss. ❤️🥰 I can’t wait for the new sounds. I got a feeling you and Timb about to take us to school on this one! Peace & blessings!	{'place_id': '3b77caf94bfc81fe'}
309885987	2021-12-10T16:00:26.000Z	1469336210233389057	 My dog wanted to go out in the middle of the night and took a shortcut over my face 😂😂😂 somehow his claw caught me	{'place_id': 'e1e35d357ceefa52'}
742827452	2021-12-10T15:35:53.000Z	1469330035295154178	Cute ensemble if I should say so myself. Bright and cheery on a cold, cold day! Off to school with Daddy and Grammy! 	{'place_id': '014fc73a72a07ae5'}
770393159226359808	2021-12-10T15:33:12.000Z	1469329359001456644	My boyfriend would go out for cigarettes and come back with three bags of chips and four bags of candy at 0:0 am.	{'place_id': '01c060cf466c6ce3'}
