590677938	2021-10-11T23:11:19.000Z	1447701373617721344	Kyle Shanahan going out like Mike Singletary switching Troy Smith and Alex Smith lol	{'place_id': '19d41c6eff11e9d6'}
1261896465154052097	2021-10-11T00:35:50.000Z	1447360255466217472	This dude asked me to out. I said no because I have to study for my midterms. He said, “ you’re gonna fail anyway, just go out with me.”	{'place_id': 'f2b1ac6c9d15503f'}
46818898	2021-10-11T00:26:07.000Z	1447357810711302144	The year is 0. You are seven. You just spent last year staring at a computer all day. A national guardsman now drives your school bus. (You can't walk to school.) A schoolmate was recently killed by a driver. Your parents are concerned. They give you a plastic stationary bike.	{'place_id': '3b77caf94bfc81fe'}
328052609	2021-10-11T00:04:43.000Z	1447352426802024448	 Had Russel Wilson and Chris Carson go out but still up. You never know 😂	{'place_id': '3b77caf94bfc81fe'}
892855737700843521	2021-10-12T23:54:12.000Z	1448074556489572352	Bottom line is this: no more half-measures  Stop with the Nomar Mazara and Cesar Hernandez stop-gaps. Go out there and get a SP, 0B, RF, bullpen help. Top-tier talent. You want to really  Then stop talking a big game and actually go do it. 	{'place_id': '3b77caf94bfc81fe'}
145514707	2021-10-12T23:11:05.000Z	1448063705657139205	Feelin too cute to be inside today. 😌 anyone want to get go out for some snaccs?  	{'place_id': 'b10e3859a7cc86bc'}
1337923831428763651	2021-10-12T22:50:27.000Z	1448058510286151689	Back to school with Zara skirt Link in Bio               	{'coordinates': {'type': 'Point', 'coordinates': [-118.2445, 34.0564]}, 'place_id': '3b77caf94bfc81fe'}
196740371	2021-10-12T22:25:30.000Z	1448052230968393729	Go to work for this great young up & coming company in 🇲🇽 ⬇️⬇️🥳🥳 	{'place_id': '3b77caf94bfc81fe'}
755993304878059520	2021-10-12T20:26:03.000Z	1448022172430057476	 I go out, fuck it up, and leave. I’m not paying all this money to stand around absolutely not.	{'place_id': '3b77caf94bfc81fe'}
1264748733972885504	2021-10-12T20:09:36.000Z	1448018032463286272	I wanna go out tonight but we're? I wanna be drunk	{'place_id': '3b77caf94bfc81fe'}
756753237428973568	2021-10-12T19:54:52.000Z	1448014324367179776	all the loud bitches decided to come to school today 😀😀😀	{'place_id': '6f24e28976abe656'}
787316946622558208	2021-10-12T19:37:25.000Z	1448009931899084802	I need to start eating breakfast b0 I go to work	{'place_id': 'c1e1a49e92ce1ba0'}
597788118	2021-10-12T19:14:50.000Z	1448004250282323968	Does anyone not go out of their way to step on crunchy leaves?	{'place_id': '122aef8d6840943b'}
153593800	2021-10-12T19:12:27.000Z	1448003651683815425	thank you to the universe for listening to me by having the lights go out in the building 🤩	{'place_id': '741e9df4d2522275'}
966395148048281600	2021-10-12T18:43:22.000Z	1447996332472299525	Going out with  &  scares me somehow I end up blacking out all the time	{'place_id': '3b77caf94bfc81fe'}
768574405886771200	2021-10-12T18:39:57.000Z	1447995471213969408	“I’m going to school to be a nurse” 🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩	{'place_id': 'c1e1a49e92ce1ba0'}
3136275270	2021-10-12T18:39:34.000Z	1447995375810404354	It's officially wear sweater to school, regret it halfway through the day weather	{'place_id': '2feb76248fd9c581'}
1222234944182685696	2021-10-12T18:36:16.000Z	1447994545543675907	Death by strangulation. The search needs to be amped tf up. He’s dangerous - killed someone with his bare hands - watch the life go out of her - Brian and his parents need to be arrested ASAP 	{'place_id': '3b77caf94bfc81fe'}
787316946622558208	2021-10-12T18:26:48.000Z	1447992162264616960	I don't consider Mexico as going out the country LOL so that's not what I mean been there done that	{'place_id': 'c1e1a49e92ce1ba0'}
26442646	2021-10-12T17:00:15.000Z	1447970381613060098	 gave me a hard time because my school ID is from 0-0 because our school didn't issue us 0-0 ID due to school closure. Kind of hard to get a new ID when school was on zoom all year. All that hassle for a free meal. Sure feel appreciated. Thanks!	{'place_id': '3b77caf94bfc81fe'}
768574405886771200	2021-10-12T16:24:07.000Z	1447961288840122377	 No need to go to work	{'place_id': 'c1e1a49e92ce1ba0'}
4006029978	2021-10-12T16:07:00.000Z	1447956980383977473	 Trust me you look around and have a 0 year old at 0 talking about I'm not going to school I wanna play Roblox. Girl this school $0 a month you better be able to build one at the end of this school year come on.	{'place_id': 'f2b1ac6c9d15503f'}
275876899	2021-10-12T15:43:13.000Z	1447950996802465802	Kyrie gonna go out like Thanos at the end of infinity war.	{'place_id': '3b77caf94bfc81fe'}
30736157	2021-10-12T15:39:04.000Z	1447949949593800718	This giving me the same vibes as when niggas talk about how they like women that never go out and don’t have a lot of friends. It’s making me wonder what the root issue is. It feels like you want someone you can isolate and control 	{'place_id': '3b77caf94bfc81fe'}
881379655176962048	2021-10-12T15:15:29.000Z	1447944013730902017	My baby was so excited to return back to school today 💖🥺	{'place_id': '3b77caf94bfc81fe'}
3037087034	2021-10-12T15:13:48.000Z	1447943591796482049	going to school is cool and all until you actually have to write essays	{'place_id': '3b77caf94bfc81fe'}
27371521	2021-10-12T14:53:19.000Z	1447938438875987970	Do I really gotta go to work? 😣😭 me, on my 0nd week of work 😂😂	{'place_id': '2008b1cea656f14b'}
1167159309668503553	2021-10-12T14:51:13.000Z	1447937909978537998	My youngest returns to school today after 0 days in “home quarantine” due to an in-class, fully masked exposure.Zero contact tracing calls from  - seems they gauge the effectiveness of NPI via passive surveillance rather than by actual outbreak investigation.	{'place_id': '59612bd882018c51'}
919942305917706241	2021-10-12T14:21:22.000Z	1447930398772707338	These cold mornings remind me of when I started college driving to school early, nothing but great memories. Just another reason why life feels so good rn	{'place_id': '3b77caf94bfc81fe'}
807788121475559424	2021-10-12T13:59:12.000Z	1447924817164963849	wearing my  shirt to school bc it is TOO cold for short sleeves 🙏	{'place_id': 'b2fda7385aa963dd'}
880681188347830272	2021-10-12T10:34:00.000Z	1447873177686720514	How am I supposed to go to work rn with chico cuddled up in a ball on my chest??	{'place_id': '01c060cf466c6ce3'}
336820293	2021-10-12T06:49:34.000Z	1447816699152007170	Did we just get the equivalent of a “don’t come to school” message? Maybe lol	{'place_id': 'c84cc6061e2af8da'}
24769041	2021-10-12T05:30:01.000Z	1447796679235682305	“I knew I got every bit of it on how hard I can hit a baseball, but even then I didn’t know if it was going to go out. The wind conditions tonight were crazy.” — Evan Longoria 	{'place_id': '3b77caf94bfc81fe'}
3315560037	2021-10-12T04:47:41.000Z	1447786024847826944	The wind definitely kept that from going out.. that was a bomb	{'place_id': '3b77caf94bfc81fe'}
23166908	2021-10-12T03:52:31.000Z	1447772139986161672	That lady is going out sad.	{'place_id': '3b77caf94bfc81fe'}
2211339463	2021-10-12T03:49:05.000Z	1447771279327522822	The power going out while on campus is kinda eerie tbh.	{'place_id': '20ba6fb3b1ee82da'}
274728566	2021-10-12T03:34:47.000Z	1447767679184486401	 They said he can't throw. Said he should go out to wr. Said he wouldn't last as a qb. Lmaooooo	{'place_id': '3b77caf94bfc81fe'}
29873677	2021-10-12T03:34:43.000Z	1447767662214344706	My thoughts and prayers go out to Carl Nassib, the countless closeted NFL players, female staff, black people, and people of color who have and continue to work in environments where they feel unwelcome and unwanted. The NFL will change because you all deserve better.	{'place_id': '3b77caf94bfc81fe'}
1437077519241412613	2021-10-12T03:17:27.000Z	1447763314860199941	    Maybe I forgot to TAP my  TAP card? Soon as doors closed this lady told me to go to school in Korea? I saw this one LADY tell  officer LIEU to GO back to CHINA too? 	{'place_id': '3b77caf94bfc81fe'}
1356053008786677766	2021-10-12T02:40:47.000Z	1447754088582508544	  Also, I guess you failed to comprehend the part where I clearly stated that I have a job. Moron. How about you get off your ass and go to school, so you know how to read?	{'place_id': '3b77caf94bfc81fe'}
200147510	2021-10-12T02:22:58.000Z	1447749606880595968	  Back to School	{'place_id': 'e1e35d357ceefa52'}
31057091	2021-10-12T01:47:22.000Z	1447740646681239560	 Right! DAMN why does Paul have to go to school! 👎	{'place_id': 'c2ad98c80a97adde'}
227767298	2021-10-12T01:37:18.000Z	1447738115213438976	Only 0 MED & 0 SMALL left in the Programme Spiritual tees. These colors will go out of print after are gone. Available at   @ Programme Skate & Sound 	{'coordinates': {'type': 'Point', 'coordinates': [-117.88737722, 33.87445803]}, 'place_id': '2feb76248fd9c581'}
803354586979311616	2021-10-12T01:35:18.000Z	1447737610894336001	A bit windy tonight, looks like the power will be going out in West Hollywood 🤗 	{'place_id': '3b77caf94bfc81fe'}
1285359946935275520	2021-10-12T01:04:48.000Z	1447729932570742786	I’ve been networking like crazy. Now that I actually know how to actually network instead of just going out and letting people smile / flirt in my damn face	{'place_id': '1927193c57f35d51'}
14825313	2021-10-12T00:55:21.000Z	1447727554094256131	Crazy winds at Dodger Stadium tonight. Anything hit high and hard to right is going to go out 	{'place_id': '3b77caf94bfc81fe'}
758421418052685824	2021-10-13T23:42:03.000Z	1448433886896082946	Join us for Red Ribbon and Halloween Spirit week, October 0th to October 0th. Students are not allowed to wear costumes to school this year due to safety guidelines. They may participate in Halloween Spirit Week. 🎃👻🔴   	{'place_id': '771f8196d3598fe8'}
25775123	2021-10-13T23:11:14.000Z	1448426131581911041	 I’m going to work on my resume and the Hr coordinator told me to send it to her so she can look over it before I submit it	{'place_id': '3b77caf94bfc81fe'}
25775123	2021-10-13T22:57:01.000Z	1448422553324716035	I went to school for medical assistant but right out of school I got a temp job as an administrative assistant helping out in HR and next month will be a year, the HR assistant position just opened up and everyone here including the HR manager are telling me to apply & I’m scared	{'place_id': '3b77caf94bfc81fe'}
166757282	2021-10-13T21:26:12.000Z	1448399696217604096	 Like they’re scared toxic dudes are gonna review bomb it instead of confidently going out of their way to grab the larger audience it could reach.	{'place_id': 'b0b79caecef59fb5'}
3286868900	2021-10-13T21:16:34.000Z	1448397274422255616	How else is she going to work her sweeps from guard??? 	{'place_id': 'a5655a07276e4caf'}
594162270	2021-10-13T19:38:16.000Z	1448372534127337481	It’s the season to dress up and go out having lots of fun 🤩 Check out our exclusive designer dog clothing collection! 😍 @ Los Angeles, California 	{'coordinates': {'type': 'Point', 'coordinates': [-118.2445, 34.0564]}, 'place_id': '3b77caf94bfc81fe'}
30736157	2021-10-13T19:06:34.000Z	1448364557412433922	Definitely stopped going out with someone because of this 	{'place_id': '3b77caf94bfc81fe'}
297160548	2021-10-13T18:49:15.000Z	1448360201678045185	Geez, who is the PR for the Raiders? Please go out and earn your money. They need to separate themself from Gruden quickly! Get him out of our culture and DNA fast. 	{'place_id': '2da132a7bfebfc0c'}
323400541	2021-10-13T18:24:27.000Z	1448353957160448000	 Wanna go out tomorrow?	{'place_id': '3b77caf94bfc81fe'}
18003712	2021-10-13T17:19:50.000Z	1448337698092052481	 That's a lot of it for sure, but I also know lots of people that are still here and just grew out of going out. It happens, but the amount of grief we catch from people that expect us to just be there every week is... Idk, a red flag of some sorts	{'place_id': 'e83d71e042bbfcf7'}
1293173614624288769	2021-10-13T17:10:36.000Z	1448335373151531013	The weather in Los Angeles is really good. Go out to see the scenery and enjoy the sunshine. # Hollywood  Travel. 	{'place_id': '3b77caf94bfc81fe'}
1303838836619800576	2021-10-13T16:48:14.000Z	1448329746073358343	Go to college. Its not about the piece of paper. its about commitment and open-mindedness	{'place_id': '01c060cf466c6ce3'}
481697688	2021-10-13T15:03:28.000Z	1448303381282377735	 He lived a full life, if something went wrong, I think he’d be happy to go out like that. But he made it safely back.	{'place_id': '3e5f2219d3106113'}
4791724522	2021-10-13T14:32:22.000Z	1448295552085479428	Can you imagine just living your life doing something regular and then all the power in the city go out like you in Alice in Borderland	{'place_id': '3b77caf94bfc81fe'}
872327773469241344	2021-10-13T14:01:19.000Z	1448287737669324806	I usually get to sneak in some cuddles before going to work but not today 🥺	{'place_id': '3b77caf94bfc81fe'}
1437098718163996672	2021-10-13T07:29:21.000Z	1448189096661164037	"                         Do You know the difference between a wash machine and You is?The Bloke acting with Machismo said "" Fuck You!""After Pete put Him on his arse he said "" the wash machine isn't going to work the corner after I drop my load it!""*zZzzip!"""	{'place_id': '3b77caf94bfc81fe'}
1437098718163996672	2021-10-13T07:28:37.000Z	1448188911235203080	"                         Frikkin Pete some Jag off was being all animated while belittling & intimidating a Girl, I've been around the Planet more times than some have went to school I can Read a Bludgeoner (a Pimp), well Pete walks up say "" hey Shit for brains,"	{'place_id': '3b77caf94bfc81fe'}
64295115	2021-10-13T07:27:05.000Z	1448188525732524035	Way to go out on a limb, LAT 	{'place_id': '3b77caf94bfc81fe'}
19172977	2021-10-13T06:08:00.000Z	1448168624888299522	 Someone said that to me and I didn’t go out with them again. They thought Simpsons were childish. I was not clear I guess 😆	{'place_id': '3b77caf94bfc81fe'}
224509677	2021-10-13T05:52:24.000Z	1448164697132331013	Pls don’t  go out of your way to hmu just to waste my time 🙄	{'place_id': '3b77caf94bfc81fe'}
265457384	2021-10-13T05:36:52.000Z	1448160790050062340	i be wanting to go outbut in reality i be wanting to stay in the crib and be freaky	{'place_id': '3b77caf94bfc81fe'}
28696660	2021-10-13T05:20:41.000Z	1448156715157970945	I wish I dated a drug dealer they probably go out to eat all the time and I need that 😔	{'place_id': '3b77caf94bfc81fe'}
1126901838630965249	2021-10-13T04:46:32.000Z	1448148125210714114	I go out and look like a Nigga Ong 😂 the hoops just balance it out.	{'place_id': '3b77caf94bfc81fe'}
584430198	2021-10-13T04:45:14.000Z	1448147795517476867	   My life is pretty normal. Hang out with friends, go out to eat, movies and Rolling Stones concert Sunday. Knotts Scary Farm this week. Aren't you out doing stuff too?	{'place_id': '01c060cf466c6ce3'}
864155113107202049	2021-10-13T03:57:14.000Z	1448135715770961923	YES 👍: GO &lt;= 🐟 TO SCHOOL 🏫 ALL Y’ALL 🧑‍🏫 😀	{'place_id': '7a615ec218d177f6'}
501101003	2021-10-13T03:36:10.000Z	1448130416779563013	Today I literally spent the whole morning and good portion of the afternoon with my closest friends, went to school, and they literally showed up to my school to meet me for dinner… I love them 😭💕	{'place_id': 'c2ad98c80a97adde'}
4709917446	2021-10-13T03:28:50.000Z	1448128569993957385	Make that the 0th hit where it looks like it’s going out and it’s caught.	{'place_id': 'e9b2c8beb5442ec5'}
2158170139	2021-10-13T03:16:16.000Z	1448125407350427649	“Reverse Minimum Days” because the normal battle to get the kids to school isn’t enough of a hair pulling experience 	{'place_id': '3b77caf94bfc81fe'}
4709917446	2021-10-13T02:23:04.000Z	1448112018188234758	Is there like a force field coming from the left field bleachers? That’s like the 0th hit in the past 0 days that looks good enough to go out and ends up in a fielders glove.	{'place_id': 'e9b2c8beb5442ec5'}
140973463	2021-10-13T01:48:57.000Z	1448103431839920129	I need to stop accommodating and going out of my way so much for people	{'place_id': 'c2ad98c80a97adde'}
744233406066679808	2021-10-13T01:44:23.000Z	1448102284290822145	Is a nigga who don’t go to work 0 hours a week faithfully NOT about his money? I am confused 	{'place_id': '3b77caf94bfc81fe'}
30736157	2021-10-13T01:41:27.000Z	1448101545715724289	I have a feeling that everybody on my team is on their way out the door. My boss was like “bonuses go out in December so plan your interviews and resignations accordingly”. We all laughed nervously	{'place_id': '3b77caf94bfc81fe'}
1437098718163996672	2021-10-13T01:25:00.000Z	1448097406474723335	                          Yeah that last time brought mi scars count to 0when I die the Coroner will do Six cuts so if I don't get hurt the rest of Mi Life I'll go out with a perfect game 0	{'place_id': '3b77caf94bfc81fe'}
1071564495804227585	2021-10-13T00:28:51.000Z	1448083275998707721	I went two decades my whole life without eating vegetables and meats and proteins and yeah My bones were basically destroyed by the time I went to college	{'place_id': '3b77caf94bfc81fe'}
1412456734967353344	2021-10-13T00:26:48.000Z	1448082757171630083	I was gonna go to XRCO tonight, but I think I am just gonna kick it at home, blaze a little bit, and rock out to  Maybe I'll go out later... Idk. For now 🎧 	{'place_id': '3b77caf94bfc81fe'}
965059448	2021-10-13T00:14:49.000Z	1448079741492285455	I love being a teacher. 😭 My 0, 0, and 0 year old self is so happy. I remember thinking “I’m NEVER going to finish college. I’m so tired of working 0+ hours a week, going to school full time, and BARELY making any money.” I was easily discouraged, but I never gave up. 🙏🏻 	{'place_id': 'c1e1a49e92ce1ba0'}
991482932274515968	2021-10-13T00:13:12.000Z	1448079335211077633	Is “sorry I can’t go to work im going the dodger game” a good excuse	{'place_id': '3b77caf94bfc81fe'}
39443143	2021-10-14T23:10:22.000Z	1448788298411831303	My girl grew up right around the corner.She also went to school here.She gets me 😎 	{'place_id': '01c060cf466c6ce3'}
173558053	2021-10-14T22:51:18.000Z	1448783499985448964	  That's called going out on your shield 🛡	{'place_id': '3b77caf94bfc81fe'}
78677532	2021-10-14T22:12:23.000Z	1448773709506904067	 Jeez and I thought they stopped handing out Mein Kampf to school children in 0. 	{'place_id': '9da8666a1bd226d8'}
833891340928765953	2021-10-14T21:21:48.000Z	1448760979085410307	If ima save money I need to stop going out to eat 😭 but I really want some Ruth Chris	{'place_id': '0654b676d0359a31'}
222189121	2021-10-14T20:31:08.000Z	1448748228317376528	 I went to school with both of them, and I'm still friends with Cameron's older sister. I had dinner with them, and their family along with my boys a couple of years ago.	{'place_id': '3b77caf94bfc81fe'}
25235690	2021-10-14T20:05:30.000Z	1448741775900766222	Man bro this hits hard. The hometown kid. Seeing him play in high school and up to college. When at USC watching every single game he played in with my Trojans. Then on to being drafted and even re-signing with my Steelers. He’s been in my football eye for 0 years now. 	{'place_id': '01c060cf466c6ce3'}
198420647	2021-10-14T19:52:19.000Z	1448738459477176321	Wide hips, two kids and a Mini Cooper. So if y’all date you gotta sit on the roof of the car when y’all go out 	{'place_id': '3b77caf94bfc81fe'}
795467461843746816	2021-10-14T19:26:53.000Z	1448732056746225665	I’ma go out on a limb & say Zion isn’t playing this year.-Pavy	{'place_id': '3b77caf94bfc81fe'}
262841011	2021-10-14T19:21:10.000Z	1448730621140889622	Aidenn stopped doing boxing because he fell off his skateboard and sprained his wrist but now he’s just been jamming out on the drums and I told him he can focus on that if he doesn’t want to practice boxing anymore. The back-to-school schedule is crazy enough anyway.	{'place_id': '01c060cf466c6ce3'}
6604372	2021-10-14T19:17:44.000Z	1448729755646259210	The first was from his days in New Mexico, when he wrote about people coming home and going out the night before Thanksgiving. Damned if I can find it, but it was about smoking and laughing and stumbling and kissing. It is one of the first things I think of when I think of Steven	{'place_id': '3b77caf94bfc81fe'}
21922309	2021-10-14T19:04:20.000Z	1448726382477922339	  You're an idiot. If you have a social security card, have ever been to a doctor or have gone to school then you are already in that syst you're claiming lol Also your cell phone tracks you more than anything. But please go on 	{'place_id': '3b77caf94bfc81fe'}
899404385700073473	2021-10-14T19:00:40.000Z	1448725459949146125	I came to school worried I would start gaining weight back and instead I got so scared of that I began to not eat enough. TBH, I'm now dangerously close to gaining an eating disorder. I will be upping my daily calorie intake to 0, starting today. No more being scared for me.	{'place_id': '3b77caf94bfc81fe'}
126388103	2021-10-14T17:59:09.000Z	1448709978806644738	Our campaign is about high engagement, especially with groups often ignored by the city and other candidates. We take pride in going out into the community and listening to folks about their neighborhood.  	{'place_id': '3b77caf94bfc81fe'}
1349411411420618753	2021-10-14T17:52:11.000Z	1448708224815808512	Speaking with Dustin Brown, he feels this is the best roster the  have had on paper in awhile.“Now, it’s up to the players and coaches to go out there and execute.”	{'place_id': '0654b676d0359a31'}
1276390323342606336	2021-10-14T17:50:26.000Z	1448707785097572354	 Go to work then shop :)	{'place_id': '2c1b78093786a74a'}
1007514823	2021-10-14T17:37:03.000Z	1448704417587351556	Tired of people acting like there’s a certain formula on how to live your own life. Just LIVE. Go out. Have your opinions. Make mistakes. And Get Back Up When You Fall.	{'place_id': '3b77caf94bfc81fe'}
971080020264288256	2021-10-14T16:55:05.000Z	1448693858666094626	Going to work literally gives me panic attacks now. It takes so much energy to go. And people still have the audacity to not tip.	{'place_id': '3b77caf94bfc81fe'}
310056184	2021-10-14T16:53:00.000Z	1448693333459570689	Go to work at 0amGet off at 0amBe home by 0:0amTake the boys to school by 0:0amPhone Meeting at 0amTake my girl to get her screen fixed at 0amGet home and do homework so I can be free for weekend 0amDoctor’s Appt. for my wife in Arcadia 0pm	{'place_id': 'e9b2c8beb5442ec5'}
993310877179826177	2021-10-14T16:46:06.000Z	1448691594538852356	I 0% wasn’t going to work on GAME DAY but damn I forgot I still had to call off 😂Ugh my stomach hurts 😔 Dodgers in 0 😏	{'place_id': '3b77caf94bfc81fe'}
317889521	2021-10-14T16:29:51.000Z	1448687506824699906	Go to college then cuz high school is easy buddy 	{'place_id': '3b77caf94bfc81fe'}
1176746125224636417	2021-10-14T16:03:52.000Z	1448680967049076737	Ugh I’m so lazy to go to work today	{'place_id': '0c2e6999105f8070'}
24784120	2021-10-14T14:50:10.000Z	1448662419916558340	Bro... I regret going out last night. I'm too old.	{'place_id': '3b77caf94bfc81fe'}
162325109	2021-10-14T14:14:48.000Z	1448653519892860929	Kyrie going out bad and it has nothing to do with $$$	{'place_id': '3b77caf94bfc81fe'}
265457384	2021-10-14T13:20:20.000Z	1448639813255532548	i hate how in LA bitches dont wanna do shit but go out.....im moving to where the 0-0 non groupie bitches at.	{'place_id': '3b77caf94bfc81fe'}
339288620	2021-10-14T11:54:50.000Z	1448618298262757384	   Don’t flex like you went to college and got a job. You probably pay 0k for a 0 bedroom in middle of bf nowhere Utah. Sit down, Natasha. Don’t shame anyone. Log off and go to bed.	{'place_id': '3b77caf94bfc81fe'}
2765450028	2021-10-14T08:44:32.000Z	1448570405753552898	 to learn about sports.😂😂. I’m glad I learned to be independent because it helped a lot when Takashi started traveling a lot & then going to work in Japan. Those times I had to take care of everything myself.	{'place_id': 'c1e1a49e92ce1ba0'}
76123345	2021-10-14T06:08:38.000Z	1448531172108111874	James Bond No Time To Die had nearly everything except a writer. Daniel Craig has been an outstandingly Bond. Specter was the one to go out with but thanks for the encore.	{'place_id': '3b77caf94bfc81fe'}
