1225134621261750275	2021-05-31T23:39:36.000Z	1399510905348669442	 Chicago needs a visit😍😍😍	{'place_id': '07d9ddfa8fc87001'}
1033936752128532481	2021-06-01T22:36:05.000Z	1399857312098099201	I’ve been doing weekly dinner dates with friends, travel to different states within the US, bi-weekly nail dates to the nail salon, and random activities in between. All while we are securing our degrees, jobs, internships, and all! Enjoying my 0 something!! 🥳💕	{'place_id': '1d9a5370a355ab0c'}
168955484	2021-06-01T22:19:13.000Z	1399853067554725890	note to self: next time you’re stuck somewhere after a full day of traveling, spend the extra $0-0 a “nicer” hotel room	{'place_id': '1d9a5370a355ab0c'}
2244782785	2021-06-01T22:11:14.000Z	1399851057421983753	I need to make a list of people I need to visit	{'place_id': '99700cd6fc455c13'}
1357061280	2021-06-01T22:09:45.000Z	1399850681658445827	 ETicket Number- Anwin Sony 0Mini Sony0PNR Number - YYM0MPassenger Names Anwin Sony ,  Mini SonyTravel Destination- ORD - COK (return)Travel dates - 0th April and 0 April & 0th June and 0th JuneTicket booked and cancelled on March 0th.	{'place_id': '5ededd7234419286'}
48047418	2021-06-01T21:57:10.000Z	1399847518184280064	More than half of U.S. adults are fully vaccinated.  air travel reaches pre-pandemic levels. 	{'place_id': '1d9a5370a355ab0c'}
755156430655676416	2021-06-01T21:09:37.000Z	1399835551222611971	Thank you so much    for a great visit on campus! 	{'place_id': '07d9ead9f2486000'}
59681252	2021-06-01T20:14:54.000Z	1399821778843844612	Omg!!!! I changed the sleeves out on my denim jacket to hot pink sparkles!!! My new tutorial is up on YouTube! Link in my profile or visit Sew Anastasia! @ Sew Anastasia 	{'coordinates': {'type': 'Point', 'coordinates': [-87.677855, 41.8875183]}, 'place_id': '1d9a5370a355ab0c'}
620608473	2021-06-01T19:53:39.000Z	1399816432741986308	As part of “Louie-thon” our 0nd annual 0 programming marathon and to kick off    activities, join us for   Trivia on Friday, June 0 from 0am-0noon.    For more info and Zoom link, visit: 	{'place_id': '1d9a5370a355ab0c'}
471553761	2021-06-01T17:51:29.000Z	1399785688569155589	High School Varsity Assistant Boys coach at  and travel team coach for  	{'place_id': '1d9a5370a355ab0c'}
1069445549559095296	2021-06-01T16:11:58.000Z	1399760645713809408	 Such an amazing  country want to visit Toronto  and Canadian side of niagra falls	{'place_id': '1d9a5370a355ab0c'}
3386324069	2021-06-01T15:36:19.000Z	1399751671593541633		{'place_id': '1d9a5370a355ab0c'}
2400050113	2021-06-01T15:17:48.000Z	1399747010807402499	Wrote about a Detroit visit I made in 0. Re-wrote it last month because I think the original version sucked. 	{'place_id': '1d9a5370a355ab0c'}
33923158	2021-06-01T14:42:46.000Z	1399738197156978689	Good Morning Wildcats!Here’s a dining update for Foster Walker Dining Commons during the Spring Quarter! Foster Walker Dining Commons will close after dinner on June 0th, 0. Please visit any of our other locations listed above! 	{'place_id': '8b351eeb91372dc7'}
31648584	2021-06-01T14:38:44.000Z	1399737182563221504	last time she was in the hospital she didn’t me & my brother to come visit her because she didn’t want us to see her in “that state of affairs” (no makeup)	{'place_id': '1d9a5370a355ab0c'}
64952601	2021-06-01T13:54:57.000Z	1399726161597501444	A little travel buddy for Mexico! @ Garrett Popcorn Shops 	{'coordinates': {'type': 'Point', 'coordinates': [-87.90206471, 41.97607125]}, 'place_id': '1d9a5370a355ab0c'}
973587441121742848	2021-06-01T13:35:49.000Z	1399721347526320136	Song,  Shelly as Ashley as as my best friend former in my first family then a Michael my husband works at  as my aunt Mary did first as older to sister in actuality is gone since 0. But grade  /  as RN TRAVELING CORPORATE IN TRAVELING Nurse 	{'place_id': '9f3d755fe1a081a4'}
377158949	2021-06-01T13:20:33.000Z	1399717507242602497	"  🤩😀 Love it! So good. I could live in a hotel like that. Book is a little large for traveling, but I'm nearly done so I brought it along. Interested in ""Rules of Civility"" too."	{'place_id': '1d9a5370a355ab0c'}
15431598	2021-06-01T13:09:22.000Z	1399714689857249280	A man was so close to me in the TSA line, he was standing side by side with me 🤦🏻‍♀️ what happened to social distancing. Don’t stand next to me like we are traveling together!	{'place_id': '1d9a5370a355ab0c'}
483572614	2021-06-01T12:56:32.000Z	1399711461698592769	 Fly to Tampa Bay to see the Buccaneers try to repeat as SB Champions.   	{'place_id': '92e012db736d72c5'}
1174450367083536386	2021-06-01T10:10:53.000Z	1399669773349306368	 Visit- Michigan	{'place_id': 'f16f37294392e394'}
318043613	2021-06-01T07:08:51.000Z	1399623964704522240	in a fly to Cali mood !	{'place_id': '1d9a5370a355ab0c'}
1452668023	2021-06-01T06:09:12.000Z	1399608952942481410	Does that mean that time travel is possible? 	{'place_id': '1d9a5370a355ab0c'}
22191673	2021-06-01T01:09:23.000Z	1399533501075148809	Lala looks amazing. I hope to visit these places soon but gonna chill cause the pandemic is still very real. 	{'place_id': '1d9a5370a355ab0c'}
48650395	2021-06-01T01:06:05.000Z	1399532669218795520	I agree with this. Fans are showing they don’t deserve the privilege of coming.But it’s not just fans. It’s so society. White domestic terrorists stormed The Capitol and Republicans called it a tourist visit.They don’t want to pass gun control.They’ve stirred chaos 	{'place_id': '1d9a5370a355ab0c'}
1143789940951715842	2021-06-02T23:36:09.000Z	1400234814486335491	Versatile  0’0, 0 lb. lineman TJ Edminson grabs his first official college football opportunity after a great visit to  Edminson has scholarship potential but would be an awesome addition to the MIAC. Congrats from  TJ!  	{'place_id': '1d9a5370a355ab0c'}
2293025317	2021-06-02T22:10:33.000Z	1400213271337226253	 Wow, I’m going to try to visit this building on my next bike ride.	{'place_id': '1d9a5370a355ab0c'}
322803180	2021-06-02T22:03:21.000Z	1400211460215611392	The views  observation deck did not disappoint.         	{'place_id': '1d9a5370a355ab0c'}
285818513	2021-06-02T21:52:44.000Z	1400208786720239619	 everything ok gangsta ? i know a couple safe spaces you can visit if you going through some	{'place_id': '1d9a5370a355ab0c'}
14534944	2021-06-02T21:52:02.000Z	1400208612845367298	  It's possible! I don't think it's super common but I definitely have a bad reaction to it. I never understood why I broke out so bad when I was traveling for work, and now I realize it's because I was taking Emergen-C, which has a ton of B0.	{'place_id': '1d9a5370a355ab0c'}
919725732116475904	2021-06-02T21:49:00.000Z	1400207850085945344	Taking this as a sign that I need to visit Hawaii STAT. 🍍  	{'place_id': '1d9a5370a355ab0c'}
1086798883232145408	2021-06-02T21:47:24.000Z	1400207445490814979	Please Visit  for Booking, Policy, and More. Business Number : Text (0)0-0‼️ @ Chicago Downtown 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.62614846, 41.88046793]}}
864234666357919744	2021-06-02T21:41:57.000Z	1400206075769536518	You were born unique. Your jewelry should be too😉  Visit us👉🏾            	{'place_id': '1d9a5370a355ab0c'}
1265340652176343040	2021-06-02T21:40:48.000Z	1400205786731716616	  Thanks Coach  My family and I took the initiative to come visit Bradley on our own. It was a great visit that I enjoyed very much.	{'place_id': '1d9a5370a355ab0c'}
1072488601768914944	2021-06-02T19:43:14.000Z	1400176197347258375	   Nope, while red-winged blackbirds are a thing, check out  or visit  to learn more about the week.	{'place_id': '1d9a5370a355ab0c'}
780824484	2021-06-02T19:23:52.000Z	1400171325830971397	" It's a great chance to make a gay allegory. ""We have to hide who we are as we travel the country"" but it's gonna cop out and be subtext in my opinion"	{'place_id': '1d9a5370a355ab0c'}
36898720	2021-06-02T19:21:43.000Z	1400170785336143875	May 0❤june0  which affects your electronics, communications, Finances, travel plans & accidents are more prevalent.  Book me now for     & be better able to handle stress.   	{'place_id': '918c943e88cc3e5d'}
1086798883232145408	2021-06-02T19:18:54.000Z	1400170076620341251	Please Visit  for Booking, Policy, and More. Business Number : Text (0)0-0‼️ @ Chicago Downtown 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.62614846, 41.88046793]}}
1217938840834465798	2021-06-02T18:52:51.000Z	1400163517974597640	 0% weird & if there’s any way somebody could see them definitely should have the cops pay a visit. That’s fucking disturbing	{'place_id': '1d9a5370a355ab0c'}
2779814828	2021-06-02T17:59:11.000Z	1400150014702276612	Today, I had the pleasure of taking a break from my regularly scheduled duties to visit Hawaii, Arizona, Florida, and many of my other favorite destinations. Thanks for inviting me to see your projects  0th graders. Great work!   	{'place_id': '07d9f3efcc882000'}
22191673	2021-06-02T17:47:54.000Z	1400147172268691457	I don’t have a travel/hotel client anymore but I can only imagine what’s going on during those brainstorms.  	{'place_id': '1d9a5370a355ab0c'}
231223758	2021-06-02T17:39:52.000Z	1400145150941315085	Surprise, y’all!!President Obama surprises Chicago Southside Wolfpack team, drops in on small business owners' meeting - ABC0 Chicago 	{'place_id': '1d9a5370a355ab0c'}
61461297	2021-06-02T17:10:25.000Z	1400137740415639552	First time on public transport since February 0…to  be followed by first nail salon visit since Nov 0…prayers for the technician 😬…. 	{'place_id': '1d9a5370a355ab0c'}
26152490	2021-06-02T14:28:09.000Z	1400096906756472832	I like to brush my teeth with a travel toothbrush when I am not traveling just to fuck things up	{'place_id': '1d9a5370a355ab0c'}
112942783	2021-06-02T14:22:55.000Z	1400095588474044416	   too little too late.  Your park’s food kiosks were ridiculous! 0 minute lines for funnel cake?  Meanwhile, no wait to ride the Demon.  The experience was less than stellar for my kids’ first visit.	{'place_id': '1d9a5370a355ab0c'}
260387023	2021-06-02T14:13:20.000Z	1400093175973355524	 Egypt is still my number 0 place I want to visit	{'place_id': '1d9a5370a355ab0c'}
263129271	2021-06-02T12:48:22.000Z	1400071795533828098	 Those are train tracks.  Cars won’t be traveling on that.   And taken at 0am.	{'place_id': '1d9a5370a355ab0c'}
764966687611293696	2021-06-02T12:13:35.000Z	1400063040742117380	Driving to work is always better when Rosie comes to visit. 	{'place_id': 'f2da3efc48696715'}
1046561785862656001	2021-06-02T04:46:56.000Z	1399950638881153025	I can watch my kid all day. He's everything. God, I ❤ my kid. I couldn't ask for a better kid. I'm his ride and die for life. ❤⚾️👊 @ Westside Warriors Travel Baseball 	{'place_id': '5cba3a162965b0e2', 'coordinates': {'type': 'Point', 'coordinates': [-87.79080623, 41.72239752]}}
42682610	2021-06-02T04:23:26.000Z	1399944725533237248	Traveling is back. 💯✈Where are you traveling first? 🤔 @ Chicago O'Hare International Airport 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.90120921, 41.97655691]}}
244226556	2021-06-02T03:49:52.000Z	1399936277764509700	Jokic be traveling man lol 😂	{'place_id': '1d9a5370a355ab0c'}
794536920596541440	2021-06-02T03:39:32.000Z	1399933674552967169	 I miss you too girl 🤍 i’ll be back to pittsburgh often to visit my grandma so i’ll hit you up	{'place_id': '1d9a5370a355ab0c'}
3053571241	2021-06-02T03:28:55.000Z	1399931005134426112	 That feeling is nice. But the feelings during the visit? I hate the scraping and drill noises and I accidentally bite someone’s fingers every time	{'place_id': '1d9a5370a355ab0c'}
246069409	2021-06-02T02:29:29.000Z	1399916046002315272	 prides himself on being the first president to visit Tulsa, acknowledging the harm caused by racists that burned the Black district to ashes. Yet he refuses to agree to reparations, which would actually make a difference in the lives of so many Black ppl.	{'place_id': '1d9a5370a355ab0c'}
188997398	2021-06-02T01:50:21.000Z	1399906199731068928	"Нас мировые издания включают в Топ-0 ""Must visit"" третий год подряд, на Западе только узнавать начали и интересоваться. А наши чинуши даже и не понимают же всего вокруг.  Очень жаль. "	{'place_id': '1d9a5370a355ab0c'}
261309731	2021-06-02T00:59:39.000Z	1399893438439505920	I been traveling the world & no COVID. I feel kinda guilty 😭 like how are people who don't leave the house getting that shit??? 	{'place_id': '1d9a5370a355ab0c'}
2997582549	2021-06-02T00:25:02.000Z	1399884727461552131	I can’t wait to visit, eventually they’ll rename it after all of the signs get stolen 	{'place_id': '5ededd7234419286'}
61830195	2021-06-02T00:23:41.000Z	1399884389027287041	(including surprisingly from those within travel & south Asian communities for “questionable lifestyle choices of characters in the book” 🤦‍♂️) So to help ring in  & make sure things are clearer, created a special edition for this month. 	{'place_id': '1d9a5370a355ab0c'}
1284483166875639808	2021-06-03T23:56:54.000Z	1400602425011097600	T’Aira,Keemaa,& Diamond gone be my traveling friends 😭💕	{'place_id': '1d9a5370a355ab0c'}
585061289	2021-06-03T23:36:09.000Z	1400597200724541443	 Not yet but that might be the one I visit since my gf def isn't interested  and is outta town	{'place_id': '1d9a5370a355ab0c'}
2649430386	2021-06-03T23:27:21.000Z	1400594988308774912	 Nice, I need a visit to a bitchin’ record store.	{'place_id': '1d9a5370a355ab0c'}
942790500075167744	2021-06-03T23:03:33.000Z	1400588996212895745	pls send me hope that my foot gets better tomorrow…I would like to be able to walk around and visit people while I’m in Chicago PLEASE	{'place_id': '1d9a5370a355ab0c'}
263661447	2021-06-03T21:30:17.000Z	1400565525407744011	A mystery peacock who just dropped by for a visit. 	{'place_id': '8b351eeb91372dc7'}
1042935480441085952	2021-06-03T21:27:04.000Z	1400564715655401476	 Come visit us for Nigeria sha	{'place_id': 'cdf74b55fc0d4600'}
101598743	2021-06-03T20:47:48.000Z	1400554835372654594	 Any spots you recommend to visit?	{'place_id': '1d9a5370a355ab0c'}
1264987084932202498	2021-06-03T20:36:55.000Z	1400552094684303361	First visit to Prime Roosevelt.. Thank you Charles and Marbella for giving me a seamless experience...looking forward to working with you!!        	{'place_id': '1d9a5370a355ab0c'}
1030613119117275137	2021-06-03T19:51:42.000Z	1400540717051678723	Ion Be Quick To Travel To ATL  😎	{'place_id': '1d9a5370a355ab0c'}
518054001	2021-06-03T19:36:26.000Z	1400536877351026692	My Sagittarius friends keep asking me to travel 😩😩	{'place_id': '1d9a5370a355ab0c'}
1086798883232145408	2021-06-03T19:31:18.000Z	1400535582619713543	I love freehand painting 💕 💕💅🏽💅🏽Please Visit  for Booking, Policy, and More. Business Number : Text (0)0-0‼️ @ Chicago Downtown 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.62614846, 41.88046793]}}
1016486359	2021-06-03T19:25:49.000Z	1400534204522414097	What a wonderful track to visit  	{'place_id': '07d9c9b3be081008'}
1143789940951715842	2021-06-03T19:23:28.000Z	1400533614358667265	Hope you enjoyed the visit, Blake! You rock that white J 🦁 really well and you’d be a heckuva addition to the family! Let me know if you have any questions or anything and  	{'place_id': '1d9a5370a355ab0c'}
799708890791178240	2021-06-03T19:07:20.000Z	1400529551776784390	Pop Mart Dimoo Space Travel Badge Rocket Boy $0 + shipping Comment to claim @ Chicago, Illinois 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}}
1372251631	2021-06-03T17:47:41.000Z	1400509507218849803	Love checking out local  while traveling. This bitter is very refreshing and perfect for a day in the  - Drinking a Garden Bitter by  at   — 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.6818008, 41.9799957]}}
1352025959420067847	2021-06-03T17:27:51.000Z	1400504516135563265	Thursday beach vibes with Daddy. There is room on my blanket for boys to visit. 	{'place_id': '1d9a5370a355ab0c'}
2172913458	2021-06-03T17:07:13.000Z	1400499322043703299	Sadly these will never fly to O’Hare. Sonic booms are banned over basically all populated areas so ... wah wah 	{'place_id': '1d9a5370a355ab0c'}
735520040754221056	2021-06-03T16:48:26.000Z	1400494596522713089	 And, if you intend to travel with them in the future (especially fly!) it’s good to get them used to it while they’re kittens.	{'place_id': '1d9a5370a355ab0c'}
41858571	2021-06-03T15:56:02.000Z	1400481408250961921	I feel like Mark Twain’s famous quote about travel being “fatal to prejudice, bigotry, and narrow-mindedness” is problematic, because so many travel as though visiting a zoo or big-game hunting.We travel as voyeurs or conquerors, but seldom as humble guests.	{'place_id': '1d9a5370a355ab0c'}
847461033941712897	2021-06-03T15:47:04.000Z	1400479152688488450	Check out who is our May’s Campus Visit Raffle Winner! Sxu will be open this summer so make sure to schedule your visit, maybe you’ll be our next month’s winner. 	{'place_id': '1d9a5370a355ab0c'}
46802452	2021-06-03T14:52:29.000Z	1400465419127820295	    Thanks, Beth!! We’re pretty excited too! I can’t wait to visit  more often :) 	{'place_id': '4b3758bc32868265'}
103917037	2021-06-03T14:34:11.000Z	1400460812561485830	Okay, teachers, I’m reworking my school visit presentation for Fall & the release of WHAT LIVES IN THE WOODS. I’d love to hear what your favorite author visit was and WHY. What elements really helped/inspired your students?	{'place_id': '1d9a5370a355ab0c'}
1029793559363416068	2021-06-03T14:09:17.000Z	1400454546661330953	Here’s a unique perspective-play view of Trump Tower running along Wabash St in  🏙😍Pro tip: when you visit this area, don’t forget to stop into Uno Pizzeria (bottom left) for deep dish What’s your favorite “pizza with a view” spot??  	{'place_id': '1d9a5370a355ab0c'}
743861044322394112	2021-06-03T13:50:05.000Z	1400449713900556288	  Yes, there is 0 traveling crews that are about to start working w/o the extra 0 house shows per week. As much as I hate to say this, they had to do this from a business perspective, don't agree with it but this is a business.	{'place_id': '1d9a5370a355ab0c'}
1120976048	2021-06-03T13:20:19.000Z	1400442222198374403	It’s going to be 0° in Chicago this weekend..... who’s coming to visit me 😇	{'place_id': '1d9a5370a355ab0c'}
1708045944	2021-06-03T12:41:14.000Z	1400432388707127297	            I feel that. Taking it as a win that we were able to get on a plane and travel. Sad to see an empty campus on a beautiful morning and miss friends and all of the great energy of an annual meeting. HOPEFUL for the future ♥️🤗	{'place_id': '1d9a5370a355ab0c'}
1319201438	2021-06-03T11:55:20.000Z	1400420834313900034	 My Dad lives up in Kalispell. Moved there full time just a couple years ago. I have yet to visit but he seems to like it. I’m super curious myself.	{'place_id': '1d9a5370a355ab0c'}
582241118	2021-06-03T11:54:53.000Z	1400420721516494849	 woof—yes, Sir but as we travel, we'll just say we're from Canada. 😜	{'place_id': '1d9a5370a355ab0c'}
1299060961018552325	2021-06-03T10:54:01.000Z	1400405404052557825	To travel is to live. Let’s Go Baby!!! @ Worldwide 	{'place_id': 'f48e110211eee6ef', 'coordinates': {'type': 'Point', 'coordinates': [-87.85775185, 41.98379489]}}
1553747149	2021-06-03T09:10:49.000Z	1400379433748422656	Wanna own a full size Bill & Ted’s Time Traveling Phone Booth? Make real calls and show your friends you are not going to military school.  	{'place_id': '57ac88aefcd20988'}
548358552	2021-06-03T05:45:23.000Z	1400327736976084994	Wow I really have no choice but to visit L.A. this year to see some of my friends huh............	{'place_id': '1d9a5370a355ab0c'}
3054733038	2021-06-03T01:49:23.000Z	1400268343156871170	Something else I notice in the travel videos, vlogs and news I’ve been consuming out of Africa is that little thought or effort was put into the continent architecturally during colonialism unlike other places they occupied. They made the continent dreary.	{'place_id': '1d9a5370a355ab0c'}
336916932	2021-06-03T00:55:29.000Z	1400254780757397504	0 Rivals0 LB Drayk Bowen found time to visit Michigan despite a hectic baseball schedule. He is elite in both sports.  	{'place_id': '1d9a5370a355ab0c'}
465166540	2021-06-04T23:30:45.000Z	1400958230839410689	 Not always nefarious reasons. Most people don’t know how to properly secure a firearm or ammunition for travel.	{'place_id': '1d9a5370a355ab0c'}
2942946077	2021-06-04T22:56:40.000Z	1400949652262948866	-you will not be able to switch dispensaries -new applicants will not be able to submit an application Visit the link for more info Thank you.	{'place_id': '1d9a5370a355ab0c'}
47653371	2021-06-04T22:41:29.000Z	1400945833156268035	 Why would GCW even need travel sponsors? If you can’t pay for all your talent to work the west coast don’t run the west coast.	{'place_id': '4c46121d44b7ce9e'}
269062860	2021-06-04T22:30:27.000Z	1400943057021845508	   Any idea when broadcast crews can go back to traveling with teams?	{'place_id': '1d9a5370a355ab0c'}
794577834	2021-06-04T22:15:57.000Z	1400939407587393537	Ty to all my friends that have shared and been super supportive of my family’s new restaurant!! 🥰 it’s been a huge project for us and Im so excited that we’ve finally opened our doors. If you live in the Chicago area, come visit us!! We have amazing mariscos & cocktails 🥂 	{'place_id': '1d9a5370a355ab0c'}
614642096	2021-06-04T22:00:18.000Z	1400935469626630150	Eternamente agradecida 🇵🇷                      	{'place_id': '1d9a5370a355ab0c'}
1143789940951715842	2021-06-04T21:57:03.000Z	1400934652802703366	Hope you enjoyed the visit, Owen! We’d love to have some  standouts come to Northfield. Best of luck this offseason and  Owen!   	{'place_id': '1d9a5370a355ab0c'}
1143789940951715842	2021-06-04T21:52:13.000Z	1400933435196284933	Hope you enjoyed the visit, Cristian! Loved watching you at the Showcase and I think you’d be an awesome addition to the family!   	{'place_id': '1d9a5370a355ab0c'}
1394436966490558465	2021-06-04T21:30:03.000Z	1400927857480720386	The future in the palm of your  💥       	{'place_id': '1d9a5370a355ab0c'}
63515240	2021-06-04T21:05:58.000Z	1400921793595166720	Visit us Sunday, 0/0 from 0-0 PM for an Open House at 0 Indian Hill Road | Winnetka. Click through for a video preview of this fabulous property and contact  or me for more info and to schedule a private showing! 	{'place_id': '2a313fd924081b90'}
771617167	2021-06-04T20:49:23.000Z	1400917620178796549	Come visit Chef 👨‍🍳 Sam this weekend at Gillson Beach 🏖.  Friday-Sunday 0am-0pm. @ Gillson Beach 	{'coordinates': {'type': 'Point', 'coordinates': [-87.68639676, 42.08002628]}, 'place_id': 'f16f37294392e394'}
14314011	2021-06-04T20:48:15.000Z	1400917337025482754	 day, Part 0 -- heading into Chicago O'Hare over Lake Michigan @ Chicago metropolitan area 	{'coordinates': {'type': 'Point', 'coordinates': [-87.6461792, 41.90023277]}, 'place_id': '1d9a5370a355ab0c'}
2738813435	2021-06-04T19:44:51.000Z	1400901382559961093	I miss traveling and doing fun things… this was an afternoon out in Vancouver, taking some photos before heading out to one of the wilder parties of the week.Pretty sure my YVR friends know exactly where this is.July 0, 0 	{'place_id': '1d9a5370a355ab0c'}
1546781359	2021-06-04T18:07:37.000Z	1400876910947749892	'This is my life, my legs': After a woman's wheelchair was damaged on a Delta flight, 'heartbreaking' video goes viral  via 	{'place_id': '8b351eeb91372dc7'}
1143789940951715842	2021-06-04T16:50:24.000Z	1400857479140065284	Hope you enjoyed the visit, Matthew! We got some studs from AZ on the team and would love another. Let me know if you have any questions and   	{'place_id': '1d9a5370a355ab0c'}
250999706	2021-06-04T15:04:56.000Z	1400830937533927427	The one thing I hate about traveling is that I can’t pack up my entire bed in a suit case	{'place_id': '92e012db736d72c5'}
134382751	2021-06-04T14:42:23.000Z	1400825265165639681	Happy Friday,  Taking a few days off to visit family, friends, and clients in  where the air is moist, restaurants fully booked inside and out, and that Midwest charm is extant. A few glimpses so far. City view, walk in a park, college students, dinner on deck. 	{'place_id': '13d0994d4df436f8'}
33432359	2021-06-04T12:39:33.000Z	1400794349374480390	Traveling after long 	{'place_id': '0fc7e0a406d55000'}
218294727	2021-06-04T12:20:35.000Z	1400789580060708867	me and  on our first visit lmaooo. that 0 hour nonstop trip 💀 	{'place_id': '1d9a5370a355ab0c'}
316698745	2021-06-04T11:59:53.000Z	1400784368965201928	 Travel safely! 🙏🏾	{'place_id': '1d9a5370a355ab0c'}
1291910524041650177	2021-06-04T11:36:11.000Z	1400778405449175041	So we couldn’t just visit  without visiting the Chicago Board of Trade! 	{'place_id': '0aab0a2406568000'}
19988490	2021-06-04T11:05:08.000Z	1400770591104380931	Happy 🍩💖🍩It's easy to join the ranks on  Simply enjoy a  (or 0) and take a moment to thank those who are working hard to keep us safe. You can also visit  to support good circling around all year.  	{'coordinates': {'type': 'Point', 'coordinates': [-87.7271026, 41.9666312]}, 'place_id': '1d9a5370a355ab0c'}
29815846	2021-06-04T10:33:40.000Z	1400762670547095556	 you may want to proof read your survey questions before offering them to customers. “Where to visit family and friends”??? 	{'place_id': '1d9a5370a355ab0c'}
533773385	2021-06-04T05:51:16.000Z	1400691601316487170	The World's Largest Gold Mine | Super Structures | Spark  via  Cinematic Lee beautiful and interesting to watch but no real interest to visit this place	{'place_id': '0da8a6c990f02eed'}
15098559	2021-06-04T03:13:19.000Z	1400651852191051778	And the Whanganui River had legal personhood   	{'place_id': '1f6b9aa053ccbd16'}
14398736	2021-06-04T03:03:59.000Z	1400649506908213249	We went to see the Sistine Chapel exhibit. It was a bit different than we expected but still quite worth the visit.   @ Oakbrook Center 	{'coordinates': {'type': 'Point', 'coordinates': [-87.9528794, 41.851566]}, 'place_id': '04c0488a01ad05ce'}
114265168	2021-06-04T02:20:09.000Z	1400638473405673477	After 0 years, I finally made it back to the Windy City 🌃  ..........             	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
3317428649	2021-06-04T02:11:44.000Z	1400636355747647490	THANKYOU to the 0 + families who are coming to our summer camps. Registration still open at www.lvlelite 	{'place_id': '1d9a5370a355ab0c'}
1157511357362823169	2021-06-04T01:37:11.000Z	1400627662415089670	I tell people I want to move to North Carolina for Motorsports, but truthfully it’s just so that I don’t have to travel through Chicago. 😬	{'place_id': 'c567a00616152df6'}
