44683313	2021-08-30T23:56:10.000Z	1432492371275513859	Going out to dinner with my mother  and my aunts  &  they all help raise me ❤   @ Pies'n'Thighs 	{'coordinates': {'type': 'Point', 'coordinates': [-73.96135, 40.71122]}, 'place_id': '011add077f4d2da3'}
46174058	2021-08-30T01:52:58.000Z	1432159376903704577	  I just saw in the news that there’s a high number of COVID cases in children 0 to 0. It surpassed the number in adults. Why are you not offering a remote option for these children? I have to send my children to school and risk them because you refuse to give us a choice.	{'place_id': '002e24c6736f069d'}
341790907	2021-08-30T01:50:45.000Z	1432158819774312448	🥺🥺🥺🥺🥺Prayers go out for wveryone in Louisiana 	{'place_id': '002e24c6736f069d'}
46174058	2021-08-30T01:50:38.000Z	1432158791928274945	 I just saw in the news that there’s a high number of COVID cases in children 0 to 0. It surpassed the number in adults. Why are you not offering a remote option for these children? I have to send my children to school and risk them because you refuse to give us a choice.	{'place_id': '002e24c6736f069d'}
1331694142007730179	2021-08-30T01:29:30.000Z	1432153472657412096	  I am no fan of a large bank like chase as I went to college on an ABA Grant & after the GS act was repealed most small locale banks were eaten alive but , M. Flynn is an insane dangerous Traitor who belongs in JAIL JAIL JAILHe & his family are trash 🗑️ .	{'place_id': 'dfa88de1ece1a505'}
1090809710620667910	2021-08-30T00:50:32.000Z	1432143663619006464	Prayers to go out to everyone in Louisiana and the path of        	{'place_id': '002e24c6736f069d'}
1476546709	2021-08-30T00:28:49.000Z	1432138200944975873	First of all who wanna go out on a date?	{'place_id': '011add077f4d2da3'}
76429871	2021-08-30T00:14:21.000Z	1432134560184102913	Great Job  for winning the Back to School  Tourney..     @ Brooklyn, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-73.95, 40.65]}, 'place_id': '011add077f4d2da3'}
8906802	2021-08-30T00:00:43.000Z	1432131127356149772	 The same. I really struggled with school until I got to college.	{'place_id': '011add077f4d2da3'}
17008568	2021-08-31T22:24:52.000Z	1432831782756421639	This is waaaaaaaaay too close to my office. 	{'place_id': '01a9a39529b27f36'}
30495221	2021-08-31T22:13:43.000Z	1432828976184152070	I cannot stress enough. You go to work for work, you go to friends' for friends. Hanging out with professional peers -GRATIS- is not my idea of fun. Can't smoke, can't be myself, can't make dirty jokes, can't laugh at other's expense. Sis, this is still work.	{'place_id': 'b046074b1030a44d'}
304207830	2021-08-31T21:37:23.000Z	1432819833889083394	Did it hurt? When you started your first day of grad school after vowing not to ever go back to school?	{'place_id': '01a9a39529b27f36'}
33920036	2021-08-31T20:24:03.000Z	1432801377638563840	   If you love Long Island schooling so much, move you and your kids there. You can tell them why it's so smart for kids to go to school for three days starting tomorrow, then not return for NINE days, and why it's better for kids to grow up in lifeless suburbs rather than a city.	{'place_id': '00c39537733fa112'}
4789540095	2021-08-31T20:10:05.000Z	1432797862019088385	This is why I barely go out because I be turning my room upside down and I try to fix it before leaving too but then my friends be outside waiting for me and I don’t like making them wait 	{'place_id': '0a0a7f97d9e6791d'}
1896197617	2021-08-31T19:38:22.000Z	1432789884012568579	 She went to school ready to trade I’m weak 😭😭😭	{'place_id': '002e24c6736f069d'}
48424003	2021-08-31T19:38:12.000Z	1432789840702152710	How are people living in NYC and going out every night like do they not have a job but they need to have a job to afford to live here so how are people living in NYC and going out every night like do they not have a job but hey need to have a job to afford to live here so how are	{'place_id': '011add077f4d2da3'}
991002865027239936	2021-08-31T19:34:08.000Z	1432788816444731392	 That’s because of where you went to college. 😀	{'place_id': '01a9a39529b27f36'}
179393526	2021-08-31T17:45:34.000Z	1432761494769373186	 Girl how could I ever forget about your crazy asss! I was legit telling Shana we all gotta go out to eat one of these days 🤍.	{'place_id': '23a06e5cc6d83009'}
1189994972717703168	2021-08-31T17:43:25.000Z	1432760953867800578	One of my favorite back to school activities!! Identity beads are a great way to get to know each other, and to lead into our first mini unit regarding identity! 	{'place_id': '0ce818c9ae7cf154'}
2767219889	2021-08-31T17:35:46.000Z	1432759028871045121	"Mood for my back to college is ""Old school, or  New School yo soy al que le suena cool"" Lapiz Voice.🧑👴 "	{'place_id': '0fc30944bc955000'}
755979898498510848	2021-08-31T17:34:27.000Z	1432758697307037698	Our boy  dropping a banger soon…y’all make sure to go out and get a copy! I’m sure we’ll have A LOT to discuss. …can’t wait🔥👏🏽 	{'place_id': '01a9a39529b27f36'}
884607702277685253	2021-08-31T17:22:13.000Z	1432755617761054723	Back to school shopping….JUST SHOOT ME IN THE FACE 	{'place_id': '96ddfc4bf2f1a80c'}
2372088146	2021-08-31T17:10:05.000Z	1432752563863146506	Making the most of the last days of summer before your 0rd Precinct Explorers go back to school! Today at the Westchester Avenue & Olmstead Ave  	{'place_id': '07d9e5e814082000'}
1289575410708119553	2021-08-31T16:40:48.000Z	1432745196148695044	My internet would go out right before my only important meeting of the day	{'place_id': '01a9a39529b27f36'}
305085572	2021-08-31T16:23:00.000Z	1432740716531290116	 It’s a good idea ! I wish I’d gone back to school at that age .	{'place_id': '00c55f041e27dc51'}
17212693	2021-08-31T15:52:21.000Z	1432733002103132160	Reminder: Back to school on Monday, September 0th. Letters going out soon with your child's class, teacher and school information. Keep an eye on your emails and text alerts! Town Hall meeting coming soon to discuss the new school year!- Ms. Susy0.0.0 	{'place_id': '002e24c6736f069d'}
69075406	2021-08-31T15:27:05.000Z	1432726646168166413	 There's no time limit going back to school!	{'place_id': '48b5e9defad76941'}
100306054	2021-08-31T15:05:39.000Z	1432721248862326785	It’s like revenge of the scorned on Twitter lmaooo, people do everything to rehab their “image” to strangers who don’t give a single fuck about you… My people go out sad everyday b.	{'place_id': '011add077f4d2da3'}
1338852675467816960	2021-08-31T14:36:01.000Z	1432713792811671558	Oh yay!  My favorite time of the year. Back to school pics. Yay!  More more more!! 	{'place_id': 'a40c7aae22398af1'}
2253617472	2021-08-31T14:09:36.000Z	1432707145208930307	I hate seeing Cam go out like this 	{'place_id': '789a596e07b40baf'}
977434538	2021-08-31T13:30:21.000Z	1432697267534897156	Come to my office hours so I know how you could be learning best!And how my style of teaching/learning could be compatible or NOT compatible witchu…Let’s remediate that…Like this is kinda the useful purpose of astrology I need… 💅	{'place_id': '01a9a39529b27f36'}
23368393	2021-08-31T13:00:03.000Z	1432689643791732737	 you go out?	{'place_id': '011add077f4d2da3'}
193852726	2021-08-31T12:15:36.000Z	1432678456425385986	“Dressed up” to go to work. @ New York City, N.Y. 	{'coordinates': {'type': 'Point', 'coordinates': [-74.00589108, 40.71270142]}, 'place_id': '01a9a39529b27f36'}
864101762793385984	2021-08-31T11:31:55.000Z	1432667461430751235	Remember today is the final day to pick up Back to School Supplies ordered from the Residents Association. Pre order required and you must bring confirmation ticket left on your door. 	{'place_id': '011add077f4d2da3'}
122145335	2021-08-31T10:54:52.000Z	1432658138315034627	Should have rent a car and drive go out a town this week never thought of it	{'place_id': '011add077f4d2da3'}
233792148	2021-08-31T10:52:00.000Z	1432657417486143493	Happy to see someone recommend this movie! Honestly have never seen the film, BUT I did go to college with the actress. cc  	{'place_id': '00c39537733fa112'}
1215065258412400647	2021-08-31T10:19:02.000Z	1432649120406196227	I like their stadium. We have to local and weather… I like their sport and rivalry… we go out when	{'place_id': '25d1ef4322ba8e3c'}
585054885	2021-08-31T09:43:48.000Z	1432640254683533315	🏀🏀🏀 🤔 After saying that.*He won't ever be worried about Knicks ever giving him call again.*No disrespect. The Atlanta🏀Hawks star guard Trae Young took him to school in the playoffs.	{'place_id': '559cf1d51980ff42'}
21883418	2021-08-31T05:13:29.000Z	1432572228076548097	You think it's easy to play during a world disaster where I'm sure LeBron and them would have rather been with their families people didn't even going to work imaging having to focus on basketball & not being able to leave their hotels they did that they earned that shit 	{'place_id': 'b046074b1030a44d'}
100034766	2021-08-31T03:45:20.000Z	1432550042225815552	I said it before … Deadassssss proud of  for going back to school !!! ✊🏾✊🏾✊🏾salute my brother 	{'place_id': '011add077f4d2da3'}
438037406	2021-08-31T03:25:41.000Z	1432545097795739648	my date could not have gone worse and that is karma for me going out w someone w the same name as my ex so i will absolutely avoid it from now on	{'place_id': '011add077f4d2da3'}
812393126996361216	2021-08-31T03:25:34.000Z	1432545070796967936	Next Wednesday I’m back to college part time (again)	{'place_id': '002e24c6736f069d'}
4320157515	2021-08-31T03:18:39.000Z	1432543326478143489	sad i can’t take all my art from my walls to school &lt;/0	{'place_id': '65e3a577f1940550'}
16112476	2021-08-31T03:18:04.000Z	1432543179568467968	.’s class on  made us want to go back to school. A privilege to include her insights in My Name is Pauli Murray. 	{'place_id': '01a9a39529b27f36'}
248065725	2021-08-31T03:08:54.000Z	1432540875603709960	I used to be so excited to go to work.	{'place_id': '011add077f4d2da3'}
1176957891091292160	2021-08-31T02:40:11.000Z	1432533647727505410	“Why do *I* have to pay for someone else’s kid to go to school?”	{'place_id': 'e9143a85705b4d40'}
75083764	2021-08-31T02:27:07.000Z	1432530360173219840	 Haha! Not yet. Originally I was gonna stop at 0,0 but then Covid interfered with my plans to go out with ten stellar films in a row.So I had to change it up. In the near future I will be altering my number of films per year and focussing more on the Twitter with shorter vids	{'place_id': '00c39537733fa112'}
2512354106	2021-08-31T02:09:18.000Z	1432525877770866689	I’m not going to work tomorrow, the zit on my forehead said so	{'place_id': '011add077f4d2da3'}
946227606185304064	2021-08-31T02:03:59.000Z	1432524536910602245	 I used to go out drinking with my friends, they were fun times but I moved on from that scene, had children now I have no desire to drink. On occasion, I'll have a beer or a mixed drink. I like not drinking, I don't miss it. Those old friends of mine are still drinking.	{'place_id': '00c39537733fa112'}
1638205238	2021-08-31T01:50:06.000Z	1432521044183687172	Was bullied in high school. Like really bad. Wanted to switch schools in year 0 but my dad said i don’t go to school to have fun. I stayed. Had stomachaches and anxiety for the rest of my stay there. 	{'place_id': '00c39537733fa112'}
25229077	2021-08-31T00:18:37.000Z	1432498020298395652	People who know they’re sick and still go out to populated public places they don’t need to because they’re too stubborn to stay home? 	{'place_id': '01a9a39529b27f36'}
93690146	2021-08-31T00:17:36.000Z	1432497766551461896	 Monroe Township needs to be declared a disaster zone.  God knows the insurance companies don’t consider it a flood zone.  All the poor people left with almost nothing and have to go out of pocket?  That’s not the Jersey way, is it? 	{'place_id': '3d3c56338b6a3b4a'}
197215449	2021-08-31T00:15:46.000Z	1432497303047245827	Back To School is on! Thornton Melon! 	{'place_id': '00c55f041e27dc51'}
3354152073	2021-08-31T00:13:21.000Z	1432496695640788993	The fact that this man friendzone shawty he was speaking to for 0 months for me says a lot... best part I went to school with her to  but never was friends with her 🤷🏽‍♀️🤷🏽‍♀️ oh well can’t stop a natural vibe	{'place_id': '5c7686d4c90a9bb0'}
720432251956248576	2021-08-31T00:12:15.000Z	1432496420800679944	"""Since we are not allowed to work and go out of our homes, we all had to record you a last video,"" she began. ""And through this video say goodbye to you all."""	{'place_id': '01a9a39529b27f36'}
3354387689	2021-08-31T00:03:27.000Z	1432494204073222148	Parents, if your child was born between 0-0, please stop making me feel old by posting their back to school photos 	{'place_id': '01a9a39529b27f36'}
924250762951249921	2021-08-31T00:01:34.000Z	1432493728749559808	 When you dread to work	{'place_id': '9e0678e8055b32b1'}
3073356760	2021-09-01T23:56:17.000Z	1433217175100211202	Everytime i plan to go out it rains😒	{'place_id': '011add077f4d2da3'}
1120676906	2021-09-01T23:54:55.000Z	1433216833847500803	Debating if i should make Alex go out in the storm for some chips.. i really want chips 😩😩	{'place_id': '53c4c0f31bd9e72b'}
103654311	2021-09-01T23:53:18.000Z	1433216425850773504	Are you kidding me? They will pay for them to go out of state. 	{'place_id': '36aa8c1293d4ce43'}
103654311	2021-09-01T23:51:48.000Z	1433216048849952771	 That's right. Rich women will go out of state.	{'place_id': '36aa8c1293d4ce43'}
23430178	2021-09-01T23:29:39.000Z	1433210472787058691	🥲🥲 I was supposed to go out for dinner tonight but now we're on tornado watch and there is no food in the house 🙃🌪	{'place_id': '002e24c6736f069d'}
19065112	2021-09-01T23:18:55.000Z	1433207771915239426	Happening now!  ￼‘Back to School - Alleviating Anxiety and Concerns’! Webinar with  &  & Peter Richel! “Anxiety is a natural part of first days regardless of a pandemic. Validate child’s emotions.” 	{'place_id': 'f97108ab3c4a42ed'}
27006358	2021-09-01T23:13:58.000Z	1433206527008067586	Shit weather to have to go out in 	{'place_id': '011add077f4d2da3'}
1304889133	2021-09-01T23:11:29.000Z	1433205903331889156	I wish it was easier to access rapid tests so my nieces who returned to school this week could get crystal clear results before visiting my immunocompromised mother this weekend.	{'place_id': '7329ff8dbdf5bc00'}
729828147240284160	2021-09-01T23:07:44.000Z	1433204958212628480	“Don’t go to college” 	{'place_id': '01a9a39529b27f36'}
914511588677308417	2021-09-01T22:51:38.000Z	1433200906753957888	Then the committee went back up to my office and debriefed in a real meaningful exchange about who we are as a school community and who best fits for longevity and our demographics.  It was so beautiful! We believe that staff should reflect the demographics of school's .	{'place_id': 'fa3435044b52ecc7'}
1037996244	2021-09-01T22:51:11.000Z	1433200792975065093	What the heck am I gonna do????   Go to work?  Blasphemous!My dance card is empty folks till 0/0..Please let me know if any practices, scrimmages, training, workouts anything NJ Ladies Hoops :)      	{'place_id': '0102611f55c5f14b'}
1008110425865621504	2021-09-01T22:41:26.000Z	1433198338409705476	Showered x got dressed for work x took a selfie and then proceeded to not go to work 🤦🏾‍♂️.	{'place_id': '011add077f4d2da3'}
76138976	2021-09-01T21:57:45.000Z	1433187346078478338	  I think most of us have done the take it easy at the company happy hour only to go out after with friends. Which would be fine if he took an uber like a normal person	{'place_id': '01a9a39529b27f36'}
922577419193724929	2021-09-01T21:56:50.000Z	1433187117086167042	 How lmaooo that sounds like you go to work . Shower . Sleep . Repeat	{'place_id': '011add077f4d2da3'}
78992075	2021-09-01T21:44:00.000Z	1433183885979004932	On September 0 at 0 PM, I'll be discussing the ups and downs of WWP, Writing While Parenting, with  a literary nonprofit that helps writers maintain creative careers after they have kids. 	{'place_id': '01a9a39529b27f36'}
458504290	2021-09-01T21:30:51.000Z	1433180576371159041	Yeah people will be too broke to go out after eating a $0 salad 	{'place_id': '011add077f4d2da3'}
368623391	2021-09-01T20:17:42.000Z	1433162169680601088	So a teacher from  just rang my doorbell and chatted with me about how I feel about my kids going to school. It was so nice to talk to her and have her understand my concerns. As a former pta president and SLT member I knew exactly what to say to her. It made me feel *heard*.	{'place_id': '011add077f4d2da3'}
19032855	2021-09-01T20:16:06.000Z	1433161766083645447	grabbing some back to school clothes & my girl said “mom please, no unicorns” 🥺😭	{'place_id': '4b6a1f748c5219fa'}
21492418	2021-09-01T19:43:12.000Z	1433153485021798403	Sums up what going back to school was like today. 	{'place_id': '7356b662670b2c31'}
24275407	2021-09-01T19:40:46.000Z	1433152875794997253	Let's also allow citizens to sue any parent who drives a kid to school not wearing a mask. Or anyone who idles their car too long and thus destroys the planet?  	{'place_id': '000829b517fc66b2'}
226049808	2021-09-01T19:40:38.000Z	1433152839623315456	just a single mother taking her gay son to the mall for back to school shopping  	{'place_id': '011add077f4d2da3'}
113417270	2021-09-01T19:36:09.000Z	1433151713213620228	Even though I put in the time and go to work every day, why do I always feel guilty whenever I call out sick?	{'place_id': '00c39537733fa112'}
543885257	2021-09-01T19:29:51.000Z	1433150128731340810	  You should probably go back to school then. Preferably biology. 😂	{'place_id': '002e24c6736f069d'}
2472495405	2021-09-01T19:12:36.000Z	1433145783595974660	  Says a Twitter Nobody. Typical basement narcissist who went to college only to make 0k per year. get over yourself	{'place_id': '002e24c6736f069d'}
15380434	2021-09-01T19:04:11.000Z	1433143667850719235	Awesome awesome awesome. Share this with your network of parents and teachers as more and more kids are going back to school and looking for cool virtual competitions   	{'place_id': '011add077f4d2da3'}
994107114	2021-09-01T18:54:18.000Z	1433141180972376066	Literally all girls do this together more than going out lmfaoo 	{'place_id': '011add077f4d2da3'}
358741501	2021-09-01T18:35:47.000Z	1433136519129276420	Our first publication was a huge success, now we’re expanding our focus to school leadership and governance & innovative pedagogies, too. Spread the word!           	{'place_id': '01a9a39529b27f36'}
155551412	2021-09-01T17:18:15.000Z	1433117006702723079	Good! All of the people who are going out of their way to put public health at risk should be named, shamed, and punished. ((I’m not a jail advocate but I’m not sure what else to do with people that are this reckless)) 	{'place_id': '01a9a39529b27f36'}
776092475211517952	2021-09-01T17:14:31.000Z	1433116070454435842	Join us! Back-to-School Family Forums!        	{'place_id': 'c2800db81ba22abc'}
285782806	2021-09-01T17:05:10.000Z	1433113715126280200	It is so great to see students and staff return to school. I hope everyone has a great year!!  	{'place_id': '94542c3c348faf28'}
155114163	2021-09-01T16:57:54.000Z	1433111885696708610	MTV HAD ME LATE TO SCHOOL & MY OLD WORK PLAYLIST (Aeropostale) 	{'place_id': '011add077f4d2da3'}
3435478797	2021-09-01T16:53:46.000Z	1433110845941297165	So September is suicide prevention month why September do niggas kill themselves more in September like Na can go back to school might as well ended all 😂	{'place_id': '002e24c6736f069d'}
764553877	2021-09-01T16:40:25.000Z	1433107486668738561	And going out, while fun, has become more difficult. Like my day job takes a lot out of me, and I’m closing most of the time. So residual energy is spent on decompressing or working on drag, which makes it hard to go out and network properly	{'place_id': '011add077f4d2da3'}
865970166064185346	2021-09-01T16:18:48.000Z	1433102048820617217	Thanks  for our back-to-school materials for our early elementary students and families!    	{'place_id': '10f8514b8196a001'}
1178828759014809601	2021-09-01T15:53:41.000Z	1433095726804963332	Back to School 📚 	{'place_id': '00504a961360c1a2'}
194346529	2021-09-01T15:50:41.000Z	1433094973210116101	 the only time nye has ever been fun is when i went out to dinner with friends instead of going out and with that being said NYE is overrated and a money pit	{'place_id': '01a9a39529b27f36'}
194346529	2021-09-01T15:49:04.000Z	1433094566773669892	 a chance for me to wear comfy clothes out instead of going out clothes? sign me up	{'place_id': '01a9a39529b27f36'}
217653755	2021-09-01T15:15:26.000Z	1433086099639898113	. our schools cannot return to the status quo.  plans to welcome students back to school with 0 new School Safety Agents, and we need your support to ensure  with any “school reopening protocol.  	{'place_id': '00c39537733fa112'}
1269994841414471681	2021-09-01T15:08:53.000Z	1433084453031661569	Morning y’all, it’s now September, left than two weeks to school 🗿	{'place_id': '011add077f4d2da3'}
573108122	2021-09-01T14:51:40.000Z	1433080119661375493	I gotta wake up and go to school again, oh the joy	{'place_id': '01a9a39529b27f36'}
26447626	2021-09-01T14:35:32.000Z	1433076058878713859	Summer Reading ➡️ Back to School… lol 📖😂        @ Pearl River, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0103, 41.064]}, 'place_id': '01d7322a3937ed14'}
26447626	2021-09-01T14:30:35.000Z	1433074812037976069	Summer Reading… Back to School… lol 😂        @ Pearl River, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0103, 41.064]}, 'place_id': '01d7322a3937ed14'}
1072070094	2021-09-01T14:17:50.000Z	1433071605102510085	Lazy day. Don't feel like going to work today. Can I just stay in bed? 😄 	{'place_id': '01a9a39529b27f36'}
