2021-12-13T23:39:12.000Z	1470538829576556547	Philadelphia groom robbed after stepping outside during wedding reception  	{'place_id': '0d9a7f9b8f0baf12'}
2021-12-13T15:22:04.000Z	1470413721105170443	GM LA fam. Who is down for a web0 x music meetup on Thursday?	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T15:01:23.000Z	1470408515642560512	 I’m the opposite responses Greg gives to Comfry and the Contessa about the wedding	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T14:54:12.000Z	1470406706173644802	 In Los Angeles, going to the movies is one of the very few public activities I can relax in.Masks are required, reserved seating and socially distant. The seats you buy on the screen ✅ and seats in front/back and side to side are immediately ❌. So nobody else can buy them	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T08:35:17.000Z	1470311350026989568	So the mom used her wedding to get close to Logan and renegotiate her divorce settlement thereby abandoning her kids.  True cliffhanger 	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T08:16:31.000Z	1470306627580399617	This finale was indeed the red wedding of succession.    	{'place_id': '01c060cf466c6ce3'}
2021-12-13T08:13:04.000Z	1470305758797459459	"Nearly every Mexican family was exposed to & listened to Vicente Fernandez's music. He was iconic, a legend; El Rey. Not a single family gathering, Christmas, birthday or wedding went without playing one of his songs. ""Pero sigo siendo el rey.""Descanse en paz. "	{'place_id': '3153d677b795e293'}
2021-12-13T07:07:23.000Z	1470289230341369856	Why is everyone trying to go on a date all of a sudden?? 🤔 🧐	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T06:33:12.000Z	1470280625533816833	0k for a wedding isn’t enough. real flowers are like 0k alone..	{'place_id': '1f70c1d2b8cfd26d'}
2021-12-13T05:40:21.000Z	1470267325899182081	the moment she realizes that he’s going to celebrate the anniversary of Atlas winning Apertura first and then their wedding anniversary 🤣 	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T05:22:22.000Z	1470262799980908546	I’m happy to see Walker said “gay rights” by selecting a good wedding venue.    	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T05:17:29.000Z	1470261573734187010	when you have a wedding at 0 but a soccer game at 0 😂🤣	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T05:16:38.000Z	1470261357102518272	I can’t be the only one who goes to the gym works hard and has a Ding Dong afterward…	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T05:14:44.000Z	1470260879467839491	well i for one can’t wait to see what happens at conor and willa’s wedding	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T04:51:45.000Z	1470255096541843459	never forget this about mary (she wore white to heather’s wedding) 	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T04:49:22.000Z	1470254494105538564	still can’t get over last night !! ❤️‍🔥 can put on one heck of a good show ! (really recommend going to a concert right before finals week begins lol. ) 	{'place_id': '0fc2e87afe15e000'}
2021-12-13T04:39:44.000Z	1470252072259899392	Made it to the gym for a late workout	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T04:33:27.000Z	1470250488729767937	There was a time we never slept (for 0+ years)we toiled as unpaid psych trainees, working side gigs, sinking into debt, keeping one another afloat & fed. Congratulations to Monica & Mark- what a joy to celebrate ur wedding &   party. 0+ yrs amigos 	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T04:31:27.000Z	1470249988265418754	Just got out of a Rosary. Good friend/mentor lost his father. Got me in my feels thinking about my own pops, so I decided to go grab a beer and dinner at BJs! Believe it or not the prices and quality of food got me more depressed than the services. Why do I even eat out? 🤬	{'place_id': '1193edda55d6fa3d'}
2021-12-13T02:46:33.000Z	1470223589592875013	Just spoiled my lil sister , took her to the mall & told her to buy anything she wanted .	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T02:32:47.000Z	1470220123919183874	I got so much time on my hands imma start going to the gym again.	{'place_id': 'fa424f169eef946e'}
2021-12-13T02:32:26.000Z	1470220034010075136	That’s a wrap shooting my first  half hour special!“0: Back to the Box Office” 🍿 🎥 We are taking YOU to the movies, and highlighting how Hollywood got us back in those cinema seats after the shutdown last year. Airing: 0/0 at 0:0 am on Fox 0!  	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T02:11:30.000Z	1470214765557387266	I been so depressed bc I haven't been to the gym consistently in months. Can't wait to start my journey again. The gym always makes me feel good overall	{'place_id': '01c060cf466c6ce3'}
2021-12-13T01:41:28.000Z	1470207208151339008	Fourth wedding has been added to 0 calendar 😅	{'place_id': '3b77caf94bfc81fe'}
2021-12-13T01:32:55.000Z	1470205057711095808	idc if u put on a wife beater & wear ur hats backwards I will still take yo lil cute ass on a date	{'place_id': 'bcd6f5a92e969e33'}
2021-12-13T01:32:05.000Z	1470204847622287361	Bad N Bougie is dressed in a wedding dress    	{'place_id': '27f5da73dd83395c'}
2021-12-13T00:16:30.000Z	1470185825988083712	Welcome to the Party 	{'place_id': '3b77caf94bfc81fe'}
2021-12-14T23:59:12.000Z	1470906249810255874	Mancin’s, imho’s, nothing but a “Wolf in Sheep’s clothing”… Or in other words.. NOT a true Democrat, but a traitor to the Party to which he’s supposedly a member of, and/or just a plain FRAUD! 	{'place_id': '59612bd882018c51'}
2021-12-14T23:21:13.000Z	1470896688298557442	mind over matter by young the giant used to take 0 yr old me to CHURCH	{'place_id': '3b77caf94bfc81fe'}
2021-12-14T22:39:19.000Z	1470886146980802564	I hate going to the gym but I just might get a membership cuz it’s way too fucken cold to be going on runs😭 at least my company pays for our gym memberships	{'place_id': 'be347aa731d4353b'}
2021-12-14T22:28:29.000Z	1470883420947435520	 One year ago today there was still hope to salvage my Republican party but then you helped push Fascism over conservative principles and the Big Lie over truth and that was the end of the GOP under your leadership.  Your Grandfather is ashamed that you brought shame to the party	{'place_id': '10de09f288b1665c'}
2021-12-14T21:24:46.000Z	1470867383778627584	   You can not comply yoye eat out of tyranny.Blame the enforcers.	{'place_id': '01c060cf466c6ce3'}
2021-12-14T21:03:03.000Z	1470861917249945601	 Welcome into the light!Today is our 0th wedding anniversary. We waited til it was legal for everyone. Both of us came out at age 0!	{'place_id': 'e83d71e042bbfcf7'}
2021-12-14T20:38:28.000Z	1470855734623490049	 Because Twitter told them that going on a date they aren’t excited for with someone they don’t like is justified for a free meal	{'place_id': '3b77caf94bfc81fe'}
2021-12-14T20:19:56.000Z	1470851067663380482	On a date, kinda nervous,  	{'place_id': '3b77caf94bfc81fe'}
2021-12-14T19:09:48.000Z	1470833417927356417	That nigga had hookah at home drove to a restaurant and needed more hookah lmaoooooo he a bum don’t give him shit for that cheap ass bill 	{'place_id': '3b77caf94bfc81fe'}
2021-12-14T18:52:54.000Z	1470829166870233090	It’s a good season to start going to the gym at night	{'place_id': '97e336e1e3ed9e1e'}
2021-12-14T18:32:30.000Z	1470824030441639936	mama, you was the life of the party.i swear you brought life to the party.when you lost your life, it took life out the party…kisses to the sky my angel baby. te amo. 🤍✨ 	{'place_id': '3b77caf94bfc81fe'}
2021-12-14T17:42:21.000Z	1470811413094416385	I love when he fixes my lunch. But I feel like he knows if I eat out for lunch I don’t be hungry for dinner so he does this to secure HIS dinner 💀	{'place_id': 'f2b1ac6c9d15503f'}
2021-12-14T16:59:41.000Z	1470800672886906882	The fact that I had to get up & go to the mall is really not sitting well with me 😢	{'place_id': '3b77caf94bfc81fe'}
2021-12-14T13:31:30.000Z	1470748283903434752	 I'm waiting for someone to serve this at their wedding 😭😭😭 it's a true craving	{'place_id': '0c2e6999105f8070'}
2021-12-14T09:21:17.000Z	1470685314914021379	ParaUnity, Ice Bar Wedding, Zak Bagans Haunted Museum & Oysters!                         	{'place_id': '3b77caf94bfc81fe'}
2021-12-14T07:03:22.000Z	1470650603953029120	I’ve just landed back in LA and I’m going straight to the gym. WTF is my problem !!	{'place_id': '3b77caf94bfc81fe'}
2021-12-14T07:02:04.000Z	1470650279729131522	Almost totally forgot Shiv’s horrible wedding speech ManShe coulda told Tom she loved himBut she doesn’t know how cuz her mom! She couldn’t in the speech! It’s distracting to live in the aftermath of that episode	{'place_id': '3b77caf94bfc81fe'}
2021-12-14T07:00:17.000Z	1470649828740898816	I’m really about to take my self on a date Thursday and watch Spider-Man	{'place_id': '3b77caf94bfc81fe'}
2021-12-14T06:29:01.000Z	1470641962533457921	Ermenia wedding @ Grace Community Church 	{'coordinates': {'type': 'Point', 'coordinates': [-118.42193838, 34.22127738]}, 'place_id': '3b77caf94bfc81fe'}
2021-12-14T06:25:19.000Z	1470641031750332420	My friend ermenia's wedding @ North Hollywood, California 	{'coordinates': {'type': 'Point', 'coordinates': [-118.378, 34.1722]}, 'place_id': '3b77caf94bfc81fe'}
2021-12-14T06:23:44.000Z	1470640632091881476	At my friends ermenia wedding, I'm nexed @ North Hollywood, California 	{'coordinates': {'type': 'Point', 'coordinates': [-118.378, 34.1722]}, 'place_id': '3b77caf94bfc81fe'}
2021-12-14T05:54:42.000Z	1470633323672178696	Y’all gone chill with this extra ass wedding bullshyt 	{'place_id': '3b77caf94bfc81fe'}
2021-12-14T04:57:05.000Z	1470618823715790849	Thinking if to go to the gym or not 😩	{'place_id': '3b77caf94bfc81fe'}
2021-12-14T04:44:46.000Z	1470615727908409350	Went to the gym after more than a month of just doing home workouts 🥰😌💪Feel good asf now …	{'place_id': '97e336e1e3ed9e1e'}
2021-12-14T04:43:45.000Z	1470615471754031106	Day 0: I went to the gym and was having a grand ole time but then I saw my ex’s BFF so I left 🥶 at least I tried right	{'place_id': '3b77caf94bfc81fe'}
2021-12-14T04:34:42.000Z	1470613192019644419	I’m so confused…did I just go out on a date with a guy who didn’t realize we were on a date or did I just go to dinner with someone and assumed it was a date?	{'place_id': '1927193c57f35d51'}
2021-12-14T04:29:50.000Z	1470611968864108550	Made it to the gym!	{'place_id': '3b77caf94bfc81fe'}
2021-12-14T04:18:47.000Z	1470609188447350787	Making her wear a skirt and no panties to a concert so you can play her pussy as well as fuck her slowly even if someone’s looking	{'place_id': '3b77caf94bfc81fe'}
2021-12-14T03:28:36.000Z	1470596557787435008	Jasmine was my MA not too long ago! Very happy for her! 🥳❤️ 	{'place_id': '10de09f288b1665c'}
2021-12-14T03:06:16.000Z	1470590936455389184	On rewatch of the Succession finale, one of my favorite minor threads is Willa after she caves, has a little ‘The Graduate’ face-drop sitting in the car, weeps at the wedding, and then then gets sullenly hammered in the background	{'place_id': '3b77caf94bfc81fe'}
2021-12-14T03:00:45.000Z	1470589550711873537	Really am just fighting the inner urge to order out despite the fact that I’m eating out minimum three times this week	{'place_id': '3b77caf94bfc81fe'}
2021-12-14T02:29:03.000Z	1470581574018093056	He’s definitely been to a few black wedding receptions 😂😂 	{'place_id': '3b77caf94bfc81fe'}
2021-12-14T02:20:00.000Z	1470579292568363009	 Trisha Paytas wedding is the new Variant of Preposterousness 🦠 	{'place_id': '0d87e2b8bbd5c000'}
2021-12-14T01:27:18.000Z	1470566032305655810	I’m gonna go to the mall do you need anything	{'place_id': '1927193c57f35d51'}
2021-12-14T01:01:25.000Z	1470559516429209604	wish i was laid up w a boo eating sum phO but no omw to the gym 	{'place_id': '3b77caf94bfc81fe'}
2021-12-14T00:44:20.000Z	1470555217221472256	i just want to go to a restaurant and order a flight of soup	{'place_id': '3b77caf94bfc81fe'}
2021-12-16T23:02:11.000Z	1471616677246750723	Today was not the day to come to the movies and be confused in the snack line. I am here on a MISSION	{'place_id': '3b77caf94bfc81fe'}
2021-12-16T22:09:01.000Z	1471603294619398144	 Go to churchChristmas treeStockingsTell my kids about Santa Claud	{'place_id': '3b77caf94bfc81fe'}
2021-12-16T21:24:28.000Z	1471592085547454464	it's been a while since i've been to the mall, today should be interesting 😂	{'place_id': '3b77caf94bfc81fe'}
2021-12-16T21:22:11.000Z	1471591507983360001	Omggggg no shade to Kathy Hilton but let  choose the wedding invitations she wants!!! 	{'place_id': '10de09f288b1665c'}
2021-12-16T20:39:58.000Z	1471580887779217411	Made it to the gym this morning with one sock on, tell me, how’s your day going?  Tell me you’re a dad with out being a dad. 🤷🏻‍♂️ 	{'place_id': '3b77caf94bfc81fe'}
2021-12-16T18:45:33.000Z	1471552093336969216	Why I want like 0 wedding dresses 🥴 I was driving last night and on caught my eye at this store so I know I’m getting one from la and one from Houston 😂	{'place_id': '3b77caf94bfc81fe'}
2021-12-16T18:16:21.000Z	1471544741477060610	 I’ve been paying for my membership there for about 0 years now and I have only gone a handful of times but I’m too lazy to go to Whittier location and cancel and keep saying “ima go to the gym this wknd” lmao 🙃	{'place_id': 'be347aa731d4353b'}
2021-12-16T18:06:04.000Z	1471542157752233988	I actually like spoilers. Im gonna listen to  review Sp*der-Man and decide if I want to see the movie or not. Even if I know what’s gonna happen I enjoy seeing things develop. Like, I knew the Red Wedding was gonna happen but it was still amazing to see.	{'place_id': '3b77caf94bfc81fe'}
2021-12-16T17:13:30.000Z	1471528927931744257	My financial goal is to one day make enough money to tip properly when bringing my toddler to a restaurant. I just can’t afford the expected 0% at this point 	{'place_id': '07d9c93917081002'}
2021-12-16T16:48:17.000Z	1471522581769383938	I got to the gym & I forgot my watch so now this workout ain’t shit bc I can’t record it 	{'place_id': '2feb76248fd9c581'}
2021-12-16T16:37:59.000Z	1471519990474059779	Now I can focus on my wedding✨ in two days!💕 	{'place_id': '2feb76248fd9c581'}
2021-12-16T10:12:40.000Z	1471423019235041282	“my best friend’s wedding” is so good. we need more rom coms about people who are absolutely deranged	{'place_id': '3b77caf94bfc81fe'}
2021-12-16T08:46:19.000Z	1471401289804238848	everyone at our wedding 	{'place_id': 'f8f8ee516109ee0e'}
2021-12-16T07:02:20.000Z	1471375120715239428	josh gave us the coolest wedding present 🥲 	{'place_id': 'f8f8ee516109ee0e'}
2021-12-16T06:05:03.000Z	1471360706104619008	I wanna go on a date soon	{'place_id': '05b5c83b6407aaac'}
2021-12-16T05:25:48.000Z	1471350827256201222	Okay fine I’ll hit the gym for the 0rd time today cause I don’t know how to say no to the homies when it comes to the gym 	{'place_id': '3b77caf94bfc81fe'}
2021-12-16T04:41:49.000Z	1471339760715059202	GUYS!!! I’M PICKING UP MY WEDDING DRESS TOMORROW!!😻🤍🤍🤍🤍🤍 it’s happening!!!👰🏻‍♀️😱 	{'place_id': '3b77caf94bfc81fe'}
2021-12-16T03:32:39.000Z	1471322352268898306	  Apparently it's postponed unless they can't come to a decision on a date. Then we forfeit and it's an L.	{'place_id': '3b77caf94bfc81fe'}
2021-12-16T03:07:28.000Z	1471316015959007232	We ordered Nashville style pizza for our 0 year wedding marriage anniversary thingy.Basically, we’ve been legally married for 0 years today and Nashville is now apart of our history.	{'place_id': '3b77caf94bfc81fe'}
2021-12-16T03:04:48.000Z	1471315345600180225	I got into my car last night after work and realized all my windows were frozen. Sat in my car for 0 mins thinking that was gonna do something. Nope. I waited about 0 and said fuck it lol got to the gym and everything was still frozen	{'place_id': '3b77caf94bfc81fe'}
2021-12-16T02:13:10.000Z	1471302349847085058	I tweeted this on my way to yoga. Namaste 	{'place_id': '3b77caf94bfc81fe'}
2021-12-16T02:04:49.000Z	1471300249335607298	I want to go to a party and just dance all night. I’m missing it	{'place_id': '3b77caf94bfc81fe'}
2021-12-16T01:20:21.000Z	1471289059527913472	To go to the gym or not!? I’m so hungry ..	{'place_id': '1193edda55d6fa3d'}
2021-12-16T01:06:52.000Z	1471285664947732480	I am on my way to church tonight so yay Lets go baby Jesus is born 🎄🎁💚❤💚❤💚❤💚❤💚❤💚💚💚❤💚💚❤💚❤💚❤💚❤💚❤💚❤💚❤💚❤💚💚❤💚❤💚❤💚❤💚❤💚❤	{'place_id': '67571a7baaa5906b'}
2021-12-16T00:52:04.000Z	1471281940384739332	I wanna go to the movies 😭	{'place_id': '2008b1cea656f14b'}
2021-12-17T23:53:48.000Z	1471992053420597249	Not going to the gym is really depressing is not good for my  Mental health...	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T23:40:11.000Z	1471988624891658240	I went to the mall to loose my money	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T22:54:12.000Z	1471977052978909185	trying to pack for ’s wedding tmrw but don’t know what kurta I need to rock	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T22:38:40.000Z	1471973143619141633	Time to go to the movies again! It’s only been like 0 years.. 	{'place_id': '59612bd882018c51'}
2021-12-17T22:29:43.000Z	1471970894968877057	I’m still not over it man, gonna wear a Spidey shirt to the party tn	{'place_id': 'c1e1a49e92ce1ba0'}
2021-12-17T21:50:15.000Z	1471960960046755840	my girl driving me to the mall to buy another fitted 💅🏾 	{'place_id': '70707114a9202b98'}
2021-12-17T21:25:35.000Z	1471954751948394497	Looking at pictures of me a couple months ago makes me sad 😢 I swear I’m go to the gym cause wtf	{'place_id': 'f2b1ac6c9d15503f'}
2021-12-17T20:57:06.000Z	1471947586558857218	When you get to the gym and your eye phones are on 0% 😩😩	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T20:56:35.000Z	1471947454324961282	 First of all if you was beefing at a wedding you should of been beefing at that wedding. Why would you bring that to somebody else’s club? That’s sad.	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T20:54:26.000Z	1471946914153127941	While at Cafe Orleans, a guy comes up and asked if we had a Disneyland wedding. He told us that he googled Disneyland gay wedding and tons of stuff came up for us. Said we were the reason he and his husband had a Disneyland wedding and used our photographer too.Made our day.	{'place_id': '0c2e6999105f8070'}
2021-12-17T20:50:22.000Z	1471945892072550401	Democrats are the only party voters expect to act responsibly and to fix things. They expect it so much they even expect a Dem POTUS to fix things beyond their control and unreasonably hold it against them when the can’t…then give power back to the party that breaks things. 	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T19:09:30.000Z	1471920508748718082	I feel hot when I wear a jockstrap to the gym tbh	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T18:09:03.000Z	1471905295597146113	neph told me a girl walked up to him and asked if he go to church. bruh that’s the oldest trick. “do i know you from somewhere?” 😂 ma mann	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T17:31:11.000Z	1471895765068910598	When you get to the gym and realize you forgot your headphones 🙃 	{'place_id': '905627646db90fef'}
2021-12-17T17:05:07.000Z	1471889204317622277	I’ve also been going to the gym consistently ✨🙏🏿😊	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T15:57:45.000Z	1471872250487840770	I'm going to the movies tomorrow with my son to watch Spider-Man last movie we saw in the theaters was onward a week before the shutdown	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T15:41:11.000Z	1471868083237457923	Back to back vacations make it really hard to come back to the gym but I'm finally here 🥰	{'place_id': 'ef74afb7ccba74d6'}
2021-12-17T15:28:42.000Z	1471864941913149444	$RBLX & $AMC on a date or what???	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T09:29:36.000Z	1471774572466769923	I went to a party and was the life of the scene like old times. I attribute my evening to cutting off Kierkegaard in favor of music on my way there. It’s easy to forget to prime your brain for the environment. When can I have parties with beauties that talk about philosophy?😭	{'place_id': '27f5da73dd83395c'}
2021-12-17T09:29:32.000Z	1471774553231691778	 0. Night at the Opera0. Caddyshack0, Ghostbusters0. Old School0. Wedding Crashers	{'place_id': '10de09f288b1665c'}
2021-12-17T07:04:42.000Z	1471738103144484867	Remember when I was ranting about wedding performances. Shit like this is why. See I wasn’t wrong ! 	{'place_id': 'c1e1a49e92ce1ba0'}
2021-12-17T06:42:17.000Z	1471732464619974656	I like this theory on what happens to Byron after Dwayne crashed his wedding to Whitley. 	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T06:11:52.000Z	1471724809692143617	I was at my best friends wedding and the person running the photo booth pointed out I had a nice rack. I then started to walk away and she literally stopped me to show her friend. 	{'place_id': '0c2e6999105f8070'}
2021-12-17T05:20:30.000Z	1471711882973040640	Guess I’m taking my Gordis ass to the gym	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T05:15:01.000Z	1471710501981679620	I’m just tryin to take a Capricorn on a date ✨	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T04:41:55.000Z	1471702173008359424	serious question, how you go to the movies if you deaf???	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T03:06:18.000Z	1471678108386283522	 Let’s walk this through. They have both purchased a house together and in LA, that’s more of a commitment than marriage not to mention the wedding was five minutes from their home - if he was so desperate, he could have walked home.	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T02:46:16.000Z	1471673067541647366	 i like you alot and is your dm private baby im a general Contractor the highest in construction and i have to make so much back well want to go out on a date with me baby	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T02:33:18.000Z	1471669804473860096	the best ppl show up to the party late	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T02:07:55.000Z	1471663416079052801	Yah I went on a date couple days ago and I like him but now he moving 😂But el toxico some how be sticking around	{'place_id': '20ba6fb3b1ee82da'}
2021-12-17T02:01:16.000Z	1471661745181638664	Read in  about the sadly sinking Newport Princess riverboat and decided to fly in for a look. If you’ve ever held a wedding or a quinceañera on her decks, you have my condolences.       	{'place_id': '01c060cf466c6ce3'}
2021-12-17T01:49:52.000Z	1471658873014554626	Was planning on just staying in playing video games and finally watching black widow but now I’m going on a date?????	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T01:49:28.000Z	1471658772510609411	Getting out the house and to the gym really the hardest part 😩	{'place_id': 'a077793faceeda6f'}
2021-12-17T01:19:09.000Z	1471651146326441986	rainy day meetup vibes 👽🌧🌴   	{'place_id': '07d9d9858b487000'}
2021-12-17T01:07:44.000Z	1471648269692334082	My cousin a big ass charger fan so I brought him to see the game but really it’s a sweet treat for when I beat his ass in fantasy hehe	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T00:46:48.000Z	1471643003446075393	Caught this beautiful woman waking down Melrose Avenue today. Had to get her number. Taking her out on a date later. Think I’m in love. 😍🥰 🤫 @ Melrose Avenue, Beverly Hills 	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.37425726, 34.08356011]}}
2021-12-17T00:43:42.000Z	1471642225436073986	I had a dream that the try guys came to a party at my house and  recorded an episode of  with  but only Robert not Robo, sorry  	{'place_id': '0c2e6999105f8070'}
2021-12-17T00:39:09.000Z	1471641079321563137	Titty Thursday 😋😍🥺Link in bio to see more 👀            	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T00:33:38.000Z	1471639688557445124	The next verse speaks of a Sunday morning and how happy all the people were. The princess's mom goes to church but she goes on a long hike until she finds the fisherman.	{'place_id': '3b77caf94bfc81fe'}
2021-12-17T00:24:49.000Z	1471637469711921154	 Solo dates?  to the movies or by yourself at a restaurant..	{'place_id': '00b028b400039d97'}
2021-12-17T00:18:25.000Z	1471635859833176065	This is the best part about going to the movies. 	{'place_id': 'c1e1a49e92ce1ba0'}
2021-12-17T00:17:34.000Z	1471635645034471425	I haven’t been to the gym in a week 😑	{'place_id': '3134f9d2892d2685'}
2021-12-18T23:56:40.000Z	1472355164757524484	 Run away from them for now. The Omicron is no joke, everyone I know who lives in NYC who went to the gym last weekend got Covid. All triple vaxxed. Not worth the risk with no precaution protocols on place	{'place_id': '59612bd882018c51'}
2021-12-18T23:53:41.000Z	1472354410151907332	 We asked the DJ to play that song during dinner at our wedding and he never did! He either forgot or was like “nope, I’m not cursing this wedding” lmao	{'place_id': 'f8f8ee516109ee0e'}
2021-12-18T23:38:04.000Z	1472350482890854401	  On my Way to see the game. Watching Kimmel before I go to the game. Lets F’ing go!! 	{'place_id': '97e336e1e3ed9e1e'}
2021-12-18T23:32:11.000Z	1472349002418962437	I hate shopping 🛍️ and even more so when the stores are swarming with people. Stopped in for a drink. I'm not sure I want to go back to shopping again. 😩 	{'place_id': '0799ff0a3c1006e9'}
2021-12-18T23:30:16.000Z	1472348518769561601	   Man y’all gotta give folks the weekend at least. I ain’t going until Sunday but  telling folks William Defoe hitting Arn Anderson spinebusters might have to let me finish up this audition and head to the movies 	{'place_id': '97e336e1e3ed9e1e'}
2021-12-18T23:12:37.000Z	1472344078163451905	So funny going to the mall. Like hey people I vaguely remember because you were a year older than me and never once had we a class together	{'place_id': 'b1bbf8e2ef22573a'}
