501282356	2021-10-18T23:42:07.000Z	1450245841311055874	Only went to the gym today so I could eat yesterdays leftover lil ceasars pizza if we bein real 	{'place_id': '4d1d90faa5484b1c'}
1127378177716670464	2021-10-18T02:35:56.000Z	1449927197133705216	Don’t miss this month’s  Session! Tap in this Tues, Oct 0th 0 with  and Jorrin Bruns from the Top-Ten Coin  🔥🔥🔥 Register 👉🏾 	{'place_id': '97e336e1e3ed9e1e'}
23506357	2021-10-18T02:30:06.000Z	1449925727478960139	I can’t wait to go to a friends wedding and make it about me on social media.	{'place_id': 'b0b79caecef59fb5'}
74940244	2021-10-18T02:00:22.000Z	1449918244463071237	  Indeed. From a statistical standpoint, older audiences also aren’t going to the movies as much anymore (which makes sense and I’m sure a pandemic hasn’t helped matters in that regard). Films like HALLOWEEN and VENOM appeal to younger people. Films like LAST DUEL appeal to older.	{'place_id': '3b77caf94bfc81fe'}
18176404	2021-10-18T02:00:21.000Z	1449918241132802051	Suuuuper late to the party but  was SO DAMN GOOD.	{'place_id': 'c84cc6061e2af8da'}
16588433	2021-10-18T01:54:52.000Z	1449916859847888896	OK nerds, I'm flying to NYC on Tuesday, 0/0, and I've made a deal with myself: no eating out until I get there, starting tonight. Wish me luck!!!	{'place_id': '01c060cf466c6ce3'}
67545043	2021-10-18T00:59:10.000Z	1449902844702724096	 Dude I know, I’ve been going to the movies every week and there’s a ton more to catch up on	{'place_id': '3b77caf94bfc81fe'}
233905686	2021-10-18T00:46:04.000Z	1449899547321241602	Your boy didn’t wear a hawaiian shirt at his friend’s wedding. 	{'place_id': '2feb76248fd9c581'}
113796192	2021-10-18T00:13:02.000Z	1449891233128611847	Who else goes to the mall just for food? Cause Charleys was calling my name	{'place_id': '3b77caf94bfc81fe'}
75103254	2021-10-19T23:51:25.000Z	1450610569212403712	David Lee and Chanel Lee wedding is all over my fyp on TikTok	{'place_id': '20ba6fb3b1ee82da'}
2436175711	2021-10-19T23:48:27.000Z	1450609822806675457	might as well head to the gym now. not even gonna listen to anything. just frustration	{'place_id': '3b77caf94bfc81fe'}
1193309472	2021-10-19T22:37:55.000Z	1450592073430618113	Going to the gym 😡😡	{'place_id': '6f24e28976abe656'}
1319429764558458881	2021-10-19T21:35:23.000Z	1450576337526145024	I wana go to the gym an kill this sesh 💪	{'place_id': '10de09f288b1665c'}
766536871220432896	2021-10-19T20:45:53.000Z	1450563877209399297	Damn I need to go shopping	{'place_id': '3b77caf94bfc81fe'}
1321081259825659913	2021-10-19T20:07:04.000Z	1450554109375901697	been seeing a lot of terrible wedding dresses lately smh 	{'place_id': 'fcd177d5a0545c9c'}
427210877	2021-10-19T19:18:18.000Z	1450541837307973633	 I believe it was Howard Stern's wedding.	{'place_id': 'fb76b3aa366004c9'}
518901791	2021-10-19T19:01:49.000Z	1450537690470883329	Wondering where to celebrate the holidays this year? Book your party by November 0th and receive 0% off! Click the link below and we'll have one of our event specialists contact you shortly. 🎅🎳🎉BOOK TODAY:  	{'place_id': '563dd564285e7363'}
1349930788872093701	2021-10-19T18:44:04.000Z	1450533221590986755	 Welcome to the party!	{'place_id': '01c060cf466c6ce3'}
24989506	2021-10-19T18:28:40.000Z	1450529348763619334	REPOST •  Concierto  en Los Angeles!! 🎶 Like when you make good friends in the industry and they invite you to the concert in  and you are very happy to see how success smiles on them making good music   	{'place_id': '07d9e38a59481000'}
1446757150055829504	2021-10-19T17:59:44.000Z	1450522067518976002	Feeling accomplished. Haven't made it to the gym in two days but still managed to get my butt up & still train.	{'place_id': '3b77caf94bfc81fe'}
297224865	2021-10-19T17:54:45.000Z	1450520812792926211	Not me and jenny showing up to a bar in rave attire on Saturday after Carl Cox 💀	{'place_id': '3b77caf94bfc81fe'}
778228692753330181	2021-10-19T17:24:25.000Z	1450513179520299009	i miss going to the gym with  and our chisme sessions 😢	{'place_id': '00b028b400039d97'}
33615808	2021-10-19T17:08:57.000Z	1450509286140825600	After this class , heading straight to the gym 💪🏾🙅🏽‍♀️🥳	{'place_id': '3b77caf94bfc81fe'}
458961607	2021-10-19T17:08:14.000Z	1450509104577794049	I’ve been doing this little tax hack since April and I absolutely love it. If I’m eating out at a restaurant, it’s on the business card.  Think of it as a healthcare flexible spending account but on food & drinks. 😝 	{'place_id': '2da132a7bfebfc0c'}
1642681	2021-10-19T16:53:05.000Z	1450505292966346754	Any piano music does that's to me. 🤷‍♂️ My mom dragged me to the mall all the time.	{'place_id': '01c060cf466c6ce3'}
1026990268401106944	2021-10-19T16:16:52.000Z	1450496177162489858	Back to the gym today 🥰🥰🥰	{'place_id': '3b77caf94bfc81fe'}
46092587	2021-10-19T16:07:00.000Z	1450493697309564933	Just saw a man eating out the garbage can.  I gave him all the cash I had	{'place_id': '3b77caf94bfc81fe'}
2360233146	2021-10-19T15:57:37.000Z	1450491333479571464	I didn’t realize how many of y’all live in Portland. Definitely having a girls meetup after I move so I can meet you all!	{'place_id': '3b77caf94bfc81fe'}
749645978	2021-10-19T15:09:33.000Z	1450479237157179396	Can we stop doing sepia filters on wedding pics please	{'place_id': '0c2e6999105f8070'}
1011143036544471040	2021-10-19T09:45:12.000Z	1450397613749010433	Since 0k is to small for date, let's just go to church then we can eat words of God. Food plenty for house of God.	{'place_id': '3b77caf94bfc81fe'}
1159223484	2021-10-19T08:14:43.000Z	1450374841555554304	Wish I had more friends to with to the gym around this hour 😔	{'place_id': '3b77caf94bfc81fe'}
49244936	2021-10-19T07:36:17.000Z	1450365168878292994	Another fabulous weekend of            @ The 0 	{'place_id': 'fbd6d2f5a4e4a15e', 'coordinates': {'type': 'Point', 'coordinates': [-118.59176815, 34.12074302]}}
242646046	2021-10-19T07:23:03.000Z	1450361840471400452	“ I need someone I can take to church and the strip club “	{'place_id': '3b77caf94bfc81fe'}
31438204	2021-10-19T06:12:16.000Z	1450344024494067712	Til this day the Red Wedding scene from GOT has to be the craziest most ruthless scene in a tv show 😩	{'place_id': '3b77caf94bfc81fe'}
21394805	2021-10-19T05:54:12.000Z	1450339480833953792	Just pulled up to the gym after being out of commission for the last 0 days. Dios ayudame 😞	{'place_id': '3b77caf94bfc81fe'}
1200189176	2021-10-19T05:36:15.000Z	1450334962360545280	A lot of people are mesmerized by Kourtney Kardashian and Travis Barker’s wedding. Am I the only one that finds this weird af? Lmao	{'place_id': '3b77caf94bfc81fe'}
1979841	2021-10-19T04:33:02.000Z	1450319053843623936	 It makes me want to stop going to the movies	{'place_id': '3b77caf94bfc81fe'}
2694920804	2021-10-19T04:23:57.000Z	1450316766102450178	not me going through my photos back in 0 to find pictures of my dads wedding only to come across some dick pics i forgot to delete from my ex 💀 ew	{'place_id': '0fc6568d145d84ac'}
1117963231	2021-10-19T04:09:05.000Z	1450313026989551622	if i was on a date and they didn’t tip the server i would make them wait and apologize to them and give them a $0	{'place_id': '3b77caf94bfc81fe'}
817701768	2021-10-19T04:06:48.000Z	1450312450797150208	Some candid photos of a beautiful wedding party💐🥂💖 @ Bel-Air Bay Club- Upper Club 	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.54548382, 34.04021551]}}
3431717713	2021-10-19T03:37:49.000Z	1450305159121178624	I’m tryna go on a date this Friday or Saturday evening 🌚 	{'place_id': '3b77caf94bfc81fe'}
156520638	2021-10-19T03:30:00.000Z	1450303189350113281	Ladies guys that wear hats are trying to hide the fact that they’re bald 👨🏾‍🦲Me. I don’t hide anything if I go out on a date I’m wearing gray sweatpants. Your welcome	{'place_id': '3b77caf94bfc81fe'}
1277829138	2021-10-19T03:25:36.000Z	1450302081361797121	 When I went to the concert, so many were just standing there 😭😭😭	{'place_id': '01c060cf466c6ce3'}
540596246	2021-10-19T03:12:31.000Z	1450298790162829318	I was changing to go to the gym but I ended up knocking out 💀🤡.	{'place_id': '3b77caf94bfc81fe'}
131341883	2021-10-19T03:08:55.000Z	1450297882934857737	 Yeah I quite liked it although the film is maybe in need of a 0-minute trim but it’s pretty darn good and the Rashomon approach works quite well. I would love to come down but Sunday I’m officiating (yet another) big wedding 💒 ❤️	{'place_id': '3b77caf94bfc81fe'}
1202736594	2021-10-19T02:22:19.000Z	1450286158299033612	Literally can’t go shopping with Danny anymore, with this resale thing he’s doing 🙃	{'place_id': 'c1e1a49e92ce1ba0'}
296449285	2021-10-19T02:14:01.000Z	1450284067744714753	It's my seven year wedding anniversary. Which in Kardashian years is 0. So blessed.	{'place_id': '905627646db90fef'}
25477239	2021-10-19T02:05:52.000Z	1450282018126778369	if i don’t fit in my wedding dress 0 weeks from now i’ll have no one to blame but myself sksksks 	{'place_id': '0c2e6999105f8070'}
20252627	2021-10-19T01:28:56.000Z	1450272724052373506	 I named our wedding celebration “This is not a wedding” and called it a holiday party to all vendors except the photographer	{'place_id': '3b77caf94bfc81fe'}
749645978	2021-10-19T00:39:04.000Z	1450260173210062852	Never understood how people took out their babies uncovered, exposed in this pandemic. I understand having to take them out for essentials if you don’t have someone else to watch them but like just taking them to a restaurant?? Isn’t that dangerous??	{'place_id': '1193edda55d6fa3d'}
965712732904349698	2021-10-19T00:36:33.000Z	1450259538523791372	Tryna go on a date to the batting cages :(	{'place_id': '3b77caf94bfc81fe'}
879079742384685060	2021-10-20T23:52:26.000Z	1450973214490841090	feel like pullin up to a bar later just to watch this game 😅	{'place_id': '3b77caf94bfc81fe'}
14456685	2021-10-20T22:24:43.000Z	1450951136878362625	 an excellent wedding gift tbh!	{'place_id': '3b77caf94bfc81fe'}
934550776025722880	2021-10-20T22:15:33.000Z	1450948831869235204	And I don’t want to go to the gym today either…it’s leg day ☹️	{'place_id': 'bcd6f5a92e969e33'}
27130105	2021-10-20T22:06:03.000Z	1450946441392771077	Oh look at this Instagram cook who has 0K followers, how does she afford—*notices her giant wedding ring*There it is	{'place_id': '3b77caf94bfc81fe'}
1011757666484379649	2021-10-20T21:27:42.000Z	1450936788965462021	Went to the gym and  went more than 0% god damn! 🔥   	{'place_id': '1927193c57f35d51'}
91454861	2021-10-20T20:44:05.000Z	1450925814158028802	The ‘Distinctive Difference’ Bridal Appointment Call/email for details0-0-0deborahsbridal          	{'place_id': '7b2a70199c4d7b6d'}
76156485	2021-10-20T20:22:04.000Z	1450920274275147777	 It’s for a wedding. But I’m sure they’ll have coffee.	{'place_id': '3b77caf94bfc81fe'}
1262853708225802240	2021-10-20T20:10:50.000Z	1450917445309382658	girl same, we leave for edc tomorrow and i’m barely going shopping for fits today 🧍🏽‍♀️😂😭 	{'place_id': '3b77caf94bfc81fe'}
1928295024	2021-10-20T19:08:28.000Z	1450901748780916739	Rate I’m going shopping do you want owt ?	{'place_id': '3b77caf94bfc81fe'}
262841011	2021-10-20T18:49:55.000Z	1450897084056412166	Noah fence but I wasn’t enjoying the commentary for this media workout. Just listening to the gym stuff is much better 	{'place_id': '01c060cf466c6ce3'}
91454861	2021-10-20T18:46:57.000Z	1450896335524143107	🎃 October 0 Bride in non-traditional style accessories wearing a  gown. 0-0-0deborahsbridal         	{'place_id': '7b2a70199c4d7b6d'}
100849414	2021-10-20T18:45:44.000Z	1450896029411201027	I just want a gym partner who would hold me accountable on going to the gym weekly but once we arrive we separate and go do our own routine then leave together and go get something to eat. Is that so hard to ask?	{'place_id': '01c060cf466c6ce3'}
91454861	2021-10-20T18:42:42.000Z	1450895267683717123	Walk down the aisle in style with  0-0-0deborahsbridal             	{'place_id': '7b2a70199c4d7b6d'}
572807219	2021-10-20T18:21:22.000Z	1450889897909256192	Since R Kelly in prison and I can’t book him for my future wedding my plan b would be booking DJ Unk	{'place_id': 'a75bc1fb166cd594'}
28696660	2021-10-20T18:15:19.000Z	1450888375330918404	I didn’t just walk to the party I brought drugs to the party	{'place_id': '3b77caf94bfc81fe'}
1478638844	2021-10-20T17:52:32.000Z	1450882643109711879	the way that I’m planning my wedding and I don’t even have a ring 🤚🏻	{'place_id': '3b77caf94bfc81fe'}
99176855	2021-10-20T17:08:57.000Z	1450871671775064067	i really need to go on a date w mos def my life would be made	{'place_id': '1f70c1d2b8cfd26d'}
716272752076808194	2021-10-20T16:57:14.000Z	1450868724471250946	Waiting for my wedding invitation. 🥰 	{'place_id': '3b77caf94bfc81fe'}
833891340928765953	2021-10-20T16:11:37.000Z	1450857244371742727	My mind telling me to get up & go to the gym but my body like nah 😂	{'place_id': 'b2fda7385aa963dd'}
1091594181108129793	2021-10-20T14:56:31.000Z	1450838347560022018	Biggest dilemma in my life everyday is do I go to the gym before work or sleep in & go after 🥱	{'place_id': '3b77caf94bfc81fe'}
50972095	2021-10-20T14:53:49.000Z	1450837668091236354	  Do you want to call my cousin and ask him? Because I was with him during his transformation when all of our family kicked him to the curb and I stood up for him at his wedding and continue to love him. But keep telling me what you know about me.	{'place_id': '3b77caf94bfc81fe'}
198260935	2021-10-20T14:22:31.000Z	1450829791070810120	Happy Anniversary!  It’s my amazing wife and my 0 year Wedding Anniversary today, we’ll celebrate w ya! 🥞 🍳 ☕️ 	{'place_id': '3b77caf94bfc81fe'}
27062226	2021-10-20T14:03:57.000Z	1450825117706031112	Just in case you feel like going shopping for NFTS today 👉🏾 	{'place_id': 'aa755c5c1b8e341b'}
218520952	2021-10-20T13:54:50.000Z	1450822824331866115	Man let me get up & go to the gym.	{'place_id': '97e336e1e3ed9e1e'}
300877474	2021-10-20T12:32:49.000Z	1450802183377727500	Happy 0st wedding anniversary chums  😘😘😘 i love you so much ❤️❤️❤️ @ Los Angeles, California 	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.2445, 34.0564]}}
1011763467827548160	2021-10-20T12:30:02.000Z	1450801482102497286	     Good morning to my favorite morning news team. Happy hump day. Any thoughts on the upcoming weekend? Son’s birthday and oldest son’s 0th wedding anniversary. I’ll be busy. Hope your weekend is shaping up. ❤️	{'place_id': '0d9a7f9b8f0baf12'}
3193701535	2021-10-20T09:00:29.000Z	1450748745113489416	Dave Chappelle On When You Call Her To Come Over For A Drink  via 	{'place_id': '3b77caf94bfc81fe'}
4499019023	2021-10-20T07:25:43.000Z	1450724897236271105	A bitch like yourself should go to church and get married	{'place_id': '6f24e28976abe656'}
4250453838	2021-10-20T05:35:37.000Z	1450697192428109826	Dang! Chucky followed Junior to the party 😳😱       	{'place_id': '3b77caf94bfc81fe'}
21394805	2021-10-20T04:50:06.000Z	1450685734986268675	Not sure who needs to hear this but we (you and I) are certainly going to the gym later.	{'place_id': '67571a7baaa5906b'}
96074796	2021-10-20T02:58:33.000Z	1450657664443162629	I want a real proposal but a fake marriage but a real wedding y’all get me lmao	{'place_id': '3b77caf94bfc81fe'}
1713854730	2021-10-20T02:49:54.000Z	1450655488127815686	I needa be motivated/ figure out my schedule so I can go to the gym I wanna lose weight and eat more healthier 😭😩	{'place_id': '3b77caf94bfc81fe'}
21001022	2021-10-20T02:47:12.000Z	1450654804921909249	Step-mommy coming in with some  marital advice, 0 days out from wedding day. 	{'place_id': '3b77caf94bfc81fe'}
1023648067	2021-10-20T02:42:44.000Z	1450653682740043779	cooking dinner myself &gt;&gt;&gt;&gt; eating out	{'place_id': '3b77caf94bfc81fe'}
14200196	2021-10-21T23:13:54.000Z	1451325904316088324	  Wedding at Lakers halftime gotta happen	{'place_id': '3b77caf94bfc81fe'}
853872648	2021-10-21T23:02:34.000Z	1451323053128892420	Finally off… I love that my girls are always down for a drink. all takes is a “y’all busy?” text 😂	{'place_id': '741e9df4d2522275'}
27181608	2021-10-21T22:37:02.000Z	1451316625399898113	 Going to the gym??? Because apparently I’m trying something healthy for a change???	{'place_id': '3b77caf94bfc81fe'}
2955748345	2021-10-21T21:58:46.000Z	1451306995080839191	I really just wanna go on a date and lie the whole time. Like become a totally new person, for fun	{'place_id': '3b77caf94bfc81fe'}
96718680	2021-10-21T20:52:53.000Z	1451290414892281886	Am I singing, A Little Honey, by Nathaniel Rateliff & The Night Sweats at my wedding…? Yes… 	{'place_id': '97e336e1e3ed9e1e'}
26470215	2021-10-21T20:29:01.000Z	1451284408841891849	0 more day till EDC! ✨I'll see you all at Kinetic Field on Saturday from 0:0PM-0:0PM and I'll be stopping by the Atlas meetup right before my set at 0:0PM. The location is circled on the EDC map. See you all there! 	{'place_id': '3b77caf94bfc81fe'}
19578315	2021-10-21T20:08:44.000Z	1451279304759799818	As a wedding gift I’m giving my cousin his honeymoon (it’s a cute Airbnb near their home) but I asked if he was sure he wanted to get married first… they’re both 0! Yes, I’m judging 😂	{'place_id': 'b0b79caecef59fb5'}
27181608	2021-10-21T19:43:23.000Z	1451272927375093780	Not me trying to decide if a no bones day is reason enough to not go to the gym tonight 🥴	{'place_id': '3b77caf94bfc81fe'}
21394805	2021-10-21T19:34:11.000Z	1451270610177331200	Came to the gym for some early day lifting. Tonight I’ll do jump rope.	{'place_id': '3b77caf94bfc81fe'}
859857235593240576	2021-10-21T19:21:50.000Z	1451267502508445703	Invited to a wedding you really resent having to go to this fall? On Nov 0th, cop our new  collab and let the bride know you think this whole thing is a waste of time and he’s probably already cheating on you.	{'place_id': '3b77caf94bfc81fe'}
579520342	2021-10-21T18:40:12.000Z	1451257024780517376	 Today I want to church and they were talking about Mathew and about fishing. This was a God wink from him to us.	{'place_id': '771f8196d3598fe8'}
25125385	2021-10-21T18:12:05.000Z	1451249951397203969	“I just finished therapy and heading to yoga” -“Well I just woke up from a hoe’s house” -me	{'place_id': '3b77caf94bfc81fe'}
14456685	2021-10-21T18:11:55.000Z	1451249909072465925	HAHA IT EVEN HAS THE WEDDING BANDCHEF KISS 	{'place_id': '3b77caf94bfc81fe'}
1381498044789612544	2021-10-21T17:10:04.000Z	1451234342823350276	 to when I actually worked out 0 days a week I haven’t been to the gym in 0 years 	{'place_id': '3b77caf94bfc81fe'}
359125684	2021-10-21T15:55:05.000Z	1451215472792276993	Knowing I will die soon is going to make today tremendous 🤩We’ve won the morning Now to the gymTo the runThen home for oats and teaThen you can join me on   as I record my vocals for a new project on the way      	{'place_id': '3b77caf94bfc81fe'}
1388676497091612672	2021-10-21T08:18:09.000Z	1451100482668150784	What’s the motion out there?        	{'place_id': '3b77caf94bfc81fe'}
1445075995808071689	2021-10-21T06:52:02.000Z	1451078807830499337	Wedding goin up forsure	{'place_id': '3b77caf94bfc81fe'}
625121011	2021-10-21T04:50:07.000Z	1451048127197155334	   Couldn’t go to a bar.  Couldn’t attend a game or concert.  Schools closed. Much different year.	{'place_id': '3b77caf94bfc81fe'}
874848134	2021-10-21T04:36:07.000Z	1451044605307211776	going to the gym for rhe first time in weeks 🥲	{'place_id': '3b77caf94bfc81fe'}
2569943664	2021-10-21T04:22:05.000Z	1451041074093436929	Happy Wedding Day Brenda and Victor! Book your Wedding Day with us today. @ R&M Ranch 	{'place_id': 'eb1bb64775708bc1', 'coordinates': {'type': 'Point', 'coordinates': [-117.8462815, 34.1273826]}}
66149239	2021-10-21T04:19:21.000Z	1451040383505350661	smoking a blunt after eating dinner and doing a little wedding planning — with a face mask on, candle lit and blasting  on the surround. 	{'place_id': '3b77caf94bfc81fe'}
525770160	2021-10-21T04:09:24.000Z	1451037879673647106	 We gotta meetup and get some lunch/dinner, my friend!	{'place_id': '3e5f2219d3106113'}
49516492	2021-10-21T03:39:10.000Z	1451030271688523781	 You don’t need to be getting married to have a wedding	{'place_id': '3b77caf94bfc81fe'}
1301275236894085121	2021-10-21T03:37:03.000Z	1451029738886074378	 the taco guy was bomb at your wedding tho	{'place_id': '2008b1cea656f14b'}
1612067526	2021-10-21T03:17:46.000Z	1451024886734880768	 Back on the Chain GangTown Called MaliceLittle Red Corvette Should I Stay or Should I GoAmarillo By Morning Don’t ChangeAtomic DogAlways on My MindCome on EileenAtlantic CityWhite WeddingSafety Dance Telegraph RoadVacationSave a PrayerDon’t GoLove is a Stranger	{'place_id': '3b77caf94bfc81fe'}
69449792	2021-10-21T03:13:01.000Z	1451023693182685185	Should i drink a glass of wine to relieve my anxiety or go to the gym	{'place_id': 'f8f8ee516109ee0e'}
67109577	2021-10-21T03:05:41.000Z	1451021845457629186	Solid solid group at  meet up in San Pedro tonight in LAJoin at  and connect w/ Bitcoiners from all over SoCal	{'place_id': '3b77caf94bfc81fe'}
44439894	2021-10-21T02:23:21.000Z	1451011190914576385	I just want to go to the movies	{'place_id': '19d41c6eff11e9d6'}
1305904497789562880	2021-10-21T02:07:48.000Z	1451007280808300546	My mom going on a date, she’s so happy 😍	{'place_id': '9da8666a1bd226d8'}
15588854	2021-10-21T01:56:29.000Z	1451004433404346373	I am having the time of my life reading Lord of the Butterflies by  tonight. Sent to me as wedding gift from  What a masterclass in imagery and scene.	{'place_id': '3b77caf94bfc81fe'}
