2021-01-11T23:46:25.000Z	1348778320599543808	if he doesn’t ask me on a date on valentine’s day. he’s getting cut.	{'place_id': '9f151172bfd5aa1d'}
2021-01-11T17:08:51.000Z	1348678269596360710	I recently lost my aunty to Covid & her husband is in the hospital fighting for his life still. He never got to say goodbye to her😞 I always pictured them being in my life: being at my wedding, meeting my future kids, but nothing is promised💔prayers always appreciated 💛	{'place_id': 'a077793faceeda6f'}
2021-01-11T17:08:14.000Z	1348678114772017152	 & I said we’re gonna bring snacks whenever we workout & stop eating out, but the second part is a damn lie 😂😂😂	{'place_id': '6f24e28976abe656'}
2021-01-11T15:59:45.000Z	1348660880993472514	Let me stay focus and take my ass to the gym before I start work today. Ugh. I can’t wait for me to get used to this...	{'place_id': '3b77caf94bfc81fe'}
2021-01-11T15:28:12.000Z	1348652939271815168	A former friend's husband casually posted that his uncle was in the Capitol, so I screenshot & sent info  to the FBI -- that's what you get for being a nazi AND wearing jeans to my wedding	{'place_id': '3b77caf94bfc81fe'}
2021-01-11T14:44:50.000Z	1348642027462774792	 Going to the gym every day and I only eat meal prep	{'place_id': '3b77caf94bfc81fe'}
2021-01-11T10:51:24.000Z	1348583281269166081	   I went to church with the guy who made it!	{'place_id': '3b77caf94bfc81fe'}
2021-01-11T09:36:44.000Z	1348564493098381316	  I think that one of our greatest strengths as a party is that we’re willing to let outsiders make changes to the party. It helps make us more inclusive.Obviously it can also be weaponized against us as Bernie demonstrated.	{'place_id': '3b77caf94bfc81fe'}
2021-01-11T08:07:29.000Z	1348542031052722176	  Thank you Sean for letting me use your Lambo so I could take my crush out to the movies 🤞🏼	{'place_id': '97e336e1e3ed9e1e'}
2021-01-11T07:55:04.000Z	1348538906036211713	 He got some jams for sure. I just ain’t gone in yet. I know I’m late to the party lol	{'place_id': '3b77caf94bfc81fe'}
2021-01-11T07:55:01.000Z	1348538891691724802	I’m over here trying to not drink for a bit and then guys be like let me take you for a drink....like fuck 🙃	{'place_id': '5e68ca240e32025a'}
2021-01-11T07:39:42.000Z	1348535039550582784	@ that weird influencer I went on a date with who blasted the Jurassic park soundtrack on our entire hike on his small speaker 👀 	{'place_id': '3b77caf94bfc81fe'}
2021-01-11T07:38:49.000Z	1348534814886948864	 Yeah I hope so! Another possible positive outcome is more folks defending people’s right to decide who is their customers. Remember the bakery and the gay wedding cake or that crazy trans woman suing Brazilian wax providers?	{'place_id': 'cce33d74ceffbe08'}
2021-01-11T07:02:20.000Z	1348525636608876547	Super late to the party, but Jessie Ware’s latest album is 🔥 	{'place_id': '3b77caf94bfc81fe'}
2021-01-11T06:40:33.000Z	1348520154687098882	oh you don’t tear up at Schmitt’s & CeCe’s wedding episode fucking heartless imbecile	{'place_id': '3b77caf94bfc81fe'}
2021-01-11T06:09:05.000Z	1348512234385907714	Flashback to when  coach JZ was at the same wedding as my girl  and she wanted help with her nutrition 🤣🤣🤣🤣   @ Los Angeles, California 	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.2445, 34.0564]}}
2021-01-11T05:31:28.000Z	1348502767426408449	Something about stuffing your face with brownies when youre feelin down. Gotta stop this shit tho bc I need to fit into my wedding dress 😅	{'place_id': 'c1e1a49e92ce1ba0'}
2021-01-11T04:49:16.000Z	1348492148543344651	Steph and I hired a mariachi band to play our wedding ceremony 😍 it’s gonna be so beautiful 🥺	{'place_id': '35fea2c31d822962'}
2021-01-11T03:59:03.000Z	1348479511482953729	If we go on a date, everything on me baby I got you. Just run when I run😂	{'place_id': '01162bc41f757d0f'}
2021-01-11T03:22:45.000Z	1348470374132928514	baby took me on a date today ✨💞 	{'place_id': '0fc3442c44147000'}
2021-01-11T03:14:08.000Z	1348468208500572160	 bitch i was watching wedding videos on YouTube yesterday making myself cry 😭	{'place_id': '3b77caf94bfc81fe'}
2021-01-11T02:38:16.000Z	1348459182459027458	  all these people late to the party 😂	{'place_id': '0b93bc6a33455615'}
2021-01-11T02:20:36.000Z	1348454734265348098	Brooo all we do is eat out	{'place_id': '3b77caf94bfc81fe'}
2021-01-12T23:57:58.000Z	1349143616417980417	Why is the election system always messed up only according to the party that doesn’t win the election?	{'place_id': '3b77caf94bfc81fe'}
2021-01-12T23:29:42.000Z	1349136503755034624	"""Welcome to the party, pal!""  "	{'place_id': '67571a7baaa5906b'}
2021-01-12T23:05:31.000Z	1349130416117071872	 I wanna go to the wedding	{'place_id': '3b77caf94bfc81fe'}
2021-01-12T22:44:34.000Z	1349125144434806784	I finally went to the gym for the first this year.	{'place_id': '67571a7baaa5906b'}
2021-01-12T21:49:09.000Z	1349111199238025218	really miss going to the gym ☹️	{'place_id': '3b77caf94bfc81fe'}
2021-01-12T21:03:51.000Z	1349099796544376832	 Hahahaha i better be invited to your wedding	{'place_id': '3b77caf94bfc81fe'}
2021-01-12T20:43:38.000Z	1349094711949070336	Me when I have no time to go to the gym 	{'place_id': 'c84cc6061e2af8da'}
2021-01-12T19:21:39.000Z	1349074078074769411	Had absolutely zero desire to go to the gym this morning. Got my ass up and went and had such a good friggen work out	{'place_id': '20ba6fb3b1ee82da'}
2021-01-12T18:14:52.000Z	1349057269674098688	She goes from you ain’t shit I hate you  to good morning can we go to the mall gotta love it tho 😂🤷‍♂️	{'place_id': '3134f9d2892d2685'}
2021-01-12T17:39:10.000Z	1349048286104064000	Sometimes being “late to the party” is good cause “everyone is gone”.	{'place_id': '3b77caf94bfc81fe'}
2021-01-12T15:14:35.000Z	1349011902987456516	  Completely different from the wedding cake scenario (which I think was wrongly decided regardless) because there is no government action (like the CO public accommodation law). The free speech clause of the 0st Am protects you from the government, not a private employer.	{'place_id': '01c060cf466c6ce3'}
2021-01-12T14:57:22.000Z	1349007567922606085	Yes to this whole stream. Shut it all down and give us money to live through the shut down. All you twenty & thirty somethings in my apt building stop with the parties and no mask wearing. 0am on a Monday I wake up to a party?? We’re hopeless. 	{'place_id': '3b77caf94bfc81fe'}
2021-01-12T13:58:41.000Z	1348992800142942209	 Welcome to the party 🎉	{'place_id': '3b77caf94bfc81fe'}
2021-01-12T10:01:31.000Z	1348933114018480129	yall eat out girls who had an abortion and wonder why you got voices in yo head	{'place_id': '3b77caf94bfc81fe'}
2021-01-12T07:09:49.000Z	1348889904927764481	where’s the men that ACTUALLY wanna take me on a date and get to know me lmaooo	{'place_id': 'bcd6f5a92e969e33'}
2021-01-12T06:04:42.000Z	1348873518599921669	I wanna get dolled up & go to a restaurant & then a bar w my girls 😖😖😖😖😖😖	{'place_id': '1193edda55d6fa3d'}
2021-01-12T05:57:44.000Z	1348871766211317763	I don’t want to get married but I do want to have a wedding if that makes sense?	{'place_id': '3b77caf94bfc81fe'}
2021-01-12T04:59:18.000Z	1348857062168543235	Frames from my first ever wedding video! Here’s the full video:  	{'place_id': '3b77caf94bfc81fe'}
2021-01-12T04:50:15.000Z	1348854784766349315	Switching over to  Sign me up for paintball in wedding dresses	{'place_id': '38ea9782c8d83a4b'}
2021-01-12T03:53:47.000Z	1348840573961031682	I was just asked out on a date... pandemic doesn’t make this easy	{'place_id': '3b77caf94bfc81fe'}
2021-01-12T03:37:45.000Z	1348836538713473026	I want to share the teaser video of my daughter’s wedding day. It was a great day. 	{'place_id': '0c2e6999105f8070'}
2021-01-12T02:03:49.000Z	1348812897367977984	Whoever is invited to my wedding.....I will MURDER you if you announce that you’re pregnant or do an engagement proposal!!!! 😤😡	{'place_id': '0c2e6999105f8070'}
2021-01-12T01:22:52.000Z	1348802594609668099	 when’s the last time you saw your way to church to praise the lord ? 	{'place_id': '3b77caf94bfc81fe'}
2021-01-12T01:10:08.000Z	1348799387976175619	  You’re too late to the party	{'place_id': '10de09f288b1665c'}
2021-01-12T00:49:34.000Z	1348794211282219011	i wanna go on a date	{'place_id': '3b77caf94bfc81fe'}
2021-01-12T00:10:44.000Z	1348784438558089216	My dream wedding and it isn’t even close. Patrick better bring his entire class and school for that matter to mine 💙     	{'place_id': '3b77caf94bfc81fe'}
2021-01-13T23:05:03.000Z	1349492687980826627	oh my gosh, twitter, by the time i get to  tonight i'm gonna have SO MUCH get bendy about. 😟  	{'place_id': '01c060cf466c6ce3'}
2021-01-13T22:57:08.000Z	1349490693375356929	 Simple.  Means you are a racist yourself.  You and Shaun King should get married.  Most epic racist wedding in history.	{'place_id': 'dbd7fea9eedaecd0'}
2021-01-13T21:59:46.000Z	1349476258048954368	going to the mall and picking one item from each store-type fit  	{'place_id': '3b77caf94bfc81fe'}
2021-01-13T21:51:00.000Z	1349474051840851971	I slept in today instead of heading to the gym for the 0th time.... yea something is definitely off with me	{'place_id': '3b77caf94bfc81fe'}
2021-01-13T19:51:15.000Z	1349443914818875392	Every time you go to a party, have a large family gathering or don’t wear a mask, remember that I am not allowed to see my dad because of Covid restrictions.	{'place_id': '01c060cf466c6ce3'}
2021-01-13T19:33:09.000Z	1349439359414517760	We had  on our wedding playlist before  even existed. Just saying. 😋	{'place_id': '3b77caf94bfc81fe'}
2021-01-13T18:31:34.000Z	1349423861725417472	Drove all the way to the gym to figure out my air pods are dead 🙃	{'place_id': '2feb76248fd9c581'}
2021-01-13T18:29:05.000Z	1349423239001305090	Not being able to go to the movies or record stores every week has been so fucking trash. I hate it.	{'place_id': '3b77caf94bfc81fe'}
2021-01-13T18:16:10.000Z	1349419987673305089	I’ve also never not been to the gym in a whole year	{'place_id': '67571a7baaa5906b'}
2021-01-13T18:15:53.000Z	1349419914289942528	Booked my first wedding of 0 & I feel like I’m betraying my old job but ya gurl gotta do what she has to do. Cheers to Wedding destination🥂	{'place_id': '6f24e28976abe656'}
2021-01-13T17:55:36.000Z	1349414811612762112	 I miss going to the movies then lunch on Saturdays... 🙄 	{'place_id': '01c060cf466c6ce3'}
2021-01-13T17:52:02.000Z	1349413912697995265	   I love to cook ( yup).chef style .No I'm not a chef but cook and present like . I can make you all kings of stuff to eat  .Yes I like to eat out too and with my baby ( Antonia).  You look so delicious in the kitchen .Yes a nice cold glass of your pee from the carafe in Frig.❤😘	{'place_id': '6f24e28976abe656'}
2021-01-13T16:33:53.000Z	1349394246730608640	can we ban YMCA from all wedding playlists now	{'place_id': '3b77caf94bfc81fe'}
2021-01-13T16:06:16.000Z	1349387294596206593	I found a better way to carry my pre workout to the gym 	{'place_id': '3b77caf94bfc81fe'}
2021-01-13T16:01:21.000Z	1349386058207690760	A relationship should be 0/0. She buys me suits and I take her on a date wearing it.	{'place_id': '3b77caf94bfc81fe'}
2021-01-13T15:51:58.000Z	1349383699498897411	Somebody tell me to get my ass up out of bed and go to the gym.	{'place_id': '3b77caf94bfc81fe'}
2021-01-13T15:50:57.000Z	1349383442614476801	I’m free February 0 if anyone wants to take me out on a date 😏	{'place_id': '3b77caf94bfc81fe'}
2021-01-13T15:40:48.000Z	1349380888841228294	To be honest, I’m the kind of girl who would eat a bag of Doritos on my wedding day, and accidentally wipe my hands on my wedding dress afterwards without realizing it. 	{'place_id': '10de09f288b1665c'}
2021-01-13T11:44:27.000Z	1349321406744461312	 welcome to the party	{'place_id': '341aa0cdb944022e'}
2021-01-13T09:20:05.000Z	1349285076039659521	 Im Tryna go to a wedding soooo 👀	{'place_id': '3b77caf94bfc81fe'}
2021-01-13T08:18:08.000Z	1349269487044894720	I know they’re having fun but those Star Wars wedding videos always make me cringe lmao	{'place_id': '0c2e6999105f8070'}
2021-01-13T06:50:45.000Z	1349247494765494273	I need to go shopping 😩	{'place_id': '7df6f50f15138f28'}
2021-01-13T06:47:34.000Z	1349246692952969216	 in middle school I was sent to church camp even tho I’ve always been atheist and this girl would not shut up about how much she loved christ and wanted to “spread the word” around the world like bitch everyone has at least heard of the Bible at this point no one want ur message	{'place_id': '174309ec90de94d0'}
2021-01-13T05:25:14.000Z	1349225974420758528	So excited for this! The second age stories will make for a great TV series, and will also tie in to the movies a lot better than going all the way back to The Silmarillion. Of course, a movie version of that still needs to happen some day. 	{'place_id': '59612bd882018c51'}
2021-01-13T04:04:35.000Z	1349205680813613056	Is it okay for people to say “I’m not coming if i cant bring my girlfriend” when its a family member who you haven’t seen in a loooong time wedding? Bc my aunt is already trying to pull that by saying my cousin wont come if he cant bring his gf. Like I’ve never even met her?	{'place_id': 'c1e1a49e92ce1ba0'}
2021-01-13T03:55:12.000Z	1349203319013605377	Is ending up in a wedding dress covered in paint  to try an win 0 minutes with handsome squidward really worth it?   fans does this happen every season?	{'place_id': '3b77caf94bfc81fe'}
2021-01-13T03:52:06.000Z	1349202537828687873	Tell your friends to follow us. we going to have a party soon. Like we always do 🤍	{'place_id': '97e336e1e3ed9e1e'}
2021-01-13T03:15:44.000Z	1349193385165221893	 😌 & that weed tent lmao 😂 wedding goin be on another level of lit 🥳 	{'place_id': 'f2b1ac6c9d15503f'}
2021-01-13T03:04:00.000Z	1349190432194846721	Someone stole my mom’s engagement and wedding rings and after 0 years of marriage I cannot even fathom how sentimental they were to her 💔	{'place_id': '3b77caf94bfc81fe'}
2021-01-13T02:24:38.000Z	1349180526393917440	On my wedding day I’m Legit walking down alone all eyes on ME! Why tf is it a thing that ur dad has to walk u down lmaooo 	{'place_id': '3b77caf94bfc81fe'}
2021-01-13T01:46:48.000Z	1349171006510809090	Working hard to give my future wife her dream wedding	{'place_id': '3b77caf94bfc81fe'}
2021-01-13T01:07:22.000Z	1349161078974869504	First off...fuck coming to the gym at 0pm and fuck the  too 	{'place_id': '0f907556e256d005'}
2021-01-13T00:32:33.000Z	1349152318764158976	We booked the banda for our wedding 😭💃🏼🎺🥁 	{'place_id': '3b77caf94bfc81fe'}
2021-01-17T23:10:48.000Z	1350943683714158595	My mom watched the end of the Chiefs game and said she may go to the mall during the AFC Championship game ... “Can’t take the stress”	{'place_id': '440191f4fe9d9752'}
2021-01-17T22:44:44.000Z	1350937123868864521	  when was the last time you went to the gym bro LMFAOO	{'place_id': '6f24e28976abe656'}
2021-01-17T22:41:00.000Z	1350936184361508873	"The day after the murder, my friend Martin called me up and said that he had dinner next to Phil and Lana at Dan Tana's that night and they conversed. So we called the news together and he became famous for saying ""it looked like they were on a date"" "	{'place_id': '3b77caf94bfc81fe'}
2021-01-17T22:04:07.000Z	1350926904413483008	today’s my mom and dad’s 0th wedding anniversary & my mom has always wanted a party w/fam n friends but due to pandemic, we couldn’t. ☹️BUT we put together an outdoor lunch & movie just for them & it’s a SURPRISE (we’re in a pod).would ❤️ for folks to send ‘em a greeting! 🥳 	{'place_id': '6f24e28976abe656'}
2021-01-17T22:01:28.000Z	1350926237322002433	" We were traveling in France.  took me back to a restaurant in Le Puy that we had loved on an earlier trip. He made a beautiful speech. I was so overwhelmed all I could manage to squeak out was ""Okay!"" He still teases me about it. Married 0+ years."	{'place_id': '59612bd882018c51'}
2021-01-17T21:39:47.000Z	1350920780582772736	i am quite dead. being that we are in a pandemic and I stopped going to the gym/working out with people, it’s nice to know that I can still get my ass kicked by the  app right in my living room.	{'place_id': '1927193c57f35d51'}
2021-01-17T21:27:59.000Z	1350917809145073672	Wedding Winter wonderland themed Mini cream puffs!          @ Carson, California 	{'place_id': '56909099a1d44057', 'coordinates': {'type': 'Point', 'coordinates': [-118.26, 33.8397]}}
2021-01-17T21:21:50.000Z	1350916261706752000	Winter wonderland themed Mini Banana Pudding Shooters for a wedding!        @ Carson, California 	{'place_id': '56909099a1d44057', 'coordinates': {'type': 'Point', 'coordinates': [-118.26, 33.8397]}}
2021-01-17T21:18:15.000Z	1350915359327485953	LOOK AT HOW AT HOME I LOOK SIDLED UP TO A BAROh wait, I AM at home. ILY // I Miss You, Restaurants. 🍹💋💚🧃🍸🐢 	{'place_id': '19d41c6eff11e9d6'}
2021-01-17T20:53:21.000Z	1350909095650361344	 let’s go shopping b	{'place_id': 'b0b79caecef59fb5'}
2021-01-17T20:47:10.000Z	1350907537055383553	Man I miss goin to the movies... 🍿	{'place_id': '3b77caf94bfc81fe'}
2021-01-17T20:33:09.000Z	1350904011390476290	I’m coming for a visit. Lisp meetup!  	{'place_id': '3b77caf94bfc81fe'}
2021-01-17T20:25:24.000Z	1350902062737838081	One time I took this guy I’d been talking to to the gym and he asked me where I went to school. As I wore this LMU t-shirt. 	{'place_id': '3b77caf94bfc81fe'}
2021-01-17T20:03:59.000Z	1350896672008617984	  Most of my friends are happy to be getting a break from their kids 😂 since my wedding is on a 0 day weekend in San Diego	{'place_id': '97e336e1e3ed9e1e'}
2021-01-17T20:00:31.000Z	1350895799400468480	 Unc up here taking us to church boyyy	{'place_id': 'd07feb9e5b1ce37c'}
2021-01-17T18:35:24.000Z	1350874376313348097	“If you can’t afford to tip, you can’t afford to eat out” how you gone tell somebody else how to spend they money? Girl bye, y’all don’t know what somebody situation is 	{'place_id': 'f2b1ac6c9d15503f'}
2021-01-17T18:20:59.000Z	1350870751658721280	Woke up hungover af but made it to the gym 😈⚡️ 	{'place_id': '3b77caf94bfc81fe'}
2021-01-17T18:19:45.000Z	1350870441838055424	i don’t even make the effort to go to church anymore. i need to force myself to start going again	{'place_id': '3b77caf94bfc81fe'}
2021-01-17T17:22:01.000Z	1350855910676197378	I had chicken with hot sauce yesterday for the first time life changing .😂 late to the party Ik	{'place_id': '575c6d4e1b73546d'}
2021-01-17T15:18:59.000Z	1350824947950645248	I wish everyone a beautiful day 😀🏴󠁧󠁢󠁳󠁣󠁴󠁿 I am going to church 	{'place_id': '3b77caf94bfc81fe'}
2021-01-17T14:28:00.000Z	1350812120082911232	 We need to go on a date 📅🏁🏁🏁👍😬😃 	{'place_id': 'fb76b3aa366004c9'}
2021-01-17T14:23:53.000Z	1350811083565461509	Not the wedding Kobe’s Pj ok bro you won 	{'place_id': '3b77caf94bfc81fe'}
2021-01-17T07:15:00.000Z	1350703151280607233	The wedding of River Song is a sloppily written episode but I still cried in it	{'place_id': '70707114a9202b98'}
2021-01-17T06:41:22.000Z	1350694686617346050	boys be like “lemme take u on a date” & do shit like this 	{'place_id': '3b77caf94bfc81fe'}
2021-01-17T06:32:38.000Z	1350692489443741696	Can't believe I can't go to the movies on my birthday like damn can't u take one day off covid😭	{'place_id': '3b77caf94bfc81fe'}
2021-01-17T06:14:55.000Z	1350688028860194816	  That was the last place I went to a party it was on February 0th :( it was the best	{'place_id': '3b77caf94bfc81fe'}
2021-01-17T05:57:32.000Z	1350683655954305026	I got 0 months to get right for this wedding	{'place_id': '01c060cf466c6ce3'}
2021-01-17T05:49:38.000Z	1350681665312493569	Random but I really miss going to the Movies.	{'place_id': '47dbb2e661aa176c'}
2021-01-17T04:37:56.000Z	1350663622284873729	The question is to go out tonight to the party or stay in 😪😪	{'place_id': '2008b1cea656f14b'}
2021-01-17T04:03:31.000Z	1350654962221551618	Oh to be 0 again going on a date to the Long Beach towne center	{'place_id': '0706a21788cadb8d'}
2021-01-17T03:11:57.000Z	1350641983279124481	 You literally were my deciding factor. You’re in the wedding party!!!	{'place_id': '0c2e6999105f8070'}
2021-01-17T03:06:54.000Z	1350640715181690882	 That’s all I needed to hear. He even said he’d be open to a relationship before I said it!!! Planning my wedding now :)	{'place_id': '0c2e6999105f8070'}
2021-01-17T00:53:50.000Z	1350607227082612736	Do you understand how distracting going to the gym in LA is... it’s like every pornstar I watched when I was 0 is squatting next to me and i’m expected to act right	{'place_id': '3b77caf94bfc81fe'}
2021-01-13T07:00:58.000Z	1349250065014013954	Bruh I’m finally finna get a haircut tnrw	{'place_id': '97e336e1e3ed9e1e'}
2021-01-15T04:45:00.000Z	1349940627748765696	 I was at redondo beach with my family at the restaurant next to the arcade. I started crying when that goal went in. I was so heartbroken!	{'place_id': 'c1e1a49e92ce1ba0'}
2021-01-15T01:57:31.000Z	1349898475467509763	 Tell that to people that owned $blu or $Bcli or any other failed trial recently.. didn’t matter if they were over inflated or not that is the name of the game in biotech investing. Your gonna get a haircut regardless of company valuation. So again what is Ark doing wrong to you?	{'place_id': '3b77caf94bfc81fe'}
2021-01-16T23:21:26.000Z	1350583973596983296	Tryna get a haircut but no luck 😪	{'place_id': '0706a21788cadb8d'}
2021-01-16T19:56:28.000Z	1350532390460952576	 Get a haircut.	{'place_id': 'd563cf7307e4ba95'}
2021-01-16T04:38:18.000Z	1350301327910383617	I just want to get a haircut	{'place_id': '3b77caf94bfc81fe'}
2021-01-16T03:42:34.000Z	1350287301486673922	What I wish happens when I go get a haircut because my barber is 🤤*Chefs Kiss* 	{'place_id': 'f8f8ee516109ee0e'}
2021-01-16T02:51:18.000Z	1350274400096907264	Fellas, is it gay to get a haircut in a regular barber chair? 	{'place_id': '3b77caf94bfc81fe'}
2021-01-17T03:35:06.000Z	1350647810073378834	I wanna go bowling	{'place_id': 'f2b1ac6c9d15503f'}
2021-01-11T21:11:27.000Z	1348739323911233538	   You should do what makes you comfortable. I believe that outdoor dining offers a SAFER place than gathering in homes. I don’t want people to gather in homes, but they are.	{'place_id': '3b77caf94bfc81fe'}
2021-01-11T17:02:34.000Z	1348676689253945344	  harsh comparison.  But is a nice history lesson. What happened at the capitol was a travesty. But not an act of genocide. It looked like a coup. Even though I’m sure some people there weren’t there to cause harm in a gathering the president may or may not have incited with tweets	{'place_id': 'b0b79caecef59fb5'}
2021-01-12T19:32:49.000Z	1349076887427969024	My nephew will be over a year old before I have even met him bc assholes won’t wear a mask, stop gathering, and stop traveling. 🙂	{'place_id': '1927193c57f35d51'}
2021-01-12T02:59:11.000Z	1348826830959087619	  Yes, this armed gathering looks definitely like an attempt to undermine Trump & MAGA supporters. Who's behind this mess? this looks bad for our country...	{'place_id': 'ab707672074afdbf'}
2021-01-12T02:16:57.000Z	1348816202190082050	I have yet to see a play where a defender was on him before the catch lol 	{'place_id': 'ddf8317a51899bd8'}
2021-01-13T23:02:56.000Z	1349492155434221568		{'place_id': '6f24e28976abe656'}
2021-01-13T16:32:57.000Z	1349394013359542273	 Beeing realistic,I have been in small gatherings of friends that nothing happed,But back in college huge gathering that everything went wrong. Jan 0 - there were almost no protection- Why???	{'place_id': '3b77caf94bfc81fe'}
2021-01-13T05:38:47.000Z	1349229385044250626	 I'll check it out on the road next week. Apologies to any musical artist not named MF DOOM. He will continue to massage my eardrums for at least another week. 	{'place_id': 'c1e1a49e92ce1ba0'}
2021-01-13T02:48:11.000Z	1349186452043616261	I just made 0 bucks opening a magic the gathering pack and getting a Vampiric Tutor what the heck	{'place_id': '2c1b78093786a74a'}
2021-01-14T07:17:55.000Z	1349616719015206915	Also should remember we have precedent. I suppose Nixon did try to massage his legacy in his twilight years, but from everything I've seen of his post-presidency, it was largely through his reinterpretation of his actions - now a wholesale rejection of them	{'place_id': '3b77caf94bfc81fe'}
2021-01-14T07:09:19.000Z	1349614558126620674	 If there was no mitigation, gathering would be more common, spread would be much higher. That’s just common sense. Which means hospitalizations and deaths would be higher as well.	{'place_id': '3b77caf94bfc81fe'}
