2021-08-02T23:55:52.000Z	1422345434392010810	I should probs go to the gym to get my mind off things	{'place_id': '05b5c83b6407aaac'}
2021-08-03T21:40:23.000Z	1422673727167221762	  this was one of our wedding vows the last time I got married	{'place_id': 'fb76b3aa366004c9'}
2021-08-03T21:09:10.000Z	1422665871407804419	Me: I don't want to do wedding favors for [list of valid reasons].Mom: Okay, okay.Also Mom: I got these wedding favors!...*deep breath* 0 days. Only 0 more days. 	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T21:07:41.000Z	1422665497284280320	Shout out to the homie  for going to the gym today with me…we didn’t workout but he went and he enrolled 😜😜😜	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T20:10:46.000Z	1422651176105906178	I remember when I was on a date once and the server was more attractive than my date…I was flabbergasted	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T19:56:14.000Z	1422647519587176449	i just wanna go back to the gym 😞	{'place_id': 'bcd6f5a92e969e33'}
2021-08-03T19:44:55.000Z	1422644670169980928	  Several bars and restaurants here in WeHo are required vaccinations to enter. I went to a restaurant this weekend that required it. I'll support those businesses!	{'place_id': '1927193c57f35d51'}
2021-08-03T19:26:34.000Z	1422640050827718656	Welcome to the party, Rudy.🤡 	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T18:50:58.000Z	1422631093862166528	biking to the movies with my snack bag 	{'place_id': 'd07feb9e5b1ce37c'}
2021-08-03T18:39:06.000Z	1422628108817952768	 The other day I went to the mall and on my way back to the car I kept looking around super paranoid so I decided I need to stop for a little bit lol	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T18:33:17.000Z	1422626644724903936	If u on a date an sex ain’t lookin possible, gotta start texting your back up plans 😭	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T17:09:00.000Z	1422605433609461764	Y’all still go to the gym when y’all sore ?	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T17:08:55.000Z	1422605411048255495	 People seem to constantly mangle my first name (“Ewan” and “Eva” are the most common, as well as “Evans” for some reason, including the registrar at our civil wedding ceremony) but this one remains my favorite by far 	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T16:58:27.000Z	1422602776815685634	 Definitely MORE likely.  Went to a bar recently and offered to show my vax proof to the door guy.  He laughed and said “we don’t do that here, you’re good” as if he thought I would think it was a good thing when it actually made me feel really uncomfortable to be there	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T16:10:44.000Z	1422590769538297862	 Some don’t. But I’d say on the balance of probabilities, most women want to be with a gentleman and have high standards for what they want on a date. Which I’m not disagreeing with, just curious what ppl think our standards or expectations should be from the male side	{'place_id': '01c060cf466c6ce3'}
2021-08-03T15:30:34.000Z	1422580661131436033	   I get that, but your health challenges and inability to get the vaccine make you much more vulnerable. Do you really want to risk death to go to a restaurant?	{'place_id': '01c060cf466c6ce3'}
2021-08-03T15:05:26.000Z	1422574335298924545	 Lol it’s got nothing to do with “ my expectations” but I clearly labeled what most females expect on a date which isn’t bad per say. I’m just curious what should the other half expect. If it’s nothing then I’m guessing it’s more of a one sided exchange	{'place_id': '01c060cf466c6ce3'}
2021-08-03T14:58:50.000Z	1422572673478000646	I have a genuine question I’d like to ask. As a man on a date for the most part we’re expect to pay, plan, be a gentleman, open doors, treat her like a queen. On top of being funny and intellectual. What is it that we should expect out of our date? ( and I’m not talking sex)	{'place_id': '01c060cf466c6ce3'}
2021-08-03T14:42:39.000Z	1422568600657752066	I will attempt to go to the gym tonight after work....attempt....keyword lol	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T14:08:45.000Z	1422560070747885571	 When’s the wedding?	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T12:20:09.000Z	1422532739543171076	 Yeah I don't feel comfortable going back to the gym yet so I bought bands and a jump rope to do at home. Been slowly getting back into it. I want to lose a lot of weight and get yuge by Christmas.	{'place_id': '97290292acb29ff8'}
2021-08-03T06:38:33.000Z	1422446773633646592	Let me stop being a punk and go to the gym.	{'place_id': '67571a7baaa5906b'}
2021-08-03T05:27:32.000Z	1422428902123732992	Starting the whole going to the gym before work think, wish me luck 😅	{'place_id': '6f24e28976abe656'}
2021-08-03T04:55:49.000Z	1422420919167832067	Even made it to the gym! Who is she?!!	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T04:39:57.000Z	1422416927171878916	Gettin all dark souls wedding crafty up in here 🕯🕯🕯 	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T04:36:46.000Z	1422416126646968322	Going to the gym and eating healthy again is my new hobby	{'place_id': '1100db27cd9d364c'}
2021-08-03T04:33:50.000Z	1422415389456166917	you can go to church and therapy, don’t forget that.	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T03:53:49.000Z	1422405319066456067	Let throw a few thirst traps up on this thang since I’m late to the party	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T03:08:17.000Z	1422393861326868482	Me: Finished work; took care of personal items; got my errands done; gonna relax…Airline: Hi, so we’re changing your flights to the family wedding. No more non stop; you’ll go an hour earlier - tight connection (hope it works!) oh and you all can’t sit together”Me: 🤦🏻‍♀️	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T02:38:10.000Z	1422386281724596226	I just woke up from my nap 💤 I was tryna go to the gym too Fuck 🙃	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T02:33:32.000Z	1422385112407179264	Should I actually go to the gym tonight? Am I actually feeling motivated to go???? If anyone wants to go with me I have a buddy pass.	{'place_id': 'e9b2c8beb5442ec5'}
2021-08-03T02:31:14.000Z	1422384536755654658	This playlist is actually getting me off my ass and to the gym when I didn’t want to go. Thx Low. 🤝 	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T01:17:29.000Z	1422365977006600192	 A wedding miss girl	{'place_id': 'f2b1ac6c9d15503f'}
2021-08-03T00:56:36.000Z	1422360719043960832	My CAPE 0 family got me a bottle of champagne to celebrate my getting staffed on  last November. This past weekend I finally got a chance to pop open the bottle and share it with them during a brunch get-together. To many more bottles of champagne! 	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T00:18:11.000Z	1422351054033756210	 A0. Don’t watch game film that night. Get some type of workout in everyday. No basketball on sundays. Get to church, hug my family	{'place_id': 'f8f8ee516109ee0e'}
2021-08-03T00:14:30.000Z	1422350124374663188	Ever since I watched Wedding Singer over the weekend for the first time all I’ve been listening to is 0s rock lol	{'place_id': 'f227fd9a20f20e9d'}
2021-08-03T00:13:41.000Z	1422349920632152069	 I went to church two weeks ago. I was required to show proof of vaccination and wear a mask. Not all Christians are lunatics	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T00:09:36.000Z	1422348890771103745	 I low key want an invite to the wedding of the year	{'place_id': '0fc6568d145d84ac'}
2021-08-04T23:59:01.000Z	1423071005191196675	The speech I will be giving ugh 😩 🤌🏾 a gay Italian wedding in Brooklyn? How many sopranos references is TOO many?	{'place_id': 'd563cf7307e4ba95'}
2021-08-04T23:57:05.000Z	1423070516915544069	In 0 me and John were in our dorm room and he was complaining to me that a photoless Grindr profile just messaged him. I told him to message the profile back and chat with him. They just sent out their wedding save-the-dates. Ugh 🥲🥲🥲 	{'place_id': 'd563cf7307e4ba95'}
2021-08-04T22:51:27.000Z	1423054000513978372	 can i take you on a date	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T22:46:57.000Z	1423052870375526401	 As fun as Janitors wedding is, it’s a more “untraditional” Scrubs episode. Great laughs, beautiful moments. Possibly one of the best scenes with Ted. But Jiggly Ball is a character driven, perfectly written episode in my opinion. Things are getting tough!	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T22:45:53.000Z	1423052600543367168	I don’t feel like going to the gym, but I’ll still go for a quick sesh. 😤	{'place_id': '56909099a1d44057'}
2021-08-04T22:42:25.000Z	1423051728950239233	how do ppl go to the gym after work & like it i am here and I’m literally fighting for my silly little life	{'place_id': '0fc3435559d4c000'}
2021-08-04T22:24:52.000Z	1423047312314560513	Guess I should go to the gym now tho	{'place_id': 'f8f8ee516109ee0e'}
2021-08-04T21:53:58.000Z	1423039536481767428	Alright SZA. How can I get you to sing at my wedding Bc wtf	{'place_id': '5e68ca240e32025a'}
2021-08-04T21:09:31.000Z	1423028346393296896	There are some people I refuse to eat out with because of this shit lmao 	{'place_id': '5e68ca240e32025a'}
2021-08-04T21:09:16.000Z	1423028284959252481	I want to go on a date	{'place_id': '4d1d90faa5484b1c'}
2021-08-04T20:44:07.000Z	1423021954961862656	to sleep or go to the gym	{'place_id': '2fd93ef04260afec'}
2021-08-04T20:42:45.000Z	1423021611255468039	 We drove to our AirBNB in Joshua Tree, and another big group showed up shortly after. They were frantic and had a wedding that day, so we left. Double booked!The owner sent us to her “other property”. This was her other property: 	{'place_id': '59612bd882018c51'}
2021-08-04T20:40:56.000Z	1423021154399252481	Everyone who interacted with this tweet, is invited to the wedding 🥰 	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T20:22:27.000Z	1423016502559592450	 Okay, I’m getting my fat ass to the gym today, now I’m motivated lol	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T20:13:12.000Z	1423014176956424192	Can anyone recommend a great dj, aside from Dj Yervand? I need it for my wedding and he’ll be a guest	{'place_id': '741e9df4d2522275'}
2021-08-04T18:50:50.000Z	1422993449305870338	I really got up , went to the gym , went grocery shopping, & cook breakfast 😅 a little proud moment lolol	{'place_id': 'c1e1a49e92ce1ba0'}
2021-08-04T18:25:03.000Z	1422986958255521792	Back to the gym after a week off 😅	{'place_id': '01c060cf466c6ce3'}
2021-08-04T17:56:41.000Z	1422979819004841984	Wedding ideas 	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T17:18:52.000Z	1422970301772570626	How you try to hit my enemy up and take her to the movies 😂	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T16:57:05.000Z	1422964820697968640	I just seen the most beautiful wedding video like I’m literally crying 😭	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T16:18:26.000Z	1422955093209411587	Home workouts &gt; going to the gym.	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T16:04:52.000Z	1422951679930953730	People hate when I say this but this is a part of New Age colonialism. When I was living in Europe I witnessed first hand promoters purposefully looking for countries w/ minimal to no COVID restrictions just so they could have a party. This isn’t normal. 	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T15:47:12.000Z	1422947235004784640	Is there something eating out your soul?	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T15:37:28.000Z	1422944783438270469	 I truly hope this bitch is embarrassed. To be that self centered and thinkin anyone gives the slightest of fucks about her. Like bitch got kicked tf out n she still kickin. That bitch needs to take her ass to the gym and work on her self. Cuz it ain’t working over heeereeee	{'place_id': '5e68ca240e32025a'}
2021-08-04T14:08:59.000Z	1422922516222283781	everytime I wake up for work I just remind myself that I can go shopping w my money I earn😁	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T09:40:00.000Z	1422854824832376840	Older guy was super sweet til I told him he can’t take me on a date. No tip. Girl had an attitude with me as soon as I walked up to her. Caught her side eyeing me. Pretty sure my looks are gonna endanger me one day	{'place_id': 'f2b1ac6c9d15503f'}
2021-08-04T08:44:36.000Z	1422840883133616129	I was looking at dresses online and fighting the urge not to buy them. But I plan on going to the mall tmrw to see what I find	{'place_id': 'e3505917a639e8ec'}
2021-08-04T07:03:02.000Z	1422815325054136320	Mhmm should I go to the gym ???	{'place_id': '0706a21788cadb8d'}
2021-08-04T06:32:41.000Z	1422807687146872833	Wish I had a work from home job so I could go to the gym more often	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T05:34:13.000Z	1422792974363086852	Very sad I came to the gym and my airpods are dead	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T05:21:09.000Z	1422789684128731144	A wedding from a few months ago 	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T05:15:20.000Z	1422788220581040131	I went to the gym today for the first time with my oldest son, we both gettin pudgy so we need to stick to it 😂	{'place_id': '1193edda55d6fa3d'}
2021-08-04T05:03:39.000Z	1422785278402437125	There’s a special place in hell for people who go to a restaurant 0 mins before they close 🙃	{'place_id': '20ba6fb3b1ee82da'}
2021-08-04T04:47:40.000Z	1422781256756973568	Love that all my IG ads are for formal gowns, which I will need in May for my cousin’s black tie wedding.	{'place_id': '341aa0cdb944022e'}
2021-08-04T04:46:06.000Z	1422780862580461571	 Pay for my wedding	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T04:38:07.000Z	1422778855958355968	Shout to the gym 	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T04:32:23.000Z	1422777413159636995	The thing I hate most about eating out in America:I did not ask for bacon, there is no mention of bacon in the menu. WHY IS THERE BACON HERE?! (also I don’t eat pork 🙃)	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T03:33:33.000Z	1422762603659419653	 then you are going to hate me at your wedding.	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T03:30:50.000Z	1422761921472729088	I wanted to go to bww but instead I made it to the gym. Good job Alex. I'm proud of you 🤗	{'place_id': '3153d677b795e293'}
2021-08-04T02:56:25.000Z	1422753260541071363	Walking to the gym is much more enjoyable when it’s 0 and dusk and not 0 	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T02:52:01.000Z	1422752152389226499	My Wedding cake gonna be a edible and im not warning not a damn soul 🥴💀	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T02:04:36.000Z	1422740221012037632	 lol you were late to the party, it was fun while it lasted.	{'place_id': '2008b1cea656f14b'}
2021-08-04T01:50:39.000Z	1422736708794150912	I literally been asking Andrew to watch his kid every other day while I do errands or even when I went to a concert. Because last time he went to a “wedding” and I watched AJ on his weekend. Again today I said 0hr while I took Scarlett to ballet class and he said	{'place_id': '00b028b400039d97'}
2021-08-04T01:50:31.000Z	1422736677328416770	Chanel: What should our first dance be at the wedding?DJ:… 	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T01:48:38.000Z	1422736202281541632	fuck it back to yoga it is✨	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T01:15:19.000Z	1422727818509623298	the way bruno mars is going to be rich forever making these wedding playlist songs like 👍🏾 wow	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T00:43:48.000Z	1422719886300618757	 GET YO ASS TO THE GYM 	{'place_id': '97e336e1e3ed9e1e'}
2021-08-04T00:01:59.000Z	1422709365153226758	I think I’m gonna try going to the gym at 0pm this week to see how I like that 🤔 0pm is always so BUSYYYYYY	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T23:56:37.000Z	1423432789081223169	i’m wearing a crown on my wedding day.	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T23:00:29.000Z	1423418660077506561	haven’t gone to the gym since mid july :&lt; really debating if i should go rn ugh	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T22:48:40.000Z	1423415687804903429	 Last night one of our patients parents were arguing on the unit…It was 0AM and they’d just been to a concert…So in that instant i was ready to: 	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T22:28:03.000Z	1423410501527109632	The next time was my Galaxy Note 0. I went to a party. I drank way too much. I passed out. Then I woke up to throw up. I was wearing a button-down shirt with a shirt pocket. That’s where my phone was. When I threw up a lot of the throw up got into that pocket & my phone 😂	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T21:06:13.000Z	1423389905657335809	my dads wedding is this weekend and all i can say is thank the sweet lord above that it’s an open bar	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T20:52:05.000Z	1423386348984016899	Someone come to the gym with me and work out chest and arms with me 😩	{'place_id': 'a077793faceeda6f'}
2021-08-05T20:49:43.000Z	1423385753757773826	Kinda want to go on a date, kinda want to get slutted out, kinda want to be alone forever. 	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T20:39:28.000Z	1423383173056974849	I can finally go back to the gym tomorrow as a fully recovered woman, these 0 past weeks have been hell at home	{'place_id': '0c2e6999105f8070'}
2021-08-05T20:14:41.000Z	1423376937091846144	Hanging out in Long Beach, CA waiting for my brother’s wedding this weekend. Long California and the Pacific Ocean! @ Long Beach, California 	{'coordinates': {'type': 'Point', 'coordinates': [-118.1938, 33.7692]}, 'place_id': '01c060cf466c6ce3'}
2021-08-05T19:53:03.000Z	1423371491236741120	 Had a sad dreamYou invited me to a concertI was excited then I toldWhen somewhere with JoeyYou got so mad I was left stranded in Hollywood 😞☹️Rest of the dream making my way home 🏡	{'place_id': '47dbb2e661aa176c'}
2021-08-05T19:10:22.000Z	1423360750077104131	Dance For You- Beyoncé makes me feel soooo sexy lol I definitely gotta dance to it at my wedding 	{'place_id': '7df6f50f15138f28'}
2021-08-05T18:59:24.000Z	1423357990908809216	Mr. Steal Your Girl.This great man  brought so much laughter and excitement. Last time my wife had a big smile like this, was our wedding day 😂 	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T18:29:03.000Z	1423350351537704963	Ps. Ive dropped 0 lbs since going back to the gym. I do a weigh in on Snapchat 👻 every Friday. Slow and steady with a change of diet, weight resistance, and some calorie counting.  	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T16:44:00.000Z	1423323916706238470	 We still obsess over Kelley and Billys wedding. It was such a special day😍 Visit our website to see more details on this wedding and our other events! @ Los Angeles, California 	{'coordinates': {'type': 'Point', 'coordinates': [-118.2445, 34.0564]}, 'place_id': '3b77caf94bfc81fe'}
2021-08-05T16:01:31.000Z	1423313226331136005	Goes back to the gym after not going in over a month = “I can’t walk”	{'place_id': 'b137264d880fa7a4'}
2021-08-05T15:52:55.000Z	1423311062770753539	What’s the rule on wearing crocks to the gym yes or yes?	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T13:59:32.000Z	1423282527750352901	   Of course. She’s ready to get back to the gym and her equestrian stuff but it took a while to get here to it will take a while to get back. Here she is in top form a couple years back. 	{'place_id': '10de09f288b1665c'}
2021-08-05T13:33:50.000Z	1423276060041383951	 Literally as you post this I’m barely walking, sore to the gym… guess it’s a sign to buy one 😅	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T11:34:50.000Z	1423246113805463553	yo if i have a party next year nothing but lit niggas gonna be there... Lmfao my friends are mostly men oddly	{'place_id': '1f70c1d2b8cfd26d'}
2021-08-05T07:23:00.000Z	1423182735221215233	I got to the gym late, the cute guy left already ☹️	{'place_id': '0706a21788cadb8d'}
2021-08-05T07:09:50.000Z	1423179423071707139	 He's buying me a new laptop and I can eat out however much I want this week I think that's a W	{'place_id': '0c2e6999105f8070'}
2021-08-05T05:48:38.000Z	1423158986702868480	Less than 0 weeks till I go back to my school job.  Wedding anniversary is right before I start. So I took most of it off. To do fun things with the Hubby!! ❤️❤️	{'place_id': '7a615ec218d177f6'}
2021-08-05T05:27:57.000Z	1423153781437468679	 You’re  doing the right thing.  We were engaged jan 0 and by the 0th we had signed a contract for our venue.  It was expensive but we had 0 months to save up for that number. It’s your wedding do what you want to cuz ppl gunna talk shit regardless &they ain’t paying your bill	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T05:01:47.000Z	1423147200075366401	Omg it felt so good to go to the movies again 🥰🥰🥰🥰 after more than a year !!!! I missed it so much	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T04:42:32.000Z	1423142354475569155	So needing an ID to vote is racist, but requiring a vaccine card to go shopping is not?? It is a statistical fact that minorities are less likely to take the vaccine. Sounds like the new segregation to me. 	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T04:40:40.000Z	1423141884654886917	I got tickets to the last Lovers & Friends and it got canceled. Now I’m trying to get tickets again. I really don’t mind blowing my whole paycheck to get vip tickets lmfao ya girl has never been to a concert/festival	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T04:31:01.000Z	1423139456052199429	*Me debating if I should go to the gym* 	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T04:01:31.000Z	1423132031077150727	I really want to wake up at 0am and go to the gym. I give respect to the people that do it. Mad respect 🙏	{'place_id': '3153d677b795e293'}
