2021-02-08T21:25:31.000Z	1358889721980719111	Sliders anyway you like it...            Www.cateringbrooklynny 0-0-0 	{'coordinates': {'type': 'Point', 'coordinates': [-73.95, 40.65]}, 'place_id': '011add077f4d2da3'}
2021-02-08T05:58:40.000Z	1358656473274994688	Cleared: Construction on  Both directions from Bedford - Nostrand Avs to Church Av	{'coordinates': {'type': 'Point', 'coordinates': [-73.953522, 40.689627]}, 'place_id': '011add077f4d2da3'}
2021-02-08T04:41:46.000Z	1358637121410580481	If/when i get married, I’m eloping and then having a giant after party later. I have so many friends wedding planning rn and none of them are having a good time	{'place_id': '00c39537733fa112'}
2021-02-08T04:37:52.000Z	1358636140010569729	If these niggas don’t invite me to the party in 0 mins I’m logging off	{'place_id': '00c39537733fa112'}
2021-02-08T02:48:21.000Z	1358608579608076289	 You should def get to a restaurant! And half those people there are probably healthcare workers	{'place_id': '01489e6d380fb511'}
2021-02-08T02:48:06.000Z	1358608514688679937	Today was a zooooovie!! I took photos in my hometown, in the woods, of Motorsport guys, and an impromptu wedding like WUTTT I love this chaos	{'place_id': '01a9a39529b27f36'}
2021-02-08T02:44:12.000Z	1358607534299492355	A month since I went back to the gym & I’ve never felt better	{'place_id': 'b45ae2b5def8048f'}
2021-02-08T01:46:57.000Z	1358593128274493445	A pastor cancels a wedding because the couples came 0hr late to the church 	{'place_id': '3d3c56338b6a3b4a'}
2021-02-08T01:42:40.000Z	1358592050606862339	Can you not make me emotional tonight.... I’m not over his death or the Red Wedding! 😢 	{'place_id': '002e24c6736f069d'}
2021-02-08T01:37:46.000Z	1358590814839070721	I really want to go to a concert... this concert. 	{'place_id': '01a9a39529b27f36'}
2021-02-08T01:25:20.000Z	1358587687633100802	I mean, this man is legitimately well known in nyc for his talents. I’d take his ass out on a date! There are way worse people to be worried about on the subway! 🥴 	{'place_id': '011add077f4d2da3'}
2021-02-08T01:03:06.000Z	1358582091781443585	 Yeah but didn’t they all go to church today!!!	{'place_id': '011add077f4d2da3'}
2021-02-09T23:46:05.000Z	1359287485185085440	  Fun fact: I go to the gym in my OV/P0 respirator. Weight lifting is fine for me, though cardio can make my ears pop 😂	{'place_id': '01a9a39529b27f36'}
2021-02-09T23:21:11.000Z	1359281217460437002	Happy one year wedding anniversary my love. And what a year it’s been! I count my blessings every day we got to have our wedding in Vancouver with our families together. So crazy looking back.    	{'place_id': '011add077f4d2da3'}
2021-02-09T22:48:35.000Z	1359273013401780224	  This is why I’ve stopped going to the movies as I used to  This list have no business being named in the All Time Best Classics of any year and especially when placed alongside the definition of a classic as The Godfather! 	{'place_id': '01a9a39529b27f36'}
2021-02-09T22:34:56.000Z	1359269580468850688	Remember going to the gym and getting fucking ripped without the fear of getting sick and getting someone else sick and potentially killing the elders in your family 🙃 I miss that.	{'place_id': '002e24c6736f069d'}
2021-02-09T21:45:41.000Z	1359257185713332224	That lady who asked y'all to fund therapy sessions that went to her wedding in Paris and honeymoon in Italy 	{'place_id': 'edd2aa964fa61ec9'}
2021-02-09T21:18:56.000Z	1359250452987191297	Told  last weekend, lets go to the gym starting monday. Nigga blocked my number	{'place_id': '00c39537733fa112'}
2021-02-09T20:47:38.000Z	1359242577526968322	I can picture it now. Uncle Castor giving a speak at every family wedding. -“But Bruce, you promised not to!”-“Don’t worry, I’ll be quick and to the point....”.	{'place_id': '01a9a39529b27f36'}
2021-02-09T19:39:50.000Z	1359225512850251776	Finally got my  up and running. Lowkey excited as shit. Still want to go to the movies though.	{'place_id': '00c39537733fa112'}
2021-02-09T19:37:33.000Z	1359224940994703361	Easterby be telling McNair not to go after talented players if they don’t go to church enough in their free time..I’m sick	{'place_id': '00c39537733fa112'}
2021-02-09T19:37:05.000Z	1359224822077784064	And don’t think twice, regardless if they don’t go to church in the offseason 	{'place_id': '00c39537733fa112'}
2021-02-09T19:28:59.000Z	1359222782379368457	Imagine begging to take someone on a date. Like bro you're begging to feed someone. Wtf	{'place_id': '00edde1d2ec0a4d4'}
2021-02-09T19:28:12.000Z	1359222587704963073	I need to head to the gym.	{'place_id': '00c39537733fa112'}
2021-02-09T18:31:38.000Z	1359208351154978818	Imagine you go on a date with a nigga that don’t find you pretty enough that doesn’t find the date so amazing and grateful to have you there that they don’t even want to take pics of you.	{'place_id': '01a9a39529b27f36'}
2021-02-09T18:01:17.000Z	1359200713570721802	So you’re telling me all the daddies come to the gym early??? 	{'place_id': '01a9a39529b27f36'}
2021-02-09T17:26:18.000Z	1359191911655956481	Me and Mariah going shopping today. She corny for deleting her Twitter	{'place_id': '01a9a39529b27f36'}
2021-02-09T17:20:12.000Z	1359190374120620032	I wanna go shopping but spend someone else’s money 🥲🥲🥲	{'place_id': '5c7686d4c90a9bb0'}
2021-02-09T16:47:22.000Z	1359182110934900739	Bum leg and all, I still managed to make it to the gym today 💪 vibes all day!    	{'place_id': '002e24c6736f069d'}
2021-02-09T16:45:13.000Z	1359181571144744962	My partner and I canceled our small wedding last April and the idea that  seems to think we could have it a year later when the situation is the same or arguably worse is crazy to me. That’s just not gonna hold up 	{'place_id': '01a9a39529b27f36'}
2021-02-09T16:41:34.000Z	1359180651459727361	Muriel’s Wedding is a great buddy movie.	{'place_id': '011add077f4d2da3'}
2021-02-09T16:28:40.000Z	1359177405903106048	“I tell so many lies, one day I won’t know I’m doing it.”  -‘Muriel’ in “Muriels Wedding”	{'place_id': '011add077f4d2da3'}
2021-02-09T16:14:51.000Z	1359173927378026499	Here’s a gorgeous pic of our Artful muse Noah, showing us  photographed by my fav wedding photographer  🔥😷...  @ The Artful Bachelorette 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.99039841, 40.74817951]}}
2021-02-09T15:33:56.000Z	1359163632089767936	People really wake up at 0am to go to the mall.. very ghetto.	{'place_id': '1935ab8020a2553b'}
2021-02-09T15:22:57.000Z	1359160868836147203	   Did I say greater or lesser? No I said different. Which they obviously are. Printing a newspaper and shooting someone are two different things. As are going to church and not having police quartered in your house.	{'place_id': 'bceb8153865c4a49'}
2021-02-09T13:18:42.000Z	1359129600979312643	On god! This song gotta be played at my baby shower, funeral, and wedding 	{'place_id': '011add077f4d2da3'}
2021-02-09T12:09:09.000Z	1359112097418911748	 I would love to take you out on a date	{'place_id': '01a9a39529b27f36'}
2021-02-09T05:47:56.000Z	1359016161795571712	 can wait ! But Not       👰‍♀️🤵🇲🇲 	{'place_id': '27485069891a7938'}
2021-02-09T03:59:21.000Z	1358988832201408514	 Take it you don't go to church much. The pews are cordoned off. 	{'place_id': '002e24c6736f069d'}
2021-02-09T03:17:26.000Z	1358978283879231495	went to the gym and am smoking weed and doing chores forever instead of buying groceries because i can just order  food late at night which one cannot do in miami florida which is where i have been for some days	{'place_id': '01a9a39529b27f36'}
2021-02-09T03:07:18.000Z	1358975736116305922	NOT THE RAIN 😂 altho tbh a rainy wedding sounds like fun. just swap the loubs for rain boots and fuck it let’s goooo	{'place_id': '01a9a39529b27f36'}
2021-02-09T02:58:10.000Z	1358973434798170115	Matt’s reaction to Heather was like a guy on a date seeing a girl he hooked up with and ghosted her   	{'place_id': 'a7cdc3f10586dc66'}
2021-02-09T02:12:53.000Z	1358962040409317378	Sorry i cant go on a date with you im addicted to chilling with the homies	{'place_id': '01a9a39529b27f36'}
2021-02-09T01:50:40.000Z	1358956448647102468	 You know my parents eloped in Belize and then my dida still made them have a giant ass wedding, right?	{'place_id': '01a9a39529b27f36'}
2021-02-09T01:34:43.000Z	1358952437831376897	 I feel that way about MAFS on the wedding day lol	{'place_id': '011add077f4d2da3'}
2021-02-09T01:23:59.000Z	1358949734975692806	I’m late to the party. What did I miss?   	{'place_id': '011add077f4d2da3'}
2021-02-09T00:35:24.000Z	1358937509485572097	I mean maybe he doesn't have the best table manners but I would be so annoyed if I'm on a date and someone just pulled their phone out like that. There's something about someone constantly having their phone out on a date that irks me. 	{'place_id': '011add077f4d2da3'}
2021-02-10T23:28:55.000Z	1359645551181070336	Haven’t been to the gym in a week and a half. Still losing the weight I wanted to. But I am just tired of going to the gym and it being crowded with a bunch people who aren’t doing shit. Or muscle heads who are overcompensating for their tiny penises.	{'place_id': 'fa3435044b52ecc7'}
2021-02-10T23:18:36.000Z	1359642958283341833	I have a wedding outside LA in May. Mhhhhhhhhhhhh like do I go 🥴 one in Florida over Memorial Day 🥴😂😭	{'place_id': '01a9a39529b27f36'}
2021-02-10T21:57:45.000Z	1359622611060277254	Omw to the gym with dead AirPods 🙂	{'place_id': '01a9a39529b27f36'}
2021-02-10T21:43:52.000Z	1359619117486133249	Allie wrote a beautiful text to Tony who she calls papa tony so emotional I heard him crying this morning Allie and her bio dad had a falling out after college last time she saw him was at her wedding kinda makes me sad but it’s between them I stay out of it I tried	{'place_id': '011add077f4d2da3'}
2021-02-10T21:40:37.000Z	1359618298783141889	I was today years old when I learned that the piggy was not in fact going shopping 😳 	{'place_id': '011add077f4d2da3'}
2021-02-10T21:24:45.000Z	1359614307064041472	A year ago today, I went on a date with a complete psycho path.. and now I would never date a Sagittarius ever again..	{'place_id': '01a9a39529b27f36'}
2021-02-10T21:09:23.000Z	1359610437575331843	 Welcome to the gig economy.  Stomach-turning stuff ...	{'place_id': '07d9ea2b25c81004'}
2021-02-10T20:51:48.000Z	1359606012928552962	Screw wedding & baby announcements, this is important: orange HI-C is coming back to McDonald’s!	{'place_id': '00c55f041e27dc51'}
2021-02-10T19:59:00.000Z	1359592725205684225	 You belong to a party of greed and lies that hasn't called for unity in 0 yrs.	{'place_id': '01a9a39529b27f36'}
2021-02-10T16:52:02.000Z	1359545674396794881	 I went to a party like this all you smell is weed swet and other stuff and it always hot	{'place_id': '011add077f4d2da3'}
2021-02-10T15:56:38.000Z	1359531731372691462	Hey  you have space for one more drive-thru wedding? Maybe several years down the line? 	{'place_id': 'b87b05856ab8dbd8'}
2021-02-10T15:26:57.000Z	1359524260461559811	        @ Seasons 0 	{'place_id': '0427846a106c0bd9', 'coordinates': {'type': 'Point', 'coordinates': [-73.615189, 40.740276]}}
2021-02-10T14:37:50.000Z	1359511902204940291	I deada$$ just cried watching the preview 🥰🥰🥰 | Machel Monday - The Wedding - 0 HR Broadcast  via 	{'place_id': '011add077f4d2da3'}
2021-02-10T04:45:44.000Z	1359362894744481793	Word 🙄 haven’t been on a date in a while 😔 	{'place_id': 'b046074b1030a44d'}
2021-02-10T04:01:02.000Z	1359351644576751618	I need to stop ordering take out and go to the gym more 😞 	{'place_id': '011add077f4d2da3'}
2021-02-10T03:26:30.000Z	1359342957074272258	These will be at my wedding	{'place_id': '002e24c6736f069d'}
2021-02-10T02:33:43.000Z	1359329673038200832	  You don’t have to, you don’t get sick I’ve been doing it for my entire life how many time I gotta say it when u go to a restaurant are you given cold ketchup???????	{'place_id': '002e24c6736f069d'}
2021-02-10T02:25:12.000Z	1359327527907577857	i WILL go to the gym tomorrow cause im playing now	{'place_id': '002e24c6736f069d'}
2021-02-10T02:10:48.000Z	1359323902586028033	Went to the gym then got tacos. That’s how I maintain my figure 🤣🐳	{'place_id': 'd5140ca0d08eadc7'}
2021-02-10T01:46:21.000Z	1359317751073042434	 We still dont have a center fielder if they run with a DH so technically we are no better right now. I enjoy the game without a DH better. Loving the mets doesnt change the way I love to see the game played	{'place_id': 'b046074b1030a44d'}
2021-02-10T01:43:21.000Z	1359316995968278535	George Conway ‘s description of donnyboy’s attorney - Bruce Castor’s speech at the  trial today—- “A meandering drunk  wedding speech.”	{'place_id': '00c39537733fa112'}
2021-02-10T01:36:20.000Z	1359315230308859905	 - wonderful film. Late to the party, but so glad I caught this.  	{'place_id': '011add077f4d2da3'}
2021-02-10T01:15:47.000Z	1359310058564313091	0 Hundred protesters have been arrested. EVERY Passport should be Pulled. Actions have consequences. You don’t get your vacay in MX or Wedding in PERU maybe you should have thought about that before you stormed the Capitol    	{'place_id': '01a9a39529b27f36'}
2021-02-10T01:10:56.000Z	1359308840509075457	      Aaaaah!!! I finally finally watched, late to the party but so happy to be included. Thank you so so much, Kazen! 🥰🥰🥰	{'place_id': 'b046074b1030a44d'}
2021-02-10T00:54:54.000Z	1359304805341134850	  He also went to the gym after he tested positive back in March. He's just an extremely egotistical man with no sense of empathy or decency	{'place_id': '011add077f4d2da3'}
2021-02-10T00:53:19.000Z	1359304404718006278	 Are there any left? I'm five hours late to the party!	{'place_id': '011add077f4d2da3'}
2021-02-14T23:41:17.000Z	1361098216800976905	going on a date with leia for valentine's day because we are both single which is hilarious and seems practically impossible like have u met either of us	{'place_id': '01a9a39529b27f36'}
2021-02-14T23:34:51.000Z	1361096599007559688	 Used  for my wedding website and again for my blog (unreleased). I like about it is that it offers installables for most platforms with all dependencies included and that it allows you to override themes *file by file* by just replicating files locally	{'place_id': '01a9a39529b27f36'}
2021-02-14T23:31:20.000Z	1361095712788918283	A celebration of love         @ Westmount Country Club 	{'coordinates': {'type': 'Point', 'coordinates': [-74.19580924, 40.88480549]}, 'place_id': '7148e03302aa94e3'}
2021-02-14T23:08:38.000Z	1361089998704025603	Cleared: Incident on  Both directions from Bedford Ave to Church Ave	{'coordinates': {'type': 'Point', 'coordinates': [-73.958218, 40.650362]}, 'place_id': '011add077f4d2da3'}
2021-02-14T23:08:05.000Z	1361089862758240256	Eating out outside (yes, it was 0 degrees, but heat lamps kept us warm) meant sticky toffee pudding shared for dessert today! 	{'place_id': '07d9e95a06483000'}
2021-02-14T22:20:06.000Z	1361077787235344385	Taking myself out on a date tonight 💕💕💕	{'place_id': '01a9a39529b27f36'}
2021-02-14T21:44:31.000Z	1361068831070953473	Already foreseeing how wedding planning is gunna go 	{'place_id': '001fe4010762701b'}
2021-02-14T21:31:08.000Z	1361065462835068930	STRAIGHT MEN ESPECIALLY WHOM HAVE OR HAD AND IDEA OF WHAT YOU WANT OR WANTED OR HAD FOR YOUR DREAM WEDDING, I'M JUST SAYINGS TO THE STRAIGHT MEN THAT IT IS NOTHING WRONG WITH EXPERIENCE AND EXPRESSING YOUR CREATIVITY WHICH HAS NOTHING TO DO WITH SEXUALITY THAT FOR YEARS WAS A	{'place_id': '002e24c6736f069d'}
2021-02-14T21:31:07.000Z	1361065461157404672	Why is it that when talking about dream wedding and families it is insinuate generation after generation as if MEN WHOM  ARE MARRIED AND HAVE FAMILIES NEVER HAD AN IDEA A WHAT HIS DREAM WEDDING WAS TO BE UNLESS IT IS A GAY MAN DESCRIBING HIS DREAM WEDDING WHICH AGAIN MEN AND TO	{'place_id': '002e24c6736f069d'}
2021-02-14T21:24:37.000Z	1361063824783212551	Let’s have a party like this 🤪🔥 	{'place_id': '01a9a39529b27f36'}
2021-02-14T21:19:19.000Z	1361062490432557063	Wedding in  today 📸: Danny Perez 	{'place_id': '2ab7a7d1f941d091'}
2021-02-14T20:55:02.000Z	1361056376609505286	I need someone to text me daily to tell me to get my ass off the couch and go to the gym. Any volunteers?	{'place_id': '01a9a39529b27f36'}
2021-02-14T19:07:48.000Z	1361029391531319297	Day 0  Happy Valentines Day, so I went with the ultimate wrestling couple, who had the best wrestling wedding and was one of my favorite teams in wrestling of all time . Mrs. Elizabeth & Macho Man Randy Savage ! ❤️👍   	{'place_id': 'dc4ad595a56393ac'}
2021-02-14T18:37:34.000Z	1361021785442029581	It’s not a bad movie per se, but I saw Irreversible on a date and that I recovered from that disaster to marry her is a real-life version of the Sox coming back against the Yankees in 0 	{'place_id': '011add077f4d2da3'}
2021-02-14T18:33:36.000Z	1361020786690129928	Elegant wedding invitations in New York City 0-0-0    💍     	{'place_id': '00c39537733fa112'}
2021-02-14T18:16:46.000Z	1361016550975819783	I don’t even remember what my answer would be, but an old roommate of mine took a girl on a date to see HOTEL RWANDA, which is a choice 	{'place_id': '96ddfc4bf2f1a80c'}
2021-02-14T16:58:54.000Z	1360996955678257154	Can’t wait to go back to the gym this week. I let myself get sidelined	{'place_id': 'fa3435044b52ecc7'}
2021-02-14T16:53:15.000Z	1360995531955310594	What is? Black tie? I suppose you’re right, but it was a wedding, and we could hardly have showed up au naturel. ☺️ 	{'place_id': '01a9a39529b27f36'}
2021-02-14T16:52:26.000Z	1360995328116293636	"""I'm looking for something casual for the lockdown"", she said, like ppl who knows what they want.0 months and 0 days after, Michelle is still here with her morning rituals and I won't say anything else until the hypothetical drunk wedding speech (?). 😂😂 "	{'place_id': '011add077f4d2da3'}
2021-02-14T16:48:00.000Z	1360994209990402052	Im going to the gym and then i wanna fuck. Thats all.	{'place_id': '011add077f4d2da3'}
2021-02-14T16:30:38.000Z	1360989841836621826	Alone as ever on V-Day lol might go to the mall and shop 😭😭	{'place_id': '96ddfc4bf2f1a80c'}
2021-02-14T16:25:27.000Z	1360988534019088384	My forever Valentine, te amo ❤️  . Should we start planning our wedding yet? 😂 @ New York, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
2021-02-14T15:46:32.000Z	1360978740499668999	It’s Valentine’s Day and we have to wear Black to church this morning because it communion Sunday. Oh the irony. 😂	{'place_id': '011add077f4d2da3'}
2021-02-14T15:35:11.000Z	1360975885109776389	Happy Birthday to my long time friend & the best of the best   Here we are 0 years ago today on his birthday at his son  wedding!     	{'place_id': '00c39537733fa112'}
2021-02-14T13:41:16.000Z	1360947215624269825	Morning music after watching the wedding singer last night. 	{'place_id': '8739d0bab792509d'}
2021-02-14T12:29:22.000Z	1360929122424340485	       0 0 0 Action Limousine inc                     	{'place_id': 'dfa88de1ece1a505'}
2021-02-14T09:27:30.000Z	1360883353885540352	HAPPY VALENTINE'S DAY           	{'place_id': '00c39537733fa112'}
2021-02-14T09:01:51.000Z	1360876901280215040	Updated: Incident on  Both directions from Bedford Ave to Church Ave 	{'coordinates': {'type': 'Point', 'coordinates': [-73.958218, 40.650362]}, 'place_id': '011add077f4d2da3'}
2021-02-14T05:55:33.000Z	1360830017605955589	steve and peggy’s dance is  and I’s wedding dance IYKYK SET FFFFG	{'place_id': '011add077f4d2da3'}
2021-02-14T03:04:02.000Z	1360786850852536320	a talent rep wants to go on a date with me, i assume he wants me to be mean to him in bed right	{'place_id': '011add077f4d2da3'}
2021-02-14T02:54:22.000Z	1360784420714786818	And silly me’s been thinking about going back to the gym. Dude would have been on the floor after the first shove. This is annoying. 	{'place_id': '002e24c6736f069d'}
2021-02-14T01:21:48.000Z	1360761124820561920	 We request “No Plans”. It is our wedding song! We also would freak out if you covered a Barry Manilow tune. Like ever! 💕💯👊🏽	{'place_id': '00c39537733fa112'}
2021-02-14T00:36:21.000Z	1360749688497070081	Bought our wedding bands today 👰🏽‍♀️🤵🏻💍	{'place_id': '00c39537733fa112'}
2021-02-09T18:55:40.000Z	1359214397902753795	wow the last time i’ve been to a club was a year ago today 😐	{'place_id': '01a9a39529b27f36'}
2021-02-09T13:10:30.000Z	1359127537075552257	Not me getting to the salon before my nail tech 😭	{'place_id': 'c8cc2f5f5fe306fa'}
2021-02-10T20:16:34.000Z	1359597145670696962	ion go no plans for valentine’s day 🤣🤣 OH WELL SAVING MY BREAD . i’ll take my self to the spa dickheads 🤣	{'place_id': '011add077f4d2da3'}
2021-02-10T18:54:21.000Z	1359576457362694154	My hair needs to be done color wise i need to go to the salon. Lets see if i could squeeze it into my day today i still got time 😊	{'place_id': '00c39537733fa112'}
2021-02-10T18:30:20.000Z	1359570411147689986	I want to go to the museum of illusions	{'place_id': '23a06e5cc6d83009'}
2021-02-11T23:14:21.000Z	1360004274953084929	0 reasons why you need to get a haircut0. too look this good0. for a date0.  because you have been in quarantine Haircut by  for  barbershop #  @ Maria Bonita Salon & Spa 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.995767, 40.7212715]}}
2021-02-11T16:40:46.000Z	1359905225902075907	Last year on this day is the last time I ever got a haircut. I always usually get a haircut before Cons! But I'm also liking my new Long hair style.The caption was when my friends reshared it on their IG stories gassing me up 🤣🤣🤣 	{'place_id': '00c39537733fa112'}
2021-02-11T13:03:37.000Z	1359850578302676992	😍❤️ well that was quick!  I was hoping for Reyyan to go away to a spa or something; there’s nothing more satisfying than seeing Miran in agony not able to see Reyyan — I was robbed! 	{'place_id': 'babc5d5f624f3bd8'}
2021-02-11T13:01:48.000Z	1359850122939666432	" They'd never been to the museum before that & the kid couldn't read yet.  Also, apparently the chittering I heard in her room 0 years later was Myt, who according to the kid ""doesn't look [like a little girl] anymore"". The ancient Egyptians believed the soul is bird-shaped."	{'place_id': '01a9a39529b27f36'}
2021-02-11T05:08:11.000Z	1359730934317211649	It just took me 0 hours to do my sons hair 😩 I can’t wait until he get a haircut	{'place_id': '926fea31818e07d2'}
2021-02-11T01:03:07.000Z	1359669260948234241	I wanna go bowling.	{'place_id': 'b74cebcb62a1a686'}
2021-02-12T17:02:33.000Z	1360273095190335500	I'm sorry but y'all's boy was talking all kinds of reckless.Like what?!!!?Not a single knee slapper from the knee slapper himself???If I want to hear old black men with distinct voices give me their political takes, I'll go get a haircut.	{'place_id': '01a9a39529b27f36'}
2021-02-12T03:48:05.000Z	1360073161614778373	  I think about her every time I go to the museum now. Tbh I'd be fine with taking care of her myself; it breaks my heart to think of this little girl having to befriend modern children over and over again after her body was taken overseas.	{'place_id': '011add077f4d2da3'}
2021-02-12T03:35:10.000Z	1360069913566736385	  Does it make you feel any better to know Myt was entirely benign? She's a little kid herself according to the museum. Her sarcophagus is currently off limits and I feel bad that I can't visit her a little better- I feel like I babysat her that year too.	{'place_id': '011add077f4d2da3'}
2021-02-13T18:59:18.000Z	1360664867171106820	Treating my self to a spa day because I’m my own Valentine 😌	{'place_id': '01a9a39529b27f36'}
2021-02-13T03:03:34.000Z	1360424345613570049	I hate going to the salon its never what i want lmaok	{'place_id': '00c39537733fa112'}
2021-02-09T23:57:23.000Z	1359290330156269577	With the blessing of His Eminence Archbishop  we offered a Beautiful Liturgy for our first OCF gathering of the semester at  University.          	{'place_id': '07d9dbbe71086003'}
2021-02-10T22:48:00.000Z	1359635257411194880	🌿Here’s a proud ✅milestone - Latvia’s cleanup initative  has received recognition for gathering the highest % of volunteers per capita at World Cleanup Day 0.🌍🇱🇻Big Cleanup has been organised annually for 0 years&joins thousands in common effort. 🙌 	{'place_id': '01a9a39529b27f36'}
2021-02-10T21:13:41.000Z	1359611521719029763	 when you scramble to get to the YMCA to go  and you realize when getting there that you forgot to pack your swimsuit 😞  	{'place_id': '011add077f4d2da3'}
2021-02-10T08:52:55.000Z	1359425102534881285	I really feel bad for Jen... She's constantly at every gathering but not getting a single second of air time 	{'place_id': '001fe4010762701b'}
2021-02-10T00:36:44.000Z	1359300233520427011	Or maybe we can see a movie or maybe we can see a play on Saturday or maybe we can roll a tree and feel the breeze & listen to a symphony	{'place_id': '01a9a39529b27f36'}
2021-02-11T19:04:19.000Z	1359941353828995080	My friends when they get to any gathering or bbq on time at my house: 	{'place_id': '002e24c6736f069d'}
2021-02-11T19:03:24.000Z	1359941121099628548	 Love to feel a sense of accomplishment because I managed to get to the stadium while it was still the bottom of the first inning!!	{'place_id': '011add077f4d2da3'}
2021-02-11T18:51:40.000Z	1359938170188664836	the people who like 0:0 starts have clearly never had to race from their office in midtown and take two trains to get up to the stadium just to make it in time for the second inning	{'place_id': '011add077f4d2da3'}
2021-02-11T14:45:44.000Z	1359876276144734208	 Mmhmm I really haven't done much or been many places.  Biggest gathering i went to was a wake and I had 0 masks on.  But it was just time to say I did it	{'place_id': '011add077f4d2da3'}
2021-02-11T14:20:11.000Z	1359869849267298310	I NEED to go swimming.	{'place_id': '011add077f4d2da3'}
