32661259	2021-09-06T23:44:59.000Z	1435026273718480898	Seas the moment 🛥🥂Congrats Eric and Hillary on a buoy-tiful wedding      @ Brooklyn Bridge 	{'place_id': '94965b2c45386f87', 'coordinates': {'type': 'Point', 'coordinates': [-73.9967072, 40.7059675]}}
436367871	2021-09-06T01:17:40.000Z	1434687208133435395	Ok so $0k in Colombia can get you a basic house fixed up, but it takes $0k to have a wedding in Ecuador. 	{'place_id': '011add077f4d2da3'}
3093881686	2021-09-06T01:12:39.000Z	1434685944746188803	You made me duck, I ain’t like that. WELCOME TO THE PARTY COUSIN❕❕❕ 	{'place_id': 'b046074b1030a44d'}
973242841374822402	2021-09-06T01:09:21.000Z	1434685115402182658	    Imagine getting drag down the street tied to truck for being the wrong color.Imagine your grandmother going to church and getting shot while she pray to start a race war.. Just Imagine...... 	{'place_id': '01a9a39529b27f36'}
29826189	2021-09-07T23:56:03.000Z	1435391446526439424	Shopping w my flower child and king!! Brought my son his wedding suit and clothes. Our family vacation is going to be lit!!	{'place_id': '011add077f4d2da3'}
1123556591800913922	2021-09-07T23:45:24.000Z	1435388763329507330	you snuck your way right into my heart by love handel is gonna be one of my wedding songs — phineas and ferb really was that flock	{'place_id': '011add077f4d2da3'}
34843815	2021-09-07T23:24:58.000Z	1435383622027075586	 Lmfao made it to the gym	{'place_id': '00c39537733fa112'}
19430365	2021-09-07T23:19:55.000Z	1435382353816395776	Today has been THE day. Whew chillllle. 🥺😳😬😵‍💫😵🥴🤩 time for a drink or 0 	{'place_id': '01a9a39529b27f36'}
282741717	2021-09-07T22:37:47.000Z	1435371750234234888	I high key don’t feel like going to the gym but…:ima still go	{'place_id': '7329ff8dbdf5bc00'}
62653767	2021-09-07T22:29:47.000Z	1435369736808894466	 Skye went with me to the movies to see Free Guy. She took me to her place for part 0 of our date. We are movie buddies for life now. ;)	{'place_id': 'b87b05856ab8dbd8'}
100597419	2021-09-07T22:14:43.000Z	1435365943090335745	CONGRATS TO THE BRIDE AND GROOM. I HAD THE HONOR IN BEING THE DJ FOR THEIR WEDDING. WAS SOOOO MUCH FUN. THANK YOU FOR HAVING ME.      	{'place_id': '002e24c6736f069d', 'coordinates': {'type': 'Point', 'coordinates': [-73.81947813, 40.82895007]}}
1194700537221894144	2021-09-07T22:06:51.000Z	1435363962959319042	I dead want a super small wedding.. like 0 people max.. no weirdos or fake family.. especially the ones who act like they fwm lol idgaf	{'place_id': '011add077f4d2da3'}
23237046	2021-09-07T21:34:24.000Z	1435355797719064582	I really want a t-shirt that says “I survived  and Adam’s Wedding!” All joking aside, it was a beautiful day surrounded by beautiful people 💗  	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.91526397, 40.60902297]}}
155933135	2021-09-07T21:11:09.000Z	1435349946501419011	So I went to a gay wedding this weekend, and it was sheer perfection! My faith in love has been restored! 🥰🤗Congratulations to Brian and Matt! 	{'place_id': '01a9a39529b27f36'}
767440926826520577	2021-09-07T20:31:15.000Z	1435339906918801419	When friends over Halo are more quick to come to your wedding over blood relatives, it really makes me wonder	{'place_id': '364a45c10832ed51'}
401756122	2021-09-07T19:38:24.000Z	1435326606663368705	Why does booking a wedding venue suck?	{'place_id': '01a9a39529b27f36'}
137434691	2021-09-07T19:20:29.000Z	1435322097514000391	NGL idk who I'm dressing up as this Halloween... especially since it's up in the air about if I'm going to Florida for my older brother's wedding.It's rare that I have myself and my 0 brothers together in one place and it would be great to see him.Also fuck COVID.	{'place_id': '011add077f4d2da3'}
3307786337	2021-09-07T18:05:32.000Z	1435303235485642760	At the wedding have a basket with envelopes, so guests can fill them out with their addresses. Think of the time they’ll be cutting you when sending out thank you cards.	{'place_id': '011add077f4d2da3'}
27512619	2021-09-07T18:04:09.000Z	1435302887987494920	0 yrs ago, I invited 0 friends, who were complaining about not meeting single ppl in NYC, unbeknownst to them, to a bar. They hit it off (I knew they would) & started dating. A few yrs later, they moved out of the city, together, to a few places, & eventually settled in Greece.	{'place_id': '011add077f4d2da3'}
3307786337	2021-09-07T18:04:01.000Z	1435302852478607369	Guests remember two things the most from the wedding, The food and the music. Send them home with good memories.	{'place_id': '011add077f4d2da3'}
1417488655032143881	2021-09-07T18:02:40.000Z	1435302512123318277	I want to see Shang-Chi, but I don’t want to see it alone…which is surprising because I don’t mind going to the movies by myself lol	{'place_id': '01a9a39529b27f36'}
3307786337	2021-09-07T18:02:35.000Z	1435302490468139011	It’s Your wedding day, not theirs. Be kind but don’t try to please everyone.	{'place_id': '011add077f4d2da3'}
3307786337	2021-09-07T18:02:02.000Z	1435302354920804354	Splurge on a new perfume. It’s a great way to capture the day’s memories. Every time you smell the fragrance, you will think of your wedding day.	{'place_id': '011add077f4d2da3'}
1125496825455218692	2021-09-07T17:33:26.000Z	1435295157516181513	Midwestern drug addicts get a couple months clean and suddenly pick up their families Christian values. Like you didn’t sell mee-maws wedding ring	{'place_id': '011add077f4d2da3'}
297507336	2021-09-07T17:17:23.000Z	1435291115683463174	I attended a wedding, here’s one grainy photo of the couple and 0 perfect ones of me	{'place_id': '01a9a39529b27f36'}
1136828181065936896	2021-09-07T17:10:37.000Z	1435289414532583426	Like if he had just stayed for his fucking wedding……	{'place_id': '00c39537733fa112'}
470745795	2021-09-07T16:33:00.000Z	1435279946516140037	I’m obsessing toooo much on this candyman shit. Ok so like now you have to watch the first one (0). Then go to the movies and watch the whole beginning to end	{'place_id': 'a64b09ad02cb5c61'}
623201861	2021-09-07T16:16:20.000Z	1435275755009843204	My man got mad at me for wanting to go to a concert that’s not his 🥴	{'place_id': 'fa3435044b52ecc7'}
711524169	2021-09-07T16:01:35.000Z	1435272043793092610	Wedding on Sunday for my boy. Even though I was a stranger I guess I made a new family out there and I’m glad to be part of it. 	{'place_id': '07d9db4fc8482000'}
2540036611	2021-09-07T15:40:48.000Z	1435266811923247106	A bride on 0th Avenue heading off to her wedding in New York style   	{'place_id': '125732bed6975002'}
1552187046	2021-09-07T15:32:22.000Z	1435264690473607173	Do I go to the movies by myself or on a date?	{'place_id': '011add077f4d2da3'}
555520934	2021-09-07T15:22:24.000Z	1435262182397206533	Took an edible and went to the movies the other day and now I see why you high pieces of shit are always doing that. Fun!	{'place_id': '011add077f4d2da3'}
950494597	2021-09-07T15:20:00.000Z	1435261575997403136	Hiring servers at a high end wedding venue in the Oranges, overtime is an opportunity. Hmu	{'place_id': 'fa3435044b52ecc7'}
1852884822	2021-09-07T15:14:36.000Z	1435260218372407297	Crypto down 0%????Holiday szn coming early this year 😋Time to go shopping 🛒	{'place_id': '7329ff8dbdf5bc00'}
720283911624851457	2021-09-07T14:51:36.000Z	1435254429687689223	SO-LR0, SKUSingle prong wedding band with 0 diamonds. 0.0 carat total weight.              	{'place_id': '01a9a39529b27f36'}
324164276	2021-09-07T14:17:05.000Z	1435245744731172865	if you want to feel like you’re in a movie, 0/0 would recommend going on a date in the middle of hurricane	{'place_id': '00c39537733fa112'}
1380313832	2021-09-07T14:01:25.000Z	1435241800915197954	if I can’t put my cat in a tux what’s the point of even having a wedding 	{'place_id': '00c39537733fa112'}
20992322	2021-09-07T11:44:55.000Z	1435207449569595396	The man not being alone language in Genesis is about more than his nuclear family. It was about a larger community, hence the encourage-met to greatly multiply. For many guys, their wedding weekend is the last time they’ll have deep connection & time with friends.	{'place_id': '01a9a39529b27f36'}
261034336	2021-09-07T10:09:04.000Z	1435183328852860935	Made eye contact with random girl on the way to the gym n then she need directions while holding a iPhone 😒	{'place_id': '011add077f4d2da3'}
55008355	2021-09-07T09:17:22.000Z	1435170319044591617	Cleared: Construction on  Both directions from 0 Av - 0 St to Church Av	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.989779, 40.670272]}}
50706690	2021-09-07T09:17:22.000Z	1435170318419693569	Cleared: Incident on  from 0 Av - 0 St to Church Av	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.989779, 40.670272]}}
55009342	2021-09-07T09:17:22.000Z	1435170318067380229	Cleared: Incident on  from 0 Av - 0 St to Church Av	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.989779, 40.670272]}}
50706690	2021-09-07T09:17:22.000Z	1435170317559808004	Cleared: Construction on  Both directions from 0 Av - 0 St to Church Av	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.989779, 40.670272]}}
50706690	2021-09-07T09:02:19.000Z	1435166530627645440	Updated: Construction on  from 0 Av - 0 St to Church Av 	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.989779, 40.670272]}}
55008355	2021-09-07T09:02:19.000Z	1435166529553846272	Updated: Construction on  Both directions from 0 Av - 0 St to Church Av 	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.989779, 40.670272]}}
55009342	2021-09-07T09:02:19.000Z	1435166527997759491	Updated: Construction on  from 0 Av - 0 St to Church Av 	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.989779, 40.670272]}}
50706690	2021-09-07T09:02:18.000Z	1435166525984542720	Updated: Construction on  Both directions from 0 Av - 0 St to Church Av 	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.989779, 40.670272]}}
1350507214054703105	2021-09-07T07:57:34.000Z	1435150233693048832	Judi fake as hell you are so upset now after saying the wedding was fake and now you mad because mama dee felt the need to expose it doing the most like girl bye . She isn't welcome and saying stop going around my family with the gossip bitch you said it  the recorded it 	{'place_id': '94542c3c348faf28'}
1350507214054703105	2021-09-07T07:48:29.000Z	1435147950963953664	Yandy knew that man lifestyle before performing the fake damn ceremonies you been lying all of these years and here is another season of a fake damn Ceremony. The wedding isn't real in America getting married in Dubai the man can't even have a back account 	{'place_id': '94542c3c348faf28'}
1350507214054703105	2021-09-07T07:42:39.000Z	1435146479660937216	On tonight episodes of yandy fake wedding ceremony this season is very very horrible . This man said I wouldn't hold you down. But you want to do another fake wedding 🤣🤣🤣Now it's a dream wedding and infinity invited to this ceremony  and in it. 🤣🤣 	{'place_id': '94542c3c348faf28'}
1405269667510358020	2021-09-07T05:28:25.000Z	1435112700279984131	I ain't gone lie I can go to the gym and work the body. I do 0 days a week but you niggas with the big dicks yeah I'm jealous. Fuck 	{'place_id': 'fa3435044b52ecc7'}
1281043811158888451	2021-09-07T04:11:10.000Z	1435093261639618566	about to have my Cameron Diaz My Best Friend’s Wedding karaoke moment omg im	{'place_id': '011add077f4d2da3'}
2716099818	2021-09-07T03:01:59.000Z	1435075849498382338	I went to a party at my school and look what I find like someone is playing a sick prank on me swiftieism exposed 	{'place_id': '002e24c6736f069d'}
325622038	2021-09-07T02:56:34.000Z	1435074487335202824	 If I didn’t have a wedding that weekend, would have flown down 0%. Will have to make the trip next season	{'place_id': '00c39537733fa112'}
90545063	2021-09-07T02:41:32.000Z	1435070702898618369	0/0 recommend going to the movies solo. I had an absolute blast.   y’all killed it with  👏🏻👏🏻👏🏻👏🏻	{'place_id': 'babc5d5f624f3bd8'}
1204806605260410882	2021-09-07T02:35:34.000Z	1435069201539026946	the worst thing about coming to a bar alone is someone thinking they can talk your head off.	{'place_id': '011add077f4d2da3'}
282741717	2021-09-07T02:12:31.000Z	1435063401709985795	I suck at taking pics. I gotta get my shit together before Lenny and Chelsea wedding. Not about to have me look crazy on the shaderoom.	{'place_id': '7329ff8dbdf5bc00'}
304228111	2021-09-07T02:01:36.000Z	1435060654730366979	Am I flying out a DJ for my wedding?	{'place_id': '01a9a39529b27f36'}
23390023	2021-09-07T01:53:36.000Z	1435058638385778695	I feel like I’m on a date with myself…	{'place_id': '01a9a39529b27f36'}
120619474	2021-09-07T01:46:15.000Z	1435056791453372422	This dude at this wedding proudly told us how he doesn't cook and will never cook and his wife and mother in law does it. Naturally I challenged this while naturally all the men in the table stayed silent. Yall need to call your boys out on their shit its not that hard.	{'place_id': '011add077f4d2da3'}
216883683	2021-09-07T01:17:28.000Z	1435049544560087041	Spending money on a wedding dress to wear it once is insane.	{'place_id': '00c39537733fa112'}
54132636	2021-09-07T01:12:57.000Z	1435048408738418694	 Welcome to the party 😂	{'place_id': '44453d2ae8e47fd5'}
65152245	2021-09-07T00:26:28.000Z	1435036710904242176	  Yeah on a Sunday morning when I take them to church. Not Friday night when I take mommy to the telly	{'place_id': '00c39537733fa112'}
42491102	2021-09-07T00:25:02.000Z	1435036352425435139	Not at the wedding with the horse and the buggy 🤣🤣🤣🤣 	{'place_id': '002e24c6736f069d'}
467607920	2021-09-07T00:20:07.000Z	1435035115919486977	My best bud wedding photos are finally here. We tried our best DX impression too bad he forgot he was supposed to be  and not  😂 	{'place_id': '3018f1dc6d7d4c26'}
21068902	2021-09-07T00:16:34.000Z	1435034219848376320	Road tripping with my singer friends is top tier. Thank you wedding gigs for introducing me to some dope ass people.	{'place_id': '000829b517fc66b2'}
274582874	2021-09-08T23:58:16.000Z	1435754392511262727	I need to start making it to the gym.	{'place_id': '00c55f041e27dc51'}
20390671	2021-09-08T23:49:53.000Z	1435752281241108480	Fun meetup with  folks tonight, including some cool souvenirs. 	{'place_id': '4d083cc896344b18'}
73057799	2021-09-08T23:43:25.000Z	1435750652014125064	I had a long day, did my laundry, finish my plant project, went to the gym & tonight I’m studying for my up coming test. Productive days make me happy 😊	{'place_id': '01a9a39529b27f36'}
251936779	2021-09-08T23:43:03.000Z	1435750561677185025	Fondly remembering the time I wore a $0 outfit on a date and a guy let me split the check	{'place_id': '01a9a39529b27f36'}
1046525465907916800	2021-09-08T23:38:49.000Z	1435749497410363393	Everybody's going to the partyHave a real good timeDancin' in the desertBlowin' up the sunshine	{'place_id': '011add077f4d2da3'}
708411242	2021-09-08T23:34:01.000Z	1435748286862970881	every time I leave my house to go shopping 	{'place_id': '00c39537733fa112'}
1325520428727750657	2021-09-08T23:19:42.000Z	1435744683523723264	Omg they bought their wedding rings at Walmart.   🥊 	{'place_id': '011add077f4d2da3'}
22730752	2021-09-08T23:08:56.000Z	1435741975957868549	Guys… it is CRUCIAL that we ALWAYS look like we’re on our way to the gym. Even though we’re not on our way to the gym. 	{'place_id': '01a9a39529b27f36'}
1063695241172189188	2021-09-08T23:06:53.000Z	1435741461086146561	Update: I made it to the gym ☺️ 	{'place_id': '011add077f4d2da3'}
94032139	2021-09-08T22:58:07.000Z	1435739252789293059	i have literally zero choice but to be a socialite this weekend. let’s go shopping!	{'place_id': '011add077f4d2da3'}
765708868861263872	2021-09-08T22:32:34.000Z	1435732823118340100	Yea I’m going to the gym twice tmm lol back on my bs	{'place_id': '00c39537733fa112'}
702958038	2021-09-08T21:42:44.000Z	1435720282115874818	I want to go on a date.	{'place_id': 'cd13d7c07e4e78e7'}
49718926	2021-09-08T21:16:01.000Z	1435713559699365889	 we should be thankful for this wedding putting  in the map Photos  Daniel Maldonado 	{'place_id': '00ea30327a3bb0d1'}
4026538720	2021-09-08T20:57:07.000Z	1435708801563471872	is it sad to go to a bar alone on a wednesday night or am i romanticizing my life	{'place_id': '011add077f4d2da3'}
17728497	2021-09-08T20:45:17.000Z	1435705824165384194	(if anyone has any leads on a toddler sized version of Lydia’s red wedding dress hmu)	{'place_id': '00c39537733fa112'}
774088299057127424	2021-09-08T20:41:49.000Z	1435704951183970307	Not me getting asked out on a date by a 0’0 man 🙈	{'place_id': '01a9a39529b27f36'}
17481967	2021-09-08T19:54:13.000Z	1435692973560373256	Can someone marry me so I can make Golden Hour my wedding song? But that’s the only reason	{'place_id': '01a9a39529b27f36'}
1063695241172189188	2021-09-08T19:06:17.000Z	1435680912637898762	Will I make it to the gym today? My daily question to myself.	{'place_id': '011add077f4d2da3'}
17635162	2021-09-08T18:25:35.000Z	1435670667781976070	And they lived happily every after...  	{'place_id': '00c55f041e27dc51'}
550694287	2021-09-08T18:25:20.000Z	1435670604234084357	  New meaning to shotgun wedding	{'place_id': 'fa3435044b52ecc7'}
1255875582363131904	2021-09-08T18:22:06.000Z	1435669792564858881	What a fun weekend I had with my girls. I’m extremely tired but I’m going to the gym to sweat out all the licor I had this weekend 🥴	{'place_id': '00c39537733fa112'}
245589064	2021-09-08T17:59:01.000Z	1435663984594726920	" Let them go to church & get ""cured """	{'place_id': '011add077f4d2da3'}
269059950	2021-09-08T17:57:03.000Z	1435663487079010314	 We used to have walkie talkies for skiing and going to the mall - pre mobile phones	{'place_id': 'ad8167d3716f2c8c'}
3044086328	2021-09-08T17:46:53.000Z	1435660931388870657	Hi  Hi  What’s up with a code for  fans to use to get a discount?Also I’m getting married so looking for a discount code for our wedding guests to use..DM me…	{'place_id': '00c39537733fa112'}
1210503402096078848	2021-09-08T16:27:52.000Z	1435641042787840000	Not gonna lie, this position been litt every since I started going to the gym.  😂😭 	{'place_id': '011add077f4d2da3'}
29826189	2021-09-08T16:16:51.000Z	1435638272835862529	I beat you!! I told you God will blessed me. You will see all my stages of life. Now you will see my last stage is being Jeff’s wife and carry his name. You will see my 0 stars wedding. Thank you once again for forgetting my bday. The biggest gift I received from you. FREEDOM	{'place_id': '011add077f4d2da3'}
29826189	2021-09-08T16:12:36.000Z	1435637203720445956	Súper excited my wedding so near. Getting ready to chase this paper. Super happy, my kids are happy. We in a good state of life. The beat decision to moved back to NY. Thank you Alejo for forgetting my bday. Everything worked out in my favor. Can’t speak the same for you. I WON!	{'place_id': '011add077f4d2da3'}
4124085239	2021-09-08T15:29:10.000Z	1435626270797225986	 That’s how your Peru would have em down to the gym mats	{'place_id': '00c39537733fa112'}
4072482575	2021-09-08T15:17:31.000Z	1435623339217887234	 Like they go to church now.	{'place_id': '01a9a39529b27f36'}
280084527	2021-09-08T14:39:20.000Z	1435613730629431297	  Ur a little late to the party...Obama let gitmo prisoners out 0 Bergdahl.. ur guy!!.. who are now running the Taliban 	{'place_id': '00ca6959663f6d44'}
20992322	2021-09-08T12:42:35.000Z	1435584347973771264	And this👇🏾 ? (Both cultures move on half-notes!) Imagine black folks and Turkish folk at the same wedding reception! Haha! 	{'place_id': '01a9a39529b27f36'}
556789108	2021-09-08T11:52:44.000Z	1435571806228856836	 congrats 🎊🎈 on your wedding 👰	{'place_id': '00c39537733fa112'}
1850195078	2021-09-08T11:30:35.000Z	1435566231315222529	I’m 0 years old never been on a date 	{'place_id': '01a9a39529b27f36'}
17954917	2021-09-08T11:09:26.000Z	1435560906994372609	 You can come to the party with your humans. Tell your dad to check his email.	{'place_id': '7329ff8dbdf5bc00'}
719522041	2021-09-08T08:16:41.000Z	1435517435692658693	I didn’t think that dilf was actually a father but here I am with him scrolling through his wedding album 	{'place_id': '011add077f4d2da3'}
3013688386	2021-09-08T07:02:28.000Z	1435498757685190660	eye NEED someone to take me on a date to get crab legs	{'place_id': '00c39537733fa112'}
1390357089252483076	2021-09-08T04:38:22.000Z	1435462491409207296	I came ...0 have a party ...Open ...Off the Bacardi ..Feelin' So hot tamale ...🔥🔥🔥🔥🔥🔥	{'place_id': '00c39537733fa112'}
