2020-11-30T22:44:49.000Z	1333542527392231432	This how imma be the next time I take my girl on a date and the waiter is taking too long 	{'place_id': '1e11d8be00564690'}
2020-11-30T17:42:24.000Z	1333466420898910211	  Pakistan is that stubborn baby who goes to the mall and ROFL 🤣 to get that expensive toy which his father can’t afford.    	{'place_id': '00c39537733fa112'}
2020-11-30T17:35:39.000Z	1333464724248391680	Gonna need some of my friends to start getting married or something bc this girl looks beautiful, all done up in a dress, etc. and we know I’m not getting married anytime soon 🤣hello!!! I’m bridesmaid ready. Or +0 ready. Who’s going to be my wedding date?	{'place_id': '002e24c6736f069d'}
2020-11-30T17:15:34.000Z	1333459671538130944	* imagine going to a restaurant + the DJ drops ”Back That Ass Up” + you don't BACK THAT ASS UP?? that restaurant owner is out of his mind + will lose a lot of business — if he didn’t want people to dance + have a good time he shouldn’t have brought in the DJ! PERIOD. 	{'place_id': 'edd2aa964fa61ec9'}
2020-11-30T16:53:56.000Z	1333454227180572672	 Naw he could of just asked security to ask them to leave. In no way shape or form am I going to a restaurant to be cursed out by the owner as a bystander.	{'place_id': '00c39537733fa112'}
2020-11-30T16:46:42.000Z	1333452406093459456	 0F. Remember though that these are small and finish cooking in the dish. I would double the time for bigger ones, and raise temp to 0F if you’re intending to eat out of hand.	{'place_id': '01a9a39529b27f36'}
2020-11-30T15:55:49.000Z	1333439600895946753	Like i just want to go on a date. Calmly no sex. Why ask me on a date early morning to flop the whole day and then tell me the place is closed. Duh BITCH. Its nyc at 0pm on a Saturday  mid panny u fucking idiot	{'place_id': '011add077f4d2da3'}
2020-11-30T15:51:58.000Z	1333438630069743618	      “I have an extra ticket to a concert. Wanna go?” “Stand still while I disembowel you.”Exactly the same thing. 	{'place_id': '011add077f4d2da3'}
2020-11-30T15:06:52.000Z	1333427283097477120	 i’ve never heard of that place. was it also a department store like Parisian? Parisian was phasing out when i came of age to go shopping so i only went one time in Nashville. i do remember Belk coming out of NOWHERE seemingly overnight.	{'place_id': '011add077f4d2da3'}
2020-11-30T15:02:48.000Z	1333426256407371778	 That too!!!! I still haven’t been to a restaurant since the pandemic started & im definitely a going out to eat type of girl 😩 everything I get is to go!	{'place_id': '01a9a39529b27f36'}
2020-11-30T15:01:11.000Z	1333425851283746816	Something that I think about in the undoing is the gym scene. Not the scene itself, but Elena’s membership to the gym. They made such a point to mention how she got her son there on scholarship and she had to bring a baby to a moms meeting. But she can afford Equinox?	{'place_id': '01a9a39529b27f36'}
2020-11-30T14:56:59.000Z	1333424795724214272	Working out is haunting me, I had a dream I went to the gym	{'place_id': '01a9a39529b27f36'}
2020-11-30T14:26:56.000Z	1333417230407700480	Nahhhh why my old co workers at a wedding in DR for our manager nahhh I dead wish I was there 🥴🥴	{'place_id': '01a9a39529b27f36'}
2020-11-30T13:55:48.000Z	1333409398207733760	I be checking for wedding rings now 🥲	{'place_id': '00c39537733fa112'}
2020-11-30T13:23:23.000Z	1333401241334976512	  Such a beautiful video Sumra! Congrats to both of you on your wedding anniversary!	{'place_id': '01a9a39529b27f36'}
2020-11-30T13:00:31.000Z	1333395483755237378	so much for going to church and praying- so much for believing in god! WAKE UP AMERICA-coronavirus is real and praying to god won’t protect you!   	{'place_id': '01a9a39529b27f36'}
2020-11-30T09:29:56.000Z	1333342488036335617	Twitter told me encouraging people to go to the gym was insensitive so this not surprising.. 	{'place_id': '002e24c6736f069d'}
2020-11-30T06:15:05.000Z	1333293451983671303	 The summer of Charles & Diana's royal wedding, I was at my grandma & grandpa's house. My auntie (still a teen) woke me up in the middle of the night to watch, and made us 'trifle' by mixing Quik into a tub of Cool Whip. It remains Fancy in my esteem.	{'place_id': '01a9a39529b27f36'}
2020-11-30T04:55:52.000Z	1333273518839107584	So last night I went on a date with a 0 year old virgin who tried to convince me I wouldn't need to be an open relationship if I was with her, cause she'll give me the best sex of my life. I need that kind of confidence.	{'place_id': '011add077f4d2da3'}
2020-11-30T04:43:29.000Z	1333270400353120256	Apparently only I have strict dress rules for this wedding 😂. THEY KNOW ME 	{'place_id': '01a9a39529b27f36'}
2020-11-30T03:46:53.000Z	1333256158262521856	I always wait for someone to ask me out on a date but they never do they be wanting to hang out at my place or theirs ... AHT AHT if I like you I’m voice let’s go out to eat or something that’s fun	{'place_id': '0427846a106c0bd9'}
2020-11-30T03:06:19.000Z	1333245949116821505	 I'm extremely sentimental  and for me the wedding is like a celebration of how far one part of the journey has come. I won't have the satisfaction of the moment meaning something to me from the start.Chemistry is huge for me and I'm more comfortable choosing who I want to be -	{'place_id': '011add077f4d2da3'}
2020-11-30T02:32:08.000Z	1333237345022337025	Ok, I love that Uncle Charlie  is never EVER afraid to go to church off an R&B bop. That’s my guy right there. Talk about the goodness of Jesus & bring the people to our feet! 🙌🏽🙌🏽🙌🏽     	{'place_id': '011add077f4d2da3'}
2020-11-30T02:31:40.000Z	1333237230761074689	     No, we lost due to dem coalition of centralists who delivered their supporters and their presidential political capital to a party politician with an accepted guarantee that “nothing would fundamentally change”. Powerful interests and Rep. Clyburn’s endorsement gave the win.	{'place_id': 'fa3435044b52ecc7'}
2020-11-30T02:29:30.000Z	1333236685442850816	“In My Life” was our wedding song -and so tonight during the  countdown, we danced. Glad it made the Top 0 but it should be better in the countdown than, for instance, American Pie (now playing).	{'place_id': '00c39537733fa112'}
2020-11-30T02:28:56.000Z	1333236541221728256	Uncle Charlie taking Soul Train to Church	{'place_id': '011add077f4d2da3'}
2020-11-30T02:27:21.000Z	1333236144117571589	* TAKE US TO CHURCH    	{'place_id': 'edd2aa964fa61ec9'}
2020-11-30T02:26:56.000Z	1333236039343874048	Uncle Charlie finna take us to church!!!  	{'place_id': '011add077f4d2da3'}
2020-11-30T01:53:26.000Z	1333227606234320897	 to  and I! 0 years together, some Civil Union thrown sprinkled in and FINALLY 0 years ago I got to marry the man I love.And I hate to brag, but our  was pretty spectacular!  	{'place_id': 'c8cc2f5f5fe306fa'}
2020-11-30T01:16:18.000Z	1333218263942238208	The soul train awards is like my wedding, an intimate setting 	{'place_id': '5c7686d4c90a9bb0'}
2020-11-30T00:55:36.000Z	1333213055359078402	Lmaoo the fact that i already know who’s coming to my baby shower & wedding 😂 mind you I’m not pregnant & I’m single LMFAOOOOOO that says a lottttt but i DOOOOO however know that i WILLL have wilddddd gifts from all 0 plp for a factttt tho cause they love me 🥺✨	{'place_id': '002e24c6736f069d'}
2020-11-30T00:51:42.000Z	1333212070142152705	I really can’t wait to go shopping next week	{'place_id': 'b046074b1030a44d'}
2020-11-30T00:50:07.000Z	1333211673763700736	 .... wanna go to a concert or movie....?	{'place_id': 'dc4ad595a56393ac'}
2020-11-30T00:43:56.000Z	1333210118159265795	I need someone to African wedding me right neooow	{'place_id': '011add077f4d2da3'}
2020-11-30T00:39:30.000Z	1333209000301748224	Guys, stop writing your own wedding vows. Unless your name is Archbishop Thomas Cranmer, just stop.	{'place_id': '01a9a39529b27f36'}
2020-11-30T00:06:01.000Z	1333200574326648833	I’m so thrilled to be part of ’s latest project,  Thank you Ryan for inviting me to the party. I love this film and I know you will too.  So grab your tux, dress, tiara or all of the above - and get on over to  on December 0th to catch  	{'place_id': '01a9a39529b27f36'}
2020-11-30T00:05:37.000Z	1333200474783289350	i’m going to open a bottle of wine, would anyone like to be on a date with me ?	{'place_id': '01a9a39529b27f36'}
2020-11-30T00:03:42.000Z	1333199993390370816	  Remeber that time you retweeted me because I asked you to do my makeup for my wedding?! 💕 well I left his cheating ass but I still want you to beat my face 😍🙏🏻 that $0,0 would be so life changing $MaddieVL 	{'place_id': '7356b662670b2c31'}
2020-12-01T23:38:53.000Z	1333918521361903616	Here’s a compare and contrast on my workouts, powerlifting (L) vs. powerbuilding (R)see the “add to last week”?I would do the same exercises endlessly, heavier and heavier, every time I went to the gym.Supremely effective, and also a massive grind if you aren’t competing. 	{'place_id': '00c39537733fa112'}
2020-12-01T23:02:31.000Z	1333909368987922434	The way you go to church and listen to pastor how I listen to youngboy pain songs😭	{'place_id': '002e24c6736f069d'}
2020-12-01T22:59:57.000Z	1333908723832664064	 Me: *talks about guy I like*Fr: I’ll pick the readings for the wedding.Me: Ok, but ... make your bodies a living sacrifice.Fr: No. Women are superior to men.Me: 🤨 uhh you mean Ephesians 0?Fr: You heard what I said. Me: Ok, buddy. 	{'place_id': '002e24c6736f069d'}
2020-12-01T22:51:37.000Z	1333906627259473923	NEWS 0/0/0 Tue: Another Dem Hypocrite Caught Eating Out! Election Updates  	{'coordinates': {'type': 'Point', 'coordinates': [-74.0007613, 40.7207559]}, 'place_id': '01a9a39529b27f36'}
2020-12-01T22:16:48.000Z	1333897864242737159	Why does the place I bought my wedding dress send me marketing emails? Are people typically in-market for a wedding dress &lt;0 years after purchasing one? 🤔 	{'place_id': 'b046074b1030a44d'}
2020-12-01T22:08:02.000Z	1333895660253433859	A person I know was just tagged in wedding pictures from this weekend with at least 0 other people in attendance. Inside. Signing karaoke on a shared mic. Large group hugs. AM I LIVING IN AN ALTERNATE REALITY??	{'place_id': '01a9a39529b27f36'}
2020-12-01T20:51:21.000Z	1333876362596282374	Once this laundry is done i’ma hit it to the gym.	{'place_id': '00c39537733fa112'}
2020-12-01T20:20:58.000Z	1333868715218268160	    So your claim is only the Presidential portions of absentee/mail-in ballots are fraudulent but any GOP votes for any other off on those same ballots are fine? You do understand that even if you are registered to a party, you are no committed to vote for that party’s candidates?	{'place_id': '01a9a39529b27f36'}
2020-12-01T20:11:28.000Z	1333866323948998658	i really tried to not like Santalby Le Labo because it is the most popular scent+ Vetiver has been my girl for 0yrs nowbut Santal is v cute,decided to take her on a datethis weekend. +	{'place_id': '002e24c6736f069d'}
2020-12-01T18:31:49.000Z	1333841246603894784	Hate when I forget to bring water to the gym	{'place_id': 'c418b0c82daabc44'}
2020-12-01T17:24:51.000Z	1333824392867041280	Bike ride to the gym 💪🏼💪🏼	{'place_id': '002e24c6736f069d'}
2020-12-01T17:02:51.000Z	1333818856662511617	i wanna go to the gym today	{'place_id': '01a9a39529b27f36'}
2020-12-01T16:33:14.000Z	1333811406001541127	Im just saying on sunday you was 0 hours late to the party 	{'place_id': '01a9a39529b27f36'}
2020-12-01T16:21:39.000Z	1333808490381512704	 I bet that good ass meal was also inexpensive af. Reminded me of eating out in Panama with the fam.	{'place_id': '011add077f4d2da3'}
2020-12-01T14:23:05.000Z	1333778653021343744	Nigga how you mad I went on a date with a nigga and WE WERE NOT TOGETHER ! 😒😅 seeee Yeaaaa somebody tell this nigga get real	{'place_id': '858cec499f8adba6'}
2020-12-01T14:07:56.000Z	1333774837953736711	I wanna go shopping but I’m poor	{'place_id': '011add077f4d2da3'}
2020-12-01T13:43:58.000Z	1333768808004087812	My mother and I once swam from Doctor’s Cave Beach to the party boat her husband worked on in Jamaica…🙃🙃🙃🙃 	{'place_id': '01a9a39529b27f36'}
2020-12-01T13:34:33.000Z	1333766439392702464	     In a way, its human to want to judge others, but being self aware helps us to manage the urge. When it comes to going to church, spirituality, and salvation, i believe it is personal. No one approach fits all. No one knows it best. We press toward the mark as we see fit.	{'place_id': '01a9a39529b27f36'}
2020-12-01T13:25:25.000Z	1333764137785159681	what if i wore crocs to the gym	{'place_id': '01a9a39529b27f36'}
2020-12-01T07:05:16.000Z	1333668470978916352	Went to the gym when it was experiencing a power surge, just to try out the Marrs bar! Which is probably the greatest squat implement I'm ever going to start using!Flickering lights and black out for dramatic theatrics before they decided to close the gym for the day LOL! 	{'place_id': '00c39537733fa112'}
2020-12-01T05:22:55.000Z	1333642715108675586	I miss going to the movies!! Who’d have thought i would miss spending $0 every weekend 😔	{'place_id': '01a9a39529b27f36'}
2020-12-01T05:02:49.000Z	1333637654441828353	 ... i know I’m late to the party, but I’m so happy for you. Congrats on your nom for Chilombo.	{'place_id': '011add077f4d2da3'}
2020-12-01T04:34:29.000Z	1333630523508453379	🚙 🛍 “get in loser, let’s go shopping” 💙💙💙   deals ending soon @ New York, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
2020-12-01T03:48:46.000Z	1333619018666827777	 I had an apartment in Allston-Brighton and sometimes I’d get Sox standing room tickets in the morning, work all day, go to the ballgame, and walk home, arriving just in time to see the game highlights on the 0:0 news. Good times! ⚾️	{'place_id': '01a9a39529b27f36'}
2020-12-01T02:54:43.000Z	1333605418254393346	Will definitely be serving fried pickles at my wedding	{'place_id': '00c39537733fa112'}
2020-12-01T02:45:05.000Z	1333602992134770689	It’s the way these straight men are comparing a brunch spot to church just to control women... y’all never fail to amaze me 	{'place_id': '00c39537733fa112'}
2020-12-01T02:18:04.000Z	1333596192689827841	 Ummm...so is she like still going to church on Sunday?	{'place_id': 'ad8167d3716f2c8c'}
2020-12-01T02:08:57.000Z	1333593901861638145	I came outside for a drink and I wanna go home to my bed 🙄	{'place_id': '7356b662670b2c31'}
2020-12-01T02:00:09.000Z	1333591685650149382	i wanna go on a date to CATCH but these niggas broke :/ i’m still going though 🤓	{'place_id': '011add077f4d2da3'}
2020-12-01T01:48:11.000Z	1333588673326182406	So happy I barely eat out. Home cook meals is the wave 😛	{'place_id': '002e24c6736f069d'}
2020-12-01T01:39:46.000Z	1333586555416489984	 Went there for a wedding. Awesome little mountain city.	{'place_id': '876ed0bcf9594134'}
2020-12-02T23:53:18.000Z	1334284540064501761	And have y’all seen black wedding like cmon. 	{'place_id': '01a9a39529b27f36'}
2020-12-02T23:11:01.000Z	1334273896112119842	Rush hour traffic, took me 0 hour to get to the gym. New Jersey is healing.	{'place_id': '94542c3c348faf28'}
2020-12-02T22:36:48.000Z	1334265288427237380	  Ugh not anymore my friend bars and restaurants close at 0 pm when this is over I’m going to a bar and have a drink f this lol	{'place_id': '011add077f4d2da3'}
2020-12-02T22:26:03.000Z	1334262580517498882	Him ( third time this week ): Wyd ?Me : I am about to go on a date with your friend.	{'place_id': '011add077f4d2da3'}
2020-12-02T22:22:30.000Z	1334261687717928961	i wanna go to a bar w/ good drinks 🥴	{'place_id': '858cec499f8adba6'}
2020-12-02T22:01:29.000Z	1334256400604794884	A little late to the party but damn this latest  is funn 🔥Refreshing to hear production break all the rules.	{'place_id': '002e24c6736f069d'}
2020-12-02T21:54:52.000Z	1334254733687730179	should you go to the gym before or after mma? i always felt like before because afterwards my ego is mad defeated & my workouts are trash LMAO	{'place_id': '01a9a39529b27f36'}
2020-12-02T21:52:28.000Z	1334254129062031362	So everytime she sees me she says how is my sweet Allison ?I showed her the wedding pics she cried and remembered that day 🙏and how small Allison was in her arms  her hub died in 0 and she never got over it she had a stroke but she can speak and still has her mind 🙏my angel	{'place_id': '011add077f4d2da3'}
2020-12-02T21:45:58.000Z	1334252493614747650	Feeling good about to go back to the gym. Round 0 💪🏿	{'place_id': '858cec499f8adba6'}
2020-12-02T21:43:16.000Z	1334251813667807233	D0 was only interested in going to a restaurant today 😐 	{'place_id': '00c39537733fa112'}
2020-12-02T21:39:26.000Z	1334250851804860432	Your filling a void through excessive spending, eating, and etc because you’re not getting what you truly need. Go back to the gym, journal, do what you really like... fill your void in a more positive way. 	{'place_id': '3d3c56338b6a3b4a'}
2020-12-02T19:16:21.000Z	1334214839946850306	I’ve returned to the gym after 0months and wow my old routine came back to me right away! And by old routine I mean falling in love with every man with nice thighs while simultaneously imagining every man is falling in love with me as I roll around on the mats languidly.	{'place_id': '01a9a39529b27f36'}
2020-12-02T18:58:04.000Z	1334210241429446659	every time i come to the gym with my  on at least 0-0 people always ask where they can get it! the people of NY have spoken  🖤	{'place_id': '011add077f4d2da3'}
2020-12-02T18:55:55.000Z	1334209701295349760	Fuck This Pandemic, I Miss Eating Out My Friends 😔	{'place_id': '002e24c6736f069d'}
2020-12-02T18:14:59.000Z	1334199400328032271	Has anyone watch A New York Christmas Wedding on Netflix? This movie is so terribly written lmao	{'place_id': '011add077f4d2da3'}
2020-12-02T17:42:57.000Z	1334191336325603328	Forgetting to eat breakfast then going to the gym and coming home and going straight to lunch just so I can hold onto that morning skinny for just a little longer	{'place_id': 'c67a441f9f6acc50'}
2020-12-02T17:42:34.000Z	1334191241169408003	Intimate Alfond Inn Wedding  	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.0007613, 40.7207559]}}
2020-12-02T17:34:19.000Z	1334189165039247360	 can you please force your husband to sing Conversations in the Dark at my wedding within the next 0 years	{'place_id': '00c39537733fa112'}
2020-12-02T17:17:30.000Z	1334184933456285696	Stomach been queezy all week. One thing I hate about travel is not being able to eat home cooked meals. Fancy food and eating out cool until that’s the only way you eating!  🙌🏾	{'place_id': '01a9a39529b27f36'}
2020-12-02T17:05:24.000Z	1334181889008164867	It is far more dangerous to go to a live visit at your doctor that it is going to the gym where masks are on and social distancing are applied in a well ventilated floor. This is not the cas at a small doctors office!!!	{'place_id': '01a9a39529b27f36'}
2020-12-02T17:05:06.000Z	1334181811769970689	    You're so close to figuring out the point you literally just walked into - and what did Bidens primary have that Hillary's didn't? Student debt forgiveness, ending qualified immunity & public healthcare. Now give yourself a round of applause for being 0+ years late to the party	{'place_id': '01a9a39529b27f36'}
2020-12-02T16:46:00.000Z	1334177006339182595	You were supposed to come to the party I’ll slap u don’t play 	{'place_id': '00c39537733fa112'}
2020-12-02T15:48:52.000Z	1334162628839673859	I literally doing for now on even at my wedding💒because this makes so much sense👁👄👁 	{'place_id': '01a9a39529b27f36'}
2020-12-02T15:13:13.000Z	1334153654186741766	My aunt (a professional jazz musician) played a beautiful rendition of “Stand By Me” on the saxophone *while wearing a mask* at my cousin’s wedding ceremony last weekend (it had only immediate family physically there and everyone else watching online) I don’t know how she did it 	{'place_id': '01a9a39529b27f36'}
2020-12-02T14:37:59.000Z	1334144787340029953	My two good friends are getting married and planning an elaborate wedding, and meanwhile Ingot hoes texting me at 0AM to crack their shit...I hate it here	{'place_id': '011add077f4d2da3'}
2020-12-02T14:24:32.000Z	1334141404721913856	I’m sure this Tweet will inspire “but we had painted Mason jars wrapped with burlap at our wedding and it was so us! And it was the namesake for our DD Masynn!” Meh.	{'place_id': '011add077f4d2da3'}
2020-12-02T14:17:41.000Z	1334139681907281920	 So I can’t get my hair or nails done, or even go to a restaurant in the neighborhood, but I’m going into a Petri dish and everything’s ok? Yep. Makes sense when you don’t think about it.	{'place_id': '00c55f041e27dc51'}
2020-12-02T14:13:04.000Z	1334138517740515336	 Me too!! I will rewind to find John’s coming out talk because that’s important dialogue that I want to remember (maybe there are already memes). But I don’t think I can stomach a full rewatch. Have you seen A New York Christmas Wedding? (Will give that a whirl)	{'place_id': '01a9a39529b27f36'}
2020-12-02T13:55:51.000Z	1334134186974863366	 U right, u caught me lacking, headed to the gym rn 😪😪😪	{'place_id': '01a9a39529b27f36'}
2020-12-02T13:21:18.000Z	1334125489758285824	 Stopped buying work clothes, eating out, & paying $0/day in tolls on my 0hr commute when we began working from home in March. The resulting savings & leaner lifestyle looked pretty good by September when my college eliminated my job & forced me into abrupt retirement.	{'place_id': '002e24c6736f069d'}
2020-12-02T13:00:10.000Z	1334120172161032194	People ask me all the time why i don’t smile in my pics .. I’ll smile in my graduation pics, my wedding pics, and my baby shower pics lol i ain’t happy right now 😂	{'place_id': '7c09539af94ab80b'}
2020-12-02T11:16:01.000Z	1334093961850466306	I’m going to go to the gym and yell about my home internet problems with every pump of dumbbell curls.	{'place_id': '011add077f4d2da3'}
2020-12-02T11:12:24.000Z	1334093053259354112	I’m up early someone take me to the gym	{'place_id': '00c39537733fa112'}
2020-12-02T06:51:08.000Z	1334027301240123393	Y’all ever been on a date to 0 below ?	{'place_id': '8279f00eacbd9f3b'}
2020-12-02T06:11:57.000Z	1334017439277965314	I’m going to the Movies For Christmas. Aventura Here I come. My Soul Needs it. 	{'place_id': '00c39537733fa112'}
2020-12-02T05:26:41.000Z	1334006051528650755	Nah imagine your husband publicly commenting under a woman’s pic saying he wants to take her on a date. 	{'place_id': '01a9a39529b27f36'}
2020-12-02T05:09:09.000Z	1334001635715125248	Pretty cool art installation I went to, on a date (mask were strictly enforced) 	{'place_id': '011add077f4d2da3'}
2020-12-02T04:52:36.000Z	1333997473568870400	 I'll tell her yes but only if she hires them to dance at my church wedding	{'place_id': 'b046074b1030a44d'}
2020-12-02T04:49:15.000Z	1333996628009758720	I need all my friends to help me fly out Arber Bytyqi to do my makeup for my wedding, he be transforming bitches 😩	{'place_id': '01a9a39529b27f36'}
2020-12-02T04:20:29.000Z	1333989388494233600	did we all think that the engagement ring was also the wedding ring so they just took it off and then put it back on during the ceremony or was that just me	{'place_id': '011add077f4d2da3'}
2020-12-02T04:06:06.000Z	1333985768709251072	I want to go on a date .	{'place_id': '00c39537733fa112'}
2020-12-02T03:05:38.000Z	1333970554236317696	Just about every year for the past four years Harvest Moon has been on my top songs...obviously it’s my wedding song	{'place_id': '01a9a39529b27f36'}
2020-12-02T02:53:16.000Z	1333967441697918978	Lot of wedding song planning and rebirth was the last show I saw before quarantine 	{'place_id': '01a9a39529b27f36'}
2020-12-02T02:23:52.000Z	1333960041863507975	 He told his wife he went to a bar and got drunk. I think? Or did I make that up?	{'place_id': '4384fa1ce06e19ed'}
2020-12-02T01:27:29.000Z	1333945851920715777	Tayshia is so nervous to wear a wedding dress multiple times. Some of you never did a production of Plaza Suite followed by Honeymoon in Vegas in High School and it shows!    	{'place_id': '00c39537733fa112'}
2020-12-02T00:43:42.000Z	1333934836415926272	Looking through my pictures of undergrad made me gtfu so fast from my bed and go to the gym!!	{'place_id': '002e24c6736f069d'}
2020-12-02T00:08:17.000Z	1333925920470609920	• Pandan Polvoron• Kopiko Chocolate Chip Cookies• Passionfruit Poppy Seed Pocky• Pomegranate Molasses Meringue Kisses • Lemon-Coconut & Gochugaru Mexican Wedding Cookies • Stamped Calamansi-Lime Patis Shortbread• Turon Linzer Cookies• Ube Marbled Tahini Cookies	{'place_id': '011add077f4d2da3'}
2020-12-02T00:08:12.000Z	1333925901571067905	I don’t feel like going to the gym. 😭	{'place_id': '00c39537733fa112'}
2020-12-03T23:21:01.000Z	1334638803991076866	 I went on a date last year. She broke up with me like a week later.	{'place_id': '00c39537733fa112'}
2020-12-03T23:12:55.000Z	1334636761784479746	 0 Robert and Anna's wedding the scene that has the vows. 0 Robert and Anna's return when Robin was diagnosed with HIVwith Anna comforting Robin. 0 Robin the teen , and the dance Part 0 and 0.	{'place_id': '0ae73f36fd07fca0'}
2020-12-03T22:50:22.000Z	1334631087969079299	JoJo Fletcher Gives an Update on Her Wedding Plans: ‘We Will Get Married...  via 	{'place_id': 'ada31b3a48d2b797'}
2020-12-03T22:39:50.000Z	1334628439073165313	 Will wear that to your wedding	{'place_id': '011add077f4d2da3'}
2020-12-03T22:18:13.000Z	1334622996078669824	My friend took me on a “date” cause he knows I’ve been feeling off and knew how much I love space 🥺 	{'place_id': '1275220d83154001'}
2020-12-03T20:52:59.000Z	1334601549931307010	 Turn the clock back for an extra 0 and then go shopping 😭🔥	{'place_id': '5a700e3c73cbf9b9'}
2020-12-03T20:50:56.000Z	1334601033511821312	Going to the movies in NYC was always expensive and felt like a splurge so why not pay a little more to drink sugary whiskey? Like... anyway. Nostalgia. 	{'place_id': '011add077f4d2da3'}
2020-12-03T20:49:18.000Z	1334600620888748036	I’ve actually gone to the movies way more since Alamo rolled in...and spent more $$. 🤷🏻‍♀️	{'place_id': '011add077f4d2da3'}
2020-12-03T20:27:37.000Z	1334595165235908609	 Yes, we went to a party there before it officially opened.	{'place_id': '00c55f041e27dc51'}
2020-12-03T20:15:06.000Z	1334592013707177984	  this is an in-depth side of you I didn’t see at the wedding. I don’t agree with you on everything but I think your moves are authentic.	{'place_id': '002e24c6736f069d'}
2020-12-03T19:42:18.000Z	1334583758415142912	 that’s why they can get away with yelling “just eat right and go to the gym and wear a waist trainer and drink water” because that’s literally the aftercare of their (invasive and noninvasive) procedures.	{'place_id': '011add077f4d2da3'}
