2021-03-15T23:43:54.000Z	1371608125191639040	Wedding venue capacity increases in NY starting today  	{'place_id': 'cbafaaf6455dea32'}
2021-03-15T01:10:10.000Z	1371267445298696200	   I have to go for my sisters wedding biden is gonna try to ruin my sisters wedding biden needs to go !.	{'place_id': '7c09539af94ab80b'}
2021-03-15T00:57:43.000Z	1371264313479020546	REMEMBER WHEN THAT GIRL TOOK A HUGE BONG RIP BEFORE HER WEDDING AND PEOPLE WERE GETTING MAD AT PEOPLE SAYING SHE WAS ADDICTED TO WEED	{'place_id': '011add077f4d2da3'}
2021-03-15T00:57:17.000Z	1371264201126244356	planning a wedding while depressed is interesting lol	{'place_id': '011add077f4d2da3'}
2021-03-15T00:52:01.000Z	1371262875948441604	Now Bravo, y’all know better for airing somebody else’s conversation like that 😂 I’m sure y’all had them signing release forms before the wedding though lol 	{'place_id': '011add077f4d2da3'}
2021-03-15T00:50:05.000Z	1371262391317630977	I liked the reception dress better than the wedding dress 	{'place_id': '011add077f4d2da3'}
2021-03-15T00:34:29.000Z	1371258463091838977	I opted to rewind and watch the nieces party again vs dive into Cynthias wedding   	{'place_id': '011add077f4d2da3'}
2021-03-15T00:25:17.000Z	1371256149786382338	Late to the party but just finished American Gods season one- crazy good	{'place_id': '000829b517fc66b2'}
2021-03-15T00:08:10.000Z	1371251844182372353	Wendy Williams was right about this wedding...  	{'place_id': '011add077f4d2da3'}
2021-03-15T00:07:07.000Z	1371251578217324546	OMG! Cake tasting! 0 month til the wedding!       	{'place_id': '002e24c6736f069d'}
2021-03-16T23:57:03.000Z	1371973822103097351	I remember going to my friends wedding and crying ode I can only imagine when I get married ima justin timberlake	{'place_id': '002e24c6736f069d'}
2021-03-16T22:13:56.000Z	1371947872380465154	 This is too foil. There was a lady in my own who took tin foil and made 0 big balls and shoved them by her ass in her stretch pants.  Then went to a bar sat under a flood light😛	{'place_id': '2a9fc003f4101a1d'}
2021-03-16T22:03:15.000Z	1371945179905675267	Getting to the gym after 0 is the literal worst	{'place_id': '5a700e3c73cbf9b9'}
2021-03-16T21:56:58.000Z	1371943600813174794	Some girls wear matching sports bras and leggings to the gym. I’m wearing a 0 warped tour shirt, we are not the same	{'place_id': 'b046074b1030a44d'}
2021-03-16T21:24:59.000Z	1371935551323004930	Saturday! Join neighbors to spruce up Ave B & the park. 🍂🧹🗑Meetup at 0pm outside  at noon for some free  ☕️ to get you energized.     	{'place_id': '01a9a39529b27f36'}
2021-03-16T20:56:08.000Z	1371928291192487940	 I enjoy that I own  . I redirect it to whatever friend is getting married next. It’s half to get pumped for their wedding and half so I never have to remember their custom url.	{'place_id': '011add077f4d2da3'}
2021-03-16T20:00:58.000Z	1371914407106732037	I stopped dating a dude bc he wore cargo shorts on a date...so this may be cultural 😂 	{'place_id': '011add077f4d2da3'}
2021-03-16T19:53:06.000Z	1371912427546218499	 Im headed to the gym!	{'place_id': '01a9a39529b27f36'}
2021-03-16T19:42:42.000Z	1371909809759531010	 Just wait until the wedding. 🙃😳😉	{'place_id': '65e3a577f1940550'}
2021-03-16T18:40:21.000Z	1371894120826953736	who wants to ruin a wedding with me ?	{'place_id': '01a9a39529b27f36'}
2021-03-16T18:29:30.000Z	1371891391400448002	Rodney KingOJClinton impeachment Princess DiWacoJeffrey DahmerDolly the SheepBritney Spears’ debutCory & Topanga’s wedding “What is Internet”Zack and Kelly breaking upNano Pets vs. Tamagotchis 	{'place_id': '7356b662670b2c31'}
2021-03-16T18:03:19.000Z	1371884798726311936	LET’S GO TO THE MOVIES!!! 	{'place_id': '00c39537733fa112'}
2021-03-16T18:01:16.000Z	1371884286131986432	Burton Catholic Wedding with Tipi Reception, Rolleston-on-Dove - Staffordshire  	{'coordinates': {'type': 'Point', 'coordinates': [-74.0007613, 40.7207559]}, 'place_id': '01a9a39529b27f36'}
2021-03-16T17:32:26.000Z	1371877028719366153	One of my friends is finally taking me on a date. Mojito me please	{'place_id': '011add077f4d2da3'}
2021-03-16T17:03:48.000Z	1371869824419201024	Wedding at The Palace with  &  on 🎹•Our Team:    ••          	{'coordinates': {'type': 'Point', 'coordinates': [-73.978319, 40.635017]}, 'place_id': '011add077f4d2da3'}
2021-03-16T17:01:20.000Z	1371869203582570503	0AM might be the perfect time to go to the gym it was really just me and my reflection in there 	{'place_id': '011add077f4d2da3'}
2021-03-16T16:56:29.000Z	1371867982830432256	My married roommates where just talking about getting wedding rings and Ellie goes “gold rings look tacky” and Will says “It looks good on Frodo”	{'place_id': '011add077f4d2da3'}
2021-03-16T15:48:51.000Z	1371850962160259076	"Bust down thottiana. Then be wanting marriage afterwards. Like I got it out my system. Loose pussy ass hoe. Fuck out my face. No I'm not tryna marry. You is unholy--""No I'm not I read the Bible and go to church I just need extra cash to pay tuition."" "	{'place_id': '3e5bc38bcc04fa30'}
2021-03-16T15:39:07.000Z	1371848509608103938	Susan said YESSSS to her rustic garland wedding mock up! Simplicity is bliss she said...all I could say in my mind...I want more ROSES...the things I fight myself about! @ New York, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
2021-03-16T15:36:11.000Z	1371847774665314312	"Last night was a massive Lehasig gathering for the שבע ברכות in honor of my daughter's wedding. It was so wonderful to so many members and graduates b""h!     @ Fairfield, New Jersey "	{'coordinates': {'type': 'Point', 'coordinates': [-74.2809599, 40.88611]}, 'place_id': '65b4760a2b411e11'}
2021-03-16T15:20:53.000Z	1371843922322993161	I wonder if jumbo  are from chickens that go to the gym. 🥚 🐓 	{'place_id': 'b87b05856ab8dbd8'}
2021-03-16T15:17:33.000Z	1371843085366362112	Bout to fold laundry then go to the gym my productivity producin today yuh 	{'place_id': '01a9a39529b27f36'}
2021-03-16T15:10:38.000Z	1371841345149620228	I’ve went to the gym everyday this week where’s my abs?	{'place_id': '00c55f041e27dc51'}
2021-03-16T14:51:31.000Z	1371836534400425986	My legs tell me not to go the gym but my stomach says I need to go to the gym	{'place_id': '00c55f041e27dc51'}
2021-03-16T14:45:01.000Z	1371834895409029123	  drop ur bag off. grab food. massage. go to the gym/pool. link a friend.	{'place_id': '011add077f4d2da3'}
2021-03-16T14:32:43.000Z	1371831801900064775	 Loooool that bright silicone band?! Oh no 😭 yea not those. I joke with people and ask if they’re going to the gym afterwards	{'place_id': '011add077f4d2da3'}
2021-03-16T14:19:37.000Z	1371828504904531976	y’all seen episode 0 yet👀 iss out now. shoutout to the multitalented  ,  , and  for playing with us this week :) im so mad i aint get to go to the party 🙃 	{'coordinates': {'type': 'Point', 'coordinates': [-73.968928, 40.662451]}, 'place_id': '011add077f4d2da3'}
2021-03-16T13:33:43.000Z	1371816951631200259	 you didn’t go to my wedding as well if it’s any consolation to joe tocopina.😁	{'place_id': 'b87b05856ab8dbd8'}
2021-03-16T13:27:08.000Z	1371815295455789056	      0 0 0 Action Limousine inc     	{'place_id': 'dfa88de1ece1a505'}
2021-03-16T13:24:04.000Z	1371814525519941639	     0 0 0 Action Limousine inc     	{'place_id': 'dfa88de1ece1a505'}
2021-03-16T13:17:50.000Z	1371812956154048514	  @      0 0 0      @ Action Limousine Inc. 	{'coordinates': {'type': 'Point', 'coordinates': [-74.33206, 40.6502]}, 'place_id': '87c0309373176f40'}
2021-03-16T13:15:00.000Z	1371812245345296387	 ... I’ve been taking the subway since May: to the office when it opened, to the gym when it opened, to explore the city on weekends. The  has done a great job keeping the trains clean and safe!   I❤️NY!	{'place_id': '01a9a39529b27f36'}
2021-03-16T12:53:47.000Z	1371806905899831296	Why come to the gym if you’re just gonna sit on a machine scrolling thru your phone? I don’t get people.	{'place_id': '00c39537733fa112'}
2021-03-16T12:52:11.000Z	1371806499484352516	thinking about that scene in the wedding planner when jlo comes home from work to an empty apartment    opens up a bunch of what look like dean and deluca prepared foods     puts them on a tray and sits down to eat in front of the tv with a glass of chardonnay	{'place_id': '011add077f4d2da3'}
2021-03-16T12:35:11.000Z	1371802225161429002	i find it very hard pressed to believe that unless you’re dating the brokest of broke hoes, a woman is gonna go on a date with you for free food 😂 	{'place_id': '00c39537733fa112'}
2021-03-16T11:28:40.000Z	1371785481860562944	Literally using this as inspo for my wedding. Likeeee 😍😍😍 	{'place_id': '011add077f4d2da3'}
2021-03-16T03:49:39.000Z	1371669967335227397	  Why don’t you wear your wedding ring on 	{'place_id': '2a9fc003f4101a1d'}
2021-03-16T03:22:59.000Z	1371663257681993729	 First, lemme find an African wedding (lol)	{'place_id': '01a9a39529b27f36'}
2021-03-16T02:53:11.000Z	1371655760090968067	I’m proud of our guys but you hate to see the game end on such a horrible call.	{'place_id': '002e24c6736f069d'}
2021-03-16T02:52:07.000Z	1371655488451059717	Porsha looked stunning for this wedding. Like drop dead gorgeous.	{'place_id': '01a9a39529b27f36'}
2021-03-16T02:41:52.000Z	1371652910111731716	planning a wedding is a lot of work. all these hours spent trying to find a way to formally request  to officiate and getting nowhere.	{'place_id': '011add077f4d2da3'}
2021-03-16T02:29:47.000Z	1371649869455183879	My wedding will be like this even if it’s small idc 😭 	{'place_id': '00c55f041e27dc51'}
2021-03-16T02:23:12.000Z	1371648212969402370	Watching RHOA finally and Cynthia is still stupid and selfish as hell for this wedding. It’s never this serious.	{'place_id': '01a9a39529b27f36'}
2021-03-16T01:47:01.000Z	1371639108037120001	Obviously I’m late to the party. That’s D’Antoni on the Nets bench? For why?	{'place_id': 'b46619b2722d9703'}
2021-03-16T01:42:03.000Z	1371637857257988103	The bitches who come to the gym to be “cute” piss me off not even gone lie. They take up so many machines/floor space for no reason. Like bitch I’m here to sweat and grunt. Keep that cute shit in the crib. We tryna build BAWDIES miss mamas 😭	{'place_id': '011add077f4d2da3'}
2021-03-16T01:23:44.000Z	1371633246547611648	Girls when they look at my Twitter before we go on a date 	{'place_id': '011add077f4d2da3'}
2021-03-16T00:30:59.000Z	1371619974108868612	Fellow brides, when did you notice the hormones kicking in? Like when did you start just only craving salads and waking up early to work out? I’m three months along and haven’t felt any yet!  	{'place_id': '011add077f4d2da3'}
2021-03-16T00:22:47.000Z	1371617909315895305	Do not, and I repeat, do not eat a whole salami and half cheese wheel then go to the gym. 	{'place_id': '01a9a39529b27f36'}
2021-03-16T00:14:41.000Z	1371615869936226306	 I love Brittana’s kisses, but we unfortunately didn’t get any passionate ones except for the one before their wedding	{'place_id': '00c39537733fa112'}
2021-03-17T23:44:38.000Z	1372333084549472256	I need to block out all the thoughts I'm having about you know who's wedding since I want to keep this account	{'place_id': 'b046074b1030a44d'}
2021-03-17T23:42:32.000Z	1372332555429683211	 My wedding was my 0 friend my husband's bother and my dog. And a pastor I hired from the internet who had a wedding chapel inside a truck	{'place_id': 'b046074b1030a44d'}
2021-03-17T22:43:03.000Z	1372317585891590145	Designing websites for engagement ring & wedding dress companies and now the algorithm thinks I’m getting married	{'place_id': '011add077f4d2da3'}
2021-03-17T22:22:30.000Z	1372312415136792577	  I Fucking LOVE Eating Out a BEAUTIFUL BUTT, I Love Getting Compliments on My Rimming Abilities & Would Like an Opportunity to Rim BOTH  &  WOOF 🔥	{'place_id': '011add077f4d2da3'}
2021-03-17T21:30:54.000Z	1372299430372724739	Aquarius and I want a smaller wedding but I'm Caribbean so I know it's gonna be a big event 😭 	{'place_id': '00c39537733fa112'}
2021-03-17T20:49:06.000Z	1372288907883204611	Tanzania’s President Magufuli has died. Like every other leader of the nation since its independent, he belonged to the formerly left-wing CCM.Four years ago, I wrote for  on the leftist democratic opposition to the party	{'place_id': '01a9a39529b27f36'}
2021-03-17T20:07:48.000Z	1372278514523770881	Might fuck around move to DR and become a wedding planner 😌	{'place_id': '002e24c6736f069d'}
2021-03-17T19:45:07.000Z	1372272807019692033	      @ Staten Island, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0889, 40.6303]}, 'place_id': '00c55f041e27dc51'}
2021-03-17T17:10:47.000Z	1372233966535778309	  Maybe after a few more “visits” to the gym.	{'place_id': '011add077f4d2da3'}
2021-03-17T16:36:23.000Z	1372225312017252353	Since the day the blog said it was banky that made Gabriel wedding crash I knew it was all rubbish they feeding y’all on some blogs 	{'place_id': '002e24c6736f069d'}
2021-03-17T16:20:57.000Z	1372221428691578888	 Am sure if me and you go shopping with that ten thousand dollars more food would be in that basket 🧺he can fool some not all.	{'place_id': '002e24c6736f069d'}
2021-03-17T16:05:53.000Z	1372217633584640000	I had a bad day last week.I went to the gym, watched some movies, and blazed.  Everything was okay.  I didn’t go on a racially-charged killing spree...What an absolutely ridiculous way to frame this... 	{'place_id': '96af18411a813391'}
2021-03-17T14:22:54.000Z	1372191719421308928	The smallest dick energy I can imagine today is going to a bar wearing a leprechaun outfit and I already know some people who will do this	{'place_id': '01a9a39529b27f36'}
2021-03-17T14:15:52.000Z	1372189946895826947	About to head over to a party with Dennis Leary and the guys who played the hobbits, today’s going to be lit 	{'place_id': '00c39537733fa112'}
2021-03-17T14:11:44.000Z	1372188910420422657	I guess I can finally show you guys my old wedding photos 	{'place_id': '011add077f4d2da3'}
2021-03-17T14:07:43.000Z	1372187899245031426	Considering the number of people in the waiting room at the doctors office, it is safer to go to the gym with limited capacity !!!	{'place_id': '01a9a39529b27f36'}
2021-03-17T13:35:42.000Z	1372179841148194817	I haven’t eaten out in over a year and last night I spent some of my stimmy on a beautiful meal from  with my best friend  to celebrate her upcoming wedding. We wore masks and coats, drank margs, and ate Michelin rated mole and it felt so fucking good.	{'place_id': '00c39537733fa112'}
2021-03-17T13:22:52.000Z	1372176611370536960	you go on a date and here comes a nigga who has never taken you on one with something to say lmaooo	{'place_id': '011add077f4d2da3'}
2021-03-17T13:00:04.000Z	1372170872505704452	(0/0) Once I came out, I stopped going to church. I was shunned. And that is how I learned that having a relationship with God does NOT equal following a religion. You can be religious and have a horrible relationship with God. You can be gay, praying alone and be BLESSED. Love u	{'place_id': '01a9a39529b27f36'}
2021-03-17T12:12:29.000Z	1372158897394438150	 ♥️ Forget the business zoom. Can we get more of this? I can't think of a better video I've seen during the pandemic. Daughter in your wedding dress with cat pee, when she returns, and the final snort laugh (my wife laughs like that when she's not expecting to laugh - it's great).	{'place_id': '011add077f4d2da3'}
2021-03-17T10:47:22.000Z	1372137480074498048	going to the gym at 0:0 in the morning .. u wouldn’t get it (man trait)	{'place_id': '00c39537733fa112'}
2021-03-17T07:56:25.000Z	1372094457009610752	boutta start eating out by myself	{'place_id': 'fa3435044b52ecc7'}
2021-03-17T06:09:27.000Z	1372067536896933893	Chase is always late to the party  😂	{'place_id': '01a9a39529b27f36'}
2021-03-17T05:35:07.000Z	1372058897926795264	Of course I go shopping at  after months of not buying anything and then 0 days later the entire website is 0% off and I could’ve saved $0 🥴🥴🥴	{'place_id': '011add077f4d2da3'}
2021-03-17T03:21:15.000Z	1372025210011070465	 THE WEDDING BANQUET!!!!	{'place_id': '00c39537733fa112'}
2021-03-17T03:21:14.000Z	1372025205124698119	Amazing Wedding Tonight with the Mendy Hershkowitz Band! Mazel Tov to Yehuda & Leah Spira! ..    @ The Palace 	{'coordinates': {'type': 'Point', 'coordinates': [-73.978319, 40.635017]}, 'place_id': '011add077f4d2da3'}
2021-03-17T03:11:48.000Z	1372022830653640707	want to cry, get drunk & go shopping all at the same time	{'place_id': '00c39537733fa112'}
2021-03-17T02:55:21.000Z	1372018689265053699	Never. I’ll take myself on a date. Never been pressed and DEFINITELY never been THAT pressed brokey 🥴 	{'place_id': 'fa3435044b52ecc7'}
2021-03-17T02:40:20.000Z	1372014910511706112	 the wedding was rushed, and it showed. 🥴	{'place_id': '01a9a39529b27f36'}
2021-03-17T02:33:08.000Z	1372013101609025537	Lord help me get out of bed tomorrow so I can go to the gym 🙏	{'place_id': '7329ff8dbdf5bc00'}
2021-03-17T02:01:02.000Z	1372005023299862532	Leave the bible in the flag, go to church if you want ⛪️ or whatever but do not be meddling in fucking politics!!!!!! Separate those two bitches 😂 IT’s TOXIC.	{'place_id': '01a9a39529b27f36'}
2021-03-17T01:45:22.000Z	1372001081161609218	JUSTICE0HINDUS: BEING IGNORANT OF OUR GODs' LANGUAGE SANSKRIT IS HiNDU SHAME. I HINDU LISTEn TO SANSKRIT MANTHRAS IN TEMPLE POOJAS, NAMING, WEDDING ,LAST RITE CEREMONIES & DO NOT KNOW WHAT IS BEING SAID. WAITNG 0 GOD SEND INDIAN LEADER(ie GOLDA MYER)0 MAKE SANSKRIT MANDATORY EDU.	{'place_id': '00c55f041e27dc51'}
2021-03-17T01:16:12.000Z	1371993737543483395	I don’t like going to the movies. It’s always too cold for me to focus on wtf is happening 🥶	{'place_id': 'fa3435044b52ecc7'}
2021-03-17T00:59:53.000Z	1371989631210770437	Somebody call me a pussy if I don’t go to the gym tomorrow am	{'place_id': '7329ff8dbdf5bc00'}
2021-03-17T00:55:32.000Z	1371988539240554498	 mine was that one episode of sailor moon where makoto goes on a date with haruka and returns her scarf & it made me blush but it was two girls so I only watched it when my parents weren’t home	{'place_id': '01a9a39529b27f36'}
2021-03-17T00:41:34.000Z	1371985022383763463	How are you broke talking about how you don’t tip waiters??? You shouldn’t even be eating out 🌚🌚🌚	{'place_id': '011add077f4d2da3'}
2021-03-17T00:19:33.000Z	1371979484216299527	 My Gen X Film Fest:Fast Times at Ridgemont HighBack to the FuturePretty in PinkSixteen Candles Home AloneAlien & AliensTermininator 0 & 0 Muriel’s WeddingThelma and LouisePretty Woman Heathers	{'place_id': '011add077f4d2da3'}
2021-03-17T00:19:27.000Z	1371979456185839622	My son’s never been to a big family party, wedding, etc. other than his own baptism. He doesn’t even have cousins.. that’s weird af to me.	{'place_id': 'b046074b1030a44d'}
2021-03-18T21:46:23.000Z	1372665712293068801	Song and dance man. At the    meetup at  So many puns are appropriate here. 	{'place_id': '01a9a39529b27f36'}
2021-03-18T21:20:15.000Z	1372659135720910852	  the level of romance 🔝 also if I wasn’t already married that would be my wedding song!	{'place_id': '01a9a39529b27f36'}
2021-03-18T20:43:00.000Z	1372649763317895171	Good to see  &  cashing in on  talents. Goldmine of  &  Knowledge! What a great listen! Everyone else late to the party on using         	{'place_id': '00c39537733fa112'}
2021-03-18T20:12:54.000Z	1372642186953637895	I was gonna go to the gym, But then I got high	{'place_id': '00c39537733fa112'}
2021-03-18T20:00:14.000Z	1372639000339550208	I’ve been eating out for like a week straight and I’m bloated like a mf 😪	{'place_id': '364a45c10832ed51'}
2021-03-18T19:54:23.000Z	1372637527736262658	Rain rain go away so I can go to the gym later today! 🙃                	{'place_id': '00c39537733fa112'}
2021-03-18T19:47:35.000Z	1372635817605206017	Take me to the gym  	{'place_id': '011add077f4d2da3'}
2021-03-18T19:46:20.000Z	1372635500595544065	My moms taking my son to the mall and he’s def gonna finesse mad toys 😂😂😂😂😂😂😭😭😭😭	{'place_id': '00ca6959663f6d44'}
2021-03-18T19:20:51.000Z	1372629090025533444	Aiman and Wajahat’s Intimate Backyard Wedding in New Jersey  	{'coordinates': {'type': 'Point', 'coordinates': [-74.000988, 40.720882]}, 'place_id': '01a9a39529b27f36'}
2021-03-18T19:13:22.000Z	1372627204404826117	After the service, some random church member came up to us and ask my ex (white) “oh did you bring your friends to church?” while looking at us Asians. He didn’t even talk to us probably coz thinking “oh they’re Asian, they don’t speak English”.	{'place_id': '01a9a39529b27f36'}
2021-03-18T18:19:50.000Z	1372613734712102919	 I get off at 0 and have to go to the mall after. Lord give me strength 😫	{'place_id': 'c418b0c82daabc44'}
2021-03-18T18:01:52.000Z	1372609211067170823	For the Brides  	{'coordinates': {'type': 'Point', 'coordinates': [-74.0007613, 40.7207559]}, 'place_id': '01a9a39529b27f36'}
2021-03-18T17:48:54.000Z	1372605950062776323	Shine as bright as your wedding dress from the Big Day 👰✨ @ New York, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
2021-03-18T17:40:00.000Z	1372603708995952644	 Find me a wedding look. I need it in 0 weeks	{'place_id': '01a9a39529b27f36'}
2021-03-18T17:37:16.000Z	1372603022463893504	I just wanna go on a date with one of my girlfriends. I really just need to drink  and talk my shit.	{'place_id': '00c39537733fa112'}
2021-03-18T16:29:00.000Z	1372585842271780864	 Lmao in that case get your ass up and go to the gym	{'place_id': '011add077f4d2da3'}
2021-03-18T16:25:54.000Z	1372585061422411781	 The ceremony is a formality. The wedding is the festive meal.	{'place_id': '00c39537733fa112'}
2021-03-18T16:24:47.000Z	1372584781557469184	 I am literally incapable of processing that as a wedding. If you're having an emergency ceremony at City Hall you still have to go out after.	{'place_id': '00c39537733fa112'}
2021-03-18T16:01:03.000Z	1372578806985330698	 My 0 yo son who gets upat 0 am to go to the gymwith me.And who couldn't stop talkingabout the Grammy awardfor Megan Thee Stallion.Apparently he was very upsetabout it.  	{'place_id': '0952701477146000'}
