2021-05-31T23:52:28.000Z	1399514143858872325	Of COURSEEEE my mom brought home this wedding table center piece literally how could she not 	{'place_id': '42333d5a509e9bc3'}
2021-05-31T09:00:47.000Z	1399289747198128129	Listen to the most recent episode of my podcast: A Quiet Place Part II: Movie Review               	{'place_id': '01a9a39529b27f36'}
2021-05-31T05:54:04.000Z	1399242757999300608	Wow,  is a classic! You haven't heard it? You're late to the party 🎉 	{'place_id': '01a9a39529b27f36'}
2021-05-31T05:37:12.000Z	1399238513728626688	 The only other time that I'd ever dared try on a wedding dress was when Lisa got married when I was 0. After her wedding, she kept her dress hung in my room (small apartment). I'd often marvel at the beautiful beading and lace...  	{'place_id': '01a9a39529b27f36'}
2021-05-31T05:33:35.000Z	1399237601475936261	Gonna dress like a fire emblem lord at my wedding	{'place_id': '011add077f4d2da3'}
2021-05-31T04:31:40.000Z	1399222021939240961	 why did you have me with ALL of the feels tonight? Y’ll are just too damn great. 👏🏽👏🏽👏🏽  This is THE BEST WEDDING! 	{'place_id': '011add077f4d2da3'}
2021-05-31T03:59:12.000Z	1399213848725540864	 never disappoints. I’ve never cried so much in one scene. First, Praytell & Blanca ... Then, Angel & her dad ... and finally the wedding 🥺😭 ANGEL’S vow was perfect and the best one I’ve heard	{'place_id': '002e24c6736f069d'}
2021-05-31T03:28:08.000Z	1399206031096492032	 I am a American Dog am American dog I come in to your house I come to the party down I am am American Dog ooo	{'place_id': '011add077f4d2da3'}
2021-05-31T03:22:51.000Z	1399204701015511042	My. Fucking. God. That wedding. The beauty of it all!!!! Ughhhh 	{'place_id': '01a9a39529b27f36'}
2021-05-31T03:21:11.000Z	1399204283153854464	BLANCAS WEDDING NEXT 	{'place_id': '00c39537733fa112'}
2021-05-31T03:19:26.000Z	1399203842256949251	Y’all better break out in song at my wedding... but it needs to an a cappella acoustics version of “Back Dat Azz Up” tho! 🍷🥴 	{'place_id': 'fa3435044b52ecc7'}
2021-05-31T03:18:25.000Z	1399203587721465856	Jamie Foxx wedding vows is like one of my favorite songs and it’s not even a real song 😭	{'place_id': '23a06e5cc6d83009'}
2021-05-31T03:15:38.000Z	1399202885104193536	“Pose” is pulling out all the stops this season. Wow. Just sitting here alone bawling at the wedding scene. 	{'place_id': '01a9a39529b27f36'}
2021-05-31T03:14:45.000Z	1399202662193766404	This WEDDING!!! 😩😩😩😩	{'place_id': 'fa3435044b52ecc7'}
2021-05-31T03:12:20.000Z	1399202056645251075	This wedding scene. The costuming, lighting, stakes, payoff…WHEW.  	{'place_id': '01a9a39529b27f36'}
2021-05-31T03:11:19.000Z	1399201799446409220	 Angels wedding Dress is one of the most beautiful I have ever seen my god 🥺	{'place_id': '011add077f4d2da3'}
2021-05-31T03:09:00.000Z	1399201214269739010	This wedding is beautiful	{'place_id': '23a06e5cc6d83009'}
2021-05-31T01:53:31.000Z	1399182220854759424	i need to go back to the gym, someone go with me🏋🏾‍♀️	{'place_id': '01a9a39529b27f36'}
2021-05-31T01:17:40.000Z	1399173199389200389	you know what I’m going to the movies let me go watch the quiet place	{'place_id': '011add077f4d2da3'}
2021-05-31T00:30:33.000Z	1399161341416456193	Frank crying at Mickey & Ian’s wedding 😭😭😭😭 	{'place_id': 'd5140ca0d08eadc7'}
2021-05-31T00:23:18.000Z	1399159518488059907	a year ago today i officiated one of my favorite couple’s wedding during a pandemic on a balcony next to a laptop. it was as weird and rewarding as you can imagine. but love can’t wait! listen to your guts, my friends! 	{'place_id': 'de7b13455f6b23f3'}
2021-05-31T00:05:34.000Z	1399155054666473479	Swizz looks like he’s going to a wedding and Timb looks like he’s heading to a resort!😎	{'place_id': 'fa3435044b52ecc7'}
2021-06-01T23:55:21.000Z	1399877260128264192	Love this marble wedding cake. @ Sweet Sweet Sues Custom Cakes and Cupcake Cafe 	{'place_id': '00c55f041e27dc51', 'coordinates': {'type': 'Point', 'coordinates': [-74.24926303, 40.51153295]}}
2021-06-01T23:54:34.000Z	1399877061569925123	  Congratulations! Love your wedding dress!!	{'place_id': '01a9a39529b27f36'}
2021-06-01T23:39:03.000Z	1399873154353405957	finally got to the gym after facing every possible train delay and immediately have to sh*t, who is doing this to me	{'place_id': '01a9a39529b27f36'}
2021-06-01T23:20:47.000Z	1399868559954792448	    I get where he’s coming from though. I’ve been with my man for 0 0/0 years.. we have a one year old daughter. Marriage is definitely in the future. Idc what type of wedding I have I’m Ohk with going to the courthouse however my man doesn’t care what I said and wants to give me	{'place_id': '01a9a39529b27f36'}
2021-06-01T22:52:14.000Z	1399861374075949057	"the only reason i told my mom i would have a wedding one day is because she convinced me to walk down the aisle to ""come what may"". now to just find a husband "	{'place_id': '00c39537733fa112'}
2021-06-01T22:45:26.000Z	1399859662015635461	i wanna go on a date	{'place_id': '00c39537733fa112'}
2021-06-01T21:27:24.000Z	1399840023864827908	me, to the chatty young couple on a date during a tuesday afternoon screening of a quiet place part 0 	{'place_id': '01a9a39529b27f36'}
2021-06-01T20:54:58.000Z	1399831864605655040	Going to the gym multiple times a day so I don’t collapse when we go on tour. It’s like I’m an Athlete or Some Shit.	{'place_id': '011add077f4d2da3'}
2021-06-01T20:14:35.000Z	1399821699332415495	I got tired of my family not having legit plans for my sisters wedding I decided fuck it I’ll do it and now I guess I’m the wedding planner	{'place_id': '7148e03302aa94e3'}
2021-06-01T19:56:28.000Z	1399817140686004228	Cheers to June! From celebrating  to our venue beginning to take wedding reservations again (stay tuned), this month is certainly flled with love.🥂       	{'place_id': '07d9c9993d488000'}
2021-06-01T19:39:41.000Z	1399812916178821126	  It shouldn't surprise you much, for the same reason that I've been going to the gym since November and never worried about getting infected: better masks work	{'place_id': '01a9a39529b27f36'}
2021-06-01T19:03:34.000Z	1399803829080707077	june 0st , went to the gym.. ordered a few things starting off good	{'place_id': 'e4faa50d904ab815'}
2021-06-01T18:49:38.000Z	1399800323817025538	Our next meetup is in the works!! Education from leaders in their respective fields is at the core of what we do at  Which meetup topics would you like covered at our summer events?!  	{'place_id': '01a9a39529b27f36'}
2021-06-01T17:53:19.000Z	1399786151653908485	Going to the gym after drinking all weekend is a constant battle between doing the rep and not shitting myself	{'place_id': '00c55f041e27dc51'}
2021-06-01T17:32:42.000Z	1399780963241148417	 I have a party the 0th in jersey so if you’re actually gonna be here lmk now so I can make my travel plans Saturday instead of Friday	{'place_id': '01a9a39529b27f36'}
2021-06-01T17:20:03.000Z	1399777778359324673	How you leave the car keys 😂😂😂😂 they deserve the roasts. If you can’t afford to eat out on trips then stay tf home 	{'place_id': '011add077f4d2da3'}
2021-06-01T17:06:12.000Z	1399774291504373766	  Feel free to know you’ve got an open invitation to our wedding whenever he decides to propose 💗🥰	{'place_id': '7148e03302aa94e3'}
2021-06-01T16:48:41.000Z	1399769886054924288	 I will make an attempt to go down to the gym in my building and at least run on the treadmill	{'place_id': '011add077f4d2da3'}
2021-06-01T15:48:36.000Z	1399754763508629508	Construction on  from Smith - 0 Sts to Church Av 	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.995959, 40.67358]}}
2021-06-01T15:48:36.000Z	1399754763475030020	Construction on  from Smith - 0 Sts to Church Av 	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.995959, 40.67358]}}
2021-06-01T15:43:04.000Z	1399753369829494785	I’m not posting nobody or claiming anybody until the day of my wedding tbh 😬	{'place_id': 'b8d145028b2571ac'}
2021-06-01T15:42:34.000Z	1399753243283034120	I edited last night my wedding photos ✨✨ I’m so excited to get them printed 🥺🤎	{'place_id': '01a9a39529b27f36'}
2021-06-01T15:42:27.000Z	1399753216045326338	From everybody with their negative energy lol . Well pop out together once we get married and post the wedding 	{'place_id': 'b8d145028b2571ac'}
2021-06-01T15:31:24.000Z	1399750433820839943	Where is everyone going to see the game on Thrusday ???	{'place_id': 'b74cebcb62a1a686'}
2021-06-01T15:25:10.000Z	1399748864937271301	when youre not invited to your cousins hetero wedding bc he got offended that you thought he was gay 💀 its ok to be gay!!!! happy pride yall	{'place_id': '00c39537733fa112'}
2021-06-01T15:05:34.000Z	1399743934360965123	Chicago having 0% sales tax sounds illegal. You can’t even visit and go shopping	{'place_id': '926fea31818e07d2'}
2021-06-01T14:58:28.000Z	1399742149265133568	I Hope Dude Meat Pretty The Way I’m Going Bout It Ion Wanna See Til The Wedding... 	{'place_id': '01a9a39529b27f36'}
2021-06-01T14:44:11.000Z	1399738551294701569	I haven’t been to the gym in a bit because I’ve started a new job but now that im adjusted back to ittttt	{'place_id': '01a9a39529b27f36'}
2021-06-01T14:04:38.000Z	1399728598504947716	If you love your family DO NOT fly with  The flight AM0 JFK-MEX is not in the system.*There’s a bride crying because her wedding logistics got screwed*Families with kids listening they’ll fly until tomorrow *My dad needs his dialysis routine to be done tonight	{'place_id': '00c39537733fa112'}
2021-06-01T13:49:36.000Z	1399724814806536192	Someone told me on a date the other day that their celebrity crush was Pete Buttigieg and also asked me what Stonewall was, so I will personally be going into this pride month incredibly homophobic	{'place_id': '011add077f4d2da3'}
2021-06-01T13:48:50.000Z	1399724624586457107	Back to the gym grind today. Always an amazing feeling!	{'place_id': '00c39537733fa112'}
2021-06-01T13:43:42.000Z	1399723329993465856	My friends asked me to officiate their wedding next year 	{'place_id': '01a9a39529b27f36'}
2021-06-01T13:22:33.000Z	1399718006943457282	Back to the gym today. Enjoyed my three day weekend being lazy and partying.	{'place_id': '01a9a39529b27f36'}
2021-06-01T13:10:46.000Z	1399715043579662340	 Yes, I had the same experience last week. Weird,  at first! We DID eat out without masks. Amazing!	{'place_id': 'b45ae2b5def8048f'}
2021-06-01T13:10:24.000Z	1399714952328499205	 Eat out and give a big tip to the entire restaurant staff	{'place_id': '00c39537733fa112'}
2021-06-01T12:46:11.000Z	1399708856335441921	Not animal crossing promoting hetero wedding for pride month 	{'place_id': '6b0f2ded51928926'}
2021-06-01T12:20:19.000Z	1399702345500479491	I’m gonna go shopping today to relieve my stress ..yea that sounds good.	{'place_id': '609b31e0a50b4474'}
2021-06-01T11:33:02.000Z	1399690447266758663	    I would give the $0 to my son and soon to be daughter in law  to help towards the cost of their July wedding!!!	{'place_id': '00c39537733fa112'}
2021-06-01T11:27:12.000Z	1399688981189644288	Maybe I’ll go shopping for new glasses today idk	{'place_id': '01a9a39529b27f36'}
2021-06-01T10:40:41.000Z	1399677271858946051	Happy 0st Wedding Anniversary to my parents!!! ❤️ ❤️ ❤️      	{'place_id': '01a9a39529b27f36'}
2021-06-01T08:21:12.000Z	1399642172262125569	 has me crying real ugly tears like nah man that wedding was beautiful!!!!	{'place_id': '011add077f4d2da3'}
2021-06-01T07:03:52.000Z	1399622708439228416	Angel and Papi’s wedding was so fkn beautiful! Shout out to Elektra! She DID THAT! 🤍🤍🤍 	{'place_id': '002e24c6736f069d'}
2021-06-01T05:36:17.000Z	1399600667896029184	if my wedding not like papi and angel ion want it  	{'place_id': '01a9a39529b27f36'}
2021-06-01T05:35:09.000Z	1399600385552224256	not me crying at this angel and papi wedding  	{'place_id': '011add077f4d2da3'}
2021-06-01T04:52:57.000Z	1399589762458136581	This is a tv wedding… but why am I crying 	{'place_id': '011add077f4d2da3'}
2021-06-01T04:47:24.000Z	1399588365264166912	This wedding scene has made me happier than I’ve been in 0 months	{'place_id': '011add077f4d2da3'}
2021-06-01T04:46:07.000Z	1399588043607232512	The wedding  	{'place_id': '011add077f4d2da3'}
2021-06-01T04:18:44.000Z	1399581151262617601	  I'm not at the wedding yet but they also playing janet jackson at the spa scene lol	{'place_id': '011add077f4d2da3'}
2021-06-01T03:47:58.000Z	1399573411161120768	 Princess Diana wedding was a big deal at the time	{'place_id': '34030d071fb1e14f'}
2021-06-01T03:14:48.000Z	1399565062164058120	 Beautiful! I was there for my friends wedding years ago... absolutely stunning place to be. Enjoy! ❤️	{'place_id': '8739d0bab792509d'}
2021-06-01T03:06:48.000Z	1399563051116937219	looking forward to being a fiancé 💍 and having a cutesy little wedding 🦋✨	{'place_id': '002e24c6736f069d'}
2021-06-01T02:59:12.000Z	1399561136996073477	Went to the movies today for the first time in a whole year. The hubby and I saw 	{'place_id': '002e24c6736f069d'}
2021-06-01T02:21:02.000Z	1399551532434169857	Can someone invite me to their wedding?? Preferably a desi, West Indian, or Nigerian wedding?? I promise I give good gifts I just love weddings	{'place_id': '00c39537733fa112'}
2021-06-01T02:08:49.000Z	1399548457489154048	My friend had the MOST beautiful, intimate wedding yesterday 🥺 still in awe.	{'place_id': '011add077f4d2da3'}
2021-06-01T02:01:48.000Z	1399546693432008706	Next time I have a party with over 0 guest I’m hiring a party planner 	{'place_id': '011add077f4d2da3'}
2021-06-01T01:55:36.000Z	1399545130542145536	That  wedding was remarkable. Not ready for next week's finale.	{'place_id': 'b87b05856ab8dbd8'}
2021-06-01T01:30:29.000Z	1399538810313138179	Which wedding song moment do you like most? Pose (Angel and Papi) or Full House (Jesse and Michelle)?	{'place_id': '00c39537733fa112'}
2021-06-01T01:15:41.000Z	1399535087524401159	 Same...it’s wedding season!!	{'place_id': '00c39537733fa112'}
2021-06-01T01:09:19.000Z	1399533486042763268	 Nice! Mazal Tov on the wedding! Your sister mentioned you might be going. The Edison (non Gvir town 😀) one.	{'place_id': '94542c3c348faf28'}
2021-06-01T00:51:06.000Z	1399528902167572481	This weekend I slept, went back to the gym (after years) and I spent time with my nieces and nephew. Feeling more recharged 🙂Ready to get shit done for our people this week 🤨	{'place_id': '00c39537733fa112'}
2021-06-02T23:59:04.000Z	1400240579418669059	Me 0-seconds into emceeing my sister’s  0 wedding like no one was there! 	{'place_id': '01a9a39529b27f36'}
2021-06-02T22:52:29.000Z	1400223825090912257	Going on a date with this hot momma! Wish me luck ❤️ @ Jersey City, New Jersey 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0647, 40.7114]}, 'place_id': 'b046074b1030a44d'}
2021-06-02T22:46:31.000Z	1400222322238410753	 A hooker Sean.  I was going to play a hooker to go to the wedding with me and role play after	{'place_id': '543f9b938fd47e39'}
2021-06-02T22:42:04.000Z	1400221201985728513	Has anyone ever got waxed and went to the gym right after?	{'place_id': '609b31e0a50b4474'}
2021-06-02T22:28:28.000Z	1400217781631651844	Would like everyone to know that I was only three minutes early to my first post-pandemic meetup. 	{'place_id': '00c39537733fa112'}
2021-06-02T22:12:07.000Z	1400213666725773313	I make plans to go on a date and then have crippling anxiety for the rest of my life	{'place_id': '011add077f4d2da3'}
2021-06-02T22:04:44.000Z	1400211807688695810	 The best wedding I went to was where the ex husband showed up and punched out the brides 0 year old grandpa	{'place_id': '5ed322907c4a363c'}
2021-06-02T22:00:57.000Z	1400210854939856898	  I tell you I’m late to the party, Kenny used to tell me and I slept but that’s the state of the world	{'place_id': '01a9a39529b27f36'}
2021-06-02T21:35:00.000Z	1400204324094029831	I’m on the way to a bar to watch the Lottery but also in a Bruins hat.	{'place_id': 'fa9e955670752b3c'}
2021-06-02T21:22:52.000Z	1400201271819354112	I still needed to wear a mask in CVS so I ran back to my car and grabbed one.  I didn’t realize which one until I got back.   From the wedding I went to on Saturday.  🤣😂🤣 	{'place_id': '00ea30327a3bb0d1'}
2021-06-02T20:45:48.000Z	1400191945218170881	when you going to the gym i wanna see you do squats 	{'place_id': '002e24c6736f069d'}
2021-06-02T19:37:51.000Z	1400174842167676940	Found the motivation to go to the gym today. 0 weeks and feeling bless to still be able to work out 🙌🏽	{'place_id': '002e24c6736f069d'}
2021-06-02T18:56:34.000Z	1400164453224783872	I want to go to the ☺️🎉💯 	{'place_id': '00c39537733fa112'}
2021-06-02T18:47:05.000Z	1400162069639569412	* small wedding — big reception. 	{'place_id': '876ed0bcf9594134'}
2021-06-02T17:59:00.000Z	1400149967478550528	New colors in wedding decorations —-just arrived at SHAKTI 🔱 @ Shakti Saree & Spiritual 	{'coordinates': {'type': 'Point', 'coordinates': [-73.81968, 40.68823]}, 'place_id': '00c39537733fa112'}
2021-06-02T17:09:57.000Z	1400137624619257858	Guess who got booked for a wedding? 😁 	{'place_id': '002e24c6736f069d'}
2021-06-02T17:08:12.000Z	1400137184045305873	 That’s domestic as fuck. When’s the wedding?	{'place_id': '01a9a39529b27f36'}
2021-06-02T17:05:30.000Z	1400136502672252929	Lmfao I actually went on a date a few weeks ago where this man was talking about some woman’s vaccination made her husband turn purple in his sleep just by laying next to her and “that’s the news they don’t want us to know”. I was like oh goodness. One and done date 😂 	{'place_id': '01a9a39529b27f36'}
2021-06-02T16:31:03.000Z	1400127832995643403	  After just dropping like 0-0 between a bachelor party and wedding this is something I’m gonna live by. This guy invites me to stuff but I won’t be spending this same $ on someone who doesn’t hang with me on a normal basis as well as celebrations	{'place_id': '5d09360434c9b510'}
2021-06-02T16:00:02.000Z	1400120030080163840	I wanna go on a date 😪	{'place_id': '01a9a39529b27f36'}
2021-06-02T15:48:35.000Z	1400117148392083457	Construction on  from Smith - 0 Sts to Church Av 	{'coordinates': {'type': 'Point', 'coordinates': [-73.995959, 40.67358]}, 'place_id': '011add077f4d2da3'}
2021-06-02T15:48:35.000Z	1400117148375257093	Construction on  from Smith - 0 Sts to Church Av 	{'coordinates': {'type': 'Point', 'coordinates': [-73.995959, 40.67358]}, 'place_id': '011add077f4d2da3'}
2021-06-02T15:48:35.000Z	1400117147200802818	Construction on  from Smith - 0 Sts to Church Av 	{'coordinates': {'type': 'Point', 'coordinates': [-73.995959, 40.67358]}, 'place_id': '011add077f4d2da3'}
2021-06-02T15:48:35.000Z	1400117146080923653	Construction on  from Smith - 0 Sts to Church Av 	{'coordinates': {'type': 'Point', 'coordinates': [-73.995959, 40.67358]}, 'place_id': '011add077f4d2da3'}
2021-06-02T15:25:02.000Z	1400111219026051078	   It’s really offensive that you privilege the career of a white man over the comfort of a black bride. I am no Meghan Markel stan but a black woman not wanting to deal w/guy with a history of racist bullying when planning her wedding seems very reasonable to me. It’s her wedding!	{'place_id': '011add077f4d2da3'}
2021-06-02T15:05:31.000Z	1400106310868340736	   You like 0 years late to the party.Man been have Luka his flowers in person one on one lol 😂.	{'place_id': '79f733f9fbf31f6b'}
2021-06-02T15:00:59.000Z	1400105166611914763	   Still he wouldn’t be entitled to arrange Harry and Meghan’s reception. Actions have consequences. There are a million wedding planners out there without that racist baggage in their past and they would be thrilled to do that job. Many of them people of color.	{'place_id': '011add077f4d2da3'}
2021-06-02T14:47:14.000Z	1400101707443548160	Going on a date in 0 degree weather??? What do I wear??? They gone let me in the spot with hoe clothes?	{'place_id': '011add077f4d2da3'}
2021-06-02T13:53:31.000Z	1400088189516328961	I was all hyped for this August to go to Met Life and get messy at  but here we are...again. I get it, but gahdamn do I want to go to a concert. 💔 	{'place_id': '011add077f4d2da3'}
2021-06-02T13:15:46.000Z	1400078688624988161	Ok I’m in the process of getting booked for my first wedding (paid) shoot next month. I’m basically been booked every weekend. Is it finally happening? My business starting to get off the ground? 🥺 	{'place_id': '01a9a39529b27f36'}
2021-06-02T13:04:18.000Z	1400075802813816835	Headed to the gym 🥴 Happy Hump Day lol	{'place_id': '65e3a577f1940550'}
2021-06-02T12:32:43.000Z	1400067857447362561	I’m so consistent at consistently telling myself that I’m going to the gym, and consistently not going 🙃	{'place_id': '01a9a39529b27f36'}
2021-06-02T12:13:12.000Z	1400062944520675330	In case you missed   performance on the  It was 🔥🔥🔥       @ New York, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
2021-06-02T09:03:33.000Z	1400015216558186497	Cleared: Incident on  from Smith - 0 Sts to Church Av	{'coordinates': {'type': 'Point', 'coordinates': [-73.995959, 40.67358]}, 'place_id': '011add077f4d2da3'}
2021-06-02T09:03:33.000Z	1400015215576731653	Cleared: Construction on  from Smith - 0 Sts to Church Av	{'coordinates': {'type': 'Point', 'coordinates': [-73.995959, 40.67358]}, 'place_id': '011add077f4d2da3'}
2021-06-02T09:03:31.000Z	1400015209377550341	Cleared: Construction on  from Smith - 0 Sts to Church Av	{'coordinates': {'type': 'Point', 'coordinates': [-73.995959, 40.67358]}, 'place_id': '011add077f4d2da3'}
2021-06-02T09:03:31.000Z	1400015208387653633	Cleared: Incident on  from Smith - 0 Sts to Church Av	{'coordinates': {'type': 'Point', 'coordinates': [-73.995959, 40.67358]}, 'place_id': '011add077f4d2da3'}
2021-06-02T06:46:55.000Z	1399980833260380163	 you better stop for i come and ask you on a date 💕💕💕💕💕😍	{'place_id': '002e24c6736f069d'}
2021-06-02T04:53:46.000Z	1399952357144809477	 Chile, boring ass wedding dress & dress. Can’t fucking believe her.	{'place_id': '00c39537733fa112'}
2021-06-02T04:49:27.000Z	1399951272984338433	i literally was just thinking “this the time G usually pull up to the gym too” while i’m working and someone told me smfh	{'place_id': '011add077f4d2da3'}
2021-06-02T04:01:10.000Z	1399939119686602754	Overheard at the bar below my apartmentMan on a date: a woman’s argument is “her body, her choice” and that’s how I feel about the vaccine🎶one of these things is not like the other🎶	{'place_id': '01a9a39529b27f36'}
2021-06-02T03:18:04.000Z	1399928274516643841	 The energy is 🔥🔥🔥Wedding vibes ❤️❤️Getting blessed by the Grand rabbi 🙏🙏❤️❤️  	{'place_id': 'e49c3e7bd8c1bc7a'}
2021-06-02T02:15:43.000Z	1399912583138787332	Only walking off that's happening is me walking off to the fridge for a drink.	{'place_id': '002e24c6736f069d'}
2021-06-02T02:00:29.000Z	1399908750484508675	If you’re old, You should go to the gym. If for nothing else, for your back.	{'place_id': '00c39537733fa112'}
2021-06-02T00:52:46.000Z	1399891709694259204	Adulting is being excited to wake up early and go to the gym tomorrow 🥴	{'place_id': 'a227c629b631eea2'}
2021-06-02T00:31:16.000Z	1399886296311607299	  And don’t get me started on all the girls in wedding gowns, mind you angels looked crazy 🤦🏾‍♀️	{'place_id': '71177291f1601de3'}
2021-06-03T23:25:06.000Z	1400594421452783621	With yesterday’s announcement that  Wedding Crashers 0 will begin filming this summer, you all should totally listen to my conversation with the director of this movie, David Dobkin!And duh, we obviously talk about Wedding Crashers 0! 	{'place_id': '777dd5b3b30a625e'}
2021-06-03T23:17:50.000Z	1400592591813480449	went on a date with a PA student this week & one of the first questions she asked me was “would it bother you if i made more money than you” & the fact that she had to ask me that was sad af	{'place_id': '002e24c6736f069d'}
2021-06-03T22:42:38.000Z	1400583734970224647	  Cameron almost had them cater his wedding 😕	{'place_id': '01a9a39529b27f36'}
2021-06-03T22:36:20.000Z	1400582149665873923	I haven’t been on a date in so long I just wanna if y’all still eat ass on the first date ??	{'place_id': '01a9a39529b27f36'}
