2021-03-08T23:57:57.000Z	1369074942675976203	Lol my lil cousins really be coming over just to go shopping in my closet 😂😂😂😂	{'place_id': '7329ff8dbdf5bc00'}
2021-03-08T01:17:09.000Z	1368732487241904129	I’ll never forget at the Royal Wedding they were playing negro spirituals, I was like ehhhhhh.	{'place_id': '011add077f4d2da3'}
2021-03-08T01:15:25.000Z	1368732051034288135	I don’t go to a restaurant without googling the menu ahead of time and Meghan is saying she didn’t Google anything about the royal family.... lying &gt;&gt;&gt;	{'place_id': '01a9a39529b27f36'}
2021-03-08T01:15:01.000Z	1368731950089920521	They were already married on their wedding day?!  	{'place_id': '01a9a39529b27f36'}
2021-03-08T01:15:00.000Z	1368731946377961474	YESSSSS for the private wedding before the VH0 production the world saw! 🙌🏿 	{'place_id': 'fa3435044b52ecc7'}
2021-03-08T01:14:19.000Z	1368731774675804160	Meghan reveals she actually got married to Harry 0 days before the big wedding. 	{'place_id': '01a9a39529b27f36'}
2021-03-08T01:10:54.000Z	1368730916076523520	Julias wedding gift 	{'place_id': '00c39537733fa112'}
2021-03-08T01:05:58.000Z	1368729671056121856	“Thanks for inviting me, by the way” OPRAH!!! Throwing that Royal Wedding invite out there in the first five minutes. Same TBH. 	{'place_id': '01a9a39529b27f36'}
2021-03-08T01:05:50.000Z	1368729638726467593	The wedding was for the people and we didn’t deserve it! 😭	{'place_id': 'fa3435044b52ecc7'}
2021-03-09T23:13:48.000Z	1369426219104616454	Go to the gym in the morning. Go to the gym in the morning. Go to the gym in the morning. Go the gym in the morning. 😖😫😤	{'place_id': '011add077f4d2da3'}
2021-03-09T22:59:32.000Z	1369422631276011527	for those on the TL that go to the gym in the morning, how you do that? what is the motivation?	{'place_id': '01a9a39529b27f36'}
2021-03-09T22:34:42.000Z	1369416380924243974	Praying that Anitta & JLo have a song together & that she isn’t just making a cameo in Shotgun Wedding or sum 😭 but something def going on between them 👁	{'place_id': '011add077f4d2da3'}
2021-03-09T22:17:53.000Z	1369412148267544576	Sometimes I miss about when she would go shopping with her Mom she would come home after and show me everything she got. I can still hear how excited she would be. Or her singing along to jingles on tv. After all this time, it’s still the little things I miss.	{'place_id': 'a7cdc3f10586dc66'}
2021-03-09T21:53:45.000Z	1369406076328808465	I wanna go shopping 🙄	{'place_id': '011add077f4d2da3'}
2021-03-09T21:09:35.000Z	1369394962517921796	 Thanks - the song was inspired by me wanting to write my own wedding song. Will check out your profile.	{'place_id': '01a9a39529b27f36'}
2021-03-09T21:00:04.000Z	1369392565368291332	Who TF said they were on a date? Only Piers thinks this. There’s no fucking way Meghan Markle was on a date with this bloviating piece of shit. 	{'place_id': '011add077f4d2da3'}
2021-03-09T20:19:24.000Z	1369382332352847879	not my brother finessed me to drive to the mall lmao	{'place_id': '812a6cfdd31b4a5f'}
2021-03-09T20:02:28.000Z	1369378068981309443	The same people terrified of trans or non-binary folks using the “wrong” restroom gladly send their children to church and the Boy Scouts.	{'place_id': '011add077f4d2da3'}
2021-03-09T19:56:39.000Z	1369376605315940365	Life is so funny. You can be leaving one date and heading to a party and meet your future husband. 😭	{'place_id': '011add077f4d2da3'}
2021-03-09T19:54:22.000Z	1369376031874879493	To those 0-0 people who like my tweets, you are invited to my wedding	{'place_id': '01a9a39529b27f36'}
2021-03-09T19:02:31.000Z	1369362982497574921	 Spaa Virginia Grant was laid to rest yesterday. Members of the  formed an honor guard and saluted their  coworker T.Y. Grant family for sharing📷 of Virginia on her wedding day alongside her mom.  	{'place_id': '00c39537733fa112'}
2021-03-09T18:56:33.000Z	1369361482434179073	Such a fun wedding at one of our favorite  venues! Can’t wait for the next one at the  — we actually just booked it today!!! 🤩🥳 @ Brooklyn Winery 	{'coordinates': {'type': 'Point', 'coordinates': [-73.9551199, 40.71727]}, 'place_id': '011add077f4d2da3'}
2021-03-09T18:39:00.000Z	1369357063474790400	 I’m not so sure. It’s a good time to release. Lots more vaccinated, clean theaters, and people will be THIRSTY to go to the movies again. WandaVision & Falcon/Winter Soldier will have set her up nicely.	{'place_id': '01a9a39529b27f36'}
2021-03-09T17:34:15.000Z	1369340771703394309	Dey there dey form hard to get, Dey there dey form miss independent, Dey there dey listen to nonsense way no get sense you go dey buy ashiobi Dey go wedding every Saturday	{'place_id': '8739d0bab792509d'}
2021-03-09T17:05:52.000Z	1369333629285990400	 Why did Meghan and Harry lie about the Prince title when Harry knew the Queen can’t give her great grandson a title.  Charles can when he’s King.  Lied about early wedding also.	{'place_id': '00c55f041e27dc51'}
2021-03-09T16:57:16.000Z	1369331462537936897	anyways, going shopping later today. who’s coming?	{'place_id': '011add077f4d2da3'}
2021-03-09T15:56:54.000Z	1369316271959982089	I read an article in  yesterday about how fashion designers are predicting that we will all want to dress up in the fall. I for one am here for that! What about you? Are any of you eager to start dressing up again or are you committed to yoga pants for life? 	{'place_id': 'c735e25ad03113d5'}
2021-03-09T15:55:13.000Z	1369315847546806274	I mean go to church	{'place_id': '01a9a39529b27f36'}
2021-03-09T15:37:15.000Z	1369311324543610881	My cousin wants us to have ponytails for her wedding in May, but I wanna chop my hair off today 😭	{'place_id': '00c39537733fa112'}
2021-03-09T15:24:31.000Z	1369308123060723715	Letterpress wedding invitations Studio in NYC 0-0-0      💍💍💍 	{'place_id': '00c39537733fa112'}
2021-03-09T15:20:05.000Z	1369307007900123146	🍰 Sometimes we definitely feel our hunger cues and know when we’re not hungry. But life happens and it’s okay to want some of the birthday or wedding cake just because. That’s actually a valid reason. Or taste test a new chocolate chip cookie recipe that a friend made. (0/0)	{'place_id': '011add077f4d2da3'}
2021-03-09T13:48:24.000Z	1369283932949250052	Meghan Markle didnt invite  to her wedding & wouldn’t accept him as a friend & this is what happens... classic rejection rage from mediocre men who are stunned that people don’t want their trash, who then fling their trash as a continuous violent tantrum. 	{'place_id': '01a9a39529b27f36'}
2021-03-09T11:15:10.000Z	1369245372074360840	Recovery drink for everyone who lifted the round mound of rebound for the hora at his daughter's wedding.        	{'place_id': '01a9a39529b27f36'}
2021-03-09T07:30:52.000Z	1369188923566592003	0. “I Do Take” (my wedding song) 0. “Get Up” 0. “Gills and Tails”  🙌🏽💙 	{'place_id': '01a9a39529b27f36'}
2021-03-09T07:12:58.000Z	1369184419576184835	Can't wait for the day I can go out on a date with my wife where we sit indoors, anonymously, surrounded by strangers.	{'place_id': '01a9a39529b27f36'}
2021-03-09T06:31:53.000Z	1369174081682235395	Going to take myself out on a date somewhere expensive tomorrow. Drop recs. Thank you	{'place_id': '01a9a39529b27f36'}
2021-03-09T05:46:39.000Z	1369162697779077122	"After dismissing the interview as a ""sideshow"" in the days leading up to it,  devoted 0 stories to the special on Monday am. In blanket coverage usually reserved for a royal wedding, The Daily Mail raced to post photo galleries, analysis, news articles, reaction."	{'place_id': '01a9a39529b27f36'}
2021-03-09T05:01:59.000Z	1369151457132429312	 You're doing great and I can't wait for a post-covid commune meetup	{'place_id': '011add077f4d2da3'}
2021-03-09T04:12:18.000Z	1369138951991267334	The number one thing that impressed me about my girl was that she never has made a comment regarding money, never have i heard her say a man should spend X amount on a date, a man should do this, a man should buy this  and all the new age dating requirement shit.	{'place_id': '00c39537733fa112'}
2021-03-09T02:53:30.000Z	1369119124400594946	fighting over flower girl dresses has only strengthened my decision to elope when it’s my time and have a party later	{'place_id': '00c39537733fa112'}
2021-03-09T02:30:11.000Z	1369113255348760582	Can we stop making this a thing? Like if I was having the wedding of the year and had sought after invitations that were guaranteed to be accepted I’d invite them too. And also the Jonas Brothers. 	{'place_id': '01a9a39529b27f36'}
2021-03-09T01:53:42.000Z	1369104072427663361	How do you even go on a date after the first one. There has to be a study on the traumatic effects this has on the participants.	{'place_id': '011add077f4d2da3'}
2021-03-09T01:47:22.000Z	1369102481607847938	  The televising of the wedding has nothing to do with her choosing a decendant of that institution.He hadn't seen racism until he was with her according to him.Literally she could have chosen ANYBODY else!Can't voluntarily go into the lion's den, then complain if the lion attacks.	{'place_id': '011add077f4d2da3'}
2021-03-09T01:11:11.000Z	1369093375350169600	  Michael Easton’s character Fin NEVER raises his voice... he speaks with such calmness.. but the day of the wedding he yelled twice!! awesome performance!!  well deserved acknowledgment❤️	{'place_id': '011add077f4d2da3'}
2021-03-09T00:54:16.000Z	1369089116311330821	Always said I’d be having a celebration of love/big ass party and not a legally binding marriage/wedding. 0) my last name is cooler than everyone’s 0) will you even like me in 0 months???????? 	{'place_id': '011add077f4d2da3'}
2021-03-09T00:45:51.000Z	1369086996820336643	Not the “how much you supposed to spend on a date” topic again...we will never be free 🧍🏽‍♀️	{'place_id': '002e24c6736f069d'}
2021-03-12T23:13:27.000Z	1370513297288626180	lol bitches be wanting skater boyfriends on TikTok and then I’m here on a date with one he leaves early in our date to go skate... lol	{'place_id': '011add077f4d2da3'}
2021-03-12T22:57:10.000Z	1370509199235555329	Today I weighed myself for the first time since the pandemic and let’s just say.... heading to the gym rn 🏃🏽‍♂️	{'place_id': '27485069891a7938'}
2021-03-12T22:54:46.000Z	1370508596975312896	Looking for an edgy wedding braid hairstyle? Braid and pin in the back with a hair accessory.Style  Hair Accessory     @ Maria Bonita Salon & Spa 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.995767, 40.7212715]}}
2021-03-12T22:41:59.000Z	1370505378966994945	I ran out of bread and I don't feel like ordering or going shopping so I've found some flatbread recipes. I haven't decided on anything yet...	{'place_id': '00c39537733fa112'}
2021-03-12T22:40:16.000Z	1370504947859660802	Friday what are you going to do?  Eat out in out doors dinning!   AJ’s clam yummy so good 😍. Always cooking with passion and love @ AJ's Burgers 	{'place_id': '11cdb607ab2f17bb', 'coordinates': {'type': 'Point', 'coordinates': [-73.78734, 40.92053]}}
2021-03-14T23:59:07.000Z	1371249562946535424	 summer wedding in the rural midwest. show some respect! 💅🏾	{'place_id': '011add077f4d2da3'}
2021-03-14T23:50:41.000Z	1371247440922345473	her dress is the same color and fabric i wore as a bridesmaid in my cousin’s wedding in 0	{'place_id': '011add077f4d2da3'}
2021-03-14T23:48:26.000Z	1371246875177795584	TIL Joey Fatone was in My Big Fat Greek Wedding	{'place_id': '01a9a39529b27f36'}
2021-03-14T21:59:56.000Z	1371219571571625987	 Welcome to the party	{'place_id': '011add077f4d2da3'}
2021-03-14T21:47:54.000Z	1371216541690294273	I hate going to the gym, but once I finish working out, I love that I went. This dichotomy drives me insane because unfortunately, the disdain for going usually wins out.	{'place_id': 'fa3435044b52ecc7'}
2021-03-14T21:37:16.000Z	1371213866986786821	The slightest glimpse of a wedding registry would kill a Victorian child	{'place_id': '011add077f4d2da3'}
2021-03-14T20:38:08.000Z	1371198984082051075	First time in Manhattan since November.Meeting a friend for a drink.Current View - St. Pat's as seen from 0st Street: 	{'place_id': '1076f9d811141005'}
2021-03-14T20:31:41.000Z	1371197363960885250	When my family leaves a wedding vs. my wife's family leaving a wedding: 	{'place_id': '011add077f4d2da3'}
2021-03-14T20:26:07.000Z	1371195961385627650	Pre pandemic Rockbar Sunday life.  Maybe again soon.  Support  - come by today for a drink !     @ Rockbar NYC 	{'coordinates': {'type': 'Point', 'coordinates': [-74.00972, 40.73264]}, 'place_id': '01a9a39529b27f36'}
2021-03-14T20:19:45.000Z	1371194358272253954	Haven’t been on a date in a min .	{'place_id': '01a9a39529b27f36'}
2021-03-14T20:03:18.000Z	1371190220620754945	Should I go to the gym or just workout at home?	{'place_id': '01a9a39529b27f36'}
2021-03-14T18:46:48.000Z	1371170967804854276	who attends the witcheses wedding and why haven’t we ever been invited? is she marrying a devil? if the devil is beating his wife and we receive notification via weather... shouldn’t we help her? is the witch the wife getting beat?	{'place_id': '01a9a39529b27f36'}
2021-03-14T18:41:59.000Z	1371169754141048832	One year ago I came home from my friend’s wedding in SC & stayed there. I abandoned all my plants to die in my hotbox  office & set up camp on the vanity my grandpa made my mom in the 0s that I’ve had since ‘0. My legs get sore now if I walk to the far grocery store. 	{'place_id': '0fc342dd56947000'}
2021-03-14T18:03:55.000Z	1371160176007516163	0th Wedding Anniversary flowers!        @ Westbury, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-73.5882, 40.7589]}, 'place_id': '6b0f2ded51928926'}
2021-03-14T18:00:30.000Z	1371159314703003653	  Dude barely spoke, me carrying the convo was a waste of time all around. Why go on a date if you don’t want to do the dating part of it?? It was trash	{'place_id': '01a9a39529b27f36'}
2021-03-14T17:18:21.000Z	1371148709757603842	If anyone knows a reason these two should not be wed……Good they're ok, in all seriousnessLimousine with bride heading to Las Vegas for wedding catches fire 	{'place_id': '00c39537733fa112'}
2021-03-14T17:02:45.000Z	1371144781901017093	I told this nigga ima go to the movies with him tmm, I really don’t feel like going but I always flop on him😭	{'place_id': '011add077f4d2da3'}
2021-03-14T16:00:53.000Z	1371129213563068416	 I love how I'm talking about going to the gym but now I'm thinking I want a slice of pie just because it's Pi day	{'place_id': '011add077f4d2da3'}
2021-03-14T15:50:04.000Z	1371126490121830406	Because of  I didn’t go to the gym this morning. That’s my story and I’m sticking to it. Lol	{'place_id': '002e24c6736f069d'}
2021-03-14T15:49:23.000Z	1371126317333282819	Let me get to church. I got blessings to go get and praises to give to Jesus.	{'place_id': '011add077f4d2da3'}
2021-03-14T15:25:32.000Z	1371120319189151744	 that first couple some real dickheads. all that for a food truck. everyone who picks wedding had to scale down for COVID anyway! bozo shit	{'place_id': '002e24c6736f069d'}
2021-03-14T15:20:37.000Z	1371119078253981706	Maya brought up Color Me Mine and I just got hit with a memory of going on a date there.	{'place_id': '01a9a39529b27f36'}
2021-03-14T14:14:08.000Z	1371102351017279490	 You mean the guy who is reviled by the fundamentalist Christians actually goes to Church? Hmmm. Yeah, that's a story.	{'place_id': '1e87657b94063b58'}
2021-03-14T14:07:07.000Z	1371100583583711235	... and life continues. Book us for your wedding or special party!      	{'place_id': '107c7b09e3546000'}
2021-03-14T14:01:43.000Z	1371099226038493184	After a very brave battle with ALS, his journey on this earth ended this morning on his 0 yr wedding anniversary We experienced a lot in this life together.Condolences to his husband,  Albert Rodriguez.  You were by his side every step.  A true warrior. 	{'place_id': '27485069891a7938'}
2021-03-14T14:01:17.000Z	1371099116084850690	After a very brave battle with ALS, his journey on this earth ended this morning on his 0 yr wedding anniversary We experienced a lot in this life together.Condolences to his husband,  Albert Rodriguez.  You were by his side every step.  A true warrior. 	{'place_id': '27485069891a7938'}
2021-03-14T12:06:45.000Z	1371070291573669895	  Same. I do get my nails done every two or three weeks and go out to eat once a month or so (and it has been in the same two restaurants during off-peak hours). I won't go back to the gym until I get vaccinated or they open more stuff.	{'place_id': 'ad87de7d13d41fa3'}
2021-03-14T09:11:14.000Z	1371026120674541571	Hey  , missed a lot of my friend’s livestream wedding from halfway across the world. It was at 0 AM EST. I set my alarm for 0:0 AM and it went off at 0:0 because of the time change. I just presumed there would’ve been an automatic fix for this by now *facepalm*	{'place_id': '01a9a39529b27f36'}
2021-03-14T06:40:00.000Z	1370988063191621635	 I already got my first and second covid vaccine already and so did my mom too my dad also got his first before my sisters wedding in Florida he will get his second one too	{'place_id': '7c09539af94ab80b'}
2021-03-14T06:36:29.000Z	1370987175605633025	  I have to spend it for me and my moms flight down to Florida for my sisters wedding	{'place_id': '7c09539af94ab80b'}
2021-03-14T06:03:43.000Z	1370978930409271296	When your chemistry professor decides to have a party in the laboratory. 	{'place_id': '002e24c6736f069d'}
2021-03-14T05:11:17.000Z	1370965736575934467	Never did boy bring his son to the party, it’s never that serious.	{'place_id': '011add077f4d2da3'}
2021-03-14T04:22:06.000Z	1370953358270464000	 Real journalists would be covering the Treason and Corruption In the GOP instead these hannity puppets are complaining President Biden goes to church with his family just a month ago these same puppets complained he wasn’t religious enough!!!	{'place_id': '011add077f4d2da3'}
2021-03-14T03:51:59.000Z	1370945778034876419	I’m with you! I’m vaccinated and I still am not ready to go to a restaurant! 	{'place_id': '15bb646d59ef405f'}
2021-03-14T02:00:56.000Z	1370917834616889345	Instead of marching an unqualified spokesperson in  on  with fellow crook  , it would've been better optics & more credible dialogue by  lawyers than some 0 year old degenerate gambling gigilo crook. Little late to the party! 	{'place_id': '00c39537733fa112'}
2021-03-14T01:44:56.000Z	1370913807590117376	when your boyfriend mom is already talking about our wedding but we’re no where near an engagement anytime soon lol	{'place_id': '678ee96b4c223ba2'}
2021-03-14T00:26:25.000Z	1370894048760893445	I'm keeping it a buck with every girl I go on a date with. These filters gon have yall feelings HURT.	{'place_id': '01a9a39529b27f36'}
2021-03-08T22:52:30.000Z	1369058474324340739	I really wanna go to the museum, I haven’t been in months. 😞	{'place_id': '00c39537733fa112'}
2021-03-08T03:00:58.000Z	1368758612345188352	 We used to go bowling!	{'place_id': '8279f00eacbd9f3b'}
2021-03-11T22:43:33.000Z	1370143386053832706	  I did get a haircut that morning. Then everything went off the rails.	{'place_id': '011add077f4d2da3'}
2021-03-11T20:42:08.000Z	1370112827969650693	   meeting you at the bar after my 0pm sugaring appt and would ya look at that the bar is right next door to the salon 💆🏼‍♀️	{'place_id': '01a9a39529b27f36'}
2021-03-11T02:22:04.000Z	1369835986780381192	I wana go bowling with my friends	{'place_id': '01a9a39529b27f36'}
2021-03-11T01:11:02.000Z	1369818111906615301	Can’t wait to get a haircut this weekend	{'place_id': '01a9a39529b27f36'}
2021-03-13T16:31:45.000Z	1370774593569447937	Goin to the museum of sex today 🙌🏾	{'place_id': '011add077f4d2da3'}
2021-03-13T04:46:53.000Z	1370597208593215492	It is 0 and people are still going to the theater to see Avatar 	{'place_id': '01a9a39529b27f36'}
2021-03-09T23:23:25.000Z	1369428642506420225	Robertson, Cohen & Young. Our album drops tomorrow. Thanks to  Bruce Robertson and Curtis Young for gathering signatures today! 	{'place_id': '01a9a39529b27f36'}
2021-03-09T15:18:12.000Z	1369306533616619521	 when will you announce updates on Large Group Gathering restrictions?	{'place_id': '01a9a39529b27f36'}
2021-03-09T11:34:28.000Z	1369250227002163200	I turned down a cousin zoom happy hour gathering because starts at 0:0PM and like c’mon. Do you know me? The answer is no.	{'place_id': '38718ccc91e76508'}
2021-03-09T03:04:32.000Z	1369121898534174725	 Trying to spend this year gathering data on their chest patterns to see how much they change and if they could be used to identify individuals. I know my neighborhood bird by hers for sure. You can see she has a kind of inverted W 	{'place_id': '01a9a39529b27f36'}
2021-03-09T00:50:09.000Z	1369088080821518338	Gathering Swans	{'place_id': '011add077f4d2da3'}
2021-03-09T00:38:28.000Z	1369085139767205890	La verdadera epidemia es el patriarcado❗️- Patriarchy is the real epidemic❗️Notice the number of police officers at the peaceful women’s gathering 🤦🏼‍♀️  ✊🏻  	{'place_id': '01a9a39529b27f36'}
2021-03-11T20:57:13.000Z	1370116625832181760	We are out in the district talking to voters and gathering petition signatures! 	{'place_id': '07d9dbd181486003'}
2021-03-11T19:49:37.000Z	1370099612141379589	Indoor businesses will be permitted to increase indoor capacity limits from 0 percent to 0 percent.	{'place_id': '01a9a39529b27f36'}
2021-03-12T17:14:42.000Z	1370423012433014790	 I’ve already decided that I’m gonna enjoy from the side. I’ve officially become that Auntie at a the family gathering when the young children are dancing and I’m just there cheering them on.	{'place_id': '011add077f4d2da3'}
2021-03-12T13:22:16.000Z	1370364522477752320	UNSC ACT NOWFuneral of Nyan Win @ Myaing Win who died on the spot with headshot on terrorist's gun yesterday in Myaing. Terrorists disrupt funeral by threaten with guns with the reason of more than 0 people gathering.    	{'place_id': '01a9a39529b27f36'}
2021-03-12T01:09:53.000Z	1370180208460972032	I know it seems as if I rip Bailey all the time, but I can see why he doesn't shoot much. He looks very unconfortable gathering the puck, one-timing it, just pass the puck Josh...... 	{'place_id': '002e24c6736f069d'}
2021-03-12T01:04:10.000Z	1370178772511694852	High level petition gathering. 🚴 	{'place_id': '01a9a39529b27f36'}
2021-03-13T21:47:24.000Z	1370854029140631565	The weather is getting ☀️ We want to gauge interest in various outdoor family activities. If you’re interested in getting together with other  families, please email us at info  Respond by 0/0 so we can plan a gathering for April!  	{'place_id': '00c39537733fa112'}
2021-03-13T17:15:37.000Z	1370785631933173768	Is Michael fashionable with his Magic The Gathering shirt 	{'place_id': '011add077f4d2da3'}
