1152471660	2021-02-08T21:25:31.000Z	1358889721980719111	Sliders anyway you like it...            Www.cateringbrooklynny 0-0-0 	{'coordinates': {'type': 'Point', 'coordinates': [-73.95, 40.65]}, 'place_id': '011add077f4d2da3'}
33225363	2021-02-08T14:56:23.000Z	1358791792074907648	 I started following Priyanka when I saw her at Megan & Harry's wedding. I did not know her or her career. I loved her outfits she was wearing at the wedding. I Goggled her & I was shocked. I said to myself why did not follow her sooner. Everything she stands for I stand for too. 	{'place_id': '00c55f041e27dc51'}
938236765072224256	2021-02-08T14:38:49.000Z	1358787373182631937	Wake up and go shopping then pull-up on them stripper over there by Lyons Ave..	{'place_id': 'fa3435044b52ecc7'}
845703471307345924	2021-02-08T14:23:47.000Z	1358783589626822661	I literally wake up 0am get to the gym, do my cardio+workout, come home do some yoga, shower, then start work, then finish work, then grocery shop if I need to and if not cook dinner, watch some TV and do some fun stuff before bed at 0pm	{'place_id': 'b74cebcb62a1a686'}
1146546756014018561	2021-02-08T09:26:55.000Z	1358708882005180416	I just wanna go shopping!!!	{'place_id': '002e24c6736f069d'}
50706690	2021-02-08T06:01:48.000Z	1358657262202585089	Updated: Construction on  Both directions from Bedford - Nostrand Avs to Church Av 	{'coordinates': {'type': 'Point', 'coordinates': [-73.953522, 40.689627]}, 'place_id': '011add077f4d2da3'}
55009342	2021-02-08T06:01:48.000Z	1358657260604555264	Updated: Construction on  Both directions from Bedford - Nostrand Avs to Church Av 	{'coordinates': {'type': 'Point', 'coordinates': [-73.953522, 40.689627]}, 'place_id': '011add077f4d2da3'}
55009342	2021-02-08T05:58:40.000Z	1358656473446891523	Cleared: Construction on  Both directions from Bedford - Nostrand Avs to Church Av	{'coordinates': {'type': 'Point', 'coordinates': [-73.953522, 40.689627]}, 'place_id': '011add077f4d2da3'}
50706690	2021-02-08T05:58:40.000Z	1358656473274994688	Cleared: Construction on  Both directions from Bedford - Nostrand Avs to Church Av	{'coordinates': {'type': 'Point', 'coordinates': [-73.953522, 40.689627]}, 'place_id': '011add077f4d2da3'}
30209049	2021-02-08T04:41:46.000Z	1358637121410580481	If/when i get married, I’m eloping and then having a giant after party later. I have so many friends wedding planning rn and none of them are having a good time	{'place_id': '00c39537733fa112'}
62862846	2021-02-08T04:37:52.000Z	1358636140010569729	If these niggas don’t invite me to the party in 0 mins I’m logging off	{'place_id': '00c39537733fa112'}
323620105	2021-02-08T02:48:21.000Z	1358608579608076289	 You should def get to a restaurant! And half those people there are probably healthcare workers	{'place_id': '01489e6d380fb511'}
25543829	2021-02-08T02:48:06.000Z	1358608514688679937	Today was a zooooovie!! I took photos in my hometown, in the woods, of Motorsport guys, and an impromptu wedding like WUTTT I love this chaos	{'place_id': '01a9a39529b27f36'}
3139192166	2021-02-08T02:44:12.000Z	1358607534299492355	A month since I went back to the gym & I’ve never felt better	{'place_id': 'b45ae2b5def8048f'}
1153714831364689920	2021-02-08T01:46:57.000Z	1358593128274493445	A pastor cancels a wedding because the couples came 0hr late to the church 	{'place_id': '3d3c56338b6a3b4a'}
301595292	2021-02-08T01:42:40.000Z	1358592050606862339	Can you not make me emotional tonight.... I’m not over his death or the Red Wedding! 😢 	{'place_id': '002e24c6736f069d'}
6018562	2021-02-08T01:37:46.000Z	1358590814839070721	I really want to go to a concert... this concert. 	{'place_id': '01a9a39529b27f36'}
825798896303669249	2021-02-08T01:25:20.000Z	1358587687633100802	I mean, this man is legitimately well known in nyc for his talents. I’d take his ass out on a date! There are way worse people to be worried about on the subway! 🥴 	{'place_id': '011add077f4d2da3'}
1159882047952949248	2021-02-08T01:03:06.000Z	1358582091781443585	 Yeah but didn’t they all go to church today!!!	{'place_id': '011add077f4d2da3'}
23372897	2021-02-09T23:46:05.000Z	1359287485185085440	  Fun fact: I go to the gym in my OV/P0 respirator. Weight lifting is fine for me, though cardio can make my ears pop 😂	{'place_id': '01a9a39529b27f36'}
2719581949	2021-02-09T23:21:11.000Z	1359281217460437002	Happy one year wedding anniversary my love. And what a year it’s been! I count my blessings every day we got to have our wedding in Vancouver with our families together. So crazy looking back.    	{'place_id': '011add077f4d2da3'}
2497408557	2021-02-09T22:48:35.000Z	1359273013401780224	  This is why I’ve stopped going to the movies as I used to  This list have no business being named in the All Time Best Classics of any year and especially when placed alongside the definition of a classic as The Godfather! 	{'place_id': '01a9a39529b27f36'}
41278936	2021-02-09T22:34:56.000Z	1359269580468850688	Remember going to the gym and getting fucking ripped without the fear of getting sick and getting someone else sick and potentially killing the elders in your family 🙃 I miss that.	{'place_id': '002e24c6736f069d'}
700745601294561280	2021-02-09T21:45:41.000Z	1359257185713332224	That lady who asked y'all to fund therapy sessions that went to her wedding in Paris and honeymoon in Italy 	{'place_id': 'edd2aa964fa61ec9'}
1044610748167725056	2021-02-09T21:18:56.000Z	1359250452987191297	Told  last weekend, lets go to the gym starting monday. Nigga blocked my number	{'place_id': '00c39537733fa112'}
1093297189	2021-02-09T20:47:38.000Z	1359242577526968322	I can picture it now. Uncle Castor giving a speak at every family wedding. -“But Bruce, you promised not to!”-“Don’t worry, I’ll be quick and to the point....”.	{'place_id': '01a9a39529b27f36'}
50521295	2021-02-09T19:39:50.000Z	1359225512850251776	Finally got my  up and running. Lowkey excited as shit. Still want to go to the movies though.	{'place_id': '00c39537733fa112'}
3285705822	2021-02-09T19:37:33.000Z	1359224940994703361	Easterby be telling McNair not to go after talented players if they don’t go to church enough in their free time..I’m sick	{'place_id': '00c39537733fa112'}
3285705822	2021-02-09T19:37:05.000Z	1359224822077784064	And don’t think twice, regardless if they don’t go to church in the offseason 	{'place_id': '00c39537733fa112'}
398472178	2021-02-09T19:28:59.000Z	1359222782379368457	Imagine begging to take someone on a date. Like bro you're begging to feed someone. Wtf	{'place_id': '00edde1d2ec0a4d4'}
1240189339398811654	2021-02-09T19:28:12.000Z	1359222587704963073	I need to head to the gym.	{'place_id': '00c39537733fa112'}
1186752470690729985	2021-02-09T18:31:38.000Z	1359208351154978818	Imagine you go on a date with a nigga that don’t find you pretty enough that doesn’t find the date so amazing and grateful to have you there that they don’t even want to take pics of you.	{'place_id': '01a9a39529b27f36'}
155304570	2021-02-09T18:01:17.000Z	1359200713570721802	So you’re telling me all the daddies come to the gym early??? 	{'place_id': '01a9a39529b27f36'}
750474400672182273	2021-02-09T17:26:18.000Z	1359191911655956481	Me and Mariah going shopping today. She corny for deleting her Twitter	{'place_id': '01a9a39529b27f36'}
3354152073	2021-02-09T17:20:12.000Z	1359190374120620032	I wanna go shopping but spend someone else’s money 🥲🥲🥲	{'place_id': '5c7686d4c90a9bb0'}
3230915000	2021-02-09T16:47:22.000Z	1359182110934900739	Bum leg and all, I still managed to make it to the gym today 💪 vibes all day!    	{'place_id': '002e24c6736f069d'}
1123502101	2021-02-09T16:45:13.000Z	1359181571144744962	My partner and I canceled our small wedding last April and the idea that  seems to think we could have it a year later when the situation is the same or arguably worse is crazy to me. That’s just not gonna hold up 	{'place_id': '01a9a39529b27f36'}
79016425	2021-02-09T16:41:34.000Z	1359180651459727361	Muriel’s Wedding is a great buddy movie.	{'place_id': '011add077f4d2da3'}
79016425	2021-02-09T16:28:40.000Z	1359177405903106048	“I tell so many lies, one day I won’t know I’m doing it.”  -‘Muriel’ in “Muriels Wedding”	{'place_id': '011add077f4d2da3'}
561494129	2021-02-09T16:14:51.000Z	1359173927378026499	Here’s a gorgeous pic of our Artful muse Noah, showing us  photographed by my fav wedding photographer  🔥😷...  @ The Artful Bachelorette 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.99039841, 40.74817951]}}
563506147	2021-02-09T15:33:56.000Z	1359163632089767936	People really wake up at 0am to go to the mall.. very ghetto.	{'place_id': '1935ab8020a2553b'}
45961868	2021-02-09T15:22:57.000Z	1359160868836147203	   Did I say greater or lesser? No I said different. Which they obviously are. Printing a newspaper and shooting someone are two different things. As are going to church and not having police quartered in your house.	{'place_id': 'bceb8153865c4a49'}
600606371	2021-02-09T13:18:42.000Z	1359129600979312643	On god! This song gotta be played at my baby shower, funeral, and wedding 	{'place_id': '011add077f4d2da3'}
942747437713805312	2021-02-09T12:09:09.000Z	1359112097418911748	 I would love to take you out on a date	{'place_id': '01a9a39529b27f36'}
389960901	2021-02-09T05:47:56.000Z	1359016161795571712	 can wait ! But Not       👰‍♀️🤵🇲🇲 	{'place_id': '27485069891a7938'}
1708495076	2021-02-09T03:59:21.000Z	1358988832201408514	 Take it you don't go to church much. The pews are cordoned off. 	{'place_id': '002e24c6736f069d'}
793596164633485312	2021-02-09T03:17:26.000Z	1358978283879231495	went to the gym and am smoking weed and doing chores forever instead of buying groceries because i can just order  food late at night which one cannot do in miami florida which is where i have been for some days	{'place_id': '01a9a39529b27f36'}
425834246	2021-02-09T03:07:18.000Z	1358975736116305922	NOT THE RAIN 😂 altho tbh a rainy wedding sounds like fun. just swap the loubs for rain boots and fuck it let’s goooo	{'place_id': '01a9a39529b27f36'}
390776183	2021-02-09T02:58:10.000Z	1358973434798170115	Matt’s reaction to Heather was like a guy on a date seeing a girl he hooked up with and ghosted her   	{'place_id': 'a7cdc3f10586dc66'}
1345101548465106944	2021-02-09T02:12:53.000Z	1358962040409317378	Sorry i cant go on a date with you im addicted to chilling with the homies	{'place_id': '01a9a39529b27f36'}
2909524230	2021-02-09T01:50:40.000Z	1358956448647102468	 You know my parents eloped in Belize and then my dida still made them have a giant ass wedding, right?	{'place_id': '01a9a39529b27f36'}
961105958	2021-02-09T01:34:43.000Z	1358952437831376897	 I feel that way about MAFS on the wedding day lol	{'place_id': '011add077f4d2da3'}
49823818	2021-02-09T01:23:59.000Z	1358949734975692806	I’m late to the party. What did I miss?   	{'place_id': '011add077f4d2da3'}
1212963569861451781	2021-02-09T00:35:24.000Z	1358937509485572097	I mean maybe he doesn't have the best table manners but I would be so annoyed if I'm on a date and someone just pulled their phone out like that. There's something about someone constantly having their phone out on a date that irks me. 	{'place_id': '011add077f4d2da3'}
379968878	2021-02-10T23:28:55.000Z	1359645551181070336	Haven’t been to the gym in a week and a half. Still losing the weight I wanted to. But I am just tired of going to the gym and it being crowded with a bunch people who aren’t doing shit. Or muscle heads who are overcompensating for their tiny penises.	{'place_id': 'fa3435044b52ecc7'}
1258246080816394242	2021-02-10T23:18:36.000Z	1359642958283341833	I have a wedding outside LA in May. Mhhhhhhhhhhhh like do I go 🥴 one in Florida over Memorial Day 🥴😂😭	{'place_id': '01a9a39529b27f36'}
4875430817	2021-02-10T21:57:45.000Z	1359622611060277254	Omw to the gym with dead AirPods 🙂	{'place_id': '01a9a39529b27f36'}
1400632075	2021-02-10T21:43:52.000Z	1359619117486133249	Allie wrote a beautiful text to Tony who she calls papa tony so emotional I heard him crying this morning Allie and her bio dad had a falling out after college last time she saw him was at her wedding kinda makes me sad but it’s between them I stay out of it I tried	{'place_id': '011add077f4d2da3'}
477289024	2021-02-10T21:40:37.000Z	1359618298783141889	I was today years old when I learned that the piggy was not in fact going shopping 😳 	{'place_id': '011add077f4d2da3'}
144549714	2021-02-10T21:24:45.000Z	1359614307064041472	A year ago today, I went on a date with a complete psycho path.. and now I would never date a Sagittarius ever again..	{'place_id': '01a9a39529b27f36'}
14796128	2021-02-10T21:09:23.000Z	1359610437575331843	 Welcome to the gig economy.  Stomach-turning stuff ...	{'place_id': '07d9ea2b25c81004'}
825906379743432705	2021-02-10T20:51:48.000Z	1359606012928552962	Screw wedding & baby announcements, this is important: orange HI-C is coming back to McDonald’s!	{'place_id': '00c55f041e27dc51'}
929645664	2021-02-10T19:59:00.000Z	1359592725205684225	 You belong to a party of greed and lies that hasn't called for unity in 0 yrs.	{'place_id': '01a9a39529b27f36'}
3817651468	2021-02-10T16:52:02.000Z	1359545674396794881	 I went to a party like this all you smell is weed swet and other stuff and it always hot	{'place_id': '011add077f4d2da3'}
424586525	2021-02-10T15:56:38.000Z	1359531731372691462	Hey  you have space for one more drive-thru wedding? Maybe several years down the line? 	{'place_id': 'b87b05856ab8dbd8'}
85686051	2021-02-10T15:26:57.000Z	1359524260461559811	        @ Seasons 0 	{'place_id': '0427846a106c0bd9', 'coordinates': {'type': 'Point', 'coordinates': [-73.615189, 40.740276]}}
2952442011	2021-02-10T14:37:50.000Z	1359511902204940291	I deada$$ just cried watching the preview 🥰🥰🥰 | Machel Monday - The Wedding - 0 HR Broadcast  via 	{'place_id': '011add077f4d2da3'}
113409511	2021-02-10T04:45:44.000Z	1359362894744481793	Word 🙄 haven’t been on a date in a while 😔 	{'place_id': 'b046074b1030a44d'}
1132207130898046976	2021-02-10T04:01:02.000Z	1359351644576751618	I need to stop ordering take out and go to the gym more 😞 	{'place_id': '011add077f4d2da3'}
1330797234	2021-02-10T03:26:30.000Z	1359342957074272258	These will be at my wedding	{'place_id': '002e24c6736f069d'}
2797674285	2021-02-10T02:33:43.000Z	1359329673038200832	  You don’t have to, you don’t get sick I’ve been doing it for my entire life how many time I gotta say it when u go to a restaurant are you given cold ketchup???????	{'place_id': '002e24c6736f069d'}
1243259921178800128	2021-02-10T02:25:12.000Z	1359327527907577857	i WILL go to the gym tomorrow cause im playing now	{'place_id': '002e24c6736f069d'}
204527136	2021-02-10T02:10:48.000Z	1359323902586028033	Went to the gym then got tacos. That’s how I maintain my figure 🤣🐳	{'place_id': 'd5140ca0d08eadc7'}
61618175	2021-02-10T01:46:21.000Z	1359317751073042434	 We still dont have a center fielder if they run with a DH so technically we are no better right now. I enjoy the game without a DH better. Loving the mets doesnt change the way I love to see the game played	{'place_id': 'b046074b1030a44d'}
1922074248	2021-02-10T01:43:21.000Z	1359316995968278535	George Conway ‘s description of donnyboy’s attorney - Bruce Castor’s speech at the  trial today—- “A meandering drunk  wedding speech.”	{'place_id': '00c39537733fa112'}
59884136	2021-02-10T01:36:20.000Z	1359315230308859905	 - wonderful film. Late to the party, but so glad I caught this.  	{'place_id': '011add077f4d2da3'}
3076580092	2021-02-10T01:15:47.000Z	1359310058564313091	0 Hundred protesters have been arrested. EVERY Passport should be Pulled. Actions have consequences. You don’t get your vacay in MX or Wedding in PERU maybe you should have thought about that before you stormed the Capitol    	{'place_id': '01a9a39529b27f36'}
1008393920114561025	2021-02-10T01:10:56.000Z	1359308840509075457	      Aaaaah!!! I finally finally watched, late to the party but so happy to be included. Thank you so so much, Kazen! 🥰🥰🥰	{'place_id': 'b046074b1030a44d'}
284931894	2021-02-10T00:54:54.000Z	1359304805341134850	  He also went to the gym after he tested positive back in March. He's just an extremely egotistical man with no sense of empathy or decency	{'place_id': '011add077f4d2da3'}
436367871	2021-02-10T00:53:19.000Z	1359304404718006278	 Are there any left? I'm five hours late to the party!	{'place_id': '011add077f4d2da3'}
793596164633485312	2021-02-14T23:41:17.000Z	1361098216800976905	going on a date with leia for valentine's day because we are both single which is hilarious and seems practically impossible like have u met either of us	{'place_id': '01a9a39529b27f36'}
465486473	2021-02-14T23:34:51.000Z	1361096599007559688	 Used  for my wedding website and again for my blog (unreleased). I like about it is that it offers installables for most platforms with all dependencies included and that it allows you to override themes *file by file* by just replicating files locally	{'place_id': '01a9a39529b27f36'}
1371210373	2021-02-14T23:31:20.000Z	1361095712788918283	A celebration of love         @ Westmount Country Club 	{'coordinates': {'type': 'Point', 'coordinates': [-74.19580924, 40.88480549]}, 'place_id': '7148e03302aa94e3'}
50706690	2021-02-14T23:08:38.000Z	1361089998704025603	Cleared: Incident on  Both directions from Bedford Ave to Church Ave	{'coordinates': {'type': 'Point', 'coordinates': [-73.958218, 40.650362]}, 'place_id': '011add077f4d2da3'}
1972360812	2021-02-14T23:08:05.000Z	1361089862758240256	Eating out outside (yes, it was 0 degrees, but heat lamps kept us warm) meant sticky toffee pudding shared for dessert today! 	{'place_id': '07d9e95a06483000'}
66389904	2021-02-14T22:20:06.000Z	1361077787235344385	Taking myself out on a date tonight 💕💕💕	{'place_id': '01a9a39529b27f36'}
813403621492719616	2021-02-14T21:44:31.000Z	1361068831070953473	Already foreseeing how wedding planning is gunna go 	{'place_id': '001fe4010762701b'}
1259719414464884737	2021-02-14T21:31:08.000Z	1361065462835068930	STRAIGHT MEN ESPECIALLY WHOM HAVE OR HAD AND IDEA OF WHAT YOU WANT OR WANTED OR HAD FOR YOUR DREAM WEDDING, I'M JUST SAYINGS TO THE STRAIGHT MEN THAT IT IS NOTHING WRONG WITH EXPERIENCE AND EXPRESSING YOUR CREATIVITY WHICH HAS NOTHING TO DO WITH SEXUALITY THAT FOR YEARS WAS A	{'place_id': '002e24c6736f069d'}
1259719414464884737	2021-02-14T21:31:07.000Z	1361065461157404672	Why is it that when talking about dream wedding and families it is insinuate generation after generation as if MEN WHOM  ARE MARRIED AND HAVE FAMILIES NEVER HAD AN IDEA A WHAT HIS DREAM WEDDING WAS TO BE UNLESS IT IS A GAY MAN DESCRIBING HIS DREAM WEDDING WHICH AGAIN MEN AND TO	{'place_id': '002e24c6736f069d'}
705525491201998848	2021-02-14T21:24:37.000Z	1361063824783212551	Let’s have a party like this 🤪🔥 	{'place_id': '01a9a39529b27f36'}
2540036611	2021-02-14T21:19:19.000Z	1361062490432557063	Wedding in  today 📸: Danny Perez 	{'place_id': '2ab7a7d1f941d091'}
2956018360	2021-02-14T20:55:02.000Z	1361056376609505286	I need someone to text me daily to tell me to get my ass off the couch and go to the gym. Any volunteers?	{'place_id': '01a9a39529b27f36'}
782910189099847680	2021-02-14T19:07:48.000Z	1361029391531319297	Day 0  Happy Valentines Day, so I went with the ultimate wrestling couple, who had the best wrestling wedding and was one of my favorite teams in wrestling of all time . Mrs. Elizabeth & Macho Man Randy Savage ! ❤️👍   	{'place_id': 'dc4ad595a56393ac'}
436347713	2021-02-14T18:37:34.000Z	1361021785442029581	It’s not a bad movie per se, but I saw Irreversible on a date and that I recovered from that disaster to marry her is a real-life version of the Sox coming back against the Yankees in 0 	{'place_id': '011add077f4d2da3'}
1909511456	2021-02-14T18:33:36.000Z	1361020786690129928	Elegant wedding invitations in New York City 0-0-0    💍     	{'place_id': '00c39537733fa112'}
23486200	2021-02-14T18:16:46.000Z	1361016550975819783	I don’t even remember what my answer would be, but an old roommate of mine took a girl on a date to see HOTEL RWANDA, which is a choice 	{'place_id': '96ddfc4bf2f1a80c'}
379968878	2021-02-14T16:58:54.000Z	1360996955678257154	Can’t wait to go back to the gym this week. I let myself get sidelined	{'place_id': 'fa3435044b52ecc7'}
596376362	2021-02-14T16:53:15.000Z	1360995531955310594	What is? Black tie? I suppose you’re right, but it was a wedding, and we could hardly have showed up au naturel. ☺️ 	{'place_id': '01a9a39529b27f36'}
232451072	2021-02-14T16:52:26.000Z	1360995328116293636	"""I'm looking for something casual for the lockdown"", she said, like ppl who knows what they want.0 months and 0 days after, Michelle is still here with her morning rituals and I won't say anything else until the hypothetical drunk wedding speech (?). 😂😂 "	{'place_id': '011add077f4d2da3'}
42065215	2021-02-14T16:48:00.000Z	1360994209990402052	Im going to the gym and then i wanna fuck. Thats all.	{'place_id': '011add077f4d2da3'}
747220611202715648	2021-02-14T16:30:38.000Z	1360989841836621826	Alone as ever on V-Day lol might go to the mall and shop 😭😭	{'place_id': '96ddfc4bf2f1a80c'}
212058669	2021-02-14T16:25:27.000Z	1360988534019088384	My forever Valentine, te amo ❤️  . Should we start planning our wedding yet? 😂 @ New York, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
61577322	2021-02-14T15:46:32.000Z	1360978740499668999	It’s Valentine’s Day and we have to wear Black to church this morning because it communion Sunday. Oh the irony. 😂	{'place_id': '011add077f4d2da3'}
572168435	2021-02-14T15:35:11.000Z	1360975885109776389	Happy Birthday to my long time friend & the best of the best   Here we are 0 years ago today on his birthday at his son  wedding!     	{'place_id': '00c39537733fa112'}
61389928	2021-02-14T13:41:16.000Z	1360947215624269825	Morning music after watching the wedding singer last night. 	{'place_id': '8739d0bab792509d'}
175185360	2021-02-14T12:29:22.000Z	1360929122424340485	       0 0 0 Action Limousine inc                     	{'place_id': 'dfa88de1ece1a505'}
1145370961279102977	2021-02-14T09:27:30.000Z	1360883353885540352	HAPPY VALENTINE'S DAY           	{'place_id': '00c39537733fa112'}
50706690	2021-02-14T09:01:51.000Z	1360876901280215040	Updated: Incident on  Both directions from Bedford Ave to Church Ave 	{'coordinates': {'type': 'Point', 'coordinates': [-73.958218, 40.650362]}, 'place_id': '011add077f4d2da3'}
2396910744	2021-02-14T05:55:33.000Z	1360830017605955589	steve and peggy’s dance is  and I’s wedding dance IYKYK SET FFFFG	{'place_id': '011add077f4d2da3'}
254765292	2021-02-14T03:04:02.000Z	1360786850852536320	a talent rep wants to go on a date with me, i assume he wants me to be mean to him in bed right	{'place_id': '011add077f4d2da3'}
34324061	2021-02-14T02:54:22.000Z	1360784420714786818	And silly me’s been thinking about going back to the gym. Dude would have been on the floor after the first shove. This is annoying. 	{'place_id': '002e24c6736f069d'}
17998752	2021-02-14T01:21:48.000Z	1360761124820561920	 We request “No Plans”. It is our wedding song! We also would freak out if you covered a Barry Manilow tune. Like ever! 💕💯👊🏽	{'place_id': '00c39537733fa112'}
36167229	2021-02-14T00:36:21.000Z	1360749688497070081	Bought our wedding bands today 👰🏽‍♀️🤵🏻💍	{'place_id': '00c39537733fa112'}
