91916908	2021-03-15T23:43:54.000Z	1371608125191639040	Wedding venue capacity increases in NY starting today  	{'place_id': 'cbafaaf6455dea32'}
2699713946	2021-03-17T21:30:54.000Z	1372299430372724739	Aquarius and I want a smaller wedding but I'm Caribbean so I know it's gonna be a big event 😭 	{'place_id': '00c39537733fa112'}
21441975	2021-03-17T20:49:06.000Z	1372288907883204611	Tanzania’s President Magufuli has died. Like every other leader of the nation since its independent, he belonged to the formerly left-wing CCM.Four years ago, I wrote for  on the leftist democratic opposition to the party	{'place_id': '01a9a39529b27f36'}
1542385058	2021-03-17T20:07:48.000Z	1372278514523770881	Might fuck around move to DR and become a wedding planner 😌	{'place_id': '002e24c6736f069d'}
262613640	2021-03-17T19:45:07.000Z	1372272807019692033	      @ Staten Island, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0889, 40.6303]}, 'place_id': '00c55f041e27dc51'}
289377041	2021-03-17T17:10:47.000Z	1372233966535778309	  Maybe after a few more “visits” to the gym.	{'place_id': '011add077f4d2da3'}
199198124	2021-03-17T16:36:23.000Z	1372225312017252353	Since the day the blog said it was banky that made Gabriel wedding crash I knew it was all rubbish they feeding y’all on some blogs 	{'place_id': '002e24c6736f069d'}
1219246731323432962	2021-03-17T16:20:57.000Z	1372221428691578888	 Am sure if me and you go shopping with that ten thousand dollars more food would be in that basket 🧺he can fool some not all.	{'place_id': '002e24c6736f069d'}
28163717	2021-03-17T16:05:53.000Z	1372217633584640000	I had a bad day last week.I went to the gym, watched some movies, and blazed.  Everything was okay.  I didn’t go on a racially-charged killing spree...What an absolutely ridiculous way to frame this... 	{'place_id': '96af18411a813391'}
422315509	2021-03-17T14:22:54.000Z	1372191719421308928	The smallest dick energy I can imagine today is going to a bar wearing a leprechaun outfit and I already know some people who will do this	{'place_id': '01a9a39529b27f36'}
1175067303127461890	2021-03-17T14:15:52.000Z	1372189946895826947	About to head over to a party with Dennis Leary and the guys who played the hobbits, today’s going to be lit 	{'place_id': '00c39537733fa112'}
2253689060	2021-03-17T14:11:44.000Z	1372188910420422657	I guess I can finally show you guys my old wedding photos 	{'place_id': '011add077f4d2da3'}
142267469	2021-03-17T14:07:43.000Z	1372187899245031426	Considering the number of people in the waiting room at the doctors office, it is safer to go to the gym with limited capacity !!!	{'place_id': '01a9a39529b27f36'}
109146991	2021-03-17T13:35:42.000Z	1372179841148194817	I haven’t eaten out in over a year and last night I spent some of my stimmy on a beautiful meal from  with my best friend  to celebrate her upcoming wedding. We wore masks and coats, drank margs, and ate Michelin rated mole and it felt so fucking good.	{'place_id': '00c39537733fa112'}
1282288786039283714	2021-03-17T13:22:52.000Z	1372176611370536960	you go on a date and here comes a nigga who has never taken you on one with something to say lmaooo	{'place_id': '011add077f4d2da3'}
177068335	2021-03-17T13:00:04.000Z	1372170872505704452	(0/0) Once I came out, I stopped going to church. I was shunned. And that is how I learned that having a relationship with God does NOT equal following a religion. You can be religious and have a horrible relationship with God. You can be gay, praying alone and be BLESSED. Love u	{'place_id': '01a9a39529b27f36'}
1125542116409729025	2021-03-17T12:12:29.000Z	1372158897394438150	 ♥️ Forget the business zoom. Can we get more of this? I can't think of a better video I've seen during the pandemic. Daughter in your wedding dress with cat pee, when she returns, and the final snort laugh (my wife laughs like that when she's not expecting to laugh - it's great).	{'place_id': '011add077f4d2da3'}
4625949075	2021-03-17T10:47:22.000Z	1372137480074498048	going to the gym at 0:0 in the morning .. u wouldn’t get it (man trait)	{'place_id': '00c39537733fa112'}
325760257	2021-03-17T07:56:25.000Z	1372094457009610752	boutta start eating out by myself	{'place_id': 'fa3435044b52ecc7'}
2966475088	2021-03-17T06:09:27.000Z	1372067536896933893	Chase is always late to the party  😂	{'place_id': '01a9a39529b27f36'}
1301905673282818049	2021-03-17T05:35:07.000Z	1372058897926795264	Of course I go shopping at  after months of not buying anything and then 0 days later the entire website is 0% off and I could’ve saved $0 🥴🥴🥴	{'place_id': '011add077f4d2da3'}
532885389	2021-03-17T03:21:15.000Z	1372025210011070465	 THE WEDDING BANQUET!!!!	{'place_id': '00c39537733fa112'}
1458878928	2021-03-17T03:21:14.000Z	1372025205124698119	Amazing Wedding Tonight with the Mendy Hershkowitz Band! Mazel Tov to Yehuda & Leah Spira! ..    @ The Palace 	{'coordinates': {'type': 'Point', 'coordinates': [-73.978319, 40.635017]}, 'place_id': '011add077f4d2da3'}
752549724	2021-03-17T03:11:48.000Z	1372022830653640707	want to cry, get drunk & go shopping all at the same time	{'place_id': '00c39537733fa112'}
485261775	2021-03-17T02:55:21.000Z	1372018689265053699	Never. I’ll take myself on a date. Never been pressed and DEFINITELY never been THAT pressed brokey 🥴 	{'place_id': 'fa3435044b52ecc7'}
15786362	2021-03-17T02:40:20.000Z	1372014910511706112	 the wedding was rushed, and it showed. 🥴	{'place_id': '01a9a39529b27f36'}
282741717	2021-03-17T02:33:08.000Z	1372013101609025537	Lord help me get out of bed tomorrow so I can go to the gym 🙏	{'place_id': '7329ff8dbdf5bc00'}
294758966	2021-03-17T02:01:02.000Z	1372005023299862532	Leave the bible in the flag, go to church if you want ⛪️ or whatever but do not be meddling in fucking politics!!!!!! Separate those two bitches 😂 IT’s TOXIC.	{'place_id': '01a9a39529b27f36'}
910589213682184192	2021-03-17T01:45:22.000Z	1372001081161609218	JUSTICE0HINDUS: BEING IGNORANT OF OUR GODs' LANGUAGE SANSKRIT IS HiNDU SHAME. I HINDU LISTEn TO SANSKRIT MANTHRAS IN TEMPLE POOJAS, NAMING, WEDDING ,LAST RITE CEREMONIES & DO NOT KNOW WHAT IS BEING SAID. WAITNG 0 GOD SEND INDIAN LEADER(ie GOLDA MYER)0 MAKE SANSKRIT MANDATORY EDU.	{'place_id': '00c55f041e27dc51'}
485261775	2021-03-17T01:16:12.000Z	1371993737543483395	I don’t like going to the movies. It’s always too cold for me to focus on wtf is happening 🥶	{'place_id': 'fa3435044b52ecc7'}
282741717	2021-03-17T00:59:53.000Z	1371989631210770437	Somebody call me a pussy if I don’t go to the gym tomorrow am	{'place_id': '7329ff8dbdf5bc00'}
3795614473	2021-03-17T00:55:32.000Z	1371988539240554498	 mine was that one episode of sailor moon where makoto goes on a date with haruka and returns her scarf & it made me blush but it was two girls so I only watched it when my parents weren’t home	{'place_id': '01a9a39529b27f36'}
1154894311252725763	2021-03-17T00:41:34.000Z	1371985022383763463	How are you broke talking about how you don’t tip waiters??? You shouldn’t even be eating out 🌚🌚🌚	{'place_id': '011add077f4d2da3'}
97273575	2021-03-17T00:19:33.000Z	1371979484216299527	 My Gen X Film Fest:Fast Times at Ridgemont HighBack to the FuturePretty in PinkSixteen Candles Home AloneAlien & AliensTermininator 0 & 0 Muriel’s WeddingThelma and LouisePretty Woman Heathers	{'place_id': '011add077f4d2da3'}
2320034306	2021-03-17T00:19:27.000Z	1371979456185839622	My son’s never been to a big family party, wedding, etc. other than his own baptism. He doesn’t even have cousins.. that’s weird af to me.	{'place_id': 'b046074b1030a44d'}
11371752	2021-03-18T21:46:23.000Z	1372665712293068801	Song and dance man. At the    meetup at  So many puns are appropriate here. 	{'place_id': '01a9a39529b27f36'}
19219760	2021-03-18T21:20:15.000Z	1372659135720910852	  the level of romance 🔝 also if I wasn’t already married that would be my wedding song!	{'place_id': '01a9a39529b27f36'}
572168435	2021-03-18T20:43:00.000Z	1372649763317895171	Good to see  &  cashing in on  talents. Goldmine of  &  Knowledge! What a great listen! Everyone else late to the party on using         	{'place_id': '00c39537733fa112'}
1726979365	2021-03-18T20:12:54.000Z	1372642186953637895	I was gonna go to the gym, But then I got high	{'place_id': '00c39537733fa112'}
1024714079905214464	2021-03-18T20:00:14.000Z	1372639000339550208	I’ve been eating out for like a week straight and I’m bloated like a mf 😪	{'place_id': '364a45c10832ed51'}
805929686	2021-03-18T19:54:23.000Z	1372637527736262658	Rain rain go away so I can go to the gym later today! 🙃                	{'place_id': '00c39537733fa112'}
2844730253	2021-03-18T19:47:35.000Z	1372635817605206017	Take me to the gym  	{'place_id': '011add077f4d2da3'}
335689431	2021-03-18T19:46:20.000Z	1372635500595544065	My moms taking my son to the mall and he’s def gonna finesse mad toys 😂😂😂😂😂😂😭😭😭😭	{'place_id': '00ca6959663f6d44'}
2462628391	2021-03-18T19:20:51.000Z	1372629090025533444	Aiman and Wajahat’s Intimate Backyard Wedding in New Jersey  	{'coordinates': {'type': 'Point', 'coordinates': [-74.000988, 40.720882]}, 'place_id': '01a9a39529b27f36'}
512351227	2021-03-18T19:13:22.000Z	1372627204404826117	After the service, some random church member came up to us and ask my ex (white) “oh did you bring your friends to church?” while looking at us Asians. He didn’t even talk to us probably coz thinking “oh they’re Asian, they don’t speak English”.	{'place_id': '01a9a39529b27f36'}
